汉字	罗马字	IPA	注释																
陰	im1	im˧˧	(文)																
飮	am2	am˥˨	(白)饮仔，饮糜仔																
飮	im2	im˥˨	(文)																
飮	lip4	lip˦˨	(训)喝一小口																
蔭	im1	im˧˧	荫庇																
蔭	im3	im˨˩	荫家:妻子贤良会持家																
窨	im3	im˨˩	窨豆芽																
淫	im5	im˩˨																	
	lip8	lip˩˧																	
粒	liap8	liap˩˧																	
緝	tship8	tsʰip˩˧																	
集	tsip8	tsip˩˧																	
輯	tship8	tsʰip˩˧																	
習	sip8	sip˩˧																	
襲	sit8	sit˩˧																	
蟄	tit8	tit˩˧	惊蛰																
澀	siap4	siap˦˨																	
汁	tsiap4	tsiap˦˨																	
執	tsip4	tsip˦˨																	
濕	sip4	sip˦˨																	
濕	tam5	tam˩˨	(训)潮湿:衫仔tam5tam5																
十	tsap8	tsap˩˧	(白)																
十	sip8	sip˩˧	(文)十全十美																
什	tsap8	tsap˩˧	(白)																
什	sip8	sip˩˧	(文)十全十美																
拾	sip8	sip˩˧																	
咂	tsop8	tsop˩˧	咂咂叫:吧唧嘴																
入	jip8	jip˩˧																	
急	kip4	kip˦˨																	
急	kit4	kit˦˨	又																
級	khip4	kʰip˦˨																	
汲	khip4	kʰip˦˨																	
給	kip4	kip˦˨																	
給	kheh4	kʰeh˦˨	(训)给别人																
泣	khip4	kʰip˦˨																	
及	kip8	kip˩˧																	
吸	khip4	kʰip˦˨																	
吸	hiap4	hiap˦˨	吸铁:磁铁																
吸	khiap4	kʰiap˦˨	(训)紧贴																
吸	soh4	soʔ˦˨	(训)吸收																
啜	tshueh4	tsʰueh˦˨	饮用:啜水，啜酒																
邑	ip4	ip˦˨																	
挹	iap4	iap˦˨	(白)																
挹	ip4	ip˦˨	(文)																
揖	iap4	iap˦˨	uĩ1 uĩ1 iap4 iap4:行事隐蔽																
丹	tan1	tan˧˧	牡丹，炉丹																
單	tuann1	tuã˧˧	(白)单位，订单																
單	tan1	tan˧˧	(文)																
旦	tuann3	tuã˨˩	(白)旦角																
旦	tan3	tan˨˩	(文)元旦																
灘	tʰuann1	tʰuã˧˧	(白)石滩																
灘	tʰan1	tʰan˧˧	(文)																
攤	tʰuann1	tʰuã˧˧	(白)摊开，排摊																
攤	tʰan1	tʰan˧˧	(文)																
攤	tʰuann3	tʰuã˨˩	(训)泛滥，繁殖																
坦	tʰan2	tʰan˥˨																	
嘆	tʰan3	tʰan˨˩																	
炭	tʰuann3	tʰuã˨˩	(白)火炭																
炭	tʰan3	tʰan˨˩	(文)																
檀	tuann5	tuã˩˨	(白)																
檀	tʰan5	tʰan˩˨	(文)																
坛	tuann5	tuã˩˨	(白)孤阴坛																
坛	tʰan5	tʰan˩˨	(文)玄坛爷																
彈	tuann7	tuã˨˨	(白)臭弹，弹走，弹线:木工线																
彈	tuann5	tuã˩˨	(白)弹琴																
彈	tan5	tan˩˨	(文)子弹																
誕	tan3	tan˨˩																	
但	tan7	tan˨˨																	
蛋	tan3	tan˨˩																	
憚	tan7	tan˨˨																	
難	lan5	lan˩˨	困难																
難	lan7	lan˨˨	磨难																
蘭	lan5	lan˩˨																	
蘭	lian5	lian˩˨	(替)荷兰豆																
蘭	leng5	leŋ˩˨	(替)荷兰豆																
攔	na5	na˩˨	(白)阻拦，拦截																
攔	lan5	lan˩˨	(文)																
欄	lan5	lan˩˨	栏杆																
懶	nua7	nua˨˨	(白)懒倒，懒伏鸡母																
懶	lan2	lan˥˨	(文)懒尸																
爛	nua7	nua˨˨																	
贊	tsan3	tsan˨˩																	
餐	tshan1	tsʰan˧˧																	
燦	tshang3	tsʰaŋ˨˩	金灿灿																
殘	tsan5	tsan˩˨																	
珊	san1	san˧˧																	
散	suann2	suã˥˨	(白)散开，散伙																
散	suann3	suã˨˩	(白)四散罔来																
散	san2	san˥˨	(文)药散																
散	san3	san˨˩	(文)散步																
散	som5	som˩˨	(替)邋遢																
散	song7	soŋ˨˨	(替)散步，散漫的样子:loŋ7 soŋ7																
傘	suann3	suã˨˩																	
肝	kuann1	kuã˧˧																	
竿	kuann1	kuã˧˧																	
杆	kuann1	kuã˧˧	(白)																
杆	kuɛnn2	kuɛ̃˥˨	(白)杆																
杆	kuann2	kuã˥˨	(白)杆秤																
杆	kan1	kan˧˧	(文)栏杆																
鼾	huɛnn2	huɛ̃˥˨	鼾眠:打呼噜																
鼾	huann2	huã˥˨	又																
鼾	ham1	ham˧˧	鼾眠																
干	kan1	kan˧˧																	
干	kan3	kan˨˩																	
乾	kuann1	kuã˧˧	(白)																
乾	kian1	kian˧˧	凝结，坚固:干冻，干疕																
乾	keng1	keŋ˧˧																	
乾	khian5	kʰian˩˨	做乾坤:装修动工等有关房屋风水之建造事																
乾	kʰeng5	kʰeŋ˩˨																	
乾	kinn5	kĩ˩˨	(替)墘:kĩ5仔																
乾	kiann5	kiã˩˨	(替)地名:霞寨镇李仔墘、天上墘																
墘	kinn5	kĩ˩˨	(白)边缘:碗墘，衫仔墘																
墘	kiann5	kiã˩˨	(白)地名:霞寨镇李仔墘、天上墘																
墘	khian5	kʰian˩˨	(文)地名:国强乡墘岭村																
桿	kuann2	kuã˥˨	杆秤																
稈	kuann2	kuã˥˨																	
擀	kuann2	kuã˥˨																	
趕	kuann2	kuã˥˨																	
看	khuann1	kʰuã˧˧	(白)看牛																
看	khuann3	kʰuã˨˩	(白)																
看	khan3	kʰan˨˩	(文)看守																
看	tship4	tsʰip˦˨	(训)浅浅的看																
看	he1	he˧˧	(训)1.快快的看 2.看不清:近视目珠he1 he1 3.鄙视:目珠he1 he1在共人看																
看	hi7	hi˨˨	(训)理睬																
看	gin7	gin˨˨	(训)gin7目:看不顺眼																
刊	khan1	kʰan˧˧																	
侃	khan2	kʰan˥˨																	
岸	huann7	huã˨˨	堘岸，牙槽岸																
鼾	huann5	huã˩˨	鼾眠																
罕	han2	han˥˨																	
漢	han3	han˨˩																	
寒	kuann5	kuã˩˨	(白)																
寒	han5	han˩˨	(文)小寒大寒																
寒	gan5	gan˩˨	(训)天气寒冷																
韓	han5	han˩˨																	
旱	huann7	huã˨˨	(白)旱灾																
旱	han7	han˨˨	(文)干旱																
捍	huann7	huã˨˨	扶																
汗	kuann7	kuã˨˨	(白)																
汗	han7	han˨˨	(文)																
翰	han7	han˨˨																	
安	uann1	uã˧˧	(白)同安																
安	an1	an˧˧	(文)																
鞍	uann1	uã˧˧	(白)马鞍																
鞍	an1	an˧˧	(文)																
按	an3	an˨˩	从，"按遐过来"																
案	an3	an˨˩																	
扮	pan7	pan˨˨																	
盼	phan3	pʰan˨˩																	
瓣	pan7	pan˨˨																	
辦	pian7	pian˨˨																	
辦	peng7	peŋ˨˨																	
䋎	tʰinn7	tʰĩ˨˨	缝补																
怎	tsuann2	tsuã˥˨	按怎																
盞	tsuann2	tsuã˥˨																	
鏟	tʰuann2	tʰuã˥˨	(白)铲草																
鏟	tshan2	tsʰan˥˨	(替)浪费:tsʰan2物件																
山	suann1	suã˧˧	(白)																
山	san1	san˧˧	(文)																
產	suann2	suã˥˨	(白)产坑，由散坑雅化而来																
產	san2	san˥˨	(文)																
艱	kan1	kan˧˧																	
艱	keng1	keŋ˧˧																	
間	kan1	kan˧˧																	
間	keng1	keŋ˧˧																	
簡	kan2	kan˥˨																	
簡	keng2	keŋ˥˨																	
揀	keng2	keŋ˥˨																	
揀	kan2	kan˥˨	同keŋ2																
柬	kan2	kan˥˨																	
眼	gan2	gan˥˨																	
眼	kan2	kan˥˨	厚字眼																
眼	keng2	keŋ˥˨	龙眼leŋ5 keŋ2																
閒	eng5	eŋ˩˨																	
限	an7	an˨˨	(白)有限:不可能， "望伊创只项事志亦是有限"																
限	han7	han˨˨	(文)限制																
莧	heng7	heŋ˨˨	红苋菜																
班	pan1	pan˧˧																	
班	peng1	peŋ˧˧																	
扳	pɛnn1	pɛ̃˧˧																	
扳	pan2	pan˥˨	扳手																
頒	pan1	pan˧˧																	
板	pan2	pan˥˨	靠板:天花板， 板坪仔:天台																
板	pang1	paŋ˧˧	(训)枋																
版	pan2	pan˥˨																	
攀	phan1	pʰan˧˧																	
蠻	ban5	ban˩˨																	
慢	ban7	ban˨˨	慢so5 so5																
棧	tsan3	tsan˨˩																	
删	san1	san˧˧																	
訕	san3	san˨˩																	
訕	suan7	suan˨˨	㵪:骂人																
奸	kan1	kan˧˧																	
奸	kan3	kan˨˩	pʰi3 kan3 kiau7:教训骂人																
姦	kan1	kan˧˧																	
姦	kan3	kan˨˩	pʰi3 kan3 kiau7:教训骂人																
諫	kan3	kan˨˩																	
顏	gan5	gan˩˨																	
雁	gan7	gan˨˨	大雁tua7 gan7																
晏	uann3	uã˨˩	晚																
編	pinn3	pĩ˨˩	(白)编头鬃																
編	pian1	pian˧˧	(文)																
編	peng1	peŋ˧˧	(文)																
鞭	pinn1	pĩ˧˧	(白)铁马鞭:马鞭草																
鞭	pian1	pian˧˧																	
鞭	peng1	peŋ˧˧																	
變	pinn3	pĩ˨˩	(白)变鬼变怪																
變	pian3	pian˨˩	(文)																
變	peng3	peŋ˨˩																	
篇	phinn1	pʰĩ˧˧	(白)																
篇	phian1	pʰian˧˧	(文)																
篇	pheng1	pʰeŋ˧˧																	
偏	phinn1	pʰĩ˧˧	(白)偏人:贪别人的小便宜																
偏	phian1	pʰian˧˧	(文)																
偏	pheng1	pʰeŋ˧˧																	
騙	phian3	pʰian˨˩																	
騙	pheng3	pʰeŋ˨˩																	
便	pan5	pan˩˨	便宜																
便	pian7	pian˨˨	利便																
便	peng7	peŋ˨˨																	
辨	pian7	pian˨˨																	
辨	peŋ7	peŋ˨˨																	
辯	pian7	pian˨˨																	
辯	peŋ7	peŋ˨˨																	
汴	pian7	pian˨˨																	
汴	peŋ7	peŋ˨˨																	
綿	mi5	mi˩˨	拖拉:绵趖，绵绵																
免	bian2	bian˥˨																	
免	beng2	beŋ˥˨																	
勉	bian2	bian˥˨																	
勉	beng2	beŋ˥˨																	
娩	bian2	bian˥˨																	
娩	beng2	beŋ˥˨																	
緬	bian7	bian˨˨																	
緬	beng7	beŋ˨˨																	
面	bin7	bin˨˨	表面																
面	beng7	beŋ˨˨																	
面	mi7	mi˨˨	麫																
碾	lian2	lian˥˨																	
碾	leng2	leŋ˥˨																	
碾	tian2	tian˥˨	碾米																
碾	lun2	lun˥˨	石碾																
碾	tun2	tun˥˨	碾踏:碾压																
連	lian5	lian˩˨																	
連	leng5	leŋ˩˨																	
僆	nua7	nua˨˨	鸡僆仔:1.未下蛋的小鸡母 2.未嫁人的小女孩																
聯	lian5	lian˩˨																	
聯	leng5	leŋ˩˨																	
煎	tsuann1	tsuã˧˧	(白)煎草仔茶，煎茶米																
煎	tsian1	tsian˧˧	(文)																
煎	tseng1	tseŋ˧˧																	
剪	tsian2	tsian˥˨	铰剪																
剪	tseng2	tseŋ˥˨																	
箭	tsinn3	tsĩ˨˩																	
濺	tsuann7	tsuã˨˨																	
遷	tshian1	tsʰian˧˧																	
遷	tsheng1	tsʰeŋ˧˧																	
淺	tshinn2	tsʰĩ˥˨	(白)色浅浅																
淺	tshian2	tsʰian˥˨	(文)																
淺	tsheng2	tsʰeŋ˥˨																	
錢	tsinn5	tsĩ˩˨	套钱:垫圈																
踐	tsian2	tsian˥˨																	
踐	tseng2	tseŋ˥˨																	
賤	tsuann7	tsuã˨˨	(白)滥贱																
賤	tshuann7	tsʰuã˨˨	(白)滥贱，同tsuã7																
賤	tsian7	tsian˨˨	(文)																
賤	tseng7	tseŋ˨˨																	
仙	sian1	sian˧˧	地理仙:风水先生，做仙:委婉称呼去世																
仙	seng1	seŋ˧˧																	
仙	suann1	suã˧˧	地名:国强乡仙美村																
鉎	sian1	sian˧˧	1.铁锈，2.皮肤污泥																
鉎	seng1	seŋ˧˧																	
鉎	sɛnn1	sɛ̃˧˧	(白)鉎鼎，鉎铁，鉎珠仔																
鮮	tshinn1	tsʰĩ˧˧	(白)新鲜																
鮮	sian1	sian˧˧	(文)																
鮮	seng1	seŋ˧˧																	
鮮	sian2	sian˥˨	朝鲜																
鮮	seng2	seŋ˥˨																	
癬	sian2	sian˥˨																	
癬	seng2	seŋ˥˨																	
線	suann3	suã˨˩	(白)																
涎	sian5	sian˩˨																	
涎	seng5	seŋ˩˨																	
羨	hian3	hian˨˩																	
羨	heng3	heŋ˨˩																	
展	tian2	tian˥˨	展皇神																
展	teng2	teŋ˥˨																	
纏	tinn5	tĩ˩˨	瓮laŋ2萦缠ĩ5 tĩ5:不明事理胡搅蛮缠																
戰	tsian3	tsian˨˩																	
戰	tseng3	tseŋ˨˩																	
顫	tsun3	tsun˨˩																	
顫	tsun1	tsun˧˧																	
扇	sinn3	sĩ˨˩	葵扇，扇仔																
扇	sian3	sian˨˩	扇喙䫌																
扇	iah8	iaʔ˩˧	(训)挥撒:iaʔ7镭，iaʔ7种																
扇	sai1	sai˧˧	(训)手掌暴打:sai1喙䫌																
扇	pe1	pe˧˧	(训)用手掌打:喙䫌共汝pe1落去																
扇	pa1	pa˧˧	(训)扇耳光																
扇	kuat4	kuat˦˨	(训)kuat4手:打手心，kuat喙䫌:扇耳光																
蟬	sinn3	sĩ˨˩	(白)地名:文峰镇西蝉社区sai1 sĩ3																
蟬	sian5	sian˩˨	知了																
蟬	seng5	seŋ˩˨																	
禪	sian5	sian˩˨																	
禪	seng5	seŋ˩˨																	
善	sian7	sian˨˨																	
善	seng7	seŋ˨˨																	
膳	sian7	sian˨˨	药膳																
膳	seng7	seŋ˨˨																	
擅	sian7	sian˨˨																	
擅	seng7	seŋ˨˨																	
然	jian5	jian˩˨																	
然	jeng5	jeŋ˩˨																	
燃	hiann5	hiã˩˨	(白)																
燃	jian5	jian˩˨	(文)																
燃	jeng5	jeŋ˩˨																	
遣	khian2	kʰian˥˨																	
遣	kheng2	kʰeŋ˥˨																	
虔	tshian5	tsʰian˩˨																	
虔	tsheng5	tsʰeŋ˩˨																	
件	kiann7	kiã˨˨	(白)																
件	kian7	kian˨˨	(文)																
件	keng7	keŋ˨˨																	
諺	gan7	gan˨˨																	
諺	geng7	geŋ˨˨																	
延	ian5	ian˩˨																	
延	eng5	eŋ˩˨																	
延	tshian5	tsʰian˩˨	延来延去:互相礼让																
延	tsheng5	tsʰeŋ˩˨																	
筵	ian5	ian˩˨																	
筵	eng5	eŋ˩˨																	
演	ian2	ian˥˨																	
演	eng2	eŋ˥˨																	
建	kian3	kian˨˩																	
建	keng3	keŋ˨˩																	
鍵	kian7	kian˨˨																	
鍵	keng7	keŋ˨˨																	
健	kiann7	kiã˨˨	(白)康健:老人身体好， 六月诸母较健老虎六月诸夫倚壁穿裤																
健	kian7	kian˨˨																	
健	keng7	keŋ˨˨																	
腱	kian3	kian˨˩	腱子仔肉																
腱	keng3	keŋ˨˩																	
腱	kian7	kian˨˨																	
腱	keng7	keŋ˨˨																	
言	gan5	gan˩˨																	
軒	hian3	hian˨˩	羊肉臭轩，臭老轩:老人臭																
軒	heng3	heŋ˨˩																	
軒	hian1	hian˧˧																	
軒	heng1	heŋ˧˧																	
掀	hian1	hian˧˧																	
掀	heng1	heŋ˧˧																	
掀	ian2	ian˥˨	(训)推翻																
憲	hian3	hian˨˩																	
憲	heng3	heŋ˨˩																	
獻	hinn3	hĩ˨˩	(白)																
獻	hian3	hian˨˩	(文)献开:翻开摊牌																
獻	heng3	heŋ˨˩																	
蔫	lian1	lian˧˧																	
蔫	leng1	leŋ˧˧																	
邊	pinn1	pĩ˧˧																	
邊	pian1	pian˧˧																	
邊	peng1	peŋ˧˧																	
蝙	pian2	pian˥˨																	
蝙	peng2	peŋ˥˨																	
扁	pinn2	pĩ˥˨	(白)																
扁	pun2	pun˥˨	扁担pun2 tã1																
扁	pan2	pan˥˨	扁食																
扁	pian2	pian˥˨	(文)																
扁	peng2	peŋ˥˨	扁担peŋ2 tã1																
匾	pian2	pian˥˨																	
匾	peng2	peŋ˥˨																	
遍	pian3	pian˨˩																	
遍	peng3	peŋ˨˩																	
片	phinn3	pʰĩ˨˩	(白)小物件:一片纸																
片	phian3	pʰian˨˩	(文)大地方:一片地																
片	pheng3	pʰeŋ˨˩																	
辮	pinn7	pĩ˨˨	(白)																
辮	pian7	pian˨˨	(文)																
辮	peng7	peŋ˨˨																	
眠	bin5	bin˩˨																	
眠	beng5	beŋ˩˨	又																
麵	mi7	mi˨˨	麫																
顚	tian1	tian˧˧	猪母颠																
顚	teng1	teŋ˧˧																	
顚	tʰian1	tʰian˧˧	颠颠魠魠																
顚	tʰeng1	tʰeŋ˧˧																	
顚	tiann1	tiã˧˧	(白)行路颠颠																
典	tian2	tian˥˨																	
典	teng2	teŋ˥˨																	
天	tʰinn1	tʰĩ˧˧	(白)																
天	tʰian1	tʰian˧˧	(文)天马山，天门宫，天门冬																
天	tʰeng1	tʰeŋ˧˧																	
田	tshan5	tsʰan˩˨	(训)堘																
田	tʰian5	tʰian˩˨																	
田	tʰeng5	tʰeŋ˩˨																	
塡	tʰian5	tʰian˩˨																	
塡	tʰeng5	tʰeŋ˩˨																	
塡	tʰiam7	tʰiam˨˨	填水，井里打水																
電	tian7	tian˨˨																	
電	teng7	teŋ˨˨																	
殿	tian7	tian˨˨																	
殿	teng7	teŋ˨˨																	
奠	tian7	tian˨˨																	
奠	teng7	teŋ˨˨																	
佃	tian7	tian˨˨																	
佃	teng7	teŋ˨˨																	
年	ni5	ni˩˨	(白)																
年	lian5	lian˩˨	(文)少年，流年																
年	leng5	leŋ˩˨																	
辇	lian2	lian˥˨	风车辇																
辇	leng2	leŋ˥˨																	
攆	lian2	lian˥˨																	
攆	leng2	leŋ˥˨																	
撚	liam7	liam˨˨	八撚瓜:棱角丝瓜， 撚仔姓:因为迁徙或联姻等活动继承别的姓氏，但有说法父方姓氏最大房要有人继承，不然会带来灾祸																
憐	lian5	lian˩˨																	
憐	leng5	leŋ˩˨																	
蓮	lian5	lian˩˨																	
蓮	leng5	leŋ˩˨																	
練	lian7	lian˨˨	练仙:闲聊																
練	leng7	leŋ˨˨																	
煉	lian7	lian˨˨																	
煉	leng7	leŋ˨˨																	
薦	tsian3	tsian˨˩	荐盒sian3 hap8:供奉神明的甜品包，通常是冬瓜条，冰糖和一个小糖果																
薦	tseng3	tseŋ˨˩																	
千	tsheng1	tsʰeŋ˧˧	(白)																
千	tshian1	tsʰian˧˧	(文)千人苦千样																
千	tshan1	tsʰan˧˧	千人千样																
前	tseng5	tseŋ˩˨	(白)																
前	tsian5	tsian˩˨	(文)1，前程 2.地名:文峰镇前埔村																
先	seng1	seŋ˧˧	先后，待先																
先	sin1	sin˧˧	先生																
肩	keng1	keŋ˧˧																	
肩	kan1	kan˧˧	同keŋ1																
肩	kian1	kian˧˧	(文)肩膀																
堅	kian1	kian˧˧																	
堅	keng1	keŋ˧˧																	
鏗	khiang1	kʰiaŋ˧˧	硬物撞击声:碗kʰok4遘kʰiaŋ1kʰiaŋ1叫																
鏗	khainn1	kʰaĩ˧˧	敲击金属声:锣鼓kʰaĩ1 kʰaĩ1叫																
繭	kan2	kan˥˨	纠茧:杂乱交错在一起																
繭	lan5	lan˩˨	(训)身体皮肤结茧																
見	kinn3	kĩ˨˩	(白)																
見	kian3	kian˨˩	(文)见笑:丢人																
見	keng3	keŋ˨˩	(文)																
梘	kian2	kian˥˨	地名:九峰鎮枧下村																
牽	khan1	kʰan˧˧	(白)牵亡:童乩通灵逝者，与生者交谈																
牽	khian1	kʰian˧˧	(文)圈仔，也有写成牵仔																
牽	kheng1	kʰeŋ˧˧																	
硏	geng2	geŋ˥˨	研磨																
硏	gian2	gian˥˨	研究																
癮	gian3	gian˨˩	(白)正面喜欢:我瘾食，也有做负面:起gian3																
癮	in2	in˥˨	(文)负面瘾:上瘾tsiũ7 in2																
硯	hian3	hian˨˩																	
硯	heng3	heŋ˨˩																	
顯	hiann2	hiã˥˨	(白)显目																
顯	hian2	hian˥˨	(文)																
顯	heng2	heŋ˥˨																	
顯	hian1	hian˧˧	(训)神明灵验，漳典用祆																
賢	hian5	hian˩˨																	
賢	heng5	heŋ˩˨																	
弦	hinn5	hĩ˩˨	(白)弦仔:二胡																
弦	hian5	hian˩˨	(文)弦仔:二胡																
弦	heng5	heŋ˩˨	(文)																
現	hian7	hian˨˨	马上:现卜，现去，现创																
現	heng7	heŋ˨˨																	
煙	ian1	ian˧˧	烟火																
煙	eng1	eŋ˧˧																	
燕	inn3	ĩ˨˩	(白)																
燕	ian3	ian˨˩	(文)																
燕	eng3	eŋ˨˩	(文)																
咽	in1	in˧˧	咽炎																
咽	ian3	ian˨˩	咽气																
咽	eng3	eŋ˨˩	咽气																
宴	ian3	ian˨˩	宴请																
宴	eng3	eŋ˨˩	又																
獺	tʰuah4	tʰuaʔ˦˨	水獭																
達	tat8	tat˩˧																	
捺	nai7	nai˨˨	横竖撇捺																
辣	luah8	luaʔ˩˧																	
癩	tʰai2	tʰai˥˨	癞哥:原指麻风病人，后引申做恶心肮脏之意																
擦	tshat4	tsʰat˦˨																	
擦	tshe3	tsʰe˨˩	(训)摖:鼎tsʰe3																
擦	le3	le˨˩	(训)1.摩擦"le3破皮" 2.锉刀"le3仔"																
擦	tshit4	tsʰit˦˨	擦拭																
擦	tsut8	tsut˩˧	随便擦																
撒	sat4	sat˦˨																	
撒	sam2	sam˥˨	(训)糁:sam2粉																
撒	ia7	ia˨˨	(训)挥洒:ia7种																
薩	sat4	sat˦˨																	
割	kuah4	kuaʔ˦˨																	
葛	kuah4	kuaʔ˦˨	地名:1崎岭乡下葛村.2.南靖县葛竹村																
渴	khuah4	kʰuaʔ˦˨																	
八	peh4	peh˦˨	(白)新派有八百不分的情况，但不成体系																
八	pat4	pat˦˨	(文)																
扒	pɛ1	pɛ˧˧	扒痒，扒糜饭:扒饭也有被动意，如果病人卧床需人照料就用"伊爱度人扒"																
拔	puat8	puat˩˧	(文)																
拔	phuannh8	pʰuãʔ˩˧	(白)一拔水:井里打一桶水																
紮	tsah4	tsaʔ˦˨	(白)扎裤头																
紮	tsat4	tsat˦˨	(文)扎根																
紮	tsap4	tsap˦˨	一扎花																
扎	tsah4	tsaʔ˦˨	(白)1.提起:扎裤头 2.带:扎物件																
扎	tsat4	tsat˦˨	(文)扎根																
扎	tsap4	tsap˦˨	一扎花																
察	tsɛ5	tsɛ˩˨																	
殺	suah4	suaʔ˦˨	(白)七杀八败																
殺	sat4	sat˦˨	(文)																
煞	sah4	saʔ˦˨	(白)1.连带"伊亦煞来去"，2.居然"汝煞毋也"，3.反而"人愈讲伊煞愈毋听"，4.难道"汝煞听无"																
煞	suah4	suaʔ˦˨	(白)1.结束"煞九煞九"，2.凶煞邪神																
鍘	tsah8	tsaʔ˩˧																	
轄	hak4	hak˦˨	购买不动产:hak4厝																
轄	hat4	hat˦˨	同hat4																
別	pat8	pat˩˧	(白)																
別	piat4	piat˦˨	(文)																
別	bat4	bat˦˨																	
憋	pɛh4	pɛʔ˦˨	憋腹:手头紧没钱																
鱉	pih4	piʔ˦˨	水鱉仔:小口水壺																
滅	biat8	biat˩˧																	
列	liat8	liat˩˧																	
裂	liat8	liat˩˧	(文)																
裂	lih8	liʔ˩˧	(白)裂开:倒裂箍:手皮倒刺																
裂	leh8	leh˩˧	(替)开口																
裂	liah4	liaʔ˦˨	liaʔ4 tsʰiã1:手皮倒刺																
裂	ueh8	ueh˩˧	开裂:裤底ueʔ7去																
裂	pit4	pit˦˨	(训)裂喙仔																
烈	liat8	liat˩˧																	
薛	sih4	siʔ˦˨																	
泄	tshuah4	tsʰuaʔ˦˨																	
泄	siah4	siaʔ˦˨	(替)																
泄	tsuh4	tsuʔ˦˨	(训)喷射:tsuʔ4膏，tsiʔ4 tsuʔ4																
泄	tshu7	tsʰu˨˨	(训)喷射																
哲	tiat4	tiat˦˨	哲学																
徹	tʰiat4	tʰiat˦˨	彻底																
徹	tʰɛh4	tʰɛʔ˦˨	徹徹:干净																
澈	tʰiat4	tʰiat˦˨																	
澈	tʰɛh4	tʰɛʔ˦˨	(训)																
澈	tʰah4	tʰaʔ˦˨																	
撤	tʰiat4	tʰiat˦˨																	
浙	tsiat4	tsiat˦˨	浙江																
浙	tsek4	tsek˦˨	又																
舌	tsih8	tsiʔ˩˧																	
設	siat4	siat˦˨																	
熱	juah8	juaʔ˩˧	(白)烧热																
熱	jiat8	jiat˩˧	(文)闹热																
熱	ho1	ho˧˧	(训)温热																
傑	kiat8	kiat˩˧																	
孽	giat8	giat˩˧																	
揭	giah4	giaʔ˦˨	翘																
揭	kiat4	kiat˦˨	揭阳																
揭	khiat4	kʰiat˦˨	捩揭liʔ4 kʰiat4:过于精明																
竭	kiat8	kiat˩˧																	
竭	khiat8	kʰiat˩˧	咙喉凋竭竭																
歇	heh4	heh˦˨	歇骹																
歇	hɛnnh4	hɛ̃ʔ˦˨	喘息																
撇	phiat4	pʰiat˦˨																	
撇	iat8	iat˩˧	(训)iat8葵扇																
撇	iap4	iap˦˨	(训)iap4角仔:偏僻角落																
撇	phiat8	pʰiat˩˧	(训)pʰiat8翼仔:拍打翅膀																
撇	phiak8	pʰiak˩˧	(训)1.喷溅 2.拍打声 3.布匹随风拍打																
撇	tshek8	tsʰek˩˧	(训)颠簸摇晃																
撇	phih8	pʰiʔ˩˧	(训)pʰiʔ7 pʰok8:爆炸声																
篾	bih8	biʔ˩˧	篾席																
鐵	tʰih4	tʰiʔ˦˨																	
迭	tiap8	tiap˩˧	更迭																
跌	tiat8	tiat˩˧																	
捏	liap4	liap˦˨																	
捏	ni5	ni˩˨	(训)拈:手指捏起																
捏	tɛnn7	tɛ̃˨˨	(训)捏，握																
懾	liap4	liap˦˨	懾懾:恐惧的样子																
節	tseh4	tseh˦˨	(白)冬节，季节																
節	tsat4	tsat˦˨	节制																
節	tsiat4	tsiat˦˨	(文)																
切	tsheh4	tsʰeh˦˨	痛切																
切	tshiat4	tsʰiat˦˨																	
切	siat8	siat˩˧	(训)切割																
切	suat8	suat˩˧	(训)同siat8																
截	tsiat8	tsiat˩˧	(文)																
截	tsannh8	tsãʔ˩˧	可能是闸																
屑	seh4	seh˦˨	(白)屑仔:碎屑																
屑	sut4	sut˦˨	一屑仔:一点点																
屑	siap4	siap˦˨	(替)拾粒siap4:不浪费细小的东西																
結	kat4	kat˦˨	(白)猴kat4形:面容忧愁																
結	kiat4	kiat˦˨	(文)																
潔	kiat4	kiat˦˨																	
噎	ɛh8	ɛʔ˩˧																	
搬	puann1	puã˧˧																	
般	puann1	puã˧˧	(白)																
般	pan1	pan˧˧	(文)																
半	puann3	puã˨˩	(白)半丁																
半	pan3	pan˨˩	(文)																
拌	puann7	puã˨˨	(白)																
拌	pan7	pan˨˨	(文)																
泮	puann3	puã˨˩	国强镇泮池																
絆	puann7	puã˨˨																	
潘	phun1	pʰun˧˧	米潘:淘米水																
潘	pheng1	pʰeŋ˧˧																	
潘	phuann1	pʰuã˧˧	(白)姓氏																
拼	piann3	piã˨˩	(白)																
拼	pheng3	pʰeŋ˨˩	(文)																
判	phuann3	pʰuã˨˩	(白)																
判	phan3	pʰan˨˩	(文)																
盤	puann5	puã˩˨																	
盤	uinn2	uĩ˥˨	(训)uĩ2仔:杆秤上的小竹盘																
伴	phuann7	pʰuã˨˨	(白)																
伴	pan7	pan˨˨	(文)																
叛	pan7	pan˨˨																	
瞞	mua5	mua˩˨																	
饅	ban7	ban˨˨																	
滿	mua2	mua˥˨	(白)																
滿	buan2	buan˥˨	(文)自满																
滿	puann5	puã˩˨	(训)水溢出																
滿	tinn7	tĩ˨˨	(训)水满了																
漫	mua7	mua˨˨	(白)漫过																
漫	ban7	ban˨˨	(文)																
幔	mua1	mua˧˧	披:幔衫仔																
幔	mua7	mua˨˨	雨幔仔:细雨																
幔	ban7	ban˨˨																	
