例字	注释	中古音	公平	九屋	潭下	甘棠	定江	三街	灵田	大圩力村	潮田	大境	海洋江尾
秘		止开三去至帮		mi35{借桂}	mi35	mi35	mi31	mi35	mi55	mi35	mi24	mi35	mi33
屁		止开三去至滂	pʰæ35	pʰi53	pʰi53	pʰi35	pʰi55	pʰi35	pʰi55	pʰi35	pʰi24	pʰi35	pʰi53
备		止开三去至並	pæ53	pi21	piɛ21	pi21	pi31	pi21	pei44	pi35	pi21	pi21	pi33
鼻		止开三去至並	pia21	pɛ53	pʰi53	pi21	pi31	pi21	pi44	pi21	pi21	pi33{变调}	pi21/piɛ55
地		止开三去至定	tæ53	ti53	ti53	ti21	ti31	ti21	ti44	ti21	ti21	ti21	ti33
利		止开三去至来	læ53	ni53	ni53	ȵi21	li31	li21	li44	li21	ȵi21	li21	li33
次		止开三去至清	tsʰæ35	tsʰɿ53	tsʰɿ53	tsʰɿ35	tsʰɿ55	tsʰɿ35	tsʰɿ55	tsʰɿ35	tsʰɿ24	tsʰɿ35	tsʰɿ53
自		止开三去至从	tsæ53	tsɿ53	tsɿ53	tsɿ21	tsɿ31	tsɿ21	tsɿ44	sɿ21	tsʰɿ21	tsɿ21	tsɿ33
四		止开三去至心	sæ35	sɿ35	sɿ35	sɿ35	sɿ55	sɿ35	sɿ55	sɿ35	sɿ24	sɿ35	sɿ53
致		止开三去至知	tʃi35{借桂}	tsɿ35{借桂}	tsɿ35{借桂}	tʃi35		tʃi35	tsɿ55	tʃi35	tsɿ24	tʃi35	tʃi53
示		止开三去至船	ʃi35	sɿ35	sɿ21	sɿ21	sɿ31{示范}/sɿ55{指示}	sɿ21	sɿ44	sɿ35	sɿ24	sɿ21	sɿ33
视		止开三去至禅	ʃi35	sɿ35{借桂}	ʃi35	15	sɿ24	sɿ21	sɿ44	sɿ35	sɿ24	sɿ21	sɿ33
二		止开三去至日	ȵi53	i53	i53	i21	i31	i21	i44	i21	i21	i21	i33
器		止开三去至溪		kʰi21	tʃʰi35	kʰi35	tʃʰi55	tʃʰi35	tɕʰi55	tʃʰi35	tʃʰi24	tʃʰi35	tʃʰi33
弃		止开三去至溪		hi35	tʃʰi35	kʰi35	ʃi55	ʃi35	hi55	ʃi35	ʃi24	tʃʰi35	ʃi53
厘		止开三平之来	læ21	ni33	ni33	ȵi22	li22	li533	li33	li33	ȵi33	li33	li21
磁		止开三平之从	tsʰɿ21{借桂}	tsʰɿ21{借桂}	tsʰɿ21{借桂}	tsʰɿ21{借桂}	tsɿ22	tsɿ533	tsɿ33	tsʰɿ21{借桂}	tsʰɿ21{借桂}	tsɿ33	tsɿ21
丝		止开三平之心	sæ44	sɿ232	sɿ13	sɿ132	sɿ24	sɿ13	sɿ242	sɿ33{借桂}	sɿ43	sɿ42	sɿ24
祠		止开三平之邪	tsæ53	tsɿ33	tsɿ33	tsɿ22	tsɿ22	tsɿ533	tsɿ33	tsʰɿ33	tsɿ33	tsɿ33	tsɿ21
诗		止开三平之书		sɿ232	sɿ13	sɿ132	sɿ24	sɿ13	sɿ242	sɿ33	sɿ43	sɿ42	sɿ24
时		止开三平之禅	ʃi21	ʃi33	ʃi33	ʃi22	ʃi22	ʃi533	ɕi33	ʃi33	ʃi33	ʃi33	ʃiɛ21
基		止开三平之见		ki232	tʃi13	ki132	tʃi24	tʃi13	tɕi242	tʃi33{借桂}	tʃi43	tʃi42	tʃi24
欺		止开三平之溪	kʰi44	kʰi232	tʃʰi13	kʰi132	tʃʰi24	tʃʰi13	tɕʰi242	tʃʰi33{借桂}	tʃʰi43	tʃʰi42	tʃʰi24
棋		止开三平之群	ki21	ki33	tʃi33	kʰi22	tʃi22	tʃi533	tɕi33	tʃʰi33	tʃʰi33	tʃi33	tʃi21
疑		止开三平之疑	ȵi21	ni33	ni33	ȵi22	li22	i533	ȵi33	ȵi33	ȵi33	ȵi33	ȵi21
医		止开三平之影	i44	i232	i13	i132	i24	i13	i242	i33{借桂}	i43	i42	i24
你		止开三上止泥	næ33	ni21	ni21	ȵi44	li13	ni33	ȵi21	ȵi13	n52	ni53	ȵi55
里	~面	止开三上止来	læ33	ni21	ni21	ni44	li13	ni33	li21	li13	ȵi52	li53	li55
痔		止开三上止澄	tʃi35	tʃi35	tʃi53	tʃi21	tsɿ31	tʃi21	tɕi44	tʃi35	tʃʰi21	tʃi35	
使		止开三上止生	ʃi53	sɿ53	sɿ44	ʃi44	sɿ33	ʃi33	sɛ35	ʃi55	ʃi55	ʃi55	ʃi55
止		止开三上止章	tʃi55	tʃi422	tʃi44	tʃi44	tʃi33	tʃi33	tsɿ35		tʃi55	tʃi55	tʃi55
齿		止开三上止昌	tʃʰi55	tʃʰi21	tʃʰi44	tʃʰi44	tʃʰi13	tʃʰi33	tɕʰi35	tʃʰi55	tʃʰi55	tʃʰi55	tʃʰi55
始		止开三上止书	ʃi53{借桂}	ʃi422	ʃi44	ʃi44	sɿ33	ʃi33	ɕi35	ʃi55	ʃi55	ʃi55	ʃi55
市		止开三上止禅		sɿ53	sɿ53	sɿ21	sɿ31	sɿ21	sɿ44	sɿ35{借桂}	sɿ24	sɿ35	sɿ53
耳		止开三上止日	ȵiᴇ33	i422	i44	i44	i33	i33	i35	i13	i55	i53	i55/y55
纪		止开三上止见	ki55	tʃi33{变调}	tʃi44	ki44	tʃi33	tʃi33	tɕi35	tʃi55		tʃi55	tʃi55
起		止开三上止溪	hi55	hi422	tʃʰi21	kʰi44	tʃʰi13	tʃʰi33	kʰi35	tʃʰi55	tʃʰi55	tʃʰi55	tʃʰi55
喜		止开三上止晓	hi55	hi422	ʃi44	hi44	ʃi33	ʃi33	ɕi35	ʃi53{借桂}	ʃi55	ʃi55	ʃi55
己		止开三上止以	i55	i422	i21	i44		i33	i21		i52	i53	i55
以		止开三上止以	i55	i422	i21	i44	i33	i33	i21	i53{借桂}	i52	i53	i55
吏		止开三去志来	li35	ni53	ni35	ȵi21	li31	li21			ȵi21		li33
字		止开三去志从	tsæ53	tsɿ53	tsɿ53	tsɿ21	tsɿ31	tsɿ21	tsɿ44	sɿ21	tsʰɿ21	tsɿ21	tsɿ33
寺		止开三去志邪	tsæ53	tsɿ53	tsɿ53	sɿ21	tsɿ31	tsɿ21	tsɿ44	sɿ21	tsʰɿ21	tsɿ21	tsɿ33
饲		止开三去志邪		sɿ35{借桂}	sɿ35	sɿ35	sɿ24	sɿ35	sɿ44	sɿ21		sɿ21	sɿ53
治		止开三去志澄	tʃi35	tsɿ35{借桂}	tsɿ35{借桂}/tʃi53	tʃi35	tsɿ31	tʃi35	tsɿ44	tʃi35		tʃi35	tʃi53
事		止开三去志崇	si53	sɿ53	sɿ53	ʃi44{变调}	sɿ31	sɿ21	sɿ44	sɿ21	sɿ21	sɿ21	sɿ33
痣		止开三去志章	tʃi35	tʃi35	tsɿ53/tʃi35	tsɿ21	tʃi55	tʃi35	tsɿ55	tʃi35	tsɿ24	tʃi35	tʃi53
试		止开三去至书	ʃi35	ʃi35	sɿ35	ʃi35	ʃi55	ʃi35	sɿ55	ʃi35	ʃi24	ʃi35	ʃi33
记		止开三去至见	ki35	ki35	tʃi35	ki35	tʃi55	tʃi35	ki55	tʃi35	tʃi24	tʃi35	tʃi55
忌		止开三去至群	ki35	ki53	tʃi35	ki21	tʃi31	tʃi35	tɕi44	tʃi35	tʃʰi21	tʃi35	tʃi55
意		止开三去至影	i35	i35	i35	i35	i55	i35	i55	i35{借桂}	i24	i35	i53
机		止开三平微见	ki44	ki232	tʃi13	ki132	tʃi24	tʃi13	tɕi242	tʃi422	tʃi43	tʃi42	tʃi24
希		止开三平微晓	hi44	hi232	ʃi13	hi132	ʃi24	ʃi13	ɕi242	ʃi422	ʃi43	ʃi42	ʃi24
衣		止开三平微影	i44	i232	i13	i132	i24	i13	i242	i422	i43	i42	i24
几		止开三上尾见	ki55	ki422	tʃi44	ki44		tʃi33	ki35	tʃi55	tʃi55	tʃi55	tʃi55
气		止开三去未溪	hi35	hi35	tʃʰi53	kʰi35	tʃʰi55	tʃʰi35	tɕʰi55	tʃʰi35	tʃʰi24	tʃʰi35	tʃʰi53
毅		止开三去未疑		i35{借桂}	i35	i35		i35	i44	i35{借桂}	i24{借桂}	i35	i33
吹		止合三平支昌	tʃʰʊ44	tsʰu232	tʃʰy13	tʃʰʏ132	tsʰuei24	tʃʰy13	tsʰuᵉi242	tʃʰy422	tʃʰy43	tʃʰy42	tʃʰy24
规		止合三平支见	kʊæ55	kuᴇi232	kuei13	kuei132	kuei24	kuᴇi13	kuᵉi242	kʊᴇɪ33{变调}	kuᴇi43	kuɛi42	kuɘi24
亏		止合三平支溪	kʰʊæ44	kʰuᴇi232	kʰuei13	kʰuei132	kʰuei24	kʰuᴇi13	kʰuᵉi242	kʰy422	kʰuᴇi43	kʰuɛi42	kʰuɘi24
危		止合三平支疑		uᴇi33	uei33{借桂}	uei22	uei22	uᴇi533	uᵉi33	ʊᴇɪ33	uᴇi33	uɛi33	uɘi21
嘴		止合三上纸精	tsᴇɪ55	tsɿ422	tʃy44	tʃʏ44	tsei33	tʃy33	tsuᵉi35	tʃy55	tʃy55	tʃy55	tʃy55
跪		止合三上纸群	kʊæ53	kuᴇi53	kɯ53	kuei21	kuei31	ku21	kuᵉi44	kʰy21	tʃʰy21	ty21	tʃy33
喂	~饭	止合三去寘影	ʊæ35	uei35	uei35	uei35	uei55	y35	uᵉi55		y24	y35	y53
为	~什么	止合三去寘云	ʊæ53	uei53	uei53	uei21	uei31	uᴇi21	uᵉi44	ʊᴇɪ21	uᴇi21	uɛi21	uɘi33
追		止合三平脂知	tʃʊ44	tsuᴇi232	tsuei13	tʃʏ132	tsuei24	tsuᴇi13	tsuᵉi242	tʃy422	tʃy43	tʃy42	tʃy24
锤		止合三平脂澄	tʊ21	tɯ33	ty33	tʏ22	tei22	ty533	ty33	ty33	ty33	ty33	ty21
龟		止合三平脂见	kʊæ44	kuᴇi232	kuei13	kuei132	kuei24	kuᴇi13	kuᵉi242	kʊᴇɪ422	kuᴇi43	kuɛi42	tʃy24
遗		止合三平脂以	i21{借桂}	i33	i21{借桂}	15		i533	i33	i21{借桂}	i21{借桂}	i21{借桂}	
水		止合三上旨书	ʃʊ55	su422	ʃy44	ʃʏ44	suei33	ʃy33	suᵉi35	ʃy55	ʃy55	ʃy55	ʃy55
类		止合三去至来		nɯ422	nuɯ53	nei21	lei31	lɤ21	luᵉi44	lᴇɪ35	nuᴇi21	luɛi21	luɘi33
泪		止合三去至来	liau53	nɯ21	ny21	ȵʏ21	lei31	ly21	liɑu44	ly21	ȵy21	ly21	
醉		止合三去至精	tsᴇɪ35	tsuᴇi35	tʃy35	tʃʏ35	tsei55	tʃy35	tɕy55/tsuᵉi55{多说}	tʃy35	tʃy24	tʃy35	tʃy53
翠		止合三去至清		tsʰuᴇi35	tʃʰy53	tsʰei35	tsʰei55	tʃʰy35	tsʰuᵉi55	tsʰʊᴇɪ35	tsʰuᴇi24	tsʰuɛi35	tsʰuɘi53
帅		止合三去至生		suəi35{借桂}	suəi35	sua35	sua55	ʃya35	suᴇ55	ʃʊæ̃e35{借桂}	ʃuæ24	ʃuæ35	ʃuæ53
季		止合三去至见		ki35	tʃi35	ki35	tʃi55	tʃi35	tɕi55	tʃi35{借桂}	tʃi24	tʃi35	tʃi33
柜		止合三去至群	kʊæ53	kuᴇi53	kɯ53	kuei21	kuei31	ku21	kuᵉi44	kʰy21	tʃʰy21	tʃy21	
位		止合三去至云	ʊæ53	uᴇi53	uei53	uei21	uei31	uᴇi21	uᵉi44	ʊᴇɪ35	uᴇi21	uɛi21	uɘi33
飞		止合三平微非	fæ44	fᴇi232	fei13	fei132	fei24	fᴇi13	fi242	fʊᴇɪ422	fi43	fi42	fi24
肥		止合三平微奉	fæ21	fᴇi33	fei33	fei22	fei22	fᴇi533	fei33	fʊᴇɪ33	fi33	fi33	fi21
归		止合三平微见	kʊæ44	kuᴇi232	15	kuei132	kuei24	kuᴇi13	kuᵉi242	kʊᴇɪ422	kuᴇi43	kuɛi42	kuɘi24
威		止合三平微影	ʊæ44	uᴇi232	uei13	uei132	uei24	uᴇi13	uᵉi242	ʊᴇɪ33{变调}	uᴇi43	uɛi42	uɘi24
围		止合三平微云	ʊæ21	uᴇi33	uei33	uei22	uei22	uᴇi533	uᵉi33	ʊᴇɪ33	y33	y33	y21
匪		止合三上尾非	fᴇɪ55	fᴇi422	fei44	fei44	fei33	fei33	fei35	fʊᴇɪ55	fᴇi55	fi55	fɘi55
尾		止合三上尾微	mæ33	mi21	mi21	mi44	uei33	uᴇi33	mi21	mᴇɪ13	mi52	mi53	mi55
鬼		止合三上尾见	kʊæ55	kuᴇi422	kuei44	kuei44	kuei33	kuᴇi33	kuᵉi35	ky55	tʃy55	tʃy55	tʃy55
伟		止合三上尾云		uᴇi422	uei53{借桂}	uei44	uei33	uᴇi33	uᵉi21		uᴇi52	uei53	uɘi55
费		止合三去未帮		fᴇi35	fei35	fei35	fei55	fei35	fi55	fʊᴇɪ35	fᴇi24	fɛi35	fɘi53
味		止合三去未微	ʊæ53	uᴇi53	uei53	uei21	uei31	uᴇi21	uᵉi44	ʊᴇɪ33{变调}	uᴇi21	uɛi21	uɘi33
贵		止合三去未见	kʊæ35	kuᴇi35	kuei35	kuei35	kuei55	kuᴇi35	kuᵉi55	kʊᴇɪ35{借桂}	tʃy24	kuɛi35	tʃy53
胃		止合三去未云	ʊæ53	uᴇi53	uei53	uei21	uei31	uᴇi21	uᵉi44	ʊᴇɪ35{借桂}	uᴇi24{借桂}	uɛi35	uɘi33
毛		效开一平豪明	mau21	mɑu33	mɑu33	mou22	mau22	mau533	mɑu33	mɑʊ33	mɑu33	mau33	mɑu21
刀		效开一平豪端	tau44	tɑu232	tɑu13	tou132	tau24	tau13	lɑu242	ɗɑʊ422	tɑu43	tau42	tɑu24
桃		效开一平豪定	tau21	tɑu33	tɑu33	tou22	tau22	tau533	tɑu33	tɑʊ33	tɑu33	tau33	tɑu21
淘	~米	效开一平豪定	tau21	hɑu33	tɑu33	tou22	tau22	hau533	tɑu33	tɑʊ33	tɑu33	tau33	tɑu21
劳		效开一平豪来	lau21	nɑu33	nɑu33	nou22	lau22	lau533	lɜ33	lɑʊ33	nɑu33	lau33	lɑu21
牢		效开一平豪来	lau21	nɑu33	nɑu22	nou22	lau22	lau533	lɑu33	lɑʊ33	nɑu33	lau33	lɑu21
糟		效开一平豪精	tsau44	tsɑu232	tsɑu13	tsou132	tsau24	tsau13	tsɑu242	tsɑʊ422	tsɑu43	tsau42	tsɑu24
操		效开一平豪清		tsʰɑu232	tsʰɑu13	tsʰou132	tsʰau24	tsʰau13	tsʰɑu242	tsʰɑʊ422	tsʰɑu43	tsʰau42	tsʰɑu24
曹		效开一平豪从	tsau21	tsʰɑu21{借桂}	tsɑu33	tsʰou22	tsau22	tsau533	tsɑu33	tsʰɑʊ33	tsʰɑu21{借桂}	tsau33	tsɑu21
臊		效开一平豪心	sau44	sɑu232	sɑu13	sou132	sau24	sau13	sɑu242	sɑʊ33	sɑu43	sau42	sɑu24
高		效开一平豪见	kau44	kɑu232	kɑu13	kou132	kau24	kau13	kɑu242	kɑʊ422	kɑu43	kau42	kɑu24
熬		效开一平豪疑	ŋau21	ɑu33	ɑu33	ŋou22	ŋau22	ŋau533	ŋɑu33	ŋɑʊ33	ŋɑu33	ŋau33	ŋɑu24/ŋɑu21
豪		效开一平豪匣		hɑu33	hɑu33	hou22	hau22	hau533	hɜ33	hɑʊ21{借桂}	hɑu33	hau21{借桂}	hɑu21
保		效开一上皓帮	pau55	pɑu422	pɑu44	pou44	pau33	pau33	pɑu35	ɓɑʊ55	pɑu55	pau55	pɑu55
宝		效开一上皓帮	pau55	pɑu422	pɑu44	pou44	pau33	pau33	pɑu35	ɓɑʊ55	pɑu55	pau55	pɑu55
抱		效开一上皓並	pau33	pɑu21	pɑu21	pou44	pau13	pau33	mɑu21	pɑʊ13	pɑu52	pau53	pɑu53
倒		效开一上皓端		tɑu422	tɑu44	tou44	tau33	tau33	lɑu35	ɗɑʊ55	lu55	lau55	lɑu33
讨		效开一上皓透	tʰau55	tʰɑu21	tʰɑu21	tʰou44	tʰau13	tʰau33	tʰɑu35	tʰɑʊ55	tʰɑu55	tʰau55	tʰɑu55
道		效开一上皓定	tau53	tɑu53	tɑu53	tou21	tau31	tau21	tɑu44	toʊ21	tɑu21	tau21	tɑu33
脑		效开一上皓泥	nau33	nɑu21	nɑu21	nou44	lau13	nau33	nɑu21	nɑʊ13	nɑu52	nau53	nɑu55
老		效开一上皓来	lau33	nɑu21	nɑu21	nou44	lau13	lau33	lɑu21	lɑʊ13	nɑu52	lau53	lɑu55
早		效开一上皓精	tsau55	tsɑu422	tsɑu44	tsou44	tsau33	tsau33	tsɑu35	tsɑʊ55	tsɑu55	tsau55	tsɑu55
草		效开一上皓清	tsʰau55	tsʰɑu21	tsʰɑu21	tsʰou44	tsʰau13	tsʰau33	tsʰɑu242	tsʰɑʊ55	tsʰɑu55	tsʰau55	tsʰɑu55
造		效开一上皓从		tsɑu35{借桂}	tsɑu53	tsou21	tsau31	tsau21	tsɑu44		tsʰɑu21	tsau35	tsɑu33
扫	~地	效开一上皓心	sau55	sɑu35	sɑu35	sou44	sau55	sau35	sɑu55	sɑʊ35	sɑu24	sau55	sɑu55
稿		效开一上皓见		kɑu422	kɑu44	kou44	kau33	kau33	kɑu35	kɑʊ55	kɑu55	kau55	kɑu55
烤		效开一上皓溪	tʃi4{训读}	kʰɑu21	kʰɑu21	kʰou44	kʰau13	kʰau33	kʰɑu35	tʃᴇɪ53{训读}	kʰɑu55	kʰau55	kʰɑu55
好		效开一上皓晓	ʊæ33	hɑu21	hei33{训读}	hou44	hau13	hɤ33	hɑu35	hoʊ21	hɑu55	hau55	hɑu55
袄		效开一上皓影		ɑu53{借桂}	ɑu21	ŋou44		ŋau33	ŋɑu21			ŋau55	ŋɑu55
报		效开一去号帮	pau35	pɑu35	pɑu35	pou35	pau55	pau35	pɑu55	ɓɑʊ35	pɑu24	pau35	pɑu53
暴		效开一去号並		pɑu35	pɑu35	pou35	pau55	pau35	pɑu44	pɑʊ35	pɑu24	pau35	pɑu53
帽		效开一去号明	mau53	mɑu53	mɑu53	mou21	mau31	mau21	mɑu44	mɑʊ21	mɑu21	mau21	mɑu33
到		效开一去号端	tau35	tɑu35	tɑu35	tou35	tau55	tau35	lɑu55	ɗɑʊ35	tɑu24	tau35	tɑu53
套		效开一去号透	tʰau35	tʰɑu53	tʰɑu53	tʰou35	tʰau55	tʰau35	tʰɑu55	tʰɑʊ35	tʰɑu24	tʰau35	tʰɑu53
灶		效开一去号精	tsau35	tsɑu35	tsɑu35	tsou35	tsau55	tsau35	tsɑu55	tʃɑʊ35	tsɑu24	tʃau35	tsɑu53
糙		效开一去号清	tsʰau35	tsʰau35	tsʰɑu35	tsʰou35	tsʰau55	tsʰau35	tsʰɑu55	tsʰɑʊ33	tsʰɑu24	tsʰau35	tsʰɑu53
告		效开一去号见	pau35{训读}	pɑu35{训读}	kɑu35	kou35	kau55	kau35	pɑu55{训读}	ɓɑʊ35{训读}	kɑu24	kau35	kɑu33
靠		效开一去号溪	kʰau35	kʰɑu53	kʰɑu53	kʰou35	kʰau55	kʰau35	kʰɑu55	kʰɑʊ35	kʰɑu24	kʰau35	kʰɑu53
号	~数	效开一去号匣	hau53	hɑu53	hɑu53	hou21	hau31	hau21	hɑu44	hɑʊ35	hɑu21	hau21	hɑu33
包		效开二平肴帮	pɑʊ44	pɑu232	pɑu13	pou132	pau24	pau13	pɑu242	ɓɑʊ422	pɑu43	pau42	pɑu24
茅		效开二平肴明	mau21	mɑu33	mɑu33	mou22	mau22	mau533	mɑu33	mɑʊ33	mɑu33	mau33	mɑu21
交		效开二平肴见	kɑʊ44	kiɑu232	tʃiɑu13	kiou132	tʃiau24	tʃiau13	tɕiɑu242	tʃiɑʊ33{借桂}	tʃiɑu43	tʃiau42	tʃiɑu24
教	~书	效开二平肴见	kɑʊ44	kiɑu232	tʃiɑu35	kiou35	tʃiau24	tʃiau13	tɕiɑu242	tʃiɑʊ33{借桂}		pau35{训读}	
敲		效开二平肴溪	kʰɑʊ44	kʰɑu232	kʰɑu13	kʰou132	kʰau24	kʰau13	kʰɑu242	kʰɑʊ33	kʰɑu43	kʰau42	kʰɑu24
饱		效开二上巧帮	pɑʊ55	pɑu422	pɑu44	pou44	pau33	pau33	pɑu35	ɓɑʊ55	pɑu55	pau55	pɑu55
找		效开二上巧庄	tsaŋ21{训读}	tʃiŋ33{训读}	tsɑu44	tʃiŋ22{训读}		tsau33	tɕin33{训读}	lʊɔ35{训读}	pa33	pa33	tʃɑu55
炒		效开二上巧初	tʃʰɑʊ55	tsʰɑu21	tsʰɑu21	tsʰou44	tsʰau13	tsʰau33	tsʰɑu35	tʃʰɑʊ55	tsʰɑu55	tʃʰau55	tʃʰɑu55
搞		效开二上巧见	kɑʊ55	kɑu422	kɑu44	kɑu44	kau33	kau33	kɑu35		kɑu55	kau55	kɑu55
巧		效开二上巧溪	kʰiɑʊ55	kʰiɑu21/tʃʰiɑu21	tʃʰiɑu21	kʰiou44	tʃʰiau13	tʃʰiau33	tɕʰiɑu35	tʃʰiɑʊ55	tʃʰiɑu55	tʃʰiau55	tʃʰiɑu55
咬		效开二上巧疑	ŋɑʊ33	ɑu21	ɑu21	ŋou44	iau13	ŋau33	ŋɑu21	ŋɑʊ13	ŋɑu52	ŋau53	ŋɑu53
豹		效开二去效帮		pɑu35	pɑu35	pou35	pau55	pau35	pɑu55	ɓɑʊ35	pɑu24	pau35	pɑu53
炮		效开二去效滂	pʰɑʊ35	pʰɑu53	pʰɑu53	pʰou35	pʰau55	pʰau35	pʰɑu55	pʰɑʊ35	pʰɑu24	pʰau35	pʰɑu53
貌		效开二去效明	mɑʊ35/mau53	mɑu53	mɑu21	mou21	mau31	mau21	mɑu44	mɑʊ35	mɑu21	mau21	mɑu33
闹		效开二去效泥	nɑʊ53	nɑu53	nɑu53	nou21	lau31	nau21	nɑu44	nɑʊ21	nɑu21	nau21	nɑu33
罩		效开二去效知	tsɑʊ35	tsɑu35	tsɑu53	tsou35	tsau55	tsau35	tsɑu55	tʃɑʊ35	tsɑu24	tʃau35	tsɑu53
潲	猪~	效开二去效生	ʃɑʊ35	sɑu35	sɑu35	sou35	sau55	sau35	sɑu55	ʃɑʊ35	sɑu24	ʃau35	ʃɑu53
较		效开二去效见		ʃiɑu35	ʃiɑu35	kiou35	ʃiau55	ʃiau35	tɕiɑu55	ʃiɑʊ35	tʃiɑu24	tʃiau35	ʃiɑu53
孝		效开二去效晓	hɑʊ35	hiɑu35	ʃiɑu35	hiou35	ʃiau55	ʃiau35	ɕiɑu55	ʃiɑʊ35	ʃiɑu24	ʃiau35	ʃiɑu53
效		效开二去效匣		ʃiɑu35	ʃiɑu35	hiou35	ʃiau55	ʃiau35	ɕiɑu55	ʃiɑʊ35{借桂}	ʃiɑu24	ʃiau35	ʃiɑu53
标		效开三平宵帮	pᴇɪ44	piᴇ232	piɑu13	piou44{变调}	piau24	piau13	piɑu242	ɓɑʊ422	piɑu43	piau42	piɑu24
飘		效开三平宵滂	pʰᴇɪ44	pʰiᴇ232	pʰiɑu13	pʰiou132	pʰiau24	pʰiau13	pʰiɑu242	pʰiɑʊ422	pʰiɑu43	pʰiau42	pʰiɑu24
苗		效开三平宵明	mi21	miᴇ33	miɑu33	miou22	miau22	miau533	miɑu33	miᴇ33	miɑu33	miau33	miɑu21
猫		效开三平宵明	mi35/mɑʊ53	mɑu232	mɑu35	miou22/mou22	miau55	mau35/miau35	mɜ33	miɑʊ53/mɑʊ33	miɑu33	miau55/ȵiaŋ55	miɑu21
焦		效开三平宵精	tsᴇɪ44	tʃiᴇ232	tʃiɑu13	tʃiou132	tʃiau24	tʃiau13	tɕiɑu242	tʃiᴇ422	tʃiɑu43	tʃiau42	tsiɑu24
锹		效开三平宵清	tsʰᴇɪ44	tʃʰiᴇ232	tʃʰiɑu13	tʃʰiou132	tʃʰiau24	tʃʰiau13	tɕʰiɑu242	tʃʰiᴇ422	tʃʰiɑu43	tʃʰiau42	tsʰiɑu24
消		效开三平宵心	sᴇɪ44	ʃiᴇ232	ʃiɑu13	ʃiou132	ʃiau24	ʃiau13	ɕiɑu242	ʃiᴇ422	ʃiɑu43	ʃiau42	siɑu24
超		效开三平宵彻	tʃʰɑʊ44	tsʰɑu232	tsʰɑu13	tsʰou132	tsʰau24	tsʰau13	tsʰɑu242	tʃʰɑʊ33	tsʰɑu43	tʃʰau42	tsʰɑu24
朝	今~	效开三平宵知		tsɑu232	tsɑu13	tsou132	tiau22	tsau13	tiɑu242		tiɑu43	tiau42/tʃau42	tiɑu24
朝		效开三平宵澄		tsɑu33	tsɑu33	tsou22	tsau22/tiau22	tsau533	tsɑu33	tʃɑʊ33	tsʰɑu33	tʃau22	tʃɑu21
潮	~田	效开三平宵澄		tsɑu33	tsɑu33	tsou22	tsau22	tsau533	tsɑu33	tiᴇ33	tiɑu33	tiau22	tʃɑu21
招		效开三平宵章	tʃi44	tʃiᴇ232	tsɑu13	tsou132	tsau24	tsau13	tsɑu242	tʃɑʊ33{借桂}	tsɑu43	tʃau42	tʃɑu24
烧		效开三平宵书	ʃi44	ʃiᴇ232	sɑu13	sou132	sau24	sau13	sɑu242	ʃiᴇ422	ʃɑu43	ʃau42	ʃɑu24
桥		效开三平宵群	ki21	kiᴇ33	tʃiɑu33	kiou22	tʃiau22	tʃiau533	tɕiɑu33	tʃʰiᴇ33	tʃʰiɑu33	tʃiau33	tʃiɑu21
腰		效开三平宵影	i44	iᴇ232	iɑu13	iou132	iau24	iau13	iɑu242	iᴇ33{变调}	iɑu43	iau42	iɑu24
摇		效开三平宵以	i21	iᴇ33/iɑu33	iɑu33	iou22	iau22	iau533	iɑu33	iᴇ33	iɑu33	iau33	iɑu21
表		效开三上小帮	pᴇɪ55	piᴇ422	piɑu44	piou44	piau33	piau33	piɑu35	ɓiɑʊ55	piɑu55	piau55	piɑu55
秒		效开三上小明		miᴇ422	miɑu21	miou44	miau33	miau33	miɑu35	miɑʊ53	miɑu52	miau53	miɑu55
小		效开三上小心	si35{训读}	sɛ35{训读}	ʃiɑu44	ʃiou44	ʃiau33	ʃiau33	ɕi55{训读}	ʃi35	se24{训读}	sɛ35{训读}	
赵		效开三上小澄	tʃi53	tsɑu53	tsɑu53	tsou21	tsau31	tsau21	tsɑu44	tʃɑʊ35{借桂}	tsɑu24	tʃau35	tʃɑu33
少	多~	效开三上小书	sᴇɪ55	ʃiᴇ422	sɑu44	sou44	sau33	sau33	sɑu35	ʃiᴇ55	ʃɑu55	ʃau55	ʃɑu55
绍		效开三上小禅		sɑu35	sɑu35	sou35	sau55	sau21	sɑu44	ʃɑʊ35	ʃɑu24	ʃau35	ʃɑu33
票		效开三去笑滂	pʰᴇɪ35	pʰiᴇ53	pʰiɑu53	pʰiou35	pʰiau55	pʰiau35	pʰiɑu55	pʰiᴇ35	pʰiɑu24	pʰiau35	pʰiɑu53
漂	~亮	效开三去笑滂	pʰᴇɪ35	pʰiᴇ53	pʰiɑu53	pʰiou35	pʰiau55	pʰiau35	pʰiɑu55	pʰiɑʊ35	pʰiɑu24	pʰiau35	pʰiɑu53
妙		效开三去笑明	miɑʊ35{借桂}	miɑu35{借桂}	miɑu35	miou21	miau31	miau21	miɑu44	miɑʊ35		miau35	miɑu33
笑		效开三去笑心	sᴇɪ35	ʃiᴇ35	ʃiɑu35	ʃiou35	ʃiau55	ʃiau35	ɕiɑu55	ʃiᴇ35	ʃiɑu24	ʃiau35	siɑu53
