音標	調類	調值		
sɔ	1	334	紗沙莎痧砂杉	
sɔ	3	43	撒耍傻	
sɔ	7	24	薩刷卅颯殺剎煞靸[～鞋]	
sɿ	1	334	絲司私思斯撕廝師獅螄	
sɿ	3	43	死	
sɿ	5	45	四肆似事嗣駟飼士	
sɿ	6	22	事廁[茅～]伺[服～]	
tɕi	1	334	雞肌基幾[茶～]饑譏機羈[～押]稽姬羈箕	
tɕi	2	12	奇騎琦崎其琪棋期旗祈祁鰭歧岐	
tɕi	3	43	幾[～個]紀己	
tɕi	5	45	計繼系[～帶子]髻寄記忌既季	
tɕi	7	24	急給吉戟屐[木～]棘擊激級吸	
tɕie	1	334	勾鉤溝佝[～起背]	
tɕie	3	43	狗茍枸	
tɕie	5	45	夠構購鋸	
tɕin	1	334	京鯨金今襟巾斤筋荊經兢	
tɕin	2	12	琴勤窮□（路～：事情）	
tɕin	3	43	錦緊景警謹	
tɕin	5	45	禁境鏡竟競徑莖敬勁儆	
tɕin	6	22	近噤	
tɕio	7	24	腳角	
tɕiã	1	334	驚荊[路邊～：一種荊棘]	
tɕiã	3	43	頸	
tɕiuŋ	1	334	礓[～石]繮[～繩]薑[生～]姜[姓氏]江	
tɕiuŋ	2	12	強[～大]	
tɕiuŋ	3	43	講	
tɕiuŋ	5	45	降[下～]	
tɕiuŋ	6	22	犟	
tɕĩ	1	334	占[～卜]粘沾氈兼肩堅跟根更[～換；五～]粳庚羹[調～]耕	
tɕĩ	2	12	鉗乾[～坤]	
tɕĩ	3	43	檢撿[～拾]耿-	
tɕĩ	5	45	佔-[～領]戰顫劍鍵建儉健腱見更[～加]	
tɕĩ	6	22	件	
tɕiɑ	1	334	交膠郊嬌驕澆	
tɕiɑ	2	12	橋喬僑蕎矯	
tɕiɑ	3	43	攪絞鉸狡剿繳	
tɕiɑ	5	45	教[～育]叫校[學～]	
tɕiɑ	6	22	轎	
tɕiɘ	1	334	糾鳩	
tɕiɘ	2	12	泅囚求球逑裘酋遒仇[姓～]	
tɕiɘ	3	43	九久韭	
tɕiɘ	5	45	灸舊[～社會]舅[～唧]臼咎□[留、剩下：～点唧咯]	
tɕiɘ	6	22	舊柩舅[小～子]	
tɕiɘ	7	24	菊掬	
tɕiɔ	1	334	加枷嘉袈佳家[～庭]傢	
tɕiɔ	2	12	茄	
tɕiɔ	3	43	假賈[姓～]	
tɕiɔ	5	45	價架駕稼	
tɕiɔ	7	24	甲夾莢鉀	
tɕy	1	334	豬車[象棋子]朱株誅蛛居拘駒	
tɕy	2	12	除儲躇廚櫥瞿衢渠	
tɕy	3	43	主煮渚褚舉矩	
tɕy	5	45	著註駐蛀巨拒距具俱颶劇據懼句	
tɕy	6	22	苧住拄柱箸懼	
tɕy	7	24	桔局菊掬橘	
tɕyn	1	334	諄均鈞軍君	
tɕyn	2	12	群裙瓊	
tɕyn	3	43	准[批～]準[標～]迥	
tɕyn	5	45	圳郡駿浚	
tɕyn	6	22	菌肫[雞～子]	
tɕyæ	7	24	拙厥決訣掘倔[～強]國	
tɕyɜ	1	334	追錐椎	
tɕyɜ	2	12	錘垂捶槌	
tɕyɜ	5	45	墜贅綴	
tɕyɔ	1	334	抓	
tɕyɔ	2	12	茄	
tɕø̃	1	334	專磚娟涓捐	
tɕø̃	2	12	傳船拳權顴	
tɕø̃	3	43	轉捲卷[～袖子]	
tɕø̃	5	45	轉圈=[猪～]眷券倦卷[試～]	
tɕø̃	6	22	傳	
tɕʰi	1	334	欺溪	
tɕʰi	3	43	啟起杞豈	
tɕʰi	5	45	契戲技妓器棄氣汽泣企	
tɕʰi	7	24	乞訖迄極吃[口～]屐及	
tɕʰiã	1	334	輕	
tɕʰie	1	334	摳[～癢]瞘	
tɕʰie	3	43	口	
tɕʰie	5	45	叩扣寇去	
tɕʰie	7	24	傑	
tɕʰin	1	334	輕欽卿	
tɕʰin	5	45	慶磬	
tɕʰio	5	45	雀	
tɕʰio	7	24	雀	
tɕʰiuŋ	1	334	筐疆僵	
tɕʰiuŋ	3	43	強[勉～]	
tɕʰĩ	1	334	謙牽	
tɕʰĩ	3	43	歉遣肯	
tɕʰĩ	5	45	欠	
tɕʰiɘ	7	24	曲[歌～；一種中藥：力～]麴麯[酒～]蓄[～頭髮]	
tɕʰiɔ	7	24	恰洽喫	
tɕʰy	1	334	吹區樞驅軀嶇	
tɕʰy	5	45	處[～方]杵	
tɕʰy	5	45	處[～所]去	
tɕʰy	7	24	出屈	
tɕʰyn	1	334	椿春傾（文）	
tɕʰyn	3	43	蠢	
tɕʰyæ	7	24	掘缺穴闕	
tɕʰyɜ	1	334	吹炊	
tɕʰø̃	1	334	川穿圈	
tɕʰø̃	3	43	喘犬	
tɕʰø̃	5	45	串勸勸	
ɕi	1	334	奚溪兮犧嬉嘻禧熙希稀	
ɕi	3	43	喜	
ɕi	5	45	戲系[～統]繫[連～]	
ɕi	6	22	系[～統]繫[連～]	
ɕie	2	12	猴侯喉	
ɕie	3	43	吼	
ɕie	6	22	後厚	
ɕie	7	24	諧協歇脅	
ɕin	1	334	兄兇	
ɕin	2	12	行形熊雄	
ɕin	5	45	欣興[～旺]兄胸凶[吉～]兇[～惡]	
ɕio	5	45	勺	
ɕio	7	24	勺學	
ɕiuŋ	1	334	香鄉	
ɕiuŋ	2	12	降	
ɕiuŋ	3	43	響晌餉饗享	
ɕiuŋ	5	45	向	
ɕĩ	1	334	掀	
ɕĩ	2	12	嫌賢弦	
ɕĩ	3	43	險顯	
