字	类型	读音
宗	假名	ツヲン／ソ゚ン／ツン
	IPA	tsɯoN / tsɯN
攻	假名	コン
	IPA	koN
釭	假名	カン
	IPA	kaN
佈／布	假名	プウ／フウ／プ／フ
	IPA	pɯː / ɸɯː / pɯ / ɸɯ
逢	假名	フヲン／ホン／ウヲン
	IPA	ɸɯoN / hoN / ɯoN
容	假名	ヨン
	IPA	joN
庸	假名	ヨン
	IPA	joN
蓉	假名	ヨン／ヨウ
	IPA	joN / joɯ
頌	假名	ツヲン
	IPA	tsɯoN
籠	假名	ロン
	IPA	roN
龍	假名	ロ／ロン／ルヲン／ロヲン
	IPA	ro / roN / rɯoN / roːN
濃	假名	ニヨン／ノン
	IPA	nijoN / noN
慵	假名	ヨン／ヂヨン
	IPA	joN / dʑijoN
蔀	假名	プウ
	IPA	pɯː
罋	假名	フヲン
	IPA	ɸɯoN
邕/雍	假名	ヨン／ユン
	IPA	joN / jɯN
从／從	假名	ヅヲン／ツヲン／チユン／チヨン
	IPA	dzɯoN / tsɯoN / tɕijɯN / tɕijoN
鬆	假名	ソン
	IPA	soN
潼	假名	トン
	IPA	toN
衝/𧘂	假名	チヨン
	IPA	tɕijoN
兇／凶	假名	ヒヨン
	IPA	çijoN
匈/胷/胸	假名	ヒヨン／ヒ◦ン
	IPA	çijoN / çiN
摏	假名	チヤン
	IPA	tɕijaN
從	假名	ヅヲン／ツヲン／チユン／チヨン
	IPA	dzɯoN / tsɯoN / tɕijɯN / tɕijoN
樅	假名	ツヲン
	IPA	tsɯoN
鬆	假名	ソン
	IPA	soN
蔀	假名	プウ
	IPA	pɯː
蒱	假名	プウ
	IPA	pɯː
蒲	假名	プウ／ブウ
	IPA	pɯː / bɯː
重	假名	チヨン／ヂヨン／チユン／ツヲン／ジヨン
	IPA	tɕijoN / dʑijoN / tɕijɯN / tsɯoN
顒／颙	假名	イ
	IPA	i
蚣	假名	コン
	IPA	koN
鍾／鐘	假名	チヨン／チ◦ン
	IPA	tɕijoN / tɕiN
樅	假名	ツヲン
	IPA	tsɯoN
縱	假名	ツヲン／チユン
	IPA	tsɯoN / tɕijɯN
蹤	假名	ツヲン
	IPA	tsɯoN
舼	假名	キヨン
	IPA	kijoN
蛬	假名	コン
	IPA	koN
供	假名	コン／イ゚ン／クン
	IPA	koN / yN / kɯN
共	假名	コン／ゴン
	IPA	koN / goN
恭	假名	コン／クン
	IPA	koN / kɯN
松	假名	ソン／スン／スヲン／ソヲン
	IPA	soN / sɯN / sɯoN / soːN
攏	假名	ロン
	IPA	roN
籠	假名	ロン
	IPA	roN
汞	假名	ホン
	IPA	hoN
鴻	假名	ホン
	IPA	hoN
動	假名	ドン／トン／ドヲウ／トヲン
	IPA	doN / toN / doːɯ / toːN
桶	假名	トン
	IPA	toN
懵	假名	モン
	IPA	moN
濛	假名	モン
	IPA	moN
簿	假名	プウ／ブウ
	IPA	pɯː / bɯː
孔	假名	コン／クン
	IPA	koN / kɯN
董	假名	トン／ドン
	IPA	toN / doN
懂	假名	トン
	IPA	toN
總	假名	ツヲン／ソ゚ヲン
	IPA	tsɯoN / tsɯoːN
蓯／苁	假名	ツヲン
	IPA	tsɯoN
桶	假名	トン
	IPA	toN
圃	假名	プウ
	IPA	pɯː
勇	假名	ヨン／ユン
	IPA	joN / jɯN
涌／湧	假名	ヨン／ユン
	IPA	joN / jɯN
隴	假名	ロン
	IPA	roN
擁	假名	ヨン／ユン
	IPA	joN / jɯN
寵	假名	チヨン
	IPA	tɕijoN
悚	假名	ソン
	IPA	soN
竦	假名	ソン
	IPA	soN
宂/冗	假名	ジヨン
	IPA	dʑijoN
兇	假名	ヒヨン
	IPA	çijoN
恐	假名	コン／キユン
	IPA	koN / kijɯN
捧	假名	ホン／プン
	IPA	hoN / pɯN
重	假名	チヨン／ヂヨン／チユン／ツヲン／ジヨン
	IPA	tɕijoN / dʑijoN / tɕijɯN / tsɯoN
塚	假名	チヨン／チ◦ン
	IPA	tɕijoN / tɕiN
種	假名	チヨン／チユン／ツヲン／ツン
	IPA	tɕijoN / tɕijɯN / tsɯoN / tsɯN
腫	假名	チヨン
	IPA	tɕijoN
拱	假名	コン
	IPA	koN
蛬	假名	コン
	IPA	koN
鞏	假名	ヱ
	IPA	e
浦	假名	プウ／フウ
	IPA	pɯː / ɸɯː
哢	假名	ロン
	IPA	roN
弄	假名	ロン／ロヲン
	IPA	roN / roːN
烘	假名	ホン
	IPA	hoN
峒/洞	假名	トン／ドン／ドヲン
	IPA	toN / doN / doːN
筒	假名	トン／ドン
	IPA	toN / doN
諷	假名	フン
	IPA	ɸɯN
圃	假名	プウ
	IPA	pɯː
甕/罋	假名	フヲン／ヨン／ウン
	IPA	ɸɯoN / joN / ɯN
送	假名	ソン／ソウ／ソヲン
	IPA	soN / soɯ / soːN
鬆	假名	ソン
	IPA	soN
銃	假名	チヨン
	IPA	tɕijoN
夢	假名	モン／モ゚ン／ムン
	IPA	moN / məN / mɯN
烘	假名	ホン
	IPA	hoN
控	假名	コン
	IPA	koN
空	假名	コン／クウ／クン／コヲン
	IPA	koN / kɯː / kɯN / koːN
仲	假名	チヨン
	IPA	tɕijoN
蟲	假名	チヨン／ツアン／ヂヨン／チ゚ヨン
	IPA	tɕijoN / tsɯaN / dʑijoN
中	假名	チヨン／チユン
	IPA	tɕijoN / tɕijɯN
衷	假名	チヲン
	IPA	tɕioN
眾/衆	假名	チヨン／キヨン／サ゚ーウ／ゾン／チヨウ／シ゚ヨン／チユン
	IPA	tɕijoN / kijoN / tsaɯ / zoN / tɕijoɯ / tɕijɯN
凍	假名	トン
	IPA	toN
棟	假名	トン／トヲウ
	IPA	toN / toːɯ
粽／糉	假名	ツヲン
	IPA	tsɯoN
鯼	假名	ツヲン
	IPA	tsɯoN
虹	假名	ホン
	IPA	hoN
貢	假名	コン
	IPA	koN
痛	假名	トン
	IPA	toN
宋	假名	ソン
	IPA	soN
綜	假名	ツヲン
	IPA	tsɯoN
統	假名	トン
	IPA	toN
部	假名	ブウ／プウ／ブ／プ
	IPA	bɯː / pɯː / bɯ / pɯ
用	假名	ヨン
	IPA	joN
部	假名	ブウ／プウ／ブ／プ
	IPA	bɯː / pɯː / bɯ / pɯ
雍	假名	ヨン／ユン
	IPA	joN / jɯN
從	假名	ヅヲン／ツヲン／チユン／チヨン
	IPA	dzɯoN / tsɯoN / tɕijɯN / tɕijoN
恐	假名	コン／キユン
	IPA	koN / kijɯN
重	假名	チヨン／ヂヨン／チユン／ツヲン／ジヨン
	IPA	tɕijoN / dʑijoN / tɕijɯN / tsɯoN
種	假名	チヨン／チユン／ツヲン／ツン
	IPA	tɕijoN / tɕijɯN / tsɯoN / tsɯN
縱	假名	ツヲン／チユン
	IPA	tsɯoN / tɕijɯN
共	假名	コン／ゴン
	IPA	koN / goN
供	假名	コン／イ゚ン／クン
	IPA	koN / yN / kɯN
誦	假名	ヅヲン／スン／ソン
	IPA	dzɯoN / sɯN / soN
頌	假名	ツヲン
	IPA	tsɯoN
補	假名	フウ／プウ／ブウ／プ
	IPA	ɸɯː / pɯː / bɯː / pɯ
僕	假名	ボ
	IPA	bo
復	假名	ホ／フウ／フ／ヘーウ
	IPA	ho / ɸɯː / ɸɯ / heɯ
暴	假名	バ◦ウ／ハ◦ウ
	IPA	baɯ / haɯ
服	假名	ウヲ／フヲ／ホ／フ
	IPA	ɯo / ɸɯo / ho / ɸɯ
婦	假名	フウ／プウ／ウヽ
	IPA	ɸɯː / pɯː / ɯː
府	假名	フウ／プウ
	IPA	ɸɯː / pɯː
普	假名	フウ／プウ／フ／ブ／プ
	IPA	ɸɯː / pɯː / ɸɯ / bɯ / pɯ
不	假名	ブウ／プウ／フツ／プツ／プ／フ
	IPA	bɯː / pɯː / ɸɯʔ / pɯʔ / pɯ / ɸɯ
不	假名	ブウ／プウ／フツ／プツ／プ／フ
	IPA	bɯː / pɯː / ɸɯʔ / pɯʔ / pɯ / ɸɯ
粥	假名	チユ
	IPA	tɕijɯ
育	假名	ヨ
	IPA	jo
六	假名	ロ／リウ
	IPA	ro / riɯ
碌	假名	ロ
	IPA	ro
祿	假名	ロ
	IPA	ro
蓼	假名	リヤ◦ウ
	IPA	rijaɯ
角	假名	キヨ／キヨツ／キヤ
	IPA	kijo / kijoʔ / kija
谷	假名	コツ／クヲ
	IPA	koʔ / kɯo
轆	假名	ロ
	IPA	ro
陸	假名	ロツ／ロ
	IPA	roʔ / ro
鹿	假名	ロツ／ロ
	IPA	roʔ / ro
斛	假名	ホツ／ヲ／ホ
	IPA	hoʔ / o / ho
槲	假名	ヲ
	IPA	o
瀆	假名	ト
	IPA	to
獨	假名	チヨツ／トツ／ド／ト
	IPA	tɕijoʔ / toʔ / do / to
讀	假名	ド／ト
	IPA	do / to
鸀	假名	チヨツ
	IPA	tɕijoʔ
塾/孰	假名	ジヨ
	IPA	dʑijo
淑	假名	シヨ
	IPA	ɕijo
熟	假名	ジヨ／ス
	IPA	dʑijo / sɯ
卜	假名	ポ
	IPA	po
不	假名	ブウ／プウ／フツ／プツ／プ／フ
	IPA	bɯː / pɯː / ɸɯʔ / pɯʔ / pɯ / ɸɯ
伏	假名	フツ／ホツ／ウヲ／フヲ／フ／ホ
	IPA	ɸɯʔ / hoʔ / ɯo / ɸɯo / ɸɯ / ho
伏	假名	フツ／ホツ／ウヲ／フヲ／フ／ホ
	IPA	ɸɯʔ / hoʔ / ɯo / ɸɯo / ɸɯ / ho
蝠	假名	ホ
	IPA	ho
𥳇	假名	フヲ
	IPA	ɸɯo
屋	假名	ヲ
	IPA	o
懊	假名	ア◦ウ
	IPA	aɯ
郁	假名	ヨツ
	IPA	joʔ
族	假名	ヅヲ
	IPA	dzɯo
銼	假名	ツヲヽ
	IPA	tsɯoː
鑿	假名	ツヲツ／ヅヲ
	IPA	tsɯoʔ / dzɯo
蓄	假名	チヨ／ヒヨ
	IPA	tɕijo / çijo
嗽	假名	スヱツ
	IPA	sɯeʔ
夙	假名	ソ／ス
	IPA	so / sɯ
宿	假名	ソ／シーウ／ス
	IPA	so / ɕiɯ / sɯ
肅	假名	ソ
	IPA	so
蓿	假名	スヲツ
	IPA	sɯoʔ
蔌	假名	ソ
	IPA	so
速	假名	ス
	IPA	sɯ
肉	假名	ジヨ／ジユ
	IPA	dʑijo / dʑijɯ
鮞	假名	ルウ
	IPA	rɯː
俶	假名	チ
	IPA	tɕi
風	假名	フヨン／フヲン／プヲン／ホン／フン
	IPA	ɸɯjoN / ɸɯoN / pɯoN / hoN / ɸɯN
沐	假名	モ
	IPA	mo
牧	假名	モ／ム
	IPA	mo / mɯ
風	假名	フヨン／フヲン／プヲン／ホン／フン
	IPA	ɸɯjoN / ɸɯoN / pɯoN / hoN / ɸɯN
睦	假名	モ
	IPA	mo
穆	假名	モ／ム
	IPA	mo / mɯ
佛	假名	フヱ／ヘヱツ／ホツ／ウヱ／フ／プ
	IPA	ɸɯe / heːʔ / hoʔ / ɯe / ɸɯ / pɯ
熇	假名	カ◦ウ
	IPA	kaɯ
畜	假名	ヒヨ／ヒユ
	IPA	çijo / çijɯ
蓄	假名	チヨ／ヒヨ
	IPA	tɕijo / çijo
叔	假名	シヨ
	IPA	ɕijo
菽	假名	シウ
	IPA	ɕiɯ
透	假名	テ◦ウ／テーウ
	IPA	teɯ
簇	假名	ツヲ
	IPA	tsɯo
蹴	假名	ツユウ
	IPA	tsɯjɯː
鞠	假名	キヨ
	IPA	kijo
麴	假名	キヨ
	IPA	kijo
副	假名	フウ／フ
	IPA	ɸɯː / ɸɯ
浮	假名	フヱツ／ウヱ◦ウ／ウ◦ウ／ヘーウ／ペーウ／ヘエーウ
	IPA	ɸɯeʔ / ɯeɯ / ɯː / heɯ / peɯ / heːɯ
蜂	假名	フヲン／ホン／ホヲン
	IPA	ɸɯoN / hoN / hoːN
楓	假名	フヲン
	IPA	ɸɯoN
柚	假名	ユウ
	IPA	jɯː
筑	假名	クイ／チヨ
	IPA	kɯi / tɕijo
舳	假名	チヨ
	IPA	tɕijo
軸	假名	チヨツ／ギヨ／チヨ／チ゚ユ
	IPA	tɕijoʔ / gijo / tɕijo / tɕʰijɯ
逐	假名	チヨ／ギヨ
	IPA	tɕijo / gijo
縮	假名	ソツ／ソ
	IPA	soʔ / so
竹	假名	チヨ／チヨツ
	IPA	tɕijo / tɕijoʔ
竺	假名	チヨツ
	IPA	tɕijoʔ
筑／築	假名	クイ／チヨ／チヨツ
	IPA	kɯi / tɕijo / tɕijoʔ
祝	假名	チユ／チヨ
	IPA	tɕijɯ / tɕijo
粥	假名	チユ
	IPA	tɕijɯ
啄	假名	チヨ
	IPA	tɕijo
竺	假名	チヨツ
	IPA	tɕijoʔ
蹙	假名	ツヲ
	IPA	tsɯo
蹴	假名	ツユウ
	IPA	tsɯjɯː
鏃	假名	ヅヲ
	IPA	dzɯo
鞠	假名	キヨ
	IPA	kijo
掬	假名	キヨ
	IPA	kijo
穀／谷	假名	コツ／コ／クヲ
	IPA	koʔ / ko / kɯo
糓	假名	コツ
	IPA	koʔ
菊	假名	キヨ／キヨツ
	IPA	kijo / kijoʔ
轂	假名	コツ
	IPA	koʔ
鞠	假名	キヨ
	IPA	kijo
鵚	假名	トツ
	IPA	toʔ
僕	假名	ボ
	IPA	bo
鵠	假名	コツ／コ
	IPA	koʔ / ko
毒	假名	トツ／ド／ト
	IPA	toʔ / do / to
瑇	假名	タイ
	IPA	tai
纛	假名	タ◦ウ
	IPA	taɯ
沃	假名	ヲ
	IPA	o
鋈	假名	ヲツ
	IPA	oʔ
鱟	假名	ヘ◦ウ／ガ◦ウ
	IPA	heɯ / gaɯ
縫	假名	フヲン／ヲン
	IPA	ɸɯoN / oN
熇	假名	カ◦ウ
	IPA	kaɯ
耨	假名	ネーウ
	IPA	neɯ
褥	假名	ジヨ
	IPA	dʑijo
督	假名	シヨ
	IPA	ɕijo
竺	假名	チヨツ
	IPA	tɕijoʔ
告	假名	カ◦ウ／カーウ
	IPA	kaɯ
烽	假名	フヲン／ホン
	IPA	ɸɯoN / hoN
慾／欲	假名	ヨ／ヨン／ユ
	IPA	jo / joN / jɯ
浴	假名	ヨツ／ヨン／ヨ
	IPA	joʔ / joN / jo
谷	假名	コツ／クヲ
	IPA	koʔ / kɯo
鵒／鹆	假名	ヨツ／ヨ
	IPA	joʔ / jo
碌	假名	ロ
	IPA	ro
綠／緑	假名	ロツ／ロン／ロ
	IPA	roʔ / roN / ro
菉	假名	ロ
	IPA	ro
蜀	假名	シヨ／ジヨ／チヨ
	IPA	ɕijo / dʑijo / tɕijo
粟	假名	ソツ／ソ
	IPA	soʔ / so
蓐	假名	ジヨツ
	IPA	dʑijoʔ
褥	假名	ジヨ
	IPA	dʑijo
辱	假名	ジヨ／ヂヨ
	IPA	dʑijo
觸／触	假名	チヨ／チユ
	IPA	tɕijo / tɕijɯ
旭	假名	ヒヨ
	IPA	çijo
束	假名	シヨ／ソ
	IPA	ɕijo / so
促	假名	ツヲ
	IPA	tsɯo
曲	假名	キヨ
	IPA	kijo
蠋	假名	ジヨ
	IPA	dʑijo
躅	假名	チヨツ／チヨ
	IPA	tɕijoʔ / tɕijo
獄	假名	コツ／ヨツ／ユ
	IPA	koʔ / joʔ / jɯ
玉	假名	ヨ／ヨツ／イユイ／ギユ
	IPA	jo / joʔ / ijɯi / gijɯ
鳿	假名	ヨツ
	IPA	joʔ
囑	假名	チヨ／ノ゚
	IPA	tɕijo / nʰo
燭	假名	チヨツ／チヨ／ソ゚
	IPA	tɕijoʔ / tɕijo / tsɯo
蠋	假名	ジヨ
	IPA	dʑijo
鸀	假名	チヨツ
	IPA	tɕijoʔ
足	假名	ツオツ／ツヲ／ツユイ／ツヱ／ソ゚／ソヲ／ツヲツ
	IPA	tsɯoʔ / tsɯo / tsɯjɯi / tsɯe / soː
贖	假名	ジヨ
	IPA	dʑijo
䡞	假名	キヲツ
	IPA	kioʔ
俗	假名	ヅヲ／ソ
	IPA	dzɯo / so
續	假名	ソツ／ノツ／ヅヨ／ツウ
	IPA	soʔ / noʔ / dzɯjo / tsɯː
嵐	假名	ルアン
	IPA	rɯaN
含	假名	ハアン／アン／ハン
	IPA	haːN / aN / haN
涵	假名	ハン
	IPA	haN
頷	假名	ハン
	IPA	haN
曇	假名	タン
	IPA	taN
蕁	假名	ツイン
	IPA	tsɯiN
覃	假名	タン
	IPA	taN
鐔	假名	ダン
	IPA	daN
庵／菴	假名	アン
	IPA	aN
諳	假名	アン
	IPA	aN
蠶	假名	ツアン／ヅアン
	IPA	tsɯaN / dzɯaN
唅	假名	ハアン
	IPA	haːN
南	假名	ナン／ナ／ムン／ナアン
	IPA	naN / na / mɯN / naːN
楠	假名	ナン
	IPA	naN
男	假名	ナン
	IPA	naN
參	假名	スヱン／ツヲン／ツアン／サ゚ン
	IPA	sɯeN / tsɯoN / tsɯaN / tsaN
驂	假名	ツアン
	IPA	tsɯaN
堪	假名	カン
	IPA	kaN
湛	假名	ツアン
	IPA	tsɯaN
耽	假名	タン
	IPA	taN
簪	假名	ツワン／ツアン／ツハン
	IPA	tsɯwaN / tsɯaN / tsɯɰaN
探	假名	タン
	IPA	taN
貪	假名	タン／タワン
	IPA	taN / tawaN
藍	假名	ラン
	IPA	raN
酣	假名	ハン／ハアン
	IPA	haN / haːN
淡/澹	假名	タン／ダン
	IPA	taN / daN
談	假名	ダン／タン
	IPA	daN / taN
慚	假名	ヅアン／ツワン
	IPA	dzɯaN / tsɯwaN
三	假名	サン
	IPA	saN
參	假名	スヱン／ツヲン／ツアン／サ゚ン
	IPA	sɯeN / tsɯoN / tsɯaN / tsaN
擔	假名	タン
	IPA	taN
柑	假名	カン
	IPA	kaN
泔	假名	カン
	IPA	kaN
甘	假名	カン／アハン
	IPA	kaN / aɰaN
炎	假名	ヱン
	IPA	eN
檐	假名	タン／エン
	IPA	taN / eN
簷	假名	ユン
	IPA	jɯN
閻	假名	エン
	IPA	eN
匳/奩	假名	レン
	IPA	reN
帘／簾	假名	レン
	IPA	reN
廉	假名	レン
	IPA	reN
蘞	假名	リレン／レン
	IPA	rireN / reN
蠊	假名	レン
	IPA	reN
鎌／鐮	假名	ケン／レン
	IPA	keN / reN
粘/黏	假名	ネン
	IPA	neN
蟾	假名	チエン／ヂエン
	IPA	tɕieN / dʑieN
蜂	假名	フヲン／ホン／ホヲン
	IPA	ɸɯoN / hoN / hoːN
淹	假名	ヱン／ユン
	IPA	eN / jɯN
菴	假名	アン
	IPA	aN
醃	假名	アン
	IPA	aN
暹	假名	スヱン
	IPA	sɯeN
纖/纎	假名	セ゚ン／スエン
	IPA	tɕieN / sɯeN
冉	假名	ゼン
	IPA	zeN
臉	假名	レン
	IPA	reN
沾／霑	假名	チエン／セ゚ン／チユン／ツエン
	IPA	tɕieN / tɕijɯN / tsɯeN
占	假名	チヱン／チエン
	IPA	tɕieN
瞻	假名	ツエン／セ゚ン／チエン
	IPA	tsɯeN / tɕieN
蟾	假名	チエン／ヂエン
	IPA	tɕieN / dʑieN
尖	假名	ツヱン
	IPA	tsɯeN
漸	假名	ツヱン
	IPA	tsɯeN
鉗	假名	ケン
	IPA	keN
鍼	假名	チン
	IPA	tɕiN
嫌	假名	ヘン
	IPA	heN
甜	假名	ラン
	IPA	raN
菾	假名	カン
	IPA	kaN
拈	假名	ネン
	IPA	neN
鮎	假名	ネン
	IPA	neN
謙	假名	ケン
	IPA	keN
佔	假名	テン
	IPA	teN
兼	假名	ケン
	IPA	keN
沾	假名	セ゚ン／チユン／ツエン
	IPA	tɕieN / tɕijɯN / tsɯeN
添	假名	テン
	IPA	teN
咸／鹹	假名	ハアン／ヱン／ハン／アン
	IPA	haːN / eN / haN / aN
凾	假名	ハアン
	IPA	haːN
喃/諵	假名	ナン
	IPA	naN
獑	假名	ツヱン
	IPA	tsɯeN
讒	假名	ヅアン
	IPA	dzɯaN
黯	假名	アン
	IPA	aN
𧍧	假名	ヒン
	IPA	çiN
杉	假名	サン
	IPA	saN
緘	假名	ケン／コン
	IPA	keN / koN
銜	假名	ヱン／ホアン
	IPA	eN / hoaN
巉	假名	サン／ヅアン
	IPA	saN / dzɯaN
獑	假名	ツヱン
	IPA	tsɯeN
穇／䅟	假名	サン
	IPA	saN
纔	假名	ヅアイ／ツアイ
	IPA	dzɯai / tsɯai
衫	假名	サン
	IPA	saN
巖／岩	假名	カン／ガン／ヤン／ネン
	IPA	kaN / gaN / jaN / neN
監	假名	ケン
	IPA	keN
鑑	假名	ケン
	IPA	keN
腌／醃	假名	アン
	IPA	aN
蘞	假名	リレン／レン
	IPA	rireN / reN
嚴	假名	ネン／チン／ゲン／ケ゚ン
	IPA	neN / tɕiN / geN / kǝN
凡	假名	ワン
	IPA	waN
帆/颿	假名	ハン
	IPA	haN
撼	假名	カン／ハアン
	IPA	kaN / haːN
涵	假名	ハン
	IPA	haN
菡	假名	ハン
	IPA	haN
頷	假名	ハン
	IPA	haN
罕	假名	ハアン
	IPA	haːN
萏	假名	タン
	IPA	taN
唵	假名	アン
	IPA	aN
晻	假名	ユン
	IPA	jɯN
慘	假名	サ゚ン／ツアン
	IPA	tsaN / tsɯaN
耽	假名	タン
	IPA	taN
躭	假名	タン
	IPA	taN
感	假名	カン
	IPA	kaN
贑	假名	コン
	IPA	koN
鱤	假名	カン
	IPA	kaN
攬	假名	ラン
	IPA	raN
欖	假名	ラン
	IPA	raN
啖/啗/噉	假名	ダン／タン
	IPA	daN / taN
淡/澹	假名	タン／ダン
	IPA	taN / daN
喊	假名	ハアン／ハン
	IPA	haːN / haN
紞	假名	タン
	IPA	taN
膽	假名	タン
	IPA	taN
敢	假名	カン
	IPA	kaN
橄	假名	カン
	IPA	kaN
毯	假名	タン
	IPA	taN
淡	假名	タン／ダン
	IPA	taN / daN
斂	假名	レン
	IPA	reN
蘞	假名	リレン／レン
	IPA	rireN / reN
莶	假名	ケン
	IPA	keN
厭	假名	ユン／イエン／エン
	IPA	jɯN / ieN / eN
厴	假名	ヤ／ヱン
	IPA	ja / eN
掩	假名	ヱン／エン
	IPA	eN
晻	假名	ユン
	IPA	jɯN
漸	假名	ツヱン
	IPA	tsɯeN
諂	假名	チヱン
	IPA	tɕieN
冉	假名	ゼン
	IPA	zeN
染	假名	ゼン／ジエン
	IPA	zeN / dʑieN
苒	假名	ゼン／ジハエン
	IPA	zeN / dʑihaeN
險	假名	ヒヱン／ヘン
	IPA	çieN / heN
陝	假名	セン
	IPA	seN
芡	假名	ケン
	IPA	keN
簟	假名	テン／デン
	IPA	teN / deN
慊	假名	ケン
	IPA	keN
歉	假名	ケン
	IPA	keN
玷	假名	テン
	IPA	teN
點	假名	テン
	IPA	teN
栝	假名	クヲツ
	IPA	kɯoʔ
儼	假名	チン
	IPA	tɕiN
臉	假名	レン
	IPA	reN
喊	假名	ハアン／ハン
	IPA	haːN / haN
減	假名	メ／ケン
	IPA	me / keN
黯	假名	アン
	IPA	aN
喊	假名	ハアン／ハン
	IPA	haːN / haN
歉	假名	ケン
	IPA	keN
湛	假名	ツアン
	IPA	tsɯaN
斬	假名	サ゚ン／ツアン
	IPA	tsaN / tsɯaN
減	假名	メ／ケン
	IPA	me / keN
檻	假名	ハン
	IPA	haN
巉	假名	サン／ヅアン
	IPA	saN / dzɯaN
犯	假名	ワン
	IPA	waN
範	假名	ハン／フワン
	IPA	haN / ɸɯwaN
錽	假名	フワン
	IPA	ɸɯwaN
唅	假名	ハアン
	IPA	haːN
暗／闇	假名	アン
	IPA	aN
參	假名	スヱン／ツヲン／ツアン／サ゚ン
	IPA	sɯeN / tsɯoN / tsɯaN / tsaN
紺	假名	カン
	IPA	kaN
啖/啗	假名	ダン
	IPA	daN
淡/澹	假名	タン／ダン
	IPA	taN / daN
暫	假名	ツアン
	IPA	tsɯaN
三	假名	サン
	IPA	saN
擔	假名	タン
	IPA	taN
灩	假名	ユン
	IPA	jɯN
焰	假名	ヱン／ユン／エン
	IPA	eN / jɯN
艷／豔	假名	ユン／エン
	IPA	jɯN / eN
斂	假名	レン
	IPA	reN
縫	假名	フヲン／ヲン
	IPA	ɸɯoN / oN
俺	假名	ガン
	IPA	gaN
厭	假名	ユン／イエン／エン
	IPA	jɯN / ieN / eN
染	假名	ゼン／ジエン
	IPA	zeN / dʑieN
驗	假名	ネン
	IPA	neN
占	假名	チヱン／チエン
	IPA	tɕieN
潜	假名	セ゚ン
	IPA	tɕieN
念	假名	ネン
	IPA	neN
店	假名	テン
	IPA	teN
沾	假名	セ゚ン／チユン／ツエン
	IPA	tɕieN / tɕijɯN / tsɯeN
兼	假名	ケン
	IPA	keN
陷	假名	ヱン
	IPA	eN
歉	假名	ケン
	IPA	keN
蘸	假名	ツヤウ
	IPA	tsɯjaɯ
懺	假名	サン／ザン／サ゚ン
	IPA	saN / zaN / tsaN
讒	假名	ヅアン
	IPA	dzɯaN
釤	假名	サン
	IPA	saN
監	假名	ケン
	IPA	keN
鑑／鑒	假名	ケン
	IPA	keN
帆/颿	假名	ハン
	IPA	haN
梵	假名	フワン
	IPA	ɸɯwaN
俺	假名	ガン
	IPA	gaN
淹	假名	ヱン／ユン
	IPA	eN / jɯN
欠	假名	ケン
	IPA	keN
氾／汎／泛	假名	ハン／ハアン
	IPA	haN / haːN
劒/劍	假名	ケン
	IPA	keN
摺	假名	チヱ
	IPA	tɕie
合	假名	ホツ／ホ／カ／ハ
	IPA	hoʔ / ho / ka / ha
盒	假名	ホ
	IPA	ho
沓	假名	タ／ダ
	IPA	ta / da
庵	假名	アン
	IPA	aN
雜	假名	ヅア／ツア／サ゚／サ／ヅアツ
	IPA	dzɯa / tsɯa / tsa / sa / dzɯaʔ
匝	假名	サ゚
	IPA	tsa
颯	假名	ソ
	IPA	so
納	假名	ナツ／ナ／ノ
	IPA	naʔ / na / no
哈	假名	カツ／カ
	IPA	kaʔ / ka
嗒	假名	ト
	IPA	to
答/荅	假名	タ
	IPA	ta
合／閤	假名	ホツ／ホ／カ／ハ
	IPA	hoʔ / ho / ka / ha
蛤	假名	タツ／タイ／ホ
	IPA	taʔ / tai / ho
鴿	假名	コツ／カ／ヲ
	IPA	koʔ / ka / o
濕	假名	シ
	IPA	ɕi
踏	假名	ダ／タ
	IPA	da / ta
臘	假名	ラツ／レ
	IPA	raʔ / re
蠟	假名	ラツ／ラ
	IPA	raʔ / ra
喇	假名	ラツ／ラ
	IPA	raʔ / ra
蓋	假名	カイ
	IPA	kai
葢	假名	カイ
	IPA	kai
蹋	假名	ダ／タ
	IPA	da / ta
榼	假名	コツ
	IPA	koʔ
磕	假名	カ
	IPA	ka
蓋	假名	カイ
	IPA	kai
閘	假名	ツアン
	IPA	tsɯaN
嗒	假名	ト
	IPA	to
塔	假名	タツ／タ
	IPA	taʔ / ta
搭	假名	タツ／タ
	IPA	taʔ / ta
鰈	假名	デ
	IPA	de
楪	假名	テヱ
	IPA	teː
葉	假名	ヱツ／ヱ／エ／サ
	IPA	eʔ / e / sa
聶	假名	ネツ
	IPA	neʔ
躡	假名	ネ
	IPA	ne
鑷	假名	ネ
	IPA	ne
涉	假名	ヂ
	IPA	dʑi
厭	假名	ユン／イエン／エン
	IPA	jɯN / ieN / eN
靨	假名	ユ
	IPA	jɯ
弽	假名	テ
	IPA	te
攝	假名	シツ／シエ／セ
	IPA	ɕiʔ / ɕie / se
葉	假名	ヱツ／ヱ／エ／サ
	IPA	eʔ / e / sa
妾	假名	ツヱ／ツエン
	IPA	tsɯe / tsɯeN
霎	假名	サ
	IPA	sa
摺	假名	チヱ
	IPA	tɕie
接	假名	ツヱツ／ツヱ／チエ／セ／セ゚
	IPA	tsɯeʔ / tsɯe / tɕie / se
笈	假名	キツ
	IPA	kiʔ
俠	假名	ヘ
	IPA	he
協	假名	ヒヱ／ヘ
