"繁体字"	"简体字"	"新晃凳寨"	"声母"	"韵母"	"调值"	"声调"	"国际音标"	"说明"	
"眉"	"眉"	"mi2"	"m"	"i"	11	"阳平"	"mi11"	"老"	
"眯"	"眯"	"mi2"	"m"	"i"	11	"阳平"	"mi11"	"眯坨"	
"糜"	"糜"	"mi2"	"m"	"i"	11	"阳平"	"mi11"		
"蜜"	"蜜"	"mi2"	"m"	"i"	11	"阳平"	"mi11"	"文"	
"謎"	"谜"	"mi2"	"m"	"i"	11	"阳平"	"mi11"		
"迷"	"迷"	"mi2"	"m"	"i"	11	"阳平"	"mi11"		
"醚"	"醚"	"mi2"	"m"	"i"	11	"阳平"	"mi11"		
"靡"	"靡"	"mi2"	"m"	"i"	11	"阳平"	"mi11"		
"弭"	"弭"	"mi3"	"m"	"i"	21	"上声"	"mi21"		
"米"	"米"	"mi3"	"m"	"i"	21	"上声"	"mi21"		
"冪"	"幂"	"mi5"	"m"	"i"	45	"去声"	"mi45"		
"汨"	"汨"	"mi5"	"m"	"i"	45	"去声"	"mi45"		
"眯"	"眯"	"mi5"	"m"	"i"	45	"去声"	"mi45"	"笑眯"	
"覓"	"觅"	"mi5"	"m"	"i"	45	"去声"	"mi45"		
"謎"	"谜"	"mi5"	"m"	"i"	45	"去声"	"mi45"	"谜子"	
"棉"	"棉"	"mian2"	"m"	"ien"	11	"阳平"	"mien11"		
"眠"	"眠"	"mian2"	"m"	"ien"	11	"阳平"	"mien11"		
"綿"	"绵"	"mian2"	"m"	"ien"	11	"阳平"	"mien11"		
"免"	"免"	"mian3"	"m"	"ien"	21	"上声"	"mien21"		
"冕"	"冕"	"mian3"	"m"	"ien"	21	"上声"	"mien21"		
"勉"	"勉"	"mian3"	"m"	"ien"	21	"上声"	"mien21"		
"娩"	"娩"	"mian3"	"m"	"ien"	21	"上声"	"mien21"		
"湎"	"湎"	"mian3"	"m"	"ien"	21	"上声"	"mien21"		
"澠"	"渑"	"mian3"	"m"	"ien"	21	"上声"	"mien21"		
"緬"	"缅"	"mian3"	"m"	"ien"	21	"上声"	"mien21"		
"面"	"面"	"mian5"	"m"	"ien"	45	"去声"	"mien45"		
"麵"	"面"	"mian5"	"m"	"ien"	45	"去声"	"mien45"		
"喵"	"喵"	"miao1"	"m"	"iau"	13	"阴平"	"miau13"		
"瞄"	"瞄"	"miao1"	"m"	"iau"	13	"阴平"	"miau13"		
"描"	"描"	"miao2"	"m"	"iau"	11	"阳平"	"miau11"		
"苗"	"苗"	"miao2"	"m"	"iau"	11	"阳平"	"miau11"		
"淼"	"淼"	"miao3"	"m"	"iau"	21	"上声"	"miau21"		
"渺"	"渺"	"miao3"	"m"	"iau"	21	"上声"	"miau21"		
"秒"	"秒"	"miao3"	"m"	"iau"	21	"上声"	"miau21"		
"緲"	"缈"	"miao3"	"m"	"iau"	21	"上声"	"miau21"		
"藐"	"藐"	"miao3"	"m"	"iau"	21	"上声"	"miau21"		
"邈"	"邈"	"miao3"	"m"	"iau"	21	"上声"	"miau21"		
"妙"	"妙"	"miao5"	"m"	"iau"	45	"去声"	"miau45"		
"廟"	"庙"	"miao5"	"m"	"iau"	45	"去声"	"miau45"		
"搣"	"搣"	"mie1"	"m"	"ie"	13	"阴平"	"mie13"		
"篾"	"篾"	"mie1"	"m"	"ie"	13	"阴平"	"mie13"	"竹蔑"	
"滅"	"灭"	"mie2"	"m"	"ie"	11	"阳平"	"mie11"		
"蔑"	"蔑"	"mie2"	"m"	"ie"	11	"阳平"	"mie11"		
"蜜"	"蜜"	"min1"	"m"	"in"	13	"阴平"	"min13"	"白"	
"冥"	"冥"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"名"	"名"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"抿"	"抿"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"明"	"明"	"min2"	"m"	"in"	11	"阳平"	"min11"	"文读"	
"暝"	"暝"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"民"	"民"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"溟"	"溟"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"玟"	"玟"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"瞑"	"瞑"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"茗"	"茗"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"螟"	"螟"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"酩"	"酩"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"銘"	"铭"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"鳴"	"鸣"	"min2"	"m"	"in"	11	"阳平"	"min11"		
"憫"	"悯"	"min3"	"m"	"in"	21	"上声"	"min21"		
"敏"	"敏"	"min3"	"m"	"in"	21	"上声"	"min21"		
"皿"	"皿"	"min3"	"m"	"in"	21	"上声"	"min21"		
"閩"	"闽"	"min3"	"m"	"in"	21	"上声"	"min21"		
"命"	"命"	"min5"	"m"	"in"	45	"去声"	"min45"		
"繆"	"缪"	"miu5"	"m"	"iəu"	45	"去声"	"miəu45"		
"謬"	"谬"	"miu5"	"m"	"iəu"	45	"去声"	"miəu45"		
"摸"	"摸"	"mo1"	"m"	"o"	13	"阴平"	"mo13"		
"麼"	"么"	"mo1"	"m"	"o"	13	"阴平"	"mo13"		
"摩"	"摩"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"嫫"	"嫫"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"摹"	"摹"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"模"	"模"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"糢"	"模"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"膜"	"膜"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"謨"	"谟"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"末"	"末"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"沫"	"沫"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"磨"	"磨"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"膜"	"膜"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"茉"	"茉"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"莫"	"莫"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"蘑"	"蘑"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"饃"	"馍"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"魔"	"魔"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"秣"	"秣"	"mo2"	"m"	"o"	11	"阳平"	"mo11"		
"么"	"么"	"mo3"	"m"	"o"	21	"上声"	"mo21"		
"嬤"	"嬷"	"mo3"	"m"	"o"	21	"上声"	"mo21"		
"寞"	"寞"	"mo5"	"m"	"o"	45	"去声"	"mo45"		
"漠"	"漠"	"mo5"	"m"	"o"	45	"去声"	"mo45"		
"瘼"	"瘼"	"mo5"	"m"	"o"	45	"去声"	"mo45"		
"磨"	"磨"	"mo5"	"m"	"o"	45	"去声"	"mo45"		
"鏌"	"镆"	"mo5"	"m"	"o"	45	"去声"	"mo45"		
"驀"	"蓦"	"mo5"	"m"	"o"	45	"去声"	"mo45"		
"矇"	"蒙"	"mong1"	"m"	"oŋ"	13	"阴平"	"moŋ13"		
"蒙"	"蒙"	"mong1"	"m"	"oŋ"	13	"阴平"	"moŋ13"		
"朦"	"朦"	"mong2"	"m"	"oŋ"	11	"阳平"	"moŋ11"		
"檬"	"檬"	"mong2"	"m"	"oŋ"	11	"阳平"	"moŋ11"		
"濛"	"蒙"	"mong2"	"m"	"oŋ"	11	"阳平"	"moŋ11"		
"盟"	"盟"	"mong2"	"m"	"oŋ"	11	"阳平"	"moŋ11"		
"萌"	"萌"	"mong2"	"m"	"oŋ"	11	"阳平"	"moŋ11"		
"猛"	"猛"	"mong3"	"m"	"oŋ"	21	"上声"	"moŋ21"		
"艋"	"艋"	"mong3"	"m"	"oŋ"	21	"上声"	"moŋ21"		
"蜢"	"蜢"	"mong3"	"m"	"oŋ"	21	"上声"	"moŋ21"		
"蠓"	"蠓"	"mong3"	"m"	"oŋ"	21	"上声"	"moŋ21"		
"錳"	"锰"	"mong3"	"m"	"oŋ"	21	"上声"	"moŋ21"		
"孟"	"孟"	"mong5"	"m"	"oŋ"	45	"去声"	"moŋ45"		
"夢"	"梦"	"mong5"	"m"	"oŋ"	45	"去声"	"moŋ45"		
"哞"	"哞"	"mou2"	"m"	"əu"	11	"阳平"	"məu11"		
"牟"	"牟"	"mou2"	"m"	"əu"	11	"阳平"	"məu11"		
"眸"	"眸"	"mou2"	"m"	"əu"	11	"阳平"	"məu11"		
"蛑"	"蛑"	"mou2"	"m"	"əu"	11	"阳平"	"məu11"		
"謀"	"谋"	"mou2"	"m"	"əu"	11	"阳平"	"məu11"		
"拇"	"拇"	"mou3"	"m"	"əu"	21	"上声"	"məu21"	"老"	
"某"	"某"	"mou3"	"m"	"əu"	21	"上声"	"məu21"		
"牡"	"牡"	"mou3"	"m"	"əu"	21	"上声"	"məu21"	"老"	
"畝"	"亩"	"mou3"	"m"	"əu"	21	"上声"	"məu21"	"老"	
"茂"	"茂"	"mou5"	"m"	"əu"	45	"去声"	"məu45"	"老"	
"貿"	"贸"	"mou5"	"m"	"əu"	45	"去声"	"məu45"	"老"	
"牧"	"牧"	"mou5"	"m"	"əu"	45	"去声"	"məu45"		
"穆"	"穆"	"mou5"	"m"	"əu"	45	"去声"	"məu45"	"庄严肃穆"	
"木"	"木"	"mu2"	"m"	"u"	11	"阳平"	"mu11"		
"牧"	"牧"	"mu2"	"m"	"u"	11	"阳平"	"mu11"		
"目"	"目"	"mu2"	"m"	"u"	11	"阳平"	"mu11"		
"睦"	"睦"	"mu2"	"m"	"u"	11	"阳平"	"mu11"		
"苜"	"苜"	"mu2"	"m"	"u"	11	"阳平"	"mu11"		
"姆"	"姆"	"mu3"	"m"	"u"	21	"上声"	"mu21"		
"姥"	"姥"	"mu3"	"m"	"u"	21	"上声"	"mu21"		
"母"	"母"	"mu3"	"m"	"u"	21	"上声"	"mu21"		
"募"	"募"	"mu5"	"m"	"u"	45	"去声"	"mu45"		
"墓"	"墓"	"mu5"	"m"	"u"	45	"去声"	"mu45"		
"慕"	"慕"	"mu5"	"m"	"u"	45	"去声"	"mu45"		
"暮"	"暮"	"mu5"	"m"	"u"	45	"去声"	"mu45"		
"幕"	"幕"	"mu5"	"m"	"u"	45	"去声"	"mu45"		
"沐"	"沐"	"mu5"	"m"	"u"	45	"去声"	"mu45"		
"穆"	"穆"	"mu5"	"m"	"u"	45	"去声"	"mu45"		
"瞞"	"瞒"	"muan2"	"m"	"uan"	11	"阳平"	"muan11"	"老"	
"鞔"	"鞔"	"muan2"	"m"	"uan"	11	"阳平"	"muan11"	"老"	
"饅"	"馒"	"muan2"	"m"	"uan"	11	"阳平"	"muan11"	"老"	
"鰻"	"鳗"	"muan2"	"m"	"uan"	11	"阳平"	"muan11"	"老"	
"滿"	"满"	"muan3"	"m"	"uan"	21	"上声"	"muan21"	"老"	
"幔"	"幔"	"muan5"	"m"	"uan"	45	"去声"	"muan45"	"老"	
"曼"	"曼"	"muan5"	"m"	"uan"	45	"去声"	"muan45"	"老"	
"漫"	"漫"	"muan5"	"m"	"uan"	45	"去声"	"muan45"	"老"	
"蔓"	"蔓"	"muan5"	"m"	"uan"	45	"去声"	"muan45"	"老"	
"謾"	"谩"	"muan5"	"m"	"uan"	45	"去声"	"muan45"	"老"	
"拏"	"拏"	"na2"	"n"	"a"	11	"阳平"	"na11"		
"拿"	"拿"	"na2"	"n"	"a"	11	"阳平"	"na11"		
"納"	"纳"	"na2"	"n"	"a"	11	"阳平"	"na11"		
"衲"	"衲"	"na2"	"n"	"a"	11	"阳平"	"na11"		
"訥"	"讷"	"na2"	"n"	"a"	11	"阳平"	"na11"		
"鈉"	"钠"	"na2"	"n"	"a"	11	"阳平"	"na11"		
"哪"	"哪"	"na3"	"n"	"a"	21	"上声"	"na21"		
"呐"	"呐"	"na5"	"n"	"a"	45	"去声"	"na45"		
"娜"	"娜"	"na5"	"n"	"a"	45	"去声"	"na45"		
"捺"	"捺"	"na5"	"n"	"a"	45	"去声"	"na45"		
"那"	"那"	"na5"	"n"	"a"	45	"去声"	"na45"		
"奶"	"奶"	"nai1"	"n"	"ai"	13	"阴平"	"nai13"		
"乃"	"乃"	"nai3"	"n"	"ai"	21	"上声"	"nai21"		
"氖"	"氖"	"nai3"	"n"	"ai"	21	"上声"	"nai21"		
"艿"	"艿"	"nai3"	"n"	"ai"	21	"上声"	"nai21"		
"迺"	"乃"	"nai3"	"n"	"ai"	21	"上声"	"nai21"		
"奈"	"奈"	"nai5"	"n"	"ai"	45	"去声"	"nai45"		
"柰"	"柰"	"nai5"	"n"	"ai"	45	"去声"	"nai45"		
"耐"	"耐"	"nai5"	"n"	"ai"	45	"去声"	"nai45"		
"鼐"	"鼐"	"nai5"	"n"	"ai"	45	"去声"	"nai45"		
"南"	"南"	"nan2"	"n"	"an"	11	"阳平"	"nan11"		
"喃"	"喃"	"nan2"	"n"	"an"	11	"阳平"	"nan11"		
"楠"	"楠"	"nan2"	"n"	"an"	11	"阳平"	"nan11"		
"男"	"男"	"nan2"	"n"	"an"	11	"阳平"	"nan11"		
"腩"	"腩"	"nan2"	"n"	"an"	11	"阳平"	"nan11"		
"蝻"	"蝻"	"nan2"	"n"	"an"	11	"阳平"	"nan11"		
"難"	"难"	"nan2"	"n"	"an"	11	"阳平"	"nan11"		
"赧"	"赧"	"nan3"	"n"	"an"	21	"上声"	"nan21"		
"難"	"难"	"nan5"	"n"	"an"	45	"去声"	"nan45"		
"囊"	"囊"	"nang2"	"n"	"aŋ"	11	"阳平"	"naŋ11"		
"撓"	"挠"	"nao2"	"n"	"au"	11	"阳平"	"nau11"		
"猱"	"猱"	"nao2"	"n"	"au"	11	"阳平"	"nau11"		
"惱"	"恼"	"nao3"	"n"	"au"	21	"上声"	"nau21"		
"瑙"	"瑙"	"nao3"	"n"	"au"	21	"上声"	"nau21"		
"腦"	"脑"	"nao3"	"n"	"au"	21	"上声"	"nau21"		
"淖"	"淖"	"nao5"	"n"	"au"	45	"去声"	"nau45"		
"鬧"	"闹"	"nao5"	"n"	"au"	45	"去声"	"nau45"		
"餒"	"馁"	"nei3"	"n"	"əi"	21	"上声"	"nəi21"		
"內"	"内"	"nei5"	"n"	"əi"	45	"去声"	"nəi45"		
"嫩"	"嫩"	"nei5"	"n"	"əi"	45	"去声"	"nəi45"		
"掄"	"抡"	"nen1"	"n"	"ən"	13	"阴平"	"nən13"		
"侖"	"仑"	"nen2"	"n"	"ən"	11	"阳平"	"nən11"		
"倫"	"伦"	"nen2"	"n"	"ən"	11	"阳平"	"nən11"		
"圇"	"囵"	"nen2"	"n"	"ən"	11	"阳平"	"nən11"		
"崙"	"仑"	"nen2"	"n"	"ən"	11	"阳平"	"nən11"		
"淪"	"沦"	"nen2"	"n"	"ən"	11	"阳平"	"nən11"		
"綸"	"纶"	"nen2"	"n"	"ən"	11	"阳平"	"nən11"		
"論"	"论"	"nen2"	"n"	"ən"	11	"阳平"	"nən11"		
"輪"	"轮"	"nen2"	"n"	"ən"	11	"阳平"	"nən11"		
"能"	"能"	"nen2"	"n"	"ən"	11	"阳平"	"nən11"		
"論"	"论"	"nen5"	"n"	"ən"	45	"去声"	"nən45"		
"愣"	"愣"	"nen5"	"n"	"ən"	45	"去声"	"nən45"		
"丫"	"丫"	"nga1"	"ŋ"	"a"	13	"阴平"	"ŋa13"		
"啊"	"啊"	"nga1"	"ŋ"	"a"	13	"阴平"	"ŋa13"		
"婀"	"婀"	"nga1"	"ŋ"	"a"	13	"阴平"	"ŋa13"		
"鴉"	"鸦"	"nga1"	"ŋ"	"a"	13	"阴平"	"ŋa13"		
"牙"	"牙"	"nga2"	"ŋ"	"a"	11	"阳平"	"ŋa11"		
"鴨"	"鸭"	"nga2"	"ŋ"	"a"	11	"阳平"	"ŋa11"	"老"	
"啞"	"哑"	"nga3"	"ŋ"	"a"	21	"上声"	"ŋa21"		
"雅"	"雅"	"nga3"	"ŋ"	"a"	21	"上声"	"ŋa21"		
"亞"	"亚"	"nga5"	"ŋ"	"a"	45	"去声"	"ŋa45"		
"哀"	"哀"	"ngai1"	"ŋ"	"ai"	13	"阴平"	"ŋai13"		
"唉"	"唉"	"ngai1"	"ŋ"	"ai"	13	"阴平"	"ŋai13"		
"埃"	"埃"	"ngai1"	"ŋ"	"ai"	13	"阴平"	"ŋai13"		
"挨"	"挨"	"ngai1"	"ŋ"	"ai"	13	"阴平"	"ŋai13"		
"鎄"	"锿"	"ngai1"	"ŋ"	"ai"	13	"阴平"	"ŋai13"		
"呆"	"呆"	"ngai2"	"ŋ"	"ai"	11	"阳平"	"ŋai11"		
"崖"	"崖"	"ngai2"	"ŋ"	"ai"	11	"阳平"	"ŋai11"		
"捱"	"捱"	"ngai2"	"ŋ"	"ai"	11	"阳平"	"ŋai11"		
"涯"	"涯"	"ngai2"	"ŋ"	"ai"	11	"阳平"	"ŋai11"		
"癌"	"癌"	"ngai2"	"ŋ"	"ai"	11	"阳平"	"ŋai11"		
"皚"	"皑"	"ngai2"	"ŋ"	"ai"	11	"阳平"	"ŋai11"		
"哎"	"哎"	"ngai3"	"ŋ"	"ai"	21	"上声"	"ŋai21"		
"曖"	"暧"	"ngai3"	"ŋ"	"ai"	21	"上声"	"ŋai21"		
"矮"	"矮"	"ngai3"	"ŋ"	"ai"	21	"上声"	"ŋai21"		
"藹"	"蔼"	"ngai3"	"ŋ"	"ai"	21	"上声"	"ŋai21"		
"噯"	"嗳"	"ngai5"	"ŋ"	"ai"	45	"去声"	"ŋai45"		
"嬡"	"嫒"	"ngai5"	"ŋ"	"ai"	45	"去声"	"ŋai45"		
"愛"	"爱"	"ngai5"	"ŋ"	"ai"	45	"去声"	"ŋai45"		
"璦"	"瑷"	"ngai5"	"ŋ"	"ai"	45	"去声"	"ŋai45"		
"砹"	"砹"	"ngai5"	"ŋ"	"ai"	45	"去声"	"ŋai45"		
"礙"	"碍"	"ngai5"	"ŋ"	"ai"	45	"去声"	"ŋai45"		
"艾"	"艾"	"ngai5"	"ŋ"	"ai"	45	"去声"	"ŋai45"		
"隘"	"隘"	"ngai5"	"ŋ"	"ai"	45	"去声"	"ŋai45"		
"靄"	"霭"	"ngai5"	"ŋ"	"ai"	45	"去声"	"ŋai45"		
"垵"	"埯"	"ngan1"	"ŋ"	"an"	13	"阴平"	"ŋan13"		
"安"	"安"	"ngan1"	"ŋ"	"an"	13	"阴平"	"ŋan13"		
"庵"	"庵"	"ngan1"	"ŋ"	"an"	13	"阴平"	"ŋan13"		
"氨"	"氨"	"ngan1"	"ŋ"	"an"	13	"阴平"	"ŋan13"		
"菴"	"庵"	"ngan1"	"ŋ"	"an"	13	"阴平"	"ŋan13"		
"諳"	"谙"	"ngan1"	"ŋ"	"an"	13	"阴平"	"ŋan13"		
"銨"	"铵"	"ngan1"	"ŋ"	"an"	13	"阴平"	"ŋan13"		
"鞍"	"鞍"	"ngan1"	"ŋ"	"an"	13	"阴平"	"ŋan13"		
"鵪"	"鹌"	"ngan1"	"ŋ"	"an"	13	"阴平"	"ŋan13"		
"俺"	"俺"	"ngan2"	"ŋ"	"an"	11	"阳平"	"ŋan11"		
"嚴"	"严"	"ngan2"	"ŋ"	"an"	11	"阳平"	"ŋan11"	"白"	
"眼"	"眼"	"ngan3"	"ŋ"	"an"	21	"上声"	"ŋan21"		
"岸"	"岸"	"ngan5"	"ŋ"	"an"	45	"去声"	"ŋan45"		
"按"	"按"	"ngan5"	"ŋ"	"an"	45	"去声"	"ŋan45"		
"暗"	"暗"	"ngan5"	"ŋ"	"an"	45	"去声"	"ŋan45"		
"案"	"案"	"ngan5"	"ŋ"	"an"	45	"去声"	"ŋan45"		
"桉"	"桉"	"ngan5"	"ŋ"	"an"	45	"去声"	"ŋan45"		
"雁"	"雁"	"ngan5"	"ŋ"	"an"	45	"去声"	"ŋan45"		
"黯"	"黯"	"ngan5"	"ŋ"	"an"	45	"去声"	"ŋan45"		
"肮"	"肮"	"ngang1"	"ŋ"	"aŋ"	13	"阴平"	"ŋaŋ13"		
"骯"	"肮"	"ngang1"	"ŋ"	"aŋ"	13	"阴平"	"ŋaŋ13"		
"昂"	"昂"	"ngang2"	"ŋ"	"aŋ"	11	"阳平"	"ŋaŋ11"		
"盎"	"盎"	"ngang5"	"ŋ"	"aŋ"	45	"去声"	"ŋaŋ45"		
"凹"	"凹"	"ngao1"	"ŋ"	"au"	13	"阴平"	"ŋau13"		
"嗷"	"嗷"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"廒"	"廒"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"敖"	"敖"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"熬"	"熬"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"獒"	"獒"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"翱"	"翱"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"聱"	"聱"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"螯"	"螯"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"襖"	"袄"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"遨"	"遨"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"鏖"	"鏖"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"驁"	"骜"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"鼇"	"鳌"	"ngao2"	"ŋ"	"au"	11	"阳平"	"ŋau11"		
"咬"	"咬"	"ngao3"	"ŋ"	"au"	21	"上声"	"ŋau21"		
"媼"	"媪"	"ngao3"	"ŋ"	"au"	21	"上声"	"ŋau21"		
"傲"	"傲"	"ngao5"	"ŋ"	"au"	45	"去声"	"ŋau45"		
"噢"	"噢"	"ngao5"	"ŋ"	"au"	45	"去声"	"ŋau45"		
"坳"	"坳"	"ngao5"	"ŋ"	"au"	45	"去声"	"ŋau45"		
"奧"	"奥"	"ngao5"	"ŋ"	"au"	45	"去声"	"ŋau45"		
"嶴"	"岙"	"ngao5"	"ŋ"	"au"	45	"去声"	"ŋau45"		
"懊"	"懊"	"ngao5"	"ŋ"	"au"	45	"去声"	"ŋau45"		
"拗"	"拗"	"ngao5"	"ŋ"	"au"	45	"去声"	"ŋau45"		
"澳"	"澳"	"ngao5"	"ŋ"	"au"	45	"去声"	"ŋau45"		
"驁"	"骜"	"ngao5"	"ŋ"	"au"	45	"去声"	"ŋau45"		
"額"	"额"	"nge2"	"ŋ"	"e"	11	"阳平"	"ŋe11"		
"餩"	"餩"	"nge5"	"ŋ"	"e"	45	"去声"	"ŋe45"		
"嗯"	"嗯"	"ngen1"	"ŋ"	"ən"	13	"阴平"	"ŋən13"		
"恩"	"恩"	"ngen1"	"ŋ"	"ən"	13	"阴平"	"ŋən13"		
"櫻"	"樱"	"ngen1"	"ŋ"	"ən"	13	"阴平"	"ŋən13"	"白读"	
"硬"	"硬"	"ngen55"	"ŋ"	"ən"	45	"去声"	"ŋən45"	"软硬"	
"我"	"我"	"ngo21"	"ŋ"	"o"	21	"上声"	"ŋo21"		
"壅"	"壅"	"ngong1"	"ŋ"	"oŋ"	13	"阴平"	"ŋoŋ13"	"埋"	
"區"	"区"	"ngou1"	"ŋ"	"əu"	13	"阴平"	"ŋəu13"		
"歐"	"欧"	"ngou1"	"ŋ"	"əu"	13	"阴平"	"ŋəu13"		
"毆"	"殴"	"ngou1"	"ŋ"	"əu"	13	"阴平"	"ŋəu13"		
"漚"	"沤"	"ngou1"	"ŋ"	"əu"	13	"阴平"	"ŋəu13"		
"甌"	"瓯"	"ngou1"	"ŋ"	"əu"	13	"阴平"	"ŋəu13"		
"謳"	"讴"	"ngou1"	"ŋ"	"əu"	13	"阴平"	"ŋəu13"		
"鷗"	"鸥"	"ngou1"	"ŋ"	"əu"	13	"阴平"	"ŋəu13"		
"偶"	"偶"	"ngou3"	"ŋ"	"əu"	21	"上声"	"ŋəu21"		
"嘔"	"呕"	"ngou3"	"ŋ"	"əu"	21	"上声"	"ŋəu21"		
"慪"	"怄"	"ngou3"	"ŋ"	"əu"	21	"上声"	"ŋəu21"		
"耦"	"耦"	"ngou3"	"ŋ"	"əu"	21	"上声"	"ŋəu21"		
"藕"	"藕"	"ngou3"	"ŋ"	"əu"	21	"上声"	"ŋəu21"		
"漚"	"沤"	"ngou5"	"ŋ"	"əu"	45	"去声"	"ŋəu45"		
"伲"	"伲"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"倪"	"倪"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"儀"	"仪"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"	"老"	
"呢"	"呢"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"妮"	"妮"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"宜"	"宜"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"	"老"	
"尼"	"尼"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"昵"	"昵"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"沂"	"沂"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"泥"	"泥"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"猊"	"猊"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"疑"	"疑"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"誼"	"谊"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"	"老"	
"霓"	"霓"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"鯢"	"鲵"	"ni2"	"ȵ"	"i"	11	"阳平"	"ȵi11"		
"你"	"你"	"ni3"	"ȵ"	"i"	21	"上声"	"ȵi21"		
"擬"	"拟"	"ni3"	"ȵ"	"i"	21	"上声"	"ȵi21"		
"旎"	"旎"	"ni3"	"ȵ"	"i"	21	"上声"	"ȵi21"		
"匿"	"匿"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"		
"奕"	"奕"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"	"老"	
"屹"	"屹"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"	"老"	
"憶"	"忆"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"	"老"	
"溺"	"溺"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"		
"睨"	"睨"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"		
"繹"	"绎"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"	"老"	
"義"	"义"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"	"老"	
"膩"	"腻"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"		
"藝"	"艺"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"	"老"	
"詣"	"诣"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"	"老"	
"議"	"议"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"	"老"	
"逆"	"逆"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"		
"吝"	"吝"	"ni5"	"ȵ"	"i"	45	"去声"	"ȵi45"	"白"	
"粘"	"粘"	"nia1"	"ȵ"	"ia"	13	"阴平"	"ȵia13"	"白"	
