#符号说明：-白=文/书*俗?待考	
#调值	［1］53［2］31［5］423［6］213［7］5［8］23
#ɿ	
liã [2]良凉量{动词}粮梁粱[6]两亮谅辆量{名词}	
ʦiã [1]将{~来}浆雀{“雀儿”的合音，麻~}[5]蒋奬桨酱将{大~}	
ʦhiã [1]枪□{掺和，~点热水}戗锵[5]抢呛𪉨{~蟹}	
siã [1]相箱厢湘镶[5]想	
ziã [2]墙祥祥翔详蔷[6]象像匠	
ʨiã [1]疆僵姜缰姜刚{~~：刚才}	
ʨhiã [1]腔-{~调}羌	
ʥiã [2]强{强大}[6]强{倔强}	
ɕiã [1]香乡[5]晌饷享响向	
ȵiã [2]娘[5]仰[6]让酿壤-	
iã [1]秧殃央[5]映{放~}	
ɦiã [2]羊洋杨阳扬疡烊[6]养痒样	
#uã	
kuã [1]光{~火}[5]□{裂}	
uã [1]横{不讲理，~对}	
huã [1]轰-{顽皮}	
ɦuã [2]横{横竖}[6]横{蛮横}	
#ɔ̃	
pɔ̃ [1]帮邦[5]榜绑磅{~秤}膀{臂~}	
phɔ̃ [5]胖	
bɔ̃ [2]旁防彷庞磅{~礴}膀{~胱}[6]螃棒傍{相比较；趁：~热，~早}	
mɔ̃ [2]忙氓[6]妄	
fɔ̃ [1]方坊肪芳[5]放妨纺仿访	
vɔ̃ [2]房亡[6]望={希~}忘={遗~}	
tɔ̃ [1]当裆[5]党挡当档	
thɔ̃ [1]汤𢴳{~牢，一手~过去：用手挡住或推止}□{遮盖，用塑料布~一~}[5]躺烫趟	
dɔ̃ [2]堂棠螳唐糖塘[6]趤荡	
nɔ̃ [2]囊瓤	
lɔ̃ [1]誏[2]郎廊狼螂朗浪上{语流中的发音}[6]㫰{~衣裳：晾衣服}𧻴{逸游：~趤江湖}	
ʦɔ̃ [1]赃脏{肮~}庄装妆章樟蟑桩[5]葬壮障掌	
ʦhɔ̃ [1]仓苍舱疮菖娼窗昌[5]闯创唱倡	
sɔ̃ [1]桑丧霜商伤双磉嗓[5]丧爽赏	
zɔ̃ [2]藏{~匿}床偿常{经~，~识}尝裳[6]脏{五~六腑}上尚壤=撞状藏{西~}	
kɔ̃ [1]刚岗纲钢冈缸江扛豇肛[5]杠讲港降	
khɔ̃ [1]康糠慷[5]抗炕囥	
gɔ̃ [2]扛[6]戆{傻}	
ŋɔ̃ [2]昂	
ɔ̃ [1]骯□{口唱以词哄，~小囡}	
hɔ̃ [1]夯行-{表示“做”的意思}	
ɦɔ̃ [2]行{银~，~业}航降{投~}杭[6]笐{晒衣架}项巷	
#iɔ̃	
ʨhiɔ̃ [5]讲=	
ʨhiɔ̃ [1]腔={口~}匡羌{姓}	
ʥiɔ̃ [2]狂-{撒娇：发~劲}	
ɦiɔ̃ [2]王[6]旺{火~，~泾}	
#uɔ̃	
kuɔ̃ [1]光[5]广	
khuɔ̃ [1]筐框匡眶[5]旷矿	
uɔ̃ [1]汪[5]往	
huɔ̃ [1]荒慌黄{蛋~，蟹~}[5]谎晃况	
ɦuɔ̃ [2]黄簧皇蝗蟥凰王=狂=[6]□{打赌：~东道}枉旺={兴~，~盛}	
#ᴇ̃	
pᴇ̃ [1]奔崩畚{~箕，~垃圾}[5]本迸	
phᴇ̃ [1]喷[5]喷	
bᴇ̃ [2]盆[6]笨	
mᴇ̃ [2]门蚊闻-{~~看味道}萌盟[5]闷猛={~烈，凶~}[6]问-{~~看}	
fᴇ̃ [1]分吩芬纷[5]畚粉粪奋	
vᴇ̃ [1]朆{“勿曾”的合音，副词，相当于普通话的“没有”（后面接动词，不能接名词）}[2]坟文纹闻={新~，耳~}[6]问={~题}愤份吻=	
tᴇ̃ [1]墩顿蹲登灯驐[5]等戥凳□{手托物估重量}憕	
thᴇ̃ [1]膯吞听{闻，嗅}[5]汆	
dᴇ̃ [2]豚饨臀藤腾誊头{“头儿”的合音，丫~}胴{~疘，或曰该字为“臀”}[6]屯盾□{挖苦，讥讽}沌钝邓	
nᴇ̃ [2]能[6]嫩	
lᴇ̃ [2]仑论{~语}轮[5]愣[6]论伦	
ʦᴇ̃ [1]砧针珍真诊疹尊撙肫增曾{姓}蒸争={~吵，战~}贞侦正{~月}征□{用指头挤压}㲀{用小槌等物敲击，敲紧实}臻遵筝[5]怎枕={~木}镇振震甑证症整正{~好}政	
