字頭	聲母/韻母/聲調	註釋	錔字
滿	mwɔn55		
悶	mwɔn22		
歡	fwɔn24		
寬	fwɔn24		
桓	fwɔn21		
款	fwɔn55		
緩	fwɔn22		
喚	fwɔn22		
煥	fwɔn22		
鑽	ɗwɔn24	[動詞]	
團	ɗwɔn21		
鑽	ɗwɔn33	[木工用具]	
鍛	ɗwɔn33		
段	ɗwɔn22		
斷	ɗwɔn22	(~絕)	
緞	ɗwɔn22		
椴	ɗwɔn22		
吞	tʰwɔn24		
斷	tʰwɔn33	[斷了,形容詞]	
□	nwɔn55	[大拇指和食指向反方向用力，將粘在一塊的東西弄開]	
暖	nwɔn33		
端	ɗwɔn24		
鸞	lwɔn21		
短	ɗwɔn55		
卵	lwɔn55		
亂	lwɔn22		
酸	ɬwɔn24		
算	ɬwɔn33		
專	ʦwɔn24		
磚	ʦwɔn24		
轉	ʦwɔn55	(~眼、~圓圈)	
傳	ʦwɔn35	*變調(自~)	
篆	ʦwɔn35	*變調	
撰	ʦwɔn22		
軟	ȵwɔn33		
門	swɔn24	(~門)	
拴	swɔn24		
船	swɔn21		
吮	swɔn33	(~手指)[用口含住手指吮吸]	
官	kwɔn24		
棺	kwɔn24		
觀	kwɔn24	(參~)	
冠	kwɔn24	(衣~)	
館	kwɔn55		
管	kwɔn55		
罐	kwɔn33		
貫	kwɔn33		
灌	kwɔn33		
觀	kwɔn33	(奇~)	
冠	kwɔn33	(~軍)	
墾	kʰwɔn55		
懇	kʰwɔn55		
銀	ŋwɔn21		
齦	ŋwɔn21		
痕	hwɔn21		
很	hwɔn55		
恨	hwɔn22	[喜歡]	
元	ȵyɔn21		
原	ȵyɔn21		
源	ȵyɔn21		
阮	ȵyɔn35		
願	ȵyɔn22		
冤	jyɔn24		
淵	jyɔn24		
緣	jyɔn21		
圓	jyɔn21		
完	jyɔn21		
員	jyɔn21		
沿	jyɔn21		
鉛	jyɔn21		
袁	jyɔn21		
轅	jyɔn21		
園	jyɔn21		
援	jyɔn21		
玄	jyɔn21		
懸	jyɔn21		
眩	jyɔn21		
遠	jyɔn55		
宛	jyɔn55		
院	jyɔn35	*變調	
丸	jyɔn35		
怨	jyɔn33		
縣	jyɔn22		
謗	ɓɔŋ22		
滂	pʰɔŋ21		
旁	pʰɔŋ21		
螃	pʰɔŋ21		
傍	pʰɔŋ21		
龐	pʰɔŋ21		
蚌	pʰɔŋ35		
忙	mɔŋ21		
芒	mɔŋ21		
茫	mɔŋ21		
虻	mɔŋ21		
莽	mɔŋ35		
蟒	mɔŋ35		
幫	ɓɔŋ24		
邦	ɓɔŋ24		
黃	wɔŋ21		
簧	wɔŋ21		
王	wɔŋ21		
皇	wɔŋ21		
蝗	wɔŋ21		
綁	ɓɔŋ55		
枉	wɔŋ55		
榜	ɓɔŋ55		
往	wɔŋ35		
旺	wɔŋ22		
贓	ɗɔŋ24		
棠	ɗɔŋ21	(~下)[地名]	
糖	ɗɔŋ21		
塘	ɗɔŋ21		
蕩	ɗɔŋ22		
宕	ɗɔŋ22		
髒	ɗɔŋ22		
藏	ɗɔŋ22	(西~)	
湯	tʰɔŋ24		
倉	tʰɔŋ24		
蒼	tʰɔŋ24		
堂	tʰɔŋ21		
螳	tʰɔŋ21		
唐	tʰɔŋ21		
棠	tʰɔŋ21	(海~花)	
藏	tʰɔŋ21	(隱~)	
倘	tʰɔŋ55		
躺	tʰɔŋ55		
燙	tʰɔŋ33		
趟	tʰɔŋ33		
囊	nɔŋ21		
瓤	nɔŋ21		
浪	nɔŋ22		
當	ɗɔŋ24	(~時)	
郎	lɔŋ21		
狼	lɔŋ21		
廊	lɔŋ21		
螂	lɔŋ21		
娘	lɔŋ21		
黨	ɗɔŋ55		
擋	ɗɔŋ55		
朗	lɔŋ35		
當	ɗɔŋ33	(~作)	
晾	lɔŋ22		
浪	lɔŋ22		
桑	ɬɔŋ24		
喪	ɬɔŋ24	(~事)	
嗓	ɬɔŋ55		
搡	ɬɔŋ55		
喪	ɬɔŋ33	(~失)	
莊	ʦɔŋ24		
裝	ʦɔŋ24		
壯	ʦɔŋ33		
狀	ʦɔŋ22		
撞	ʦɔŋ22		
瘡	ʦʰɔŋ24		
窗	ʦʰɔŋ24		
床	ʦʰɔŋ21		
闖	ʦʰɔŋ55		
廠	ʦʰɔŋ55		
創	ʦʰɔŋ33		
霜	sɔŋ24		
雙	sɔŋ24		
孀	sɔŋ24		
爽	sɔŋ55		
岡	kɔŋ24		
崗	kɔŋ24		
剛	kɔŋ24		
綱	kɔŋ24		
缸	kɔŋ24		
鋼	kɔŋ33		
降	kɔŋ33	(下~)	
狂	kʰɔŋ21		
逛	kʰɔŋ21		
抗	kʰɔŋ33		
炕	kʰɔŋ33		
昂	ŋɔŋ21		
戇	ŋɔŋ22		
康	hɔŋ24		
糠	hɔŋ24		
匡	hɔŋ24		
筐	hɔŋ24		
眶	hɔŋ24		
行	hɔŋ21	(~列)	
航	hɔŋ21		
杭	hɔŋ21		
降	hɔŋ21	(投~)	
慷	hɔŋ55		
項	hɔŋ22		
巷	hɔŋ22		
肮	ʔɔŋ24		
骯	ʔɔŋ24		
亡	mwɔŋ21		
芒	mwɔŋ21		
忘	mwɔŋ21		
妄	mwɔŋ35		
網	mwɔŋ35		
輞	mwɔŋ35		
望	mwɔŋ22		
荒	fwɔŋ24		
慌	fwɔŋ24		
謊	fwɔŋ24		
方	fwɔŋ24		
肪	fwɔŋ24		
芳	fwɔŋ24		
房	fwɔŋ21		
防	fwɔŋ21		
妨	fwɔŋ21		
晃	fwɔŋ55		
紡	fwɔŋ55		
仿	fwɔŋ55		
彷	fwɔŋ55		
訪	fwɔŋ55		
光	kwɔŋ24		
江	kwɔŋ24		
扛	kwɔŋ24		
紅	kwɔŋ24		
廣	kwɔŋ55		
講	kwɔŋ55		
港	kwɔŋ55		
曠	kʰwɔŋ33		
礦	kʰwɔŋ33		
抹	mɔt3		
活	wɔt2		
割	kɔt3		
葛	kɔt3		
喝	hɔt3		
渴	hɔt3		
瞎	hɔt2		
轄	hɔt2		
核	hɔt2	(~心)	
勃	ɓwɔt2		
撥	ɓwɔt2		
脖	ɓwɔt2		
鈸	ɓwɔt2		
餑	ɓwɔt2		
潑	pʰwɔt5	(~水)	
撥	pʰwɔt3	(~扇)[扇扇子]	
潑	pʰwɔt3	(活~)	
抹	mwɔt3		
物	mwɔt22		
勿	mwɔt22		
末	mwɔt22		
沫	mwɔt22		
沒	mwɔt22		
闊	fwɔt3		
嘬	ɗwɔt5	(柿~)[柿子]	
嘬	ɗwɔt3		
奪	ɗwɔt2		
脫	tʰwɔt3		
□	tʰwɔt2	[男性生殖器]	𨳍
捋	lwɔt2		
劣	lwɔt2		
拙	ʦwɔt5		
說	swɔt5		
割	kwɔt3		
葛	kwɔt3		
括	kʰwɔt5		
豁	kʰwɔt3		
渴	hwɔt3		
月	ȵyɔt2		
乙	jyɔt5		
越	jyɔt2		
曰	jyɔt2		
粤	jyɔt2		
穴	jyɔt2		
閱	jyɔt2		
悅	jyɔt2		
薄	ɓɔk2		
泊	ɓɔk2		
撲	pʰɔk3		
醭	pʰɔk3		
樸	pʰɔk3		
剝	mɔk5	(~削)	
剝	mɔk3	(~開)	
莫	mɔk2		
膜	mɔk2		
幕	mɔk2		
寞	mɔk2		
霍	fɔk3		
縛	fɔk3		
博	ɓɔk5		
□	ɓɔk5	[用棍子打]	㩧
□	ɓɔk5	(~佬)[鄉巴佬]	㩧
鑊	wɔk35		
搏	ɓɔk3		
駁	ɓɔk3		
獲	wɔk2		
作	ɗɔk5	(工~)	
作	ɗɔk3	(~爲)	
鑿	ɗɔk2		
鐸	ɗɔk2		
踱	ɗɔk2		
昨	ɗɔk2		
托	tʰɔk3		
拓	tʰɔk3		
諾	nɔk2		
烙	lɔk5		
駱	lɔk5		
酪	lɔk5		
洛	lɔk5		
落	lɔk5	(角~頭)[角落]	
絡	lɔk2		
樂	lɔk2	(快~)	
落	lɔk2	(下~)	
朔	ɬɔk5		
索	ɬɔk3		
捉	ʦɔk3		
戳	ʦʰɔk3		
□	ʦʰɔk3	[大力甩,使消除皺折](~下件衫)	
箾	sɔk5	[用細棍子敲打人]	
□	sɔk3	[大力吸氣，聞]	嗍
覺	kɔk5	(知~)	
郭	kɔk3		
角	kɔk3	(牛~)	
覺	kɔk3	(~得)	
搉	kʰɔk5		
確	kʰɔk5	(的~良)	
確	kʰɔk3	(的而且~)	
鄂	ŋɔk2		
嶽	ŋɔk2		
岳	ŋɔk2		
樂	ŋɔk2	(音~)	
□	ŋɔk2	(~頭)[擡頭]	𩓥
殼	hɔk3		
學	hɔk2		
鶴	hɔk2		
惡	ʔɔk5	[兇惡](~佬)	
惡	ʔɔk3	[難](~做)	
国	kwɔk5		
□	ɓʊŋ22	(一~tʰui21)[一陣怪味兒]	𩗴
篷	pʰʊŋ21		
碰	pʰʊŋ33		
蒙	mʊŋ21		
蠓	mʊŋ21		
懵	mʊŋ55		
夢	mʊŋ22		
風	fʊŋ24		
封	fʊŋ24		
峰	fʊŋ24		
鋒	fʊŋ24		
楓	fʊŋ24		
豐	fʊŋ24		
蜂	fʊŋ24		
瘋	fʊŋ24		
馮	fʊŋ21		
逢	fʊŋ21		
蓬	fʊŋ21		
縫	fʊŋ21	(~补、~隙)	
諷	fʊŋ55		
俸	fʊŋ55		
鳳	fʊŋ22		
奉	fʊŋ22		
捧	ɓʊŋ55		
宗	ɗʊŋ24		
綜	ɗʊŋ24		
鬃	ɗʊŋ24		
堫	ɗʊŋ24		
縱	ɗʊŋ24	(~橫)	
銅	ɗʊŋ21		
同	ɗʊŋ21	[相當於“跟、和”，可作連詞和介詞]	
總	ɗʊŋ55		
粽	ɗʊŋ35	*變調	
縱	ɗʊŋ33	(放~)	
動	ɗʊŋ22		
棟	ɗʊŋ22		
幢	ɗʊŋ22		
洞	ɗʊŋ22		
誦	ɗʊŋ22		
頌	ɗʊŋ22		
訟	ɗʊŋ22		
通	tʰʊŋ24		
聰	tʰʊŋ24		
匆	tʰʊŋ24		
蔥	tʰʊŋ24		
囪	tʰʊŋ24		
熥	tʰʊŋ24		
同	tʰʊŋ21	(~學)	
桐	tʰʊŋ21		
童	tʰʊŋ21		
瞳	tʰʊŋ21		
從	tʰʊŋ21		
松	tʰʊŋ21	(~樹)	
統	tʰʊŋ55		
桶	tʰʊŋ55		
捅	tʰʊŋ55		
筒	tʰʊŋ55		
痛	tʰʊŋ33		
燶	nʊŋ24	[東西煮焦了]	燶
農	nʊŋ21		
膿	nʊŋ21		
濃	nʊŋ21		
鼻	nʊŋ21		
□	nʊŋ55	(~埋)[常指人結伴幹事]	
□	nʊŋ22	(鼻~~)[因傷風感冒鼻子不通暢而說話帶鼻音的樣子]	
東	ɗʊŋ24		
冬	ɗʊŋ24		
龍	lʊŋ21		
聾	lʊŋ21		
籠	lʊŋ21		
隆	lʊŋ21		
董	ɗʊŋ55		
懂	ɗʊŋ55		
龍	lʊŋ35		
隴	lʊŋ35		
壟	lʊŋ35		
瓏	lʊŋ35		
凍	ɗʊŋ33		
弄	lʊŋ22		
松	ɬʊŋ24	(輕~)	
嵩	ɬʊŋ24		
聳	ɬʊŋ55		
慫	ɬʊŋ55		
餸	ɬʊŋ35	*變調	
送	ɬʊŋ33		
宋	ɬʊŋ33		
鍾	ʦʊŋ24		
盅	ʦʊŋ24		
中	ʦʊŋ24	(~間)	
忠	ʦʊŋ24		
舂	ʦʊŋ24		
終	ʦʊŋ24		
種	ʦʊŋ55	(~類)	
腫	ʦʊŋ55		
種	ʦʊŋ33	(~菜)	
中	ʦʊŋ33	(~獎)	
衆	ʦʊŋ33		
仲	ʦʊŋ22		
重	ʦʊŋ22	(輕~)	
充	ʦʰʊŋ24		
沖	ʦʰʊŋ24		
衝	ʦʰʊŋ24		
重	ʦʰʊŋ21	(~複)	
蟲	ʦʰʊŋ21		
寵	ʦʰʊŋ55		
塚	ʦʰʊŋ55		
重	ʦʰʊŋ33	(~量)	
戎	ȵʊŋ21		
絨	ȵʊŋ21		
茸	ȵʊŋ21	(參茸)	
冗	ȵʊŋ21	(撥冗，冗長)	
崇	sʊŋ21		
工	kʊŋ24		
公	kʊŋ24	(~園)	
功	kʊŋ24		
攻	kʊŋ24		
蚣	kʊŋ24		
弓	kʊŋ24		
躬	kʊŋ24		
宮	kʊŋ24		
恭	kʊŋ24		
供	kʊŋ24	(提~)	
鞏	kʊŋ55		
拱	kʊŋ55	(~手)	
貢	kʊŋ33		
供	kʊŋ33	(進~)	
共	kʊŋ22		
供	kʊŋ22	(~仔)[照看孩子]	
控	kʰʊŋ24	[枝,量詞](一~花)	
窮	kʰʊŋ21		
孔	kʰʊŋ55		
空	hʊŋ24		
轟	hʊŋ24		
胸	hʊŋ24		
凶	hʊŋ24		
兇	hʊŋ24		
紅	hʊŋ21		
洪	hʊŋ21		
鴻	hʊŋ21		
雄	hʊŋ21		
虹	hʊŋ21		
熊	hʊŋ21		
哄	hʊŋ55	(~騙)	
恐	hʊŋ55		
哄	hʊŋ33	(起~)	
控	hʊŋ33		
烘	hʊŋ33		
汞	hʊŋ33		
嗅	hʊŋ33	(用鼻子聞)	
烘	hʊŋ22	[天氣熱、氣溫高，使人覺得熱]	
壅	ʔʊŋ24		
㧬	ʔʊŋ55	[推]	
甕	ʔʊŋ33		
□	ʔʊŋ33	[不是很好聞的一種氣味]	
翁	jʊŋ24		
雍	jʊŋ24		
容	jʊŋ21		
戎	jʊŋ21		
融	jʊŋ21		
蓉	jʊŋ21		
庸	jʊŋ21		
絨	jʊŋ21		
擁	jʊŋ55		
甬	jʊŋ55		
湧	jʊŋ55		
勇	jʊŋ35		
壅	jʊŋ33	(~埋)[衣物等收縮]	
用	jʊŋ22		
□	ɓʊk35	[平面所凸起的一個小包]	𦢊
僕	ɓʊk2		
瀑	ɓʊk2		
仆	pʰʊk3	(仆倒)[跌倒]	
□	mʊk3	[老人家沒牙喫東西，而用牙肉部分慢慢嚼食物地樣子]	
木	mʊk22		
目	mʊk22		
穆	mʊk22		
牧	mʊk22		
福	fʊk5		
幅	fʊk5		
蝠	fʊk5		
複	fʊk5		
腹	fʊk5		
複	fʊk5	(~習)	
覆	fʊk5	(反~)	
伏	fʊk2		
服	fʊk2		
複	fʊk2		
復	fʊk2	(~原)	
卜	ɓʊk5	(占~)	
足	ɗʊk5		
足	ɗʊk3	(八~)[蜈蚣]	
□	ɗʊk3	(~親)[特指不小心弄傷手腳關節處]	㧻
讀	ɗʊk2		
毒	ɗʊk2		
族	ɗʊk2		
逐	ɗʊk2	(~家~戶)	
俗	ɗʊk2		
續	ɗʊk2		
獨	ɗʊk2		
牘	ɗʊk2		
犢	ɗʊk2		
促	tʰʊk5		
束	tʰʊk5	(~衫)[把上衣下擺束在褲腰裏面]	
秃	tʰʊk5		
速	tʰʊk5		
□	nʊk3	[用尖細的東西戳]	搙
□	nʊk2	[踩]	搙
碌	lʊk5		
轆	lʊk5		
篤	ɗʊk5		
督	ɗʊk5		
□	lʊk3	[滾](~去~來)	漉
□	ɗʊk3	[量詞](一~屎)	涿
六	lʊk2		
陸	lʊk2		
綠	lʊk2		
錄	lʊk2		
鹿	lʊk2		
戮	lʊk2		
粟	ɬʊk5		
肅	ɬʊk5		
宿	ɬʊk5		
餿	ɬʊk3		
熄	ɬʊk3	(~火)	
築	ʦʊk5		
祝	ʦʊk5		
燭	ʦʊk5		
囑	ʦʊk5	(~咐)	
竹	ʦʊk5		
粥	ʦʊk3		
囑	ʦʊk3	[囑咐]	
軸	ʦʊk2		
逐	ʦʊk2	(追~)	
濁	ʦʊk2		
束	ʦʰʊk5		
速	ʦʰʊk5		
畜	ʦʰʊk5		
觸	ʦʰʊk5		
鐲	ʦʰʊk5		
蓄	ʦʰʊk5		
肉	ȵʊk2		
辱	ȵʊk2		
玉	ȵʊk2		
褥	ȵʊk2		
獄	ȵʊk2		
叔	sʊk5		
縮	sʊk5		
熟	sʊk2		
淑	sʊk2		
贖	sʊk2		
屬	sʊk2		
蜀	sʊk2		
穀	kʊk5		
菊	kʊk5		
掬	kʊk5		
穀	kʊk3		
局	kʊk2		
焗	kʊk2		
曲	kʰʊk5	(歌~)	
麴	kʰʊk5	(酒~)	
曲	kʰʊk3	[不直]	
哭	hʊk5		
酷	hʊk2		
屋	ʔʊk5	[房子]	
屋	ʔʊk3	(~企)[家]	
沃	jʊk5		
郁	jʊk5		
□	jʊk3	[動，活動]	喐
育	jʊk2		
欲	jʊk2		
慾	jʊk2		
浴	jʊk2		
浮	ɓøy21	(~上來)	
菢	ɓøy22	[孵](~雞仔)	
□	pʰøy35	[量詞](一~屎)[常指嬰兒拉在尿布上的一尿布屎]	抔
謀	møy21		
□	møy55	[用手指關節處敲打別人的腦袋]	
畝	møy35		
某	møy35		
牡	møy35		
戊	møy22		
茂	møy22		
貿	møy22		
謬	møy22		
浮	føy21	(輕~)	
否	føy55		
剖	føy55		
埠	føy22	(外~)	
阜	føy22		
踎	ɓøy24	[蹲]	
頭	ɗøy21		
投	ɗøy21		
走	ɗøy55		
皺	ɗøy33		
奏	ɗøy33		
縐	ɗøy33		
逗	ɗøy22		
豆	ɗøy22		
偷	tʰøy24		
娶	tʰøy55		
透	tʰøy33		
湊	tʰøy33		
膩	nøy22	(食~)[喫腻了]	
褸	løy24		
兜	ɗøy24		
縷	løy24		
樓	løy21		
騮	løy55	(馬~)[猴子]	
抖	ɗøy55		
陡	ɗøy55		
摟	løy55		
簍	løy55		
糾	ɗøy55	(~纏)	
鬥	ɗøy33		
漏	løy22		
陋	løy22		
叟	ɬøy55		
搜	ɬøy55		
颼	ɬøy55		
餿	ɬøy55		
嗽	ɬøy33		
漱	ɬøy33		
□	ʦøy24	(~水)[把水捧起]	
紂	ʦøy22		
宙	ʦøy22		
驟	ʦøy22		
□	ʦøy22	(~~氣氣)[傻裏傻氣]	
抽	ʦʰøy24	[擡起]	
□	ʦʰøy33	(~仔)[照料年齡較小的孩子]	湊
柔	ȵøy21		
揉	ȵøy21		
愁	søy21		
瘦	søy33		
叟	søy33		
守	søy33	(太~)	
銹	søy33	(生~)	
狗	køy55		
苟	køy55		
夠	køy33		
睺	køy22	[帶恨意地看]	睺
□	køy22	(一~)[一塊,量詞]	嚿
溝	kʰøy24		
摳	kʰøy24		
構	kʰøy33		
購	kʰøy33		
扣	kʰøy33		
叩	kʰøy33		
寇	kʰøy33		
磕	kʰøy33		
勾	ŋøy24		
鈎	ŋøy24	(~住)	
牛	ŋøy21		
鈎	ŋøy55	[名詞,鈎子]	
藕	ŋøy35		
偶	ŋøy35	(配~)(~然)	
□	ŋøy22	[呆、笨、傻]	
候	høy24	(~渠唔在)[趁他不在]	
喉	høy21		
猴	høy21		
侯	høy21		
口	høy55		
吼	høy55		
厚	høy35		
後	høy22		
候	høy22		
區	ʔøy24		
歐	ʔøy24		
鷗	ʔøy24		
甌	ʔøy24		
嘔	ʔøy55		
毆	ʔøy55		
熰	ʔøy33	[文火慢慢熬]	
漚	ʔøy33		
慪	ʔøy33	(~氣)	
全	tʰøn21		
泉	tʰøn21		
攣	løn24	[彎曲](~躬曲背)	
聯	løn21		
戀	løn55		
川	ʦʰøn24		
穿	ʦʰøn24		
傳	ʦʰøn21	(~達)	
喘	ʦʰøn55		
湍	ʦʰøn55		
揣	ʦʰøn55		
串	ʦʰøn33		
竄	ʦʰøn33		
宣	ɬøn24		
旋	ɬøn21		
镞	ɬøn21		
選	ɬøn55		
倩	ɬøn22		
羨	ɬøn22		
捐	køn24		
娟	køn24		
絹	køn24		
卷	køn55		
眷	køn33		
倦	køn22		
權	kʰøn21		
拳	kʰøn21		
顴	kʰøn21		
圈	høn24		
喧	høn24		
犬	høn55		
勸	høn33		
券	høn33		
絕	ɗøt2		
出	ʦʰøt5	(~去~來)[進進出出地走來走去]	
雪	ɬøt5		
雪	ɬøt3		
□	køt3	[打某人]	
□	køt2	[食物很稠]	
鳜	kʰøt5	(~魚)	
厥	kʰøt5		
憠	kʰøt5		
決	kʰøt5		
括	kʰøt5		
缺	kʰøt5		
缺	kʰøt3		
血	høt3		
皮	ɓi21		
疲	ɓi21		
脾	ɓi21		
篦	ɓi35	*變調	
鼻	ɓi22		
被	ɓi22	(~動)	
避	ɓi22		
備	ɓi22		
披	pʰi24		
丕	pʰi24		
琵	pʰi21		
枇	pʰi21		
彼	pʰi55		
敝	pʰi55		
鄙	pʰi55		
被	pʰi35	[名詞]	
婢	pʰi35		
屁	pʰi33		
譬	pʰi33		
彌	mi21		
獼	mi21		
靡	mi21		
微	mi21		
眉	mi21		
楣	mi21		
媚	mi21		
麋	mi21		
縻	mi21		
黴	mi21		
尾	mi55		
俾	mi55		
美	mi35		
□	mi33	[東西裝滿了]	瀰
味	mi22		
沕	mi22	(~水)[潛下水]	
未	mi22		
寐	mi22		
威	wi24		
碑	ɓi24		
卑	ɓi24		
悲	ɓi24		
喂	wi24		
違	wi21		
爲	wi21	(作~)	
維	wi21		
惟	wi21		
遺	wi21		
唯	wi21		
圍	wi21		
緯	wi55		
臂	ɓi55		
比	ɓi55		
俾	ɓi55		
萎	wi55		
委	wi55		
韋	wi55		
偉	wi55		
髀	ɓi55		
畏	wi33		
泌	ɓi33		
秘	ɓi33		
庇	ɓi33		
痹	ɓi33		
慰	wi33		
尉	wi33		
蔽	ɓi33		
蓖	ɓi33		
穢	wi33		
祕	ɓi33		
胃	wi22		
惠	wi22		
衛	wi22		
爲	wi22	(~什麽)	
位	wi22		
謂	wi22		
蝟	wi22		
姊	ɗi55		
地	ɗi22		
糍	tʰi21	[用粉蒸的瓣法做出來的糕點的統稱]	
臍	tʰi35	(肚~)[白]	
你	ni35	[你們]	
你	ni33		
膩	ni22	(肥~)	
知	ɗi24	(~道)	
離	li21	(~別、~開)	
籬	li21		
狸	li21		
璃	li21		
厘	li21		
梨	li21		
李	li55		
裏	li55	(~~外外)	
裏	li35	(公~)	
理	li35	(~由)	
梨	li35		
履	li35		
理	li33	[理會、理睬]	
鯉	li33		
利	li22		
厲	li22		
脷	li22		
痢	li22		
吏	li22		
死	ɬi55		
四	ɬi33		
肆	ɬi33		
知	ʦi24	(~覺)	
之	ʦi24		
芝	ʦi24		
蜘	ʦi24		
支	ʦi24		
枝	ʦi24		
肢	ʦi24		
咨	ʦi24		
脂	ʦi24		
輜	ʦi24		
止	ʦi55		
紙	ʦi55		
只	ʦi55	(~有)	
旨	ʦi55		
指	ʦi55		
滓	ʦi55		
趾	ʦi55		
址	ʦi55		
至	ʦi33		
置	ʦi33		
知	ʦi33	(~識)	
智	ʦi33		
致	ʦi33		
志	ʦi33		
誌	ʦi33		
痣	ʦi33		
治	ʦi22		
痔	ʦi22		
雉	ʦi22		
稚	ʦi22		
癡	ʦʰi24		
黐	ʦʰi24		
持	ʦʰi21		
遲	ʦʰi21		
池	ʦʰi21		
馳	ʦʰi21		
匙	ʦʰi21	(~羹)	
始	ʦʰi55		
侈	ʦʰi55		
矢	ʦʰi55		
恥	ʦʰi55		
齒	ʦʰi55		
嗤	ʦʰi55		
扯	ʦʰi55		
翅	ʦʰi33		
嗜	ʦʰi33		
議	ȵi24		
兒	ȵi21		
而	ȵi21		
宜	ȵi21		
儀	ȵi21		
沂	ȵi21	(~河)	
疑	ȵi21		
誼	ȵi21		
耳	ȵi55		
爾	ȵi35		
議	ȵi33	(~論)	
二	ȵi22		
貳	ȵi22		
餌	ȵi22		
義	ȵi22		
屍	si24		
施	si24		
詩	si24		
時	si21		
匙	si21	(鎖~)	
鰣	si21		
屎	si55		
市	si35		
試	si33		
嗜	si33		
肄	si33		
親	si22		
是	si22		
氏	si22		
豉	si22		
示	si22		
侍	si22		
恃	si22		
機	ki24		
饑	ki24	(~荒)	
饑	ki24	(~餓)	
肌	ki24		
基	ki24	(~礎)	
譏	ki24		
幾	ki24	(~乎)	
奇	ki24	(~數)	
己	ki55		
紀	ki55		
幾	ki55	(~個)	
記	ki33		
寄	ki33		
既	ki33		
忌	ki22		
妓	ki22		
技	ki22		
崎	kʰi24		
奇	kʰi21	(~怪)	
歧	kʰi21		
祁	kʰi21		
鰭	kʰi21		
其	kʰi21		
期	kʰi21		
旗	kʰi21		
祈	kʰi21		
棋	kʰi21		
岐	kʰi21		
企	kʰi33	(~業)	
徛	kʰi33		
冀	kʰi33		
欺	hi24		
犧	hi24		
嬉	hi24		
嘻	hi24		
熙	hi24		
希	hi24		
稀	hi24		
起	hi55		
喜	hi55		
豈	hi55		
氣	hi33		
汽	hi33		
戲	hi33		
器	hi33		
棄	hi33		
衣	ji24		
伊	ji24		
依	ji24		
擬	ji24		
醫	ji24		
以	ji24		
姨	ji21		
誼	ji21		
移	ji21		
夷	ji21		
而	ji21		
疑	ji21		
飴	ji21		
椅	ji55		
倚	ji55		
耳	ji55		
矣	ji35		
已	ji35		
以	ji35		
意	ji33		
易	ji22	(容~)	
異	ji22		
肄	ji22		
異	ji22		
□	ɗiu24	[叫某人]	奏
酒	ɗiu55		
就	ɗiu22		
袖	ɗiu22		
秋	tʰiu24		
鞦	tʰiu24		
紐	niu55		
扭	niu55		
朽	niu55		
劉	liu21		
留	liu21		
流	liu21		
硫	liu21		
琉	liu21		
溜	liu21		
餾	liu21		
柳	liu35		
瘤	liu35	*變調	
修	ɬiu24		
差	ɬiu24		
秀	ɬiu33		
繡	ɬiu33		
銹	ɬiu33	(鐵~)	
周	ʦiu24		
鄒	ʦiu24		
舟	ʦiu24		
州	ʦiu24		
洲	ʦiu24		
咒	ʦiu33		
晝	ʦiu33		
肘	ʦiu22		
帚	ʦiu22		
抽	ʦʰiu24	(~水)	
籌	ʦʰiu21		
囚	ʦʰiu21		
泅	ʦʰiu21		
凋	ʦʰiu21		
稠	ʦʰiu21		
籌	ʦʰiu21		
酬	ʦʰiu21		
仇	ʦʰiu21	[姓]	
醜	ʦʰiu55		
籌	ʦʰiu35	(執~)[抽籤]	
臭	ʦʰiu33		
獸	ʦʰiu33		
收	siu24		
仇	siu21	(報~)	
手	siu55		
數	siu55	[動詞]	
首	siu55		
守	siu55		
數	siu33	[名詞]	
受	siu22		
壽	siu22		
授	siu22		
售	siu22		
九	kiu55		
久	kiu55		
韭	kiu55		
救	kiu33		
咎	kiu33		
疚	kiu33		
灸	kiu33		
究	kiu33		
舊	kiu22		
柩	kiu22		
舅	kʰiu24	(~父)	
求	kʰiu21		
球	kʰiu21		
舅	kʰiu33	(~公)	
丘	hiu24		
嗅	hiu33	[用鼻嗅]	
優	jiu24		
憂	jiu24		
休	jiu24		
幽	jiu24		
由	jiu21		
油	jiu21	(花生~)	
尤	jiu21		
遊	jiu21		
猶	jiu21		
悠	jiu21		
郵	jiu21		
友	jiu35		
酉	jiu35		
柚	jiu35	*變調	
鼬	jiu35	*變調	
釉	jiu35	*變調	
有	jiu33		
莠	jiu33		
誘	jiu33		
幼	jiu33		
又	jiu22		
右	jiu22		
祐	jiu22		
浸	ɗim33	[泡]	
浸	ɗim22	[淹着了]	
侵	tʰim24		
尋	tʰim21		
寢	tʰim55		
林	lim21		
淋	lim21		
臨	lim21		
凜	lim35		
檩	lim35		
心	ɬim24		
針	ʦim24		
斟	ʦim24	[倒,動詞]	
枕	ʦim55	[名]	
枕	ʦim33	[動詞]	
沈	ʦʰim21		
壬	ȵim21		
任	ȵim21	[姓]	
吟	ȵim21		
任	ȵim22	(責~)	
紝	ȵim22		
深	sim24		
森	sim24		
岑	sim21		
審	sim55		
沈	sim55		
嬸	sim55		
滲	sim33		
甚	sim22		
金	kim24		
今	kim24		
錦	kim55		
禁	kim33	(~不住、~止)	
揿	kim22		
妗	kʰim24		
襟	kʰim24		
琴	kʰim21		
禽	kʰim21		
擒	kʰim21		
欽	him24		
陰	jim24		
蔭	jim24		
音	jim24		
淫	jim21		
