小韻號	小韻細分	首字	反切	聲母	呼	等	重紐	韻（平賅上去入）	韻（平賅上去）	聲調	攝	廣韻韻目	平水韻目	切韻拼音	古韻羅馬字	有女羅馬字	白一平轉寫	unt切韻擬音L	unt切韻擬音J	msoeg中古擬音V8	潘悟雲擬音
1784		踝	胡瓦	匣	合	二		麻	麻	上	假	上聲35馬	上聲21馬	ghwaeq	ghruax	hoaa	hwaeX	ʁwáˤ	ʁwáˤ	ʁʷa˞ ˀ	ɦʷɣæ˧˥
1785		寡	古瓦	見	合	二		麻	麻	上	假	上聲35馬	上聲21馬	kwaeq	kruax	koaa	kwaeX	qwáˤ	qwáˤ	qʷa˞ ˀ	kʷɣæ˧˥
1786		瓦	五寡	疑	合	二		麻	麻	上	假	上聲35馬	上聲21馬	ngwaeq	ngruax	ngoaa	ngwaeX	ɴwáˤ	ɴwáˤ	ɴʷa˞ ˀ	ŋʷɣæ˧˥
1787		若	人者	日	開	三		麻	麻	上	假	上聲35馬	上聲21馬	njiaeq	njax	raa	nyaeX	ɲá	ɲá	ɲiaˀ	ȵiæ˧˥
1788		鮓	側下	莊	開	二		麻	麻	上	假	上聲35馬	上聲21馬	tsraeq	crax	traa	tsraeX	tʂáˤ	tʂáˤ	tʂa˞ ˀ	tʂɣæ˧˥
1789		觰	都賈	知	開	二		麻	麻	上	假	上聲35馬	上聲21馬	traeq	trax	teaa	traeX	ʈáˤ	ʈáˤ	ʈa˞ ˀ	ʈɣæ˧˥
1790		槎	士下	崇	開	二		麻	麻	上	假	上聲35馬	上聲21馬	dzraeq	zrax	draa	dzraeX	dʐáˤ	dʐáˤ	dʐa˞ ˀ	dʐɣæ˧˥
1791		奲	昌者	昌	開	三		麻	麻	上	假	上聲35馬	上聲21馬	tjhiaeq	chjax	tcaa	tsyhaeX	tɕʰá	tɕʰá	tçʰiaˀ	tɕʰiæ˧˥
1792		䋾	竹下	知	開	二		麻	麻	上	假	上聲35馬	上聲21馬	traeq	trax	teaa	traeX	ʈáˤ	ʈáˤ	ʈa˞ ˀ	ʈɣæ˧˥
1793		䋈	奴下	孃	開	二		麻	麻	上	假	上聲35馬	上聲21馬	nraeq	nrax	neaa	nraeX	ɳáˤ	ɳáˤ	ɳa˞ ˀ	ɳɣæ˧˥
1794		髁	苦瓦	溪	合	二		麻	麻	上	假	上聲35馬	上聲21馬	khwaeq	khruax	qoaa	khwaeX	qʰwáˤ	qʰwáˤ	qʰʷa˞ ˀ	kʰʷɣæ˧˥
1795		䂳	叉瓦	初	合	二		麻	麻	上	假	上聲35馬	上聲21馬	tsrhwaeq	chruax	choaa	tsrhwaeX	tʂʰwáˤ	tʂʰwáˤ	tʂʰʷa˞ ˀ	tʂʰʷɣæ˧˥
1796		䊬	丑寡	徹	合	二		麻	麻	上	假	上聲35馬	上聲21馬	trhwaeq	thruax	thoaa	trhwaeX	ʈʰwáˤ	ʈʰwáˤ	ʈʰʷa˞ ˀ	ʈʰʷɣæ˧˥
1797		葰	沙瓦	生	合	二		麻	麻	上	假	上聲35馬	上聲21馬	srwaeq	sruax	shoaa	srwaeX	ʂwáˤ	ʂwáˤ	ʂʷa˞ ˀ	ʂʷɣæ˧˥
1798		奼	丑下	徹	開	二		麻	麻	上	假	上聲35馬	上聲21馬	trhaeq	thrax	theaa	trhaeX	ʈʰáˤ	ʈʰáˤ	ʈʰa˞ ˀ	ʈʰɣæ˧˥
1799		藞	盧下	來	開	二		麻	麻	上	假	上聲35馬	上聲21馬	laeq	lrax	leaa	laeX	ɫáˤ	ɫáˤ	ɭa˞ ˀ	lɣæ˧˥
1800		養	餘兩	以	開	三		陽	陽	上	宕	上聲36養	上聲22養	jyangq	jangx	jank	yangX	jáɴ	jáɴ	jɯɑɴˀ	jɨaŋ˧˥
1801		像	徐兩	邪	開	三		陽	陽	上	宕	上聲36養	上聲22養	zyangq	zsiangx	sziank	zjangX	zjáɴ	zjáɴ	zɯɑɴˀ	zɨaŋ˧˥
1802		㢡	即兩	精	開	三		陽	陽	上	宕	上聲36養	上聲22養	tsyangq	ciangx	ziank	tsjangX	tsjáɴ	tsjáɴ	tsɯɑɴˀ	tsɨaŋ˧˥
1803		㒳	良㢡	來	開	三		陽	陽	上	宕	上聲36養	上聲22養	lyangq	liangx	liank	ljangX	láɴ	láɴ	ɭɯɑɴˀ	lɨaŋ˧˥
1804		鞅	於兩	影	開	三		陽	陽	上	宕	上聲36養	上聲22養	qyangq	qiangx	iank	'jangX	ʔáɴ	ʔj̈áɴ	ʔɯɑɴˀ	ʔɨaŋ˧˥
1805		勥	其兩	羣	開	三		陽	陽	上	宕	上聲36養	上聲22養	gyangq	giangx	giank	gjangX	ɡáɴ	ɡj̈áɴ	ɡɯɑɴˀ	ɡɨaŋ˧˥
1806		仰	魚兩	疑	開	三		陽	陽	上	宕	上聲36養	上聲22養	ngyangq	ngiangx	ngiank	ngjangX	ŋáɴ	ŋj̈áɴ	ŋɯɑɴˀ	ŋɨaŋ˧˥
1807		磢	初兩	初	開	三		陽	陽	上	宕	上聲36養	上聲22養	tsrhyangq	chriangx	chiank	tsrhjangX	tʂʰáɴ	tʂʰáɴ	tʂʰɻɑɴˀ	tʂʰɨaŋ˧˥
1808		想	息兩	心	開	三		陽	陽	上	宕	上聲36養	上聲22養	syangq	siangx	siank	sjangX	sjáɴ	sjáɴ	sɯɑɴˀ	sɨaŋ˧˥
1809		掌	諸兩	章	開	三		陽	陽	上	宕	上聲36養	上聲22養	tjyangq	cjangx	tjank	tsyangX	tɕáɴ	tɕáɴ	tçɯɑɴˀ	tɕɨaŋ˧˥
1810		𤕤	疎兩	生	開	三		陽	陽	上	宕	上聲36養	上聲22養	sryangq	sriangx	shiank	srjangX	ʂáɴ	ʂáɴ	ʂɻɑɴˀ	ʂɨaŋ˧˥
1811		響	許兩	曉	開	三		陽	陽	上	宕	上聲36養	上聲22養	hyangq	hiangx	xiank	xjangX	xáɴ	xj̈áɴ	xɯɑɴˀ	hɨaŋ˧˥
1812		敞	昌兩	昌	開	三		陽	陽	上	宕	上聲36養	上聲22養	tjhyangq	chjangx	tcank	tsyhangX	tɕʰáɴ	tɕʰáɴ	tçʰɯɑɴˀ	tɕʰɨaŋ˧˥
1813		繈	居兩	見	開	三		陽	陽	上	宕	上聲36養	上聲22養	kyangq	kiangx	kiank	kjangX	káɴ	kj̈áɴ	kɯɑɴˀ	kɨaŋ˧˥
1814		丈	直兩	澄	開	三		陽	陽	上	宕	上聲36養	上聲22養	dryangq	driangx	diank	drjangX	ɖáɴ	ɖáɴ	ɖɯɑɴˀ	ɖɨaŋ˧˥
1815		昶	丑兩	徹	開	三		陽	陽	上	宕	上聲36養	上聲22養	trhyangq	thriangx	thiank	trhjangX	ʈʰáɴ	ʈʰáɴ	ʈʰɯɑɴˀ	ʈʰɨaŋ˧˥
1816		獷	居往	見	合	三		陽	陽	上	宕	上聲36養	上聲22養	kuangq	kyangx	kvank	kjwangX	kwáɴ	kwáɴ	kuɑɴˀ	kʷɨaŋ˧˥
1817		壤	如兩	日	開	三		陽	陽	上	宕	上聲36養	上聲22養	njyangq	njangx	rank	nyangX	ɲáɴ	ɲáɴ	ɲɯɑɴˀ	ȵɨaŋ˧˥
1818		賞	書兩	書	開	三		陽	陽	上	宕	上聲36養	上聲22養	sjyangq	sjangx	sjank	syangX	ɕáɴ	ɕáɴ	çɯɑɴˀ	ɕɨaŋ˧˥
1819		髣	妃兩	滂		三		陽	陽	上	宕	上聲36養	上聲22養	phuangq	phyangx	phvank	phjangX	pʰáɴ	pʰʋáɴ	pʰuɑɴˀ	pʰɨaŋ˧˥
1820		网	文兩	明		三		陽	陽	上	宕	上聲36養	上聲22養	muangq	myangx	mvank	mjangX	máɴ	mʋáɴ	muɑɴˀ	mɨaŋ˧˥
1821		昉	分网	幫		三		陽	陽	上	宕	上聲36養	上聲22養	puangq	pyangx	pvank	pjangX	páɴ	pʋáɴ	puɑɴˀ	pɨaŋ˧˥
1822		枉	紆往	影	合	三		陽	陽	上	宕	上聲36養	上聲22養	quangq	qyangx	vank	'jwangX	ʔwáɴ	ʔwáɴ	ʔuɑɴˀ	ʔʷɨaŋ˧˥
1823		往	于兩	云	合	三		陽	陽	上	宕	上聲36養	上聲22養	uangq	yangx	hvank	hjwangX	wáɴ	wáɴ	wuɑɴˀ	ɦʷɨaŋ˧˥
1824		怳	許昉	曉	合	三		陽	陽	上	宕	上聲36養	上聲22養	huangq	hyangx	xvank	xjwangX	xwáɴ	xwáɴ	xuɑɴˀ	hʷɨaŋ˧˥
1825		搶	七兩	清	開	三		陽	陽	上	宕	上聲36養	上聲22養	tshyangq	chiangx	ciank	tshjangX	tsʰjáɴ	tsʰjáɴ	tsʰɯɑɴˀ	tsʰɨaŋ˧˥
1826		長	知丈	知	開	三		陽	陽	上	宕	上聲36養	上聲22養	tryangq	triangx	tiank	trjangX	ʈáɴ	ʈáɴ	ʈɯɑɴˀ	ʈɨaŋ˧˥
1827		上	時掌	常	開	三		陽	陽	上	宕	上聲36養	上聲22養	djyangq	zjangx	zjank	dzyangX	dʑáɴ	dʑáɴ	dʝɯɑɴˀ	dʑɨaŋ˧˥
1828		俇	求往	羣	合	三		陽	陽	上	宕	上聲36養	上聲22養	guangq	gyangx	gvank	gjwangX	ɡwáɴ	ɡwáɴ	ɡuɑɴˀ	ɡʷɨaŋ˧˥
1829		臩	俱往	見	合	三		陽	陽	上	宕	上聲36養	上聲22養	kuangq	kyangx	kvank	kjwangX	kwáɴ	kwáɴ	kuɑɴˀ	kʷɨaŋ˧˥
1830		𩦠	毗養	並		三	A	陽	陽	上	宕	上聲36養	上聲22養	biangq	byangx	bvank	bjangX	bjáɴ	bjáɴ	buɑɴˀ	bɨaŋ˧˥
1831		䫪	初丈	初	開	三		陽	陽	上	宕	上聲36養	上聲22養	tsrhyangq	chriangx	chiank	tsrhjangX	tʂʰáɴ	tʂʰáɴ	tʂʰɻɑɴˀ	tʂʰɨaŋ˧˥
1832		蕩	徒朗	定	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	dangq	dangx	dank	dangX	dáɴ	dáɴ	dɑɴˀ	dɑŋ˧˥
1833		顙	蘇朗	心	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	sangq	sangx	sank	sangX	sáɴ	sáɴ	sɑɴˀ	sɑŋ˧˥
1834		廣	古晃	見	合	一		唐	唐	上	宕	上聲37蕩	上聲22養	kwangq	kuangx	kuank	kwangX	qwáɴ	qwáɴ	qʷɑɴˀ	kʷɑŋ˧˥
1835		榜	北朗	幫		一		唐	唐	上	宕	上聲37蕩	上聲22養	pangq	pangx	pank	pangX	ᵱáɴ	páɴ	pɑɴˀ	pɑŋ˧˥
1836		駔	子朗	精	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	tsangq	cangx	zank	tsangX	tsáɴ	tsáɴ	tsɑɴˀ	tsɑŋ˧˥
1837		曩	奴朗	泥	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	nangq	nangx	nank	nangX	náɴ	náɴ	nɑɴˀ	nɑŋ˧˥
1838		沆	胡朗	匣	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	ghangq	ghangx	hank	hangX	ʁáɴ	ʁáɴ	ʁɑɴˀ	ɦɑŋ˧˥
1839		曭	他朗	透	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	thangq	thangx	thank	thangX	tʰáɴ	tʰáɴ	tʰɑɴˀ	tʰɑŋ˧˥
1840		莽	模朗	明		一		唐	唐	上	宕	上聲37蕩	上聲22養	mangq	mangx	mank	mangX	ᵯáɴ	máɴ	mɑɴˀ	mɑŋ˧˥
1841		黨	多朗	端	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	tangq	tangx	tank	tangX	táɴ	táɴ	tɑɴˀ	tɑŋ˧˥
1842		朗	盧黨	來	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	langq	langx	lank	langX	ɫáɴ	ɫáɴ	lɑɴˀ	lɑŋ˧˥
1843		坱	烏朗	影	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	qangq	qangx	ank	'angX	ʡáɴ	ʡáɴ	ʔɑɴˀ	ʔɑŋ˧˥
1844		慷	苦朗	溪	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	khangq	khangx	qank	khangX	qʰáɴ	qʰáɴ	qʰɑɴˀ	kʰɑŋ˧˥
1845		㳹	烏晃	影	合	一		唐	唐	上	宕	上聲37蕩	上聲22養	qwangq	quangx	uank	'wangX	ʡwáɴ	ʡwáɴ	ʔʷɑɴˀ	ʔʷɑŋ˧˥
1846		晃	胡廣	匣	合	一		唐	唐	上	宕	上聲37蕩	上聲22養	ghwangq	ghuangx	huank	hwangX	ʁwáɴ	ʁwáɴ	ʁʷɑɴˀ	ɦʷɑŋ˧˥
1847		髈	匹朗	滂		一		唐	唐	上	宕	上聲37蕩	上聲22養	phangq	phangx	phank	phangX	ᵱʰáɴ	pʰáɴ	pʰɑɴˀ	pʰɑŋ˧˥
1848		慌	呼晃	曉	合	一		唐	唐	上	宕	上聲37蕩	上聲22養	hwangq	huangx	xuank	xwangX	χwáɴ	χwáɴ	χʷɑɴˀ	hʷɑŋ˧˥
1849		䴚	各朗	見	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	kangq	kangx	kank	kangX	qáɴ	qáɴ	qɑɴˀ	kɑŋ˧˥
1850		䭹	五朗	疑	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	ngangq	ngangx	ngank	ngangX	ɴáɴ	ɴáɴ	ɴɑɴˀ	ŋɑŋ˧˥
1851		奘	徂朗	從	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	dzangq	zangx	dzank	dzangX	dzáɴ	dzáɴ	dzɑɴˀ	dzɑŋ˧˥
1852		蒼	麁朗	清	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	tshangq	changx	cank	tshangX	tsʰáɴ	tsʰáɴ	tsʰɑɴˀ	tsʰɑŋ˧˥
1853		汻	呼朗	曉	開	一		唐	唐	上	宕	上聲37蕩	上聲22養	hangq	hangx	xank	xangX	χáɴ	χáɴ	χɑɴˀ	hɑŋ˧˥
1854		懬	丘晃	溪	合	一		唐	唐	上	宕	上聲37蕩	上聲22養	khwangq	khuangx	quank	khwangX	qʰwáɴ	qʰwáɴ	qʰʷɑɴˀ	kʰʷɑŋ˧˥
1855		梗	古杏	見	開	二		庚	庚	上	梗	上聲38梗	上聲23梗	kaengq	krangx	keank	kaengX	qáˤŋ	qáˤŋ	qa˞ ŋˀ	kɣæŋ˧˥
1856		丙	兵永	幫		三	B	庚	庚	上	梗	上聲38梗	上聲23梗	pyaengq	piengx	pyank	pjaengX	pɹáŋ	pɹáŋ	pi˞ aŋˀ	pɣiæŋ˧˥
1857		警	居影	見	開	三	B	庚	庚	上	梗	上聲38梗	上聲23梗	kyaengq	kiengx	kyank	kjaengX	kɹáŋ	kɹáŋ	ki˞ aŋˀ	kɣiæŋ˧˥
1858		影	於丙	影	開	三	B	庚	庚	上	梗	上聲38梗	上聲23梗	qyaengq	qiengx	yank	'jaengX	ʔɹáŋ	ʔɹáŋ	ʔi˞ aŋˀ	ʔɣiæŋ˧˥
1859		省	所景	生	開	三		庚	庚	上	梗	上聲38梗	上聲23梗	sryaengq	sriengx	shyank	srjaengX	ʂáŋ	ʂáŋ	ʂɻaŋˀ	ʂɣiæŋ˧˥
1860		永	于憬	云	合	三	B	庚	庚	上	梗	上聲38梗	上聲23梗	uaengq	yengx	hwank	hjwaengX	wɹáŋ	wɹáŋ	wi˞ aŋˀ	ɦʷɣiæŋ˧˥
1861		𦬺	許永	曉	合	三	B	庚	庚	上	梗	上聲38梗	上聲23梗	huaengq	hyengx	xwank	xjwaengX	xɹwáŋ	xɹwáŋ	xʷi˞ aŋˀ	hʷɣiæŋ˧˥
1862		皿	武永	明		三	B	庚	庚	上	梗	上聲38梗	上聲23梗	myaengq	miengx	myank	mjaengX	mɹáŋ	mɹáŋ	mi˞ aŋˀ	mɣiæŋ˧˥
1863		憬	俱永	見	合	三	B	庚	庚	上	梗	上聲38梗	上聲23梗	kuaengq	kyengx	kwank	kjwaengX	kɹwáŋ	kɹwáŋ	kʷi˞ aŋˀ	kʷɣiæŋ˧˥
1864		杏	何梗	匣	開	二		庚	庚	上	梗	上聲38梗	上聲23梗	ghaengq	ghrangx	heank	haengX	ʁáˤŋ	ʁáˤŋ	ʁa˞ ŋˀ	ɦɣæŋ˧˥
1865		猛	莫杏	明		二		庚	庚	上	梗	上聲38梗	上聲23梗	maengq	mrangx	meank	maengX	ᵯáˤŋ	máˤŋ	ma˞ ŋˀ	mɣæŋ˧˥
1866		礦	古猛	見	合	二		庚	庚	上	梗	上聲38梗	上聲23梗	kwaengq	kruangx	koank	kwaengX	qwáˤŋ	qwáˤŋ	qʷa˞ ŋˀ	kʷɣæŋ˧˥
1867		浜	布梗	幫		二		庚	庚	上	梗	上聲38梗	上聲23梗	paengq	prangx	peank	paengX	ᵱáˤŋ	páˤŋ	pa˞ ŋˀ	pɣæŋ˧˥
1868		盯	張梗	知	開	二		庚	庚	上	梗	上聲38梗	上聲23梗	traengq	trangx	teank	traengX	ʈáˤŋ	ʈáˤŋ	ʈa˞ ŋˀ	ʈɣæŋ˧˥
1869		瑒	徒杏	澄	開	二		庚	庚	上	梗	上聲38梗	上聲23梗	draengq	drangx	deank	draengX	ɖáˤŋ	ɖáˤŋ	ɖa˞ ŋˀ	ɖɣæŋ˧˥
1870		䁝	烏猛	影	合	二		庚	庚	上	梗	上聲38梗	上聲23梗	qwaengq	qruangx	oank	'waengX	ʡwáˤŋ	ʡwáˤŋ	ʔʷa˞ ŋˀ	ʔʷɣæŋ˧˥
1871		打	德冷	端	開	四		庚	庚	上	梗	上聲38梗	上聲23梗	taengq	t'rangx	teank	taengX	táˤŋ	táˤŋ	taŋˀ	tɣæŋ˧˥
1872		冷	魯打	來	開	四		庚	庚	上	梗	上聲38梗	上聲23梗	laengq	lrangx	leank	laengX	ɫáˤŋ	ɫáˤŋ	laŋˀ	lɣæŋ˧˥
1873		卝	乎䁝	匣	合	二		庚	庚	上	梗	上聲38梗	上聲23梗	ghwaengq	ghruangx	hoank	hwaengX	ʁwáˤŋ	ʁwáˤŋ	ʁʷa˞ ŋˀ	ɦʷɣæŋ˧˥
1874		鮩	蒲猛	並		二		庚	庚	上	梗	上聲38梗	上聲23梗	baengq	brangx	beank	baengX	ᵬáˤŋ	báˤŋ	ba˞ ŋˀ	bɣæŋ˧˥
1875		𥉁	苦礦	溪	合	二		庚	庚	上	梗	上聲38梗	上聲23梗	khwaengq	khruangx	qoank	khwaengX	qʰwáˤŋ	qʰwáˤŋ	qʰʷa˞ ŋˀ	kʰʷɣæŋ˧˥
1876		檸	拏梗	孃	開	二		庚	庚	上	梗	上聲38梗	上聲23梗	nraengq	nrangx	neank	nraengX	ɳáˤŋ	ɳáˤŋ	ɳa˞ ŋˀ	ɳɣæŋ˧˥
1877		耿	古幸	見	開	二		耕	耕	上	梗	上聲39耿	上聲23梗	keengq	krengx	kaenk	keangX	qéˤŋ	qéˤŋ	qɜ˞ ŋˀ	kɣɛŋ˧˥
1878		䁅	武幸	明		二		耕	耕	上	梗	上聲39耿	上聲23梗	meengq	mrengx	maenk	meangX	ᵯéˤŋ	méˤŋ	mɜ˞ ŋˀ	mɣɛŋ˧˥
1879		幸	胡耿	匣	開	二		耕	耕	上	梗	上聲39耿	上聲23梗	gheengq	ghrengx	haenk	heangX	ʁéˤŋ	ʁéˤŋ	ʁɜ˞ ŋˀ	ɦɣɛŋ˧˥
1880		𠊧	蒲幸	並		二		耕	耕	上	梗	上聲39耿	上聲23梗	beengq	brengx	baenk	beangX	ᵬéˤŋ	béˤŋ	bɜ˞ ŋˀ	bɣɛŋ˧˥
1881		皏	普幸	滂		二		耕	耕	上	梗	上聲39耿	上聲23梗	pheengq	phrengx	phaenk	pheangX	ᵱʰéˤŋ	pʰéˤŋ	pʰɜ˞ ŋˀ	pʰɣɛŋ˧˥
1882		靜	疾郢	從	開	三		清	清	上	梗	上聲40靜	上聲23梗	dziaengq	ziengx	dzienk	dzjengX	dzjáŋ	dzjáŋ	dziaŋˀ	dziᴇŋ˧˥
1883		整	之郢	章	開	三		清	清	上	梗	上聲40靜	上聲23梗	tjiaengq	cjengx	tjenk	tsyengX	tɕáŋ	tɕáŋ	tçiaŋˀ	tɕiᴇŋ˧˥
1884		逞	丑郢	徹	開	三		清	清	上	梗	上聲40靜	上聲23梗	trhiaengq	thriengx	thienk	trhjengX	ʈʰáŋ	ʈʰáŋ	ʈʰiaŋˀ	ʈʰiᴇŋ˧˥
1885		郢	以整	以	開	三		清	清	上	梗	上聲40靜	上聲23梗	jiaengq	jengx	jenk	yengX	jáŋ	jáŋ	jiaŋˀ	jiᴇŋ˧˥
1886		痙	巨郢	羣	開	三	A	清	清	上	梗	上聲40靜	上聲23梗	giaengq	gjengx	gienk	gjiengX	ɡjáŋ	ɡjáŋ	ɡiaŋˀ	ɡiᴇŋ˧˥
1887		潁	餘頃	以	合	三		清	清	上	梗	上聲40靜	上聲23梗	jwiaengq	jyengx	jvenk	ywengX	jwáŋ	jwáŋ	ɥiaŋˀ	jʷiᴇŋ˧˥
1888		領	良郢	來	開	三		清	清	上	梗	上聲40靜	上聲23梗	liaengq	liengx	lienk	ljengX	láŋ	láŋ	ɭiaŋˀ	liᴇŋ˧˥
1889		頸	居郢	見	開	三	A	清	清	上	梗	上聲40靜	上聲23梗	kiaengq	kjengx	kienk	kjiengX	kjáŋ	kjáŋ	kiaŋˀ	kiᴇŋ˧˥
1890		餅	必郢	幫		三	A	清	清	上	梗	上聲40靜	上聲23梗	piaengq	pjengx	pienk	pjiengX	pjáŋ	pjáŋ	piaŋˀ	piᴇŋ˧˥
1891		頃	去潁	溪	合	三	A	清	清	上	梗	上聲40靜	上聲23梗	khwiaengq	khjyengx	qvenk	khjwiengX	kʰjwáŋ	kʰjwáŋ	kʰʷiaŋˀ	kʰʷiᴇŋ˧˥
1892		井	子郢	精	開	三		清	清	上	梗	上聲40靜	上聲23梗	tsiaengq	ciengx	zienk	tsjengX	tsjáŋ	tsjáŋ	tsiaŋˀ	tsiᴇŋ˧˥
1893		廮	於郢	影	開	三	A	清	清	上	梗	上聲40靜	上聲23梗	qiaengq	qjengx	ienk	'jiengX	ʔjáŋ	ʔjáŋ	ʔiaŋˀ	ʔiᴇŋ˧˥
1894		請	七靜	清	開	三		清	清	上	梗	上聲40靜	上聲23梗	tshiaengq	chiengx	cienk	tshjengX	tsʰjáŋ	tsʰjáŋ	tsʰiaŋˀ	tsʰiᴇŋ˧˥
1895		省	息井	心	開	三		清	清	上	梗	上聲40靜	上聲23梗	siaengq	siengx	sienk	sjengX	sjáŋ	sjáŋ	siaŋˀ	siᴇŋ˧˥
1896		眳	亡井	明		三	A	清	清	上	梗	上聲40靜	上聲23梗	miaengq	mjengx	mienk	mjiengX	mjáŋ	mjáŋ	miaŋˀ	miᴇŋ˧˥
1897		徎	丈井	澄	開	三		清	清	上	梗	上聲40靜	上聲23梗	driaengq	driengx	dienk	drjengX	ɖáŋ	ɖáŋ	ɖiaŋˀ	ɖiᴇŋ˧˥
1898		迥	戶頂	匣	合	四		青	青	上	梗	上聲41迥	上聲24迥	ghwengq	ghuengx	huenk	hwengX	ʁwéŋ	ʁwéŋ	ʁʷɛŋˀ	ɦʷeŋ˧˥
1899		熲	古迥	見	合	四		青	青	上	梗	上聲41迥	上聲24迥	kwengq	kuengx	kuenk	kwengX	qwéŋ	qwéŋ	qʷɛŋˀ	kʷeŋ˧˥
1900		茗	莫迥	明		四		青	青	上	梗	上聲41迥	上聲24迥	mengq	mengx	menk	mengX	ᵯéŋ	méŋ	mɛŋˀ	meŋ˧˥
1901		頂	都挺	端	開	四		青	青	上	梗	上聲41迥	上聲24迥	tengq	tengx	tenk	tengX	téŋ	téŋ	tɛŋˀ	teŋ˧˥
1902		挺	徒鼎	定	開	四		青	青	上	梗	上聲41迥	上聲24迥	dengq	dengx	denk	dengX	déŋ	déŋ	dɛŋˀ	deŋ˧˥
1903		珽	他鼎	透	開	四		青	青	上	梗	上聲41迥	上聲24迥	thengq	thengx	thenk	thengX	tʰéŋ	tʰéŋ	tʰɛŋˀ	tʰeŋ˧˥
1904		汫	徂醒	從	開	四		青	青	上	梗	上聲41迥	上聲24迥	dzengq	zengx	dzenk	dzengX	dzéŋ	dzéŋ	dzɛŋˀ	dzeŋ˧˥
1905		濙	烏迥	影	合	四		青	青	上	梗	上聲41迥	上聲24迥	qwengq	quengx	uenk	'wengX	ʡwéŋ	ʡwéŋ	ʔʷɛŋˀ	ʔʷeŋ˧˥
1906		謦	去挺	溪	開	四		青	青	上	梗	上聲41迥	上聲24迥	khengq	khengx	qenk	khengX	qʰéŋ	qʰéŋ	qʰɛŋˀ	kʰeŋ˧˥
1907		𩕳	乃挺	泥	開	四		青	青	上	梗	上聲41迥	上聲24迥	nengq	nengx	nenk	nengX	néŋ	néŋ	nɛŋˀ	neŋ˧˥
1908		婞	胡頂	匣	開	四		青	青	上	梗	上聲41迥	上聲24迥	ghengq	ghengx	henk	hengX	ʁéŋ	ʁéŋ	ʁɛŋˀ	ɦeŋ˧˥
1909		醒	蘇挺	心	開	四		青	青	上	梗	上聲41迥	上聲24迥	sengq	sengx	senk	sengX	séŋ	séŋ	sɛŋˀ	seŋ˧˥
1910		鞞	補鼎	幫		四		青	青	上	梗	上聲41迥	上聲24迥	pengq	pengx	penk	pengX	ᵱéŋ	péŋ	pɛŋˀ	peŋ˧˥
1911		褧	口迥	溪	合	四		青	青	上	梗	上聲41迥	上聲24迥	khwengq	khuengx	quenk	khwengX	qʰwéŋ	qʰwéŋ	qʰʷɛŋˀ	kʰʷeŋ˧˥
1912		剄	古挺	見	開	四		青	青	上	梗	上聲41迥	上聲24迥	kengq	kengx	kenk	kengX	qéŋ	qéŋ	qɛŋˀ	keŋ˧˥
1913		頩	匹迥	滂		四		青	青	上	梗	上聲41迥	上聲24迥	phengq	phengx	phenk	phengX	ᵱʰéŋ	pʰéŋ	pʰɛŋˀ	pʰeŋ˧˥
1914		巊	烟涬	影	開	四		青	青	上	梗	上聲41迥	上聲24迥	qengq	qengx	enk	'engX	ʡéŋ	ʡéŋ	ʔɛŋˀ	ʔeŋ˧˥
1915		笭	力鼎	來	開	四		青	青	上	梗	上聲41迥	上聲24迥	lengq	lengx	lenk	lengX	ɫéŋ	ɫéŋ	lɛŋˀ	leŋ˧˥
1916		竝	蒲迥	並		四		青	青	上	梗	上聲41迥	上聲24迥	bengq	bengx	benk	bengX	ᵬéŋ	béŋ	bɛŋˀ	beŋ˧˥
1917		詗	火迥	曉	合	四		青	青	上	梗	上聲41迥	上聲24迥	hwengq	huengx	xuenk	xwengX	χwéŋ	χwéŋ	χʷɛŋˀ	hʷeŋ˧˥
1918		䀴	五剄	疑	開	四		青	青	上	梗	上聲41迥	上聲24迥	ngengq	ngengx	ngenk	ngengX	ɴéŋ	ɴéŋ	ɴɛŋˀ	ŋeŋ˧˥
1919		拯		章	開	三		蒸	蒸	上	曾	上聲42拯	上聲24迥	tjyngq	cjingx	tjonk	tsyingX	tɕɨ́ŋ	tɕɨ́ŋ	tçiɯŋˀ	tɕɨŋ˧˥
1920		庱	丑拯	徹	開	三		蒸	蒸	上	曾	上聲42拯	上聲24迥	trhyngq	thringx	thionk	trhingX	ʈʰɨ́ŋ	ʈʰɨ́ŋ	ʈʰiɯŋˀ	ʈʰɨŋ˧˥
1921		殑	其拯	羣	開	三		蒸	蒸	上	曾	上聲42拯	上聲24迥	gyngq	gingx	gionk	gingX	ɡɨ́ŋ	ɡɨ́ŋ	ɡɯŋˀ	ɡɨŋ˧˥
