声母	韵母	调类	音节(IPA)	字
kʰ	ue	阴去	kʰue˩˩	篋 契 喫(替)
g	ue	阳去	gue˧˧	外
h	ue	阴平	hue˥˥	灰(文) 花(白)
h	ue	阴上	hue˥˩	悔
h	ue	阴去	hue˩˩	廢
h	ue	阳平	hue˩˧	回(文) 捱(替)
h	ue	阳去	hue˧˧	彙 會 蟹(白)
	ue	阴平	ue˥˥	枒 挨(白)
	ue	阴上	ue˥˩	矮(白)
	ue	阴去	ue˩˩	穢
	ue	阳平	ue˩˧	鞋(白) 喂(替)
	ue	阳去	ue˧˧	畫 劃 話(白) 衛
p	ueʔ	阴入	pueʔ˧	八(白)
p	ueʔ	阳入	pueʔ˥	拔
l	ueʔ	阳入	lueʔ˥	笠(白)
ts	ueʔ	阴入	tsueʔ˧	節(白)
ts	ueʔ	阳入	tsueʔ˥	截(白)
tsʰ	ueʔ	阴入	tsʰueʔ˧	切
s	ueʔ	阴入	sueʔ˧	塞(替)
k	ueʔ	阴入	kueʔ˧	莢(替) 鋏(替)
kʰ	ueʔ	阴入	kʰueʔ˧	瞌 擠
	ueʔ	阳入	ueʔ˥	狹(白)
m	ẽ	阴上	mẽ˥˩	猛
n	ẽ	阴平	nẽ˥˥	爾(替)
n	ẽ	阳平	nẽ˩˧	檸
k	ẽ	阴平	kẽ˥˥	今
h	ẽ	阴去	hẽ˩˩	嗯(替)
h	ẽ	阳去	hẽ˧˧	瘕
m	ẽʔ	阳入	mẽʔ˥	脈(白)
kʰ	ẽʔ	阳入	kʰẽʔ˥	喀(替)
ŋ	ẽʔ	阴入	ŋẽʔ˧	挾(替)
ŋ	ẽʔ	阳入	ŋẽʔ˥	夾(替)
h	ẽʔ	阴入	hẽʔ˧	嚇(替)
m	uẽ	阳去	muẽ˧˧	妹(文)
p	i	阴平	pi˥˥	卑 碑 埤 啡 鎞(替) 蚍(替) 蜱(替)
p	i	阴上	pi˥˩	比
p	i	阴去	pi˩˩	閉 秘 庇 痺
p	i	阳平	pi˩˧	脾 琵(文) 枇(文) 皮(白)
p	i	阳去	pi˧˧	避 備 被(文)
pʰ	i	阴平	pʰi˥˥	披
pʰ	i	阴上	pʰi˥˩	鄙 譬 疕
pʰ	i	阴去	pʰi˩˩	屁(文) 剮
pʰ	i	阳平	pʰi˩˧	疲 皮(文)
pʰ	i	阳去	pʰi˧˧	噼 鼻
b	i	阴平	bi˥˥	咪
b	i	阴上	bi˥˩	米 荸 美
b	i	阳平	bi˩˧	眉 㖐(替) 微
b	i	阳去	bi˧˧	味 未(文) 沬(替)
t	i	阴平	ti˥˥	蜘 知(文) 呧
t	i	阴上	ti˥˩	抵 底(文)
t	i	阴去	ti˩˩	置 致 蒂 戴(替)
t	i	阳平	ti˩˧	池 遲
t	i	阳去	ti˧˧	雉 痔 治 弟(白) 佇(替) 稚
tʰ	i	阴平	tʰi˥˥	黐
tʰ	i	阴上	tʰi˥˩	搋
tʰ	i	阴去	tʰi˩˩	剃 牚(替)
tʰ	i	阳平	tʰi˩˧	苔 啼
l	i	阴平	li˥˥	猊(替)
l	i	阴上	li˥˩	李 里 裏 子(替) 瘰(替) 理
l	i	阴去	li˩˩	攦(替)
l	i	阳平	li˩˧	厘 籬 鶿 璃(文) 離 狸 貍 釐
l	i	阳去	li˧˧	二 字 餌 膩 俐 利(文) 哩(替)
ts	i	阴平	tsi˥˥	支 芝 脂 枝(文) 膣(替)
ts	i	阴上	tsi˥˩	止 子 只 旨 紫 姊(文) 指(文) 黹(替) 杍(替)
ts	i	阴去	tsi˩˩	至 志 誌 痣(文)
ts	i	阳平	tsi˩˧	餈 薺 薯
tsʰ	i	阴平	tsʰi˥˥	鰓
tsʰ	i	阴去	tsʰi˩˩	刺 試 翅
tsʰ	i	阳平	tsʰi˩˧	徐 持 𣹤(替)
tsʰ	i	阳去	tsʰi˧˧	飼 市
s	i	阴平	si˥˥	鷥 屍 施 思(白) 司 私 西 噓(替) 絲 詩
s	i	阴上	si˥˩	死
s	i	阴去	si˩˩	氏 勢 四(白) 肆(白) 憩(替) 世
s	i	阳平	si˩˧	匙 時 辭
s	i	阳去	si˧˧	寺 侍 氏 序 示 巳 亍(替) 適 是 視
dz	i	阳平	dzi˩˧	兒
k	i	阴平	ki˥˥	乩 技 姬 機 枝(白) 吱(替) 箕 基
k	i	阴上	ki˥˩	紀 幾(文) 己(文) 指(白)
k	i	阴去	ki˩˩	記 寄(文) 痣(白) 計
k	i	阳平	ki˩˧	奇 淇 旗 岐 旂 臞 耆 芹 棋
k	i	阳去	ki˧˧	己(白)
kʰ	i	阴平	kʰi˥˥	欺 蹊(替)
kʰ	i	阴上	kʰi˥˩	起 齒
kʰ	i	阴去	kʰi˩˩	氣(文) 汽
kʰ	i	阳平	kʰi˩˧	騎(文) 蜞(替)
kʰ	i	阳去	kʰi˧˧	柿 忌
g	i	阴上	gi˥˩	蟻(文)
g	i	阳平	gi˩˧	宜 疑 枇(白) 琵(白)
g	i	阳去	gi˧˧	義 議
h	i	阴平	hi˥˥	希
h	i	阴上	hi˥˩	喜
h	i	阴去	hi˩˩	戲 肺(白) 歔(替)
h	i	阳去	hi˧˧	耳(白)
	i	阴平	i˥˥	醫 伊 衣(文)
	i	阴上	i˥˩	椅 倚(文) 以
	i	阴去	i˩˩	意 薏
	i	阳平	i˩˧	余 餘 俞 姨
	i	阳去	i˧˧	肄 弈
p	iu	阴平	piu˥˥	彪
t	iu	阴去	tiu˩˩	晝(文)
t	iu	阳平	tiu˩˧	綢 躊
t	iu	阳去	tiu˧˧	稻
tʰ	iu	阴平	tʰiu˥˥	抽
tʰ	iu	阴上	tʰiu˥˩	丑
l	iu	阴平	liu˥˥	抽 溜
l	iu	阴上	liu˥˩	柳 紐 鈕 扭(替)
l	iu	阴去	liu˩˩	綹(替) 焟(替) 皵
l	iu	阳平	liu˩˧	榴 硫 流(文) 劉(文) 留(文) 揉(替)
l	iu	阳去	liu˧˧	餾
ts	iu	阴平	tsiu˥˥	周 珠(白)
ts	iu	阴上	tsiu˥˩	酒 帚
ts	iu	阴去	tsiu˩˩	咒 蛀(白) 𠰍(替)
ts	iu	阳去	tsiu˧˧	就
tsʰ	iu	阴平	tsʰiu˥˥	秋 鬚(白) 鶖 鞦
tsʰ	iu	阴上	tsʰiu˥˩	手(白)
tsʰ	iu	阳平	tsʰiu˩˧	雌 揫(替)
tsʰ	iu	阳去	tsʰiu˧˧	樹
s	iu	阴平	siu˥˥	修 收
s	iu	阴上	siu˥˩	手(文) 守(文)
s	iu	阴去	siu˩˩	繡 秀 餗(替)
s	iu	阳平	siu˩˧	仇 囚 泅 酬
s	iu	阳去	siu˧˧	受 壽 續(替) 岫
dz	iu	阳平	dziu˩˧	魷
k	iu	阴平	kiu˥˥	勼(替)
k	iu	阴上	kiu˥˩	杞 九(文) 久(文) 韭(文)
k	iu	阴去	kiu˩˩	究 救 糾
k	iu	阳平	kiu˩˧	球 求
k	iu	阳去	kiu˧˧	舊(文) 舅(文) 臼(文)
kʰ	iu	阴平	kʰiu˥˥	丘(文)
kʰ	iu	阴上	kʰiu˥˩	搝(替)
kʰ	iu	阳去	kʰiu˧˧	䊆(替)
g	iu	阴上	giu˥˩	搝(替)
g	iu	阳平	giu˩˧	牛(文)
h	iu	阴平	hiu˥˥	休 咻(替)
h	iu	阴去	hiu˩˩	溴(替)
h	iu	阳平	hiu˩˧	裘
	iu	阴平	iu˥˥	憂 優 游
	iu	阴上	iu˥˩	有(文) 友
	iu	阴去	iu˩˩	幼
	iu	阳平	iu˩˧	由 油 郵 遊 尤
	iu	阳去	iu˧˧	又 柚 酉
t	im	阴去	tim˩˩	掂 頕(替)
t	im	阳平	tim˩˧	沉(文)
t	im	阳去	tim˧˧	燂(替)
tʰ	im	阴平	tʰim˥˥	沉(替)
tʰ	im	阴去	tʰim˩˩	頕
l	im	阴平	lim˥˥	啉(替)
l	im	阴上	lim˥˩	忍 凜
l	im	阳平	lim˩˧	臨 林(文) 淋(文)
l	im	阳去	lim˧˧	壬
ts	im	阴平	tsim˥˥	簪 斟 唚(替)
ts	im	阴上	tsim˥˩	枕 嬸(白)
ts	im	阴去	tsim˩˩	浸
ts	im	阳平	tsim˩˧	蟳
tsʰ	im	阴平	tsʰim˥˥	深
s	im	阴平	sim˥˥	心
s	im	阴上	sim˥˩	嬸(文) 沈
s	im	阴去	sim˩˩	毨
s	im	阳平	sim˩˧	尋(文)
s	im	阳去	sim˧˧	甚
k	im	阴平	kim˥˥	金
k	im	阴去	kim˩˩	禁
k	im	阳去	kim˧˧	妗
kʰ	im	阴平	kʰim˥˥	襟
kʰ	im	阳平	kʰim˩˧	琴
g	im	阴上	gim˥˩	錦
g	im	阳平	gim˩˧	吟 砛(替)
h	im	阴平	him˥˥	欣
h	im	阳平	him˩˧	熊
h	im	阳去	him˧˧	□
	im	阴平	im˥˥	音 姻 淹 陰(文)
	im	阴上	im˥˩	飲
	im	阴去	im˩˩	蔭
	im	阳平	im˩˧	淫
p	in	阴平	pin˥˥	賓 檳 扁
p	in	阴上	pin˥˩	稟
p	in	阴去	pin˩˩	篦(替)
p	in	阳平	pin˩˧	屏 貧 瓶(文)
p	in	阳去	pin˧˧	臏 髕
pʰ	in	阴上	pʰin˥˩	品 𥰔(替)
pʰ	in	阳平	pʰin˩˧	乒(替)
b	in	阴上	bin˥˩	敏 抿(替)
b	in	阳平	bin˩˧	民 眠(白) 明(白) 門
b	in	阳去	bin˧˧	面(白) 蝒
t	in	阴平	tin˥˥	津 珍(白) 沴(替) 㯸
t	in	阴上	tin˥˩	振
t	in	阴去	tin˩˩	鎮
t	in	阳平	tin˩˧	藤 陳(文)
t	in	阳去	tin˧˧	陣
tʰ	in	阳平	tʰin˩˧	滕(替)
tʰ	in	阳去	tʰin˧˧	媵
l	in	阴平	lin˥˥	轔(替)
l	in	阴上	lin˥˩	恁
l	in	阴去	lin˩˩	輦(替)
l	in	阳平	lin˩˧	蘭
ts	in	阴平	tsin˥˥	真 榛 珍(文) 升(白)
ts	in	阴上	tsin˥˩	指
ts	in	阴去	tsin˩˩	進 振
ts	in	阳平	tsin˩˧	繩(白) 秦
tsʰ	in	阴平	tsʰin˥˥	親
tsʰ	in	阴去	tsʰin˩˩	凊 秤
s	in	阴平	sin˥˥	身 申 新 辛(文)
s	in	阴去	sin˩˩	信 迅 訊 囟 腎
s	in	阳平	sin˩˧	神 辰 蠅(白) 承(白) 臣
s	in	阳去	sin˧˧	慎 順(替) 蟮(替)
dz	in	阳平	dzin˩˧	人 仁
k	in	阴平	kin˥˥	今
k	in	阴上	kin˥˩	緊
k	in	阴去	kin˩˩	絹(白)
kʰ	in	阴平	kʰin˥˥	輕(白)
g	in	阴平	gin˥˥	呤
g	in	阴上	gin˥˩	囡(替)
g	in	阳平	gin˩˧	凝(替)
h	in	阳平	hin˩˧	眩(替)
	in	阴平	in˥˥	因 姻 絪(替) 恩 殷 𪜶
	in	阴上	in˥˩	引
	in	阴去	in˩˩	印 應(白)
	in	阳平	in˩˧	寅
p	iŋ	阴平	piŋ˥˥	冰 兵
p	iŋ	阴上	piŋ˥˩	丙(文) 柄(文) 餅(文) 反(白)
p	iŋ	阳平	piŋ˩˧	平(文) 棚(文) 朋 爿
p	iŋ	阳去	piŋ˧˧	併 病(文)
pʰ	iŋ	阴平	pʰiŋ˥˥	崩(文)
pʰ	iŋ	阴去	pʰiŋ˩˩	聘
pʰ	iŋ	阳平	pʰiŋ˩˧	坪(文) 彭(文)
pʰ	iŋ	阳去	pʰiŋ˧˧	並
b	iŋ	阳平	biŋ˩˧	名(文) 明(文)
b	iŋ	阳去	biŋ˧˧	孟
t	iŋ	阴平	tiŋ˥˥	釘 丁 燈 疔(替) 橙(替)
t	iŋ	阴上	tiŋ˥˩	頂 戥 鼎(文) 等(文)
t	iŋ	阴去	tiŋ˩˩	釘 中(白)
t	iŋ	阳平	tiŋ˩˧	庭 亭 重(白)
t	iŋ	阳去	tiŋ˧˧	鄧 鄭(文) 定(文) 橂
tʰ	iŋ	阴平	tʰiŋ˥˥	聽(文) 廳(文)
tʰ	iŋ	阴上	tʰiŋ˥˩	寵(白)
tʰ	iŋ	阴去	tʰiŋ˩˩	聽
l	iŋ	阴平	liŋ˥˥	鈴(替)
l	iŋ	阴上	liŋ˥˩	冷 伶 嶺(文) 領(文)
l	iŋ	阴去	liŋ˩˩	踜(替)
l	iŋ	阳平	liŋ˩˧	鈴 齡 寧 菱 靈 零(文) 龍(白) 壟(替) 薐(替) 砱 能
l	iŋ	阳去	liŋ˧˧	令 另 冗(替) 鴒(替) 楝
ts	iŋ	阴平	tsiŋ˥˥	僧 舂 曾(文) 爭(文) 晶(文) 精(文) 鐘(文) 盅
ts	iŋ	阴上	tsiŋ˥˩	拯 腫 井(文) 種(文) 指
ts	iŋ	阴去	tsiŋ˩˩	政 正(文) 眾(白) 種(白) 症
ts	iŋ	阳平	tsiŋ˩˧	層 晴(文) 情(文) 前(白) 從(白)
ts	iŋ	阳去	tsiŋ˧˧	靜
tsʰ	iŋ	阴平	tsʰiŋ˥˥	青(文) 清(文) 千(白)
tsʰ	iŋ	阴上	tsʰiŋ˥˩	請(文) 筅(替)
tsʰ	iŋ	阴去	tsʰiŋ˩˩	銃 擤(替) 熗(替)
tsʰ	iŋ	阳平	tsʰiŋ˩˧	松(白) 榕(白)
tsʰ	iŋ	阳去	tsʰiŋ˧˧	穿(替)
s	iŋ	阴平	siŋ˥˥	甥 生(文) 牲(文) 聲(文) 升(文) 先(白) 星 昇
s	iŋ	阴上	siŋ˥˩	省(文) 醒(文)
s	iŋ	阴去	siŋ˩˩	性 姓(文) 聖(文)
s	iŋ	阳平	siŋ˩˧	成(文) 承(文) 城(文) 繩(文)
s	iŋ	阳去	siŋ˧˧	剩 慫(替)
k	iŋ	阴平	kiŋ˥˥	更(文) 庚(文) 羹(文) 經(文) 京(文) 驚(文) 弓 宮 供 間(白) 肩(白) 㧈(替) 荊
k	iŋ	阴上	kiŋ˥˩	鯁 警 揀 襉(替) 耿
k	iŋ	阴去	kiŋ˩˩	敬 鏡(文)
k	iŋ	阳平	kiŋ˩˧	窮(白)
kʰ	iŋ	阴平	kʰiŋ˥˥	坑(文) 輕(文) 筐(白) 掯(替)
kʰ	iŋ	阴上	kʰiŋ˥˩	肯
kʰ	iŋ	阴去	kʰiŋ˩˩	慶 磬
kʰ	iŋ	阳平	kʰiŋ˩˧	瓊(白) 窮
kʰ	iŋ	阳去	kʰiŋ˧˧	虹(白)
g	iŋ	阴上	giŋ˥˩	眼(白) 研(白)
g	iŋ	阳平	giŋ˩˧	迎(白) 龍(白)
g	iŋ	阳去	giŋ˧˧	硬(文)
h	iŋ	阴平	hiŋ˥˥	兄(文) 胸(白) 興
h	iŋ	阳平	hiŋ˩˧	行(文) 橫(文) 雄(白) 還
h	iŋ	阳去	hiŋ˧˧	莧 杏 倖
	iŋ	阴平	iŋ˥˥	鸚 櫻 英 嬰(文) 癰(替) 轟
	iŋ	阴上	iŋ˥˩	永 泳 影(文) 湧(白)
	iŋ	阴去	iŋ˩˩	壅 蕹 應(文)
	iŋ	阳平	iŋ˩˧	贏(文) 營(文) 蠅(文) 閒(白)
	iŋ	阳去	iŋ˧˧	用(白)
b	ip	阳入	bip˥	密(文)
l	ip	阴入	lip˧	逐(替)
l	ip	阳入	lip˥	入 笠(文) 立
ts	ip	阳入	tsip˥	寂 集
tsʰ	ip	阴入	tsʰip˧	緝 漆(文)
s	ip	阴入	sip˧	濕
s	ip	阳入	sip˥	襲 拾 習 十(文)
k	ip	阴入	kip˧	級 給 急
k	ip	阳入	kip˥	及
kʰ	ip	阴入	kʰip˧	吸 泣
h	ip	阴入	hip˧	翕(替) 熻(替)
	ip	阴入	ip˧	䇼(替)
p	it	阴入	pit˧	必 □ 伯(替) 畢 筆
pʰ	it	阴入	pʰit˧	匹
pʰ	it	阳入	pʰit˥	噼
b	it	阳入	bit˥	蜜 密(文)
t	it	阴入	tit˧	得
t	it	阳入	tit˥	直 蟄 值(文) 姪(白)
tʰ	it	阴入	tʰit˧	蹢(替)
ts	it	阴入	tsit˧	脊 職 織 鯽
tsʰ	it	阴入	tsʰit˧	七 拭 𨑨
s	it	阴入	sit˧	息 穡 熄 失
s	it	阳入	sit˥	食(文) 翼(替) 鰭(替) 實
dz	it	阳入	dzit˥	日
kʰ	it	阴入	kʰit˧	乞
kʰ	it	阳入	kʰit˥	□ 矻(替) 橛
g	it	阳入	git˥	日
h	it	阴入	hit˧	迄
	it	阴入	it˧	一 乙
p	ik	阴入	pik˧	逼 百(文) 伯(文) 柏(文)
pʰ	ik	阴入	pʰik˧	泊 壁(文) 拍
b	ik	阳入	bik˥	脈(文) 墨(文) 麥(文)
t	ik	阴入	tik˧	竹(白) 德
t	ik	阳入	tik˥	的 迪 笛(文) 宅(文) 姪(文) 特
tʰ	ik	阴入	tʰik˧	踢(文) 畜(白)
l	ik	阳入	lik˥	綠 歷 曆(文) 栗(文) 力(文) 扐(替) 𠠝(替)
ts	ik	阴入	tsik˧	澤 嫉 積 籍 隻(文) 叔(白) 燭(白) 勣(替) 績
ts	ik	阳入	tsik˥	賊(文)
tsʰ	ik	阴入	tsʰik˧	策 鵲 尺(文) 赤(文) 粟(白)
tsʰ	ik	阳入	tsʰik˥	摵(替)
s	ik	阴入	sik˧	色 蟋 適 識 夕(文) 錫(文) 虱(文) 惜(文) 息(白) 釋 室
s	ik	阳入	sik˥	石(文) 食(文) 蝕(文) 熟(白)
k	ik	阴入	kik˧	激 格(文) 隔(文) 焗
k	ik	阳入	kik˥	極 劇 屐(文)
kʰ	ik	阴入	kʰik˧	曲 刻 剋 客(文)
h	ik	阴入	hik˧	嚇
	ik	阴入	ik˧	益 億 呃
	ik	阳入	ik˥	易 浴 譯 役 翼 驛(文) 疫
p	iʔ	阴入	piʔ˧	鱉(白) 襒(替) 憋
b	iʔ	阴入	biʔ˧	□(替) 覕
b	iʔ	阳入	biʔ˥	篾 抿(替)
t	iʔ	阴入	tiʔ˧	滴
t	iʔ	阳入	tiʔ˥	碟 挃(替)
tʰ	iʔ	阴入	tʰiʔ˧	鐵(白)
tʰ	iʔ	阳入	tʰiʔ˥	喋(替)
l	iʔ	阳入	liʔ˥	裂(白) 㧫(替)
ts	iʔ	阴入	tsiʔ˧	舌(白) 接(白) 摺(白)
ts	iʔ	阳入	tsiʔ˥	舌(白)
tsʰ	iʔ	阳入	tsʰiʔ˥	蠘(替) 𢯩(替)
s	iʔ	阴入	siʔ˧	薛(白) 爍(替)
s	iʔ	阳入	siʔ˥	蝕(白)
kʰ	iʔ	阴入	kʰiʔ˧	缺(替)
t	iuʔ	阴入	tiuʔ˧	搐(替)
k	iuʔ	阴入	kiuʔ˧	捄
p	ĩ	阴平	pĩ˥˥	邊 編(白)
p	ĩ	阴上	pĩ˥˩	扁(白)
p	ĩ	阴去	pĩ˩˩	柄(白) 變(白)
p	ĩ	阳平	pĩ˩˧	棚 坪 枇(替)
p	ĩ	阳去	pĩ˧˧	病(白)
pʰ	ĩ	阴平	pʰĩ˥˥	篇 偏(白)
pʰ	ĩ	阴去	pʰĩ˩˩	片(白)
pʰ	ĩ	阳平	pʰĩ˩˧	彭(白) 澎(白)
pʰ	ĩ	阳去	pʰĩ˧˧	鼻
b	ĩ	阳平	bĩ˩˧	咪
m	ĩ	阴平	mĩ˥˥	蠳(替) 搣(替)
m	ĩ	阴上	mĩ˥˩	彌
m	ĩ	阳平	mĩ˩˧	棉(白) 綿(白) 眠(白) 芒(替) 暝(替) 猊(替)
m	ĩ	阳去	mĩ˧˧	麵 罵
t	ĩ	阴平	tĩ˥˥	甜(白) 𩨑(替)
t	ĩ	阴去	tĩ˩˩	𩏠(替)
t	ĩ	阳平	tĩ˩˧	纏(白)
t	ĩ	阳去	tĩ˧˧	鄭(白) 滇(替) 挰(替)
tʰ	ĩ	阴平	tʰĩ˥˥	添 天(白)
tʰ	ĩ	阴去	tʰĩ˩˩	牚(替)
tʰ	ĩ	阳去	tʰĩ˧˧	䋎(替)
n	ĩ	阴平	nĩ˥˥	奶 蛉(替)
n	ĩ	阴上	nĩ˥˩	彌 耳(文) 染(白)
n	ĩ	阳平	nĩ˩˧	連(白) 年(白) 簾(白) 晾(替) 尼
n	ĩ	阳去	nĩ˧˧	莉
l	ĩ	阴上	lĩ˥˩	鯉
ts	ĩ	阴平	tsĩ˥˥	精(白) 晶(白) 櫼 攕 菁
ts	ĩ	阴上	tsĩ˥˩	井(白) 茈(替)
ts	ĩ	阴去	tsĩ˩˩	箭(白) 炸(替) 諍(替) 搢(替)
ts	ĩ	阳平	tsĩ˩˧	晴(白) 錢(白) 簷(白)
ts	ĩ	阳去	tsĩ˧˧	舐(替)
tsʰ	ĩ	阴平	tsʰĩ˥˥	腥 青 星(白) 箏(白) 鮮
tsʰ	ĩ	阴上	tsʰĩ˥˩	醒(白)
s	ĩ	阴平	sĩ˥˥	生(白) 牲(白) 鍟
s	ĩ	阴去	sĩ˩˩	姓(白) 扇(白) 性(白) 腥
s	ĩ	阳去	sĩ˧˧	豉 鹽(白)
k	ĩ	阴平	kĩ˥˥	更(白) 羹(白) 庚(白) 經(白) 鹼(替)
k	ĩ	阴上	kĩ˥˩	耞(替)
k	ĩ	阴去	kĩ˩˩	見(白) 桱(替)
k	ĩ	阳平	kĩ˩˧	墘
kʰ	ĩ	阴平	kʰĩ˥˥	坑(白)
kʰ	ĩ	阳平	kʰĩ˩˧	鉗(白)
g	ĩ	阳去	gĩ˧˧	硬(白)
ŋ	ĩ	阴平	ŋĩ˥˥	□
h	ĩ	阳去	hĩ˧˧	耳
	ĩ	阴平	ĩ˥˥	蠳 嬰(白)
	ĩ	阴去	ĩ˩˩	燕(白) 咿
	ĩ	阳平	ĩ˩˧	楹 圓(白)
	ĩ	阳去	ĩ˧˧	異 院(白)
t	ĩu	阴平	tĩu˥˥	張(白)
t	ĩu	阴上	tĩu˥˩	長(白)
t	ĩu	阴去	tĩu˩˩	帳(白) 漲(白) 脹
t	ĩu	阳平	tĩu˩˧	場(白)
t	ĩu	阳去	tĩu˧˧	丈(白)
n	ĩu	阴上	nĩu˥˩	扭 兩(白)
n	ĩu	阴去	nĩu˩˩	抅(替)
n	ĩu	阳平	nĩu˩˧	量(白) 糧(白) 娘(白) 梁(白) 樑(白)
n	ĩu	阳去	nĩu˧˧	讓(白) 量(白)
ts	ĩu	阴平	tsĩu˥˥	章(白) 樟(白) 漿(白) 螿(替) 鱆
ts	ĩu	阴上	tsĩu˥˩	蔣(白) 槳(白) 掌(白) 守(白)
ts	ĩu	阴去	tsĩu˩˩	醬(白) 此
ts	ĩu	阳去	tsĩu˧˧	上(白) 癢(白)
tsʰ	ĩu	阴平	tsʰĩu˥˥	鯧 槍(白) 昌
tsʰ	ĩu	阴上	tsʰĩu˥˩	廠(白) 搶(白)
tsʰ	ĩu	阴去	tsʰĩu˩˩	唱(白) 㾭(替) 啾
tsʰ	ĩu	阳平	tsʰĩu˩˧	牆(白) 楊(白)
tsʰ	ĩu	阳去	tsʰĩu˧˧	象(白) 像(白) 匠(白) 上(白)
s	ĩu	阴平	sĩu˥˥	箱(白) 相(白) 傷(白)
s	ĩu	阴上	sĩu˥˩	鯗 賞(白)
s	ĩu	阴去	sĩu˩˩	相(白) 肖
s	ĩu	阳平	sĩu˩˧	瘍(替)
s	ĩu	阳去	sĩu˧˧	想 尚 受(替)
k	ĩu	阴平	kĩu˥˥	薑(白)
kʰ	ĩu	阴平	kʰĩu˥˥	腔(白)
ŋ	ĩu	阴上	ŋĩu˥˩	扭(替)
h	ĩu	阴平	hĩu˥˥	鄉(白) 香(白)
	ĩu	阴平	ĩu˥˥	鴦
	ĩu	阴上	ĩu˥˩	舀 養(白) 穎
	ĩu	阳平	ĩu˩˧	羊(白) 洋(白) 楊(白) 陽(白) 融(白)
	ĩu	阳去	ĩu˧˧	樣(白)
m	ĩʔ	阴入	mĩʔ˧	乜(替)
n	ĩʔ	阴入	nĩʔ˧	躡 𥍉 蛉(替)
s	ĩʔ	阴入	sĩʔ˧	爍
h	ĩʔ	阴入	hĩʔ˧	擜(替)
h	ĩuʔ	阳入	hĩuʔ˥	唴(替)
p	o	阴平	po˥˥	埔 晡 莆 夫(白) 玻 褒
p	o	阴上	po˥˩	補 捕 脯 斧(白) 保 寶
p	o	阴去	po˩˩	布 佈 傅(白) 報
p	o	阳平	po˩˧	□(替) 婆 酺 裒
p	o	阳去	po˧˧	步 哺(替) 捗
pʰ	o	阴平	pʰo˥˥	麩(白) 波 菠(文)
pʰ	o	阴上	pʰo˥˩	普 譜
pʰ	o	阴去	pʰo˩˩	鋪 舖 破(文) 𦡕(替)
pʰ	o	阳平	pʰo˩˧	扶(白) 葡 菩
pʰ	o	阳去	pʰo˧˧	簿 抱(白) 皰
b	o	阴上	bo˥˩	牡 畝 某 母 拇
b	o	阳平	bo˩˧	模 無(白)
b	o	阳去	bo˧˧	墓 戊 帽 磨 蒡(替)
t	o	阴平	to˥˥	都 刀
t	o	阴上	to˥˩	島 賭 肚(文) 斗(文) 幬(替) 倒
t	o	阴去	to˩˩	妒 鬥(文) 𪐞(替) 倒
t	o	阳平	to˩˧	屠 塗 桃 萄 跎(替) 陀 淘 禱 駝 圖
t	o	阳去	to˧˧	度 渡 杜 豆(文) 肚(白) 道 導 舵(文) 惰(文) 就(替)
tʰ	o	阴平	tʰo˥˥	偷(文) 叨 拖(文)
tʰ	o	阴上	tʰo˥˩	土 吐 討
tʰ	o	阴去	tʰo˩˩	吐 兔 套
tʰ	o	阳平	tʰo˩˧	塗 桃 砣 迌
l	o	阴平	lo˥˥	囉 叨 □(替)
l	o	阴上	lo˥˩	魯 滷 勞(替) 擼(替) 腦(白) 硓(替) 簍(替) 咾(替) 櫓
l	o	阴去	lo˩˩	露 軂 躼
l	o	阳平	lo˩˧	奴 鱸 蘆 爐 鸕 螺(文) 羅 籮 勞 醪(替) 瑚 盧 鑼
l	o	阳去	lo˧˧	路 露 漏(文) 蕗(替)
ts	o	阴平	tso˥˥	組 租 俎 糟 慒(替)
ts	o	阴上	tso˥˩	祖 走(文) 棗 早(文)
ts	o	阴去	tso˩˩	做
ts	o	阳平	tso˩˧	槽 曹 𢲵(替) 鄒 喌
ts	o	阳去	tso˧˧	座 皂(替)
tsʰ	o	阴平	tsʰo˥˥	粗 初(文) 搓(文) 臊(替)
tsʰ	o	阴上	tsʰo˥˩	礎 草(文) 楚(白)
tsʰ	o	阴去	tsʰo˩˩	醋 操 糙 噪 剉
s	o	阴平	so˥˥	酥 蘇 穌 疏(文) 梭 騷 嗦 搓(白) 挲
s	o	阴上	so˥˩	所 鎖 嫂
s	o	阴去	so˩˩	訴 素 數(文) 掃(文) 燥(替)
s	o	阳平	so˩˧	趖(替)
k	o	阴平	ko˥˥	姑 菇 咕 罟 鮕 鴣 鍋 篙 糕 膏 歌(文) 高(替) □ 哥 蛄 孤
k	o	阴上	ko˥˩	古 鼓 股 枸 估 狗(文) 𥑮(替) 鈷(替) 稿 果(文)
k	o	阴去	ko˩˩	固 顧 故 告 過(文) 划(替)
k	o	阳平	ko˩˧	糊(白) 笱(替) 譹(替) 個(替)
k	o	阳去	ko˧˧	膏(替)
kʰ	o	阴平	kʰo˥˥	箍 呼(白) 䉐(替) 苦(替) 科(文)
kʰ	o	阴上	kʰo˥˩	苦 許(白) 考 可(文) 洘(替)
kʰ	o	阴去	kʰo˩˩	庫 褲 靠 課(文)
kʰ	o	阳平	kʰo˩˧	瘸(替) 苛(替)
g	o	阳平	go˩˧	羅(替) 蜈(文) 鵝(文) 翱(替)
g	o	阳去	go˧˧	五(白) 餓
h	o	阴平	ho˥˥	呼(文) 郝
h	o	阴上	ho˥˩	虎 滸 好 唬
