"汉字"	"拼音"	"IPA"	"注释"	""	"声调"	"调值"	"编号"	"缺音字"	"说明：整理自《闽南方言大词典》《漳州市志•方言》"
"垮"	"khua1"	"kʰua44"	""	""	""	""	""	""	""
"跨"	"khua5"	"kʰua21"	""	""	""	""	""	""	""
"跨"	"khua1"	"kʰua44"	""	""	""	""	""	""	""
"娃"	"ua1"	"ua44"	""	""	""	""	""	""	""
"瓦"	"hia6"	"hia22"	"白"	""	""	""	""	""	""
"瓦"	"ua3"	"ua53"	"文"	""	""	""	""	""	""
"花"	"hua1"	"hua44"	""	""	""	""	""	""	""
"化"	"hua5"	"hua21"	""	""	""	""	""	""	""
"華"	"hua2"	"hua13"	""	""	""	""	""	""	""
"華"	"hua1"	"hua44"	""	""	""	""	""	""	""
"蛙"	"ua1"	"ua44"	""	""	""	""	""	""	""
"洼"	"ua1"	"ua44"	""	""	""	""	""	""	""
"補"	"poo3"	"pɔ53"	""	""	""	""	""	""	""
"譜"	"phoo3"	"pʰɔ53"	""	""	""	""	""	""	""
"布"	"poo5"	"pɔ21"	""	""	""	""	""	""	""
"佈"	"poo5"	"pɔ21"	""	""	""	""	""	""	""
"鋪"	"phoo1"	"pʰɔ44"	""	""	""	""	""	""	""
"普"	"phoo3"	"pʰɔ53"	""	""	""	""	""	""	""
"浦"	"phoo3"	"pʰɔ53"	""	""	""	""	""	""	""
"鋪"	"phoo5"	"pʰɔ21"	""	""	""	""	""	""	""
"怖"	"poo5"	"pɔ21"	""	""	""	""	""	""	""
"菩"	"phoo2"	"pʰɔ13"	""	""	""	""	""	""	""
"蒲"	"poo2"	"pɔ13"	""	""	""	""	""	""	""
"蒲"	"phoo2"	"pʰɔ13"	""	""	""	""	""	""	""
"脯"	"poo3"	"pɔ53"	"白"	""	""	""	""	""	""
"脯"	"hu3"	"hu53"	"文"	""	""	""	""	""	""
"脯"	"poo2"	"pɔ13"	""	""	""	""	""	""	""
"脯"	"phoo2"	"pʰɔ13"	""	""	""	""	""	""	""
"部"	"poo6"	"pɔ22"	""	""	""	""	""	""	""
"部"	"pho6"	"pʰo22"	""	""	""	""	""	""	""
"簿"	"phoo6"	"pʰɔ22"	""	""	""	""	""	""	""
"步"	"poo6"	"pɔ22"	""	""	""	""	""	""	""
"捕"	"poo2"	"pɔ13"	"俗"	""	""	""	""	""	""
"捕"	"poo6"	"pɔ22"	""	""	""	""	""	""	""
"埠"	"poo1"	"pɔ44"	""	""	""	""	""	""	""
"模"	"boo2"	"bɔ13"	""	""	""	""	""	""	""
"模"	"moo2"	"mɔ13"	""	""	""	""	""	""	""
"暮"	"boo6"	"bɔ22"	""	""	""	""	""	""	""
"墓"	"boo6"	"bɔ22"	""	""	""	""	""	""	""
"墓"	"boong6"	"bɔŋ22"	""	""	""	""	""	""	""
"募"	"boo6"	"bɔ22"	""	""	""	""	""	""	""
"慕"	"boo6"	"bɔ22"	""	""	""	""	""	""	""
"都"	"too1"	"tɔ44"	""	""	""	""	""	""	""
"堵"	"too3"	"tɔ53"	""	""	""	""	""	""	""
"賭"	"too3"	"tɔ53"	""	""	""	""	""	""	""
"肚"	"too3"	"tɔ53"	""	""	""	""	""	""	""
"肚"	"too6"	"tɔ22"	""	""	""	""	""	""	""
"妒"	"too5"	"tɔ21"	""	""	""	""	""	""	""
"土"	"thoo3"	"tʰɔ53"	""	""	""	""	""	""	""
"吐"	"thoo3"	"tʰɔ53"	""	""	""	""	""	""	""
"吐"	"thoong3"	"tʰɔŋ53"	""	""	""	""	""	""	""
"吐"	"thoo5"	"tʰɔ21"	""	""	""	""	""	""	""
"兔"	"thoo5"	"tʰɔ21"	""	""	""	""	""	""	""
"途"	"too2"	"tɔ13"	""	""	""	""	""	""	""
"屠"	"too3"	"tɔ53"	"俗"	""	""	""	""	""	""
"屠"	"too2"	"tɔ13"	""	""	""	""	""	""	""
"圖"	"too2"	"tɔ13"	""	""	""	""	""	""	""
"徒"	"too2"	"tɔ13"	""	""	""	""	""	""	""
"杜"	"too6"	"tɔ22"	""	""	""	""	""	""	""
"度"	"too6"	"tɔ22"	""	""	""	""	""	""	""
"渡"	"too6"	"tɔ22"	""	""	""	""	""	""	""
"鍍"	"too6"	"tɔ22"	""	""	""	""	""	""	""
"奴"	"loo2"	"lɔ13"	""	""	""	""	""	""	""
"奴"	"noo2"	"nɔ13"	""	""	""	""	""	""	""
"努"	"noo3"	"nɔ53"	""	""	""	""	""	""	""
"怒"	"noo6"	"nɔ22"	""	""	""	""	""	""	""
"盧"	"loo2"	"lɔ13"	""	""	""	""	""	""	""
"爐"	"loo2"	"lɔ13"	""	""	""	""	""	""	""
"鹵"	"loo6"	"lɔ22"	"白"	""	""	""	""	""	""
"鹵"	"loo3"	"lɔ53"	"文"	""	""	""	""	""	""
"魯"	"loo3"	"lɔ53"	""	""	""	""	""	""	""
"櫓"	"loo3"	"lɔ53"	""	""	""	""	""	""	""
"虜"	"loo3"	"lɔ53"	""	""	""	""	""	""	""
