地点：浙江丽水龙泉龙渊 字表来源：《处州方言历史比较》《吴语处州方言的地理比较》 说明：部分字音补充自语保													
汉字	IPA	声调	备注								声调	调类	调值
摘	tsəʔ	7	～要										
橙	dzɛiŋ	2											
争	tsaŋ	1											
筝	tsaŋ	1											
睁	tsaŋ	1											
责	tsaʔ	7											
策	tsʰaʔ	7											
册	tsʰaʔ	7											
耕	kaŋ	1											
革	kaʔ	7											
隔	kaʔ	7											
核	ŋuəʔ	8	果～、～桃										
核	əʔ	8	～对										
樱	iŋ	1											
轭	ŋaʔ	7											
兵	piŋ	1											
丙	piŋ	3											
柄	paŋ	5											
碧	piʔ	7											
平	biŋ	2											
坪	biŋ	2											
评	biŋ	2											
病	biŋ	6											
鸣	miŋ	2											
明	maŋ	2	～日、～年										
明	miŋ	2	清～										
命	miŋ	6											
京	tɕiŋ	1											
惊	tɕiŋ	1											
境	tɕiŋ	5											
景	tɕiŋ	3											
警	tɕiŋ	3											
敬	tɕiŋ	5											
镜	tɕiŋ	5	文										
庆	tɕʰiŋ	5											
剧	dzɿʔ	8											
迎	ȵiŋ	2											
逆	ȵiɛʔ	8											
英	iŋ	1											
影	ɛ	3	影子										
影	iŋ	3	电～										
映	iaŋ	5											
饼	piŋ	3											
并	piŋ	5	合～										
聘	pʰiŋ	5											
僻	pʰiʔ	7											
名	miŋ	2											
令	liŋ	6											
领	liŋ	3											
岭	liŋ	3											
精	tɕiŋ	1											
晶	tɕiŋ	1											
睛	tɕiŋ	1											
井	tɕiŋ	3											
积	tsɿʔ	7											
脊	tsɿʔ	7											
清	tɕʰiŋ	1											
请	tɕʰiŋ	3											
情	ʑiŋ	2											
晴	ʑiŋ	2											
静	ɕiŋ	3											
净	ʑiŋ	6											
籍	ʑiʔ	8											
性	ɕiŋ	5											
姓	ɕiŋ	5											
惜	sɿʔ	7											
席	zɿʔ	8											
夕	zɿʔ	8											
程	dʑiŋ	2	姓										
郑	dʑiŋ	6											
正	tɕiŋ	1	～月										
征	tɕiŋ	1	长～										
整	tɕiŋ	3											
正	tɕiŋ	5	～副										
政	tɕiŋ	5											
隻	tsɿʔ	7	一～										
赤	tsʰɿʔ	7											
尺	tsʰɿʔ	7											
声	ɕiŋ	1											
适	sɿʔ	7											
释	sɿʔ	7											
城	ʑiŋ	2											
成	ʑiŋ	2											
诚	ʑiŋ	2											
石	dʑiaʔ	8	～斑鱼										
石	zɿʔ	8	读字音										
颈	tɕiŋ	3											
轻	tɕʰiŋ	1											
缨	iŋ	1											
益	ɿʔ	7											
赢	yŋ	2											
亦	ɿʔ	8											
译	ɿʔ	8											
易	ɿʔ	8	贸～										
液	iʔ	8											
壁	piʔ	7											
姘	pʰiŋ	1											
拼	pʰiŋ	1											
劈	pʰiʔ	7											
瓶	biŋ	2											
屏	biŋ	2											
並	piŋ	3	～非										
暝	maŋ	6	夜晚										
丁	tiŋ	1											
钉	tiŋ	1	名词										
顶	tiŋ	3											
钉	tiŋ	5	动词										
订	tiŋ	5											
的	tiʔ	7	目～										
滴	tiʔ	7											
厅	tʰiŋ	1											
听	tʰiŋ	5											
踢	tʰiʔ	7											
廷	diŋ	2											
停	diŋ	2											
亭	diŋ	2											
蜓	diŋ	2											
定	diŋ	6											
笛	diʔ	8											
敌	diʔ	8											
狄	diʔ	8											
宁	ȵiŋ	2	～波										
宁	ȵiŋ	6	～可										
灵	liŋ	2											
零	liŋ	2											
铃	liŋ	2											
另	liŋ	6											
历	liʔ	8											
绩	tsɿʔ	7											
青	tɕʰiŋ	1											
蜻	tɕʰiŋ	1											
戚	tsʰɿʔ	7											
星	ɕiŋ	1											
腥	ɕiŋ	1											
醒	ɕiŋ	3											
锡	sɿʔ	7											
析	sɿʔ	7											
经	tɕiŋ	1											
击	tsɿʔ	7											
激	tɕiʔ	7											
吃	tsʰɿʔ	7	文										
形	iŋ	2											
刑	iŋ	2											
矿	kʰɔŋ	5											
横	uaŋ	2	～直										
轰	xɔŋ	1											
宏	ɔŋ	2											
获	ɔuʔ	8											
劃	uəʔ	8	～线										
兄	ɕiɔŋ	1											
荣	iəŋ	2											
永	yŋ	3											
泳	yŋ	6											
琼	dʑyŋ	2											
营	iŋ	2											
疫	iʔ	8											
役	iʔ	8											
萤	iŋ	2											
扑	pʰuʔ	7											
□	pʰəŋ	1	用鼻子闻										
篷	bəŋ	2											
蓬	bəŋ	2											
蒙	məŋ	2											
懵	ŋ	3											
懵	məŋ	3											
木	ŋʔ	8											
东	təŋ	1											
董	təŋ	3											
懂	təŋ	3											
冻	təŋ	5											
栋	təŋ	5											
通	tʰəŋ	1											
桶	təŋ	3											
捅	tʰəŋ	3											
痛	tʰəŋ	5											
秃	tʰuʔ	7											
同	dəŋ	2											
铜	dəŋ	2											
桐	dəŋ	2											
筒	dəŋ	2											
童	dəŋ	2											
动	təŋ	3											
洞	dəŋ	6											
独	dəɯʔ	8											
读	dəɯʔ	8											
笼	ləŋ	2											
聋	ləŋ	2											
拢	ləŋ	3											
弄	ləŋ	6											
鹿	ləɯʔ	8											
禄	lɔuʔ	6											
簏	ləɯʔ	8											
棕	tsəŋ	1											
总	tsəŋ	3											
粽	tsəŋ	5											
聪	tsʰəŋ	1											
葱	tsʰəŋ	1											
囱	tsʰəŋ	1											
族	zəɯʔ	8											
送	səŋ	5											
速	səɯʔ	7											
公	kəŋ	1											
蚣	kəŋ	1											
工	kəŋ	1											
功	kəŋ	1											
攻	kəŋ	1											
贡	kəŋ	5											
谷	kuʔ	7											
空	kʰəŋ	1	形容词										
孔	kʰəŋ	3											
控	kʰəŋ	5											
空	kʰəŋ	5	名词										
哭	kʰɔuʔ	7	文										
烘	ɕiɔŋ	1											
烘	xəŋ	1											
哄	xəŋ	3											
红	ŋ	2											
洪	ŋ	2											
翁	ŋ	1											
屋	uʔ	7											
冬	təŋ	1											
督	təɯʔ	7											
统	tʰəŋ	3											
毒	dəɯʔ	8											
农	nəŋ	2											
脓	nəŋ	2											
宗	tsəŋ	1											
鬆	səŋ	1	轻～										
宋	səŋ	5											
风	fəŋ	1											
枫	fəŋ	1											
疯	fəŋ	1											
福	fuʔ	7											
幅	fuʔ	7											
腹	puʔ	7											
丰	fəŋ	1											
覆	pʰuʔ	7											
冯	bəŋ	2											
凤	vəŋ	6											
服	vuʔ	8											
伏	buʔ	8	～倒										
复	fuʔ	7											
梦	ŋ	6											
目	mɔuʔ	8											
穆	mɔuʔ	8											
牧	mɔuʔ	8											
隆	ləŋ	2											
六	ləɯʔ	8											
陆	ləɯʔ	8											
肃	ɕiɯʔ	7											
宿	ɕiɔuʔ	7	住～										
宿	ɕiɯʔ	7	星～										
中	tiɔŋ	1	～央：中间										
中	tɕiəŋ	1	～国、党～央										
忠	tɕiəŋ	1											
竹	təɯʔ	7											
筑	təɯʔ	7											
虫	dəŋ	2											
轴	dʑiɯʔ	8											
崇	zəŋ	2											
缩	ɕiɔuʔ	7											
终	tɕiəŋ	1											
众	tɕiəŋ	5											
祝	tɕiɯʔ	7											
粥	tɕiɯʔ	7											
充	tɕʰiəŋ	1											
铳	tɕʰiəŋ	5											
叔	ɕiɯʔ	7											
熟	ʑiɯʔ	8											
绒	iəŋ	2											
肉	ȵiɔuʔ	8											
弓	kəŋ	1											
躬	kəŋ	1											
宫	kəŋ	1											
菊	tɕiɯʔ	7											
麯	tɕʰiɯʔ	7	酒～										
穷	dʑiəŋ	2											
蓄	tɕʰiɯʔ	7	储～										
熊	iəŋ	2											
雄	iəŋ	2											
育	ȵiɔuʔ	8											
封	fəŋ	1											
峰	fəŋ	1											
蜂	fəŋ	1											
锋	fəŋ	1											
捧	pʰəŋ	3											
缝	vəŋ	2	动词										
缝	vəŋ	6	名词										
幞	fu	5	小称调，面～：毛巾										
浓	ȵiɔŋ	2											
龙	liɔŋ	2											
绿	liɔuʔ	8											
足	tɕiɔuʔ	7											
促	tɕʰiɔuʔ	7											
从	ʑiɔŋ	2											
粟	ɕiɔuʔ	7											
松	zɛ	2	～树										
松	səŋ	1	～香										
颂	ɕiɔŋ	5											
续	ʑiɔuʔ	8											
俗	ʑiɔuʔ	8											
重	dʑiəŋ	2	～复										
重	tɕiəŋ	3	轻～										
钟	tɕiɔŋ	1											
种	iəŋ	3	名词										
肿	iəŋ	3											
种	iəŋ	5	动词										
烛	tɕiɔuʔ	7											
冲	tɕʰiəŋ	1											
触	tɕʰiɔuʔ	7											
赎	ʑiɔuʔ	8											
舂	iəŋ	1											
束	ɕiɔuʔ	7											
蜀	dʑiɔuʔ	8											
属	ʑiɔuʔ	8											
褥	ȵiɔuʔ	8											
巩	kəŋ	3											
曲	tɕʰiɔuʔ	7	歌～										
共	dʑiɔŋ	6	一样、～产党										
局	dʑiɔuʔ	8											
玉	ȵiɔuʔ	8											
胸	ɕiɔŋ	1											
凶	ɕiɔŋ	1											
雍	iɔŋ	1											
拥	iɔŋ	1											
容	iɔŋ	2											
蓉	iɔŋ	2											
庸	iɔŋ	2											
勇	iɔŋ	3											
用	iɔŋ	6											
浴	iɔuʔ	8											
拖	tʰa	1											
饿	ua	6	～死罢										
嫲	mu	2	鸡～：母鸡										
□	xɔŋ	1	鸡～：公鸡										
□	u	1a	～虼：蛤蟆										
虼	kəʔ	7											
□	tɛ	5	蛙蟆～儿：蝌蚪										
蟑	tɕiaŋ	1											
□	zɔʔ	8	蟑～：蟑螂										
□	kɑɔ	1b	～虱：臭虫										
火	xu	3	灯～：萤火虫										
哪	na	1b	～～吟：蝉										
吟	iŋ	2	哪哪～：蝉										
砻	ləŋ	2	～雀儿：麻雀										
燕	iɛʔ	7a	～儿										
□	so	1	翼～：翅膀										
啄	tiuʔ	7	～木鸟										
木	muʔ	8	啄～鸟										
鸟	ȵiɑɔ	3	文										
叮	tiŋ	1											
□	ŋo	1a	叮～娘：蜻蜓										
蝴	uə	2											
□	liɛ	6	～□piɛ53：蜥蜴										
□	piɛ	3	□liɛ13～：蜥蜴										
□	go	1c	～□zɿ13：蝙蝠										
□	zɿ	6	□go21～：蝙蝠										
鲶	ȵiɛ	2											
□	dɛ	2	鲶～：鲶鱼										
□	ua	1c	黄～刺：昂刺鱼										
斑	paŋ	1											
蛳	sɿ	1											
蚶	xɤ	1	河蚌										
□	tɕiɛ	1	猪骹～：猪蹄										
蕨	tɕyʔ	7											
□	zo	2	蕨～：蕨菜										
大	da	6	～蒜、～齐：大家										
萝	lu	2											
□	saŋ	1b	～□ɕiŋ45豆：四季豆										
□	ɕiŋ	5	□saŋ33～豆：四季豆										
苹	piŋ	5	变调，～果										
日	ȵiʔ	8											
莓	mi	2											
□	ȵiɯ	6	野草莓										
□	dɛ	1a	～□tɕiŋ45桃：金樱子										
□	tɕiŋ	5	□dɛ22～桃：金樱子										
□	saŋ	1b	～□li21□siʔ54：乌饭子										
□	li	1c	□saŋ33～□siʔ54：乌饭子										
□	siʔ	7	□saŋ33□liʔ21～：乌饭子										
箬	ȵiaʔ	8	箬叶										
□	tsʰaʔ	7a	～□tɕʰiɯʔ54：鼠鞠草										
□	tɕʰiɯʔ	7	□tsʰaʔ3～：鼠鞠草										
槠	tɕiɔŋ	3	苦～										
□	dəŋ	1a	～子：乌桕子										
樨	ɕi	1	木～：桂花										
□	tɕy	1b	～□piaʔ3花：杜鹃花										
□	piaʔ	7a	□tɕy33～花：杜鹃花										
子	tɕi	5	栀～儿：栀子花										
□	dzaʔ	8a	～栗：橡子										
□	saŋ	3	茶～：茶叶										
砂	so	1											
居	tɕy	1											
□	fɔŋ	6	“凤凰”合音，～卵：凤凰蛋										
馃	kəu	3											
糍	zɤɯ	2											
□	dɤɯ	2	雾										
□	ɿ	5	天～：天气										
□	maŋ	5	昨～日：昨天										
□	iʔ	7	这										
□	tɔʔ	7	相当于“这里”“那里”的“里”										
□	xɔʔ	7	那										
□	tɕʰiʔ	7	哪										
□	ȵi	5	～儿办：怎么办										
□	tɕʰiaʔ	7	～事：为什么										
□	la	1	我～：我们										
来	la	2	十～个、百～个										
侬	nəŋ	2	人										
□	nɛʔ	7	～～儿：一点点										
块	kʰui	5	一～：一元										
□	kaŋ	1	一～：一拃										
了	lɤ	7a	坐～记、去～未										
毛	ŋ	2	头～：头发、目珠～：眉毛										
□	ɕi	3	口鼻～：鼻涕										
□	ŋɛ	3	头～：脖子										
下	o	3	～巴										
巴	bo	2	下～										
嬷	mo	5	～儿：乳房										
□	mɔʔ	1a	尿～鸟：男阴										
手	tɕʰy	3											
□	təŋ	1b	～□tɕi45：左手										
□	tɕi	5	□təŋ33～：左手、顺～：右手										
畚	pɤ	1b	～箕										
胛	kɔʔ	7a	□ȵiŋ335～头：肩膀										
脱	tʰəʔ	7	～皮										
□	la	1a	～痒：抓痒										
泻	ɕio	5											
乞	kʰəʔ	7a	～儿：乞丐										
佬	lɑɔ	3											
□	ʑiŋ	6	～□lɤ53:男孩、～侬：小孩										
□	lɤ	3	□ʑiŋ13～:男孩										
囡	na	3	女儿、女孩										
嬷	mo	1	奶奶										
倌	kuaŋ	5	大～：公公										
家	io	2	大～：婆婆										
□	mɛ	5	儿子、男孩										
□	tsɛiŋ	3	门～：门槛										
盒	kaʔ	7											
□	kʰɑɔ	5	～剪：剪刀										
子	tsɿ	1	箆～										
称	tɕʰiŋ	5	名词										
□	taʔ	7	鱼～：鱼钩										
场	daŋ	2	簟～：晒谷场										
□	kʰuɯ	1b	～䥈：蒸饭用的大锅										
□	to	5	～䥈：烧菜用的小锅										
来	lɛ	2	自～火：火柴										
火	xəu	3	自来～：火柴										
□	tiɑɔ	1	火～：火铲										
甑	tsɛiŋ	5	饭～										
□	ŋɛiʔ	8	闭眼、眨眼										
转	dəŋ	1c	～去：回去										
漏	ləu	1a	～涴：拉大便、～尿：拉小便										
擤	xɛiŋ	3											
装	tɕiɔŋ	1	～屄：性交										
□	xa	5	～□iɯ53:东西										
□	iɯ	3	□xa45～：东西										
□	tɕʰi	1b	～樵：砍柴										
□	tsɤɯ	5	～菜头：拔萝卜										
□	iŋ	1b	～布：织布										
毒	tɤɯ	5	～鱼										
剖	pʰa	1b	～鱼：杀鱼										
□	pʰɔuʔ	7	煎（饼）										
□	xo	1	煮										
□	fi	1	炸（油条）										
□	tso	3	端（碗）										
□	tɔŋ	5	㔶～䥈㔶：盖锅盖										
㔶	kɛiŋ	3	盖										
□	tɕʰiɛ	1	舔										
拆	tsʰaʔ	7											
叠	diɛʔ	8											
□	pɛ	1	用手翻找										
𤖼	pʰaʔ	7	撕										
□	tʰɤɯ	1b	～花：摘花										
□	ŋa	3	～树桠：折树枝										
桠	o	5											
拗	ŋɑɔ	1a	～铁丝：折铁丝										
□	ɤɯ	5	摁										
□	kʰəʔ	7	压										
□	li	6	掉										
□	tɛiŋ	1	扔										
□	ləu	3	寻找										
□	tiɑɔ	3	提										
□	nɛiʔ	7	捏										
扭	ȵiɯ	2											
□	gɔʔ	8	挤										
学	ɔuʔ	8											
□	ŋa	1a	～□kʰəu21栗：指背击										
□	kʰəu	1c	□ŋa22～栗：指背击										
□	gu	2	蹲										
□	kʰəŋ	5	靠										
□	nɔʔ	8	跑										
□	po	1b	～倒：跌倒										
□	gaŋ	6	迈										
庄	tiɔŋ	1	做～：坐庄										
□	tsɛiŋ	1b	□gɔʔ2油～：挤暖										
□	tɕi	1b	～□tɑɔ45□daŋ21：手指比大小										
□	tɑɔ	5	□tɕi33～□daŋ21：手指比大小										
□	daŋ	1c	□tɕi33□tɑɔ45～：手指比大小										
□	tɕiŋ	1b	～□tsɔŋ33□pʰaŋ45：手心手背										
□	tsɔŋ	1b	□tɕiŋ33～□pʰaŋ45：手心手背										
□	pʰaŋ	5	□tɕiŋ33□tsɔŋ33～：手心手背										
弃	tsʰɿ	5											
忌	tsɿ	5											
落	la	1a	～记：忘记										
着	dʑiɔuʔ	8	碰～、晓弗～：不知道										
无	məŋ	5	没有										
里	ȵi	5	坐处～：在家里										
□	zɑɔ	2	乖										
□	iɛ	6	旧										
□	lɔŋ	6	稀										
□	zɔʔ	8	邋～：肮脏										
粗	tsʰuɯ	1	～糙										
□	təŋ	3	木～：傻										
无	mɤɯ	2	没有										
霉	mi	2											
□	tʰaŋ	5	调皮										
嗦	səu	1	罗～										
谱	pʰuɯ	3	家～										
□	ləʔ	8a	～□sɔuʔ54：垃圾										
□	sɔuʔ	7	□ləʔ2～：垃圾										
固	ku	5	～未：还没										
□	tɕʰia	5	～事：什么、～□iɯ53：什么										
□	lɛ	5	几～：多少										
钱	diɛ	2											
些	sɛʔ	7											
个	kɛ	7a	我～：我的										
罢	pa	0	助词，了，只能用于句末										
□	fa	1b	相当于“吗”，是“弗啊”的合音										
□	tʰiŋ	5	和										
□	xa	3	这么										
籽	tsɿ	3											
喇	lo	1b	～叭										
叭	po	1											
了	lɑɔ	0											
共	gɔŋ	6	新读										
恭	tɕiɔŋ	1	旧读，～喜										
恭	kəŋ	1	新读										
宫	tɕiəŋ	1	旧读，天妃～，～头（地名）										
畜	tɕʰiɯʔ	7	～生										
梦	mɔŋ	6	文										
虫	dʑiəŋ	2	文										
木	mɔuʔ	8	文，金～水火土										
贞	tiŋ	1	旧读，女～子										
贞	tsɛiŋ	1	新读										
柄	piŋ	5	文										
打	to	3	文										
蝇	iŋ	2											
讲	tɕiaŋ	3	文										
狂	dʑiɔŋ	2											
网	miaŋ	3	白										
绑	pəŋ	3											
痒	iaŋ	3	文										
像	ɕiaŋ	3	画～										
出		7	新										
轮	liŋ	2	～到										
近	tɕiŋ	3	文										
勤	gɛiŋ	2											
实	zɛiʔ	8											
船	ʑyə	2	文										
顽	uaŋ	6											
酸	sɤ	1	文										
短	tɤ	3	文										
肩	iɛ	1	旧读										
肩	tɕiɛ	1	新读										
孽	ȵiɛʔ	8											
深	ɕiŋ	1	文										
沉	dzɛiŋ	2	文										
笑	ɕiɑɔ	5	文										
敲	tɕʰiɑɔ	1	文										
掻	tsɑɔ	1	挠痒										
高	kɑɔ	1	文										
宝	pu	3											
讨	tʰɤɯ	3											
位	ui	6	文										
喜	sɿ	3											
耳	ȵi	3	文										
刺	tsʰɿ	5	文										
桂	tɕy	5	旧读										
契	tɕʰi	5											
系	ɕi	5											
鸡	tɕi	1	文										
梯	tʰi	1	文										
解	xa	3											
盖	kua	5	旧读										
害	ua	6											
芋	y	6	文										
句	kɤɯ	5											
树	ʑy	6	文										
鱼	ȵy	2	文										
锯	tɕy	5	文										
去	tɕʰy	5	文										
渠	dʑy	2											
猪	tɕy	1											
嫁	ko	5	～妆										
沙	sa	1	指沙土										
若	ȵiaʔ	8											
也	io	6											
□	i	6	又										
□	bɛ	6	只										
牯	kuɯ	3											
驴	lɤɯ	2											
啼	di	2	公鸡叫										
寮	liɑɔ	2	茅草～										
桸	xɛ	1	匏～：瓢										
芫	yə	1b	～荽菜：香菜										
荽	ɕy	1b	芫～菜：香菜										
□	y	3	～牛：放牛。本字疑为“守”										
䘼	yŋ	3	手～筒：袖子										
焙	bɛ	2	～菜：炒菜										
挟	iɛʔ	7	～菜										
筑	təɯʔ	7	噎										
澜	laŋ	2	口水										
馋	saŋ	5	～澜：口水										
□	lɛ	5	～喉：喉咙										
□	bɛiʔ	8	蚊子咬后形成的疙瘩										
癣	ɕyə	3											
灸	tɕiɯ	5											
奁	liɛ	2											
□	kʰaŋ	5	～嫂儿：嫂子										
□	tɕi	5	～母：妯娌										
□	tɕʰiɛʔ	7	畚～：簸米用的畚箕										
栈	dzaŋ	6											
合	kəʔ	7	～算										
锣	ləu	2											
豁	xuəʔ	7	～拳：划拳										
□	nɛiʔ	7	掐										
□	tsʰɑɔ	1	推										
□	dʑiɯ	6	埋										
掼	guaŋ	6	扔										
□	tsɔŋ	5	扔、投掷										
□	kʰɛ	5	收拾										
撬	tɕʰiɑɔ	5											
□	ȵiŋ	2	举										
揢	kʰo	5	抓										
掺	tsʰɛiŋ	1											
□	kʰɑɔ	3	～活：快乐										
□	tsəŋ	1	□kʰɑɔ211～：快乐										
