單字	粵拼	聲母_定	韻母_定	聲調_定	IPA	聲母_定	韻母_定	聲調_定	備註
旭		g	ek	7A		k	ək	45	老派
弓		g	eng	1		k	əŋ	23	
躬		g	eng	1		k	əŋ	23	
宮		g	eng	1		k	əŋ	23	
恭		g	eng	1		k	əŋ	23	
供		g	eng	1		k	əŋ	23	
工		g	eng	1		k	əŋ	23	
公		g	eng	1		k	əŋ	23	
公		g	eng	1		k	əŋ	23	
功		g	eng	1		k	əŋ	23	
攻		g	eng	1		k	əŋ	23	
蚣		g	eng	1		k	əŋ	23	
貢		g	eng	1		k	əŋ	23	
紅		g	eng	1		k	əŋ	23	女紅
拱		g	eng	2		k	əŋ	45	
鞏		g	eng	2		k	əŋ	45	
共		g	eng	6		k	əŋ	32	
敬		g	iaang	1		k	iɑŋ	23	敬惜，白讀
鏡		g	iaang	1		k	iɑŋ	23	
驚		g	iaang	1		k	iɑŋ	23	害怕，白讀
頸		g	iaang	2		k	iɑŋ	45	脖子
亟		g	ik	8		k	ɪk	32	亟需
極		g	ik	8		k	ɪk	32	
擊		g	ik	7A		k	ɪk	45	
激		g	ik	7A		k	ɪk	45	
棘		g	ik	7A		k	ɪk	45	
兼		g	im	1		k	im	23	
劍		g	im	1		k	im	23	
儉		g	im	6		k	im	32	
涓		g	in	1		k	in	23	
鵑		g	in	1		k	in	23	
肩		g	in	1		k	in	23	
堅		g	in	1		k	in	23	
見		g	in	1		k	in	23	看見
絹		g	in	1		k	in	23	
捐		g	in	1		k	in	23	
娟		g	in	1		k	in	23	
眷		g	in	1		k	in	23	
券		g	in	5		k	in	21	
建		g	in	1		k	in	23	
建		g	in	2		k	in	45	建行(建設銀行，文盲音)
毽		g	in	1		k	in	23	
卷		g	in	2		k	in	45	卷曲
捲		g	in	2		k	in	45	
卷		g	in	6		k	in	32	試卷
倦		g	in	6		k	in	32	
鍵		g	in	6		k	in	32	
件		g	in	6		k	in	32	
圈		g	in	6		k	in	32	豬圈
健		g	in	6		k	in	32	
涇		g	ing	1		k	ɪŋ	23	
經		g	ing	1		k	ɪŋ	23	
逕		g	ing	1		k	ɪŋ	23	
徑		g	ing	1		k	ɪŋ	23	
京		g	ing	1		k	ɪŋ	23	
荊		g	ing	1		k	ɪŋ	23	
驚		g	ing	1		k	ɪŋ	23	
敬		g	ing	1		k	ɪŋ	23	尊敬
兢		g	ing	1		k	ɪŋ	23	
莖		g	ing	1		k	ɪŋ	23	
憬		g	ing	2		k	ɪŋ	45	
竟		g	ing	2		k	ɪŋ	45	
景		g	ing	2		k	ɪŋ	45	
警		g	ing	2		k	ɪŋ	45	
境		g	ing	2		k	ɪŋ	45	
競		g	ing	6		k	ɪŋ	32	
勁		g	ing	6		k	ɪŋ	32	
腳		g	iok	7B		k	iøk	23	
腳		g	iok	7A		k	iøk	45	水腳（旅費）
腳		g	iok	9		k	iøk	21	湯腳（湯渣）
姜		g	iong	1		k	iøŋ	23	
僵		g	iong	1		k	iøŋ	23	
薑		g	iong	1		k	iøŋ	23	
疆		g	iong	1		k	iøŋ	23	
韁		g	iong	1		k	iøŋ	23	
羌		g	iong	1		k	iøŋ	23	
強		g	iong	6		k	iøŋ	32	倔強
夾		g	ip	7B		k	ip	23	
夾		g	ip	9		k	ip	21	變調
劫		g	ip	7B		k	ip	23	
杰		g	it	8		k	it	32	
傑		g	it	8		k	it	32	
橛		g	it	8		k	it	32	兩橛
潔		g	it	7B		k	it	23	
潔		g	it	7A		k	it	45	
結		g	it	7B		k	it	23	
結		g	it	7A		k	it	45	
拮		g	it	7B		k	it	23	
葛		g	it	9		k	it	21	粉葛，變調
澆		g	iu	1		k	iu	23	
叫		g	iu	1		k	iu	23	
嬌		g	iu	1		k	iu	23	
驕		g	iu	1		k	iu	23	
繳		g	iu	2		k	iu	45	
矯		g	iu	2		k	iu	45	
轎		g	iu	6		k	iu	32	
角		g	ok	9		k	ɔk	21	角仔
覺		g	ok	7A		k	ɔk	45	
閣		g	ok	7A		k	ɔk	45	
各		g	ok	7A		k	ɔk	45	
覺		g	ok	7B		k	ɔk	23	
國		g	ok	7B		k	ɔk	23	
郭		g	ok	7B		k	ɔk	23	
角		g	ok	7B		k	ɔk	23	直角
閤		g	ok	7B		k	ɔk	23	閤樓
各		g	ok	7B		k	ɔk	23	
擱		g	ok	7B		k	ɔk	23	
咯		g	ok	7B		k	ɔk	23	咯咯笑
肛		g	ong	1		k	ɔŋ	23	
江		g	ong	1		k	ɔŋ	23	
扛		g	ong	1		k	ɔŋ	23	遞送、拿
降		g	ong	1		k	ɔŋ	23	降落
缸		g	ong	1		k	ɔŋ	23	
缸		g	ong	5		k	ɔŋ	21	變調
光		g	ong	1		k	ɔŋ	23	
胱		g	ong	1		k	ɔŋ	23	
岡		g	ong	1		k	ɔŋ	23	
岡		g	ong	5		k	ɔŋ	21	變調
剛		g	ong	1		k	ɔŋ	23	
崗		g	ong	1		k	ɔŋ	23	
崗		g	ong	5		k	ɔŋ	21	變調
綱		g	ong	1		k	ɔŋ	23	
鋼		g	ong	1		k	ɔŋ	23	
鋼		g	ong	5		k	ɔŋ	21	變調
槓		g	ong	1		k	ɔŋ	23	
槓		g	ong	5		k	ɔŋ	21	變調
獷		g	ong	2		k	ɔŋ	45	
講		g	ong	2		k	ɔŋ	45	
廣		g	ong	2		k	ɔŋ	45	
高		g	ou	1		k	ou	23	
羔		g	ou	1		k	ou	23	
膏		g	ou	1		k	ou	23	
篙		g	ou	1		k	ou	23	
告		g	ou	1		k	ou	23	報告
糕		g	ou	1		k	ou	23	
睪		g	ou	1		k	ou	23	睪丸
睾		g	ou	1		k	ou	23	
稿		g	ou	2		k	ou	45	
沽		g	u	1		k	u	23	
孤		g	u	1		k	u	23	
姑		g	u	1		k	u	23	
辜		g	u	1		k	u	23	
固		g	u	1		k	u	23	
故		g	u	1		k	u	23	
錮		g	u	1		k	u	23	
鯝		g	u	1		k	u	23	
顧		g	u	1		k	u	23	
估		g	u	1		k	u	23	估衣
雇		g	u	1		k	u	23	
咕		g	u	1		k	u	23	
菇		g	u	1		k	u	23	
僱		g	u	1		k	u	23	
家		g	u	1		k	u	23	曹大家
估		g	u	2		k	u	45	估計
古		g	u	2		k	u	45	
股		g	u	2		k	u	45	
詁		g	u	2		k	u	45	
鼓		g	u	2		k	u	45	
賈		g	u	2		k	u	45	商賈
蓋		g	ui	1		k	ui	23	杯蓋
賅		g	ui	1		k	ui	23	
該		g	ui	1		k	ui	23	
改		g	ui	2		k	ui	45	
蓋		g	ui	5		k	ui	21	變調
居		g	ui	1		k	ui	23	
車		g	ui	1		k	ui	23	車馬炮
据		g	ui	1		k	ui	23	
踞		g	ui	1		k	ui	23	
據		g	ui	1		k	ui	23	
鋸		g	ui	1		k	ui	23	
瞿		g	ui	1		k	ui	23	瞿然一驚
句		g	ui	1		k	ui	23	
莒		g	ui	2		k	ui	45	
舉		g	ui	2		k	ui	45	
櫸		g	ui	2		k	ui	45	
矩		g	ui	2		k	ui	45	
遽		g	ui	6		k	ui	32	
巨		g	ui	6		k	ui	32	
炬		g	ui	6		k	ui	32	
鉅		g	ui	6		k	ui	32	
具		g	ui	6		k	ui	32	
懼		g	ui	6		k	ui	32	
肝		g	un	1		k	un	23	
竿		g	un	1		k	un	23	
干		g	un	1		k	un	23	
乾		g	un	1		k	un	23	乾燥
乾		g	un	5		k	un	21	名詞，變調
杆		g	un	1		k	un	23	
幹		g	un	1		k	un	23	
桿		g	un	1		k	un	23	
稈		g	un	2		k	un	45	
趕		g	un	2		k	un	45	
官		g	un	1		k	un	23	
冠		g	un	1		k	un	23	
倌		g	un	1		k	un	23	
棺		g	un	1		k	un	23	
觀		g	un	1		k	un	23	
貫		g	un	1		k	un	23	
灌		g	un	1		k	un	23	
罐		g	un	1		k	un	23	
罐		g	un	5		k	un	21	變調
鸛		g	un	1		k	un	23	
館		g	un	2		k	un	45	
管		g	un	2		k	un	45	
過		g	uo	1		k	uɔ	23	
渦		g	uo	1		k	uɔ	23	渦河
戈		g	uo	1		k	uɔ	23	
哥		g	uo	1		k	uɔ	23	
歌		g	uo	1		k	uɔ	23	
個		g	uo	1		k	uɔ	23	
果		g	uo	2		k	uɔ	45	
裹		g	uo	2		k	uɔ	45	
粿		g	uo	2		k	uɔ	45	
割		g	ut	7B		k	ut	23	
葛		g	ut	7A		k	ut	45	
瓜		gw	aa	1		ku	ɑ	23	
卦		gw	aa	1		ku	ɑ	23	
掛		gw	aa	1		ku	ɑ	23	
呱		gw	aa	1		ku	ɑ	23	
褂		gw	aa	1		ku	ɑ	23	
寡		gw	aa	2		ku	ɑ	45	
乖		gw	aai	1		ku	ɑi	23	
怪		gw	aai	1		ku	ɑi	23	
枴		gw	aai	2		ku	ɑi	45	
拐		gw	aai	2		ku	ɑi	45	
綸		gw	aan	1		ku	ɑn	23	綸巾
關		gw	aan	1		ku	ɑn	23	
慣		gw	aan	1		ku	ɑn	23	
轟		gw	aang	1		ku	ɑŋ	23	
肱		gw	aang	1		ku	ɑŋ	23	
梗		gw	aang	2		ku	ɑŋ	45	
逛		gw	aang	6		ku	ɑŋ	32	
均		gw	ean	1		ku	ɜn	23	
鈞		gw	ean	1		ku	ɜn	23	
君		gw	ean	1		ku	ɜn	23	
軍		gw	ean	1		ku	ɜn	23	
棍		gw	ean	1		ku	ɜn	23	
棍		gw	ean	5		ku	ɜn	21	變調
龜		gw	ean	1		ku	ɜn	23	
滾		gw	ean	2		ku	ɜn	45	
郡		gw	ean	6		ku	ɜn	32	
倔		gw	eat	8		ku	ɜt	32	
掘		gw	eat	8		ku	ɜt	32	
崛		gw	eat	8		ku	ɜt	32	
骨		gw	eat	7A		ku	ɜt	45	
滑		gw	eat	7A		ku	ɜt	45	滑稽
圭		gw	ei	1		ku	ei	23	
閨		gw	ei	1		ku	ei	23	
鮭		gw	ei	1		ku	ei	23	
桂		gw	ei	1		ku	ei	23	
鱖		gw	ei	1		ku	ei	23	
季		gw	ei	1		ku	ei	23	
癸		gw	ei	1		ku	ei	23	
悸		gw	ei	1		ku	ei	23	
龜		gw	ei	1		ku	ei	23	
歸		gw	ei	1		ku	ei	23	
貴		gw	ei	1		ku	ei	23	
傀		gw	ei	1		ku	ei	23	傀偉
瑰		gw	ei	1		ku	ei	23	
詭		gw	ei	2		ku	ei	45	
軌		gw	ei	2		ku	ei	45	
晷		gw	ei	2		ku	ei	45	
鬼		gw	ei	2		ku	ei	45	
跪		gw	ei	6		ku	ei	32	
櫃		gw	ei	6		ku	ei	32	
匱		gw	ei	6		ku	ei	32	
餽		gw	ei	6		ku	ei	32	
饋		gw	ei	6		ku	ei	32	
迥		gw	ing	2		ku	ɪŋ	45	
炯		gw	ing	2		ku	ɪŋ	45	
刮		gw	it	7B		ku	it	23	
颳		gw	it	7B		ku	it	23	
蝦		h	aa	1		h	ɑ	23	蝦蟆
哈		h	aa	1		h	ɑ	23	
他		h	aa	1		h	ɑ	23	
它		h	aa	1		h	ɑ	23	
她		h	aa	1		h	ɑ	23	
牠		h	aa	1		h	ɑ	23	
祂		h	aa	1		h	ɑ	23	
蛤		h	aa	1		h	ɑ	23	蛤蟆
遐		h	aa	4		h	ɑ	22	
瑕		h	aa	4		h	ɑ	22	
霞		h	aa	4		h	ɑ	22	
下		h	aa	5		h	ɑ	21	打一下
蝦		h	aa	5		h	ɑ	21	蝦米
暇		h	aa	6		h	ɑ	32	
下		h	aa	6		h	ɑ	32	下面
下		h	aa	2		h	ɑ	45	下車、下班，白讀
廈		h	aa	6		h	ɑ	32	
夏		h	aa	6		h	ɑ	32	
邂		h	aai	1		h	ɑi	23	
太		h	aai	1		h	ɑi	23	
汰		h	aai	1		h	ɑi	23	
泰		h	aai	1		h	ɑi	23	
貸		h	aai	1		h	ɑi	23	
態		h	aai	1		h	ɑi	23	
蟹		h	aai	2		h	ɑi	45	
鞋		h	aai	4		h	ɑi	22	
蟹		h	aai	5		h	ɑi	21	
骸		h	aai	4		h	ɑi	22	
諧		h	aai	4		h	ɑi	22	
孩		h	aai	4		h	ɑi	22	
懈		h	aai	6		h	ɑi	32	
解		h	aai	6		h	ɑi	32	姓解
械		h	aai	6		h	ɑi	32	
梯		h	aai	1		h	ɑi	23	
嚏		h	aai	1		h	ɑi	23	
剃		h	aai	1		h	ɑi	23	
替		h	aai	1		h	ɑi	23	
涕		h	aai	1		h	ɑi	23	
屜		h	aai	1		h	ɑi	23	
體		h	aai	2		h	ɑi	45	
睇		h	aai	2		h	ɑi	45	看
啼		h	aai	4		h	ɑi	22	
蹄		h	aai	4		h	ɑi	22	
題		h	aai	4		h	ɑi	22	
兮		h	aai	4		h	ɑi	22	
奚		h	aai	4		h	ɑi	22	
堤		h	aai	4		h	ɑi	22	
提		h	aai	4		h	ɑi	22	
係		h	aai	6		h	ɑi	32	
繫		h	aai	6		h	ɑi	32	
系		h	aai	6		h	ɑi	32	
喀		h	aak	7A		h	ɑk	45	
客		h	aak	7A		h	ɑk	45	
赫		h	aak	7A		h	ɑk	45	
克		h	aak	7A		h	ɑk	45	
刻		h	aak	7A		h	ɑk	45	
剋		h	aak	7A		h	ɑk	45	
黑		h	aak	7A		h	ɑk	45	
嘿		h	aak	7A		h	ɑk	45	嘿嘿
可		h	aak	7A		h	ɑk	45	可汗
嚇		h	aak	7B		h	ɑk	23	
咯		h	aak	7B		h	ɑk	23	咯血
貪		h	aam	1		h	ɑm	23	
探		h	aam	1		h	ɑm	23	
淡		h	aam	5		h	ɑm	21	好淡
喊		h	aam	1		h	ɑm	23	
咸		h	aam	4		h	ɑm	22	
銜		h	aam	4		h	ɑm	22	
鹹		h	aam	4		h	ɑm	22	
潭		h	aam	4		h	ɑm	22	
譚		h	aam	4		h	ɑm	22	
函		h	aam	4		h	ɑm	22	
涵		h	aam	4		h	ɑm	22	
痰		h	aam	4		h	ɑm	22	
談		h	aam	4		h	ɑm	22	
罈		h	aam	4		h	ɑm	22	
餡		h	aam	5		h	ɑm	21	
陷		h	aam	6		h	ɑm	32	
堪		h	aam	1		h	ɑm	23	
龕		h	aam	1		h	ɑm	23	
勘		h	aam	1		h	ɑm	23	
瞰		h	aam	1		h	ɑm	23	
憨		h	aam	1		h	ɑm	23	
崁		h	aam	1		h	ɑm	23	
坎		h	aam	2		h	ɑm	45	
砍		h	aam	2		h	ɑm	45	
含		h	aam	4		h	ɑm	22	
酣		h	aam	4		h	ɑm	22	
嵌		h	aam	6		h	ɑm	32	
憾		h	aam	6		h	ɑm	32	
撼		h	aam	6		h	ɑm	32	
冚		h	aam	6		h	ɑm	32	全部
冚		h	aam	5		h	ɑm	21	冚家鏟
攤		h	aan	1		h	ɑn	23	
灘		h	aan	1		h	ɑn	23	
嘆		h	aan	1		h	ɑn	23	
炭		h	aan	1		h	ɑn	23	
歎		h	aan	1		h	ɑn	23	
癱		h	aan	1		h	ɑn	23	
碳		h	aan	1		h	ɑn	23	
毯		h	aan	2		h	ɑn	45	
袒		h	aan	2		h	ɑn	45	
坦		h	aan	2		h	ɑn	45	
忐		h	aan	2		h	ɑn	45	
閒		h	aan	4		h	ɑn	22	
彈		h	aan	4		h	ɑn	22	彈劾
壇		h	aan	4		h	ɑn	22	
檀		h	aan	4		h	ɑn	22	
嫻		h	aan	4		h	ɑn	22	
限		h	aan	6		h	ɑn	32	
墾		h	aan	2		h	ɑn	45	
懇		h	aan	2		h	ɑn	45	
很		h	aan	2		h	ɑn	45	
狠		h	aan	2		h	ɑn	45	
痕		h	aan	4		h	ɑn	22	
恨		h	aan	6		h	ɑn	32	
坑		h	aang	1		h	ɑŋ	23	
桁		h	aang	1		h	ɑŋ	23	三桁瓦，地名
亨		h	aang	1		h	ɑŋ	23	
鏗		h	aang	1		h	ɑŋ	23	
哼		h	aang	1		h	ɑŋ	23	哼歌
肯		h	aang	2		h	ɑŋ	45	
啃		h	aang	2		h	ɑŋ	45	
衡		h	aang	4		h	ɑŋ	22	
行		h	aang	4		h	ɑŋ	22	步行
藤		h	aang	4		h	ɑŋ	22	
騰		h	aang	4		h	ɑŋ	22	
恆		h	aang	4		h	ɑŋ	22	
疼		h	aang	4		h	ɑŋ	22	疼痛
籐		h	aang	4		h	ɑŋ	22	
行		h	aang	6		h	ɑŋ	32	品行
杏		h	aang	6		h	ɑŋ	32	
幸		h	aang	6		h	ɑŋ	32	
倖		h	aang	6		h	ɑŋ	32	
峽		h	aap	8		h	ɑp	32	
狹		h	aap	8		h	ɑp	32	
匣		h	aap	8		h	ɑp	32	
掐		h	aap	7B		h	ɑp	23	
塔		h	aap	7B		h	ɑp	23	
榻		h	aap	7B		h	ɑp	23	
塌		h	aap	7B		h	ɑp	23	
俠		h	aap	8		h	ɑp	32	
磕		h	aap	8		h	ɑp	32	
合		h	aap	8		h	ɑp	32	合格
盒		h	aap	8		h	ɑp	32	
闔		h	aap	8		h	ɑp	32	
閤		h	aap	8		h	ɑp	32	閤眼
恰		h	aap	7A		h	ɑp	45	
洽		h	aap	7A		h	ɑp	45	
嗑		h	aap	7A		h	ɑp	45	
瞌		h	aap	7A		h	ɑp	45	
核		h	aat	8		h	ɑt	32	
劾		h	aat	8		h	ɑt	32	
瞎		h	aat	8		h	ɑt	32	
轄		h	aat	8		h	ɑt	32	
覈		h	aat	8		h	ɑt	32	
乞		h	aat	7A		h	ɑt	45	
酵		h	aau	1		h	ɑu	23	
敲		h	aau	1		h	ɑu	23	
哮		h	aau	1		h	ɑu	23	
孝		h	aau	1		h	ɑu	23	
拷		h	aau	1		h	ɑu	23	
烤		h	aau	1		h	ɑu	23	
巧		h	aau	2		h	ɑu	45	
考		h	aau	2		h	ɑu	45	
校		h	aau	6		h	ɑu	32	學校
效		h	aau	6		h	ɑu	32	
偷		h	aau	1		h	ɑu	23	
透		h	aau	1		h	ɑu	23	
厚		h	aau	5		h	ɑu	21	
吼		h	aau	1		h	ɑu	23	
口		h	aau	2		h	ɑu	45	
投		h	aau	4		h	ɑu	22	
頭		h	aau	4		h	ɑu	22	
侯		h	aau	4		h	ɑu	22	
喉		h	aau	4		h	ɑu	22	
猴		h	aau	4		h	ɑu	22	
逅		h	aau	6		h	ɑu	32	
候		h	aau	6		h	ɑu	32	
后		h	aau	6		h	ɑu	32	
後		h	aau	6		h	ɑu	32	
後		h	aau	5		h	ɑu	21	後日
皓		h	aau	6		h	ɑu	32	亮，白讀
欽		h	eam	1		h	ɜm	23	
吞		h	ean	1		h	ɜn	23	
褪		h	ean	1		h	ɜn	23	褪落來
盾		h	ean	5		h	ɜn	21	
屯		h	ean	4		h	ɜn	22	
豚		h	ean	4		h	ɜn	22	
臀		h	ean	4		h	ɜn	22	
欣		h	ean	1		h	ɜn	23	
泣		h	eap	7A		h	ɜp	45	
菟		h	eau	1		h	ɜu	23	
兔		h	eau	1		h	ɜu	23	
吐		h	eau	1		h	ɜu	23	
土		h	eau	2		h	ɜu	45	
荼		h	eau	4		h	ɜu	22	如火如荼
徒		h	eau	4		h	ɜu	22	
途		h	eau	4		h	ɜu	22	
塗		h	eau	4		h	ɜu	22	
圖		h	eau	4		h	ɜu	22	
涂		h	eau	4		h	ɜu	22	
屠		h	eau	4		h	ɜu	22	
丘		h	eau	1		h	ɜu	23	
邱		h	eau	1		h	ɜu	23	
蚯		h	eau	1		h	ɜu	23	
休		h	eau	1		h	ɜu	23	
咻		h	eau	1		h	ɜu	23	一傅眾咻
憩		h	ei	1		h	ei	23	
欺		h	ei	1		h	ei	23	
熙		h	ei	1		h	ei	23	
嘻		h	ei	1		h	ei	23	
嬉		h	ei	1		h	ei	23	
熹		h	ei	1		h	ei	23	
禧		h	ei	1		h	ei	23	
羲		h	ei	1		h	ei	23	
曦		h	ei	1		h	ei	23	
犧		h	ei	1		h	ei	23	
戲		h	ei	1		h	ei	23	
棄		h	ei	1		h	ei	23	
器		h	ei	1		h	ei	23	
氣		h	ei	1		h	ei	23	
希		h	ei	1		h	ei	23	
稀		h	ei	1		h	ei	23	
汽		h	ei	1		h	ei	23	
烯		h	ei	1		h	ei	23	
釐		h	ei	1		h	ei	23	恭賀新釐
起		h	ei	2		h	ei	45	
喜		h	ei	2		h	ei	45	
豈		h	ei	2		h	ei	45	
酷		h	ek	8		h	ək	32	
禿		h	ek	7A		h	ək	45	
哭		h	ek	7A		h	ək	45	
凶		h	eng	1		h	əŋ	23	
兇		h	eng	1		h	əŋ	23	
匈		h	eng	1		h	əŋ	23	
洶		h	eng	1		h	əŋ	23	
控		h	eng	1		h	əŋ	23	
通		h	eng	1		h	əŋ	23	
痛		h	eng	1		h	əŋ	23	
空		h	eng	1		h	əŋ	23	
烘		h	eng	1		h	əŋ	23	
胸		h	eng	1		h	əŋ	23	
哄		h	eng	1		h	əŋ	23	
恐		h	eng	2		h	əŋ	45	
統		h	eng	2		h	əŋ	45	
桶		h	eng	2		h	əŋ	45	
孔		h	eng	2		h	əŋ	45	
雄		h	eng	4		h	əŋ	22	
熊		h	eng	4		h	əŋ	22	
鼕		h	eng	4		h	əŋ	22	
彤		h	eng	4		h	əŋ	22	
仝		h	eng	4		h	əŋ	22	
同		h	eng	4		h	əŋ	22	
桐		h	eng	4		h	əŋ	22	
童		h	eng	4		h	əŋ	22	
僮		h	eng	4		h	əŋ	22	書僮
銅		h	eng	4		h	əŋ	22	
筒		h	eng	4		h	əŋ	22	
虹		h	eng	4		h	əŋ	22	
洪		h	eng	4		h	əŋ	22	
紅		h	eng	4		h	əŋ	22	紅色
鴻		h	eng	4		h	əŋ	22	
訌		h	eng	4		h	əŋ	22	
茼		h	eng	4		h	əŋ	22	
靴		h	iaa	1		h	iɑ	23	
踢		h	iaak	7B		h	iɑk	23	
吃		h	iaak	7B		h	iɑk	23	吃飯
喫		h	iaak	7B		h	iɑk	23	喫飯
艇		h	iaang	5		h	iɑŋ	21	
聽		h	iaang	1		h	iɑŋ	23	聽力，白讀
廳		h	iaang	1		h	iɑŋ	23	
亭		h	iaang	4		h	iɑŋ	22	天亭，地名
剔		h	ik	7A		h	ɪk	45	
惕		h	ik	7A		h	ɪk	45	
忑		h	ik	7A		h	ɪk	45	
忒		h	ik	7A		h	ɪk	45	
添		h	im	1		h	im	23	
謙		h	im	1		h	im	23	
歉		h	im	1		h	im	23	
欠		h	im	1		h	im	23	
芡		h	im	1		h	im	23	
險		h	im	2		h	im	45	
舔		h	im	2		h	im	45	
恬		h	im	4		h	im	22	
甜		h	im	4		h	im	22	
券		h	in	5		h	in	21	老派
絢		h	in	1		h	in	23	
天		h	in	1		h	in	23	
牽		h	in	1		h	in	23	
縴		h	in	1		h	in	23	
禤		h	in	1		h	in	23	便嬛
嬛		h	in	1		h	in	23	便嬛
騫		h	in	1		h	in	23	
勸		h	in	1		h	in	23	
喧		h	in	1		h	in	23	
暄		h	in	1		h	in	23	
掀		h	in	1		h	in	23	
軒		h	in	1		h	in	23	
憲		h	in	1		h	in	23	
獻		h	in	1		h	in	23	
圈		h	in	2		h	in	45	圓圈
犬		h	in	2		h	in	45	
腆		h	in	2		h	in	45	
靦		h	in	2		h	in	45	靦顏事仇
顯		h	in	2		h	in	45	
譴		h	in	2		h	in	45	
遣		h	in	2		h	in	45	
佃		h	in	4		h	in	22	佃作
田		h	in	4		h	in	22	
闐		h	in	4		h	in	22	
填		h	in	4		h	in	22	
糰		h	in	4		h	in	22	
渲		h	in	1		h	in	23	文盲音
挺		h	ing	1		h	ɪŋ	23	
汀		h	ing	1		h	ɪŋ	23	
聽		h	ing	1		h	ɪŋ	23	聽任
罄		h	ing	1		h	ɪŋ	23	
馨		h	ing	1		h	ɪŋ	23	
兄		h	ing	1		h	ɪŋ	23	
卿		h	ing	1		h	ɪŋ	23	
慶		h	ing	1		h	ɪŋ	23	
輕		h	ing	1		h	ɪŋ	23	
興		h	ing	1		h	ɪŋ	23	
氫		h	ing	1		h	ɪŋ	23	
廷		h	ing	4		h	ɪŋ	22	
亭		h	ing	4		h	ɪŋ	22	
庭		h	ing	4		h	ɪŋ	22	
停		h	ing	4		h	ɪŋ	22	
蜓		h	ing	4		h	ɪŋ	22	
霆		h	ing	4		h	ɪŋ	22	
婷		h	ing	4		h	ɪŋ	22	
香		h	iong	1		h	iøŋ	23	
鄉		h	iong	1		h	iøŋ	23	
嚮		h	iong	1		h	iøŋ	23	
向		h	iong	1		h	iøŋ	23	
饗		h	iong	2		h	iøŋ	45	
響		h	iong	2		h	iøŋ	45	
嚮		h	iong	2		h	iøŋ	45	
晌		h	iong	2		h	iøŋ	45	
享		h	iong	2		h	iøŋ	45	
帖		h	ip	7B		h	ip	23	
貼		h	ip	7B		h	ip	23	
愜		h	ip	7B		h	ip	23	
協		h	ip	7B		h	ip	23	
挾		h	ip	7B		h	ip	23	
怯		h	ip	7B		h	ip	23	
脅		h	ip	7B		h	ip	23	
血		h	it	7B		h	it	23	
鐵		h	it	7B		h	it	23	
跳		h	iu	1		h	iu	23	
挑		h	iu	1		h	iu	23	挑水
眺		h	iu	1		h	iu	23	
驍		h	iu	1		h	iu	23	
蹺		h	iu	1		h	iu	23	
囂		h	iu	1		h	iu	23	
僥		h	iu	1		h	iu	23	僥倖
曉		h	iu	2		h	iu	45	
調		h	iu	4		h	iu	22	調味
條		h	iu	4		h	iu	22	
窕		h	iu	4		h	iu	22	
學		h	ok	8		h	ɔk	32	
鶴		h	ok	8		h	ɔk	32	
拓		h	ok	7B		h	ɔk	23	
託		h	ok	7B		h	ɔk	23	
壑		h	ok	7B		h	ɔk	23	
殼		h	ok	7B		h	ɔk	23	
托		h	ok	7B		h	ɔk	23	
筐		h	ong	1		h	ɔŋ	23	
框		h	ong	1		h	ɔŋ	23	
湯		h	ong	1		h	ɔŋ	23	
熨		h	ong	1		h	ɔŋ	23	
趟		h	ong	1		h	ɔŋ	23	
腔		h	ong	1		h	ɔŋ	23	
康		h	ong	1		h	ɔŋ	23	
炕		h	ong	1		h	ɔŋ	23	
燙		h	ong	1		h	ɔŋ	23	
吭		h	ong	1		h	ɔŋ	23	吭聲
慷		h	ong	2		h	ɔŋ	45	
倘		h	ong	2		h	ɔŋ	45	
淌		h	ong	2		h	ɔŋ	45	
躺		h	ong	2		h	ɔŋ	45	
降		h	ong	4		h	ɔŋ	22	投降
唐		h	ong	4		h	ɔŋ	22	
堂		h	ong	4		h	ɔŋ	22	
棠		h	ong	4		h	ɔŋ	22	
塘		h	ong	4		h	ɔŋ	22	
糖		h	ong	4		h	ɔŋ	22	
螳		h	ong	4		h	ɔŋ	22	
杭		h	ong	4		h	ɔŋ	22	
航		h	ong	4		h	ɔŋ	22	
吭		h	ong	4		h	ɔŋ	22	引吭高歌
行		h	ong	4		h	ɔŋ	22	銀行
膛		h	ong	4		h	ɔŋ	22	
幢		h	ong	4		h	ɔŋ	22	海幢寺
巷		h	ong	6		h	ɔŋ	32	
巷		h	ong	5		h	ɔŋ	21	變調
項		h	ong	6		h	ɔŋ	32	
行		h	ong	6		h	ɔŋ	32	行行
叨		h	ou	1		h	ou	23	叨擾
絛		h	ou	1		h	ou	23	
滔		h	ou	1		h	ou	23	
挑		h	ou	1		h	ou	23	挑達
套		h	ou	1		h	ou	23	
蒿		h	ou	1		h	ou	23	
好		h	ou	1		h	ou	23	好客
耗		h	ou	1		h	ou	23	
禱		h	ou	2		h	ou	45	
討		h	ou	2		h	ou	45	
好		h	ou	2		h	ou	45	友好
掏		h	ou	4		h	ou	22	
濤		h	ou	4		h	ou	22	
逃		h	ou	4		h	ou	22	
桃		h	ou	4		h	ou	22	
陶		h	ou	4		h	ou	22	陶瓷
萄		h	ou	4		h	ou	22	
啕		h	ou	4		h	ou	22	
毫		h	ou	4		h	ou	22	
豪		h	ou	4		h	ou	22	
號		h	ou	4		h	ou	22	哀號
嚎		h	ou	4		h	ou	22	
蠔		h	ou	4		h	ou	22	
