漢字	假名	聲母	韻母	聲調
旗	ギイ/キイ	群	止開三之	平
臼	ギウ	群	流開三有	上
舅	ギウ	群	流開三有	上
舊	ギウ	群	流開三宥	去
求	ギウ	群	流開三尤	平
喬	キヤ◦ウ	群	效開三宵	平
蕎	キヤ◦ウ/ギヤ◦ウ	群	效開三宵	平
橋	ギヤ◦ウ/キヤ◦ウ	群	效開三宵	平
強	キヤン/ギヤン	群	宕開三陽	平
具	ギユイ	群	遇合三遇	去
懼	ギユイ	群	遇合三遇	去
裙	ギユン	群	臻合三文	平
倦	ギユン/ギヱン	群	山合三線	去
窮	ギヨン/キヨン	群	通合三東	平
權	ギヱン	群	山合三仙	平
拳	キヱン/ギヱン	群	山合三仙	平
禽	キン	群	深開三侵	平
芹	ギン	群	臻開三殷	平
琴	ギン	群	深開三侵	平
近	ギン/キン	群	臻開三隱	上
勤	ギン/キン	群	臻開三殷	平
櫃	クイ	群	止合三至	去
跪	グイ	群	止合三紙	上
葵	グイ	群	止合三脂	平
件	ゲン	群	山開三狝	上
健	ゲン	群	山開三願	去
共	コン	群	通合三用	去
鰭	ズウ	群	止開三脂	平
淹	ヱン	群	鹹開三監	平
乾	カン	群	山開三仙	平
屐	キ/ギ	群	梗開三陌	入
覲	キイ	群	臻開三隱	去
萁	ギイ	群	止開三之	平
麒	ギイ	群	止開三之	平
期	キイ/ギイ	群	止開三之	平
碁	ギイ/キイ	群	止開三之	平
旧	ギウ	群	流開三宥	去
毬	ギウ	群	流開三尤	平
鯄	ギウ	群	流開三尤	平
詎	キユイ	群	遇合三語	上
鸜	キユイ	群	遇合三虞	平
苣	ギユイ	群	遇合三魚	平
衢	ギユイ	群	遇合三虞	平
蕨	キヱ	群	山合三月	入
橛	キヱ	群	山合三月	入
茄	ゲウ	群	果開三戈	平
蛬	コン	群	通合三鐘	平
入	ジ	日	深開三緝	入
日	ジ/シ	日	臻開三質	入
柔	ジウ	日	流開三尤	平
弱	ジヤ	日	宕開三藥	入
若	ジヤ/ジヨ	日	宕開三藥	入
饒	ジヤ◦ウ	日	效開三宵	平
擾	ジヤ◦ウ	日	效開三小	上
讓	ジヤン/シヤン	日	宕開三漾	去
儒	ジユイ	日	遇合三虞	平
乳	ジユイ	日	遇合三麌	上
如	ジユイ/シユイ/ヅユイ	日	遇合三魚	平
肉	ジヨ	日	通合三屋	入
辱	ジヨ	日	通合三燭	入
褥	ジヨ	日	通合三燭	入
絨	ジヨン	日	通合三東	平
惹	ジヱヽ/ゼヱヽ	日	假開三馬	上
仁	ジン	日	臻開三真	平
忍	ジン	日	臻開三軫	上
認	ジン	日	臻開三震	去
人	ジン/シン	日	臻開三真	平
熱	ゼ	日	山開三薛	入
染	ゼン	日	鹹開三琰	上
軟	ゼン/セン	日	山合三狝	上
然	ゼン/セン/ジヱン	日	山開三仙	平
仍	ヂン	日	曾開三蒸	平
兒	ルウ/ルヽ	日	止開三支	平
耳	ルウ/ルヽ	日	止開三止	上
二	ルウ/ルヽ	日	止開三至	去
爾	ルヽ	日	止開三紙	上
而	ルヽ/ルウ	日	止開三之	平
蒻	ジヤ	日	宕開三藥	入
鶸	ジヤ	日	宕開三藥	入
瓤	ジヤン	日	宕開三陽	平
嚷	ジヤン	日	宕開三養	上
孺	ジユイ	日	遇合三虞	平
蕋	ジユイ	日	止合三紙	上
羢	ジヨン	日	通合三東	平
冗	ジヨン	日	通合三腫	上
荏	ジン	日	深開三侵	上
任	ジン	日	深開三侵/深開三沁	去/平
恁	ジン/ニン/シン	日	深開三侵	上
蚋	ズイ	日	山合三薛	入
苒	ゼン	日	鹹開三琰	上
鮞	ルウ	日	止開三之	平
邇	ルウ	日	止開三紙	上
殺	サ	審生	山開二黠	入
沙	サアヽ	審生	假開二麻	平
紗	サアヽ/スアヽ	審生	假開二麻	平
杉	サン	審生	鹹開二鹹	平
衫	サン	審生	鹹開二銜	平
灑	シヤイ	審生	假開二馬	上
山	シヤン	審生	山開二山	平
霜	シヤン	審生	宕開三陽	平
雙	シヤン	審生	江開二江	平
孀	シヤン	審生	宕開三陽	平
師	スウ	審生	止開三脂	平
獅	スウ	審生	止開三脂	平
使	スウ	審生	止開三止	上
稍	スヤ◦ウ	審生	效開二效	去
色	スヱ	審生	曾開三職	入
虱	スヱ	審生	臻開三質	入
蟀	スヱ	審生	臻合三術	入
搜	スヱ◦ウ	審生	流開三尤	平
甥	スヱン	審生	梗開二庚	平
生	ス゚ヱン/スヱン	審生	梗開二庚	平
閂	セン	審生	山合二刪	平
所	ソウ	審生	遇合三語	上
煞	サ	審生	山開二黠	入
霎	サ	審生	鹹開二洽	入
梢	サ◦ウ/スヤ◦ウ	審生	效開二肴	平
鯵	サン	審生	鹹開二銜	平
耍	シヤア	審生	假合二馬	上
洒	シヤイ	審生	蟹開二皆	上
篩	シヤイ	審生	止開三支/蟹開二佳	平
晒	シヤイ	審生	蟹開二卦	去
砂	スアヽ	審生	假開二麻	平
梳	ソウ	審生	遇合三魚	平
疎	ソウ	審生	遇合三魚	平
疏	ソウ	審生	遇合三禦/遇合三魚	去/平
數	ソウ	審生	遇合三遇/遇合三麌	上/去
潸	ツアン	審生	山開二刪	上
栓	ツヱン	審生	山合三仙	平
省	スヱン/スイン	審生/邪	梗開三靜/梗開二梗	上
失	シ	審書	臻開三質	入
濕	シ	審書	深開三緝	入
識	シ	審書	曾開三職	入
式	シ	審書	曾開三職	入
適	シ	審書	梗開三昔	入
釋	シ	審書	梗開三昔	入
室	シ/ジ	審書	臻開三質	入
世	シイ	審書	蟹開三祭	去
勢	シイ	審書	蟹開三祭	去
試	シイ	審書	止開三志	去
收	シウ	審書	流開三尤	平
守	シウ	審書	流開三有	上
手	シウ/ジウ	審書	流開三有	上
首	シウ/ジウ	審書	流開三有	上
燒	シヤ◦ウ	審書	效開三宵	平
商	シヤン	審書	宕開三陽	平
傷	シヤン	審書	宕開三陽	平
賞	シヤン	審書	宕開三養	上
書	シユイ	審書	遇合三魚	平
輸	シユイ	審書	遇合三虞	平
庶	シユイ	審書	遇合三禦	去
舜	シユン	審書	臻合三	去
叔	シヨ	審書	通合三屋	入
束	シヨ	審書	通合三燭	入
賒	シヱヽ	審書	假開三麻	平
奢	シヱヽ/セヱヽ	審書	假開三麻	平
身	シン	審書	臻開三真	平
深	シン	審書	深開三侵	平
審	シン	審書	深開三寢	上
嬸	シン	審書	深開三寢	上
升	シン	審書	曾開三蒸	平
聲	シン	審書	梗開三清	平
聖	シン	審書	梗開三勁	去
水	スイ	審書	止合三旨	上
施	スウ	審書	止開三支	平
詩	スウ	審書	止開三之	平
矢	スウ	審書	止開三旨	上
始	スウ	審書	止開三止	上
屎	スウ	審書	止開三旨	上
黍	スヱ	審書	遇合三語	上
設	セ	審書	山開三薛	入
扇	セン	審書	山開三線	去
仇	ヂウ	審書	流開三尤	平
鼠	チユイ	審書	遇合三語	上
少	シヤ◦ウ	審書	效開三小/效開三笑	上/去
晌	シヤン	審書	宕開三養	上
声	シン	審書	梗開三清	平
勝	シン	審書	曾開三蒸/曾開三證	去/平
鳲	スウ	審書	止開三脂	平
蟴	スウ	審書	止開三支	平
蟖	スウ	審書	止開三支	平
説	セ	審書	山合三薛	入
舍	セヱヽ	審書	假開三祃/假開三馬	上/去
捨	セヱヽ/シヱヽ	審書	假開三馬	上
搠	チヨ	審書	江開二覺	入
弽	テ	審書	鹹開三葉	入
疋	ピ	疏	止開三所	上
塌	タ	透	鹹開一盍	入
踏	ダ	透	鹹開一合	入
討	タ◦ウ	透	效開一皓	上
套	タ◦ウ	透	效開一號	去
他	タアヽ	透	果開一歌	平
太	タイ	透	蟹開一泰	去
泰	タイ	透	蟹開一泰	去
貪	タン	透	鹹開一覃	平
毯	タン	透	鹹開一敢	上
炭	タン	透	山開一翰	去
踢	テ	透	梗開四錫	入
貼	テ	透	鹹開四貼	入
鐵	テ	透	山開四屑	入
偷	テ◦ウ	透	流開一侯	平
透	テ◦ウ	透	流開一候	去
梯	テイ	透	蟹開四齊	平
體	テイ	透	蟹開四薺	上
剃	テイ	透	蟹開四霽	去
替	テイ	透	蟹開四霽	去
挑	テヤ◦ウ	透	效開四蕭	平
添	テン	透	鹹開四添	平
天	テン/テ	透	山開四先	平
推	トイ	透	蟹合一灰	平
退	トイ	透	蟹合一隊	去
土	トウ	透	遇合一姥	上
兔	トウ	透	遇合一暮	去
妥	トウ	透	果合一果	上
通	トン	透	通合一東	平
桶	トン	透	通合一董	上
統	トン	透	通合一宋	去
痛	トン	透	通合一送	去
獺	タ	透	山開一曷	入
歹	タイ	透	蟹開一咍	上
擡	ダイ/タイ	透	蟹開一咍	平
癱	タン	透	山開一寒	平
探	タン	透	鹹開一勘	去
嘆	タン	透	山開一翰	去
倘	タン	透	宕開一蕩	上
籜	ツヱ	透	宕開一鐸	入
忒	テ	透	曾開一德	入
帖	テ	透	鹹開四貼	入
逖	デ	透	梗開四錫	入
嚏	テイ	透	蟹開四霽	去
鷉	デイ	透	蟹開四齊	平
聽	テイン	透	梗開四徑/梗開四青	去/平
腆	テン	透	山開四銑	上
托	ト	透	宕開一鐸	入
託	ト	透	宕開一鐸	入
脱	ト	透	山合一末	入
吐	トウ	透	遇合一姥/遇合一暮	上/去
唾	ドウ	透	果合一過	去
微	ウイ	微	止合三微	平
尾	ウイ	微	止合三尾	上
未	ウイ	微	止合三未	去
味	ウイ	微	止合三未	去
無	ウヽ	微	遇合三虞	平
武	ウヽ	微	遇合三麌	上
侮	ウヽ	微	遇合三麌	上
舞	ウヽ	微	遇合三麌	上
務	ウヽ	微	遇合三遇	去
物	ウヱ	微	臻合三物	入
文	ウヱン	微	臻合三文	平
蚊	ウヱン	微	臻合三文	平
聞	ウヱン	微	臻合三文	平
問	ウヱン	微	臻合三問	去
勿	ホ	微	臻合三物	入
襪	ワ/ワツ	微	山合三月	入
晚	ワン	微	山合三阮	上
萬	ワン	微	山合三願	去
亡	ワン	微	宕合三陽	平
網	ワン	微	宕合三養	上
妄	ワン	微	宕合三漾	去
忘	ワン	微	宕合三漾	去
望	ワン	微	宕合三漾	去
薇	ウイ	微	止合三微	平
鵡	ウヽ	微	遇合三麌	上
蔓	マン	微	山合三願	去
万	ワン	微	山合三願	去
磕	カ	溪	鹹開一盍	入
渴	カ	溪	山開一曷	入
考	カ◦ウ	溪	效開一皓	上
靠	カ◦ウ	溪	效開一號	去
開	カイ	溪	蟹開一咍	平
堪	カン	溪	鹹開一覃	平
康	カン	溪	宕開一唐	平
欺	キイ	溪	止開三之	平
杞	キイ	溪	止開三止	上
起	キイ	溪	止開三止	上
豈	キイ	溪	止開三尾	上
氣	キイ	溪	止開三未	去
棄	キイ	溪	止開三至	去
器	キイ	溪	止開三至	去
企	ギイ/キイ	溪	止開三紙	上
恰	キヤ	溪	鹹開二洽	入
卻	キヤ	溪	宕開三藥	入
敲	キヤ◦ウ	溪	效開二肴	平
巧	キヤ◦ウ	溪	效開二巧	上
腔	キヤン	溪	江開二江	平
驅	キユイ	溪	遇合三虞	平
訣	キヱ	溪	山合四屑	入
屈	キヱ	溪	臻合三物	入
缺	キヱ	溪	山合四屑	入
犬	キヱン	溪	山合四銑	上
勸	キヱン	溪	山合三願	去
傾	キン	溪	梗合三清	平
慶	キン	溪	梗開三映	去
欽	キン	溪	深開三侵	平
塊	クイ	溪	蟹合一隊	去
虧	クイ	溪	止合三支	平
枯	クウ	溪	遇合一模	平
苦	クウ	溪	遇合一姥	上
誇	クハア	溪	假合二麻	平
快	クハイ	溪	蟹合二夬	去
寬	クハン	溪	山合一桓	平
款	クハン	溪	山合一緩	上
筐	クハン	溪	宕合三陽	平
捆	クン	溪	臻合一混	上
困	クン	溪	臻合一慁	去
克	ゲ	溪	曾開一德	入
客	ゲ/ケ	溪	梗開二陌	入
口	ケ◦ウ	溪	流開一厚	上
寇	ケ◦ウ	溪	流開一候	去
牽	ケン	溪	山開四先	平
謙	ケン	溪	鹹開四添	平
遣	ケン	溪	山開三狝	上
欠	ケン	溪	鹹開三釅	去
歉	ケン	溪	鹹開四掭	去
坑	ケ゚ン	溪	梗開二庚	平
肯	ケン/ケ゚ン/ ヴン	溪	曾開一等	上
殼	コ	溪	江開二覺	入
科	コウ	溪	果合一戈	平
可	コウ	溪	果開一哿	上
孔	コン	溪	通合一董	上
恐	コン	溪	通合三腫	上
控	コン	溪	通合一送	去
摳	ヱへ◦ウ	溪	流開一侯	平
拷	カ◦ウ	溪	效開一皓	上
慨	カイ	溪	蟹開一代	去
砍	カン	溪	鹹開一感	上
看	カン	溪	山開一寒/山開一翰	去/平
慷	カン	溪	宕開一蕩	上
喫	キ	溪	梗開四錫	入
詰	キ	溪	臻開三質	入
契	キイ	溪	蟹開四霽	去
憩	キイ	溪	蟹開四霽	去
谿	キイ	溪	蟹開四齊	平
蚯	キウ	溪	流開三尤	平
驍	キヤ◦ウ	溪	效開四蕭	平
區	キユイ	溪	遇合三虞	平
去	キユイ	溪	遇合三禦	去
曲	キヨ	溪	通合三燭	入
麴	キヨ	溪	通合三屋	入
鎧	クイ	溪	蟹開一海	上
刻	ケ	溪	曾開一德	入
叩	ケ◦ウ	溪	流開一厚	上
慳	ケン	溪	山開二山	平
芡	ケン	溪	鹹開三琰	上
蝌	コウ	溪	果合一戈	平
空	コン	溪	通合一東/通合一送	去/平
鱠	ヲ	溪	蟹合一泰	去
圈	キヱン	溪/群	山合三仙/山合三狝	上/平
輕	キン	溪/照莊	梗開三清/止開三之	平
含	アン/ハン	匣	鹹開一覃	平
奚	イヽ	匣	蟹開四齊	平
杏	イン/ヒン	匣	梗開二梗	上
乎	ウヽ	匣	遇合一模	平
狐	ウヽ	匣	遇合一模	平
胡	ウヽ	匣	遇合一模	平
壺	ウヽ	匣	遇合一模	平
湖	ウヽ	匣	遇合一模	平
互	ウヽ	匣	遇合一暮	去
戶	ウヽ	匣	遇合一姥	上
護	ウヽ	匣	遇合一暮	去
核	ウヲ	匣	臻合一沒	入
或	ウヲ	匣	曾合一德	入
惑	ウヲ	匣	曾合一德	入
獲	ウヲ	匣	梗合二麥	入
活	ウヲ/ウヱ	匣	山合一末	入
撼	カン	匣	鹹開一感	上
械	キヤイ	匣	蟹開二怪	去
莧	キヱン/ヒヱン	匣	山開二襇	去
毫	ハ◦ウ	匣	效開一豪	平
豪	ハ◦ウ/ア◦ウ	匣	效開一豪	平
畫	ハアヽ/ワアヽ	匣	蟹合二卦	去
話	ハアヽ/ワアヽ	匣	蟹合二夬	去
害	ハアイ/ハイ	匣	蟹開一泰	去
旱	ハアン	匣	山開一旱	上
撼	ハアン	匣	鹹開一感	上
翰	ハアン	匣	山開一翰	去
寒	ハアン/ハン	匣	山開一寒	平
汗	ハアン/ハン	匣	山開一翰	去
孩	ハイ	匣	蟹開一咍	平
遐	ヒヤア	匣	假開二麻	平
暇	ヒヤア	匣	假開二祃	去
鞋	ヒヤイ	匣	蟹開二佳	平
蟹	ヒヤイ	匣	蟹開二蟹	上
學	ヒヨ	匣	江開二覺	入
協	ヒヱ	匣	鹹開四貼	入
閑	ヒヱン	匣	山開二山	平
賢	ヒヱン	匣	山開四先	平
限	ヒヱン	匣	山開二產	上
現	ヒヱン	匣	山開四霰	去
玄	ヒヱン	匣	山合四先	平
懸	ヒヱン	匣	山合四先	平
幸	ヒン	匣	梗開二耿	上
猴	へ◦ウ	匣	流開一侯	平
厚	へ◦ウ	匣	流開一厚	上
後	へ◦ウ	匣	流開一厚	上
候	へ◦ウ	匣	流開一候	去
恨	へヱン	匣	臻開一恨	去
鶴	ホ	匣	宕開一鐸	入
合	ホ/カ	匣	鹹開一合	入
何	ホウ	匣	果開一歌	平
河	ホウ	匣	果開一歌	平
洪	ホン	匣	通合一東	平
紅	ホン	匣	通合一東	平
鴻	ホン	匣	通合一東	平
狹	ヤ	匣	鹹開二洽	入
螢	ヨン	匣	梗合四青	平
槐	ライ	匣	蟹合二皆	平
鶴	リヤ◦ウ	匣	宕開一鐸	入
滑	ワ	匣	山合二黠	入
緩	ワアン/ワン	匣	山合一緩	上
懷	ワイ	匣	蟹合二皆	平
壞	ワイ	匣	蟹合二怪	去
患	ワン	匣	山合二諫	去
換	ワン	匣	山合一換	去
皇	ワン	匣	宕合一唐	平
黃	ワン	匣	宕合一唐	平
完	ワン	匣	山合一桓	平
穴	ヱ	匣	山合四屑	入
銜	ヱン	匣	鹹開二銜	平
陷	ヱン	匣	鹹開二陷	去
斛	ヲ	匣	通合一屋	入
惠	ヲイ	匣	蟹合四霽	去
慧	ヲイ	匣	蟹合四霽	去
回	ヲイ/オイ	匣	蟹合一灰	平
禍	ヲウ/ホウ	匣	果合一果	上
葫	ウヽ	匣	遇合一模	平
瑚	ウヽ	匣	遇合一模	平
蝴	ウヽ	匣	遇合一模	平
糊	ウヽ	匣	遇合一模	平
蠖	ウヲ	匣	宕合一鐸	入
渾	ウヲン	匣	臻合一魂	平
混	ウヲン	匣	臻合一混	上
鱟	ガ◦ウ	匣	流開一厚	上
係	キイ	匣	蟹開四齊	平
挾	キヤ	匣	鹹開二洽	入
薤	キヤイ	匣	蟹開二怪	去
薢	キヤイ	匣	蟹開二怪	去
貉	コ	匣	宕合一鐸	入
鵠	コ	匣	通合一屋	入
號	ハ◦ウ	匣	效開一號/效開一豪	去/平
曷	ハア	匣	山開一曷	入
華	ハアヽ	匣	假合二祃/假合二麻	去/平
撶	ハアヽ	匣	山合二黠	入
樺	ハアヽ	匣	假合二祃	去
凾	ハアン	匣	鹹開一覃	平
捍	ハアン	匣	山開一翰	去
鰕	ヒヤア	匣	假開二麻	平
夏	ヒヤア	匣	假開二祃/假開二馬	上/去
下	ヒヤア/ヒヤヽ	匣	假開二祃/假開二馬	上/去
駭	ヒヤイ	匣	蟹開二駭	上
絃	ヒヱン	匣	山開四先	平
泫	ヒヱン	匣	山合四先	上
倖	ヒン	匣	梗開二耿	上
行	ヒン/ハアン	匣	宕開一唐/梗開二庚/梗開二映	去/平
后	へ◦ウ	匣	流開一厚	上
狠	へヱン	匣	臻開一痕	上
盒	ホ	匣	鹹開一談	平
蕙	ホイ	匣	蟹合四齊	去
和	ホウ	匣	果合一戈/果合一過	去/平
横	ホン	匣	梗合二庚	平
筪	ヤ	匣	鹹開二洽	入
憪	リン	匣	山開二刪	平
猾	ワ	匣	山合二黠	入
画	ワアヽ	匣	蟹合二卦	去
莞	ワン	匣	山合一桓	平
槵	ワン	匣	山合二諫	去
鯇	ワン	匣	山合一桓	上
凰	ワン	匣	宕合一唐	平
惶	ワン	匣	宕合一唐	平
蟥	ワン	匣	宕合一唐	平
丸	ワン	匣	山合一桓	平
還	ワン/ハン	匣	山合二刪	平
褐	ヱヽ	匣	山開一曷	入
啣	ヱン	匣	鹹開二銜	平
鷳	ヱン	匣	山開二刪	平
猢	ヲ	匣	遇合一模	平
槲	ヲ	匣	江開二覺	入
廻	ヲイ	匣	蟹合一灰	平
蛔	ヲイ	匣	蟹合一灰	平
解	キヤイ	匣/見	蟹開二蟹	上
降	キヤン	匣/見	江開二江/江開二絳	去/平
會	ヲイ	匣/見	蟹合一泰	去
蝦	ヒヤア	匣/曉	假開二麻	平
荷	ホウ	匣/曉	果開一個/果開一歌	去/平
耗	ハ◦ウ	曉	效開一號	去
花	ハアヽ	曉	假合二麻	平
化	ハアヽ	曉	假合二祃	去
海	ハアイ/ハイ	曉	蟹開一海	上
罕	ハアン	曉	山開一旱	上
漢	ハアン	曉	山開一翰	去
喊	ハアン/ハン	曉	鹹開一敢	上
歡	ハン	曉	山合一桓	平
荒	ハン	曉	宕合一唐	平
慌	ハン	曉	宕合一唐	平
謊	ハン	曉	宕合一蕩	上
況	ハン	曉	宕合三漾	去
喚	ハン/ワン	曉	山合一換	去
希	ヒイ	曉	止開三微	平
稀	ヒイ	曉	止開三微	平
喜	ヒイ	曉	止開三止	上
戲	ヒイ	曉	止開三寘	去
休	ヒウ	曉	流開三尤	平
囂	ヒヤ◦ウ	曉	效開三宵	平
曉	ヒヤ◦ウ	曉	效開四筱	上
孝	ヒヤ◦ウ	曉	效開二效	去
香	ヒヤン	曉	宕開三陽	平
享	ヒヤン	曉	宕開三養	上
向	ヒヤン	曉	宕開三漾	去
許	ヒユイ	曉	遇合三語	上
訓	ヒユン	曉	臻合三問	去
兄	ヒヨン	曉	梗合三庚	平
吸	ヒヱ	曉	深開三緝	入
歇	ヒヱ	曉	山開三月	入
血	ヒヱ	曉	山合四屑	入
險	ヒヱン	曉	鹹開三琰	上
顯	ヒヱン	曉	山開四銑	上
喧	ヒヱン	曉	山合三元	平
掀	ヒン	曉	山開三元	平
欣	ヒン	曉	臻開三殷	平
興	ヒン	曉	曾開三證	去
虎	フウ	曉	遇合一姥	上
黑	ペ/へヱ	曉	曾開一德	入
忽	ホ	曉	臻合一沒	入
輝	ホイ	曉	止合三微	平
悔	ホイ	曉	蟹合一賄	上
賄	ホイ	曉	蟹合一賄	上
諱	ホイ	曉	止合三未	去
灰	ホウ	曉	蟹合一灰	平
火	ホウ	曉	果合一果	上
貨	ホウ	曉	果合一過	去
昏	ホヲン	曉	臻合一魂	平
葷	ホヲン	曉	臻合三文	平
婚	ホヲン/ホン	曉	臻合一魂	平
轟	ホン	曉	梗合二耕	平
喝	カ	曉	山開一曷/鹹開一合	入
莶	ケン	曉	鹹開三琰	平
戽	スウ	曉	遇合一暮	去
蓄	チヨ	曉	通合三屋	入
嗨	ト	曉	蟹開一咍	平
蒿	ハ◦ウ	曉	效開一豪	平
好	ハ◦ウ	曉	效開一皓/效開一號	上/去
𦻎	ヒイ	曉	止開三脂	平
嘻	ヒイ	曉	止開三之	平
鯑	ヒイ	曉	止開三之	平
郷	ヒヤン	曉	宕開三陽	平
響	ヒヤン	曉	宕開三養	上
虚	ヒユイ	曉	遇合三魚	平
嘘	ヒユイ	曉	遇合三魚	平
凶	ヒヨン	曉	通合三鐘	平
兇	ヒヨン	曉	通合三鐘	平
萱	ヒヱン	曉	山合三元	平
滸	フウ	曉	遇合一姥	上
嚇	ホ	曉	假開二祃/梗開二陌	入/去
喙	ホイ	曉	蟹合三廢	去
誨	ホイ	曉	蟹合一賄	去
毁	ボイ	曉	止合三紙	上
伙	ホウ	曉	果合一果	上
夥	ホウ	曉	果合一果	上
烘	ホン	曉	通合一東	平
寺	スウ	邪	止開三志	去
似	ズウ	邪	止開三止	上
雪	スヱ	邪	山合三薛	入
松	ソン	邪	通合三鐘	平
遂	ヅイ/ツイ	邪	止合三至	去
尋	ツイン/ヅイン	邪	深開三侵	平
辭	ヅウ	邪	止開三之	平
祥	ヅヤン	邪	宕開三陽	平
象	ヅヤン	邪	宕開三養	上
像	ヅヤン	邪	宕開三養	上
詳	ツヤン/ヅヤン	邪	宕開三陽	平
敘	ヅユイ	邪	遇合三語	上
續	ヅヨ	邪	遇合三遇	去
夕	ヅヱ	邪	梗開三昔	入
席	ヅヱ	邪	梗開三昔	入
習	ツヱ/ヅヱ	邪	深開三緝	入
斜	ヅヱヽ	邪	假開三麻	平
謝	ヅヱヽ	邪	假開三祃	去
涎	ツヱン	邪	山開三仙	平
旋	ツヱン	邪	山合三仙	平
俗	ヅヲ	邪	通合三燭	入
誦	ヅヲン	邪	通合三用	去
穗	ヲイ	邪	止合三至	去
隨	ヅイ	邪	止合三支	平
燼	ツイン	邪	臻開三震	去
辞	ヅウ/ツウ	邪	止開三之	平
羡	ヅヱン/ツヱン	邪	山開三線	去
三	サン	心	鹹開一談	平
傘	サン	心	山開一旱	上
桑	サン	心	宕開一唐	平
珊	サン	心	山開一寒	平
碎	スイ	心	蟹合一隊	去
雖	スイ/ツイ	心	止合三脂	平
心	スイン	心	深開三侵	平
辛	スイン	心	臻開三真	平
新	スイン	心	臻開三真	平
薪	スイン	心	臻開三真	平
信	スイン	心	臻開三震	去
星	スイン	心	梗開四青	平
醒	スイン	心	梗開四迥	上
性	スイン	心	梗開三勁	去
姓	スイン	心	梗開三勁	去
賜	スウ	心	止開三寘	去
司	スウ	心	止開三之	平
私	スウ	心	止開三脂	平
思	スウ	心	止開三之	平
斯	スウ	心	止開三支	平
絲	スウ	心	止開三之	平
廝	スウ	心	止開三支	平
死	スウ	心	止開三旨	上
四	スウ	心	止開三至	去
肆	スウ	心	止開三至	去
消	スヤ◦ウ	心	效開三宵	平
宵	スヤ◦ウ	心	效開三宵	平
硝	スヤ◦ウ	心	效開三宵	平
簫	スヤ◦ウ	心	效開四蕭	平
小	スヤ◦ウ	心	效開三小	上
廂	スヤン	心	宕開三陽	平
箱	スヤン	心	宕開三陽	平
想	スヤン	心	宕開三養	上
秀	スユウ	心	流開三宥	去
修	スユウ/シユイ	心	流開三尤	平
羞	スユウ/スヤウ	心	流開三尤	平
塞	スヱ	心	曾開一德	入
昔	スヱ	心	梗開三昔	入
息	スヱ	心	曾開三職	入
惜	スヱ	心	梗開三昔	入
膝	スヱ	心	臻開三質	入
恤	スヱ	心	臻合三術	入
薛	スヱ	心	山開三薛	入
嫂	スヱ◦ウ	心	效開一皓	上
西	スヱヽ	心	蟹開四齊	平
犀	スヱヽ	心	蟹開四齊	平
洗	スヱヽ	心	蟹開四薺	上
細	スヱヽ	心	蟹開四霽	去
些	スヱヽ	心	假開三麻	平
寫	スヱヽ	心	假開三馬	上
須	スヱヽ/スヱ	心	遇合三虞	平
僧	スヱン	心	曾開一登	平
仙	スヱン	心	山開三仙	平
先	スヱン	心	山開四先	平
線	スヱン	心	山開三線	去
選	スヱン	心	山合三狝	上
宿	ソ	心	通合三屋	入
粟	ソ	心	通合三燭	入
蘇	ソウ	心	遇合一模	平
素	ソウ	心	遇合一暮	去
訴	ソウ	心	遇合一暮	去
蓑	ソウ	心	果合一戈	平
酸	ソハン	心	山合一桓	平
蒜	ソハン	心	山合一換	去
損	ソヲン	心	臻合一混	上
遜	ソヲン	心	臻合一慁	去
孫	ソヲン/ソン	心	臻合一魂	平
宋	ソン	心	通合一宋	去
送	ソン	心	通合一送	去
靜	ヅイン	心	梗開三靜	上
棲	ツユイ	心	蟹開四齊	平
絕	ヅヱ/ツヱ	心	山合三薛	入
鲞	キヱン	心	宕開三養	上
撒	サ	心	山開一曷	入
臊	サ◦ウ	心	效開一豪	平
掃	サ◦ウ	心	效開一皓/效開一號	上/去
搔	サ゚◦ウ	心	效開一豪	平
散	サン	心	山開一旱/山開一翰	上/去
喪	サン	心	宕開一唐/宕開一宕	去/平
猩	スイン	心	梗開三清	平
駟	スウ	心	止開三至	去
楔	スヤ	心	山開四屑	入
屧	スヤ	心	鹹開三葉	入
鞘	スヤ◦ウ	心	效開三笑	去
蛸	スヤ◦ウ	心	效開三宵	平
𣭱	スヤ◦ウ	心	效開三宵	平
𣕇	スヤ◦ウ	心	效開三宵	平
咲	スヤ◦ウ	心	效開三笑	去
相	スヤン	心	宕開三漾/宕開三陽	去/平
綉	スユウ	心	流開三宥	去
𧑓	スヱ	心	臻合三術	入
蟋	スヱ	心	臻開三質	入
媳	スヱ	心	曾開三職	入
泄	スヱ	心	山開三薛	入
鱈	スヱ	心	山開三薛	入
鯣	スヱ	心	梗開三昔	入
樨	スヱヽ	心	止開三支	平
婿	スヱヽ	心	蟹開四霽	去
鮮	スヱン	心	山開三仙/山開三狝	上/平
筅	スヱン	心	山開四先	上
鮏	スヱン	心	梗開三清	平
鰚	スヱン	心	山開三薛	入
索	ソ	心	宕開一鐸	入
歳	ソイ	心	蟹合三祭	去
唆	ソウ	心	果合一戈	平
梭	ソウ	心	果合一戈	平
嗦	ソウ	心	果合一戈	平
嗩	ソウ	心	果合一戈	平
鎻	ソウ	心	果合一果	上
筭	ソハン/ソワン	心	山合一換	去
猻	ソヲン	心	臻合一魂	平
笋	ソヲン	心	臻合三准	上
鬆	ソン	心	通合三鐘	平
悚	ソン	心	通合三鐘	上
