序號	詞目	詞性	詞目索引	音讀	方言點	釋義	例句	相似詞	相反詞	對應音檔名稱
5593	治病	動	詞目分類索引/疾病醫療	chi55 piang55		治療疾病，使病人恢復健康。	例：該醫生治病个技術恁好，當受病人个歡迎。(那醫生治療疾病的技術很好，很受病人的歡迎。)	治療　調理　醫治		hk0000001178-1-5
5594	刺			ci31		細而尖銳的東西。	例：骨刺。			
5595	柿			ki55		植物名。柿樹科柿樹屬，落葉喬木。開淡黃色花。果實亦稱為「柿子」，為球形或扁球形，熟時橙黃或橙紅色，可以食用，或製為柿餅。品種很多。				hk0000001180-1-5
5596	柿花	名		ki55 fa11		1.指柿子花。　2.柿子乾，即柿餅。	例：阿妹當喜愛白色个柿花。(（妹妹很喜愛白色的柿子花。）) 例：柿仔乾四縣話又安作柿花。(（柿子乾四縣話又叫做柿花。）)	柿仔花柿餅		hk0000001183-1-5
5597	痔	名		chi55		痔瘡。	例：醫生講：會祕結个人較會生痔。(（醫生說：患便祕的人容易得痔瘡。）)			hk0000001185-1-5
5598	試	動		chi31		1.嘗試，依照預定的想法非正式地做。　2.試探。	例：試用、試䀴望(（試試看）) 例：試探。			hk0000001186-1-5
5599	試探	動		chi31 tam31		測試。	例：摎細人仔洗身前愛先試探啊水會忒燒無。(幫小孩子洗澡前要先試探一下水會不會太熱。)			hk0000001190-1-5
5600	飼	動	詞目分類索引/表情動作 詞目分類索引/飲食	cu55　又讀ci55　又讀ci31　又讀cii31		餵食。	例：飼飯（餵飯）、飼細子（餵小孩）。	供		hk0000001191-1-5
5601	雌			ci11		陰性的、母的。與「雄」相對。	例：雄雌。			hk0000001193-1-5
5602	醋		詞目分類索引/飲食	cu31		以米、麥、高粱等為原料釀成，用來調味的酸味液體。	例：酸醋。			hk0000001196-1-5
5603	熾			chi31		1.火勢旺盛。　2.燃燒。	例：熾熱。 例：火熾。			hk0000001197-1-5
5604	斥			chid24		排除拒絕、摒棄不用。	例：排斥。			hk0000001198-1-5
5605	直		詞目分類索引/人物品評 詞目分類索引/事物情狀	chid43		1.正、不彎曲的。　2.公正合理、不邪曲，沒有私心的。　3.行為或性格坦白爽快。　4.縱的、豎的，與「橫」相反。　5.沒有間隔的、徑直。　6.連續不斷地。　7.使直、挺直。　8.漢字筆畫裡，自上往下、沒有轉折的筆畫。	例：直直。 例：正直。 例：直腸直肚。 例：直線。 例：直達車。 例：一直。 例：直起來。			hk0000001199-1-5
5606	直徑	名	詞目分類索引/教育文化	chid43 gang31		連接圓周上的二點並通過圓心，或連接球面上的二點並通過球心的直線。	例：一隻網球个直徑差毋多有六、七公分長。(一個網球的直徑差不多有六、七公分長。)			hk0000001201-1-5
5607	直角	名	詞目分類索引/教育文化	chid43 goo24		兩直線垂直相交所成的角。其角度為九十度。	例：這兩條岔路形成一個直角。(這兩條岔路形成一個直角。)			hk0000001202-1-5
5608	直達	動	詞目分類索引/交通通訊	chid43 tad43		中間不停的。	例：這枋火車直達苗栗。(這班火車中間不停直接抵達苗栗。)	直透　直通		hk0000001204-1-5
5609	直透	形	詞目分類索引/交通通訊	chid43 teu31		直接通到某處，不需要轉折。	例：這條巷仔直透到大路。(這條巷子直接通到大馬路。)	直達　直通		hk0000001205-1-5
5610	姪		詞目分類索引/稱謂身分	chid43		1.稱謂。稱呼兄弟的子女，又作「侄」。　2.稱呼親友的子女。　3.對父執輩的自稱。	例：姪仔。 例：賢姪。 例：子姪。			hk0000001211-1-5
5611	姪孫		詞目分類索引/稱謂身分	chid43 sun11		稱謂。稱兄弟的孫子，即姪子的小孩。	例：吾姪孫當聰明，盡會讀書。(我的姪孫很聰明，真會讀書。)			hk0000001215-1-5
5612	姪孫女		詞目分類索引/稱謂身分	chid43 sun11 m31		稱謂。稱兄弟的孫女。	例：吾姪孫女在小學做老師。(我的姪孫女在學校當老師。)			hk0000001216-1-5
5613	值			chid43		1.用來形容非金錢上的價值。　2.執行勤務。　3.遇到。　4.在數學上指依數學式演算所得到的結果。	例：毋值得一提。 例：值班。 例：值此良辰。 例：平均值。			hk0000001217-1-5
5614	值夜	動	詞目分類索引/產業勞動	chid43 rhia55		於夜晚執行勤務或工作。	例：昨暗晡老妹在醫院值夜，佢這下還在該睡目。(昨天晚上妹妹在醫院值夜，他現在還在那睡覺。)			
5615	值日			chid43 ngid24		按照排定的日期擔任職務。	例：這禮拜日輪著阿爸值日，所以佢愛上班，無通歇睏。(（這禮拜天輪到爸爸值日，所以他要上班，沒得放假。）)	值勤當值值班當班		
5616	植		詞目分類索引/植物	chid43		1.泛指花草樹木的總稱。　2.培育、栽種。　3.樹立。	例：植物。 例：種植。 例：植黨營私。			hk0000001221-1-5
5617	植樹節		詞目分類索引/時間節令	chid43 shi55 zied24		節日名。民國十四年三月十二日，國父孫中山先生於北平逝世，政府為紀念國父，遵其造林的遺教，遂定每年此日為「植樹節」以資紀念。				hk0000001223-1-5
5618	植物園	名	詞目分類索引/植物	chid43 bbud43 bbien53		蒐羅各類植物，並將其栽種於一定區域之內，以作為提供學術研究或觀賞的地方。	例：植物園裡背有恁多當靚个蓮花。(植物園裡面有很多很漂亮的蓮花。)			hk0000001224-1-5
5619	殖			chid43		1.生長、孳生。　2.栽種、種植。　3.經營、生財。　4.移住、遷徙。	例：繁殖。 例：墾殖。 例：貨殖。 例：殖民。			hk0000001225-1-5
5620	飭		詞目分類索引/產業勞動	chid43		1.整頓、治理。　2.申告勸誡。通「敕」。　3.命令。　4.謹慎、嚴謹貌。	例：整飭。 例：飭厲。 例：飭令。 例：謹飭。			hk0000001226-1-5
5621	深		詞目分類索引/事物情狀	chim11		1.指上下、內外的距離很大。與「淺」相對。　2.精微、程度高。　3.濃厚、密切。　4.形容時間的久或晚。　5.極、甚。	例：深落。 例：艱深。 例：深紅色。 例：夜深人靜。 例：深信。			hk0000001227-1-5
5622	深坑	名	詞目分類索引/空間方位	chim11 kang11		1.人跡罕至的山溝。　2.鄉鎮名。位於臺北東南側，景美溪北岸，面積約二十點五七八七平方公里。	例：有人毋堵好跌落深坑肚，該載有阿伯𢯭手將佢兜救起來。(有人不小心跌到山溝裡，幸好有伯父幫忙將他們救起來。)			hk0000001228-1-5
5623	深遠	形	詞目分類索引/事物情狀	chim11 bbien31		深微遠大。	例：「勤儉耐勞，清風明月」个客家精神，影響客家後輩相當个深遠。(「勤儉耐勞，清風明月」的客家精神，影響客家後輩相當的深遠。)	深刻		hk0000001229-1-5
5624	深刻		詞目分類索引/思維心態 詞目分類索引/人物品評 詞目分類索引/事物情狀	chim11 kied24		1.待人峻密刻薄。　2.深入內心，難以忘懷。　3.見解精闢透澈，含意深遠。　4.深切、切實。	阿叔做事當認真又當深刻。(該人非常慈悲，一見面就有深刻个印象。) 阿姑發表了非常深刻个演講，分聽著个人都當感動。(經過這擺个教訓，分𫣆這兜深刻體會著健康个重要。) (叔叔做事很認真又很嚴峻。) 那人非常慈悲，一見面就有深刻的印象。(姑姑發表了非常深刻的演講，讓聽到的人都很感動。) 經過這次的教訓，讓我們這些人體會到健康的重要。	深遠		hk0000001230-1-5
5625	深落		詞目分類索引/事物情狀 詞目分類索引/建築住居	chim11 loo55		形容房屋縱深很長。	例：遐排屋逐間都真深落，屋內个採光驚無幾好。(那排房子每間縱深都很長，屋內的採光恐怕不太好。)	深間	淺間	hk0000001231-1-5
5626	深淺			chim11 cien31		1.原指水深的程度。　2.引申形容事物的強弱、大小或輕重。	毋知該條坑水深淺係仰般？人做得行過去無？(無行出社會，哪知得社會个深淺？) (不知那條溪水的深度如何？人可以走過去嗎？) 沒有走出社會，怎知道社會的深淺？			hk0000001232-1-5
5627	深潭	名	詞目分類索引/天文地理	chim11 tam53		形容水很深的潭。	例：田尾个深潭裡背有當多魚仔。(田尾的深潭裡面有很多魚。)			hk0000001233-1-5
5628	深信			chim11 sin31		深信不疑，非常相信，毫不懷疑。	例：佢深信算命先生講个事，毋敢帶疑。(（他對算命先生講的話深信不疑，不敢懷疑。）)			hk0000001234-1-5
5629	沉		詞目分類索引/事物情狀	chim53		1.非外力所致而沒、進入水中。與「浮」相對。　2.往下降落。　3.陷溺、執迷。　4.積久、長久。　5.形容聲音悶悶的。　6.深、深切。　7.沈沒在河流中的木材。	例：沉沒。 例：沉落底了。 例：沉迷不返。 例：沉忒。 例：沉沉。 例：沉醉。 例：沉底樹。			hk0000001235-1-5
5630	沉重	形	詞目分類索引/事物情狀	chim53 chung11		1.形容物體的重量不輕。　2.形容病勢嚴重或心情上壓力、負擔很大。	例：阿爸去外國，堵堵正尞轉來，沉重个行李袋裡背裝當多个禮物。(爸爸去外國，剛剛才玩回來，沉重的行李袋裡面裝了很多的禮物。) 例：聽到厥阿姆發病了，該細人仔个心情當沉重。(聽到他媽媽生病了，那小孩的心情很沉重。)			hk0000001236-1-5
5631	沉海	動		chim53 hoi31		投於、沒入海中。	例：大船沉海時節，會起大波螺皺。(大船沒入海中時，會起大旋渦。)			hk0000001237-1-5
5632	沉淪	動	詞目分類索引/事物情狀	chim53 lun53		1.沉沒。　2.比喻墮落、淪落之意。	例：該條船仔無駛好沉淪了，愛遽遽報警喊人來救。(那艘船不小心沉沒在水中，要趕快報警叫人來救。) 例：若係沉淪「酒色財氣」肚，到老時一切空。(若是沉淪「酒色財氣」中，到老時一切空。)			hk0000001238-1-5
5633	沉迷	動	詞目分類索引/思維心態	chim53 mi53		醉心於某種事物或者意境，入迷難捨。	例：該人沉迷簽彩券，日思夜想簽彩券个步數。(那人沉迷簽彩券，日思夜想簽彩券的好方法。)			hk0000001239-1-5
5634	沉船	動	詞目分類索引/交通通訊	chim53 fien53		船沉了。指船沉沒於海中。	例：所有沉船个船員都尖到海中个救生艇頂高，看起來當危險。(所有沉船的船員都擠到海中的救生艇上面，看起來很危險。)			hk0000001240-1-5
5635	沉		詞目分類索引/表情動作	chim53		因外力所致而被推入、沒入水中。	例：沉水。			hk0000001242-1-5
5636	稱		詞目分類索引/稱謂身分	chin11		1.叫、呼之。　2.述說、表示。　3.讚頌、表揚。　4.自認、自居。　5.舉、興起。　6.名號、名聲。	例：稱呼。 例：稱說。 例：稱讚。 例：稱王。 例：稱兵。 例：稱謂。			hk0000001245-1-5
5637	稱謂	名	詞目分類索引/稱謂身分	chin11 bbui55		對人或物所附加的名稱、稱呼。	例：四縣客家鄉親對親戚个稱謂相當複雜，由於親戚个關係，麼个九十歲个老阿公喊二十歲个後生親戚喊「叔公」！(四縣客家鄉親對親戚的稱謂相當複雜，由於親戚的關係，說什麼九十歲的老阿公喊二十歲的年輕親戚叫「叔公」！)	稱呼		hk0000001246-1-5
5638	稱讚	動	詞目分類索引/人物品評	chin11 zan31		讚譽或讚美表揚他人的好處。	例：不時稱讚該兜細人仔，做得分佢兜加添信心。(經常讚美表揚那些小孩，可以給他們增加信心。)	稱揚　稱說		
5639	呈		詞目分類索引/產業勞動	chin53		1.顯露、表現出來。　2.奉獻給在上者。　3.指舊時下級對上級呈請或報告的公文簽呈，而現行公文則是對總統有所呈請或報告時使用之。	例：呈現。 例：呈獻。 例：呈文。			hk0000001250-1-5
5640	呈現	動		chin53 hien55		顯露、出現。	例：佢盡毋簡單！在恁緊張个時節，面項還做得呈現一息息仔个笑容。(他很不簡單！在這麼緊張的時刻，臉上還能出現一些些的笑容。)	出現　表現 　顯示		
5641	呈獻	動		chin53 hien31		恭敬的奉上、呈給。	例：假使逐儕都將自家个大愛呈獻分社會，恁樣世界定著毋會有戰爭。(假使每個人都將自己的大愛呈獻給社會，這樣世界一定不會有戰爭。)	貢獻　奉獻		
5642	陳			chin53		1.排列、擺設。　2.述說、顯示。　3.舊的、年代久遠的。　4.朝代名。（西元557年～589年）陳霸先代梁而稱帝，建都建康，擁有長江以南的地區，是南朝中版圖最小的王朝。後即為隋所滅。　5.姓。	例：陳列。 例：陳述。 例：陳年。			hk0000001253-1-5
5643	陳列	動		chin53 lied43		把物品依序排列、擺設出來以供人觀賞。	例：博物館裡背陳列了當多當久个古董。(博物館裡面陳列了很多很久的古董。)	排列		hk0000001254-1-5
5644	塵		詞目分類索引/天文地理	chin53		1.飛揚的細小土灰。　2.比喻事跡 、蹤跡。　3.世俗。　4.佛家指稱「塵」為有礙身心開朗的欲念。　5.道家稱其為一世。　6.汙染。　7.長久、久遠。	例：塵灰。 例：步入後塵。 例：塵俗。 例：塵念。 例：一塵。 例：蒙塵。 例：塵封。			hk0000001255-1-5
5645	塵灰			chin53 fue11		塵土、塵埃，泛指灰塵。	風恁大，桌幾下日無捽，面上即一沿塵灰。 風很大，桌子幾天沒擦，上面就一層灰塵。	灰塵　泥粉　塕埃		
5646	澄			chin53		1.形容水靜止而清澈的樣子。　2.讓液體中所含的雜質沉澱，並且使之清澈。	例：澄靜。 例：澄清。			hk0000001257-1-5
5647	橙		詞目分類索引/飲食 詞目分類索引/植物	chin53		2.顏色名，一種黃中帶著微紅的顏色。　1.植物名。芸香科柑屬，常綠小喬木。葉長卵形，於初夏開白花，果實經霜早熟，其形為圓形而色黃，果肉酸性極強，富含維他命Ｃ，可直接食用，或榨成果汁作調味及飲料用。且果皮香氣甚烈，可供藥用。	例：橙色。			hk0000001258-1-5
5648	逞			chin31		1.放縱、恣意行事。　2.顯露、誇耀展示。	例：逞後生。 例：逞強。			hk0000001259-1-5
5649	逞強	動	詞目分類索引/思維心態 詞目分類索引/人物品評	chin31 kiong53		力量不足卻刻意誇顯自己的威勢、能力強。	例：做任何事千萬莫逞強，若係逞強，食虧个係自家。(做任何事千萬不要逞強，若是逞強，吃虧的是自己。)	逞英雄		
5650	逞英雄	動	詞目分類索引/慣用語 詞目分類索引/人物品評	chin31 en11 hiung53		自以為很勇敢，而向人炫耀勇氣。	例：大戇牯盡好逞英雄。(大憨漢最喜歡逞英雄。)	逞強		
5651	陣		詞目分類索引/量詞	chin55		1.軍隊作戰時所布置的隊伍行列或鳥蟲等的行列。　2.作戰時的區域。　3.表示一小段時間。　4.作戰。　5.量詞。指計算事情或動作的單位。常與「一」連用。	例：陣容。 例：陣地。 例：一陣仔。 例：陣亡。			hk0000001262-1-5
5652	陣容	名		chin55 rhung53		原指作戰隊伍的行列樣式。後引申指任何隊伍的外觀，或成員配置的情形。	例：這間補習班个師資陣容當堅強。(這間補習班的師資陣容很堅強。)			hk0000001263-1-5
5653	陣痛	名	詞目分類索引/疾病醫療	chin55 tung31		專指在產婦分娩過程中，因子宮規則收縮時所造成的疼痛。	例：這個婦人家降細人仔，陣痛歸下晝還吂降出來。(這個婦人生小孩，陣痛了整個下午還沒生出來。)			hk0000001264-1-5
5654	秤			chin31		1.衡量物體輕重的一種器具。同「稱」。　2.用秤來測量物體的輕重。同「稱」。	例：秤仔。 例：秤重。			hk0000001267-1-5
5655	秤頭係路頭	諺	詞目分類索引/慣用語 詞目分類索引/產業勞動 詞目分類索引/財經法政	chin31 teu53 he55 lu55 teu53		指做生意要講求公道，斤兩公道的話，生意自然興隆，要不然生意就無人光顧了。	例：人講「秤頭係路頭」，做生理愛公道正會賺錢。(人說「秤頭是路頭」，做生意要公道才會賺錢。)			hk0000001274-1-5
5656	趁			tan31		1.找尋、利用。　2.趕、及時以赴。	例：趁勢。 例：趁早。			hk0000001275-1-5
5657	稱		詞目分類索引/器物用品	chin11		1.衡量物體輕重的一種器具。同「秤」。　2.用秤計量東西的輕重。同「秤」。　3.適合、符合。	例：磅稱。 例：稱重。 例：稱心。			hk0000001276-1-5
5658	重		詞目分類索引/量詞	chung53		1.再、另。　2.層層複疊的。　3.量詞。計算相疊累積物的單位。	例：重遊舊地、重新。 例：重複、重陽。			hk0000001277-1-5
5659	重疊	副	詞目分類索引/事物情狀	chung53 teeb43		層層相疊。	例：衫折好就做得重疊放，係無會皺忒。(衣服折好就可以層層疊放，不然會皺掉。)			hk0000001279-1-5
5660	重新	副		chung53 sin11		從頭開始，再一次。	例：重新做加一遍，正知自家做毋著恁多。(從頭開始再做一次，才知道自己做錯那麼多。)			
5661	坐		詞目分類索引/表情動作	coo11		1.彎曲下肢，將臀部附著在墊著物上休息。與「站」相對。　2.乘、搭。　3.犯罪、科罪。　4.入酒席座。　5.比喻平白的、不勞而獲的。	例：坐下、坐儕毋知企儕苦。 例：坐船。 例：坐囹仔。 例：坐桌。 例：坐食山空。			hk0000001282-1-5
5662	坐轎	動	詞目分類索引/交通通訊	coo11 kio55		乘坐、搭乘轎子。	例：人講儕儕都有貪圖，扛轎儕希望坐轎。(人說每個人都有貪圖，扛轎的人希望坐轎。)			hk0000001285-1-5
5663	坐涼		詞目分類索引/運動休閒	coo11 liong53		在透風涼快的地方坐下來乘涼。	例：阿公和厥朋友在樹下坐涼、行棋。(爺爺和他的朋友在樹下乘涼、下棋。)	尞涼　歇涼		hk0000001287-1-5
5664	坐落		詞目分類索引/表情動作	coo11 loo55		坐下。將臀部靠在地面、座位上等，後接名詞如凳、位等。	例：親家公真悿，所以一坐落凳就睡忒了。(親家公很累，所以一坐下椅子就睡著了。)			hk0000001288-1-5
5665	坐禪	動	詞目分類索引/宗教民俗	coo11 shiam53		佛教徒靜坐修行、思維禪法。	例：佢逐日朝晨當早就䟘起來，坐禪後正食朝。(他每天早晨很早就起來，坐禪後才吃早餐。)			hk0000001289-1-5
5666	坐船	動	詞目分類索引/交通通訊	coo11 fien53		乘坐、搭乘船隻。	例：該兜讀書人愛坐船過河去讀書。(那些讀書人要搭船過河去唸書。)			hk0000001290-1-5
5667	坐落去	動	詞目分類索引/表情動作	coo11 loo55 kui31		坐下去。	例：當多人打牌仔一坐落去就爬毋䟘起來。(很多人打牌一坐下去就不起來了。)			hk0000001292-1-5
5668	坐上橫桌			coo11 shong55 bbang53 zoo24		坐大位、首席。	例：上級指導員來開會，主席請佢坐上橫桌。(上級指導員來開會，主席請他坐大位。)	坐大位　坐上橫頭		
5669	坐船望船走，騎馬望馬飆	諺		coo11 fien53 mong55 fien53 zeu31，ki53 ma11 mong55 ma11 bio11		坐船或騎馬的人，都希望能順利到達目的地。比喻大家都希望能夠順利達成目標。	例：大家係有「坐船望船走，騎馬望馬飆」个心理，哪會分人看衰漦。(大家若有「坐船望船走，騎馬望馬跑」的心理，怎會讓人看不起。)			hk0000001298-1-5
5670	初		詞目分類索引/時間節令	cu11		1.起源、開始。　2.第一階段的。　3.陰曆每月一日到十日，皆冠上初字，表上旬的。　4.甫、剛剛。　5.姓。	例：月初。 例：初級。 例：初一。 例：初出社會。			hk0000001299-1-5
5671	昨		詞目分類索引/時間節令	ca11		1.隔一夜之前。即今天的前一天。　2.形容前一天的。	例：昨晡日（昨天）。 例：昨暗晡（昨晚）。			hk0000001300-1-5
5672	曹			coo53		1.訴訟時原告和被告之兩方。　2.姓。	例：兩曹。			hk0000001303-1-5
5673	槽		詞目分類索引/器物用品	coo53		1.放飼料餵牲畜的一種器具。　2.盛裝液體的長方形或正方形之貯水器具。　3.兩旁高而中間凹下的部分。　4.溝渠、水道。　5.指低窪的水田，一下雨就變成河川。	例：馬槽。 例：水槽。 例：冰槽。 例：河槽。 例：溝槽田。			hk0000001304-1-5
5674	草		詞目分類索引/植物	coo31		1.草本植物的總稱。　2.書法字體的一種。　3.文稿、底稿。　4.馬虎、粗率、不細膩的。　5.初步的、未定的。　6.用草做成的。　7.起稿、擬訂。	例：花草。 例：草體。 例：草稿。 例：潦草。 例：草案。 例：草蓆。 例：草擬。			hk0000001306-1-5
5675	草墩	名	詞目分類索引/植物	coo31 dun11		群生於一處的草，泛稱「草叢」。	例：在草墩脣口有一蕊當靚菁个花。(在草叢邊有一朵很漂亮的花。)	草竇　草蓬		hk0000001308-1-5
5676	草稿	名	詞目分類索引/教育文化	coo31 goo31		初步寫出而尚未成定稿或未謄清的文稿，也指初步完成的畫作。	例：共樣个風景，逐儕畫个草稿就係無共樣。(同樣的風景，每個人畫的草稿就是不一樣。)	原稿		hk0000001309-1-5
5677	草菇		詞目分類索引/飲食 詞目分類索引/植物	coo31 gu11		植物名。菌傘科草菇屬。呈灰色，有黑褐色條紋，足長而冠薄，多生長於草堆上。為可供食用的一種菌類。				hk0000001310-1-5
5678	草料	名	詞目分類索引/植物	coo31 leeu55		餵予牲畜吃的草、豆類飼料。	例：該兜草料係愛分這隻牛仔食个。(那些飼料是要給這條牛吃的。)			hk0000001312-1-5
5679	草棉		詞目分類索引/植物	coo31 mien53		植物名。錦癸科草棉屬，一年生草本。其葉掌狀為三至五裂，互生。花色淡黃，果實狀如桃，熟則裂開，其內有白色棉絮。（即棉花。）及種子數粒。棉花可供紡織工業作為原料，而種子可榨油，以供食用及燈用。				
5680	草案	名	詞目分類索引/財經法政	coo31 on31		尚在研議草擬階段，未經有關單位通過、發布的計畫或條文律例等。	例：這兜草案還吂通過，所以還做毋得公布。(這項草案還未通過，所以還不可以公布。)			hk0000001318-1-5
5681	草字		詞目分類索引/教育文化	coo31 cu55		書體名。我國字體的一種。為了書寫方便、快速而產生的字體，大約起於漢代。初創時稱為「章草」。將隸書草率寫成，簡省點畫，保存波勢。其字個個分離不相連綿。至漢末，相傳張芝脫去章草中所保留的隸書筆畫形跡，而將筆勢連綴，前後文字時時相連，形成了「今草」，即後世所通行的「草書」。又被稱為「草體」、「草字」。				hk0000001323-1-5
5682	草書		詞目分類索引/教育文化	coo31 shi11		書體名。我國字體的一種。為了書寫方便、快速而產生的字體，大約起於漢代。初創時稱為「章草」。將隸書草率寫成，簡省點畫，保存波勢。其字個個分離不相連綿。至漢末，相傳張芝脫去章草中所保留的隸書筆畫形跡，而將筆勢連綴，前後文字時時相連，形成了「今草」，即後世所通行的「草書」。又被稱為「草體」、「草字」。				hk0000001324-1-5
5683	草紙	名	詞目分類索引/器物用品	coo31 zhi31		一種以草為主要製造原料的紙，古時其用途多作如廁用紙（即衛生紙）。	例：你愛去便所時愛記得帶草紙。(你要去廁所時要記得帶衛生紙。)			hk0000001325-1-5
5684	草青青	形	詞目分類索引/事物情狀 詞目分類索引/植物	coo31 ciang11 ciang11		形容草木濃綠潤澤的樣子。	例：這搭草坪看起來草青青仔當靚。(這片草坪看起來綠油油的很漂亮。)	青青　青里里		hk0000001327-1-5
5685	座		詞目分類索引/量詞	coo55		1.坐位、席位。　2.座落、落置。　3.排行。　4.經比較後選擇、選定。　5.寧可、寧願。　6.支橕器物的托架。　7.指將酒加溫的動作。　8.將物品盛於器皿內，座置於水中加熱，使之變熱。　9.星座名。　10.量詞。計算豎立的器或物、有底座或大型動物體的一種單位。	例：入座。(在右邊還是在左邊？) 例：座落。 例：座第二。 例：座正手片抑係座左片？ 例：座食毋座喪。 例：座仔。 例：座酒（溫酒）。 例：座燒來。 例：金牛座。			hk0000001331-1-5
5686	座位	名		coo11 bbi55		供人坐的地方、位子。	例：在恁多人个車項，這儕人將座位讓分一個有身項个婦人家。(在很多人的車上，這個人將座位讓給一個懷孕的婦人。)			hk0000001332-1-5
5687	座右銘	名	詞目分類索引/教育文化	coo55 rhiu55 men53		記在座位右邊，以警惕、規誡自己或作為行動準則的格言。	例：「知福、惜福、再造福」係𠊎人生个座右銘。(「知福、惜福、再造福」是我人生的座右銘。)			hk0000001333-1-5
5688	造		詞目分類索引/建築住居	coo55		1.製作、創建。　2.建築、建設。　3.虛構、編造。　4.前往、到達。　5.培養。　6.相對立的兩方。　7.時期、時代。	例：製造。 例：造船。 例：造謠。 例：造訪。 例：造就。 例：兩造。 例：末造。			hk0000001334-1-5
5689	造化			coo55 fa31		1.生成、化育萬物的大自然或上天。　2.福氣、幸運。　3.生成、化育、創造衍化。	例：造化生養萬物，有陰陽、男女之分。(（上天生養萬物，有陰陽、男女之分。）) 例：這擺个車禍，阿妹會用救轉來，實在係佢个造化。(（這次的車禍，妹妹可以救得回來，實在是她的運氣。）) 例：眾生攏係上天造化來个，應當互相尊重。(（眾生都是上天造化來的，應當互相尊重。）)			hk0000001335-1-5
5690	造林	動	詞目分類索引/產業勞動	coo55 lim53		藉由人力栽植、培植林木。	例：這禮拜日有一場造林个活動。(這禮拜日有一場栽植林木的活動。)			hk0000001338-1-5
5691	造船	動	詞目分類索引/產業勞動	coo55 fien53		製作、建造船隻。	例：姐公造船个技術當有名。(外公造船的技術很有名。)			hk0000001340-1-5
5692	銼		詞目分類索引/器物用品	coo31		2.銼刀。　3.用銼刀以磨物。　1.一種瓶口大而形似釜的器具。	例：銼仔。 例：銼平。			hk0000001345-1-5
5693	錯			coo31		1.用來磨利刀子的石頭。　2.相互交錯、雜亂。　3.失去、岔開。　4.不正確、不對的。與「對」相對。　5.差的、壞的。	例：錯石。 例：交錯。 例：錯車。 例：過錯。 例：不錯。			hk0000001346-1-5
5694	錯亂	形	詞目分類索引/事物情狀	coo31 lon55		雜亂無秩序的樣子。	例：老阿伯定著係精神錯亂了，無仰會無著衫就在大街項行？(老伯伯一定是精神錯亂了，不然怎麼會沒穿衣服就在大街上走？)			hk0000001347-1-5
5695	錯誤	名	詞目分類索引/事物情狀	coo31 ngu55		不正確、不對。	例：勇敢改正自家个錯誤，正做得從失敗中企起來。(勇敢改掉自己的錯誤，才可以從失敗中站起來。)	過失　差錯　毋著		
5696	糙		詞目分類索引/事物情狀 詞目分類索引/植物	coo31		1.稻穀去殼後，碾得不精細的米。　2.不精細。	例：糙米。 例：粗糙。			hk0000001349-1-5
5697	啜		詞目分類索引/表情動作 詞目分類索引/飲食	cod24		1.嚐食、吃、喝。　2.哭泣貌。　3.吸食。	例：啜湯。 例：啜泣。 例：啜味。			hk0000001351-1-5
5698	昨		詞目分類索引/時間節令	ca11		1.隔一夜之前。即今天的前一天。　2.形容前一天的。	例：昨晡日（昨天）。 例：昨暗晡（昨晚）。			hk0000001358-1-5
5699	著	形　動　副		choo55		1.正確、對的。　2.火燃燒起。　3.抽中、考中。　4.著落、確定、結果。　5.遭受、受到、得到。　6.必須、只好，無可選擇的接受。半夜嘛著行（就是在半夜也得去）、堵著嘛著做	著抑毋著？（對還是不對？）、著無？（對嗎？）、答毋著(著火（著火）、穢著（延燒到）、起著) 著獎（中獎）、著著(定著（一定）、無落著（沒有著落）、無落無著（沒有歸宿）、無定無著) 著病（得病）、著傷（受傷）、著天吊（暴斃，得急病而死）、著釣（上鈎）、著雞瘟（雞隻得到瘟疫）、著著 (答錯) 生著火(中著) 不確定(得了) 碰上也得做			hk0000001359-1-5
5700	著著	動		choo55 choo55		1.中獎。　2.感染到。	例：這擺著著獎个人，係戴在花蓮个一個餔娘人。(（這次中獎的人，是一位住在花蓮的婦人。）) 例：著著恁重个病，愛仰結煞正好？(（感染到這麼重的病，該如何是好？）)	著獎		
5701	著天釣			choo55 teen11 deeu31		1.（罵）遭天譴。民間信仰中的詛咒語，指犯了某些禁忌就會遭受天譴。　2.患急症或意外而猝死。以前醫學較不發達，對不明原因的猝死泛稱為「著天釣」。	例：這個鱸鰻做真多否事，後下定著會著天釣，得天收轉去。(（這流氓做了很多壞事，將來一定會遭天譴，被老天收拾。）) 例：遐個人昨日猶好好，今日嗄死去，驚係著天釣啊！(（那個人昨天還好端端的，今天卻死了，可能是患急症猝死哦！）)	著天譴得雷打		
5702	在			coi11		1.表示指示地點。　2.存在。　3.活著。	例：在哪？ 例：人無在（人不在）。 例：還在無（還活著嗎）？			hk0000001370-1-5
5703	吹		詞目分類索引/表情動作	che11		1.噘起嘴脣將氣體用力從口中吐出來。　2.氣流順著某方向流動而觸動到物體。　3.誇言、說大話。	例：吹散。 例：風吹。 例：吹牛。			hk0000001371-1-5
5704	吹涼	動	詞目分類索引/天文地理 詞目分類索引/運動休閒	che11 liong53		因熱而在透風涼快的地方坐著休息。	例：天時恁熱，𫣆共下來去樹下吹涼好了。(天氣這麼熱，我們一起去樹下乘涼好了。)	納涼　坐涼　尞涼		hk0000001373-1-5
