					註釋	字表
				汁		tʃɐp45
				芝		tʃi453
				枝		tʃi453
				知		tʃi453
				肢		tʃi453
				隻		tʃɪk453
				脂		tʃi453
				梔		tʃi453
				稙	早稙禾	ʃɪk312
				蜘		tʃi453
				織		tʃɪk453
				直		ʃɪk312
				姪		tʃɐt312
				值		ʃɪk312
				値		ʃɪk312
				執		tʃɐp45
				植		ʃɪk312
				殖		ʃɪk312
				樴		tɐk312
				職		tʃɪk453
				止		tʃi445
				只		tʃi445
				旨		tʃi445
				阯		tʃi445
				址		tʃi445
				芷		tʃi445
				帋		tʃi445
				沚		tʃi445
				祉		tʃi445
				指		tʃi445
				咫		tʃi445
				紙		tʃi445
				趾		tʃi445
				徵	徵求	tʃɪŋ453
				徵	五音	tʃi445
				至		tʃi423
				志		tʃi423
				制		tʃʌi423
				炙		tʃɪk453
				治		ʃi312
				峙		ʃi312
				致		tʃi423
				秩		tit312
				窒		tʃɐt453
				窒		tʃɐt312
				智		tʃi423
				痣		tʃi423
				置		tʃi423
				雉		tʃi423
				稚		tʃʰi423
				稚		tʃi423
				製		tʃʌi423
				誌		tʃi423
				滯		tʃʌi312
				摯		tʃi423
				幟		tʃɪk453
				質	質料,物質	tʃɐt453
				緻		tʃi423
				擲		tʃɪk312
				中	中間	tʃʊŋ453
				中	命中	tʃʊŋ423
				忠		tʃʊŋ453
				盅		tʃʊŋ453
				衷		tʃʊŋ453
				終		tʃʊŋ453
				鍾		tʃʊŋ453
				鐘		tʃʊŋ453
				腫		tʃʊŋ445
				種	種類	tʃʊŋ445
				種	種植	tʃʊŋ423
				踵		tʃʊŋ445
				仲		ʃʊŋ312
				重	重複	ʃʊŋ231
				重	輕重，重要	ʃʊŋ24
				眾		tʃʊŋ423
				衆		tʃʊŋ423
				舟		tʃɐu453
				州		tʃɐu453
				周		tʃɐu453
				洲		tʃɐu453
				週		tʃɐu453
				粥		tʃʊk453
				軸		tʃʊk312
				肘		tʃɐu445
				帚		tʃɐu445
				咒		tʃɐu423
				宙		ʃɐu312
				冑	甲胄	tʃɐu312
				胄	後裔	tʃɐu312
				紂		tʃɐu312
				晝		tʃɐu423
				皺		ȵɐu423
				縐		ȵɐu423
				驟		tɐu423
				朱		tʃy453
				邾		tʃy453
				侏		tʃy453
				茱		tʃy453
				珠		tʃy453
				株		tʃy453
				硃		tʃy453
				蛛		tʃy453
				誅		tʃy453
				銖		tʃy453
				豬		tʃy453
				諸		tʃy453
				竹		tʃʊk453
				竺		tʃʊk453
				逐		tʃʊk312
				燭		tʃʊk453
				主		tʃy445
				煮		tʃy445
				囑		tʃʊk453
				矚		tʃʊk453
				助		ʃœ312
				住		tʃy312
				注	注意,注射	tʃy423
				柱		ʃu24
				炷		tʃy445
				祝		tʃʊk453
				著	著衣	tʃiɐk453
				著	睡著	ʃiɐk312
				著	顯著	tʃy423
				蛀		tʃy423
				註	註冊,註明	tʃy423
				箸		ʃyu312
				駐		tʃy423
				築		tʃʰʊk453
				鑄		tʃy423
				抓		tʃa453
				專	專門	tʃyn453
				磚		tʃyn453
				顓		tʃyn453
				撰		ʃan312
				撰		ʃyn312
				篆		ʃyn312
				賺		tʃɐn312
				轉	轉回	tʃyn445
				轉	轉動	tʃyun423
				妝		tʃœŋ453
				莊		tʃœŋ453
				裝		tʃœŋ453
				樁		tʃœŋ453
				壯		tʃœŋ423
				狀		ʃœŋ312
				撞		tʃœŋ312
				撞		tʃʰœŋ423
				戇		ŋœŋ423
				追		tʃui453
				椎	脊椎	tʃui453
				錐		tʃui453
				墜		tui312
				墜		tʃui312
				綴		tʃui312
				贅		tʃui312
				准	批准	tʃɐn445
				準		tʃɐn445
				拙		tʃyt453
				捉		tʃœk423
				桌		tʃœk423
				涿		ɗœk423
				灼		tʃʰœk423
				茁		tʃyt453
				卓		tʃʰœk423
				酌		tʃiɐk453
				啄		ɗœk423
				斲		ɗœk423
				濁	渾濁	ʃœk312
				鐲	鐲子	tʃœk312
				孖		ma453
				孜		ti453
				茲		ti453
				咨		ti453
				姿		ti453
				淄		tʃi453
				嗞		ti453
				滋		ti453
				資		ti453
				緇		tʃi453
				輜		tʃi453
				錙		tʃi453
				諮		ti453
				子		ti445
				姊		ti445
				秭		ti445
				籽		ti445
				梓		ti445
				紫		ti445
				滓		ti445
				自		fi312
				字		fi312
				牸		fi312
				漬		tɪk453
				宗		tʊŋ453
				棕		tʊŋ453
				椶		tʊŋ453
				綜	織機綜	tʊŋ453
				綜		tʊŋ453
				蹤		tʊŋ453
				鬉		tʊŋ453
				總		tʊŋ445
				糉		tʊŋ423
				縱	縱橫	tʊŋ423
				縱	放縱	tʊŋ423
				鄒		tɐu453
				走		tɐu445
				奏		tɐu423
				租		tu453
				足		tʊk453
				卒	兵卒	tɐt453
				族		fʊk312
				阻		tʃœ445
				祖		tu445
				組		tu445
				纂	編纂	tun423
				鑽	動詞	tun453
				鑽	木工具	tun423
				嘴		tui445
				最		tui423
				罪		fui24
				醉		tui423
				尊		tun453
				遵		tɐn453
				樽		tɐn453
				罇		tɐn453
				昨		fœk312
				琢		ɗœk423
				左		tœ445
				佐		tœ445
				作		tœk423
				坐		fœ24
				座		fœ312
				做		tu423
				閪		hɐi453
				靖		fɪŋ24
