音标	调类	字汇							
tʰuan	2	团							
nuan	3	卵暖							
nuan	5	乱							
tsuan	1	钻（∽研）专							
tsuan	3	转（∽车）							
tsuan	5	赚传（∽记）钻（电∽）转							
tsʰuan	1	穿川							
tsʰuan	2	船传（∽单）							
tsʰuan	3	铲							
tsʰuan	5	串窜							
suan	1	酸删珊							
suan	5	算蒜							
zuan	3	软							
kuan	1	观官关							
kuan	2	阮（替，“各人”合音，自己）							
kuan	3	管							
kuan	5	惯罐灌							
kʰuan	1	宽							
kʰuan	3	款							
xuan	1	欢							
xuan	2	环还横（白，∽着走）							
xuan	3	缓							
xuan	5	换唤							
uan	1	弯湾豌							
uan	2	完玩顽							
uan	3	晚碗							
uan	5	万							
taŋ	1	当							
taŋ	3	挡档党							
taŋ	5	当（上∽）							
tʰaŋ	1	汤							
tʰaŋ	2	唐糖塘堂							
tʰaŋ	3	淌倘							
tʰaŋ	5	趟烫							
naŋ	2	狼朗廊囊							
naŋ	3	朗（∽读）							
naŋ	5	浪㫰（晾，∽衣服）							
tsaŋ	1	张章							
tsaŋ	3	涨长（∽大）							
tsaŋ	5	账帐丈							
tsʰaŋ	1	仓舱昌倡							
tsʰaŋ	2	长（∽江）场							
tsʰaŋ	3	厂							
tsʰaŋ	5	唱畅							
saŋ	1	伤							
saŋ	2	常尝偿							
saŋ	3	赏							
saŋ	5	上							
zaŋ	3	壤							
zaŋ	5	让							
kaŋ	1	钢刚缸豇杠岗（∽位）							
kaŋ	3	港							
kaŋ	5	杠虹（白读）							
kʰaŋ	1	康							
kʰaŋ	2	扛							
kʰaŋ	3	冚（覆盖，把锅盖∽起，俗字）							
kʰaŋ	5	抗							
xaŋ	1	夯							
xaŋ	2	行（银∽）航杭							
xaŋ	5	项巷							
ŋaŋ	1	咉（声音响）							
ŋaŋ	2	昂							
paŋ	1	邦帮							
paŋ	3	榜膀							
paŋ	5	棒							
pʰaŋ	1	胮（∽臭）							
pʰaŋ	2	旁							
pʰaŋ	3	掽（碰，白读）							
pʰaŋ	5	胖							
maŋ	1	䏵（形容胖）							
maŋ	2	忙盲							
maŋ	3	莽							
faŋ	1	方芳							
faŋ	2	房防							
faŋ	3	访仿							
faŋ	5	放							
uaŋ	1	汪							
uaŋ	2	王亡							
uaŋ	3	网							
uaŋ	5	旺望忘							
tsuaŋ	1	装庄							
tsuaŋ	3	奘（添加使数量足够）							
tsuaŋ	5	壮状							
suaŋ	1	双霜爽（白读，清∽）							
suaŋ	3	爽							
tsʰuaŋ	1	疮							
tsʰuaŋ	2	床							
tsʰuaŋ	3	闯							
tsʰuaŋ	5	创							
kuaŋ	1	光							
kuaŋ	3	广							
kuaŋ	5	逛							
kʰuaŋ	1	框诓							
kʰuaŋ	2	狂							
kʰuaŋ	5	矿旷况							
xuaŋ	1	荒慌							
xuaŋ	2	黄皇							
xuaŋ	3	谎晃							
xuaŋ	5	晃							
iaŋ	1	央秧							
iaŋ	2	阳杨扬洋							
iaŋ	3	养							
iaŋ	5	样							
niaŋ	1	娘（ 嬢嬢∽∽，姑∽）							
niaŋ	2	粮娘良凉量（∽尺寸）梁粱							
niaŋ	3	两辆							
niaŋ	5	量（数∽）							
tɕiaŋ	1	江姜豇疆刚（白）将（∽军，∽来）浆							
tɕiaŋ	3	讲蒋奖颈（白读）							
tɕiaŋ	5	酱犟降将（上∽）							
tɕʰiaŋ	1	枪腔							
tɕʰiaŋ	2	墙强							
tɕʰiaŋ	3	抢							
tɕʰiaŋ	5	像（∽哪样）							
ɕiaŋ	1	香相湘乡							
ɕiaŋ	2	降祥							
ɕiaŋ	3	想响享							
ɕiaŋ	5	相像（人∽）象向							
ŋən	1	恩樱（白）							
ŋən	3	哽							
ŋən	5	硬							
kən	1	跟根更（深∽半夜）							
kən	3	梗							
kən	5	更							
kʰən	1	坑							
kʰən	3	肯啃							
xən	1	哼亨							
xən	2	衡							
xən	3	很							
xən	5	恨							
tən	1	灯墩蹲							
tən	3	等							
tən	5	凳顿（一∽）吨							
tʰən	1	吞							
tʰən	2	藤							
tʰən	3	□（停顿，说话打∽）							
tʰən	5	□（等，∽下再去）							
nən	1	捻（∽头发）							
nən	2	能轮（如：∽胎）							
nən	3	冷							
nən	5	嫩论							
tsən	1	真珍针甄诊（门∽，急∽）							
tsən	3	整枕振							
tsən	5	正政证镇郑圳净（梵∽山）							
tsʰən	1	撑抻（白读）							
tsʰən	2	成城诚乘承（文）存沉陈曾橙							
tsʰən	3	䟫（表示手撑着物体）							
tsʰən	5	慎趁秤							
sən	1	声升深生荪参（人∽）							
sən	2	承（白）神晨							
sən	3	笋婶省（反∽）沈							
sən	5	剩渗甚							
zən	1	扔							
zən	2	人							
zən	3	忍							
zən	5	认任（∽务）							
pən	1	崩绷奔（∽驰）							
pən	3	本							
pən	5	笨拌（白）							
pʰən	1	烹 凴（靠）							
pʰən	2	彭盆							
mən	1	们扪闷（∽在心头）							
mən	2	门明（白）							
mən	5	闷							
fən	1	分芬							
fən	2	焚							
fən	3	粉							
fən	5	奋分份喷							
uən	1	温瘟							
uən	2	文蚊							
uən	3	稳							
uən	5	问							
tsuən	1	尊遵							
tsuən	3	准							
tsʰuən	1	村春							
tsʰuən	2	存							
tsʰuən	3	蠢							
tsʰuən	5	寸							
suən	1	孙							
suən	2	绳纯唇							
suən	3	省（∽份）损瞬							
suən	5	顺							
zuən	5	闰润孕							
kuən	3	滚							
kuən	5	棍							
kʰuən	1	昆							
kʰuən	2	浑（白，表示一整个）							
kʰuən	3	捆							
kʰuən	5	困							
xuən	1	浑（水∽）昏							
xuən	2	魂横浑（∽身）							
xuən	5	混							
nuən	2	轮							
nuən	5	论							
in	1	因烟英音樱							
in	2	迎银言盐沿（新）							
in	3	影演眼							
in	5	应印厌艳燕							
pin	1	冰边鞭兵宾滨							
pin	3	饼乒							
pin	5	病并便辩变							
pʰin	1	拼篇							
pʰin	2	平苹贫屏频便（∽宜）							
pʰin	3	片							
pʰin	5	遍（普∽，走∽）片							
min	2	民明棉眠							
min	3	缅敏免							
min	5	命面							
tin	1	丁尖（豌豆尖儿，椿尖儿，一般儿化）颠巅							
tin	3	顶点							
tin	5	订电店甸							
tʰin	1	天厅添							
tʰin	2	停田填甜							
tʰin	3	㖭							
tʰin	5	听							
nin	1	研拈							
nin	2	宁凝零年连莲严吟黏（文）阎（∽王）链（项∽儿，一般儿化）							
nin	3	拧							
nin	5	念另验凝链恋令炼练							
tɕin	1	今金京精津禁（∽不住，受不了）肩兼间（文读）尖坚							
tɕin	3	井紧警捡检剪颈（文）尽（让，∽他耍）境（环∽）							
tɕin	5	进净静敬晋禁见建健剑箭尽贱							
tɕʰin	1	青清亲千阡歼铅签牵							
tɕʰin	2	秦情前钱勤芹潜（∽水）黔							
tɕʰin	3	请浅							
tɕʰin	5	庆侵（∽略）欠芡浸							
ɕin	1	心星腥新欣先仙鲜（白，新∽）辛锌							
ɕin	2	行嫌闲贤咸（文）							
ɕin	3	醒显险擤							
ɕin	5	幸信性姓现县陷线							
yn	1	冤渊							
yn	2	云原园圆员袁援盐沿荣（疑似存在）							
yn	3	永（文）远							
yn	5	运泳愿晕（∽车）							
tɕyn	1	军捐娟坚（∽决）							
tɕyn	3	卷（花∽）							
tɕyn	5	卷（∽子）券圈（羊∽）							
ɕyn	1	宣鲜掀							
ɕyn	2	寻悬巡							
ɕyn	3	选藓							
ɕyn	5	迅训							
tɕʰyn	1	圈倾							
tɕʰyn	2	群全权泉							
tɕʰyn	3	犬							
tɕʰyn	5	劝							
toŋ	1	冬东							
toŋ	3	董懂斗（∽蓬）							
toŋ	5	动冻							
tʰoŋ	1	通捅（口语）							
tʰoŋ	2	铜同童							
tʰoŋ	3	桶							
tʰoŋ	5	痛							
noŋ	1	聋弄（白）							
noŋ	2	龙农隆							
noŋ	3	拢							
noŋ	5	弄							
tsoŋ	1	中宗综							
tsoŋ	3	总种							
tsoŋ	5	众棕种							
tsʰoŋ	1	冲舂							
tsʰoŋ	2	从虫重（∽庆、∽复）							
tsʰoŋ	3	宠							
tsʰoŋ	5	冲（∽鼻子）							
soŋ	1	松（放∽）							
soŋ	2	怂							
soŋ	3	耸							
soŋ	5	送宋							
zoŋ	2	茸绒							
zoŋ	3	冗							
koŋ	1	公工攻功弓供（∽给）							
koŋ	2	□（“各人”合音）							
koŋ	3	拱							
koŋ	5	共拱（人顶进去）							
kʰoŋ	1	空							
kʰoŋ	3	孔恐							
kʰoŋ	5	空（有∽）控							
xoŋ	1	轰							
xoŋ	2	红							
xoŋ	3	哄							
xoŋ	5	讧							
oŋ	1	翁（可能会带前喉塞）							
oŋ	5	瓮（会带前喉塞）							
ŋoŋ	5	瓮							
poŋ	1	绷							
poŋ	3	乓							
poŋ	5	蹦							
pʰoŋ	2	棚朋蓬鹏							
pʰoŋ	3	捧							
pʰoŋ	5	碰喷（∽∽香）							
moŋ	1	蒙							
moŋ	2	谋蒙（∽古）							
moŋ	3	某亩猛							
moŋ	5	梦孟贸							
foŋ	1	风							
foŋ	2	冯							
foŋ	3	讽							
foŋ	5	奉凤							
tɕioŋ	1	供（白，∽他读书）弓（弯，背∽起）							
tɕʰioŋ	2	穷							
ɕioŋ	1	凶							
ɕioŋ	2	熊雄							
ioŋ	1	雍庸							
ioŋ	2	容蓉融荣							
ioŋ	3	勇允（∽许）							
ioŋ	5	用							
