	單字	ipa_調類	ipa_調值	注释
3500	箍	kʰu1	kʰu⁴⁵	
4923	鴣			
4924	轂			
3362	古	ku2	ku³²³	
3303	谷	kuk7	kuk⁴⁵	山谷
5251	谷			谷蠡王
5252	谷			吐谷渾
4925	汩			
3363	股	ku2	ku³²³	
3759	骨	kɐt7	kɐt⁴⁵	
3364	牯	ku2	ku³²³	
5253	詁			
3365	鼓	ku2	ku³²³	
3304	穀	kuk7	kuk⁴⁵	
4926	瞽			
4927	蠱			
3356	固	ku3	ku³³	
3357	故	ku3	ku³³	
3358	雇	ku3	ku³³	
3359	僱	ku3	ku³³	
3360	錮	ku3	ku³³	
5254	鯝			
3361	顧	ku3	ku³³	
3887	瓜	ka1	ka⁴⁵	
3757	刮	kat8	kat³	
4928	剮			
3883	寡	ka2	ka³²³	
3875	卦	ka3	ka³³	
3657	掛	kʰa3	kʰa³³	
3876	褂	ka3	ka³³	
3868	乖	kai1	kai⁴⁵	
3858	拐	kai2	kai³²³	
3859	枴	kai2	kai³²³	
3848	怪	kai3	kai³³	
3296	官	kun1	kun⁴⁵	
3287	冠	kun3	kun³³	冠軍
3297	冠	kun1	kun⁴⁵	衣冠
5255	倌			
3298	棺	kun1	kun⁴⁵	
3811	關	kan1	kan⁴⁵	
4929	鰥			
3299	觀	kun1	kun⁴⁵	參觀
3300	觀	kun1	kun⁴⁵	道觀
73	莞	wun2	wun³²³	莞爾
3292	莞	kun2	kun³²³	莞草
3293	莞	kun2	kun³²³	東莞
3294	管	kun2	kun³²³	
3295	館	kun2	kun³²³	
3288	貫	kun3	kun³³	
3785	慣	kan3	kan³³	
3289	灌	kun3	kun³³	
3290	罐	kun3	kun³³	
3291	鸛	kun3	kun³³	
3324	光	kuɔŋ1	kuɔŋ⁴⁵	
5256	桄			
3325	胱	kuɔŋ1	kuɔŋ⁴⁵	
5257	广			
3315	廣	kuɔŋ2	kuɔŋ³²³	
3472	獷	kʰuɔŋ3	kʰuɔŋ³³	
5258	逛			
3861	圭	kɐi1	kɐi⁴⁵	
4930	皈			
4931	珪			
3650	規	kʰɐi1	kʰɐi⁴⁵	
3862	硅	kɐi1	kɐi⁴⁵	
3837	瑰	kɐi3	kɐi³³	玫瑰
3838	瑰	kɐi3	kɐi³³	瑰麗
3863	閨	kɐi1	kɐi⁴⁵	
3651	龜	kʰɐi1	kʰɐi⁴⁵	
3804	龜	kɐn1	kɐn⁴⁵	
3864	龜	kɐi1	kɐi⁴⁵	
3865	鮭	kɐi1	kɐi⁴⁵	
3866	歸	kɐi1	kɐi⁴⁵	
3855	軌	kɐi2	kɐi³²³	
3856	鬼	kɐi2	kɐi³²³	又读kvɐi³²³
3839	癸	kɐi3	kɐi³³	
5259	晷			
3857	詭	kɐi2	kɐi³²³	
3840	桂	kɐi3	kɐi³³	
3841	貴	kɐi3	kɐi³³	
3835	跪	kɐi6	kɐi⁵²	
4932	劊			
3836	櫃	kɐi6	kɐi⁵²	
5260	鱖			
4933	袞			
3797	滾	kan2	kan³²³	
3784	棍	kɐn3	kɐn³³	
3341	郭	kuɔk8	kuɔk³	
3455	聒	kʰut8	kʰut³	
118	鍋	wuɔ1	wuɔ⁴⁵	
3831	國	kɐk8	kɐk³	
4934	摑			
4935	虢			
3351	果	kuɔ2	kuɔ³²³	
3352	裹	kuɔ2	kuɔ³²³	
3353	粿	kuɔ2	kuɔ³²³	
3350	過	kuɔ3	kuɔ³³	
4562	哈	ha1	ha⁴⁵	
3768	蛤	kɐp7	kɐp⁴⁵	圓蛤
5261	蛤			蛤蟆
3619	咳	kʰɐt7	kʰɐt⁴⁵	咳嗽
4778	咳			小兒笑
5262	嗨			
4333	孩	huɔi4	huɔi³¹	
4334	骸	huɔi4	huɔi³¹	
190	還	wan4	wan³¹	
4336	海	huɔi2	huɔi³²³	
4331	亥	huɔi6	huɔi⁵²	
4332	害	huɔi6	huɔi⁵²	
4335	駭	huɔi4	huɔi³¹	
4936	蚶			
4533	酣	hɐm1	hɐm⁴⁵	
3824	憨	kɐm2	kɐm³²³	
4320	鼾	huɔn4	huɔn³¹	
4937	邯			
4522	含	hɐm4	hɐm³¹	
4523	函	hɐm4	hɐm³¹	
4524	涵	hɐm4	hɐm³¹	
4321	寒	huɔn4	huɔn³¹	
4322	韓	huɔn4	huɔn³¹	
4316	罕	huɔn5	huɔn³¹²	
4530	喊	ham3	ham³³	
4311	汗	huɔn6	huɔn⁵²	流汗
5263	汗			可汗
4317	旱	huɔn5	huɔn³¹²	
4318	捍	huɔn5	huɔn³¹²	
4319	悍	huɔn5	huɔn³¹²	
4312	焊	huɔn6	huɔn⁵²	
4323	漢	huɔn3	huɔn³³	
4313	銲	huɔn6	huɔn⁵²	
4519	撼	ham6	ham⁵²	
4314	翰	huɔn6	huɔn⁵²	
4938	頷			
4520	憾	ham6	ham⁵²	
4315	瀚	huɔn6	huɔn⁵²	
4503	夯	hɐŋ1	hɐŋ⁴⁵	
4298	杭	huɔŋ4	huɔŋ³¹	
4299	航	huɔŋ4	huɔŋ³¹	
4363	蒿	hou1	hou⁴⁵	
4939	薅			
4353	毫	hou4	hou³¹	
4354	豪	hou4	hou³¹	
4355	壕	hou4	hou³¹	
4356	嚎	hou4	hou³¹	
4357	濠	hou4	hou³¹	
4358	蠔	hou4	hou³¹	
4360	好	hou3	hou³³	好客
4362	好	hou2	hou³²³	友好
3481	郝	kʰuɔk8	kʰuɔk³	
4349	昊	hou6	hou⁵²	
4361	耗	hou3	hou³³	
4350	浩	hou6	hou⁵²	
4351	皓	hou6	hou⁵²	
4352	號	hou6	hou⁵²	號碼
4359	號	hou4	hou³¹	哀號
4345	呵	huɔ1	huɔ⁴⁵	
4292	喝	huɔt8	huɔt³	
4346	訶	huɔ1	huɔ⁴⁵	
116	禾	wuɔ4	wuɔ³¹	
4479	合	hɐp9	hɐp⁵²	合格
5264	合			容量單位
4339	何	huɔ4	huɔ³¹	
114	和	wuɔ6	wuɔ⁵²	唱和
117	和	wuɔ4	wuɔ³¹	和諧
5265	劾			
4340	河	huɔ4	huɔ³¹	
4940	曷			
4941	盍			
4341	荷	huɔ4	huɔ³¹	荷花
4342	荷	huɔ4	huɔ³¹	負荷
4472	核	hɐt9	hɐt⁵²	
4480	盒	hɐp9	hɐp⁵²	
5266	涸			
4481	闔	hɐp9	hɐp⁵²	
4942	覈			
4943	龢			
4338	賀	huɔ6	huɔ⁵²	
4536	赫	hɐk7	hɐk⁴⁵	
4293	褐	huɔt8	huɔt³	
3482	壑	kʰuɔk8	kʰuɔk³	
4328	鶴	huɔk9	huɔk⁵²	
4537	黑	hɐk7	hɐk⁴⁵	
4433	嘿	hei1	hei⁴⁵	嘿嘿
5267	嘿			通「默」
4509	痕	hɐn4	hɐn³¹	
4514	很	hɐn2	hɐn³²³	
4515	狠	hɐn2	hɐn³²³	
4507	恨	hɐn6	hɐn⁵²	
4504	亨	hɐŋ1	hɐŋ⁴⁵	
4364	哼	hŋ6	hŋ⁵²	感歎詞
4502	哼	hɐŋ1	hɐŋ⁴⁵	哼歌
4494	恆	hɐŋ4	hɐŋ³¹	
165	橫	wɐŋ4	wɐŋ³¹	
4495	衡	hɐŋ4	hɐŋ³¹	
4278	哄	huŋ3	huŋ³³	哄騙
4282	哄	huŋ1	huŋ⁴⁵	亂哄哄
4944	訇			
4279	烘	huŋ3	huŋ³³	
4945	揈			
4946	薨			
3620	轟	kʰɐŋ1	kʰɐŋ⁴⁵	
166	弘	wɐŋ4	wɐŋ³¹	又读fɐŋ³¹
4714	宏	fɐŋ4	fɐŋ³¹	
4272	虹	huŋ4	huŋ³¹	
4273	洪	huŋ4	huŋ³¹	
4274	紅	huŋ4	huŋ³¹	紅色
5268	紅			女紅
167	閎	wɐŋ4	wɐŋ³¹	
4275	鴻	huŋ4	huŋ³¹	
4280	訌	huŋ3	huŋ³³	
4947	鬨			
4458	侯	hɐu4	hɐu³¹	
4459	喉	hɐu4	hɐu³¹	
4460	猴	hɐu4	hɐu³¹	
4463	吼	hɐu2	hɐu³²³	
4451	后	hɐu6	hɐu⁵²	
4457	厚	hɐu5	hɐu³¹²	
4452	逅	hɐu6	hɐu⁵²	
4453	後	hɐu6	hɐu⁵²	
4454	候	hɐu6	hɐu⁵²	
4653	乎	fu4	fu³¹	
4678	呼	fu1	fu⁴⁵	
4712	忽	fɐt7	fɐt⁴⁵	
4713	惚	fɐt7	fɐt⁴⁵	
5269	囫			
130	狐	wu4	wu³¹	
131	弧	wu4	wu³¹	
132	胡	wu4	wu³¹	
4599	斛	fuk9	fuk⁵²	
133	壺	wu4	wu³¹	
134	葫	wu4	wu³¹	
135	猢	wu4	wu³¹	
136	湖	wu4	wu³¹	
137	瑚	wu4	wu³¹	
138	蝴	wu4	wu³¹	
139	糊	wu4	wu³¹	
140	醐	wu4	wu³¹	
4948	鵠			
141	鬍	wu4	wu³¹	
4949	鶘			
4667	虎	fu2	fu³²³	
4668	唬	fu2	fu³²³	
4427	許	hei2	hei³²³	
4669	琥	fu2	fu³²³	
4670	滸	fu2	fu³²³	
124	互	wu6	wu⁵²	
125	戶	wu6	wu⁵²	
4658	戽	fu3	fu³³	
4950	祜			
5270	瓠			
126	扈	wu6	wu⁵²	
127	滬	wu6	wu⁵²	
128	護	wu6	wu⁵²	
4773	花	fa1	fa⁴⁵	
253	華	wa4	wa³¹	中華
255	華	wa4	wa³¹	華山
4799	華			春華秋實
161	猾	wat9	wat⁵²	
160	滑	wɐt9	wɐt⁵²	滑稽
162	滑	wat9	wat⁵²	光滑
256	嘩	wa1	wa⁴⁵	
4951	鏵			
4772	化	fa3	fa³³	
5271	划			划船
5272	划			划算
202	畫	wɐk9	wɐk⁵²	畫圖
251	畫	wa6	wa⁵²	圖畫
252	話	wa6	wa⁵²	
254	樺	wa4	wa³¹	
203	劃	wɐk9	wɐk⁵²	
86	徊	wui4	wui³¹	
235	淮	wai4	wai³¹	
236	槐	wai4	wai³¹	
237	踝	wai4	wai³¹	
238	懷	wai4	wai³¹	
1975	坏	pʰui1	pʰui⁴⁵	同「坯」
217	壞	wai6	wai⁵²	
4593	歡	fun1	fun⁴⁵	
4590	桓	fun4	fun³¹	
4952	圜			環繞
4953	圜			天體
191	寰	wan4	wan³¹	
192	環	wan4	wan³¹	
193	鬟	wan4	wan³¹	
4585	緩	fun6	fun⁵²	又读fun³¹ ;wun³¹
172	幻	wan6	wan⁵²	
70	奐	wun6	wun⁵²	
173	宦	wan6	wan⁵²	
72	浣	wun5	wun³¹²	
174	患	wan6	wan⁵²	
71	換	wun6	wun⁵²	
4586	喚	fun6	fun⁵²	
4587	渙	fun6	fun⁵²	
4954	豢			
4588	煥	fun6	fun⁵²	
4589	瘓	fun6	fun⁵²	
4630	荒	fuɔŋ1	fuɔŋ⁴⁵	
4631	慌	fuɔŋ1	fuɔŋ⁴⁵	
95	皇	wuɔŋ4	wuɔŋ³¹	
96	凰	wuɔŋ4	wuɔŋ³¹	
97	黃	wuɔŋ4	wuɔŋ³¹	
98	遑	wuɔŋ4	wuɔŋ³¹	
99	徨	wuɔŋ4	wuɔŋ³¹	
100	惶	wuɔŋ4	wuɔŋ³¹	
101	煌	wuɔŋ4	wuɔŋ³¹	
102	潢	wuɔŋ4	wuɔŋ³¹	
103	璜	wuɔŋ4	wuɔŋ³¹	
104	蝗	wuɔŋ4	wuɔŋ³¹	
105	磺	wuɔŋ4	wuɔŋ³¹	
106	蟥	wuɔŋ4	wuɔŋ³¹	
107	簧	wuɔŋ4	wuɔŋ³¹	
4622	恍	fuɔŋ2	fuɔŋ³²³	
4623	晃	fuɔŋ2	fuɔŋ³²³	
4632	謊	fuɔŋ1	fuɔŋ⁴⁵	
4611	灰	fui1	fui⁴⁵	
4612	恢	fui1	fui⁴⁵	
4767	揮	fɐi1	fɐi⁴⁵	
4768	暉	fɐi1	fɐi⁴⁵	
4613	詼	fui1	fui⁴⁵	
4769	輝	fɐi1	fɐi⁴⁵	
4770	麾	fɐi1	fɐi⁴⁵	
4771	徽	fɐi1	fɐi⁴⁵	
87	回	wui4	wui³¹	
88	茴	wui4	wui³¹	
89	迴	wui4	wui³¹	
90	洄	wui4	wui³¹	
91	蛔	wui4	wui³¹	
4608	悔	fui3	fui³³	
4766	毀	fɐi2	fɐi³²³	
239	卉	wɐi3	wɐi³³	
206	彗	wɐi6	wɐi⁵²	
4609	晦	fui3	fui³³	
207	惠	wɐi6	wɐi⁵²	
5273	喙			
81	匯	wui6	wui⁵²	
3462	賄	kʰui5	kʰui³¹²	又读kʰui³³;fui³²³
82	會	wui6	wui⁵²	會面
83	會	wui6	wui⁵²	會計
85	會	wui5	wui³¹²	懂得,又读wɐi³¹²
84	彙	wui6	wui⁵²	
4610	誨	fui3	fui³³	
208	慧	wɐi6	wɐi⁵²	
209	蕙	wɐi6	wɐi⁵²	
4955	噦			
218	諱	wɐi5	wɐi³¹²	
5274	檜			
240	穢	wɐi3	wɐi³³	
3463	繪	kʰui3	kʰui³³	
4747	昏	fɐn1	fɐn⁴⁵	
4748	婚	fɐn1	fɐn⁴⁵	
4749	葷	fɐn1	fɐn⁴⁵	
189	渾	wɐn4	wɐn³¹	渾人，雄渾
4785	渾			同「混」
4956	琿			
180	魂	wɐn4	wɐn³¹	
181	餛	wɐn4	wɐn³¹	
3781	混	kɐn6	kɐn⁵²	
4957	諢			
4958	劐			
3456	豁	kʰut8	kʰut³	
69	活	wut9	wut⁵²	
4635	火	fuɔ2	fuɔ³²³	
4636	伙	fuɔ2	fuɔ³²³	
4637	夥	fuɔ2	fuɔ³²³	
204	或	wɐk9	wɐk⁵²	
4634	貨	fuɔ3	fuɔ³³	
205	惑	wɐk9	wɐk⁵²	
115	禍	wuɔ6	wuɔ⁵²	
3483	霍	kʰuɔk8	kʰuɔk³	
113	獲	wuɔk8	wuɔk³	
111	穫	wuɔk9	wuɔk⁵²	
3484	藿	kʰuɔk8	kʰuɔk³	
112	鑊	wuɔk9	wuɔk⁵²	
3172	圾	ɬɐp7	ɬɐp⁴⁵	
3715	肌	kei1	kei⁴⁵	
968	唧	ʦek7	ʦek⁴⁵	
3716	飢	kei1	kei⁴⁵	
5275	屐			
3717	姬	kei1	kei⁴⁵	又读kʰei⁴⁵
3718	基	kei1	kei⁴⁵	
5276	犄			
4959	嵇			
3592	畸	kʰei1	kʰei⁴⁵	
3719	箕	kei1	kei⁴⁵	
3720	嘰	kei1	kei⁴⁵	
5277	稽			稽首
5278	稽			無稽之談
844	緝	ʦʰɐp7	ʦʰɐp⁴⁵	
3721	機	kei1	kei⁴⁵	
969	積	ʦek7	ʦek⁴⁵	
3685	激	kek7	kek⁴⁵	
3686	擊	kek7	kek⁴⁵	
3722	磯	kei1	kei⁴⁵	
3867	雞	kɐi1	kɐi⁴⁵	
3723	譏	kei1	kei⁴⁵	
3724	饑	kei1	kei⁴⁵	
3725	羈	kei1	kei⁴⁵	
3428	及	kiɐp9	kiɐp⁵²	
3760	吉	kɐt7	kɐt⁴⁵	
5279	岌			
3534	汲	kʰiɐp7	kʰiɐp⁴⁵	
970	即	ʦek7	ʦek⁴⁵	
3687	亟	kek7	kek⁴⁵	亟請
3688	亟	kek7	kek⁴⁵	亟需
3429	急	kiɐp7	kiɐp⁴⁵	
3535	級	kʰiɐp7	kʰiɐp⁴⁵	
1036	疾	ʦɐt9	ʦɐt⁵²	
3684	極	kek9	kek⁵²	
3689	棘	kek7	kek⁴⁵	
1049	集	ʦɐp9	ʦɐp⁵²	
1037	嫉	ʦɐt9	ʦɐt⁵²	
971	瘠	ʦek7	ʦek⁴⁵	
845	輯	ʦʰɐp7	ʦʰɐp⁴⁵	
955	藉	ʦek9	ʦek⁵²	
956	籍	ʦek9	ʦek⁵²	
3706	几	kei2	kei³²³	
3707	己	kei2	kei³²³	
972	脊	ʦek7	ʦek⁴⁵	
3690	戟	kek7	kek⁴⁵	
3708	幾	kei2	kei³²³	幾個
3726	幾	kei1	kei⁴⁵	幾乎
3758	颳	kat8	kat³	
1144	擠	ʦɐi1	ʦɐi⁴⁵	
3691	技	kei6	kei⁵²	
3692	忌	kei6	kei⁵²	
3693	妓	kei6	kei⁵²	
3842	季	kɐi3	kɐi³³	
3843	計	kɐi3	kɐi³³	
3701	既	kei3	kei³³	
3709	紀	kei2	kei³²³	
3702	記	kei3	kei³³	
4960	偈			
4131	徛	ji2	ji³²³	
1134	祭	ʦɐi3	ʦɐi³³	
3844	悸	kɐi3	kɐi³³	
3703	寄	kei3	kei³³	
957	寂	ʦek9	ʦek⁵²	又读ʦek⁴⁵
973	跡	ʦek7	ʦek⁴⁵	
1135	際	ʦɐi3	ʦɐi³³	
3586	暨	kʰei3	kʰei³³	
974	稷	ʦek7	ʦek⁴⁵	
3845	髻	kɐi3	kɐi³³	
3587	冀	kʰei3	kʰei³³	
4961	穄			
1145	劑	ʦɐi1	ʦɐi⁴⁵	
4962	覬			
1138	濟	ʦɐi3	ʦɐi³³	救濟
4789	濟			人才濟濟
975	績	ʦek7	ʦek⁴⁵	
976	蹟	ʦek7	ʦek⁴⁵	
1127	鯽	ʦɐk7	ʦɐk⁴⁵	
4543	繫	hɐi6	hɐi⁵²	聯繫
5280	繫			繫鞋帶
3846	繼	kɐi3	kɐi³³	
3888	加	ka1	ka⁴⁵	
3869	佳	kai1	kai⁴⁵	
3889	迦	ka1	ka⁴⁵	
3890	枷	ka1	ka⁴⁵	
3891	痂	ka1	ka⁴⁵	
5281	浹			
3892	家	ka1	ka⁴⁵	家人
5282	家			曹大家
4963	笳			
3893	傢	ka1	ka⁴⁵	
4964	裌			
3894	嘉	ka1	ka⁴⁵	
3762	夾	kap9	kap⁵²	
3764	莢	kap8	kap³	
4965	袷			
3765	頰	kap8	kap³	
3766	甲	kap8	kap³	
3767	胛	kap8	kap³	
3884	假	ka2	ka³²³	假如
3885	假	ka2	ka³²³	放假
3886	賈	ka2	ka³²³	賈姓
4794	賈			商賈
4563	瘕	ha1	ha⁴⁵	
3877	架	ka3	ka³³	
3878	嫁	ka3	ka³³	
3879	稼	ka3	ka³³	
3880	價	ka3	ka³³	
3881	駕	ka3	ka³³	
2835	駱	luɔk8	luɔk³	
445	尖	ʦim1	ʦim⁴⁵	
3812	奸	kan1	kan⁴⁵	
3415	肩	kin1	kin⁴⁵	
3813	姦	kan1	kan⁴⁵	
3426	兼	kim1	kim⁴⁵	
3416	堅	kin1	kin⁴⁵	
3786	間	kan3	kan³³	間接
3814	間	kan1	kan⁴⁵	空間
3399	犍	kin6	kin⁵²	
3400	犍	kin6	kin⁵²	
5283	搛			
3427	蒹	kim1	kim⁴⁵	
437	煎	ʦin1	ʦin⁴⁵	
3819	監	kam3	kam³³	太監
3830	監	kam1	kam⁴⁵	監獄
5284	箋			
5285	緘			
3815	艱	kan1	kan⁴⁵	
704	殲	ʦʰim1	ʦʰim⁴⁵	
3798	柬	kan2	kan³²³	
432	剪	ʦin2	ʦin³²³	
3799	揀	kan2	kan³²³	
3827	減	kam2	kam³²³	
3421	儉	kim6	kim⁵²	
433	翦	ʦin2	ʦin³²³	
3423	撿	kim2	kim³²³	
3424	檢	kim2	kim³²³	
4966	襇			
3411	繭	kin2	kin³²³	
3425	瞼	kim2	kim³²³	
3800	簡	kan2	kan³²³	
4525	鹹	ham4	ham³¹	
4385	騫	hin1	hin⁴⁵	
3801	鹼	kan2	kan³²³	
3401	件	kin6	kin⁵²	
3407	見	kin3	kin³³	看見
5286	見			發見
3408	建	kin3	kin³³	
427	荐	ʦin3	ʦin³³	
3402	健	kin6	kin⁵²	
3403	毽	kin6	kin⁵²	
4967	腱			
5287	僭			
442	漸	ʦim6	ʦim⁵²	逐漸
4816	漸			漸車帷裳
423	賤	ʦin6	ʦin⁵²	
424	踐	ʦin6	ʦin⁵²	又读ʦʰin³¹²
428	箭	ʦin3	ʦin³³	
3422	劍	kim3	kim³³	
3787	澗	kan3	kan³³	
429	薦	ʦin3	ʦin³³	
3404	鍵	kin6	kin⁵²	
5288	餞			
3788	諫	kan3	kan³³	
425	濺	ʦin6	ʦin⁵²	飛濺
4817	濺			濺濺
3217	艦	lam6	lam⁵²	
4968	鐧			
3820	鑒	kam3	kam³³	
3821	鑑	kam3	kam³³	
3326	江	kuɔŋ1	kuɔŋ⁴⁵	
3432	姜	kiɛŋ1	kiɛŋ⁴⁵	
4969	豇			
457	將	ʦiɛŋ3	ʦiɛŋ³³	將領
470	將	ʦiɛŋ1	ʦiɛŋ⁴⁵	將來
3433	僵	kiɛŋ1	kiɛŋ⁴⁵	
471	漿	ʦiɛŋ1	ʦiɛŋ⁴⁵	
3434	薑	kiɛŋ1	kiɛŋ⁴⁵	
4970	礓			
3435	疆	kiɛŋ1	kiɛŋ⁴⁵	
3436	繮	kiɛŋ1	kiɛŋ⁴⁵	
3437	韁	kiɛŋ1	kiɛŋ⁴⁵	
466	蔣	ʦiɛŋ2	ʦiɛŋ³²³	
467	槳	ʦiɛŋ2	ʦiɛŋ³²³	
468	獎	ʦiɛŋ2	ʦiɛŋ³²³	
4971	耩			
3316	講	kuɔŋ2	kuɔŋ³²³	
450	匠	ʦiɛŋ6	ʦiɛŋ⁵²	
3471	降	kʰuɔŋ3	kʰuɔŋ³³	降落
4297	降	huɔŋ4	huɔŋ³¹	投降ː老派koŋ³³
3312	絳	kuɔŋ3	kuɔŋ³³	
458	醬	ʦiɛŋ3	ʦiɛŋ³³	
3749	交	kau1	kau⁴⁵	
3750	郊	kau1	kau⁴⁵	
4461	姣	hau4	hau³¹	發姣
4796	姣			姣好
402	椒	ʦiu1	ʦiu⁴⁵	
3741	蛟	kau2	kau³²³	
403	焦	ʦiu1	ʦiu⁴⁵	
3751	跤	kau1	kau⁴⁵	
404	蕉	ʦiu1	ʦiu⁴⁵	
3752	膠	kau1	kau⁴⁵	
5289	澆			
3388	嬌	kiu1	kiu⁴⁵	
405	礁	ʦiu1	ʦiu⁴⁵	
3389	驕	kiu1	kiu⁴⁵	
3342	角	kuɔk8	kuɔk³	
3742	狡	kau2	kau³²³	
3743	皎	kau2	kau³²³	
3744	絞	kau2	kau³²³	
3443	腳	kiɛk8	kiɛk³	
399	剿	ʦiu2	ʦiu³²³	
3947	僥	jiu4	jiu³¹	僬僥，短人，西南夷別名
4367	僥	hiu1	hiu⁴⁵	僥倖
3730	鉸	kau3	kau³³	
3745	餃	kau2	kau³²³	
3386	矯	kiu2	kiu³²³	
3387	繳	kiu2	kiu³²³	
3746	攪	kau2	kau³²³	
3385	叫	kiu3	kiu³³	
3731	教	kau3	kau³³	教室
5290	教			讓
3732	窖	kau3	kau³³	
3733	較	kau3	kau³³	白读kɐu³³
4467	酵	hau1	hau⁴⁵	
3383	轎	kiu6	kiu⁵²	
406	醮	ʦiu1	ʦiu⁴⁵	
3870	皆	kai1	kai⁴⁵	
418	接	ʦip8	ʦip³	
3871	階	kai1	kai⁴⁵	
3511	揭	kʰit8	kʰit³	
927	嗟	ʦɛ1	ʦɛ⁴⁵	
3872	街	kai1	kai⁴⁵	
4972	稭			
409	癤	ʦit8	ʦit³	
4973	孑			
3398	劫	kip8	kip³	
3390	杰	kit9	kit⁵²	
3394	拮	kit8	kit³	
3391	桀	kit9	kit⁵²	
416	捷	ʦip9	ʦip⁵²	
3392	傑	kit9	kit⁵²	
3395	結	kit8	kit³	
417	睫	ʦip9	ʦip⁵²	
410	節	ʦit8	ʦit³	
3525	詰	kʰit3	kʰit³³	
408	截	ʦit9	ʦit⁵²	
3524	碣	kʰit8	kʰit³	
4808	碣			
3512	竭	kʰit8	kʰit³	
3396	潔	kit8	kit³	
926	姐	ʦɛ2	ʦɛ³²³	
3860	解	kai2	kai³²³	解決
4546	解	hai6	hai⁵²	解姓
4797	解			解款
3849	介	kai3	kai³³	
3850	戒	kai3	kai³³	
3851	芥	kai3	kai³³	
3852	屆	kai3	kai³³	
3853	界	kai3	kai³³	
4974	疥			
925	借	ʦɛ3	ʦɛ³³	
3854	誡	kai3	kai³³	
4975	褯			
3805	巾	kɐn1	kɐn⁴⁵	
3806	斤	kɐn1	kɐn⁴⁵	
3441	今	kiɐm1	kiɐm⁴⁵	
3442	金	kiɐm1	kiɐm⁴⁵	
5291	觔			
1098	津	ʦɐn1	ʦɐn⁴⁵	
3677	矜	keŋ1	keŋ⁴⁵	
3807	筋	kɐn1	kɐn⁴⁵	
3546	襟	kʰiɐm1	kʰiɐm⁴⁵	
3789	菫	kɐn2	kɐn³²³	
3790	僅	kɐn2	kɐn³²³	
3791	緊	kɐn2	kɐn³²³	
3792	瑾	kɐn2	kɐn³²³	
3793	槿	kɐn2	kɐn³²³	
1071	儘	ʦɐn6	ʦɐn⁵²	儘管
1072	儘	ʦɐn6	ʦɐn⁵²	儘量
3440	錦	kiɐm2	kiɐm³²³	
3794	謹	kɐn2	kɐn³²³	
3795	饉	kɐn2	kɐn³²³	
3621	近	kʰɐn6	kʰɐn⁵²	靠近
3783	近	kɐn5	kɐn³¹²	白讀
5292	妗			
3665	勁	keŋ6	keŋ⁵²	
1079	晉	ʦɐn3	ʦɐn³³	
1107	浸	ʦɐm3	ʦɐm³³	
1080	進	ʦɐn3	ʦɐn³³	
3439	禁	kiɐm3	kiɐm³³	禁止
3547	禁	kʰiɐm1	kʰiɐm⁴⁵	禁著
1073	盡	ʦɐn6	ʦɐn⁵²	
3796	覲	kɐn2	kɐn³²³	
3678	京	keŋ1	keŋ⁴⁵	
3679	荊	keŋ1	keŋ⁴⁵	
4496	莖	hɐŋ4	hɐŋ³¹	
3680	涇	keŋ1	keŋ⁴⁵	
941	菁	ʦeŋ1	ʦeŋ⁴⁵	
4976	旌			
942	晶	ʦeŋ1	ʦeŋ⁴⁵	
943	睛	ʦeŋ1	ʦeŋ⁴⁵	
4977	粳			
3681	經	keŋ1	keŋ⁴⁵	
3682	兢	keŋ1	keŋ⁴⁵	
944	精	ʦeŋ1	ʦeŋ⁴⁵	
3555	鯨	kʰeŋ4	kʰeŋ³¹	
3683	驚	keŋ1	keŋ⁴⁵	
938	井	ʦeŋ2	ʦeŋ³²³	
928	阱	ʦeŋ6	ʦeŋ⁵²	
3672	景	keŋ2	keŋ³²³	
3671	儆	keŋ3	keŋ³³	
4807	儆			
3673	憬	keŋ2	keŋ³²³	
3674	頸	keŋ2	keŋ³²³	
3675	警	keŋ2	keŋ³²³	
4978	陘			
3770	逕	kɐŋ3	kɐŋ³³	
3668	徑	keŋ3	keŋ³³	
3666	竟	keŋ6	keŋ⁵²	又读keŋ³²³
929	淨	ʦeŋ6	ʦeŋ⁵²	
3669	敬	keŋ3	keŋ³³	
930	靖	ʦeŋ6	ʦeŋ⁵²	
3676	境	keŋ2	keŋ³²³	
5293	䝼			
931	靜	ʦeŋ6	ʦeŋ⁵²	
3670	鏡	keŋ3	keŋ³³	
3667	競	keŋ6	keŋ⁵²	
3559	迥	kʰeŋ2	kʰeŋ³²³	
3560	炯	kʰeŋ2	kʰeŋ³²³	
3627	窘	kʰɐn3	kʰɐn³³	
3447	究	kiɐu3	kiɐu³³	
1514	糾	tɐu2	tɐu³²³	
3739	赳	kɐu2	kɐu³²³	
5294	揪			
1028	啾	ʦɐu1	ʦɐu⁴⁵	
4979	揫			
3748	鳩	kɐu1	kɐu⁴⁵	
5295	鬮			
3451	九	kiɐu2	kiɐu³²³	
3452	久	kiɐu2	kiɐu³²³	
3453	玖	kiɐu2	kiɐu³²³	
3448	灸	kiɐu3	kiɐu³³	
3454	韭	kiɐu2	kiɐu³²³	
1024	酒	ʦɐu2	ʦɐu³²³	
3734	臼	kau3	kau³³	又读kiɐu⁵²;kʰiɐu³¹²
3729	咎	kɐu3	kɐu³³	
3449	疚	kiɐu3	kiɐu³³	
4980	柩			
3601	桕	kʰɐu5	kʰɐu³¹²	
3450	救	kiɐu3	kiɐu³³	
