#漢字	音標	解釋
#簡稱	/	尤溪話
#全稱	/	尤溪城關話
#版本	/	2022-5-29
#聲母	/	#聲母順序，用逗號分開。如：b,p,m,f
#韻母	/	#韻母順序，用逗號分開。如：a,o,e
#聲調	/	阴平33 阳平12 上声55 阴去51 阳去42 入声24
#說明	/	參考資料：《尤溪方言志》，錄入人：阿纓
煮	tsy3	
注	tsy5	
铸	tsy5	
柱	tsy6	文读
住	tsy6	白读
驻	tsy6	
舒	tsʰy1	白读，伸展
鼠	tsʰy3	
处	tsʰy3	相～
取	tsʰy3	文读
处	tsʰy5	～所
居	ky1	
车	ky1	
渠	ky2	
举	ky3	
矩	ky3	
句	ky5	
巨	ky5	
据	ky5	
拒	ky5	
距	ky5	
锯	ky5	
炬	ky5	
俱	ky6	
惧	ky6	
具	ky6	
区	kʰy1	
驱	kʰy1	
拘	kʰy1	
去	kʰy5	
鱼	ŋy2	
渔	ŋy2	
愚	ŋy2	
娱	ŋy2	
语	ŋy2	
遇	ŋy6	
寓	ŋy6	
墟	xy1	
虚	xy1	
许	xy3	
疏	ɕy1	白读
梳	ɕy1	
蔬	ɕy1	白读
舒	ɕy1	文读
需	ɕy1	
输	ɕy1	文读
须	ɕy1	
书	ɕy1	文读
薯	ɕy1	
殊	ɕy1	
绪	ɕy1	
暑	ɕy1	
署	ɕy1	
竖	ɕy5	
树	ɕy5	～立
于	y1	
如	y2	
于	y2	
余	y2	
儒	y2	
盂	y2	
愉	y2	
逾	y2	
汝	y3	
乳	y3	
雨	y3	
羽	y3	
与	y3	
誉	y6	
预	y6	
愈	y6	
裕	y6	
喻	y6	
排	pai2	文读，～斥
诽	pai2	～人
摆	pai2	
拜	pai5	
败	pai6	
篦	pai6	～梳
牌	pʰai2	
否	pʰai3	白读
坏	pʰai3	白读
派	pʰai5	
埋	mai2	文读
迈	mai5	
呆	tai1	
台	tai2	文读
苔	tai2	文读
埋	tai2	白读
戴	tai5	文读
带	tai5	文读
待	tai6	
贷	tai6	
代	tai6	
大	tai6	文读
胎	tʰai1	
筛	tʰai1	文读
腿	tʰai3	白读
态	tʰai6	
太	tʰai6	
泰	tʰai6	
坠	tʰai6	白读，陷
