例字	蓉城（客）	蓉城（土）	老洲
寬	kʰõ31	kʰuæ̃31	kʰuõ31
款	kʰõ223b	kʰuæ̃213	kʰuõ313
歡	xuæ̃313	xuæ̃313	xuõ31
喚	xõ33	xõ33	xuõ44
煥	xõ33	xuæ̃33	xuõ44
丸	uæ̃223a	yẽ223	uõ323
完	uõ223a	uæ̃223	uõ323
緩	xõ223b	xuæ̃213	xuõ313
換	xõ33	xuæ̃33	xuõ44
豌	uõ31	ŋẽ31	uõ31
碗	uõ223b	uæ̃213	uõ313
腕	uõ223b	uæ̃213	uõ313
缽	poʔ5	poʔ5	poʔ5
潑	pʰoʔ5	pʰoʔ5	pʰoʔ5
跋	paʔ5	paʔ5	paʔ5
沫	moʔ5	moʔ5	moʔ5
脫	tʰoʔ5	tʰoʔ5	tʰoʔ5
奪	toʔ5	toʔ5	toʔ5
捋	lo223a	lo213	lo31
撮	tsoʔ5	tsoʔ5	tsoʔ5
括	kuaʔ5	kuaʔ5	kuaʔ5
闊	kʰoʔ5	kʰoʔ5	kʰoʔ5
活	xoʔ5	xoʔ5	xoʔ5
幻	xuæ̃33	xuæ̃33	xuæ̃44
扮	pæ̃31	pæ̃33	pæ̃44
盼	pʰæ̃33	pʰæ̃33	pʰæ̃44
辦	pæ̃33	pæ̃33	pæ̃44
綻	tsæ̃33	tsæ̃33	tsæ̃44
盞	tsæ̃223b	tsæ̃213	tsæ̃313
鏟	tsʰæ̃223b	tsʰæ̃213	tsʰæ̃313
潺	tsʰæ̃223a	tsʰæ̃223	tsʰæ̃323
山	sæ̃31	sæ̃31	sæ̃31
艱	tɕiẽ31	tʃiẽ31	tɕiẽ31
揀	kæ̃223b	kæ̃213	kæ̃313
簡	tɕiẽ223b	tʃiẽ213	tɕiẽ313
眼	iẽ223b	ŋæ̃213	ŋæ̃313
閑	ɕiẽ223a	ʃiẽ223	ɕiẽ323
限	ɕiẽ33	ʃiẽ33	ɕiæ̃44
莧	xæ̃33	xæ̃33	xæ̃44
篡	tsʰõ33	tsʰuæ̃33	tsʰõ44
關	kuæ̃313	kuæ̃313	kuæ̃31
慣	kuæ̃	kuæ̃33	kuæ̃44
摜	kʰuæ̃33	kʰuæ̃33	kʰuæ̃44
頑	uæ̃223a	uæ̃223	uæ̃323
還	xɛ223a	xɛ223	xɛ44
還	xuæ̃223a	xuæ̃223	xuæ̃323
患	xuæ̃33	xuæ̃33	xuæ̃44
彎	uæ̃31	uæ̃31	uæ̃31
扳	pæ̃31	pæ̃31	pæ̃31
板	pæ̃223b	pæ̃213	pæ̃313
攀	pʰæ̃31	pʰæ̃31	pʰæ̃31
襻	pʰæ̃33	pʰæ̃33	pʰæ̃44
蠻	mæ̃223a	mæ̃	mæ̃323
慢	mæ̃33	mæ̃33	mæ̃44
棧	tsæ̃33	tsæ̃33	tsæ̃44
刪	sæ̃31	sæ̃31	sæ̃31
雁	ŋæ̃33	ŋæ̃33	ŋæ̃44
拴	ɕyæ̃31	ʃyæ̃31	ɕyæ̃31
玩	uæ̃223a	uæ̃223	uæ̃323
姦	tɕiẽ31	tɕiẽ31	tɕiẽ31
諫	tɕiẽ33	tʃiẽ33	tɕiẽ44
猾	xuaʔ5	xuaʔ5	xuaʔ5
挖	uaʔ5	uaʔ5	uaʔ5
八	paʔ5	paʔ5	paʔ5
拔	paʔ5	paʔ5	paʔ5
抹	maʔ5	maʔ5	maʔ5
紮	tsaʔ5	tsaʔ5	tsaʔ5
察	tsʰaʔ5	tsʰaʔ5	tsʰaʔ5
殺	saʔ5	saʔ5	saʔ5
軋	iaʔ5	ŋa33	ŋaʔ5
刷	ɕyaʔ5	ʃyaʔ5	ɕyaʔ5
刮	kuaʔ5	kuaʔ5	kuaʔ5
帕	pʰoʔ5	pʰoʔ5	pʰoʔ5
鍘	tsaʔ5	tsaʔ5	tsaʔ5
瞎	xaʔ5	xaʔ5	xaʔ5
轄	ɕiaʔ5	ɕiaʔ5	ɕiaʔ5
戀	ȵiẽ33	ȵiẽ33	liẽ44
痊	tɕʰyẽ223a	tʃʰyẽ223	tɕʰiẽ323
泉	tɕʰiẽ223a	tʃʰyẽ223	tɕʰiẽ323
宣	ɕyẽ31	ʃyẽ31	ɕyẽ31
選	ɕiẽ223b	ʃiẽ213	ɕiẽ313
轉	tɕyẽ223b	tsuæ̃213	tyẽ313
轉	tɕyẽ33	tsõ33	tyẽ44
椽	tɕʰyẽ223a	tɕʰyẽ223	tʰyẽ323
篆	tɕyæ̃33	tsuæ̃33	tyẽ44
專	tɕyæ̃31	tsõ31	tyẽ31
磚	tɕyæ̃31	tsõ31	tyẽ31
穿	tɕʰyẽ31	tsʰõ31	tʰyẽ31
喘	tɕʰyẽ223b	tsʰuæ̃213	tʰyẽ313
串	tɕʰyæ̃33	tsʰuæ̃33	tʰyẽ44
船	tɕʰyẽ223a	tsʰuæ̃223	tʰyẽ323
軟	yẽ223b	ɹuæ̃213	yẽ313
圈	tɕʰyẽ31	tɕʰyẽ31	tʰyẽ31
鬈	kʰuæ̃223a	tɕyẽ223	kʰuæ̃323
圓	yẽ223a	yẽ223	yẽ323
院	yẽ33	yẽ33	yẽ44
捐	tɕyæ̃31	tɕyẽ31	tyẽ31
沿	iẽ223a	iẽ223	iẽ323
緣	yẽ223a	yẽ223	yẽ323
鉛	kʰæ̃31	kʰæ̃31	kʰæ̃31
鉛	tɕʰiẽ31	tʃʰiẽ31	tɕʰiẽ31
騙	pʰiẽ33	pʰiẽ33	pʰiẽ44
碾	ȵiẽ223b	ȵiẽ213	liẽ313
聯	ȵiẽ223a	ȵiẽ223	liẽ323
輦	ȵiẽ223b	ȵiẽ213	liẽ313
煎	tɕiẽ31	tʃiẽ31	tɕiẽ31
剪	tɕiẽ223b	tʃiẽ213	tɕiẽ313
箭	tɕiẽ33	tʃiẽ33	tɕiẽ44
淺	tɕʰiẽ223b	tʃʰiẽ213	tɕʰiẽ313
踐	tɕiẽ33	tʃiẽ33	tɕiẽ44
賤	tɕiẽ33	tʃiẽ33	tɕiẽ44
仙	ɕiẽ31	ʃiẽ31	ɕiẽ31
癬	ɕiẽ223b	ʃiẽ213	ɕiẽ313
線	ɕiẽ33	ʃiẽ33	ɕiẽ44
涎	ɕiẽ223a	ʃiẽ223	ɕiẽ323
羨	ɕiẽ33	ʃiẽ33	ɕiẽ44
展	tsæ̃223b	tsõ213	tsæ̃313
纏	tsʰæ̃223a	tsʰæ̃223	tsʰẽ323
氈	tsæ̃31	tsæ̃31	tsẽ31
戰	tsæ̃33	tsæ̃33	tsæ̃44
扇	sæ̃33	sẽ33	sẽ44
禪	tsʰæ̃223a	tsʰæ̃223	tsʰæ̃323
鱔	sæ̃33	sẽ33	sẽ44
擅	sæ̃33	sæ̃33	sẽ44
然	ɹæ̃223a	ɹæ̃223	ɻæ̃323
延	iẽ223a	iẽ223	iẽ323
演	iẽ223b	iẽ213	iẽ313
絹	tɕyæ̃33	tɕyẽ33	tyẽ31
編	piẽ31	piẽ31	piẽ31
篇	pʰiẽ31	pʰiẽ31	pʰiẽ31
便	pʰiẽ223a	pʰiẽ223	pʰiẽ323
便	piẽ33	piẽ33	piẽ44
棉	miẽ223a	miẽ223	miẽ323
緬	miẽ33	miẽ213	miẽ313
面	miẽ33	miẽ33	miẽ44
遣	tɕʰiẽ223b	tɕʰiẽ213	tɕʰiẽ313
捲	tɕyẽ223b	tɕyẽ213	tyẽ313
眷	tɕyẽ33	tɕyẽ33	tyẽ44
拳	tɕʰyẽ223a	tɕʰyẽ223	tʰyẽ323
變	piẽ33	piẽ33	piẽ44
辯	piẽ33	piẽ33	piẽ44
汴	piẽ33	piẽ33	piẽ44
免	miẽ223b	miẽ213	miẽ313
乾	tɕʰiẽ223a	tʃʰiẽ223	tɕʰiẽ323
犍	tɕiẽ33	tɕiẽ33	tɕiẽ44
件	tɕiẽ33	tʃiẽ33	tɕiẽ44
諺	iẽ33	iẽ33	liẽ44
蔫	iẽ31	iẽ31	iẽ31
涓	tɕyẽ31	tɕyẽ31	tyẽ31
犬	tɕʰyẽ223b	tɕʰyẽ213	tʰyẽ313
懸	ɕyẽ223a	ʃyẽ223	ɕyẽ323
縣	ɕiẽ33	ʃiẽ33	ɕiẽ44
邊	piẽ31	piẽ31	piẽ31
扁	piẽ223b	piẽ213	piẽ313
遍	piẽ33	pʰiẽ33	piẽ44
片	pʰiẽ33	pʰiẽ33	pʰiẽ44
辮	piẽ33	piẽ33	piẽ44
眠	miẽ223a	miẽ223	miẽ323
麵	miẽ33	miẽ33	miẽ44
顛	tiẽ31	tiẽ31	tiẽ31
典	tiẽ223b	tiẽ213	tiẽ313
天	tʰiẽ31	tʰiẽ31	tʰiẽ31
靦	miẽ223a	miẽ223	miẽ44
田	tʰiẽ223a	tʰiẽ223	tʰiẽ323
電	tiẽ33	tiẽ33	tiẽ44
年	ȵiẽ223a	ȵiẽ223	liẽ323
攆	ȵiẽ223b	ȵiẽ213	liẽ313
蓮	ȵiẽ223a	ȵiẽ223	liẽ323
楝	ȵiẽ33	ȵiẽ33	liẽ44
箋	tɕʰiẽ31	tʃʰiẽ31	tɕʰiẽ31
薦	tɕiẽ33	tʃiẽ33	tɕiẽ44
千	tɕʰiẽ31	tʃʰiẽ31	tɕʰiẽ31
前	tɕʰiẽ223a	tʃʰiẽ223	tɕʰiẽ323
先	ɕiẽ31	ʃiẽ31	ɕiẽ31
洗	ɕiẽ223b	ɕiẽ213	ɕiẽ313
肩	tɕiẽ31	tʃiẽ31	tɕiẽ31
繭	tɕiẽ223b	tʃiẽ213	tɕiẽ313
研	ȵiẽ223a	ȵiẽ223	liẽ323
硯	ȵiẽ33	ȵiẽ33	iẽ44
顯	ɕiẽ223b	ʃiẽ213	ɕiẽ313
弦	ɕyẽ223a	ʃyẽ223	ɕyẽ323
賢	ɕiẽ223a	ʃiẽ223	ɕiẽ323
現	ɕiẽ33	ɕiẽ33	ɕiẽ44
煙	iẽ31	iẽ31	iẽ31
燕	iẽ33	iẽ33	iẽ44
訣	tɕyeʔ5	tɕyəʔ5	tyeʔ5
血	ɕyeʔ5	ɕyeʔ5	ɕieʔ5
穴	ɕieʔ5	ɕyeʔ5	ɕieʔ5
撇	pʰieʔ5	pʰieʔ5	pʰieʔ5
篾	mieʔ5	mieʔ5	mieʔ5
鐵	tʰieʔ5	tʰieʔ5	tʰieʔ5
跌	tieʔ5	tieʔ5	tieʔ5
捏	ȵieʔ5	ȵieʔ5	lieʔ5
節	tɕieʔ5	tɕieʔ5	tɕieʔ5
切	tɕʰieʔ5	tɕʰieʔ5	tɕʰieʔ5
截	tɕieʔ5	tɕieʔ5	tɕieʔ5
屑	ɕiɔ31	ɕieʔ5	ɕie44
結	tɕieʔ5	tɕieʔ5	tɕieʔ5
覈	fəʔ5	foʔ5	fəʔ5
噎	iəʔ5	ieʔ5	ieʔ5
劣	ȵiəʔ5	ȵieʔ5	lieʔ5
絕	tɕyeʔ5	tɕyeʔ5	tɕieʔ5
雪	ɕieʔ5	ɕyeʔ5	ɕieʔ5
拙	tsoʔ5	tsoʔ5	tyoʔ5
說	ɕyeʔ5	ʃyeʔ5	ɕyeʔ5
悅	yeʔ5	yeʔ5	yeʔ5
別	pieʔ5	pieʔ5	pieʔ5
裂	ȵieʔ5	ȵieʔ5	lieʔ5
薛	ɕieʔ5	ɕieʔ5	ɕieʔ5
哲	tseʔ5	tsəʔ5	tseʔ5
徹	tsʰeʔ5	tsʰəʔ5	tsʰeʔ5
轍	tsʰeʔ5	tsʰəʔ5	tsʰeʔ5
折	tseʔ5	tsəʔ5	tseʔ5
舌	səʔ223a	səʔ5	seʔ323
設	səʔ5	səʔ5	seʔ5
折	seʔ5	səʔ5	seʔ5
熱	yeʔ5	ɹəʔ5	yeʔ5
孽	ȵieʔ5	ȵieʔ5	lieʔ5
憋	piəʔ5	pieʔ5	pieʔ5
滅	miəʔ5	mieʔ5	mieʔ5
孑	tɕieʔ5	tɕieʔ5	tɕieʔ5
揭	tɕieʔ5	tɕieʔ5	tɕieʔ5
蕃	fæ̃31	fæ̃31	fæ̃31
反	fæ̃223b	fæ̃213	fæ̃313
販	fæ̃33	fæ̃33	fæ̃44
翻	fæ̃31	fæ̃31	fæ̃31
煩	fæ̃223a	fæ̃223	fæ̃323
飯	fæ̃33	fæ̃33	fæ̃44
晚	uæ̃223b	uæ̃213	uæ̃313
萬	uæ̃33	uæ̃33	uæ̃44
蔓	mæ̃33	mæ̃33	mæ̃44
券	tɕyẽ33	tɕyẽ33	tyẽ44
勸	tɕʰyæ̃33	tɕʰyẽ33	tʰyẽ44
圈	tɕyẽ33	tɕyẽ33	tyẽ44
元	yẽ223a	yẽ223	yẽ323
阮	yẽ223b	yẽ213	yẽ313
願	yẽ33	yẽ33	yẽ44
喧	ɕyẽ31	ʃyẽ31	ɕyẽ31
楦	ɕyæ̃31	ʃyẽ33	ɕyæ̃44
冤	yẽ31	yẽ31	yẽ31
婉	uæ̃223b	uæ̃213	uõ313
袁	yẽ223a	yẽ223	yẽ323
遠	yẽ223b	yẽ213	yẽ313
言	iẽ223a	iẽ223	iẽ323
掀	ɕiẽ31	ʃiẽ31	ɕiẽ31
軒	ɕyẽ31	ʃyẽ31	ɕyẽ31
獻	ɕiẽ	ʃiẽ	ɕiẽ
髮	faʔ5	faʔ5	faʔ5
罰	faʔ5	faʔ5	faʔ5
襪	uaʔ5	uaʔ5	uaʔ5
襪	ma31	ma31	ma31
橛	tɕyeʔ5	tɕyəʔ5	tyeʔ5
月	yeʔ5	yeʔ5	yeʔ5
越	yeʔ5	yeʔ5	yeʔ5
蠍	ɕieʔ5	ɕieʔ5	ɕieʔ5
吞	tʰən31	tʰən31	tʰɘn31
根	kən31	kən31	kɘn31
啃	kʰən223b	kʰən213	kʰɘn313
痕	xən223a	xən223	xɘn323
很	xən223b	xən213	xɘn313
恨	xən33	xən33	xɘn44
恩	ŋən31	ŋən31	ŋɘn31
奔	pən31	pən31	pɘn31
本	pən223b	pən213	pɘn313
噴	pʰən31	fən31	pʰɘn31
盆	pʰən223a	pʰən223	pʰɘn323
笨	pən33	pən33	pɘn44
門	mən223a	mən223	mɘn323
悶	mən33	mən33	mɘn44
墩	tən31	tən31	tɘn31
頓	tən33	tən33	tɘn44
豚	tʰən223a	tʰən223	tʰɘn323
囤	tʰən223a	tʰən223	tʰɘn323
盾	tən33	tən33	tɘn44
鈍	tən33	tən33	tɘn44
嫩	lən33	lən33	lɘn44
論	lən33	lən33	lɘn44
尊	tsən31	tsən31	tsɘn31
村	tsʰən31	tsʰən31	tsʰɘn31
寸	tsʰən33	tsʰən33	tsʰɘn44
存	tsʰən223a	tsʰən223	tsʰɘn323
孫	sən31	sən31	sɘn31
損	sən223b	sən213	sɘn313
遜	ɕyən33	sən33	sɘn31
昆	kʰuən31	kʰuɘn31	kʰuɘn31
滾	kuən223b	kuɘn213	kuɘn313
坤	kʰuən31	kʰuɘn31	kʰuɘn31
睏	kʰuən33	kʰuɘn33	kʰuɘn44
婚	xuən31	xuɘn31	xuɘn31
魂	xuən223a	xuɘn223	xuɘn323
棍	kuən33	kuɘn33	kuɘn44
混	xuən33	xuɘn33	xuɘn44
溫	uən31	uɘn31	uɘn31
穩	uən223b	uɘn213	uɘn313
沒	məʔ5	moʔ5	məʔ5
突	tʰəʔ5	tʰoʔ5	tʰəʔ5
骨	kuəʔ5	kuəʔ5	kuəʔ5
窟	kʰuəʔ5	kʰuəʔ5	kʰuəʔ5
忽	xuəʔ5	xuəʔ5	xuəʔ5
核	xuəʔ5	xuəʔ5	xuəʔ5
核	xeʔ5	xəʔ5	xeʔ5
脖	poʔ5	poʔ5	poʔ5
滑	xuaʔ5	xuaʔ5	xuaʔ5
訖	tɕʰiəʔ5	tɕʰiəʔ5	tɕʰiəʔ5
乞	tɕʰi223b	tɕʰiəʔ5	tɕʰiəʔ5
迄	tɕʰiəʔ5	tɕʰiəʔ5	tɕʰiəʔ5
律	ȵiəʔ5	ȵiəʔ5	liəʔ5
率	ȵiəʔ5	ȵiəʔ5	liəʔ5
恤	ɕyəʔ5	ɕyəʔ5	ɕi44
戌	ɕi33	ɕy31	ɕi44
出	tɕʰyəʔ5	tʃʰyəʔ5	tʰyəʔ5
術	ɕyəʔ5	suəʔ5	ɕyəʔ5
述	soʔ5	su33	ɕyəʔ5
橘	tɕyəʔ5	tʃyəʔ5	tyəʔ5
分	fən31	fən31	fɘn31
粉	fən223b	fən213	fɘn313
糞	fən33	fən33	fɘn44
芬	fən31	fən31	fɘn31
忿	fən33	fən33	fɘn44
焚	fən223a	fən223	fɘn44
憤	fən33	fən33	fɘn44
份	fən33	fən33	fɘn44
蚊	uən223a	uɘn223	uɘn323
吻	uən223b	uɘn213	uɘn313
問	uən33	uɘn33	uɘn44
軍	tɕyən31	tɕyɘn31	tyɘn31
裙	tɕʰyən223a	tɕʰyɘn223	tʰyɘn323
郡	tɕyən33	tɕyɘn33	tyɘn44
熏	ɕyən31	ɕyɘn31	ɕyɘn31
葷	xuən31	xuɘn31	xuɘn31
訓	ɕyən33	ɕyɘn33	ɕyɘn44
熨	yən33	yɘn33	yɘn44
雲	yən223a	yɘn223	yɘn323
運	yən33	yɘn33	yɘn44
弗	fəʔ5	foʔ5	fəʔ5
拂	fəʔ5	foʔ5	fəʔ5
佛	fəʔ5	foʔ5	fəʔ5
物	ueʔ5	uoʔ5	ueʔ5
屈	tɕʰyəʔ5	tʃʰyəʔ5	tʰyəʔ5
倔	tɕyeʔ5	tɕyəʔ5	tɕyeʔ5
鬱	y33	yeʔ5	y44
斤	tɕiən31	tɕiɘn31	tɕiɘn31
謹	tɕiən223b	tɕiɘn213	tɕiɘn313
勁	tɕiən33	tɕiɘn33	tɕiɘn44
芹	tɕʰiən223a	tɕʰiɘn223	tɕʰiɘn323
近	tɕiən33	tɕiɘn33	tɕiɘn44
欣	ɕiən31	ɕiɘn31	ɕiɘn31
殷	iən31	iɘn31	iɘn31
隱	iən223b	iɘn213	iɘn313
鄰	ȵiən223a	ȵiɘn223	liɘn323
吝	ȵiən33	ȵiɘn33	liɘn44
津	tɕiən31	tɕiɘn31	tɕiɘn31
進	tɕiən33	tɕiɘn33	tɕiɘn44
親	tɕʰiən31	tɕʰiɘn31	tɕʰiɘn31
秦	tɕʰiən223a	tɕʰiɘn223	tɕʰiɘn323
盡	tɕiən33	tɕiɘn33	tɕiɘn44
辛	ɕiən31	ɕiɘn31	ɕiɘn31
信	ɕiən33	ɕiɘn33	ɕiɘn44
珍	tsən31	tsən31	tsɘn31
鎮	tsən33	tsən33	tsɘn44
陳	tsʰən223a	tsʰən223	tsʰɘn323
陣	tsən33	tsən33	tsɘn44
真	tsən31	tsən31	tsɘn31
疹	tsən223b	tsən213	tsɘn313
震	tsən33	tsən33	tsɘn44
神	sən223a	sən223	sɘn323
伸	sən31	sən31	sɘn31
晨	tsʰən223a	tsʰən223	tsʰɘn323
腎	sən33	sən33	sɘn44
人	ɹən223a	ɹən223	ɻɘn323
忍	ɹən223b	ɹən213	ɻɘn313
刃	ɹən33	ɹən223	ɻɘn44
寅	iən223a	iɘn223	iɘn313
賓	piən31	piɘn31	piɘn31
殯	piən31	piɘn31	piɘn31
蘋	pʰiən223a	pʰiɘn223	pʰiɘn323
民	miən223a	miɘn223	miɘn323
泯	miən223b	miɘn213	miɘn313
緊	tɕiən223b	tɕiɘn213	tɕiɘn313
因	iən31	iɘn31	iɘn31
印	iən33	iɘn33	iɘn44
引	iən223b	iɘn213	iɘn313
彬	piən31	piɘn31	piɘn31
貧	pʰiən223a	pʰiɘn223	pʰiɘn323
閩	miən223b	miɘn213	miɘn313
敏	miən223b	miɘn213	miɘn313
巾	tɕiən31	tɕiɘn31	tɕiɘn31
僅	tɕiən223b	tɕiɘn213	tɕiɘn313
銀	iən223a	iɘn223	iɘn323
臻	tsən31	tsən31	tsɘn31
襯	tsʰən33	tsʰən33	tsʰɘn44
栗	ȵiəʔ5	ȵiəʔ5	liəʔ5
七	tɕʰiəʔ5	tɕʰiʔ5	tɕʰiəʔ5
疾	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
膝	ɕiəʔ5	ɕiəʔ5	ɕiəʔ5
秩	tsʰəʔ5	tsʰɿ33	tsʰəʔ5
侄	tsəʔ5	tsəʔ5	tsəʔ5
實	səʔ5	səʔ5	səʔ5
室	səʔ5	səʔ5	səʔ5
日	ɹəʔ5	ɹəʔ5	ɻəʔ5
逸	iəʔ5	iəʔ5	iəʔ5
畢	piəʔ5	piəʔ5	piəl5
匹	pʰi223a	pʰi223	pʰi323
蜜	miəʔ5	miəʔ5	miəʔ5
吉	tɕiəʔ5	tɕiəʔ5	tɕiəʔ5
一	iəʔ5	iəʔ5	iəʔ5
筆	piəʔ5	piəʔ5	piəl5
密	miəʔ5	miəʔ5	miəʔ5
乙	iəʔ5	iəʔ5	iəʔ5
蝨	səʔ5	səʔ5	səʔ5
輪	lən223a	lən223	lɘn323
遵	tsən31	tsən31	tsɘn31
俊	tɕiən33	tɕyɘn33	tɕiɘn44
皴	tsʰən31	tsʰən31	tsʰɘn31
詢	ɕyən223a	ɕyɘn223	ɕiɘn323
筍	sən223b	sən213	sɘn313
峻	tɕyən31	tɕiɘn33	tɕiɘn44
旬	ɕyən223a	ɕyɘn223	ɕiɘn323
殉	ɕyən223a	ɕyɘn33	ɕiɘn44
椿	tɕʰyən31	tɕʰyɘn31	tʰyɘn31
肫	tɕyən31	tɕyɘn31	tyɘn31
準	tɕyən223b	tɕyɘn213	tyɘn313
春	tɕʰyən31	tɕʰyɘn31	tʰyɘn31
蠢	tɕʰyən223b	tɕʰyɘn213	tʰyɘn313
唇	ɕyən223a	ɕyɘn223	tʰyɘn323
順	ɕyən33	ɕyɘn33	ɕyɘn44
瞬	ɕyən33	ɕyɘn33	ɕyɘn44
鶉	tɕʰyən223a	tɕʰyɘn223	tʰyɘn323
閏	yən33	yɘn33	yɘn44
勻	yən223a	tɕyɘn31	yɘn323
允	yən223b	yɘn213	yoŋ313
均	tɕyən31	tɕyɘn31	tyɘn31
郭	koʔ5	koʔ31	koʔ5
擴	kʰoʔ5	kʰoʔ5	kʰoʔ5
藿	xoʔ5	xoʔ5	xoʔ5
博	poʔ5	poʔ5	poʔ5
泊	pʰeʔ5	pʰoʔ5	pʰeʔ5
箔	pʰeʔ5	pəʔ5	peʔ5
薄	poʔ5	poʔ5	poʔ5
幕	mo33	mo33	mo44
莫	moʔ5	moʔ5	moʔ5
托	tʰoʔ5	tʰoʔ5	tʰoʔ5
踱	tɘɯᵘ33	tu33	tɐu44
諾	yoʔ5	loʔ5	loʔ5
樂	loʔ5	loʔ5	loʔ5
作	tsoʔ5	tsoʔ5	tsoʔ5
昨	tsoʔ5	tsoʔ5	tsoʔ5
索	soʔ5	soʔ5	soʔ5
各	koʔ5	koʔ5	koʔ5
胳	koʔ5	kəʔ5	koʔ5
噩	ŋoʔ5	ŋoʔ5	ŋoʔ5
鶴	xoʔ5	xoʔ5	xoʔ5
惡	ŋoʔ5	ŋoʔ5	ŋoʔ5
光	kuɑ̃31	kuã31	kuɔ̃31
廣	kuɑ̃223b	kuã213	kuɔ̃313
曠	kʰuɑ̃33	kʰuã33	kʰuɔ̃44
荒	xuɑ̃31	xuã31	xuɔ̃31
謊	xuɑ̃223b	uã213	xuɔ̃313
蝗	xuɑ̃223a	xuã223	xuɔ̃323
汪	uɑ̃31	uã31	uɔ̃31
幫	pɑ̃31	pã31	pɔ̃31
榜	pɑ̃223b	pã213	pɔ̃313
舫	fɑ̃223b	fã213	fɔ̃31
謗	pɑ̃33	pã33	pɔ̃44
滂	pʰɑ̃223a	pʰã31	pʰɔ̃323
旁	pʰɑ̃223a	pʰã223	pʰɔ̃323
傍	pɑ̃33	pã33	pɔ̃44
忙	mɑ̃223a	mã223	mɔ̃323
莽	mɑ̃223b	mã213	mɔ̃313
當	tɑ̃31	tã31	tɔ̃31
黨	tɑ̃223b	tã213	tɔ̃313
當	tɑ̃33	tã33	tɔ̃44
湯	tʰɑ̃31	tʰã31	tʰɔ̃31
躺	tʰɑ̃223b	tʰæ̃213	tʰɔ̃313
燙	tʰɑ̃33	tʰã33	tʰɔ̃44
糖	tʰɑ̃223a	tʰã223	tʰɔ̃323
盪	tɑ̃33	tã33	tɔ̃44
宕	tɑ̃33	tã33	tɔ̃44
囊	nɑ̃223a	lã223	lɔ̃323
曩	nɑ̃223b	lã213	lɔ̃313
狼	nɑ̃223a	lã223	lɔ̃323
朗	lɑ̃223b	lã213	lɔ̃313
浪	lɑ̃33	lã33	lɔ̃44
贓	tsɑ̃31	tsã31	tsɔ̃31
髒	tsɑ̃31	tsã31	tsɔ̃31
葬	tsɑ̃33	tsã33	tsɔ̃44
倉	tsʰɑ̃31	tsʰã31	tsʰɔ̃31
藏	tsʰɑ̃223a	tsʰæ̃223	tsʰɔ̃323
藏	tsɑ̃33	tsã33	tsɔ̃44
喪	sɑ̃31	sã31	sɔ̃31
嗓	sɑ̃223b	sã213	sɔ̃313
鋼	kɑ̃31	kã31	kɔ̃31
康	kʰɑ̃31	kʰã31	kʰɔ̃31
抗	kʰɑ̃33	kʰã33	kʰɔ̃44
昂	ŋɑ̃31	ŋã31	ɔ̃44
杭	xɑ̃223a	xã223	xɔ3̃23
肮	ŋɑ̃31	ŋã31	ŋɔ̃31
方	fɑ̃31	fã31	fɔ̃31
放	fɑ̃33	fã33	fɔ̃44
芳	fɑ̃31	fã31	fɔ̃31
紡	fɑ̃223b	fã213	fɔ̃313
訪	fɑ̃223b	fã213	fɔ̃313
防	fɑ̃223a	fã223	fɔ̃323
逛	kuɑ̃33	kuã33	kuɔ̃44
筐	kʰuɑ̃31	kʰuã31	kʰuɔ̃31
況	kʰuɑ̃33	kʰuã33	kʰuɔ̃44
娘	ȵiɑ̃223a	ȵiã223	liɔ̃323
釀	ɹɑ̃33	ȵiã33	liɔ̃44
梁	ȵiɑ̃223a	ȵiã223	liɔ̃323
亮	ȵiɑ̃33	ȵiã33	liɔ̃44
輛	ȵiɑ̃223b	ȵiã213	liɔ̃313
漿	tɕiɑ̃31	tɕiã31	tɕiɔ̃31
蔣	tɕiɑ̃223b	tɕiã213	tɕiɔ̃313
醬	tɕiɑ̃33	tɕiã33	tɕiɔ̃44
槍	tɕʰiɑ̃31	tɕʰiã31	tɕʰiɔ̃31
搶	tɕʰiɑ̃223b	tɕʰiã213	tɕʰiɔ̃313
牆	tɕʰiɑ̃223a	tɕʰiã223	tɕʰiɔ̃323
匠	tɕiɑ̃33	tɕiã33	tɕiɔ̃44
箱	ɕiɑ̃31	ɕiã31	ɕiɔ̃31
想	ɕiɑ̃223b	ɕiã213	ɕiɔ̃313
相	ɕiɑ̃33	ɕiã33	ɕiɔ̃44
祥	tɕʰiɑ̃223a	tɕʰiã223	tɕʰiɔ̃323
象	ɕiɑ̃33	ɕiã33	ɕiɔ̃44
張	tsɑ̃31	tsã31	tsɔ̃31
漲	tsɑ̃223b	tsã213	tsɔ̃313
帳	tsɑ̃33	tsã33	tsɔ̃44
暢	tsʰɑ̃33	tsʰã33	tsʰɔ̃44
腸	tsʰɑ̃33	tsʰã223	tsʰɔ̃323
杖	tsɑ̃33	tsã33	tsɔ̃44
莊	tɕyɑ̃31	tʃyã31	tyɔ̃31
壯	tɕyɑ̃33	tʃyã33	tyɔ̃44
瘡	tɕʰyɑ̃31	tʃʰyã31	tʰyɔ̃31
創	tɕʰyɑ̃33	tʃʰã33	tʰyɔ̃44
牀	tɕʰyɑ̃223a	tʃʰyã223	tʰyɔ̃323
狀	tɕyɑ̃33	tʃyã33	tyɔ̃44
霜	ɕyɑ̃31	ʃyã31	ɕyɔ̃31
爽	ɕyɑ̃223b	ʃyã213	ɕyɔ̃313
