漢字	IPA	IPA调类	注释
眉	mi²¹	mi2	
嵋	mi²¹	mi2	
楣	mi²¹	mi2	
美	mi²¹	mi2	
鎂	mi²¹	mi2	
媚	mi²¹	mi2	
靡	mi²¹	mi2	
微	mi²¹	mi2	
薇	mi²¹	mi2	
尾	mi²¹	mi2	
娓	mi²¹	mi2	
咪	mi³⁵	mi3	代词，什么
未	mi⁴⁴³	mi5	动词，潜
屘	mi⁴⁵	mi1	俗字，指最末尾
眯	mi⁴⁵	mi1	
溦	mi⁴⁵	mi1	
寐	mi⁵²	mi6	
魅	mi⁵²	mi6	
未	mi⁵²	mi6	
味	mi⁵²	mi6	
眠	min²¹	min2	
綿	min²¹	min2	
棉	min²¹	min2	
免	min²¹	min2	
勉	min²¹	min2	
娩	min²¹	min2	
冕	min²¹	min2	
緬	min²¹	min2	
抿	min³⁵	min3	
面	min⁵²	min6	
癟	mit⁴	mit7b	
搣	mit⁴	mit7b	动词，撕
滅	mit⁵²	mit8	
蔑	mit⁵²	mit8	
篾	mit⁵²	mit8	
苗	miu²¹	miu2	
描	miu²¹	miu2	
瞄	miu²¹	miu2	
渺	miu²¹	miu2	
杳	miu²¹	miu2	～无音信
秒	miu³⁵	miu3	
藐	miu³⁵	miu3	
貓	miu⁴⁵	miu1	
喵	miu⁴⁵	miu1	
妙	miu⁵²	miu6	
廟	miu⁵²	miu6	
磨	mo²¹	mo2	～刀
蘑	mo²¹	mo2	
摸	mo³⁵	mo3	
麼	mo⁴⁵	mo1	
摸	mo⁴⁵	mo1	
饃	mo⁴⁵	mo1	
摩	mo⁴⁵	mo1	
嬤	mo⁴⁵	mo1	
魔	mo⁴⁵	mo1	
磨	mo⁵²	mo6	石～
枚	moi²¹	moi2	
莓	moi²¹	moi2	
梅	moi²¹	moi2	
脢	moi²¹	moi2	
媒	moi²¹	moi2	
煤	moi²¹	moi2	
每	moi²¹	moi2	
侮	moi²¹	moi2	
枚	moi³⁵	moi3	动词，没牙齿的人用牙龈咀嚼
妹	moi⁴⁵	moi1	变调音，词缀，用于年轻女性
妹	moi⁵²	moi6	姊～：妹妹昧
髦	mok⁴⁵	mok7a	思考、谋划，算计
毣	mok⁴⁵	mok7a	把嘴巴合起向前
木	mok⁵²	mok8	
目	mok⁵²	mok8	
沐	mok⁵²	mok8	
苜	mok⁵²	mok8	
牧	mok⁵²	mok8	
鉬	mok⁵²	mok8	
睦	mok⁵²	mok8	
穆	mok⁵²	mok8	
瞞	mɵn²¹	mɵn2	
滿	mɵn²¹	mɵn2	
蟎	mɵn²¹	mɵn2	
門	mɵn²¹	mɵn2	
捫	mɵn⁴⁵	mɵn1	～肚：穿在外面的肚兜
悶	mɵn⁵²	mɵn6	
蒙	moŋ²¹	moŋ2	
朦	moŋ²¹	moŋ2	
瞢	moŋ³⁵	moŋ3	
懵	moŋ³⁵	moŋ3	
蒙	moŋ⁴⁵	moŋ1	名词，头部等经撞击而鼓起的疙瘩
檬	moŋ⁴⁵	moŋ1	柠～
曚	moŋ⁴⁵	moŋ1	～～光：蒙蒙亮
夢	moŋ⁵²	moŋ6	
抹	mɵt⁴	mɵt7b	～桌
沒	mɵt⁵²	mɵt8	
末	mɵt⁵²	mɵt8	
沫	mɵt⁵²	mɵt8	
摹	mu²¹	mu2	
模	mu²¹	mu2	
母	mu²¹	mu2	
拇	mu²¹	mu2	
巫	mu²¹	mu2	
誣	mu²¹	mu2	
無	mu²¹	mu2	
毋	mu²¹	mu2	
武	mu²¹	mu2	
鵡	mu²¹	mu2	
舞	mu³⁵	mu3	
募	mu⁵²	mu6	
墓	mu⁵²	mu6	
慕	mu⁵²	mu6	
暮	mu⁵²	mu6	
戊	mu⁵²	mu6	
務	mu⁵²	mu6	
婺	mu⁵²	mu6	
騖	mu⁵²	mu6	
霧	mu⁵²	mu6	
拿	na²¹	na2	
哪	na²¹	na2	
嗱	na²¹	na2	
姆	na³⁵	na3	
𤶸	na⁴⁵	na1	补丁、疤痕
那	na⁵²	na6	
乃	nai²¹	nai2	
奶	nai²¹	nai2	牛～
氖	nai²¹	nai2	
妮	nɐi²¹	nɐi2	
尼	nɐi²¹	nɐi2	
泥	nɐi²¹	nɐi2	
怩	nɐi²¹	nɐi2	
昵	nɐi²¹	nɐi2	
□	nai³⁵	nai3	动词，踩，踏
□	nɐi³⁵	nɐi3	表示疑问，哪里：去～
疓	nai⁴⁴³	nai5	疲倦，乏力
奶	nai⁴⁵	nai1	少～
尼	nɐi⁴⁵	nɐi1	表示人称复数的词缀
抳	nɐi⁴⁵	nɐi1	动词，掴
膩	nɐi⁵²	nɐi6	
□	nak⁴⁵	nak7a	动词，踩
男	nam²¹	nam2	
南	nam²¹	nam2	
楠	nam²¹	nam2	
腩	nam²¹	nam2	
腍	nɐm²¹	nɐm2	形容词，软
揇	nam³⁵	nam3	动词，钩持物件
諗	nɐm³⁵	nɐm3	动词，思索、考虑、想
𨂾	nam⁴⁴³	nam5	动词，跨；用脚步测量长度
揇	nam⁴⁴³	nam5	用手指一排
喃	nam⁴⁵	nam1	～斋：做法事
淰	nɐm⁵²	nɐm6	形容词，潮湿，受潮
難	nan²¹	nan2	艰～
寧	nɐn²¹	nɐn2	
獰	nɐn²¹	nɐn2	
檸	nɐn²¹	nɐn2	
撚	nɐn³⁵	nɐn3	动词，精心地摆弄
撚	nɐn³⁵	nɐn3	动词，踮
佞	nɐn³⁵	nɐn3	
㫱	nan⁴⁴³	nan5	因蚊虫叮咬或刺激等形成的皮肤表面疙瘩
拎	nɐn⁴⁵	nɐn1	动词，拿
難	nan⁵²	nan6	灾～
擰	nɐn⁵²	nɐn6	动词，扭、转动，掉转方向
能	nɐŋ²¹	nɐŋ2	
□	nɐŋ³⁵	nɐŋ3	那样，另一样
褦	nɐŋ⁴⁴³	nɐŋ5	动词，连带、拖带
抐	nap⁴	nap7b	动词，夹。镊子
凹	nɐp⁴⁵	nɐp7a	
粒	nɐp⁴⁵	nɐp7a	
納	nap⁵²	nap8	
捺	nap⁵²	nap8	
凹	nɐp⁵²	nɐp8	形容词，做事反应慢；黏糊糊
㶧	nat⁴	nat7b	粘合
焫	nat⁴	nat7b	俗写。热，烫。
匿	nɐt⁴⁵	nɐt7a	
匿	nɐt⁴⁵	nɐt7a	指示代词，那
溺	nɐt⁴⁵	nɐt7a	
㥾	nɐt⁵²	nɐt8	害怕、恐惧；担心
惱	nɐu²¹	nɐu2	
腦	nɐu²¹	nɐu2	
撓	nau³⁵	nau3	阻～
嬈	nau³⁵	nau3	
妞	nɐu³⁵	nɐu3	
撓	nau⁴⁴³	nau5	长□tau5～：指物体很长
孬	nau⁴⁵	nau1	～种，读书音
嬲	nɐu⁴⁵	nɐu1	生气
鬧	nau⁵²	nau6	
腬	nɐu⁵²	nɐu6	形容词，腻，食物油脂太多或太甜
諾	nɔk⁴	nɔk7b	角～：角落，两物之间的间隙，缝儿
諾	nɔk⁵²	nɔk8	
囊	nɔŋ²¹	nɔŋ2	
攮	nɔŋ²¹	nɔŋ2	动词，投掷
瓤	nɔŋ²¹	nɔŋ2	
襠	nɔŋ⁵²	nɔŋ6	白
襠	nɔŋ⁵²	nɔŋ6	白
呢	nɛ⁴⁵	nɛ1	语气词
𢆡	nɛ⁴⁵	nɛ1	乳房、乳汁
彌	ni²¹	ni2	
你	ni²¹	ni2	
昵	ni²¹	ni2	
□	ni⁴⁵	ni1	动词，粘贴
娘	niaŋ²¹	niaŋ2	阿～：奶奶；家婆
娘	niaŋ⁴⁴³	niaŋ5	阿～：新娘
鯰	nim²¹	nim2	
拈	nim⁴⁵	nim1	
黏	nim⁴⁵	nim1	
捻	nim⁴⁵	nim1	拿
稔	nim⁴⁵	nim1	
粘	nim⁴⁵	nim1	～贴
念	nim⁵²	nim6	
年	nin²¹	nin2	
輦	nin³⁵	nin3	
攆	nin³⁵	nin3	
捏	nip⁴	nip7b	
聶	nip⁴	nip7b	
涅	nip⁴	nip7b	
鎳	nip⁴	nip7b	
蘖	nip⁴	nip7b	分～
貼	nip⁴	nip7b	～对联
孽	nip⁵²	nip8	
䁥	nit⁴	nit7b	躲藏
鳥	niu²¹	niu2	
嫋	niu²¹	niu2	
嫋	niu⁴⁴³	niu5	蔫，萎缩；身材瘦弱
嫋	niu⁴⁵	niu1	形容词，细小，一般用在条状物品
尿	niu⁵²	niu6	
娜	no²¹	no2	
挪	no²¹	no2	
挼	no⁴⁵	no1	揉搓；～眼，亦写作“捼”
懦	no⁵²	no6	
糯	no⁵²	no6	
耐	noi³⁵	noi3	变调音，指时间长。好～：很久
奈	noi⁵²	noi6	
耐	noi⁵²	noi6	～用
內	noi⁵²	noi6	
□	nok⁴⁵	nok7a	底部、最角落的位置
暖	nɵn²¹	nɵn2	
嫩	nɵn⁵²	nɵn6	
農	noŋ²¹	noŋ2	
儂	noŋ²¹	noŋ2	
濃	noŋ²¹	noŋ2	
膿	noŋ²¹	noŋ2	
穠	noŋ²¹	noŋ2	
燶	noŋ⁴⁵	noŋ1	烧焦，糊
弄	noŋ⁵²	noŋ6	玩～
□	nɵt⁴	nɵt7b	因烧焦而发出难闻的气味
紐	nu²¹	nu2	
奴	nu²¹	nu2	
努	nu²¹	nu2	
弩	nu²¹	nu2	
杻	nu³⁵	nu3	
扭	nu³⁵	nu3	
忸	nu³⁵	nu3	
呶	nu⁴⁵	nu1	动词，嘴巴合起向前
鰍	nu⁴⁵	nu1	泥～
怒	nu⁵²	nu6	
女	ny²¹	ny2	
瓦	ŋa²¹	ŋa2	
牙	ŋa²¹	ŋa2	
伢	ŋa²¹	ŋa2	～～仔：婴儿
芽	ŋa²¹	ŋa2	
蚜	ŋa²¹	ŋa2	
蚜	ŋa²¹	ŋa2	
衙	ŋa²¹	ŋa2	
雅	ŋa²¹	ŋa2	
呀	ŋa⁴⁵	ŋa1	～大个口：张大嘴巴
打	ŋa⁵²	ŋa6	动词，因占据而造成阻碍
訝	ŋa⁵²	ŋa6	
捱	ŋai²¹	ŋai2	
崖	ŋai²¹	ŋai2	山～
涯	ŋai²¹	ŋai2	天～
危	ŋɐi²¹	ŋɐi2	
巍	ŋɐi²¹	ŋɐi2	
蟻	ŋɐi²¹	ŋɐi2	
□	ŋai³⁵	ŋai3	量词，片，边
𠊎	ŋai⁴⁵	ŋai1	～话：客家话
囈	ŋɐi⁴⁵	ŋɐi1	恳求，哀求
艾	ŋai⁵²	ŋai6	方兴未～
倪	ŋɐi⁵²	ŋɐi6	
鯢	ŋɐi⁵²	ŋɐi6	
偽	ŋɐi⁵²	ŋɐi6	
魏	ŋɐi⁵²	ŋɐi6	
藝	ŋɐi⁵²	ŋɐi6	
藝	ŋɐi⁵²	ŋɐi6	动词，用身体把别人挤开
囈	ŋɐi⁵²	ŋɐi6	
詣	ŋɐi⁵²	ŋɐi6	
羿	ŋɐi⁵²	ŋɐi6	
毅	ŋɐi⁵²	ŋɐi6	
呃	ŋak⁴⁵	ŋak7a	俗字，动词，骗
額	ŋak⁵²	ŋak8	
癌	ŋam²¹	ŋam2	～症
岩	ŋam²¹	ŋam2	
□	ŋam³⁵	ŋam3	动词，把物体倾斜
岩	ŋam⁴⁴³	ŋam5	旁边。身～：身边
啱	ŋam⁴⁵	ŋam1	
頑	ŋan²¹	ŋan2	
顏	ŋan²¹	ŋan2	
眼	ŋan²¹	ŋan2	
垠	ŋɐn²¹	ŋɐn2	
銀	ŋɐn²¹	ŋɐn2	
齦	ŋɐn²¹	ŋɐn2	
研	ŋan³⁵	ŋan3	白，动词，轧，滚压，碾压
銀	ŋɐn⁴⁴³	ŋɐn5	动词，用刀环割
銀	ŋɐn⁴⁴³	ŋɐn5	动词，抖；上下或前后摇摆
奀	ŋɐn⁴⁵	ŋɐn1	俗字，形容词，瘦小
奀	ŋɐn⁴⁵	ŋɐn1	动词，蜷缩身体向前钻
雁	ŋan⁵²	ŋan6	
贗	ŋan⁵²	ŋan6	
硬	ŋɐŋ⁴⁴³	ŋɐŋ5	尿臭味
硬	ŋɐŋ⁵²	ŋɐŋ6	
噏	ŋɐp⁴⁵	ŋɐp7a	乱讲话
噏	ŋɐp⁵²	ŋɐp8	摇摆、晃动；点头
嚙	ŋat⁴	ŋat7b	～牙
嚙	ŋat⁴	ŋat7b	形容词，臊，尿臭味
杌	ŋɐt⁴⁵	ŋɐt7a	动词，使劲摁
嚙	ŋat⁵²	ŋat8	老～～：很老的样子
仡	ŋɐt⁵²	ŋɐt8	
逆	ŋɐt⁵²	ŋɐt8	
兀	ŋɐt⁵²	ŋɐt8	
屹	ŋɐt⁵²	ŋɐt8	
淆	ŋau²¹	ŋau2	
爻	ŋau²¹	ŋau2	
肴	ŋau²¹	ŋau2	
咬	ŋau²¹	ŋau2	
牛	ŋɐu²¹	ŋɐu2	
偶	ŋɐu²¹	ŋɐu2	
藕	ŋɐu²¹	ŋɐu2	
咬	ŋau⁴⁵	ŋau1	拟声词，猫叫声
咬	ŋau⁴⁵	ŋau1	生～～：活生生
勾	ŋɐu⁴⁵	ŋɐu1	
鉤	ŋɐu⁴⁵	ŋɐu1	
□	ŋau⁵²	ŋau6	有～：不相上下
熬	ŋɐu⁵²	ŋɐu6	
傲	ŋɐu⁵²	ŋɐu6	
□	ŋɔk⁴	ŋɔk7b	动词，用力地吸
鄂	ŋɔk⁵²	ŋɔk8	
萼	ŋɔk⁵²	ŋɔk8	
愕	ŋɔk⁵²	ŋɔk8	
齶	ŋɔk⁵²	ŋɔk8	
鍔	ŋɔk⁵²	ŋɔk8	
顎	ŋɔk⁵²	ŋɔk8	
噩	ŋɔk⁵²	ŋɔk8	浑～
鱷	ŋɔk⁵²	ŋɔk8	
樂	ŋɔk⁵²	ŋɔk8	
嶽	ŋɔk⁵²	ŋɔk8	
昂	ŋɔŋ²¹	ŋɔŋ2	
□	ŋɔŋ⁴⁴³	ŋɔŋ5	动物尸体腐败的剧臭味
戇	ŋɔŋ⁵²	ŋɔŋ6	
□	ŋɛ⁴⁵	ŋɛ1	拟声词，小孩哭声
□	ŋit⁴	ŋit7b	拟声词，门轴等转动的声音；木构件等受压发出的声音
訛	ŋo²¹	ŋo2	
俄	ŋo²¹	ŋo2	
峨	ŋo²¹	ŋo2	
娥	ŋo²¹	ŋo2	
鵝	ŋo²¹	ŋo2	
蛾	ŋo²¹	ŋo2	
我	ŋo²¹	ŋo2	
柯	ŋo⁴⁵	ŋo1	
柯	ŋo⁴⁵	ŋo1	动词，铆
餓	ŋo⁵²	ŋo6	
臥	ŋo⁵²	ŋo6	
□	ŋœ⁴⁴³	ŋœ5	黄～～：黄得不顺眼
呆	ŋoi²¹	ŋoi2	～滞，读书音
艾	ŋoi⁵²	ŋoi6	五月～：艾草
礙	ŋoi⁵²	ŋoi6	
外	ŋoi⁵²	ŋoi6	
岸	ŋɵn⁵²	ŋɵn6	
哦	o²¹	o2	语气词
阿	o⁴⁵	o1	～胶
屙	o⁴⁵	o1	
柯	o⁴⁵	o1	姓
喔	o⁴⁵	o1	语气词
□	œ⁴⁴³	œ5	～傻：差劲，水平低
噯	oi²¹	oi2	～～地：摇晃着哄婴儿睡觉时，嘴里哼唱的歌谣
皚	oi³⁵	oi3	
藹	oi³⁵	oi3	
靄	oi³⁵	oi3	
曖	oi³⁵	oi3	～昧
凱	oi³⁵	oi3	
愛	oi⁴⁴³	oi5	
媛	oi⁴⁴³	oi5	
哀	oi⁴⁵	oi1	
埃	oi⁴⁵	oi1	
噯	oi⁵²	oi6	拟声词，本是叫唤狗的声音，用在叫人带有轻蔑的意思
屋	ok⁴⁵	ok7a	
按	ɵn⁴⁴³	ɵn5	
案	ɵn⁴⁴³	ɵn5	
安	ɵn⁴⁵	ɵn1	
桉	ɵn⁴⁵	ɵn1	
氨	ɵn⁴⁵	ɵn1	
鞍	ɵn⁴⁵	ɵn1	
岸	ɵn⁵²	ɵn6	又读
吾	oŋ²¹	oŋ2	～辈
吳	oŋ²¹	oŋ2	
梧	oŋ²¹	oŋ2	
蜈	oŋ²¹	oŋ2	
五	oŋ²¹	oŋ2	
午	oŋ²¹	oŋ2	
伍	oŋ²¹	oŋ2	
仵	oŋ²¹	oŋ2	
忤	oŋ²¹	oŋ2	
㧬	oŋ³⁵	oŋ3	动词，用力推
甕	oŋ⁴⁴³	oŋ5	
壅	oŋ⁴⁵	oŋ1	动词，以泥土等埋
誤	oŋ⁵²	oŋ6	
悟	oŋ⁵²	oŋ6	
□	ɵt⁴	ɵt7b	动词，拨，推
□	ɵt⁴	ɵt7b	拟声词，猪叫的声音
□	ɵt⁵²	ɵt8	～嗉：嗳酸，胃内酸性液体逆流到口腔
把	pa³⁵	pa3	
靶	pa³⁵	pa3	
壩	pa⁴⁴³	pa5	
霸	pa⁴⁴³	pa5	
吧	pa⁴⁴³	pa5	
巴	pa⁴⁵	pa1	
叭	pa⁴⁵	pa1	
芭	pa⁴⁵	pa1	
疤	pa⁴⁵	pa1	
笆	pa⁴⁵	pa1	
粑	pa⁴⁵	pa1	
爸	pa⁴⁵	pa1	
罷	pa⁵²	pa6	
擺	pai³⁵	pai3	
拜	pai⁴⁴³	pai5	
湃	pai⁴⁴³	pai5	
閉	pɐi⁴⁴³	pɐi5	
敝	pɐi⁴⁴³	pɐi5	
敝	pɐi⁴⁴³	pɐi5	动词，赔偿
蔽	pɐi⁴⁴³	pɐi5	
跛	pɐi⁴⁵	pɐi1	～脚
敗	pai⁵²	pai6	
稗	pɐi⁵²	pɐi6	
幣	pɐi⁵²	pɐi6	
毖	pɐi⁵²	pɐi6	
陛	pɐi⁵²	pɐi6	
斃	pɐi⁵²	pɐi6	
弊	pɐi⁵²	pɐi6	
百	pak⁴⁵	pak7a	
佰	pak⁴⁵	pak7a	
北	pak⁴⁵	pak7a	
伯	pak⁴⁵	pak7a	
白	pak⁵²	pak8	
帛	pak⁵²	pak8	
蔔	pak⁵²	pak8	
扳	pan³⁵	pan3	
板	pan³⁵	pan3	
版	pan³⁵	pan3	
丙	pɐn³⁵	pɐn3	
秉	pɐn³⁵	pɐn3	
餅	pɐn³⁵	pɐn3	
炳	pɐn³⁵	pɐn3	
稟	pɐn³⁵	pɐn3	
𢴬	pan⁴⁴³	pan5	动词，用棍棒使劲地打
殯	pɐn⁴⁴³	pɐn5	
鬢	pɐn⁴⁴³	pɐn5	
柄	pɐn⁴⁴³	pɐn5	
並	pɐn⁴⁴³	pɐn5	～且
班	pan⁴⁵	pan1	
頒	pan⁴⁵	pan1	
斑	pan⁴⁵	pan1	
㿀	pan⁴⁵	pan1	
奔	pɐn⁴⁵	pɐn1	
賓	pɐn⁴⁵	pɐn1	
彬	pɐn⁴⁵	pɐn1	
斌	pɐn⁴⁵	pɐn1	
濱	pɐn⁴⁵	pɐn1	
檳	pɐn⁴⁵	pɐn1	
冰	pɐn⁴⁵	pɐn1	
兵	pɐn⁴⁵	pɐn1	
辦	pan⁵²	pan6	
扮	pan⁵²	pan6	
湴	pan⁵²	pan6	浆状稀泥
瓣	pan⁵²	pan6	
笨	pɐn⁵²	pɐn6	
並	pɐn⁵²	pɐn6	～排
病	pɐn⁵²	pɐn6	
崩	pɐŋ³⁵	pɐŋ3	变调音，～大碗：草本植物雷公根
崩	pɐŋ⁴⁵	pɐŋ1	
繃	pɐŋ⁴⁵	pɐŋ1	
蹦	pɐŋ⁴⁵	pɐŋ1	
嘣	pɐŋ⁵²	pɐŋ6	拟声词，重击声；爆炸声；枪击声
八	pat⁴	pat7b	
捌	pat⁴	pat7b	
逼	pɐt⁴⁵	pɐt7a	
筆	pɐt⁴⁵	pɐt7a	
畢	pɐt⁴⁵	pɐt7a	
嗶	pɐt⁴⁵	pɐt7a	～哋：什么,什么东西跸
篳	pɐt⁴⁵	pɐt7a	
愎	pɐt⁴⁵	pɐt7a	
碧	pɐt⁴⁵	pɐt7a	
壁	pɐt⁴⁵	pɐt7a	
璧	pɐt⁴⁵	pɐt7a	
不	pɐt⁴⁵	pɐt7a	
拔	pat⁵²	pat8	
弼	pɐt⁵²	pɐt8	
飽	pau³⁵	pau3	
寶	pɐu³⁵	pɐu3	
保	pɐu³⁵	pɐu3	
葆	pɐu³⁵	pɐu3	
堡	pɐu³⁵	pɐu3	
褓	pɐu³⁵	pɐu3	
趵	pau⁴⁴³	pau5	
豹	pau⁴⁴³	pau5	
爆	pau⁴⁴³	pau5	
報	pɐu⁴⁴³	pɐu5	
包	pau⁴⁵	pau1	
苞	pau⁴⁵	pau1	
胞	pau⁴⁵	pau1	
鮑	pau⁴⁵	pau1	
煲	pɐu⁴⁵	pɐu1	
褒	pɐu⁴⁵	pɐu1	
齙	pau⁵²	pau6	
菢	pɐu⁵²	pɐu6	～鸡仔
暴	pɐu⁵²	pɐu6	
瀑	pɐu⁵²	pɐu6	飞～
曝	pɐu⁵²	pɐu6	
駁	pɔk⁴	pɔk7b	
博	pɔk⁴	pɔk7b	
搏	pɔk⁴	pɔk7b	
膊	pɔk⁴	pɔk7b	
壆	pɔk⁴	pɔk7b	堤坝；垄
㩧	pɔk⁴	pɔk7b	动词，用棍棒等敲、打
薄	pɔk⁵²	pɔk8	
鉑	pɔk⁵²	pɔk8	
礴	pɔk⁵²	pɔk8	
簿	pɔk⁵²	pɔk8	
泊	pɔk⁵²	pɔk8	
綁	pɔŋ³⁵	pɔŋ3	
榜	pɔŋ³⁵	pɔŋ3	
邦	pɔŋ⁴⁵	pɔŋ1	
幫	pɔŋ⁴⁵	pɔŋ1	
浜	pɔŋ⁴⁵	pɔŋ1	
傍	pɔŋ⁵²	pɔŋ6	依靠
謗	pɔŋ⁵²	pɔŋ6	
磅	pɔŋ⁵²	pɔŋ6	动词，秤量，过磅
唄	pɛ²¹	pɛ2	语气词
啤	pɛ⁴⁵	pɛ1	
啤	pɛ⁴⁵	pɛ1	动词，焊接
扒	pʰa²¹	pʰa2	
鈀	pʰa²¹	pʰa2	
耙	pʰa²¹	pʰa2	
杷	pʰa²¹	pʰa2	
爬	pʰa²¹	pʰa2	
琶	pʰa²¹	pʰa2	
怕	pʰa⁴⁴³	pʰa5	
趴	pʰa⁴⁵	pʰa1	
葩	pʰa⁴⁵	pʰa1	
排	pʰai²¹	pʰai2	
牌	pʰai²¹	pʰai2	
派	pʰai⁴⁴³	pʰai5	～遣
派	pʰai⁴⁵	pʰai1	～头
剌	pʰɐi⁴⁵	pʰɐi1	动词，削，雕刻，又写作岗
批	pʰɐi⁴⁵	pʰɐi1	
柏	pʰak⁴⁵	pʰak7a	
拍	pʰak⁴⁵	pʰak7a	
泊	pʰak⁴⁵	pʰak7a	
珀	pʰak⁴⁵	pʰak7a	
粕	pʰak⁴⁵	pʰak7a	糟～
魄	pʰak⁴⁵	pʰak7a	
貧	pʰɐn²¹	pʰɐn2	
頻	pʰɐn²¹	pʰɐn2	
平	pʰɐn²¹	pʰɐn2	文
評	pʰɐn²¹	pʰɐn2	
坪	pʰɐn²¹	pʰɐn2	
屏	pʰɐn²¹	pʰɐn2	
瓶	pʰɐn²¹	pʰɐn2	
萍	pʰɐn²¹	pʰɐn2	
品	pʰɐn³⁵	pʰɐn3	
盼	pʰan⁴⁴³	pʰan5	
襻	pʰan⁴⁴³	pʰan5	紧扎
噴	pʰɐn⁴⁴³	pʰɐn5	
拼	pʰɐn⁴⁴³	pʰɐn5	
姘	pʰɐn⁴⁴³	pʰɐn5	
聘	pʰɐn⁴⁴³	pʰɐn5	
攀	pʰan⁴⁵	pʰan1	
娉	pʰɐn⁴⁵	pʰɐn1	
娉	pʰɐn⁴⁵	pʰɐn1	椅、床等的靠背、护栏
棒	pʰɐŋ²¹	pʰɐŋ2	
朋	pʰɐŋ²¹	pʰɐŋ2	
彭	pʰɐŋ²¹	pʰɐŋ2	
棚	pʰɐŋ²¹	pʰɐŋ2	
硼	pʰɐŋ²¹	pʰɐŋ2	
鵬	pʰɐŋ²¹	pʰɐŋ2	
澎	pʰɐŋ²¹	pʰɐŋ2	
膨	pʰɐŋ²¹	pʰɐŋ2	
憑	pʰɐŋ²¹	pʰɐŋ2	
抨	pʰɐŋ⁴⁵	pʰɐŋ1	
烹	pʰɐŋ⁴⁵	pʰɐŋ1	
嘭	pʰɐŋ⁵²	pʰɐŋ6	像声词
劈	pʰɐt⁴⁵	pʰɐt7a	
霹	pʰɐt⁴⁵	pʰɐt7a	
匹	pʰɐt⁴⁵	pʰɐt7a	
癖	pʰɐt⁴⁵	pʰɐt7a	
辟	pʰɐt⁴⁵	pʰɐt7a	
僻	pʰɐt⁴⁵	pʰɐt7a	
汃	pʰat⁵²	pʰat8	
刨	pʰau²¹	pʰau2	
庖	pʰau²¹	pʰau2	
匏	pʰau²¹	pʰau2	
抱	pʰɐu²¹	pʰɐu2	
袍	pʰɐu²¹	pʰɐu2	
泡	pʰɐu²¹	pʰɐu2	呕～：呕吐
跑	pʰau³⁵	pʰau3	
奅	pʰau⁴⁴³	pʰau5	
泡	pʰau⁴⁴³	pʰau5	浸～
炮	pʰau⁴⁴³	pʰau5	
泡	pʰɐu⁴⁴³	pʰɐu5	～冬瓜：松软的冬瓜
孢	pʰau⁴⁵	pʰau1	
拋	pʰau⁴⁵	pʰau1	
泡	pʰau⁴⁵	pʰau1	灯～
皰	pʰau⁴⁵	pʰau1	
泡	pʰɐu⁴⁵	pʰɐu1	起～
撲	pʰɔk⁴	pʰɔk7b	
璞	pʰɔk⁴	pʰɔk7b	
樸	pʰɔk⁴	pʰɔk7b	～素
蚌	pʰɔŋ²¹	pʰɔŋ2	
傍	pʰɔŋ²¹	pʰɔŋ2	～晚
滂	pʰɔŋ²¹	pʰɔŋ2	
龐	pʰɔŋ²¹	pʰɔŋ2	
旁	pʰɔŋ²¹	pʰɔŋ2	
螃	pʰɔŋ²¹	pʰɔŋ2	
耪	pʰɔŋ⁴⁵	pʰɔŋ1	扁锄，用作翻地，搅拌，挖土等
□	pʰɛ²¹	pʰɛ2	金～：中国斗鱼，
□	pʰɛ²¹	pʰɛ2	动词，挑，拨
□	pʰɛ³⁵	pʰɛ3	歪斜：疲累
□	pʰɛ⁴⁵	pʰɛ1	扑克
被	pʰi²¹	pʰi2	～褥
婢	pʰi²¹	pʰi2	
皮	pʰi²¹	pʰi2	
枇	pʰi²¹	pʰi2	
疲	pʰi²¹	pʰi2	
琵	pʰi²¹	pʰi2	
脾	pʰi²¹	pʰi2	
蜱	pʰi²¹	pʰi2	
貔	pʰi²¹	pʰi2	
彼	pʰi³⁵	pʰi3	
鄙	pʰi³⁵	pʰi3	
屁	pʰi⁴⁴³	pʰi5	
胚	pʰi⁴⁵	pʰi1	
丕	pʰi⁴⁵	pʰi1	
紕	pʰi⁴⁵	pʰi1	
坯	pʰi⁴⁵	pʰi1	
披	pʰi⁴⁵	pʰi1	
砒	pʰi⁴⁵	pʰi1	
鈹	pʰi⁴⁵	pʰi1	
呸	pʰi⁵²	pʰi6	
擗	pʰiak⁵²	pʰiak8	俗字，动词，使劲地扔、甩
平	pʰiaŋ²¹	pʰiaŋ2	白
呯	pʰiaŋ⁴⁵	pʰiaŋ1	钱包。捞～：偷钱包
砰	pʰiaŋ⁵²	pʰiaŋ6	～～：锣声
便	pʰin²¹	pʰin2	～宜
遍	pʰin⁴⁴³	pʰin5	
片	pʰin⁴⁴³	pʰin5	
騙	pʰin⁴⁴³	pʰin5	
編	pʰin⁴⁵	pʰin1	
蝙	pʰin⁴⁵	pʰin1	
偏	pʰin⁴⁵	pʰin1	
篇	pʰin⁴⁵	pʰin1	
翩	pʰin⁴⁵	pʰin1	
撇	pʰit⁴	pʰit7b	
撇	pʰit⁵²	pʰit8	脸～～：软而烂
嫖	pʰiu²¹	pʰiu2	
瓢	pʰiu²¹	pʰiu2	
薸	pʰiu²¹	pʰiu2	水生漂浮植物的泛称
樸	pʰiu²¹	pʰiu2	姓
