漢字	IPA	IPA调类	注释
香	hiaŋ⁴⁵	hiaŋ1	
秧	hiaŋ⁴⁵	hiaŋ1	又读
險	him³⁵	him3	
欠	him⁴⁴³	him5	
謙	him⁴⁵	him1	
謙	him⁴⁵	him1	动词，拿在手里
遣	hin³⁵	hin3	
繾	hin³⁵	hin3	
顯	hin³⁵	hin3	
蜆	hin³⁵	hin3	
衍	hin³⁵	hin3	又读
芡	hin⁴⁴³	hin5	
憲	hin⁴⁴³	hin5	
獻	hin⁴⁴³	hin5	
牽	hin⁴⁵	hin1	
掀	hin⁴⁵	hin1	
軒	hin⁴⁵	hin1	
歉	hip⁴	hip7b	
怯	hip⁴	hip7b	
協	hip⁴	hip7b	
脅	hip⁴	hip7b	
挾	hip⁴	hip7b	要～
歇	hit⁴	hit7b	～～
曉	hiu³⁵	hiu3	
竅	hiu⁴⁴³	hiu5	
翹	hiu⁴⁴³	hiu5	
僥	hiu⁴⁵	hiu1	
囂	hiu⁴⁵	hiu1	
何	ho²¹	ho2	
河	ho²¹	ho2	
荷	ho²¹	ho2	～花
可	ho³⁵	ho3	
荷	ho⁴⁴³	ho5	薄～
訶	ho⁴⁵	ho1	
呵	ho⁴⁵	ho1	
苛	ho⁴⁵	ho1	
坷	ho⁴⁵	ho1	
賀	ho⁵²	ho6	
哦	hœ⁴⁵	hœ1	起哄、喝倒彩
靴	hœ⁴⁵	hœ1	
㗾	hœ⁵²	hœ6	～气：慢慢吐气
孩	hoi²¹	hoi2	小～,读书音
海	hoi³⁵	hoi3	
開	hoi⁴⁵	hoi1	
亥	hoi⁵²	hoi6	
駭	hoi⁵²	hoi6	～人听闻
害	hoi⁵²	hoi6	
酷	hok⁵²	hok8	冷～
鼾	hɵn²¹	hɵn2	
韓	hɵn²¹	hɵn2	
寒	hɵn²¹	hɵn2	
旱	hɵn²¹	hɵn2	
罕	hɵn³⁵	hɵn3	
刊	hɵn³⁵	hɵn3	
侃	hɵn³⁵	hɵn3	
犬	hɵn³⁵	hɵn3	
漢	hɵn⁴⁴³	hɵn5	
看	hɵn⁴⁴³	hɵn5	～望
勸	hɵn⁴⁴³	hɵn5	
看	hɵn⁴⁵	hɵn1	～更
圈	hɵn⁴⁵	hɵn1	
