	注释：-白读；=文读
tsʰ	[1]川[2]蹲
ɬ	[2]旋{～转}[6]□{用舌头舔}
k	[1]关-{～门}光-{天～：天亮}[2]权颧{～骨}狂{发～：生气且发怒}[3]管-{竹筒制作的量米容器：米～。计量单位，十管为一斗}卷{动词}广[5]卷{考～}倦{疲～}券桊{鼻～：套在牛鼻子上的环}□{动词，把东西穿成一串}
kʰ	[1]匡{～扶}筐眶{目珠～：眼眶}框{～架}[2]楻{木制的大桶（多为圆形）；量词，指一楻的容量}[3]旷{～工}矿[5]劝况[6]□{空～：指某个范围内尚留有空间}
ŋ	[2]元{～旦；银～}原源[6]愿{甘～；自～}
h	[1]婚荒慌谎方肪{脂～}芳[2]繁{～荣；～忙}园-{～□mouŋ24：篱笆}皇妨{～碍}防={国～}[3]晃{摇～}仿{～效}纺访[5]放={解～}[6]远-{～近}
∅	[1]冤{伸～}汪[2]圆={团～}完{～成}丸员袁园={公～}黄簧{弹～}璜{省～：闽清县镇名}亡王[3]远={永～}网={泛指渔网}往{前～}䘼{手～：袖子；手～尾：袖口}[5]怨{抱～；积～}[6]援{～助}忘妄望={希～}旺
#yoŋ	
t	[1]张{姓；紧～}[2]长={～乐：地名}场[3]长{生～；～大}[5]帐账胀[6]丈{～侬：丈人}长{剩余。《广韵》直亮切}
tʰ	[1]张{量词}[5]畅{舒～：（心情或身体）舒服}[6]仗{仪～}杖
n	[2]娘=[6]让
l	[2]良凉{清～}量{动词}粮梁粱[3]两={重量单位}[6]恋{2谈～爱}亮={～度}谅辆量{数～；产～}
ts	[1]砖{～头}将{～来；～军；处置式介词，相当于“把”}浆{米～}章樟[3]蒋{姓}奖桨掌={巴～；～握}[5]酱将{上～}匠障瘴
tsʰ	[1]枪昌菖{～蒲}鲳□{股～：肛门；股～䫌：屁股}[2]墙[3]喘抢厂[5]唱倡{提～}[6]象像橡
ɬ	[1]相={互～}箱厢湘襄商伤[2]详祥常尝裳{衣～：衣服}偿[3]想鲞{鱼～：剖开晒干的鱼干}赏[5]相{动词，盯着看，一直看；看～：看面相、手相等}[6]上痒尚
k	[1]绢娟捐疆僵缰{～索：缰绳}薑{～母：种了一年的老姜}羌麠{当地一种野生的鹿。△海里好食马鲛鲳，山里好食麂鹿～}[2]强{～大}[3]强{勉～}[5]建健毽{踢～}[6]键
kʰ	[1]腔
ŋ	[2]言[3]仰{人名}
ɕ	[1]轩香乡兄={3弟=～}[3]享响[5]宪献饷{领～：领工资；发～：发工资；粮～}向
∅	[1]焉{心不在～}渊央殃□{～朋友：把恋爱对象带回家}[2]然燃延缘沿{边～；～海}铅{～笔}羊洋{地名用字}烊{融化}杨阳扬疡{溃～}[3]壤{土～}养[5]映{反～}[6]件{量词}样
#ouŋ	
p	[1]帮[2]旁傍{～晚}[3]榜[6]塝{界隔梯田的纵坡。有的人读作pʰouŋ132}
pʰ	[6]蚌{海～}磅{～秤}碰{～电：短路}泵
m	[1]□{一种可以做柴火的草}□{园～：篱笆}[2]忙{急急～～}芒{～种；～果；麦～}茫{渺～}[3]莽{草～英雄}蟒[6]氓{流～}
t	[1]墩{～囝：溪边水流冲击留下的土墩、沙丘、小洲}当{～时；～然}桩钝{刀不利}中-{□tai31～：中间}驐{阉割：～羊}□{（身体）被碰、撞后受伤}[2]堂棠唐塘长{～短}肠[3]断-{1裂成两段或多段}党挡涨{～水}垱{柴～：用石块、圆木块制成的简易坐凳；地名用字，上～：金沙镇村名}[5]顿-{量词：蜀～饭：一顿饭}当{典～}[6]断-{2～绝}段-{量词；年～；～落}缎{绸～}椴{树名}荡{放～；浪～}丈-{长度单位}撞{冲～}逿{～雨：下雨；～雪：下雪；～雹：下冰雹。分音形式为[tɔ31louŋ132]}
tʰ	[1]吞汤[2]糖豚{猪～囝：不大不小的猪，也用于骂不大不小的孩子}[5]褪{～衣裳：脱衣服；～皮：（蛇）蜕皮}[6]烫{将饭菜重新煮热}
n	[2]囊{～中羞涩}郎{～爸：父亲}娘-{～奶：母亲}瓤□{以指捻碎：～碎}[3]暖-{天～}[6]嫩{（个头、年纪）小。大～：大小；～弟：（排行最小的）弟弟；阿～：对家中小孩的一种称呼、绰号}酿
l	[1]□{直拳击打}[2]崙{昆～山}郎{新～官}廊狼[3]朗𬡨{～裤：内衣裤；羊毛～：毛衣}□{～裤：内衣裤；羊毛～：毛衣}[5]崙{～顶：山顶}[6]卵{～袋：卵生动物的卵巢}论{议～；～语}浪
ts	[1]尊遵赃庄装[2]存藏{读字}[3]钻{～石}[5]钻{动词；～囝：做女红的小锥子}葬壮[6]藏{西～}臓{指腑脏}状
tsʰ	[1]闩{门～。有的人读作}村仓苍{～耳}疮{痔～}窗[2]床噇{无节制大吃大喝（贬义）}[5]窜篡{～改}串寸闯创
ɬ	[1]酸拴{消防～}宣孙丧{～事}霜孀相-{～拍：打架}[2]□{伤口受刺激时又辣又痛的感觉}[3]选损爽{～快}[5]算蒜逊
k	[1]根={～据；人名}冈岗刚纲钢缸光={～饼：一种食物}豇{～豆}江={～西}扛{双人抬：～轿}[2]灴{烫，热。一种烹饪方式，以强火加热：～肉；～潘：煮猪食（用于喂猪）}[3]讲[5]杠降{下～；霜～}
kʰ	[1]崑{～仑山}坤{乾～}康糠[2]扛{（单人）用肩膀承担物体}[3]恳{诚～}垦{开～}慷{～慨}[5]困{～难}睏{～眠：睡觉}抗囥{藏}
ŋ	[2]昂[6]戆{傻}
h	[1]熏-{香烟，食～：抽烟}[2]痕{～迹}行{银～；～列；品～}航杭防{～贼}降{投～}[6]恨项{仰～：仰脖子}
∅	[1]恩秧{插～}[2]□{时间长、久}□{水浑浊}[3]影-{1倒南～：背光或光线不好、阳光不足}[5]眏{～老侬：照看老人}[6]笐{竹～：用于晾晒的竹竿}
#øyŋ	
pʰ	[5]𦜍{形容面部浮肿}
m	[1]□{～糕：一种用大米和黄豆制作的食物}□{汗～：白斑病}[2]□{涨大，变得蓬松}[3]蠓{～囝：蠓虫}[5]梦[6]网-{指圆形的渔网}望-{～书：看书}
t	[1]东-{桥～：梅溪镇村名}冬‖□{～□nœ33：疑问代词，哪里}[2]同-{合～}铜桐{梧～}筒{竹～}□{疑问代词，谁}[5]冻-{手野～：手很冷}[6]动-{起～：劳驾}洞重-{轻～}
tʰ	[1]通-{通风；疏通（管道等）}嗵{伓～（合音形式为[nøyŋ24]）：不要}[2]虫[3]桶
n	[2]脓-{流～汁：流脓；做～：伤口发炎}侬{人}[3]软-{（稀饭、水泥等）因水放多了而质地软}
l	[2]笼聋咙{喉～}垄{山～塍：山上的耕田}砻{涂～：脱去稻谷外皮的农具。△～粟换补被：指旧时男性、女性（乡邻）互帮互助}[3]拢{收～}[6]弄{～□nia31哥：（大人）逗小孩；□ɬiaŋ53鸡～犬：形容小孩顽皮好动；两座房屋中间的小路}亮-{白～：破晓}
ts	[1]棕{～树}鬃□{火野～：生气，发怒}[2]潨{水自上冲下}[3]总-{菜～：（萝卜等植物的）缨子}[5]粽
tsʰ	[1]葱
ɬ	[1]双{～生囝：双胞胎}鬆{轻～}[3]𢱤{动词，（突然间用力、很重地）推}[5]送
k	[1]江-{大河}工{～作；蜀～：一天}[3]港□{牛～：公牛}[5]□{辣～～：形容极辣}[6]共-{并列连词，相当于“和”}
kʰ	[1]蚣{□iŋ53～：蜈蚣}空-{～～：窟窿；凿～：榫卯结构中的凹进部分；腹□lɔ33～：肚子饿}[6]孔-{拍～：打孔；～～：窟窿}
h	[1]烘{用火烤；熏制：～肉}[5]巷□{～菜：苋菜}
∅	[2]红-{颜色}[5]瓮{大陶罐}
#ŋ̍	
∅	[1]伓{表否定。～是：不是；～使：不要}唔{表否定。～是：不是；～使：不要}
#ik	
p	[7]秘{～书；～密}笔毕{～业}必{～裂：裂开}逼辟{开～；复～}□{钱少，穷}[8]蓖{～麻}
pʰ	[7]匹{量词；～配}碧癖{拗～：形容脾气执拗}[8]□{水急速喷出。分音形式为[pʰiʔ5lik5]}
m	[8]密={秘～；～封}蜜域{区～}觅沕{～讨：捉迷藏}
t	[7]的{目～}滴嫡{～亲}[8]蛰{惊～}侄直值殖{生～}植{～树}敌狄{姓}□{要，意欲占有。～□nik5（“伓～”[ŋ̍53tik5]合音）：要不要}
tʰ	[7]踢{～球}剔{～骨}
n	[7]逆□{～久：一会儿；～囝：一点儿}[8]日{～头：太阳}廿{二十}
l	[7]□{（数量、长度、资金等）似够非够}[8]立{～夏；～正}笠{斗～}栗{～子}力歷{～史}曆{农～}□{□i-44～：红白喜事中，东家给宾客的吉利彩头}
ts	[7]执{～行}质{～量}即{立～}鲫{涂～：鲫鱼}织职积{食～过：积食，消化不良}脊绩[8]缉{通～}集辑{编～}籍{书～}寂{～寞}
tsʰ	[7]七漆斥戚{亲～}赤={～骹医生：赤脚医生}[8]□{液体从小孔中快速喷出，分音形式为[tsʰiʔ5lik5]}
ɬ	[7]湿{～疹}悉{熟～}失室息熄{～灯}蚀{日～月～}识式{样～}饰适锡析[8]习袭实{～在}食={粮～}翼-{翅膀}惜{可～}席={酒～}夕释{解～}石={蒋介～：人名}
k	[7]急吉橘戟{方天画～}击激[8]及{～格}极
kʰ	[7]乞={表被动，～侬拍：被人打}
ŋ	[7]级{年～；～别}吸{～收}[8]□{汤凝成冻了；人发愣呆住，原文作“凝”}译{翻～}
ɕ	[7]熻{～饭：焖干饭；～番薯：焖番薯；～粟种：提高温度浸泡稻种，使其容易发芽}
∅	[7]揖{作～}乙一益[8]冀{～州：地名}入{收～；～党}逸{一劳永～}翼={左～，右～}亦易{贸～}液{～体}疫役
#uk	
p	[7]不腹{～□lɔ33：肚子、腹部；满～经纶}[8]蔔{红萝～}
pʰ	[7]赴{～京赶考}讣{～告}扑仆{前～后继}覆-{铜钱卜卦掷出反面；～罩：遮盖饭桌上饭菜的半圆形罩子；拍～船：翻船}
m	[7]□{形容质地太细（如沙子）}[8]木={～材；树～}目={～的}穆{姓}牧{～童}
t	[7]笃督涿{动词、名词，点。～蜀～：点一个点}[8]独牍毒
l	[8]律禄
ts	[7]卒{象棋棋子}[8]族
tsʰ	[7]歠{动词，喝（酒）}出[8]黜{乌～～：形容极黑}
ɬ	[7]素戌{地支}速束{结～}[8]朮{白～：药名}术述秫{～米：糯米}粟={姓}
k	[7]穀{～雨}谷{山～}[8]掘{挖，刨地：～土；～笋}
kʰ	[7]屈{～原：人名}酷
h	[7]福幅覆={～盖；颠～}拂{～扫：掸子；鸡毛～：鸡毛掸子；～尘}[8]復{～兴；～原}複{重～}佛{如来～；～像}服{～装；克～}伏{三～}
∅	[7]熨{～斗}[8]物勿{闲人～进}握{～手；掌～}屋{房～}
#yk	
t	[7]竹筑{～橂：塞紧}[8]逐{～出：赶走；～转：（一般指动物）追回}轴
n	[8]肉
l	[8]率{概～}陆{大～}
ts	[7]祝粥{饭～：稀饭}叔{～公}足{满～}
tsʰ	[7]促触
ɬ	[7]肃宿{住～；～舍；二八～：二十八星宿}淑[8]叙{记～}续{手～；继～}熟{煮～}俗嘱{遗～}赎{买～}蜀={～国}属
k	[7]菊□{淹没，淹水（涝灾）；～水：溺水}[8]□{（饭）稠}
kʰ	[7]乞-{～食：乞丐}麴{酒～}曲={～折；歌～；九～溪：武夷山景点名}
ŋ	[8]玉={人名}
ɕ	[7]畜{牲～；六～；～牧}蓄{储～}
∅	[8]郁育辱褥欲浴
#ak	
p	[7]□{～马：扒手、小偷}[8]钹{乐器}
pʰ	[8]□{液体沸出、溢出}
t	[7]答搭{～车：乘车；用长针脚将布料缝制在一起}□{～□ta132：喝酒时稍微抿一下}[8]踏{～步}达
tʰ	[7]塔塌[8]沓{量词，蜀～纸：一沓纸}叠-{～碗：把碗摞起来}
n	[7]□{～门：敲门（与“拍门”同义）}[8]纳{～鞋底}捺{撇～}
l	[7]瘌{～头：因生疮等原因而秃头，也指头发脱光的人}[8]腊{～月}蜡镴{锡～}猎{～物；拍～：打猎}粒{量词}辣□{手䘼～□tɛi33：袖子撸起}
ts	[7]炸{油～馃：油条}扎{～手䘼：把袖子整齐折起}[8]杂闸铡={～刀；～秆：铡稻秆}栅{～栏}
tsʰ	[7]插擦察{警～；纠～}□{无～伊：不理睬他}
ɬ	[7]萨{菩～}杀{～人犯}刹{～车}[8]煠{动词，（放在开水里）煮。～卵：以水煮蛋}□{～母：蟑螂}
k	[7]蛤{花～}鸽裌{～袄}甲胛{肩～骨}割葛{～藤}□{～好：表示两者相比之下，其中一个更好}[8]辖{管～}洽{无～厝：不在家}
kʰ	[7]拾{捡}渴{喙～：口渴}□{副词，表示程度高}
h	[7]喝{大声吼叫，大声骂人}[8]合辖{直～市}□{～钱：找钱}
∅	[7]鸭押压{～迫；～力}[8]盒匣
#iak	
p	[8]□{拍（动作）}
t	[8]□{跑}
tʰ	[7]獭{水～}拆□{～目：眨眼}
n	[7]𥍉{眨眼；～线：闪电}
l	[7]靸{鞋～：拖鞋}[8]裂
ts	[7]㵶{（液体）溅出}[8]□{～～叫：形容思索时咂巴嘴并发出声音}
tsʰ	[7]礤{番薯～：（蔬菜）擦丝的工具}□{篾～：用于晒稻谷的长方形竹制工具}[8]□{踩}
k	[7]□{形容年轻女孩活泼}[8]揭-{～旗：擎旗}
kʰ	[7]□{～相：照相}
ŋ	[7]□{差劲}[8]□{抬、仰（头）}
ɕ	[7]□{（人或楼房）站立不稳}[8]页
∅	[8]□{～蒲扇：扇扇子}
#uak	
p	[7]钵拨[8]跋{～蜀倒：摔倒（比“摔蜀倒”程度轻）；～珓杯：投掷珓杯；～骰子}钹{乐器}
pʰ	[7]泼[8]伐{跨、迈}□{跨、迈}□{动词，用吊桶打水}
m	[7]抹{～笔：沾墨或捋直毛笔笔尖}[8]末{年～}沫{泡～}没{沉～}
tʰ	[7]脱={～离}
k	[7]括{包～；～弧}刮={～骨疗伤}
kʰ	[7]阔{～喙：嘴巴宽大}
h	[7]法發={～展；～财}[8]乏{～味}滑={～皮：狡猾}猾{狡～}伐{～木}筏罚阀
∅	[7]挖[8]活袜
#ɛik	
p	[7]别{会～：懂；𣍐～：不懂，原文作“八”}百={～货公司}[8]拔白={～亮：破晓；～云：永泰县乡名}
pʰ	[7]迫={急～}魄={～力}
m	[8]密-{间隔小、距离近：～～麻麻}
t	[7]得德[8]特泽{液体慢慢沥干}择{选～}
tʰ	[7]帖贴
n	[7]□{潭～：鲶鱼}
l	[8]肋{～骨}勒{～令；～死}
ts	[7]汁{目～油：眼泪}节-{五月～：端午节；冬～：冬至；做～：过节}则{原～}责[8]铡-{～刀}截{量词；动词，截断、关闭，一般指水阀}
tsʰ	[7]厕{～所}侧测策[8]贼
ɬ	[7]涩瑟{琴～}虱{～母：虱子；木～：臭虫}塞{～车：堵车}色[8]十什{～锦}
k	[7]戒{～酒}结-{把绳子系紧：～鞋带；拍～：打结}洁-{澈～：干净（因声母类化现象，读作[tʰa31-24ɛik32]）}锲{镰～：镰刀（割稻子）；柴～：劈柴的刀}革[8]夹={讲义～}□{量词，指称有包装、非散装的物品，或一叠纸}□{～牛：阉割牛}峡{三～}
kʰ	[7]刻克客={～气}□{～油：榨油}□{闭眼}[8]□{挤}
h	[7]血黑[8]峡{三～}或={～者}赫{～～有名}获划={计～}□{～气：因劳累或生病而一直喘气}
∅	[7]擪{往下按、压}□{往下按、压}[8]狭{（空间）窄：宽～}
#iek	
p	[7]鳖憋{～气}别{～针}□{形容脾气怪，不合群}[8]别{区～}
pʰ	[7]撇{～捺}劈{～开；～倒}
m	[8]灭篾{竹～}
t	[7]哲[8]碟牒{通～}蝶谍秩{～序；十年一秩}叠={七～温泉：塔庄镇地名}
tʰ	[7]彻{～底}撤{～消}铁
n	[7]聂{姓}捏{～造}
l	[8]列烈劣
ts	[7]接折{～纸}浙{～江}节={～日；～气；～约}
tsʰ	[7]砌妾切{～面：一种面食}[8]蠞{海蟹的一种}蠘{海蟹的一种}□{～痨：痨病}
ɬ	[7]逝薛{姓}泄{～尿：（不自觉地）尿床；～屎：（失禁、不自觉的）拉屎在身上}设[8]涉{干～}折{骨～}舌{喙～：舌头；火～：火焰}
k	[7]劫夹-{～菜}揭={～发}结{团～；～婚}洁={读字}竭[8]杰
kʰ	[7]缺-{～喙：豁嘴；～哥：指豁嘴的人}
ŋ	[7]镊{～～：镊子、夹子；刺～：拔刺的镊子}[8]业
ɕ	[7]摄{～影}[8]谐{和～}胁协穴{～位}
∅	[8]叶{姓}热
#uok	
p	[7]□{～遘：快到了；～快：（时间）很快就到、即将到来}
ts	[8]绝{～对}
ɬ	[7]雪说{小～；～明书}[8]□{绕}
k	[7]国蕨{指蕨类植物，可食用}[8]橛{量词，段、截}
kʰ	[7]厥缺={～点}却{了～}扩{～充}[8]月{～奶：月亮}
h	[7]髪{头～}
∅	[8]越{～来～好}
#yok	
l	[8]略{省～；侵～}
tsʰ	[7]雀{拍麻～：打麻将}鹊芍{白～：药名}
k	[7]决诀{口～}羯{～猪：阉割猪}
kʰ	[8]剧{行高～：走高跷}
ŋ	[8]虐{～待}
ɕ	[7]歇{～气：休息}
∅	[7]约弱{疲惫，引申为做某事不顺意，导致没有信心}[8]阅{～读}若={读字}弱{～点}跃
#ouk	
p	[7]發-{～狂：生气且发怒}博{～士；对～：对换、交换}搏{拼～}剥={～削}卜{～卦}驳{反～；～船}[8]勃{野心～～}渤{～海}泊={湖～；梁山～}薄={刻～}
pʰ	[7]朴{～素}[8]□{～～：泡泡；鱼～：鱼吐出的泡泡}
m	[7]幕{荧～；开～}□{煮野～：煮很烂}[8]莫{～斯科}
t	[7]卓{～越}悼{哀～}琢{～石}啄[8]夺突{～然}铎
tʰ	[7]脱-{～毛：（杀禽类之前）拔毛}托{～儿所}託{～辞}□{～茶：沏茶；～开水：烧开水}[8]秃沰{下垂，下坠，分音形式为[tʰɔʔ-44louk5]。～肠头：脱肛；～颏：下巴骨脱落，也比喻骂人话说得太多}
l	[8]落={～叶；～花}骆{～驼}洛络乐={快～}
ts	[7]拙作{工～；～业}[8]浊{浑～}
tsʰ	[7]撮{量词：蜀～米：一撮米}□{向人借东西：～钱}[8]戳{邮～}□{用手指抓取物品}
ɬ	[7]刷蟀缩
k	[7]刮-{用刀在物体表面刮；～痧}骨各{～位}觉{感～；自～}[8]滑{～蜀倒：滑倒。分音形式为[kɔʔ-44louk5]，意为“打滑”}
kʰ	[7]确{～实}窟{小坑。～～：小坑；潭～：小水坑；酒～：酒窝}[8]㩁{用手指关节敲击}
ŋ	[7]鄂[8]岳{姓}嶽{五～}乐{音～}
h	[7]□{用棍子等条状工具打}[8]核{～心；果～}鹤霍{姓}藿{～香}学={～校；～习；～生}
∅	[7]恶{可～；～霸}
#øyk	
p	[7]北
pʰ	[7]迫-{压～}魄-{魂～}
m	[7]□{～鬼：梦魇}[8]墨{～水；白～：粉笔}默木-{～虱}目-{～珠：眼睛；植物枝节的连接处：竹～；蔗～}茉{～莉}
t	[7]□{～猪骹：剁猪脚}□{～着：遇见，碰上}
tʰ	[7]□{（用刀子、竹竿等工具）捅。～蜂窝；～苹果}[8]读{～书}
l	[7]□{～把：工具的手柄和前端脱落；～去：口语词，表示算了、过去了}[8]鹿六盝{～饭：把大米从水中捞起}
tsʰ	[8]凿{～破：戳破；～蜀空：凿个洞；名词，～囝：凿卯孔的木工工具}
ɬ	[7]摔{～乇：摔东西；～蜀倒：摔倒（比“跋蜀倒”程度重）}
k	[7]角{～～：指空间的角落或动物头上的角；鸡～：公鸡}
kʰ	[7]壳
h	[8]或{～者}惑{迷～}斛{用于打稻谷，并盛放脱粒谷物的四方形木桶}
#aʔ	
p	[8]白-{颜色}
m	[8]麦脉
t	[7]矺{～酒：以重物按压的方式，从酒糟中分离出酒；～岁钱：压岁钱}□{～酒：以重物按压的方式，从酒糟中分离出酒；～岁钱：压岁钱}
tʰ	[8]宅{房～；莲～：塔庄镇村名}
tsʰ	[7]册{量词；花名～}
k	[8]□{撬：～门；～锁}□{量词，指称有包装、非散装的物品，或一叠纸}
#iaʔ	
t	[7]摘[8]籴{～米：买米}
tsʰ	[7]赤-{～壁}刺{用毛线针织毛衣：～羊毛𬡨}
n	[8]搦{～贼：捉贼；～讨：捉迷藏}
l	[8]□{用于晾晒东西的竹制圆形工具}𤘃{用于晾晒东西的竹制圆形工具}
ɬ	[8]食-{野～：贪吃}
ŋ	[8]额{～头}
#uaʔ	
∅	[7]□{拟声词，呼猪声，原文作“⿱嗀豕”}[8]划-{动词；笔～}
#ɛʔ	
n	[8]□{踩}
#ɔʔ	
p	[8]薄-{厚～；～荷}泊-{（鸟类、禽类）栖息、停留在高处}箔{棋盘～：一种刷有金箔、银箔的纸钱}
m	[8]膜
t	[8]择{～菜：择菜，剔除蔬菜不能吃的部分，拣取可吃的部分}
n	[7]乇{方言俗字。东西，物件。疑问代词，相当于“什么”，叫～名：叫什么名字}[8]□{（制作食物时）用五指不停抓动，使调和均匀}
l	[8]落-{下：～雪；～霜}乐-{长～：地名}
tsʰ	[8]□{～□kəu33：借对方短处索要好处}
ɬ	[7]索{牛～：牵牛的绳}昨{～日：前天；～年：前年；～暝：昨天}欶{～：吸奶；～管：拔火罐}□{～管：小管，形似乌贼而小，生于海中}[8]镯{手～}
ŋ	[8]□{形容脑袋轻微仰起并歪斜的一种长相或姿态}
∅	[7]沃{～头：金沙镇村名}□{～囝：乖孩子}□{～喙：亲嘴}[8]学-{动词，～艺；～画画}
#uoʔ	
p	[8]缚{捆，绑}
pʰ	[8]曝{（阳光下）晒}
l	[8]绿录
ɬ	[7]削{切：～菜；～肉}[8]蜀{一}
k	[8]局{棋～；公安～}
ŋ	[8]玉-{～镯}狱{监～}
∅	[7]沃{～水：浇水}
#yoʔ	
t	[8]着{在，正在：～做}
n	[8]箬{叶子：树～；茶～}偌{疑问代词。～夥：问数量，相当于“多少”}
ts	[8]爵嚼{慢慢咬}
tsʰ	[8]蓆-{竹～；凉～}
ɬ	[8]石-{～头；～斛：药名}
ɕ	[8]□{远指代词，那}
∅	[8]药
#œʔ	
k	[7]嗝{拍～□løyk5：打嗝}[8]□{扔，抛，丢弃}
kʰ	[8]□{咳痰}
∅	[8]哊{呕，干哕}□{呕，干哕}
