汉字	注释	关峡	羊石	兰蓉	五团	麻林	牛头
点		te⁵³	tie⁴⁵	tie³³	tie²²	tie²²	tie²²
店		tian⁵³	tian³³	tie⁴⁴	tian⁵⁵	tian³⁵	tian³⁵
添		tʰe⁴⁴	tʰie¹³	tʰie⁵⁵	tʰie⁵⁵	tʰie³⁵	tʰie⁵⁵
帖	请贴	tʰe²¹³	tʰie⁴⁴	tʰie³³	tʰie¹¹²	tʰie²²	tʰie¹¹
贴		tʰe²¹³	tʰie⁴⁴	tʰie³³	tʰie¹¹²	tʰie²²	tʰie¹¹
甜		te²¹³	tie²¹	die²⁴	die¹¹²	die¹³	die¹¹
叠		te²¹³	tie¹¹	die²⁴	die³¹	die¹¹	die²¹¹
碟		te²¹³	tie¹¹	die²⁴	die³¹	die¹¹	die²¹¹
念		nie³³	nian³³	nian⁵⁵	nie²⁴	ȵian³⁵	nian³⁵
歉		tɕʰian⁵³	tɕʰian³³	tɕʰian⁵⁵	tɕʰie³³	tɕʰian³⁵	tɕʰian³⁵
嫌		ɕian²²	ɕian²¹	hie²⁴	ʑie¹¹²	ie¹³	ʑie¹¹
协		/	ɕie¹¹	/	ɕie¹¹²	ɕie²²	ɕie¹¹
法		fa²¹³	fa¹¹	fa⁵⁵	fa¹¹²	fa²²	fia¹¹
凡		fan²²	fan²¹	/	fai¹¹²	van¹²	fan¹¹
范		fan⁵³	fan³³	/	faŋ⁴²	fan³⁵	fan³⁵
犯		fan⁵³	fan³³	vai³³	fai³³	vai²²	fai²²
品		pʰin³³	pʰin³³	pʰin³	pʰin²²	pʰin²²	pin²²
林		lin²²	lin²¹	lin²⁴	lin¹¹²	lin¹²	lin¹¹
临		lin²²	lin²¹	lin²⁴	lin¹¹²	lin¹²	lin¹¹
笠		li²¹³	li¹¹	li¹¹	li³³	li³³	li³⁵
粒		li²¹³	li⁴⁴	li¹¹	li³¹	ly²²	li²¹¹
浸		tsin³³	tsʰin³³	tsin⁴⁴	tsʰin⁵⁵	tɕʰin³³	tɬin³³
侵		tsʰin⁴⁴	tsʰin⁴⁴	tsʰin⁴⁴	tsʰin³³	tɕʰin³⁵	tɕʰin³³
心		sin⁴⁴	sin¹³	sin⁵⁵	sin⁵⁵	ɕin³⁵	ɬin⁵⁵
寻		tsin²²	tsʰin²¹	dzin²⁴	lao¹¹²训读	dʑin¹³	ɕyn¹¹
习		ɕi²¹³	ɕi⁴⁴	ɕi²⁴	ɕi¹¹²	ɕi¹³	ɕi²¹¹
沉		tɕin²²	tɕʰin²¹	dʑin¹¹²	din¹¹²	din¹²	din¹¹
参	人参	sən⁴⁴	sen⁴⁴	ɕin⁵⁵	sin⁵⁵	sen³³	sin³³
涩		/	se⁴⁴	/	/	/	/
针		tɕin⁴⁴	tɕin¹³	tɕin⁵⁵	tɕin⁵⁵	tɕin³⁵	tɕin⁵⁵
枕		tɕin⁵³	tɕin⁴⁵	tɕin³³	tɕin³¹	tɕin²²	tɕin²²
执		tɕi²¹³	/	tɕi²⁴	tsɿ¹¹²	tsɿ¹³	tɕi¹¹
深		ɕin⁴⁴	ɕin¹³	ɕin⁵⁵	ɕin⁵⁵	ɕin³⁵	ɕin⁵⁵
沈		sən³³	ɕin³³	ɕin³³	ɕin²²	ɕin²²	sin²²
湿		ɕi³³	sɿ⁴⁴	ɕi³³	ɕi¹¹²	soŋ²²训读	ɬʅ¹¹
十		tsɿ³¹²	tsɿ¹¹	tsɿ¹¹	zɿ³¹	dzɿ¹¹	ɮʅ²¹¹
壬		in²²	in²¹	in²⁴	in¹¹²	in²²	in¹¹
任	责任	in³³	in³³	in²⁴	in²⁴	zen³⁵	in³⁵
今		tɕin⁴⁴	tɕin¹³	tɕie⁵⁵	tɕi⁵⁵	tɕi³⁵	tɕi⁵⁵
金		tɕin⁴⁴	tɕin¹³	tɕin⁵⁵	tɕin⁵⁵	tɕin³³	tɕin³³
锦		tɕin³³	/	tɕin³³	tɕin³¹	tɕin²²	tɕin²²
禁	禁止	tɕin³³	tɕin³³	tɕin³³	tɕin⁵⁵	tɕin³⁵	tɕin³⁵
急		tɕi²¹³	tɕi⁴⁴	tɕi³³	tɕi¹¹²	tɕi²²	tɕi¹¹
级		tɕi²¹³	tɕi⁴⁴	tɕi²⁴	tɕi¹¹²	tɕi²²	tɕi¹¹
琴		tɕʰin²²	tɕʰin²¹	dʑin²⁴	tɕʰin¹¹²	dʑin¹³	dʑin¹¹
及		tɕi²¹³	tɕʰi¹¹	tɕʰi³³	tɕi¹¹²	tɕʰi¹³	tɕi¹¹
吸		tse²¹³	ɕi⁴⁴	/	/	/	tɬie¹¹
音		in⁴⁴	in¹³	in⁴⁴	in³³	in³³	in³³
阴		in⁴⁴	in¹³	in⁵⁵	in⁵⁵	in³⁵	in⁵⁵
饮	伙酒	in³³	/	in³³	in³¹	in²²	/
单	单身	to⁴⁴	ta¹³	ta⁵⁵	tɑ⁵⁵	ta³⁵	tɑ⁵⁵
滩		tʰo⁴⁴	tʰa¹³	tʰa⁵⁵	tʰɑ⁵⁵	tʰa³⁵	tʰan³³
摊		tʰo⁴⁴	tʰa¹³	tʰa⁵⁵	tʰan³³	tʰan³³	tʰan³³
坦		tʰan³³	/	tʰan³³	tan³³	tʰan²²	tʰan²²
炭		tʰo³³	tʰa³³	tʰa⁴⁴	tɑ³³	tʰa³³	tʰɑ³³
檀		tʰo²²	tʰa²¹	daŋ²⁴	tʰan¹¹²	dan¹²	tʰan¹¹
坛		tʰo²²	tʰa²¹	tʰa²⁴	ai⁵⁵训读	tʰa¹³	dan¹¹
弹	弹琴	tan²¹³	tʰa²¹	dan²⁴	tʰan¹¹²	da¹³	dan¹¹
弹	子弹	tan⁵³	ta³³	dan²⁴	tan⁴²	dan¹³	tan³⁵
蛋		/	ta³³	/	/	/	/
达		ta²¹³	ta¹¹	ta⁴⁴	tɑ¹¹²	da¹³	tɑ²¹
难	难易	no²²	na²¹	na⁴⁴	nɑ¹¹²	la¹³	nɑ¹¹
难	患难	no³³	na³³	na¹¹	nɑ⁴²	lan¹¹	nɑ⁵²
兰		lo²²	la²¹	lan²⁴	lɑ¹¹²	la¹³	lɑ¹¹
栏		lo²²-；lan¹¹=	la²¹	la²⁴-；lan²⁴=	lɑ¹¹²	la¹³	lɑ¹¹-；lan¹¹=
懒		lo³³	la³³	la³³	lɑ²²	la²²	lɑ²²
烂		lo³³	la³³	la¹¹	lɑ⁴²	la¹¹	lɑ⁵²
辣		lo³¹²	la¹¹	la¹¹	lɑ³¹	la¹¹	lɑ²¹¹
赞		tsan⁵³	tsan³³	tsan⁵⁵	tsan²⁴	tsan³⁵	tsan³⁵
餐		tsʰan⁴⁴	tsʰan⁴⁴	tsʰan⁵⁵	tsʰan¹¹²	tsʰa³⁵	tsʰan³³
擦		tsʰo²¹³	tsʰa⁴⁴	tsʰa³³	tsʰɑ¹¹²	tsʰa²²	tsʰɑ¹¹
残		tsʰan²¹³	tsʰan²¹	dzan²⁴	tsʰan¹¹²	dzan¹²	tsʰan¹¹
散	散开	so³³	sa⁴⁵	sa⁴⁴	sɑ³³	sa³³	ɬɑ²²
伞		so⁵³	sa⁴⁵	sa³³	sɑ²²	sa²²	ɬɑ³³
散	分散	so³³	sa³³	sa⁴⁴	sɑ³³	sa³³	ɬɑ³³
肝		kəu⁴⁴	ko¹³	ko⁵⁵	kan³³	kan³³	/
干	干湿	kəu⁴⁴	ko¹³	ko⁵⁵	ko⁵⁵	ko³⁵	ko⁵⁵
干	干部	kan⁵³	kan³³	kan⁵⁵	kan⁵⁵	ka³⁵	kan³⁵
割		kəu²¹³	ko⁴⁴	/	ko¹¹²	ki²²	ko¹¹
看		kʰo³³	kʰa³³	/	/	lei³³训读睐	/
岸		ŋan⁵³	ŋa³³	ŋan⁵⁵	an⁴²	ŋan³⁵	ŋan³⁵
汉		xan⁵³	xan³³	han⁵⁵	han¹¹²	han³⁵	han³⁵
寒		xan¹³	xan¹³	han²⁴	ɦan¹¹²	ho¹³	ɦan¹¹
韩		xan²¹³	xan¹³	han²⁴	ɦan¹¹²	han²²	ɦan¹¹
旱		xan³³	xan³³	ho³³	han²⁴	ho²²	ɦo²²
汗		xo⁴⁴	xo³³	ho¹¹	ho⁴²	han³⁵	ho⁵²
安		o⁴⁴-；ŋan⁴⁴=	ŋan¹³	ŋan⁵⁵	o⁵⁵	ŋo³⁵	ŋan³³
案		ŋan⁵³	ŋan³³	ŋan⁴⁴	an³³	ŋan³⁵	ŋan³⁵
八		pa²¹³	pa⁴⁴	pia³³	pa¹¹²	pia²²	pia¹¹
办		pan⁵³	pan³³	pai¹¹	pai⁴²	pai¹¹	pai³³
拔		po²¹³	po⁴⁴	/	pɑ¹¹²	pʰa²²	bɑ²¹¹
抹		mo²¹³	ma¹¹	/	/	ma²²	mɑ²¹
盏		tsan⁵³	/	tsan³³	to³¹	tɕiai²²	to²²
铲		tsʰan⁵³	tsʰan³³	tsʰan³³	tʰai²²	/	tʰai²²
察		tsʰa²¹³	tsʰa⁴⁴	tsʰa²⁴	tsʰɑ¹¹²	tɕʰia²²	tsʰɑ¹¹
山		san⁴⁴	san¹³	ɕiai⁵⁵	sai⁵⁵	ɕiai⁵⁵	ɬai⁵⁵
产		tsʰan³³	tsʰan³³	tsʰan³³	tsʰan³¹	tsʰan²²	tsʰan²²
杀		ɕia²¹³	ɕia⁴⁴	ɕia³³	ɕia¹¹²	ɕia²²	ɕia¹¹
间	中间	kan⁴⁴	kan¹³	kai⁵⁵	kai⁵⁵	kai³⁵	kai⁵⁵
简		kan³³	kan³³	/	kan²²	tɕian²²	tɕian²²
拣		/	tɕie⁴⁵	/	/	tɕie²²	tɕie²²
眼		ŋa³³	ŋan³³	ŋai³³	ŋai²²	ŋai²²	ŋai²²
闲		xan²²	xan²¹	han²⁴	ɦai¹¹²	han¹²	ɕian¹¹
限		xan⁵³	xan³³	hai¹¹	haŋ²⁴	hai¹¹	ɕian³⁵
苋		xan³³	xan³³	hai¹¹	ho⁴²	hai¹¹	hai⁵²
班		pan⁴⁴	pan¹³	pai⁵⁵	pai⁵⁵	pai³⁵	pan⁵⁵
板		pan⁵³	pan⁴⁵	pai³³	pai²²	pai²²	pai²²
蛮		man²²	maŋ²¹	mai²⁴	mai¹¹²	mai¹³	mai¹¹
慢		man³³	maŋ³³	mai¹¹	mai⁴²	mai¹¹	mai⁵²
栈		/	/	tsʰan⁵⁵	tsan⁵⁵	tsai¹¹	tsan³⁵
铡		tsa³¹²	tsa¹¹	/	tsɑ¹¹²	tɕia²²	tsɑ¹¹
奸		kan⁴⁴	kan⁴⁴	tɕian⁴⁴	kai⁵⁵	kan³⁵	tɕian³³
颜		ian²²	ŋai²¹	ian²⁴	iaŋ¹¹²	ŋan¹³	ian¹¹
雁		ian	ian³³	ie⁴⁴	ŋan⁵⁵	ian³⁵	ian³⁵
瞎		xa²¹³	xa⁴⁴	hia³³	hɑ¹¹²	ɕia²²	ɕia¹¹
晏		an³³	ŋan³³	ai³³	ai³³	ai³³	ai³³
鞭		pie⁴⁴	pie¹³	pie⁵⁵	pie⁵⁵	pie³⁵	pian³³
编		pie⁴⁴	/	pie⁵⁵	pʰie³³	pie³⁵	pian³³
变		pie³³	pie³³	pie⁴⁴	pie³³	pie³³	pie³³
别	区别	pai²¹³	pie¹¹	pie²⁴	bie³¹	pie¹³	pie¹¹
鳖		/	pie⁴⁴	pie³³	pie¹¹²	pie¹³	pie¹¹
骗	欺骗	pʰian⁵³	pʰian³³	pʰie⁴⁴	pʰian⁵⁵	pʰie³³	pʰian³⁵
便	便宜	pe²²	pian²¹	bie²⁴	bie¹¹²	bie¹³	bie¹¹
便	方便	pe³³	pian³³	pie¹¹	pian⁵⁵	bian¹³	pie⁵²
绵		mian²¹³	mian²¹	mie²⁴	mian¹¹²	mie¹³	mie¹¹
棉		me²²	mian²¹	mie²⁴	mie¹¹²	mie¹³	mie¹¹
面		me³³	mie³³	mie¹¹	mie⁴²	mie¹¹	mie⁵²
碾		/	nie³³	nie³³	nie²²	ȵian²²	nie²²
连		le²²	lie²¹	lie²⁴	lie¹¹²	lian²²	lai¹¹
联		le²²	lie²¹	lian²⁴	lie¹¹²	lian²²	lian¹¹
煎		tse⁴⁴	tsie¹³	tsie³³	tsie⁵⁵	tsai³⁵	tɬie⁵⁵
剪		tse⁵³	tsie⁴⁵	tsie³³	tsie²²	tsai²²	tɬie²²
箭		tse³³	tsie³³	tsie⁴⁴	tsie³³	tsai³³	tɬie³³
溅		/	/	/	/	tsa³³	/
浅		tsʰe⁵³	tsʰie⁴⁵	tsʰie³³	tsʰie²²	tsʰai²²	tʰie²²
钱		tse²²	tsʰie²¹	dzie²⁴	dzie¹¹²	dzai¹³	ɮie²²
贱		tɕian⁵³	tsie³³	tsie¹¹	tsie⁴²	tsai¹¹	tɬie⁵²
仙		se⁴⁴	sie¹³	sie⁵⁵-~女；ɕian⁴⁴=~人掌	sie⁵⁵	sai³⁵	ɬie⁵⁵
鲜	新鲜	se⁴⁴	sie¹³	tsʰie⁵⁵	sie⁵⁵	tsʰai²²	ɬie⁵⁵
癣		se⁵³	ɕian³³	sie³³	sie²²	sai²²	/
线		se³³	sie³³	sie⁴⁴	sie³³	sai³³	ɬie³³
薛		/	sie⁴⁴	sie²⁴	sie¹¹²	ɕie¹³	ɬe¹¹
展		tsan³³	tɕian³³	tɕie³³	tsan²²	tsan²²	tsan²²
舌		ɕie³¹²	ie¹¹	ie¹¹	ie³¹	ie¹¹	ie²¹¹
扇		ɕie³³	ɕie³³	ɕie⁴⁴	ɕie³³	ɕie³³	ɕie³³
善		ɕie³³	ɕian⁴⁵	ʑie³³	dʑie²²	dzan¹³	san³⁵
热		nie³¹²	nie¹¹	nie²⁴	/	ȵie¹¹	ȵie²¹¹
件		tao³³训读	tɕian⁴⁵	ta⁴⁵训读	dʑian²⁴	tɕiai²²	tɑ⁵⁵训读
孽		nie³¹²	nie²¹	nie²⁴	nie²⁴	ȵie²²	ȵie¹¹
演		ian³³	ian³³	ian³³	ian³¹	ian²²	ian²²
建		tɕian⁵³	tɕian³³	tɕian⁵⁵	tɕian²⁴	tɕie³³	tɕian³⁵
揭		/	/	tɕie³³	tɕie¹¹²	tɕie¹³	tɕie¹¹
键		tɕian⁵³	tɕian³³	dʑian²⁴	tɕie²²	dʑian¹³	tɕian³⁵
健		tɕian⁵³	tɕian³³	dʑian²⁴	tɕian²⁴	dʑian¹³	tɕian³⁵
歇		/	/	/	ɕie¹¹²	/	hie¹¹
边		pe⁴⁴	pie¹³	pie⁵⁵	pie⁵⁵	pie³⁵	pie⁵⁵
扁		pe⁵³	pie⁴⁵	pie³³	pie²²	pie²²	pie²²
遍		pe³³	pʰie³³	pʰie⁴⁴	pʰie⁵⁵	pʰie³⁵	pʰian³³
憋		pai²¹³	pie¹³	pie³³	pie¹¹²	pie²²	pie¹¹
片		pʰe³³	pʰian³³	pʰie³³	pʰie³³	pʰie³³	pʰian³⁵
撇		pʰe²¹³	pʰie⁴⁴	pʰie³¹	pʰi¹¹²	pʰie¹³	pʰie¹¹
辫		pe³³	pian³³	pie⁵⁵	pie⁵⁵	pie³⁵	pin²²
面		me⁴⁴	mie³³	mian⁵⁵	mie⁴²	mian³⁵	mie⁵²
篾		mai³¹²	mie¹¹	mie¹¹	mie³¹	mie¹¹	mie²¹¹
典		te⁵³	tian³³	tie³³	tian³¹	tian²²	tian²²
天		tʰe⁴⁴	tʰie¹³	tʰie⁵⁵	tʰie³¹	tʰie³⁵	tʰie⁵⁵
铁		tʰai²¹³	tʰie⁴⁴	tʰie³³	tʰie¹¹²	tʰie²²	tʰie¹¹
田		te²²	tie²¹	die²⁴	die¹¹²	die¹³	die¹¹
填		te²²	tie²¹	die²⁴	die¹¹²	die¹³	die¹¹
电		tian⁵³	tian³³	dian²⁴	dian²⁴	dian¹³	tian³⁵
殿		tian⁵³	tian³³	tie¹¹	dian²⁴	dian¹³	tian³⁵
佃		tian⁵³	tian³³	tie¹¹	dian²⁴	dian¹³	tie⁵²
垫		tian⁵³	tian³³	die²⁴	die²⁴	tʰie³³	tie⁵²
年		nie²²	nie²¹	nie²⁴	nie¹¹²	ȵie¹³	ȵie¹¹
怜		lie²²	lin²¹	lie²⁴	lian¹¹²	lin²²	lian¹¹
莲		lie²²	lian²¹	lie²⁴	lian¹¹²	lie¹³	lian¹¹
练		lian⁵³	lian³³	lian⁵⁵	lian⁵⁵	lie³³	lian³⁵
节		tsai²¹³	tsie⁴⁴	tse³³	tsie¹¹²	tɕie²²	tɬie¹¹
千		tsʰe⁴⁴	tsʰie¹³	tsʰe⁵⁵	tsʰie⁵⁵	tsʰai³⁵	tʰie⁵⁵
切	切开	tsʰai²¹³	tsʰie⁴⁴	tsʰe³³	tsʰie¹¹²	tɕʰie²²	tʰie¹¹
前		tse²²	tsʰie²¹	dzie²⁴	dʑian¹¹²	dzai¹³	ɮie¹¹
截		tsai³¹²	tsie¹¹	tse³³	/	tɕʰie²²	/
先		se⁴⁴	sie¹³	sie⁵⁵	sie⁵⁵	sai³⁵	ɬie⁵⁵
肩		kan⁴⁴	kan¹³	kai⁵⁵	kai⁵⁵	kai³⁵	kai⁵⁵
坚		tɕian⁴⁴	tɕin¹³	/	tɕian³³	tɕian³³	tɕian³³
见		tɕie³³	tɕi³³	tɕie³³	tɕie³³	tɕie³³	tɕie³³
结		tɕie²¹³	tɕie⁴⁴	tɕie²⁴	tɕie¹¹²	tɕie³³	kie¹¹
洁		tɕie²¹³	tɕie⁴⁴	tɕie²⁴	tɕie¹¹²	/	tʰie¹¹
牵		tɕʰye⁴⁴	tɕʰian¹³	tɕʰie⁵⁵	tɕʰie⁵⁵	tɕʰie³⁵	tɕʰie⁵⁵
砚		/	nian³³	/	nie⁴²	/	/
显		ɕie⁵³	ɕian⁴⁵	ʑie²⁴	ɕie⁴²	ɕian²²	ɕie²²
贤		ɕian²¹³	ɕie¹³	ʑie²⁴	ʑie¹¹²	ɕie¹³	ɕian¹¹
现		ɕie⁴⁴-~饭；ɕian⁵³=~在	ɕie³³-~饭；ɕian³³=~在	ɕie¹¹	ɕie⁴²	ɕie¹¹-~饭；ian¹³=~在	ɕie⁵²-~饭；ɕian³⁵=-在
烟		ie⁴⁴	ie¹³	ie⁵⁵	ie⁵⁵	ie³⁵	e⁵⁵
燕		ian⁵³	ie³³	ie⁴⁴	ie³³	ie³³	e³³
般		puan⁴⁴	pan¹³	po⁵⁵	pan³³	pai³⁵	pan³³
搬		puan⁴⁴	po¹³	po⁵⁵	po⁵⁵	po³⁵	po⁵⁵
半		po³³	po³³	po⁴⁴	poŋ⁴²	po³³	po³³
钵		po²¹³	po⁴⁴	po³³	po¹¹²	pɤu²²	po¹¹
拨		po²¹³	pa⁴⁴	po³³	po¹¹²	pɤu²²	po¹¹
潘		pʰan⁴⁴	pʰan¹³	pʰo⁵⁵	pʰan³³	pʰai³⁵	pʰan³³
泼		pʰo²¹³	pʰo⁴⁴	pʰo³³	pʰo¹¹²	po²²	pʰo¹¹
盘		puan²²	paŋ²¹	bo²⁴	bo¹¹²	bo¹³	bo¹¹
伴		puan⁴⁴	pan³³	bo³³	/	ban¹³	/
瞒		muan²²	maŋ²¹	maŋ²⁴	man¹¹²	man²²	maŋ¹¹
满		məu⁵³	mo³³	mo³³	mai²²	mo²²	mo²²
漫		/	man³³	man⁵⁵	man⁵⁵	mai¹¹	man³⁵
末		/	mo¹¹	/	/	mao¹¹	mo²¹¹
端		to⁴⁴	to¹³	to⁵⁵	tuan³³	tuan³³	tuan³³
短		təu⁵³	to⁴⁵	to³³	to²²	to²²	to²²
脱		tʰia²¹³	tʰia⁴⁴	tʰia³³	/	tʰia²²	tʰo¹¹
团		/	to²¹	do²⁴	do¹¹²	do¹³	do¹¹
断	断绝	təu³³	to³³	do³³	do²²	do²²	do²²
段		tuan⁵³	tuan⁴⁵	to¹¹	toŋ⁵⁵	duan¹³	tuan³⁵
夺		/	to¹¹	/	to¹¹²	/	to²¹¹
暖		nəu³³	no³³	no³³	no²²	lu²²	no²²
卵		ləu³³	lo³³	lo³³	lo²²	lo²²	lo²²
乱		luan³³	lu³³	lo¹¹	1o⁴²	lo¹¹	lo⁵²
钻	动	tsuan³³	tsuan¹³	tso⁵⁵	tso⁵⁵	tso³³	tɬo³³
钻	名	tsuan³³	tsuan³³	tso⁴⁴	tso⁵⁵	tso³³	tɬo³³
窜		tsʰuan³³	tsʰuan³³	tsʰo⁴⁴	/	tsʰo³⁵	/
酸		səu⁴⁴	so¹³	so⁵⁵	so⁵⁵	so³⁵	ɬo⁵⁵
算		səu³³	so³³	so⁴⁴	so³³	so³³	ɬɑ³³
蒜		səu³³	so³³	so⁴⁴	so³³	so³³	ɬo³³
官		ku⁴⁴	ko¹³	ko⁵⁵	ko⁵⁵	ko³⁵	ko⁵⁵
观		kuan⁴⁴	kuan⁴⁴	ko⁵⁵-~音；kuan⁴⁴=参~	ko⁵⁵-~音；kuan³³=参~	ko³⁵-~音；kuan³³=参~	ko⁵⁵-~音；kuan³³=参~
管		kuan³³	kuan³³	ko³³	ko²²	kuan²²	ko²²
馆		kuan³³	ko³³	kuan³³	kuan³¹	kuan²²	kuan²²
灌		kuan³³	kuan³³	kuan⁵⁵	kuan⁵⁵	ko³³	kuan³⁵
冠	冠军	kuan³³	kuan⁴⁵	kuan⁵⁵	kuan⁵⁵	kuan³³	kuan³⁵
括	包括	kʰo³³	kʰo⁴⁴	/	kuɑ¹¹²	kua¹³	kuɑ¹¹
宽		kʰuan⁴⁴	kʰuan¹³	/	/	/	/
款		kʰuan³³	kʰuan³³	kʰuan³³	kʰuan²²	kʰuan²²	kʰuan²²
阔		/	kʰe⁴⁴	ho³³-宽；kʰo²⁴=~气	ho¹¹²	fɤu²²	ho¹¹
玩		/	/	/	/	lei¹¹训读	van¹¹
欢		fan⁴⁴	fan¹³	ho⁵⁵	ho⁵⁵	ho³⁵	ho⁵⁵
唤		/	/	/	/	ho³³	/
完		ue²²	ye²¹	ve²⁴	ye¹¹²	vai¹³	van¹¹
丸		ue²²	ye²¹	ve²⁴	ye¹¹²	vai¹³	yan¹¹
缓		/	/	ho³³	ɦo²²	fan²²	faŋ²²
换		/	/	/	/	ho¹¹	/
活		xəu³¹²死~；xo²¹³~动	xo¹¹	ho¹¹	ɦo²⁴	fe¹¹	ɦo²¹¹
碗		u⁵³	o³³	o³³	o²²	o²²	o²²
顽	顽固	uan²¹³	uan²¹	van²⁴	uan¹¹²	/	/
滑		ua³¹²	ua¹¹	ya¹¹	va³¹	ya¹¹	ya²¹¹
挖		ua²¹³	ua⁴⁴	ya³³	va¹¹²	ya²²	ya¹¹
闩		suan⁴⁴	ɕyan¹³	so⁵⁵	sai⁵⁵	ɕiai³⁵	ɬai⁵⁵
刷		so²¹³	sua¹³	sa³³	sɑ¹¹²	sa¹³	suɑ¹¹
关		kuan⁴⁴	kuan¹³	kuai⁵⁵	kuai⁵⁵	kuan³⁵	kuai⁵⁵
惯		kuan⁵³	kuan³³	kuan⁵⁵	kuan⁵⁵	kuai³³	kuan³⁵
刮		ko²¹³	kua⁴⁴	kia³³	kuɑ¹¹²	kua²²	kuɑ¹¹
还	还原	xuan²²	xuan²¹	vai²⁴	vai¹¹²	vai¹³	vai¹¹
还	还有	xai²²	xai²¹	hai²⁴	ɦai¹¹²	hai¹³	ɦai¹¹
环		uan²²	/	van²⁴	fan¹¹²	van²²	/
患		/	xuan³³	fan⁵⁵	fan⁵⁵	van³⁵	/
弯		uan⁴⁴	uan¹³	vai⁵⁵	vai⁵⁵	vai³⁵	vai⁵⁵
恋		lian⁵³	lian³³	lian⁵⁵	lian²⁴	lie³³	lian³⁵
全		tsye²²	tɕʰye²¹	dʑian²⁴	dzai¹¹	dzai¹³	tɕʰyan¹¹
泉		/	/	/	tɕʰyan¹¹²	/	/
绝		tse²¹³	tsye¹¹	tsie¹¹	zei³¹	dzei¹¹	ɬei²¹¹
宣		ɕyan⁴⁴	ɕyan⁴⁴	ɕyan⁵⁵	ɕyan³³	ɕyan³⁵	ɕyan³³
选		se⁵³	ɕian³³	/	sei²²	sai²²	ɬe²²
雪		sei²¹³	sei⁴⁴	siu³³	sei¹¹²	sei²²	ɬei¹¹
旋	头旋	tsye⁴⁴	tsʰie³³	tsai¹¹	tsai⁴²	tsai¹¹	tɬai⁵²
转	转眼	/	kie³³	tai³³	tai²²	tɕiai²²	tɬai⁵²
转	圈	tsue³³	kie³³	/	tai²²	tɕyan³³	tɬai⁵⁵
传	传达	tɕyan²¹³	tɕyan¹³	dʑyan²⁴	tsuan¹¹²	dʑiai¹³	tsʰuan¹¹
传	传记	/	tɕyan⁴⁵	/	/	tɕyan³³	/
专		tɕyan⁴⁴	tɕyan⁴⁴	tɕyan⁴⁴	kye⁵⁵	tɕyan³³	tsuan³³
砖		tɕye⁴⁴	kie¹³	tai⁵⁵	tai⁵⁵	tɕiai³⁵	tai⁵⁵
穿		tɕʰye⁴⁴	/	tʰai⁵⁵	tʰai⁵⁵	tɕʰiai³⁵	tʰai⁵⁵
串		tɕʰye³³	kʰie³³	kao²⁴训读	tʰai³³	tɕʰiai³³	tʰai³³
船		tɕʰye²²	fie²¹	ʑiai²⁴	dzai¹¹²	iai¹³	ɮai¹¹
说	说话	/	/	/	sei¹¹²	ɕye¹³	ɬe¹¹
软		yan³³	/	/	/	/	/
卷	卷曲	tɕyan³³	kie⁴⁵	tɕie³³	/	tɕyan²²	kai³³
卷	书卷	tɕyan³³	kie⁴⁵	tɕyan⁴⁴	tɕyan⁵⁵	tɕyan³⁵	kai³³
圈		kʰue⁴⁴	kʰie¹³	/	tɕʰyan³³	tɕʰyan³³	kʰia⁵⁵
拳		kue²²	tɕʰye²¹	ɡye²⁴	ɡye¹¹²	ɡuai¹³	ɡye¹¹
权		tɕʰye²¹³	tɕʰye²¹	tɕʰyan²⁴	tɕʰyan¹¹²	tɕyan²²	tɕʰyan¹¹
圆		ue²²	ye²¹	ye²⁴	ye¹¹²	vai¹³	yan¹¹
院		yan⁵³	yan³³	yan⁴⁴	ye⁴²	vai¹¹	yan³⁵
缘		ue²²	yan¹³	ye²⁴	ye¹¹²	yan³³	yan¹¹
沿		ue²²	yan¹³	ye²⁴	ye¹¹²	vai¹³	yan¹¹
铅		ue²²	yan¹³	yan²⁴	ye¹¹²	vai¹³	yan¹¹
反		fan³³	fan³³	fai³³	fai²²	fai³⁵	fai²²
发	发财	fa²¹³	fa⁴⁴	fia³³	fa¹¹²	ɕya²²	fia¹¹
翻		fan⁴⁴	fan¹³	fai⁵⁵	fai⁵⁵	fai³⁵	fai⁵⁵
烦		fan²¹³	fan²¹	van²⁴	fai¹¹²	vai¹³	fai¹¹
矾		fan²¹³	faŋ²¹	/	fan¹¹²	vai¹³	fan¹¹
饭		pan⁴⁴	paŋ³³	pai¹¹	pai⁴²	pai¹¹	pai⁵²
罚		fa²¹³	fa¹¹	fia³³	va³¹	ɕya²²	fia²¹¹
晚		man³³	man³³	man³³	mai²²	mai²²	mai²²
万		uan³³	uai³³	vai¹¹	vai⁴²	vai¹¹	vai⁵²
袜		ua³¹²	ua¹¹	ya³³	va¹¹²	ya²²	ya²¹¹
劝		kʰue³³	tɕʰye³³	kʰye³³	kʰye³³	kʰuai³³	kʰye³³
元		ye²²	yan²¹	yan²⁴	ye¹¹²	yan¹¹²	yan¹¹
原		ye²²	ye²¹	yan²⁴	ye¹¹²	yan¹²	yan¹¹
愿		ye⁵³	yan³³	/	ye²⁴	vai¹¹	ye³³
月		ŋei³¹²~亮；ŋ̍³³一个~	ŋe¹¹~亮；uei¹¹一个~	ye¹¹	ve³¹	vai¹¹	ve²¹¹
