汉字	注释	柳城洛崖	柳城龙美	融安隘面	融安浮石	融安红日	融安大良	融水水东	融水东阳	融水和睦	融水大方	三江大竹	三江斗江
犯		fan24	fam24	fan214	fam214	fam24	fam215	fam214	fam215	fam214	fam214	fɔm22	fam22
法		fat3	fap3	fap53	fap53	fap53	fap33	fap51	fap215	fap53	fap51	fap33	fap33
品		pʰɐm45	pʰɐn45	pʰɐŋ55	pʰɐm55	pʰɐm55	pʰɐm553	pʰɐm55	pʰɐm55	pʰɐm55	pʰɐn55	pʰin33	pʰin33
林		lɐm31	lɐm31	lɐm31	lɐm31	lɐm31	lɐm221	lɐm31	lɐm31	lɐm31	lɐm31	lɐm31	lɐm231
浸		tsʰɐm53	tsɐm53	tsʰɐm35	tsʰɐm35	tsʰɐm24	tsɐm33	tʃʰɐm35	tsʰɐm45	tsʰɐm214	tsʰɐm335	tsɐm42	tsɐn55
心		sɐm51	θɐm51	ɬɐm53	sɐm53	θɐm53	sɐm51	θɐm51	sɐm53	sɐm53	ɬɐm51	sɐm53	sɐm53
寻		syn31	tsɐm31	tsɐm31	tsɐm31	tsɐm31	tsɐm221	tʃɐm31	tsɐm31	tsɐm31	tsɐm31	tsɐm31	—
沉		tsɐm31	tsɐm31	tsɐm31	tsɐm31	tsɐm31	tsɐm221	tʃɐm31	tʃɐm31	tsɐm31	tsɐm31	tʃɐm31	tʃɐm231
参	人～	sɐm51	θɐm51	sɐn53	sɐn53	θən53	sən51	ʃɐn51	ʃɐn53	sɐm53	sien51	ʃien53	ʃɐn53
针		tsɐm51	tsɐm51	tsɐm53	tsɐm53	tsɐm53	tsɐm51	tʃɐm51	tʃɐm53	tsɐm53	tsɐm51	tʃɐm53	tʃɐm53
深		sɐm51	θɐm51	sɐm53	sɐm53	θɐm53	sɐm51	ʃɐm51	ʃɐm53	sɐm53	sɐm51	ʃɐm53	ʃɐm53
任		ɲiam21	iɐm33	jiɐm214	iɐm214	iɐm24	iɐm215	iɐm214	iɐm215	iɐm214	iɐm214	iɐm22	iɐm22
金		kiɐm51	kiɐm51	kiɐm53	kiɐm53	kiɐm53	kiɐm51	kiɐm51	kiɐm53	kiɐm53	kiɐm51	kiɐm53	tʃɐm53
琴		kiam31	kiɐm31	kiɐm31	kiɐm31	kiɐm31	kiɐm221	kiɐm31	kiɐm31	kiɐm31	kiɐm31	kiɐm31	tʃɐm231
音		iɐm51	iɐm51	ʔiɐm53	iɐm53	iɐm53	iɐm51	iɐm51	ʔiɐm53	ʔiɐm53	ʔiɐm51	iɐm53	iɐm53
立		lɐp2	lɐp2	lɐp2	lɐp3	lap35	lɐp2	lɐp3	lɐp3	lɐp3	lɐp3	lɐp2	lɐp13
集		tsek5	tsɐp2	tsɐp2	tsɐp3	tsɐp35	tsɐp2	tʃɐp3	tsɐp3	tsɐp3	tsɐp3	tsɐp2	tsɐp13
习		sɐp2	tsɐp2	tsɐp2	tsɐp3	tsɐp35	tsɐp2	tʃɐp3	tsɐp3	tsɐp3	tsɐp3	sik53	sit13
汁		tsɐp5	tsɐp5	tsɐp53	tsɐp53	tsɐp53	tsɐp5	tʃɐp51	tʃɐt53	tsɐp53	tsɐp51	tʃɐp53	tʃɐp5
十		sɐp2	θɐp2	sɐp2	sɐp3	θɐp35	sɐp2	ʃɐp3	ʃɐp3	sɐp3	sɐp3	ʃɐp2	ʃɐp13
入		ɲiap2	iɐp2	ɲiɐp2	ɲiɐp3	ɲiɐp35	ɲiɐp2	ɲiɐp3	ɲiɐp3	ɲiɐp3	ɲiɐp3	ɲiɐp2	ɲiɐp13
急		kiɐp5	kiɐp5	kiɐp53	kiɐp53	kiɐp53	kiɐp5	kiɐp51	kiɐp53	kiɐp53	kiɐp51	kiɐp53	tʃɐp5
及		kiɐp2	kiɐp2	kiɐp2	kiɐp3	kiɐp35	kiɐp33	kiɐp3	kiɐp3	kiɐp3	kiɐp3	kiɐp2	tʃɐp5
吸		kiɐp2	kiɐp2	kiɐp53	kiɐp53	kiɐp53	kiɐp5	kiɐp51	kiɐp53	kiɐp53	kiɐp51	—	cit5
单	简～	tan51	tan51	tan53	tan53	tan53	tan51	tan51	tan53	tan53	tan51	tan53	tan53
炭		tʰan53	tʰan53	tʰan214	tʰan214	tʰan35	tʰan33	tʰan214	tʰan45	tʰan214	tʰan335	tʰan42	tʰan55
弹	～琴	tam31	tan31	tan31	tan31	tan31	tan221	tan31	tan31	tan31	tan31	tan31	tan231
难	～易	nan31	nan31	nan31	nan31	nan31	nan221	nan31	nan31	nan31	nan31	nan31	nan231
兰		lan31	lan31	lam31	lam31	lam31	lam221	lan31	lan31	lan31	lam31	lam31	lan231
懒		lan24	lan24	lan33	lan33	lan35	lan24	lan33	lan33	lan445	lan33	lan35	lan24
烂		lan21	lan33	lan214	lan214	lan24	lan215	lan214	lan215	lan214	lan214	lan22	lan22
伞		san45	θan53	ɬan35	san35	θan55	san33	θan35	san45	san445	ɬan335	san42	san55
肝		kɔn51	kuan51	kuan53	kuan53	kuan53	kuan51	kuan51	kuan53	koan53	kuan51	kuan53	kuan53
看	～见	hɔn53	kʰuan53	kʰun35	kʰuɐn35	kʰun35	kʰuan33	kʰuɐn35	kʰuan53	kʰoan214	kʰɐn335	kʰuɐn42	kʰun55
岸		ŋɔn21	ŋuan33	ŋuan214	ŋuan214	ŋuan24	ŋuan215	ŋuan214	ŋan215	ŋoan214	ŋuan214	ŋuan22	ŋɔn22
汉		hɔn53	huan53	huan35	huan35	huan35	huan33	huan35	han45	hoan445	huan335	hɔn42	hɔn22
汗		ʔɔn21	uan33	huan214	huan214	huan24	huan215	huan214	han215	hoan214	huan214	hɔn22	hɔn22
安		ʔɔn51	uan51	uan53	uan53	uan53	uan51	uan51	ʔuan53	ʔoan53	uan51	ɔn53	ɔn53
达		tap2	tap24	tap214	tap214	tat24	tat215	tat214	tat215	tat214	tap214	tap33	tap11
辣		lɔ53	lɔ53	la35	la214	la35	la33	la35	lɑ215	la214	la335	lou53	lou53
擦		tsʰat3	tsʰat3	tsʰat53	tsʰat53	tʰat35	tsʰat33	tʃʰat51	tsʰat53	tsʰat53	tsʰat51	tsʰat33	tsʰat33
割		kut3	kuat3	kuat53	kuat53	kuat53	kuat33	kuat51	kuat53	koat53	kuat51	kuat33	kuat33
渴		kʰɔk3	kʰɔk3	kʰuat53	kʰuat53	kʰuat53	kʰuat33	kʰuat51	kʰuat53	kʰɔk53	kʰuat51	kʰɔt33	kʰɔ22
扮		pan21	pan53	pan214	pun214	pan35	pan215	pʰan35	pʰan45	pan445	pan214	pan22	pan22
办		pan21	pan33	pan214	pan214	pan24	pan215	pan214	pan215	pan214	pan214	pan22	pan22
铲		tsʰan45	tsʰan45	tsʰan55	tsʰan55	tsʰan55	tsʰan553	tʃʰan55	tʃʰan55	tsʰan55	tsʰan55	tʃʰan33	tʃʰan33
山		san51	θan51	san53	san53	θan53	san51	ʃan51	ʃan53	san53	san51	ʃan53	ʃan53
产		tsʰan45	tsʰan45	tsʰan55	tsʰan55	tsʰan55	tsʰan553	tʃʰan55	tʃʰan55	tsʰan55	tsʰan55	tʃʰan33	tʃʰan33
间	房～	kan51	kan51	kan53	kan53	kan53	kan51	kan51	kan53	kan53	kan51	kan53	kan53
眼		ŋan24	ŋan24	ŋan33	ŋan33	ŋan35	ŋan24	ŋan33	ŋan33	ŋan445	ŋan33	ŋan35	ŋan24
限		ʔan21	ʔan24	han214	han214	han24	han215	han214	hɐn215	han214	han214	han22	huan55
八		pat3	pat3	pat53	pat53	pat53	pat33	pat51	pat53	pat53	pat51	pat33	pat33
扎		tsap3	tsat3	tsat53	tsap53	tsat53	tsat33	tʃat51	tʃat53	tsat53	—	tʃat33	tʃat33
杀		sat3	θat3	sat53	sat53	θat53	sat33	ʃat51	ʃat53	sat53	sat51	ʃat33	ʃat33
班		pan51	pan51	pan53	pan53	pan53	pan51	pan51	pan53	pan53	pan51	pan53	pan53
板		pan45	pan45	pan55	pan55	pan55	pan553	pan55	pan55	pan55	pan55	pan33	pan33
慢		man21	man33	man214	man214	man24	man215	man214	man215	man214	man214	man22	man22
奸		kan51	kan51	kan53	kan53	kan53	kan51	kan51	kan53	kan53	kan51	kan53	kan53
颜		in31	ŋan31	ŋan31	ŋan31	ŋan31	ŋan221	ŋan31	ŋan31	ŋan31	ŋan31	in31	im231
瞎		hat3	hat3	hat53	hat53	hat53	hat33	hat51	hat53	hat53	hat51	hat33	hat33
变		pin53	pin53	pin35	pin35	pin35	pin33	pin35	pin45	pin445	pin335	pin42	pin55
骗	欺～	—	—	—	—	—	—	—	—	—	—	—	—
便	方～	pin21	pin33	pin214	pin214	pin24	pin215	pin214	pin215	pin214	pin214	pin22	pin22
棉		min31	min31	min31	min31	min31	min221	min31	min31	min31	min31	min31	min231
面	～孔	min21	min33	min214	min214	min24	min215	min214	min215	min214	min214	min22	min22
连		lin31	lin31	lin31	lin31	lin31	lin221	lin31	lin31	lin31	lin31	lin31	lin231
剪		tsin45	tsin45	tsin55	tsin55	tsin55	tsin553	tʃin55	tsin55	tsin55	tsin55	tsin33	tsin33
浅		tsʰin45	tsʰin45	tsʰin55	tsʰin55	tsʰin55	tsʰin553	tʃʰim55	tsʰin55	tsʰin55	tsʰin55	tsʰin33	tsʰin33
钱		tsin31	tsin31	tsin31	tsin31	tsin31	tsin221	tʃin31	tsin31	tsin31	tsin31	tsin31	tsin231
鲜		syn51	θin51	ɬun53	sun53	θin53	sun51	θun51	sun53	sun53	ɬun51	syn53	sin53
线		sin53	θin53	ɬin35	sin35	θin35	sin33	θin35	sin45	sin445	ɬin335	sin42	sin55
缠		tsam31	tsan31	tsin31	tsan31	tsin31	tsin221	tʃin31	tʃin31	tsin31	tsin31	tʃin31	tʃan231
战		tsan53	tsin45	tsan35	tsin35	tin35	tsim33	tʃin35	tʃin45	tsin55	tsin335	tʃan22	tʃan55
扇	名	sin53	θin53	sin35	sin35	θin35	sin33	ʃin35	ʃin45	sin445	sin335	ʃin42	ʃin55
善		san53	θin33	sin214	sin214	θin24	sin24	ʃin214	ʃin215	sin214	sin214	ʃin22	ʃin22
件		kin24	kin24	kin214	kin214	kin24	kin215	kin214	kin215	kin214	kin214	kin22	cin22
延		in31	in31	jin31	in31	in31	in221	in31	in31	in31	in31	in31	in231
别	～人	pit2	pit2	pit2	pit3	pit35	pit2	pit3	pit3	pit3	pit3	pit53	pit13
灭		mit2	mit2	mit2	mit3	mit35	mit2	mit3	mit3	mit3	mit3	mit2	mit13
列		lit2	lit2	lit2	lit3	lit35	lit2	lit3	lit3	lit3	lit3	lit2	lit13
撤		tsʰit5	tsʰit5	tsʰit53	tsʰit53	tsʰit53	tsʰit5	tʃʰit3	tʃʰit53	tsʰit53	tsʰit51	tsʰit53	tʃʰit5
舌		sit2	θit2	sit2	sit3	θit35	sit2	ʃit3	ʃit3	sit3	sit3	ʃit2	ʃit13
设		sit5	θip5	sit53	sit3	θit53	sip5	ʃit51	ʃit53	sit53	sip51	ʃit2	ʃit5
热		ɲit2	ɲit2	ɲit2	ɲit3	ɲit35	ɲit2	ɲit3	ɲit3	ɲit3	ɲit3	ɲit2	ɲit13
杰		kit2	kit2	kit53	kit3	kit35	kit2	kit3	kit3	kit3	kit51	kit53	cit13
孽		nip2	nip2	niɤp31	nip3	nip35	nip5	nip33	nip33	nip3	ɲip3	nip2	nit13
建		kin53	kin53	kin35	kin35	kin35	kin33	kin35	kin45	kin445	kin335	kin42	cin55
健		kin53	kin53	kin35	kin214	kin24	kin215	kin214	kin215	kin445	kin214	kin42	cin55
言		in31	in31	jin31	ɲin31	ɲin31	ɲin221	ɲin31	ɲin31	ɲin31	in31	in31	in231
歇		hit5	hit5	—	—	θit53	hit5	—	—	—	—	ʃit53	ʃit5
扁		pin45	pin45	pin55	pin55	pin55	pin553	pin55	pin55	pin55	pin55	pin33	pin33
片		pʰin53	pʰin53	pʰin35	pʰin35	pʰin35	pʰin33	pʰin35	pʰin45	pʰin445	pʰin335	pʰin42	pʰin55
面	～条	min21	min33	min214	min214	min24	min215	min214	min215	min214	min214	min22	min22
典		tim45	tim45	tiɤm55	tim55	tim55	tim553	tin55	tin55	tim55	tin55	tim33	tin33
天		tʰin51	tʰin51	tʰin53	tʰin53	tʰin53	tʰin51	tʰin51	tʰin53	tʰin53	tʰin51	tʰin53	tʰin53
田		tin31	tin31	tin31	tin31	tin31	tin221	tin31	tin31	tin31	tin31	tin31	tin231
垫		tin21	tim33	tiɤm214	tim214	tim24	tin215	tim214	tim215	tim214	tim214	tim22	tin22
年		nin31/nin51	nin31	nin53/nin31	nin31/nin53	nin31	nin221	nin51/nin31	nin31	nin31	nin51	nin31	nin231
莲		lin31	lin31	lin31	lin53	lin31	lin221	lin31	lin31	lin31	lin31	lin31	lin231
前		tsin31	tsin31	tsin31	tsin31	tsin31	tsin221	tʃin31	tsin31	tsin31	tsin31	tsin31	tsin231
先		sin51	θin51	ɬin53	sin53	θin53	sin51	θin51	sin53	sin53	ɬin51	sin53	sin53
肩		kin51	kin51	kin53	kin53	kin53	kin51	kin51	kin53	kin53	kin51	kin33	cin53
见		kin53	kin53	kin35	kin35	kin35	kin33	kin35	kin45	kin445	kin335	kin42	cin55
牵		hin51	kʰin51	kʰin53	kʰin53	kʰin53	kʰin51	kʰin51	kʰin53	kʰin53	kʰin51	kʰim53	cʰin53
显		hin45	hin45	sin55	sin55	θin55	hin553	ʃin55	ʃin55	hin55	sin55	ʃim33	ʃim33
现		in21	in33	jin214	in214	in24	hin215	in214	in215	in214	in214	in22	in22
烟		ɲin51	ɲin51	ʔin53	in53	in53	in51	in51	ʔin53	ʔin53	ʔin51	in53	in53
憋		pɛ53	pe53	—	—	pe35	pit5	pe3	—	—	pit51	pit53	pit5
篾		mit2	mit2	mit2	mit3	mit35	mit2	mit3	mit3	mit3	mit3	mit2	mit13
铁		tʰit5	tʰit5	tʰit53	tʰit53	tʰit53	tʰit5	tʰit51	tʰit53	tʰit53	tʰit51	tʰit53	tʰit5
捏		—	nip5	niɤp53	nip53	nip53	nip5	nip51	nip3	nip53	nip51	nip53	nip13
节		tsit5	tsit5	tsit53	tsit53	tsit53	tsit5	tʃit51	tsit53	tsit53	tsit51	tsit53	tsit5
切	动	tsʰit5	tsʰit5	tsʰit53	tsʰit53	tsʰit53	tsʰit5	tʃʰit51	tsʰit53	tsʰit53	tsʰit51	tsʰit53	tsʰit5
截		tsit5	tsit5	tsit2	tsit3	tsit35	tsit2	tʃit3	tsit3	tsit3	tsit3	tsit53	tsit5
结		kit5	kit5	kit53	kit53	kit53	kit5	kit51	kit53	kit53	kit51	kit53	cit5
搬		pun51	pun51	pun53	pun53	pun53	pun51	pun51	pun53	pun53	pun51	pun53	pun53
半		pun53	pun53	pun35	pun35	pun35	pun33	pun35	pun45	pun445	pun335	pun42	pun55
判		pʰun53	pʰun53	pʰun35	pʰun35	pʰun35	pʰun33	pʰun35	pʰun45	pʰun445	pʰun335	pʰun42	pʰun55
盘		pun31	pun31	pun31	pun31	pun31	pun221	pun31	pun31	pun31	pun31	pun31	pun231
满		mun24	mun24	mun55	mun33	mun35	mun24	mun33	mun33	mun445	mun33	mun35	mun24
端		tun51	tun51	tun53	tun53	tun53	tun51	tun51	tun53	tun53	tun51	tun53	tun53
短		tun45	tun45	tun55	tun55	tun55	tun553	tun55	tun55	tun55	tun55	tun33	tun33
断		tun24	tun24	tun214	tun214	tun24	tun24	tun35	tun215	tun214	tun214	tun22	tun22
暖		nun24	nun24	nun33	nun33	nun35	nun24	nun33	nun33	nun445	nun33	nun35	nun24
乱		lun21	lun33	lun214	lun214	lun24	lun215	lun214	lun215	lun214	lun214	lun22	lun22
酸		sun51	θun51	ɬun53	sun53	θun53	sun51	θun51	sun53	sun53	ɬun51	sun53	sun53
算		sun53	θun53	ɬun35	sun35	θun35	sun33	θun35	sun45	sun445	ɬun335	sun42	sun55
官		kun51	kun51	kun53	kun53	kun53	kun51	kun51	kun53	kun53	kun51	kun53	kun53
宽		kʰun51	kʰun51	kʰun53	kʰun53	kʰun53	kʰun51	kʰun51	kʰun53	kʰun53	kʰun51	kʰun53	kʰun53
欢		hun51	hun51	fun53	fun53	fun53	hun51	fun51	fun53	hun53	fun51	kʰun53	kʰun53
完		uan31	yn31	uan31	yn31	yn31	yn221	yn31	yn31	yn31	yn31	uan31	uan231
换		uɐn21	un33	uɐn214	uɐn214	un24	un215	un214	un215	un214	un214	un22	un22
碗		un45	un45	un55	un55	un55	un553	un55	ʔun55	ʔun55	un55	—	—
拨		pɔk3	puk5	put2	put3	put35	put5	put3	put53	put3	put51	put53	put5
泼		pʰut5	pʰut5	pʰut2	pʰut53	pʰut53	pʰut5	pʰut51	pʰut53	pʰut53	pʰɔk51	pʰut53	pʰut5
末		mɔu31	mut2	mut2	mut3	mut35	mut2	mut3	mut3	mut3	mut3	mut2	mut13
脱		tʰut5	tʰut5	tʰut53	tʰut53	tʰut53	tʰut5	tʰut51	tʰut53	tʰut53	tʰut51	tʰut53	tʰut5
夺		tut2	tut2	tut2	tut3	tut35	tut2	tut3	tut3	tut3	tut3	tut2	tut13
阔		hut5	kʰut5	kʰut53	kʰut53	kʰut53	kʰut5	kʰut51	kʰut53	kʰut53	kʰut51	kʰut53	kʰut5
活		uɐt2	ut2	ut2	ut3	ut35	ut2	ut3	ut3	ut3	ut3	ut2	ut13
顽		ŋuan31	ŋuan31	ŋuan31	ŋuan31	ŋuan31	ŋuan221	ŋuan31	ŋuan31	ŋuan31	ŋuan31	uan31	uan231
滑		uat2	uat24	uat214	uat214	uat24	uat215	uat214	uat215	uat214	uat214	uat2	uat11
挖		uat3	uat3	uat53	uat53	uat53	uat33	uat51	ʔuat53	ʔuat53	uat51	uat33	uat33
闩		syn51	—	syan53	syan53	θuan53	syn51	ʃyen51	—	syen53	syan51	ʃyen53	ʃyn53
关		kuan51	kuan51	kuan53	kuan53	kuan53	kuan51	kuan51	kuan53	kuan53	kuan51	kuan53	kuan53
惯		kuan53	kuan53	kun35	kuan35	kuan35	kuan33	kuan35	kuan45	kuan445	kuan335	kuan42	kun55
还	动	uan31	uan31	uan31	uan31	uan31	uan221	uan31	uan31	uan31	uan31	uan31	uan231
还	副	ʔan31	ʔan31	—	han31	uan31	—	—	uan31	uan31	han31	uan31	han231
弯		uan45	uan45	uan53	uan53	uan53	uan51	uan51	ʔuan53	ʔuan53	uan51	uan53	uan53
刷		syet5	θuat3	syat53	syet53	θyet53	syet33	ʃyet51	ʃyet53	syet53	syet51	ʃyet2	ʃyet33
刮		kuat3	kuat3	kuat53	kuat53	kuat53	kuat33	kuat51	kuat53	kuat53	kuat51	kuat33	kuat11
全		tsyn31	tsyn31	tsyn31	tsun31	tsun31	tsun221	tʃun31	tsun31	tsun31	tsyn31	tsyn31	tsyn231
选		syn45	θyn45	ɬun55	sun55	θun55	sun553	θun55	sun55	sun55	ɬun55	syn33	syn33
转	～送	tsyn53	tsyn53	tsyn55	tsun55	tsun35	tsun33	tʃun55	tʃun55	tsun55	tsyn55	tʃyn33	tʃyn55
传	～下来	tsyn21	tsyn31	tsyn31	tsun31	tsun31	tsun221	tʃun31	tʃun31	tsun31	tsyn31	tʃyn31	tʃyn231
传	～记	tsyn21	tsyn33	tsyn214	tsun214	tsun24	tsun215	tʃun214	tʃun215	tsun214	tsyn214	tʃyn22	cyn55
砖		tsyn51	tsyn51	tsyn53	tsun53	tsun53	tsun51	tʃun51	tʃun53	tsun53	tsyn51	tʃyn53	tʃyn53
船		syn31	θyn31	syn31	sun31	θun31	sun221	ʃyn31	ʃun31	sun31	syn31	ʃyn31	ʃyn231
软		ɲyn24	ɲyn24	ɲyn33	ɲyn33	ɲyn35	ɲyn24	ɲyn33	ŋun33	ɲyn445	ɲyn33	ɲyn35	ɲyn24
卷		kyn45	kyn45	kyn55	kyn55	kyn55	kyn553	kyn55	kun55	kyn55	kyn55	kyn33	tʃyn55
圈	圆～	kʰyn51	kʰyn51	kʰyn53	kʰyn53	kʰyn53	kʰyn51	kʰyn51	kʰun53	kʰyn53	kʰyn51	kʰyn53	tʃʰyn53
权		kyn31	kyn31	kyn31	kyn31	kyn31	kyn221	kyn31	kun31	kyn31	kyn31	kyn31	tʃyn231
圆		yn31	yn31	jyn31	yn31	yn31	yn221	yn31	yn31	yn31	yn31	yn31	yn231
院		yn21	yn33	jyn214	yn214	yn24	yn215	yn214	yn215	yn214	yn214	yn42	yn55
铅	～笔	yn31	yn31	jyn31	yn31	yn31	yn221	yn31	yn31	yn31	yn31	yn31	yn231
绝		tsyt2	tsyt2	tsyt2	tsut3	tsut35	tsut2	tʃut3	tsut3	tsut3	tsyt3	tsyt2	tsyt5
雪		syt5	θyt5	ɬut53	sut53	θut53	sut5	θut51	sut53	sut53	ɬut51	syt53	syt5
反		fan45	fan45	fan55	fan55	fan55	fan553	fan55	fan55	fan55	fan55	fan33	fan33
翻		fan51	fan51	fan53	fan53	fan53	fan51	fan51	fan53	fan53	fan51	fan53	fan53
饭		fan21	fan33	fan214	fan214	fan24	fan215	fan214	fan215	fan214	fan214	—	—
晚		—	man24	man33	man33	man35	man24	man33	mɐn33	man445	man33	man22	man22
万	麻将牌	uan21	uan33	uan214	uan214	uan24	uan215	uan214	uan215	uan214	uan214	uan22	uan22
劝		kʰyn53	kʰyn53	kʰyn35	kʰyn35	kʰyn35	kʰyn33	kʰyn35	kʰun45	kʰyn445	kʰyn335	kʰyn42	tʃʰyn55
原		yn31	yn31	jyn31	yn31	ɲyn31	ɲyn221	ɲyn31	ŋun31	yn31	ɲyn31	yn31	yn231
冤		yn51	yn51	ʔyn53	yn53	yn53	yn51	yn51	ʔyn53	ʔyn53	ʔyn51	yn53	yn53
园		yn31	yn31	jyn31	yn31	yn31	yn221	yn31	yn31	yn31	yn31	yn31	yn231
远		yn24	yn45	jyn33	yn33	yn35	yn24	yn33	yn33	yn445	yn33	yn35	yn24
发	头～	fat3	fat3	fat53	fat53	fat53	fat33	fat51	fat3	fat53	fat51	fat33	fat33
罚		fat2	fat24	fat214	fat214	fat24	fat215	fat214	fat215	fat214	fat214	fat2	fat11
袜		mat2	mat24	mat214	mat214	mat24	mat215	mat214	mat215	mat214	mat214	mat2	mat11
月		ɲyt2	ɲyt2	ɲyt3	ɲyt35	ɲyt2	ɲyt3	ŋut3	ɲyt3	ɲyt3	ɲyt2	ɲyt13	ɲyt2
越		yt2	jyt2	yt3	yt35	yt2	yt3	yt3	yt3	yt3	yt2	yt13	yt2
县		yn33	jyn214	yn214	yn24	yn215	yn214	yn215	yn214	yn214	yn22	yn22	yn33
决		kyt5	kyt53	kyt53	kyt53	kyt5	kyt51	kut53	kyt53	kyt51	kyt53	tʃyt5	kyt5
缺		kʰyt5	kʰyt53	kʰyt53	kʰyt53	kʰyt5	kʰyt51	kʰut53	kʰyt53	kʰyt51	kʰyt53	tʃʰyt5	kʰyt5
血		hyt5	syt53	sut53	θut53	hyt5	ʃyt51	ʃyt53	hyt53	syt51	ʃyt53	ʃyt5	hyt5
吞		lɐn51/tʰɐn51	tʰɐn53	tʰɐn53	tʰən53	tʰən51	tʰɐn51	tʰɐn53	tʰɐn53	tʰɐn51	tʰɐn53	tʰɐn53	lɐn51/tʰɐn51
根		kɐn51	kɐn53	kɐn53	kən53	kən51	kɐn51	kɐn53	kɐn53	kɐn51	kɐn53	kɐn53	kɐn51
恨		ʔɐn21	ʔɐn33	hɐn214	hɐn214	hən24	hən215	hɐn214	hɐn215	hɐn214	hɐn214	hɐn22	hɐt5
恩		ŋɐn51	ʔɐn51	ʔɐn53	ɐn53	ən53	ən51	ɐn51	ʔɐn53	ʔɐn53	ʔɐn51	ɐn53	ɐn53
贫		peŋ31	pɐn31	pɐn31	pɐn31	pən31	pən221	pɐn31	pɐn31	pɐn31	pɐn31	pɐn31	pin231
民		meŋ31	mɐn31	mɐn31	mɐn31	mən31	mən221	mɐn31	mɐn31	mɐn31	mɐn31	mɐn31	min231
邻		lɐm31	lɐm31	leŋ31	leŋ31	lən31	lən221	lɐn31	lɐn31	lɐn31	lɐn31	lin31	lin231
进		tseŋ21	tsɐn53	tsɐn35	tsɐn35	tsən35	tsən33	tʃɐn35	tsɐn45	tsɐn445	tsɐn335	tsɐn42	tsin55
亲	～人	tsʰɐn51	tsʰɐn51	tsʰɐn53	tsʰɐn53	tsʰən53	tsʰən51	tʃʰɐn51	tsʰɐn53	tsʰɐn53	tsʰɐn51	tsʰɐn53	tsʰɐn53
新		sɐn51	θɐn51	ɬɐn53	sɐn53	θən53	sən51	θɐn51	sɐn53	sɐn53	ɬɐn51	sɐn53	sɐn53
镇		tseŋ53	tsɐn53	tsɐn35	tsɐn35	tsən35	tsən33	tʃɐn35	tʃɐn45	tsɐn445	tsɐn335	tʃɐn42	cin55
陈		tsɐn31	tsɐn31	tsɐn31	tsɐn31	tsən31	tsən221	tʃɐn31	tʃɐn31	tsɐn31	tsɐn31	tʃɐn31	tʃɐn231
震		tsɐn53	tsɐn53	tsɐn35	tsɐn35	tsən35	tsən33	tʃɐn35	tʃɐn45	tsɐn445	tsɐn335	tʃɐn42	tʃɐn55
神		sɐn31	θɐn31	sɐn31	sɐn31	θən31	sən221	ʃɐn31	ʃɐn31	sɐn31	sien31	ʃɐn31	ʃɐn231
身		sɐn51	θɐn51	sɐn53	sɐn53	θən53	sən51	ʃɐn51	ʃɐn53	sɐn53	sien51	ʃɐn53	ʃɐn53
辰		sɐn31	θɐn31	sɐn31	sɐn31	θən31	sən221	ʃɐn31	ʃɐn31	sɐn31	sien31	ʃɐn31	ʃɐn231
人		ɲien31	ɲien31	ɲiɐn31	ɲiɐn31	ɲien31	ɲien221	ɲien31	ɲien31	ɲien31	ɲien31	ɲien31	ɲiɐn231
认		ɲien21	ɲien33	ɲiɐn214	ɲiɐn214	ɲien24	ɲien215	ɲien214	ɲien215	ɲien214	ɲien214	ɲien22	ɲiɐn22
紧		kien45	kien45	kiɐn55	kiɐn55	kien55	kien553	kien55	kien55	kien55	kien55	kien33	ciɐn55
银		ɲien31	ɲien31	ɲiɐn31	ɲiɐn31	ɲien31	ɲien221	ɲien31	ɲien31	ɲien31	ɲien31	ɲien31	ɲiɐn231
印		ien53	ien53	ʔiɐn35	iɐn35	ien55	ien33	ien35	ʔien45	ʔien445	ʔien335	ien42	in55
引		ien24	ien24	jiɐn33	iɐn33	ien35	ien24	ien33	ien33	ien445	ien33	ien35	iɐn24
笔		pɐt5	pɐt5	pɐt53	pɐt53	pət53	pət5	pɐt51	pɐt53	pɐt53	pɐt51	pɐt53	pɐt5
匹		pʰɐt5	pʰɐt5	pʰɐt53	pʰɐt53	pʰət53	pʰət5	pʰɐt51	pʰɐt53	pʰɐt53	pʰɐt51	pi31	pi231
密		mɐt2	mɐt2	mɐt2	mɐt3	mət35	mət2	mɐt3	mɐt3	mɐt3	mɐt3	mɐt2	mei53
栗		lek2	lɐt2	lɐt2	lɐt3	lət35	lət2	lɐt3	lɐt3	lɐt3	lɐt3	liet2	liet13
七		tsʰɐt5	tsʰɐt5	tsʰɐt53	tsʰɐt53	tsʰət53	tsʰət5	tʃʰɐt51	tsʰɐt53	tsʰɐt53	tsʰɐt51	tsʰɐt53	tsʰɐt5
侄		tsɐt2	tsɐt2	tsɐt2	tsɐt3	tsət35	tsət2	tʃɐt3	tʃɐt3	tsɐt3	tsɐt3	tʃɐt2	tʃɐn231
虱		sɐt5	θɐt5	sɐt53	sɐt53	θət53	sət5	ʃɐt51	ʃɐt53	sɐt53	siet51	ʃiet53	ʃɐt5
实		sɐt2	θɐt2	sɐt2	sɐt3	θət35	sət2	ʃɐt3	ʃɐt3	sɐt3	siet3	ʃiet2	ʃɐt13
