"来源："	"李小平 2004《山西离石方言音系》；安静先生 整理录入"
"s"	"［1］升=生=甥=声=森参{人～}身申伸僧牲笙［2］绳寻-神［3］沈审婶省［5］剩=渗甚肾慎胜圣盛={兴～}"
"z"	"［1］仍［2］壬任{姓}人仁［3］忍扔［5］韧絍任{责～}刃认赁"
"k"	"［1］更=耕=跟根［3］更={～新}庚羹=耿［5］更={～加}"
"kʰ"	"［1］坑=［3］恳垦肯"
"ŋ"	"［1］恩"
"x"	"［2］横=痕恒亨衡［3］很［5］恨"
"#iʌŋ"	""
"p"	"［1］彬宾槟冰兵［3］饼=禀丙秉柄［5］病=殡鬓并"
"pʰ"	"［2］凭=平=坪=瓶=贫频评苹姘屏=萍［3］品［5］聘拼"
"m"	"［2］鸣=明=民名=铭冥=［3］闽悯敏抿皿［5］命="
"t"	"［1］钉=靪=疔=丁=［3］顶=鼎［5］定=订锭"
"tʰ"	"［1］听=厅［2］停=亭廷庭蜓［3］挺"
"n"	"［2］银凝宁{安～}［5］硬=宁{～可}"
"l"	"［2］零=铃=翎=林淋{～湿}临邻鳞磷陵凌菱绫灵伶龄［3］檩岭=领=［5］另=赁=吝令="
"tɕ"	"［1］精=睛=经今金襟津巾斤筋京荆惊鲸晶颈［3］井=锦尽{～先}紧仅谨景警［5］镜=净=浸禁妗进晋尽{～力}劲近茎境敬竟竞静靖径"
"tɕʰ"	"［1］清=晴=青=侵亲{～切}轻蜻[2]秦钦琴禽擒勤芹卿擎情［3］寝吣请倾顷［5］揿亲{～家}庆"
"ɕ"	"［1］星=腥=心辛新薪欣兴{～旺}猩［2］行=形型刑寻={～常：经常}［3］省={～察}醒［5］杏=幸信讯衅迅兴{高～}性姓"
"Ø"	"［1］饮{～料}音阴荫因姻殷鹰莺鹦樱英婴=缨盈［2］贏匀-蝇=营=吟淫寅迎茔=颖［3］引蚓隐尹［5］影={～响}窨饮{～马}洇印应=孕映"
"#uʌŋ"	""
"t"	"［1］敦墩蹲东冬［3］董懂栋［5］顿屯饨囤盾钝遁冻动洞"
"tʰ"	"［1］通［2］同铜桐童瞳［3］桶捅筒统［5］痛"
"n"	"［2］农脓浓［5］嫩"
"l"	"［2］仑伦沦轮笼聋隆龙论{～语}［3］拢陇垄［5］论{议～}弄"
"ts"	"［1］尊遵宗综中中间忠衷终踪钟盅［3］准总种{～类}肿［5］纵中{射~}仲众重{轻~}种{～植}"
"tsʰ"	"［1］松村皴椿春聪匆葱冲充冲春［2］存唇纯醇丛虫崇从重{～复}［3］寸宠"
"s"	"［1］松孙松嵩［3］损笋怂讼［5］顺舜送宋诵颂"
"z"	"［2］戎绒茸［5］润闰"
"k"	"［1］公蚣工功攻弓躬宫恭拱［3］滚汞巩［5］棍贡供={提～}共"
"kʰ"	"［1］昆坤空{～虚}［3］啃捆孔控恐［5］困空{～缺}"
"x"	"［1］昏婚浑分{～开}纷荤风枫疯丰封蜂［2］横={～泉水库}魂馄浑{～身}焚坟弘宏红洪鸿虹冯峰锋逢{缝～补}［3］粉哄{～骗}讽［5］混粪奋芬愤忿份分{本～}轰哄凤奉俸缝{～隙}"
"Ø"	"［1］温瘟［2］文纹蚊闻翁［3］稳吻刎［5］问璺瓮"
"#yʌŋ"	""
"tɕ"	"［1］君军棕鬃供-{～化肥：施肥}［3］均钧菌郡迥［5］粽俊骏"
"tɕʰ"	"［2］群裙琼穷"
"ɕ"	"［1］兄=殉薰匈凶［2］荀旬循巡熏勛熊雄胸［5］逊训"
"Ø"	"［2］匀=云荣融雍容蓉镕溶榕熔庸萤［3］允晕永泳咏拥甬勇涌恿踊［5］熨韵运用"
"#aʔ"	""
"p"	"［7］八剥驳{～谈：指责}"
"pʰ"	"［7］胖-［8］拔冹{寒也}脖{～子}"
"t"	"［7］答搭达"
"tʰ"	"［7］拓沓塔榻塌溻遢托特［8］踏"
"n"	"［8］纳捺诺"
"l"	"［7］邋［8］乐{快～}腊蜡辣落洛络"
"ts"	"［7］眨扎札作泽择=窄摘责则侧-{～棱转：转向侧面}［8］轧"
"tsʰ"	"［7］厕插擦察绰侧=测拆策册［8］翟-{~家窑}杂牐{把门～上}铡煠{～油条}宅择-{～日子}"
