#ɿ	
tsɿ1	之支芝枝1知1肢脂蜘豬咨滋貲資1指2{指甲}至3{夏至}制2{制服}子3嘴3
ɦuɒʔ8	或2{倘或}
#ok	
pok7	剝1{剝脫苹菓皮}駁1
bok8	薄3
fok7	福1{福氣}
vok8	服1{服毒}
mok8	莫1{莫非}木1{木彫}目5{目今}睦1{和睦}
tʰok7	禿1{全稱量詞，表示“都”}
dok8	毒1{毒瘡}獨1{惟獨}讀1{讀書}
lok8	六1{五顏六色}鹿1踛1䟿綠
tsok7	竹1{竹爿}築
dzok8	逐4{逐點}
sok7	束1{束脩}漱速1縮1{縮轉來}
zok8	肉3射5{射箭}熟1贖1逐2{逐出}濁2族1{族譜}
kok7	國1{國家}角3
ok1	屋1{屋頂}
#iok	
ɲiok8	肉1褥獄2玉1
#oʔ	
poʔ7	爆{擬聲詞，熚爆熚爆}北1{北門}剝2{剝皮}博駁2卜樸2{樸實}
pʰoʔ7	撲樸1{樸實}
boʔ8	薄4{刻薄}箔1鉑{當是“箔”字}蔔
foʔ7	幅福2{福氣}蝠輻複復2{反反復復}
voʔ8	伏服2{服毒}茯復1{復原}縛
moʔ8	摸2{摸着}膜2{隔膜}莫2{莫非}木2{木頭}目6{目錄}牧2{牧童}睦2{和睦}
toʔ7	督1{總督}篤
tʰoʔ7	禿{禿頂}禿2{全稱量詞，表示“都”}
doʔ8	毒2{毒藥}獨2{惟獨}瀆讀2{讀熟}度3{量度}鐸
loʔ7	咯
loʔ8	六2祿1{俸祿}碌踛2錄簏籙樂3{同苦同樂}
tsoʔ7	粥竹2{竹牌}燭囑祝酌3足
tsʰoʔ7	畜觸
dzoʔ8	軸3逐5{逐日，表示“每天”}濁4族3{宗族}
soʔ7	叔束2{束腰帶}朔速2宿1粟肅縮2{縮勿轉}索2{勒索}䌇
zoʔ8	肉4辱熟2贖2屬2俗續逐3{赶逐}濁3族2{族長}昨4{昨日}
koʔ7	谷穀國2{國家}
kʰoʔ7	哭殼2
hoʔ7	霍
ɦoʔ8	惑2{疑疑惑惑}
oʔ7	屋2鑊2{鑊子}
#ioʔ	
dioʔ8	軸1逐1
cioʔ7	菊
cʰioʔ7	曲1麯
ɟioʔ8	局1軸2
ɲioʔ8	肉2玉2獄1
tɕʰioʔ7	曲2
dʑioʔ8	局2
ɕioʔ7	蓄血2{破血經}
ɦioʔ8	役疫欲
ioʔ7	唷育浴慾
#uoʔ	
kuoʔ7	國3
ɦuoʔ8	獲鑊1{鑊子}核{釋義爲“seed {stone of fruit}”}或1惑1{迷惑}
#øʔ	
tøʔ7	掇
tʰøʔ7	脫1
døʔ7	奪
søʔ7	率1{比例率}設1{假設}刷1{刷印}說1
køʔ7	割1{担刀來割}葛
kʰøʔ7	渴
høʔ7	喝
#iøʔ	
ciøʔ7	橘決譎
cʰiøʔ7	屈缺闕
ɟiøʔ8	掘
ɲiøʔ8	月1{月亮}
ɕiøʔ7	血1
ɦiøʔ8	月2{日月星辰}越1
iøʔ7	鬱月3悅越2
#əʔ	
pəʔ7	撥鵓不1挬2{挬轉}
pʰəʔ7	潑
bəʔ8	孛荸挬1{挬轉}
fəʔ7	佛2{仿佛}
vəʔ8	弗佛1勿物2{禮物}
məʔ8	沒1袂2{衣袂飄飄}抹末茉沫物1{物事}
ɗəʔ7	答2
tʰəʔ7	忒3貼1脫2
dəʔ8	疊凸
nəʔ8	納2{收納}
ləʔ8	勒{表示“在”}
tsəʔ1	只
tsəʔ7	朿蜇折1摺汁執質1拙卒
tsʰəʔ7	測2{測量}撤徹出轍
dzəʔ8	雜4{混雜}姪
səʔ7	率2{速率}設2{設立}攝失虱蝨十3飾2釋2刷2說2什2{什蓋}
zəʔ8	熱2日2入舌涉什1{什蓋能；另作“拾”}十2蝕2{蝕本}實術穗{麥穗頭}踅雜3{混雜}折2
kəʔ7	疙{原作“㾑”}蓋3{表示“這樣”}鴿蛤合2{合做生意}𡀽1
kʰəʔ7	咳磕
gəʔ8	搿
ɦəʔ8	合1
#iʔ	
piʔ7	逼1{逼迫}筆必畢嗶{嗶嘰，釋義爲“long ells”}碧熚擬聲詞壁別2{分別}不3{不過}僻2{邪僻}
pʰiʔ7	劈匹僻1{邪僻}闢撇
biʔ8	鼻別1{別人}
miʔ8	覔密蜜滅
tiʔ7	的滴跌
tʰiʔ7	踢3帖貼2鐵
diʔ8	笛敵糴碟蝶
liʔ8	力3{出力}立栗粒慄歷{來歷}歷{擬聲詞，歷歷碌碌}曆瀝列烈裂1獵律翅翼
tsiʔ7	積卽2{遂卽，卽“隨卽”}脊迹跡稷接癤節漬
tsʰiʔ7	緝七戚1{無親無戚}漆切妾竊
dziʔ8	疾2{痢疾}集1{聚集}嫉2{嫉妒}籍絕席3習2藉{釋義爲“rely”}
siʔ1	壻
siʔ7	圾髓息惜膝錫洩屑褻戌恤雪嗇2{吝嗇}
ziʔ8	疾1{疾病}嫉1{嫉妒}寂截拾席2習1蓆襲
kiʔ7	給
ciʔ7	激2{激怒}吉急級劫結詰潔訖
ɟiʔ8	及1{及勿到}傑竭
çiʔ7	歇1
ɲiʔ8	臬孽熱1日1業
ɕiʔ7	吸噏歇2蠍
ɦiʔ8	頁1葉1
iʔ7	一揖頁2葉2
#ik	
dzik8	集2{聚集}
#uəʔ	
kuəʔ7	割2{担刀來割}骨國4
kʰuəʔ7	闊
huəʔ7	忽
ɦuəʔ8	囫1{囫圇}活1
uəʔ7	囫2{囫圇}活2{快活}
#yəʔ	
çyəʔ7	血3{血脈}
yəʔ7	月4{月季花}
#ʌk	
tʌk7	得1{講得出}
tʰʌk7	忒1
tsʰʌk7	赤2{赤胆忠心}
dzʌk8	直1値1{値價錢}
sʌk7	識1{識字}
zʌk8	賊1
kʰʌk7	刻1
hʌk7	黑1{黑天}
#iʌk	
tʰiʌk7	踢1
liʌk8	力1{出力}
tsiʌk7	卽1{隨卽}
ziʌk8	席1
cʰiʌk7	吃1{吃粥}
ɲiʌk8	逆1{逆風}
ɦiʌk8	益1
#ʌʔ	
pʌʔ7	百3伯2{公侯伯子男}不2{不過}
pʰʌʔ7	迫
mʌʔ8	沒2墨默
tʌʔ7	得2{走得動}德
tʰʌʔ7	忒2
dʌʔ8	特
lʌʔ8	勒{勒索}肋
tsʌʔ7	則責2{責任}仄2摘織職炙鷙
tsʰʌʔ7	測1{測量}惻赤3{赤紅}勅
dzʌʔ8	擇澤直2値2
sʌʔ7	塞色嗇1{吝嗇}識2式拭室飾1適釋1
zʌʔ8	食蝕1{銹蝕}賊2直3{直頭}
kʌʔ7	蓋4{蓋末}格3{格外}隔3個4{一個}𡀽2
kʰʌʔ7	克刻2{立刻}
hʌʔ7	黑2
#iʌʔ	
tʰiʌʔ7	剔踢2
liʌʔ8	力2{幷心竭力}
tsʰiʌʔ7	戚2{無親無戚}
ciʌʔ7	激1{感激}棘
cʰiʌʔ7	吃2{吃茶}
ɟiʌʔ8	極
ɲiʌʔ8	逆2{逆風}匿溺
tɕʰiʌʔ7	吃3{吃飯}乞
ɦiʌʔ8	易2益2
iʌʔ7	逸溢譯
#m̩	
m̩1	嘸2無4
m̩2	嘸1姆唔無1
m̩6	墓2
#ŋ̍	
ŋ̍1	兒4{兒子}魚2
ŋ̍2	兒1{兒子}吳1魚1五4
ŋ̍3	午3忤五3
ŋ̍4	五1午1
ŋ̍5	恨3{可恨}
ŋ̍6	恨1
#əɹ	
əɹ2	而兒3{兒子}耳3
əɹ4	耳2{耳目口鼻}
əɹ6	二2{二十八宿}
