"来源：鲍厚星.湖南邵阳方言音系[J].方言,1989(3):196-207."						
"轉錄者：DaiDzao"						
"拼音"	"IPA"	"調號"	"調值"	"單字"		"1阴平55，2阳平12，3上声42，5阴去35，6阳去24，7入声33"
	"tsuei"	5	35	"最醉缀赘"		
	"tsʰuei"	1	55	"崔催吹炊"		
	"tsʰuei"	6	24	"翠粹脆猝[仓~]"		
	"dzuei"	2	12	"随垂锤槌谁"		
	"dzuei"	6	24	"罪瑞隧[~道]坠睡"		
	"suei"	1	55	"虽绥"		
	"suei"	3	42	"水"		
	"suei"	5	35	"碎岁税术述率[~领]蟀"		
	"suei"	6	24	"遂"		
	"kuei"	1	55	"圭闺规龟归"		
	"kuei"	3	42	"轨鬼诡"		
	"kuei"	5	35	"桂贵癸鳜[~鱼]"		
	"kʰuei"	1	55	"盔魁亏窥"		
	"kʰuei"	6	24	"愧"		
	"guei"	2	12	"逵奎葵溃[~脓]"		
	"guei"	6	24	"跪=柜"		
	"uei"	1	55	"煨威萎[没精神的样子]"		
	"uei"	3	42	"委萎诿伟苇纬尾="		
	"uei"	5	35	"位魏胃畏谓蝟伪为[~什么]卫慰"		
	"pau"	1	55	"褒包胞"		
	"pau"	3	42	"保堡宝饱"		
	"pau"	5	35	"报豹曝"		
	"pʰau"	1	55	"抛"		
	"pʰau"	3	42	"跑"		
	"pʰau"	6	24	"爆泡炮泡[~在水里]~[十:~把天]"		
	"bau"	2	12	"袍刨浮-"		
	"bau"	6	24	"抱菢暴鲍刨铇鉋"		
	"mau"	1	55	"猫"		
	"mau"	2	12	"毛矛茅锚"		
	"mau"	3	42	"卯"		
	"mau"	5	35	"貌冒帽"		
	"tau"	1	55	"刀"		
	"tau"	3	42	"祷岛倒[打~]"		
	"tau"	5	35	"到倒"		
	"tʰau"	1	55	"滔"		
	"tʰau"	3	42	"讨"		
	"tʰau"	6	24	"套"		
	"dau"	2	12	"桃逃淘陶掏萄涛"		
	"dau"	6	24	"道稻盗导"		
	"lau"	1	55	"~[~软:很软]"		
	"lau"	2	12	"劳捞唠牢"		
	"lau"	3	42	"老脑恼"		
	"lau"	5	35	"闹"		
	"tsau"	1	55	"遭糟昭招沼[~气]"		
	"tsau"	3	42	"早枣蚤澡爪[~牙]找"		
	"tsau"	5	35	"灶罩照"		
