端	開	一	唐	去	端	宕	當		t	ɔŋ	33	t	ɔŋ	33	t	ɔŋ	22	適當
端	開	一	唐	平	端	宕	鐺		t	ɔŋ	55	t	ɔŋ	45	t	ɔŋ	55	鐺鐺
初	開	二	庚	平	莊	梗	鐺		tsʰ	aŋ	55	tsʰ	aŋ	45	tsʰ	aŋ	55	瓦鐺
透	開	一	唐	平	端	宕	盪		t	ɔŋ	33	t	ɔŋ	33	t	ɔŋ	22	
定	開	一	唐	平	端	宕	糖		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51	
定	開	一	唐	平	端	宕	棠		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51	
定	開	一	唐	平	端	宕	塘		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51	
定	開	一	唐	平	端	宕	唐		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51	
定	開	一	唐	平	端	宕	螳		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51	
定	開	一	唐	平	端	宕	堂		tʰ	ɔŋ	51	tʰ	ɔŋ	51	tʰ	ɔŋ	51	
泥	開	一	唐	平	端	宕	囊		n	ɔŋ	51	n	ɔŋ	51	n	ɔŋ	51	
來	開	一	唐	平	來	宕	瑯		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51	
來	開	一	唐	平	來	宕	琅		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51	
來	開	一	唐	平	來	宕	榔		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51	
來	開	一	唐	平	來	宕	郎		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51	
來	開	一	唐	去	來	宕	浪		l	ɔŋ	33	l	ɔŋ	33	l	ɔŋ	22	波浪
來	開	一	唐	平	來	宕	浪		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51	滄浪
來	開	一	唐	平	來	宕	廊		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51	
來	開	一	唐	平	來	宕	狼		l	ɔŋ	51	l	ɔŋ	51	l	ɔŋ	51	
精	開	一	唐	平	精	宕	贓		ts	ɔŋ	55	ts	ɔŋ	45	ts	ɔŋ	55	
清	開	一	唐	平	精	宕	滄		tsʰ	ɔŋ	55	tsʰ	ɔŋ	45	tsʰ	ɔŋ	55	
清	開	一	唐	平	精	宕	蒼		tsʰ	ɔŋ	55	tsʰ	ɔŋ	45	tsʰ	ɔŋ	55	
清	開	一	唐	平	精	宕	倉		tsʰ	ɔŋ	55	tsʰ	ɔŋ	45	tsʰ	ɔŋ	55	
從	開	一	唐	平	精	宕	藏		tsʰ	ɔŋ	51	tsʰ	ɔŋ	51	tsʰ	ɔŋ	51	收藏
從	開	一	唐	去	精	宕	藏		ts	ɔŋ	33	ts	ɔŋ	33	ts	ɔŋ	22	寶藏
心	開	一	唐	平	精	宕	桑		s	ɔŋ	55	s	ɔŋ	45	s	ɔŋ	55	
心	開	一	唐	平	精	宕	喪		s	ɔŋ	55	s	ɔŋ	45	s	ɔŋ	55	喪事
心	開	一	唐	去	精	宕	喪		s	ɔŋ	33	s	ɔŋ	33	s	ɔŋ	22	喪失
見	開	一	唐	平	見	宕	亢		kʰ	ɔŋ	55	kʰ	ɔŋ	45	kʰ	ɔŋ	55	人的喉嚨
溪	開	一	唐	去	見	宕	亢		kʰ	ɔŋ	33	kʰ	ɔŋ	33	kʰ	ɔŋ	22	高亢
見	開	一	唐	平	見	宕	剛		k	ɔŋ	55	k	ɔŋ	45	k	ɔŋ	55	
見	合	一	唐	平	見	宕	胱		k	ɔŋ	55	kʷ	ɔŋ	45	k	ɔŋ	55	
見	開	一	唐	平	見	宕	崗		k	ɔŋ	55	k	ɔŋ	45	k	ɔŋ	55	
見	合	一	唐	平	見	宕	光		k	ɔŋ	55	kʷ	ɔŋ	45	k	ɔŋ	55	
見	合	一	唐	平	見	宕	恍		f	ɔŋ	213	f	ɔŋ	21	f	ɔŋ	21	
見	開	一	唐	平	見	宕	岡		k	ɔŋ	55	k	ɔŋ	45	k	ɔŋ	55	
見	合	一	唐	平	見	宕	橫		w	aŋ	51	w	aŋ	51				
見	開	一	唐	平	見	宕	綱		k	ɔŋ	55	k	ɔŋ	45	k	ɔŋ	55	
見	開	一	唐	平	見	宕	鋼		k	ɔŋ	33	k	ɔŋ	33	k	ɔŋ	22	
溪	開	一	唐	平	見	宕	康		h	ɔŋ	55	h	ɔŋ	45	h	ɔŋ	55	
疑	開	一	唐	平	見	宕	昂		ŋ	ɔŋ	51	ŋ	ɔŋ	51	ŋ	ɔŋ	51	
曉	開	一	唐	平	影	宕	炕		kʰ	ɔŋ	33	kʰ	ɔŋ	33	kʰ	ɔŋ	22	
曉	合	一	唐	平	影	宕	荒		f	ɔŋ	55	f	ɔŋ	45	f	ɔŋ	55	
匣	開	一	唐	平	影	宕	杭		h	ɔŋ	51	h	ɔŋ	51	h	ɔŋ	51	
匣	合	一	唐	平	影	宕	凰		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51	
匣	開	一	唐	平	影	宕	航		h	ɔŋ	51	h	ɔŋ	51	h	ɔŋ	51	
匣	合	一	唐	平	影	宕	惶		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51	
匣	合	一	唐	平	影	宕	徨		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51	
匣	合	一	唐	平	影	宕	簧		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51	
匣	開	一	唐	平	影	宕	行		h	ɐŋ	51	h	ɐŋ	51	h	ɐŋ	51	步行
匣	開	二	庚	平	影	梗	行		h	aŋ	51	h	aŋ	51	h	aŋ	51	行路
匣	開	二	庚	平	影	梗	行		h	ɔŋ	51	h	ɔŋ	51	h	ɔŋ	51	銀行
匣	開	一	唐	去	影	宕	行		h	ɐŋ	33	h	ɐŋ	33	h	ɐŋ	22	品行
匣	開	一	唐	平	影	宕	抗		kʰ	ɔŋ	33	kʰ	ɔŋ	33	kʰ	ɔŋ	22	
匣	開	一	唐	平	影	宕	吭		h	ɔŋ	51	h	ɔŋ	51	h	ɔŋ	51	
匣	合	一	唐	平	影	宕	潢		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51	
匣	合	一	唐	平	影	宕	皇		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51	
匣	合	一	唐	平	影	宕	黃		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51	
匣	合	一	唐	平	影	宕	煌		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51	
影	合	一	唐	平	影	宕	汪		w	ɔŋ	55	w	ɔŋ	45	w	ɔŋ	55	
幫	開	一	唐	平	幫	宕	幫		p	ɔŋ	55	p	ɔŋ	45	p	ɔŋ	55	
並	開	一	唐	平	幫	宕	膀		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51	膀胱
							膀		p	ɔŋ	213	p	ɔŋ	21	p	ɔŋ	21	肩膀
並	開	一	唐	平	幫	宕	旁		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51	
滂	合	三	陽	上	幫	宕	彷		f	ɔŋ	213	f	ɔŋ	21	f	ɔŋ	21	仿佛
並	開	一	唐	平	幫	宕	彷		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51	彷徨
並	開	一	唐	平	幫	宕	螃		p	ɔŋ	213	p	ɔŋ	21	p	ɔŋ	21	
並	開	一	唐	去	幫	宕	傍		p	ɔŋ	33	p	ɔŋ	33	p	ɔŋ	22	依山傍水
並	開	一	唐	平	幫	宕	傍		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51	傍晚
明	開	一	唐	平	幫	宕	忙		m	ɔŋ	51	m	ɔŋ	51	m	ɔŋ	51	
明	開	一	唐	平	幫	宕	茫		m	ɔŋ	51	m	ɔŋ	51	m	ɔŋ	51	
							茫		m	ɔŋ	55							
滂	開	一	唐	平	幫	宕	磅		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51	磅礴
							磅		p	ɔŋ	33	p	ɔŋ	33	p	ɔŋ	22	一磅
滂	開	一	唐	平	幫	宕	滂		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51	
端	開	一	唐	上	端	宕	黨		t	ɔŋ	213	t	ɔŋ	21	t	ɔŋ	21	
定	開	一	唐	上	端	宕	蕩		t	ɔŋ	33	t	ɔŋ	33	t	ɔŋ	22	
來	開	一	唐	上	來	宕	朗		l	ɔŋ	213	l	ɔŋ	21	l	ɔŋ	21	
精	開	一	唐	上	精	宕	髒		ts	ɔŋ	55	ts	ɔŋ	45	ts	ɔŋ	55	
從	開	一	唐	上	精	宕	奘		ts	ɔŋ	33	ts	ɔŋ	33	ts	ɔŋ	22	
見	合	一	唐	上	見	宕	廣		k	ɔŋ	213	kʷ	ɔŋ	21	k	ɔŋ	21	
溪	開	一	唐	上	見	宕	慷		kʰ	ɔŋ	213	kʰ	ɔŋ	21	kʰ	ɔŋ	21	
曉	合	一	唐	上	影	宕	慌		f	ɔŋ	55	f	ɔŋ	45	f	ɔŋ	55	
匣	開	一	唐	上	影	宕	骯			ɔŋ	55		ɔŋ	45		ɔŋ	55	
							骯		kʰ	ɔŋ	33	kʰ	ɔŋ	33	kʰ	ɔŋ	22	
匣	合	一	唐	上	影	宕	晃		f	ɔŋ	213	f	ɔŋ	21	f	ɔŋ	21	
影	開	一	唐	上	影	宕	映		j	ɪŋ	213	j	ɐŋ	21	j	ɐŋ	21	
							映			ɪŋ	213							
影	開	一	唐	上	影	宕	盎			ɔŋ	213		ɔŋ	21		ɔŋ	21	
明	開	一	唐	上	幫	宕	蟒		m	ɔŋ	213	m	ɔŋ	21	m	ɔŋ	21	
端	開	一	唐	去	端	宕	擋		t	ɔŋ	33	t	ɔŋ	33	t	ɔŋ	22	摒擋
							擋		t	ɔŋ	213	t	ɔŋ	21	t	ɔŋ	21	阻擋
定	開	一	唐	去	端	宕	宕		t	ɔŋ	33	t	ɔŋ	33	t	ɔŋ	22	
精	開	一	唐	去	精	宕	葬		ts	ɔŋ	33	ts	ɔŋ	33	ts	ɔŋ	22	
溪	合	一	唐	去	見	宕	曠		kʰ	ɔŋ	33	kʷʰ	ɔŋ	33	kʰ	ɔŋ	22	
匣	合	一	唐	去	影	宕	擴		kʰ	ɔk	3	kʷʰ	ɔk	2	kʰ	ɔk	5	
							擴		kʰ	ɔŋ	33	kʷʰ	ɔŋ	33				
並	開	一	唐	去	幫	宕	徬		pʰ	ɔŋ	51	pʰ	ɔŋ	51	pʰ	ɔŋ	51	
滂	開	二	庚	入	幫	梗	魄		pʰ	ak	3	pʰ	ak	2	pʰ	ak	5	
透	開	一	唐	入	端	宕	魄											
							魄											
透	開	一	唐	入	端	宕	託		tʰ	ɔk	3	tʰ	ɔk	2	tʰ	ɔk	5	
透	開	一	唐	入	端	宕	拓		tʰ	ɔk	3	tʰ	ɔk	2	tʰ	ɔk	5	開拓
							拓		tʰ	ap	3	tʰ	ap	2	tʰ	ap	5	拓本
定	開	一	唐	入	端	宕	踱		t	ɔk	3	t	ɔk	2	t	ɔk	2	
泥	開	一	唐	入	端	宕	諾		n	ɔk	3	n	ɔk	2	n	ɔk	2	
來	開	一	唐	入	來	宕	酪		l	ɔk	3	l	ɔk	2	l	ɔk	5	
							酪											
來	開	一	唐	入	來	宕	洛		l	ɔk	3	l	ɔk	2	l	ɔk	5	
來	開	一	唐	入	來	宕	烙		l	ɔk	3	l	ɔk	2	l	ɔk	5	
來	開	一	唐	入	來	宕	絡		l	ɔk	3	l	ɔk	2	l	ɔk	5	
來	開	一	唐	入	來	宕	落		l	ɔk	3	l	ɔk	2	l	ɔk	2	
							落											
來	開	一	唐	入	來	宕	駱		l	ɔk	3	l	ɔk	2	l	ɔk	5	
從	開	一	唐	入	精	宕	昨		ts	ɔk	3	ts	ɔk	2	ts	ɔk	2	
							昨		ts	œk	3							昨日
心	開	一	唐	入	精	宕	索		s	ɔk	3	s	ɔk	2	s	ɔk	5	
見	開	一	唐	入	見	宕	格		k	ak	3	k	ak	2	k	ak	5	
見	開	一	唐	入	見	宕	閣		k	ɔk	3	k	ɔk	2	k	ɔk	5	
見	開	一	唐	入	見	宕	胳		k	ak	3	k	ak	2	k	ak	5	
見	開	一	唐	入	見	宕	各		k	ɔk	3	k	ɔk	2	k	ɔk	5	
見	合	一	唐	入	見	宕	郭		k	ɔk	3	kʷ	ɔk	2	k	ɔk	5	
溪	合	一	唐	入	見	宕	廓		k	ɔk	3	kʷ	ɔk	2	k	ɔk	5	
疑	開	一	唐	入	見	宕	噩		ŋ	ɔk	3	ŋ	ɔk	2	ŋ	ɔk	2	
疑	開	一	唐	入	見	宕	愕		ŋ	ɔk	3	ŋ	ɔk	2	ŋ	ɔk	2	
疑	開	一	唐	入	見	宕	顎		ŋ	ɔk	3	ŋ	ɔk	2	ŋ	ɔk	2	
曉	開	一	唐	入	影	宕	壑		kʰ	ɔk	3	kʰ	ɔk	2	kʰ	ɔk	5	
曉	合	一	唐	入	影	宕	霍		kʰ	ɔk	3	kʷʰ	ɔk	2	kʰ	ɔk	5	
曉	開	一	唐	入	影	宕	郝		kʰ	ɔk	3	kʰ	ɔk	2	kʰ	ɔk	5	
匣	合	一	唐	入	影	宕	穫		w	ɔk	3	w	ɔk	2	w	ɔk	2	
匣	開	一	唐	入	影	宕	涸		kʰ	ɔk	3	kʰ	ɔk	2	kʰ	ɔk	5	
匣	開	一	唐	入	影	宕	鶴		h	ɔk	3	h	ɔk	2	h	ɔk	2	
影	開	一	唐	入	影	宕	堊			ɔk	3		ɔk	2		ɔk	5	
幫	開	一	唐	入	幫	宕	博		p	ɔk	3	p	ɔk	2	p	ɔk	5	
並	開	一	唐	入	幫	宕	薄		p	ɔk	3	p	ɔk	2	p	ɔk	2	
並	開	一	唐	入	幫	宕	泊		p	ɔk	3	p	ɔk	2	p	ɔk	2	
							泊		pʰ	ak	3	pʰ	ak	2	pʰ	ak	5	梁山泊
並	開	一	唐	入	幫	宕	箔		p	ɔk	3	p	ɔk	2	p	ɔk	2	
並	開	一	唐	入	幫	宕	礴		p	ɔk	3	p	ɔk	2	p	ɔk	2	
明	開	一	唐	入	幫	宕	莫		m	ɔk	3	m	ɔk	2	m	ɔk	2	
明	開	一	唐	入	幫	宕	寞		m	ɔk	3	m	ɔk	2	m	ɔk	2	
明	開	一	唐	入	幫	宕	漠		m	ɔk	3	m	ɔk	2	m	ɔk	2	
明	開	一	唐	入	幫	宕	幕		m	ɔk	3	m	ɔk	2	m	ɔk	2	
滂	開	一	唐	入	幫	宕	粕		pʰ	ɔk	3	pʰ	ɔk	2	pʰ	ɔk	5	
滂	開	一	唐	入	幫	宕	膊		p	ɔk	3	p	ɔk	2	p	ɔk	5	
娘	開	三	陽	平	知	宕	娘		n	œŋ	51	n	iɔŋ	51	n	œŋ	51	
來	開	三	陽	平	來	宕	糧		l	œŋ	51	l	iɔŋ	51	l	œŋ	51	
來	開	三	陽	平	來	宕	量		l	œŋ	51	l	iɔŋ	51	l	œŋ	51	測量
來	開	三	陽	去	來	宕	量		l	œŋ	33	l	iɔŋ	33	l	œŋ	22	重量
來	開	三	陽	平	來	宕	蜋											
來	開	三	陽	平	來	宕	粱		l	œŋ	51	l	iɔŋ	51	l	œŋ	51	
來	開	三	陽	平	來	宕	良		l	œŋ	51	l	iɔŋ	51	l	œŋ	51	
來	開	三	陽	平	來	宕	涼		l	œŋ	51	l	iɔŋ	51	l	œŋ	51	
來	開	三	陽	平	來	宕	梁		l	œŋ	51	l	iɔŋ	51	l	œŋ	51	
精	開	三	陽	平	精	宕	蔣		ts	œŋ	213	ts	iɔŋ	21	ts	œŋ	21	
精	開	三	陽	平	精	宕	將		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55	將來
精	開	三	陽	去	精	宕	將		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22	將領
精	開	三	陽	平	精	宕	漿		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55	
							搶		tsʰ	œŋ	213	tsʰ	iɔŋ	21	tsʰ	œŋ	21	
清	開	三	陽	平	精	宕	搶											
清	開	三	陽	平	精	宕	鏘		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55	
清	開	三	陽	平	精	宕	槍		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55	
從	開	三	陽	平	精	宕	牆		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51	
從	開	三	陽	平	精	宕	薔		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51	
心	開	三	陽	平	精	宕	襄		s	œŋ	55	s	iɔŋ	45	s	œŋ	55	
心	開	三	陽	平	精	宕	湘		s	œŋ	55	s	iɔŋ	45	s	œŋ	55	
心	開	三	陽	平	精	宕	相		s	œŋ	55	s	iɔŋ	45	s	œŋ	55	互相
心	開	三	陽	去	精	宕	相		s	œŋ	33	s	iɔŋ	33	s	œŋ	22	相貌
心	開	三	陽	平	精	宕	廂		s	œŋ	55	s	iɔŋ	45	s	œŋ	55	
心	開	三	陽	平	精	宕	箱		s	œŋ	55	s	iɔŋ	45	s	œŋ	55	
邪	開	三	陽	平	精	宕	翔		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51	
邪	開	三	陽	平	精	宕	祥		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51	
邪	開	三	陽	平	精	宕	庠											
知	開	三	陽	平	知	宕	張		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55	
知	開	三	陽	平	知	宕	漲		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22	
澄	開	三	陽	平	知	宕	長		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51	長久
知	開	三	陽	上	知	宕	長		ts	œŋ	213	ts	iɔŋ	21	ts	œŋ	21	長大
澄	開	三	陽	平	知	宕	腸		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51	
澄	開	三	陽	平	知	宕	場		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51	
莊	開	三	陽	平	莊	宕	妝		ts	ɔŋ	55	ts	ɔŋ	45	ts	ɔŋ	55	
莊	開	三	陽	平	莊	宕	莊		ts	ɔŋ	55	ts	ɔŋ	45	ts	ɔŋ	55	
莊	開	三	陽	平	莊	宕	裝		ts	ɔŋ	55	ts	ɔŋ	45	ts	ɔŋ	55	
初	開	三	陽	平	莊	宕	創											
初	開	三	陽	去	莊	宕	創		tsʰ	ɔŋ	33	tsʰ	ɔŋ	33	tsʰ	ɔŋ	22	
初	開	三	陽	平	莊	宕	瘡		tsʰ	ɔŋ	55	tsʰ	ɔŋ	45	tsʰ	ɔŋ	55	
崇	開	三	陽	平	莊	宕	床		tsʰ	ɔŋ	51	tsʰ	ɔŋ	51	tsʰ	ɔŋ	51	
生	開	三	陽	平	莊	宕	霜		s	œŋ	55	s	iɔŋ	45	s	œŋ	55	
章	開	三	陽	平	章	宕	障		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22	
章	開	三	陽	平	章	宕	璋		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55	
章	開	三	陽	平	章	宕	樟		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55	
章	開	三	陽	平	章	宕	章		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55	
章	開	三	陽	平	章	宕	漳		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55	
章	開	三	陽	平	章	宕	彰		ts	œŋ	55	ts	iɔŋ	45	ts	œŋ	55	
昌	開	三	陽	平	章	宕	猖		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55	
昌	開	三	陽	平	章	宕	倡		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55	
昌	開	三	陽	去	章	宕	倡											
昌	開	三	陽	平	章	宕	昌		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55	
昌	開	三	陽	平	章	宕	菖		tsʰ	œŋ	55	tsʰ	iɔŋ	45	tsʰ	œŋ	55	
常	開	三	陽	平	章	宕	嘗		s	œŋ	51	s	iɔŋ	51	s	œŋ	51	
常	開	三	陽	平	章	宕	常		s	œŋ	51	s	iɔŋ	51	s	œŋ	51	
常	開	三	陽	平	章	宕	償		s	œŋ	51	s	iɔŋ	51	s	œŋ	51	
常	開	三	陽	平	章	宕	徜		s	œŋ	51	s	iɔŋ	51	s	œŋ	51	
常	開	三	陽	平	章	宕	尚		s	œŋ	33	s	iɔŋ	33	s	œŋ	22	
常	開	三	陽	平	章	宕	裳		s	œŋ	51	s	iɔŋ	51	s	œŋ	51	
書	開	三	陽	平	章	宕	商		s	œŋ	55	s	iɔŋ	45	s	œŋ	55	
書	開	三	陽	平	章	宕	傷		s	œŋ	55	s	iɔŋ	45	s	œŋ	55	
書	開	三	陽	平	章	宕	湯		tʰ	ɔŋ	55	tʰ	ɔŋ	45	tʰ	ɔŋ	55	
日	開	三	陽	平	日	宕	攘		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51	攘除
							攘		j	ɔŋ	213	j	ɔŋ	21	j	œŋ	21	擾攘
日	開	三	陽	平	日	宕	鑲		s	œŋ	55	s	iɔŋ	45	s	œŋ	55	
見	開	三	陽	平	見	宕	疆		k	œŋ	55	k	iɔŋ	45	k	œŋ	55	
見	開	三	陽	平	見	宕	薑		k	œŋ	55	k	iɔŋ	45	k	œŋ	55	
見	開	三	陽	平	見	宕	韁		k	œŋ	55	k	iɔŋ	45	k	œŋ	55	
見	開	三	陽	平	見	宕	僵		k	œŋ	55	k	iɔŋ	45	k	œŋ	55	
見	開	三	陽	平	見	宕	姜		k	œŋ	55	k	iɔŋ	45	k	œŋ	55	
溪	合	三	陽	平	見	宕	框		kʷʰ	aŋ	55	kʷʰ	aŋ	45	kʰ	aŋ	55	
溪	合	三	陽	平	見	宕	筐		h	ɔŋ	55	h	ɔŋ	45	h	ɔŋ	55	
溪	開	三	陽	平	見	宕	羌		k	œŋ	55	k	iɔŋ	45	kʰ	œŋ	55	
溪	合	三	陽	平	見	宕	眶		h	ɔŋ	55	h	ɔŋ	45	h	ɔŋ	55	
曉	開	三	陽	平	影	宕	鄉		h	œŋ	55	h	iɔŋ	45	h	œŋ	55	
曉	開	三	陽	平	影	宕	香		h	œŋ	55	h	iɔŋ	45	h	œŋ	55	
影	開	三	陽	平	影	宕	鴦		j	ɔŋ	55	j	ɔŋ	45	j	œŋ	55	
影	開	三	陽	平	影	宕	央		j	ɔŋ	55	j	ɔŋ	45	j	œŋ	55	
影	開	三	陽	平	影	宕	殃		j	ɔŋ	55	j	ɔŋ	45	j	œŋ	55	
影	開	三	陽	平	影	宕	秧		j	ɔŋ	55	j	ɔŋ	45	j	œŋ	55	
云	合	三	陽	平	影	宕	王		w	ɔŋ	51	w	ɔŋ	51	w	ɔŋ	51	國王
云	合	三	陽	去	影	宕	王		w	ɔŋ	33	w	ɔŋ	33	w	ɔŋ	22	王天下
以	開	三	陽	平	以	宕	揚		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51	
以	開	三	陽	平	以	宕	詳		tsʰ	œŋ	51	tsʰ	iɔŋ	51	tsʰ	œŋ	51	
以	開	三	陽	平	以	宕	洋		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51	
以	開	三	陽	平	以	宕	羊		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51	
以	開	三	陽	平	以	宕	陽		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51	
以	開	三	陽	平	以	宕	烊		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51	
以	開	三	陽	平	以	宕	徉		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51	
以	開	三	陽	平	以	宕	楊		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51	
以	開	三	陽	平	以	宕	瘍		j	ɔŋ	51	j	ɔŋ	51	j	œŋ	51	
並	合	三	陽	平	幫	宕	肪		f	ɔŋ	55	f	ɔŋ	45	f	ɔŋ	55	
並	合	三	陽	平	幫	宕	方		f	ɔŋ	55	f	ɔŋ	45	f	ɔŋ	55	
並	合	三	陽	平	幫	宕	防		f	ɔŋ	51	f	ɔŋ	51	f	ɔŋ	51	
並	合	三	陽	平	幫	宕	房		f	ɔŋ	51	f	ɔŋ	51	f	ɔŋ	51	
幫	合	三	陽	平	幫	宕	坊		f	ɔŋ	55	f	ɔŋ	45	f	ɔŋ	55	街坊
並	合	三	陽	平	幫	宕	坊		f	ɔŋ	51	f	ɔŋ	51	f	ɔŋ	51	堤坊
明	合	三	陽	平	幫	宕	亡		m	ɔŋ	51	m	ɔŋ	51	m	ɔŋ	51	
明	合	三	陽	平	幫	宕	望		m	ɔŋ	33	m	ɔŋ	33	m	ɔŋ	22	
明	合	三	陽	平	幫	宕	芒		m	ɔŋ	51	m	ɔŋ	51	m	ɔŋ	51	光芒
							芒		m	ɔŋ	55	m	ɔŋ	45	m	ɔŋ	55	芒果
滂	合	三	陽	平	幫	宕	妨		f	ɔŋ	51	f	ɔŋ	51	f	ɔŋ	51	
滂	合	三	陽	平	幫	宕	芳		f	ɔŋ	55	f	ɔŋ	45	f	ɔŋ	55	
群	開	三	陽	平	見	宕	強		kʰ	œŋ	51	kʰ	iɔŋ	51	kʰ	œŋ	51	強壯
							強		kʰ	œŋ	213	kʰ	iɔŋ	21	kʰ	œŋ	21	勉強
							強		k	œŋ	33	k	iɔŋ	33	k	œŋ	22	倔強
群	合	三	陽	平	見	宕	狂		kʰ	ɔŋ	51	kʷʰ	ɔŋ	51	kʰ	ɔŋ	51	
來	開	三	陽	上	來	宕	兩		l	œŋ	213	l	iɔŋ	21	l	œŋ	21	
來	開	三	陽	上	來	宕	兩											
精	開	三	陽	上	精	宕	獎		ts	œŋ	213	ts	iɔŋ	21	ts	œŋ	21	
精	開	三	陽	上	精	宕	槳		ts	œŋ	213	ts	iɔŋ	21	ts	œŋ	21	
心	開	三	陽	上	精	宕	想		s	œŋ	213	s	iɔŋ	21	s	œŋ	21	
邪	開	三	陽	上	精	宕	橡		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22	
邪	開	三	陽	上	精	宕	像		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22	
邪	開	三	陽	上	精	宕	象		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22	
澄	開	三	陽	去	知	宕	仗		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22	
							仗											
澄	開	三	陽	上	知	宕	杖		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22	
澄	開	三	陽	上	知	宕	丈		ts	œŋ	33	ts	iɔŋ	33	ts	œŋ	22	
初	開	三	陽	上	莊	宕	愴		tsʰ	ɔŋ	33	tsʰ	ɔŋ	33	tsʰ	ɔŋ	22	
生	開	三	陽	上	莊	宕	爽		s	ɔŋ	213	s	ɔŋ	21	s	ɔŋ	21	
章	開	三	陽	上	章	宕	掌		ts	œŋ	213	ts	iɔŋ	21	ts	œŋ	21	
昌	開	三	陽	上	章	宕	敞		tsʰ	ɔŋ	213	tsʰ	ɔŋ	21	tsʰ	ɔŋ	21	
昌	開	三	陽	上	章	宕	廠		tsʰ	ɔŋ	213	tsʰ	ɔŋ	21	tsʰ	ɔŋ	21	
常	開	三	陽	上	章	宕	上		s	œŋ	213	s	iɔŋ	21	s	œŋ	21	上山
