"單字"	"聲母_定"	"介母_定"	"韻母_定"	"聲調_定"	"備註"	"聲母_定"	"介母_定"	"韻母_定"	"聲調_定"
"禁"	"k"	""	"am"	"1"	"禁著"	"kh"	""	"ɐm"	"23"
"琴"	"k"	""	"am"	"4"	""	"kh"	""	"ɐm"	"21"
"禽"	"k"	""	"am"	"4"	""	"kh"	""	"ɐm"	"21"
"擒"	"k"	""	"am"	"4"	""	"kh"	""	"ɐm"	"21"
"近"	"k"	""	"an"	"4"	"白讀"	"kh"	""	"ɐn"	"21"
"近"	"k"	""	"an"	"4"	"好近"	"kh"	""	"ɐn"	"21"
"芹"	"k"	""	"an"	"4"	""	"kh"	""	"ɐn"	"21"
"勤"	"k"	""	"an"	"4"	""	"kh"	""	"ɐn"	"21"
"給"	"k"	""	"ap"	"1"	""	"kh"	""	"ɐp"	"23"
"及"	"k"	""	"ap"	"6"	""	"kh"	""	"ɐp"	"32"
"岌"	"k"	""	"ap"	"2"	""	"kh"	""	"ɐp"	"45"
"汲"	"k"	""	"ap"	"2"	""	"kh"	""	"ɐp"	"45"
"級"	"k"	""	"ap"	"2"	""	"kh"	""	"ɐp"	"45"
"吸"	"k"	""	"ap"	"2"	""	"kh"	""	"ɐp"	"45"
"該"	"k"	""	"at"	"4"	"白讀"	"kh"	""	"ɐt"	"21"
"咳"	"k"	""	"at"	"2"	"咳嗽"	"kh"	""	"ɐt"	"45"
"仇"	"k"	""	"au"	"4"	"姓仇"	"kh"	""	"ɐu"	"21"
"溝"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"篝"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"構"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"購"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"龜"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"臼"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"桕"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"舅"	"k"	""	"au"	"4"	""	"kh"	""	"ɐu"	"21"
"摳"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"叩"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"扣"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"寇"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"蔻"	"k"	""	"au"	"1"	""	"kh"	""	"ɐu"	"23"
"求"	"k"	""	"au"	"4"	""	"kh"	""	"ɐu"	"21"
"球"	"k"	""	"au"	"4"	""	"kh"	""	"ɐu"	"21"
"毬"	"k"	""	"au"	"4"	""	"kh"	""	"ɐu"	"21"
"伽"	"k"	""	"e"	"4"	"伽藍"	"kh"	""	"ɛ"	"21"
"騎"	"k"	""	"e"	"4"	"騎馬"	"kh"	""	"ɛ"	"21"
"茄"	"k"	""	"e"	"2"	"茄瓜"	"kh"	""	"ɛ"	"45"
"畸"	"k"	""	"ei"	"1"	""	"kh"	""	"ei"	"23"
"亟"	"k"	""	"ei"	"1"	"亟請"	"kh"	""	"ei"	"23"
"暨"	"k"	""	"ei"	"1"	""	"kh"	""	"ei"	"23"
"冀"	"k"	""	"ei"	"1"	""	"kh"	""	"ei"	"23"
"期"	"k"	""	"ei"	"4"	"日期"	"kh"	""	"ei"	"21"
"其"	"k"	""	"ei"	"4"	""	"kh"	""	"ei"	"21"
"奇"	"k"	""	"ei"	"4"	"奇怪"	"kh"	""	"ei"	"21"
"歧"	"k"	""	"ei"	"4"	""	"kh"	""	"ei"	"21"
"祈"	"k"	""	"ei"	"4"	""	"kh"	""	"ei"	"21"
"祇"	"k"	""	"ei"	"4"	"神祇"	"kh"	""	"ei"	"21"
"崎"	"k"	""	"ei"	"1"	"崎嶇"	"kh"	""	"ei"	"23"
"崎"	"k"	""	"ei"	"4"	"長崎"	"kh"	""	"ei"	"21"
"淇"	"k"	""	"ei"	"4"	""	"kh"	""	"ei"	"21"
"琪"	"k"	""	"ei"	"4"	""	"kh"	""	"ei"	"21"
"琦"	"k"	""	"ei"	"4"	""	"kh"	""	"ei"	"21"
"棋"	"k"	""	"ei"	"4"	""	"kh"	""	"ei"	"21"
"旗"	"k"	""	"ei"	"4"	""	"kh"	""	"ei"	"21"
"騎"	"k"	""	"ei"	"1"	"鐵騎"	"kh"	""	"ei"	"23"
"鰭"	"k"	""	"ei"	"4"	""	"kh"	""	"ei"	"21"
"企"	"k"	""	"ei"	"1"	""	"kh"	""	"ei"	"23"
"企"	"k"	""	"ei"	"2"	""	"kh"	""	"ei"	"45"
"企"	"k"	""	"ei"	"4"	""	"kh"	""	"ei"	"21"
"劇"	"k"	"i"	"iak"	"6"	""	"kh"	"i"	"iɐk"	"32"
"劇"	"k"	"i"	"iak"	"4"	""	"kh"	"i"	"iɐk"	"21"
"隙"	"k"	""	"ik"	"2"	""	"kh"	""	"ɪk"	"45"
"拑"	"k"	""	"im"	"4"	""	"kh"	""	"im"	"21"
"鉗"	"k"	""	"im"	"4"	""	"kh"	""	"im"	"21"
"虔"	"k"	""	"in"	"4"	""	"kh"	""	"in"	"21"
"乾"	"k"	""	"in"	"4"	"乾坤"	"kh"	""	"in"	"21"
"拳"	"k"	""	"in"	"4"	""	"kh"	""	"in"	"21"
"蜷"	"k"	""	"in"	"4"	""	"kh"	""	"in"	"21"
"權"	"k"	""	"in"	"4"	""	"kh"	""	"in"	"21"
"券"	"k"	""	"in"	"1"	""	"kh"	""	"in"	"23"
"鯨"	"k"	""	"ing"	"4"	""	"kh"	""	"ɪŋ"	"21"
"傾"	"k"	""	"ing"	"1"	""	"kh"	""	"ɪŋ"	"23"
"擎"	"k"	""	"ing"	"4"	""	"kh"	""	"ɪŋ"	"21"
"頃"	"k"	""	"ing"	"2"	""	"kh"	""	"ɪŋ"	"45"
"瓊"	"k"	""	"ing"	"4"	""	"kh"	""	"ɪŋ"	"21"
"嬛"	"k"	""	"ing"	"4"	"美好"	"kh"	""	"ɪŋ"	"21"
"卻"	"k"	"i"	"iok"	"1"	""	"kh"	"i"	"iɔk"	"23"
"強"	"k"	"i"	"iong"	"4"	"強壯"	"kh"	"i"	"iɔŋ"	"21"
"強"	"k"	"i"	"iong"	"1"	"勉強"	"kh"	"i"	"iɔŋ"	"23"
"襁"	"k"	"i"	"iong"	"4"	""	"kh"	"i"	"iɔŋ"	"21"
"揭"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"竭"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"桔"	"k"	""	"it"	"1"	"桔柣"	"kh"	""	"it"	"23"
"撅"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"抉"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"決"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"訣"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"蕨"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"獗"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"橛"	"k"	""	"it"	"1"	"木橛子"	"kh"	""	"it"	"23"
"契"	"k"	""	"it"	"1"	"契丹"	"kh"	""	"it"	"23"
"鍥"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"缺"	"k"	""	"it"	"1"	"習讀音應爲官話影響導致"	"kh"	""	"it"	"23"
"闕"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"黠"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"頡"	"k"	""	"it"	"1"	""	"kh"	""	"it"	"23"
"轎"	"k"	""	"iu"	"2"	"習讀音應爲變調導致"	"kh"	""	"iu"	"45"
"喬"	"k"	""	"iu"	"4"	""	"kh"	""	"iu"	"21"
"僑"	"k"	""	"iu"	"4"	""	"kh"	""	"iu"	"21"
"橋"	"k"	""	"iu"	"4"	""	"kh"	""	"iu"	"21"
"翹"	"k"	""	"iu"	"4"	"翹首"	"kh"	""	"iu"	"21"
"翹"	"k"	""	"iu"	"1"	"翹起"	"kh"	""	"iu"	"23"
"竅"	"k"	""	"iu"	"1"	""	"kh"	""	"iu"	"23"
"柯"	"k"	""	"o"	"1"	""	"kh"	""	"ɔ"	"23"
"丐"	"k"	""	"oi"	"1"	""	"kh"	""	"ɔi"	"23"
"溉"	"k"	""	"oi"	"1"	""	"kh"	""	"ɔi"	"23"
"蓋"	"k"	""	"oi"	"1"	"覆蓋"	"kh"	""	"ɔi"	"23"
"概"	"k"	""	"oi"	"1"	""	"kh"	""	"ɔi"	"23"
"慨"	"k"	""	"oi"	"1"	""	"kh"	""	"ɔi"	"23"
"愾"	"k"	""	"oi"	"1"	""	"kh"	""	"ɔi"	"23"
"廓"	"k"	""	"ok"	"1"	""	"kh"	""	"ɔk"	"23"
"郝"	"k"	""	"ok"	"1"	""	"kh"	""	"ɔk"	"23"
"涸"	"k"	""	"ok"	"1"	""	"kh"	""	"ɔk"	"23"
"壑"	"k"	""	"ok"	"1"	""	"kh"	""	"ɔk"	"23"
"確"	"k"	""	"ok"	"1"	""	"kh"	""	"ɔk"	"23"
"獷"	"k"	""	"ong"	"1"	"習讀"	"kh"	""	"ɔŋ"	"23"
"狂"	"k"	""	"ong"	"4"	""	"kh"	""	"ɔŋ"	"21"
"礦"	"k"	""	"ong"	"1"	""	"kh"	""	"ɔŋ"	"23"
"擴"	"k"	""	"ong"	"1"	""	"kh"	""	"ɔŋ"	"23"
"港"	"k"	""	"ong"	"2"	""	"kh"	""	"ɔŋ"	"45"
"亢"	"k"	""	"ong"	"1"	"高亢"	"kh"	""	"ɔŋ"	"23"
"抗"	"k"	""	"ong"	"1"	""	"kh"	""	"ɔŋ"	"23"
"炕"	"k"	""	"ong"	"1"	""	"kh"	""	"ɔŋ"	"23"
"曠"	"k"	""	"ong"	"1"	""	"kh"	""	"ɔŋ"	"23"
"箍"	"k"	""	"u"	"1"	""	"kh"	""	"u"	"23"
"賄"	"k"	""	"ui"	"2"	""	"kh"	""	"ui"	"45"
"檜"	"k"	""	"ui"	"2"	""	"kh"	""	"ui"	"45"
"繪"	"k"	""	"ui"	"2"	""	"kh"	""	"ui"	"45"
"拘"	"k"	""	"ui"	"1"	""	"kh"	""	"ui"	"23"
"拒"	"k"	""	"ui"	"1"	""	"kh"	""	"ui"	"23"
"俱"	"k"	""	"ui"	"1"	""	"kh"	""	"ui"	"23"
"距"	"k"	""	"ui"	"1"	""	"kh"	""	"ui"	"23"
"膾"	"k"	""	"ui"	"2"	""	"kh"	""	"ui"	"45"
"潰"	"k"	""	"ui"	"2"	""	"kh"	""	"ui"	"45"
"區"	"k"	""	"ui"	"1"	"區別"	"kh"	""	"ui"	"23"
"嶇"	"k"	""	"ui"	"1"	""	"kh"	""	"ui"	"23"
"軀"	"k"	""	"ui"	"1"	""	"kh"	""	"ui"	"23"
"驅"	"k"	""	"ui"	"1"	""	"kh"	""	"ui"	"23"
"渠"	"k"	""	"ui"	"4"	""	"kh"	""	"ui"	"21"
"瞿"	"k"	""	"ui"	"4"	"瞿塘峽"	"kh"	""	"ui"	"21"
"曲"	"k"	""	"uk"	"2"	""	"kh"	""	"ʊk"	"45"
"麴"	"k"	""	"uk"	"2"	""	"kh"	""	"ʊk"	"45"
"穹"	"k"	""	"ung"	"4"	""	"kh"	""	"ʊŋ"	"21"
"窮"	"k"	""	"ung"	"4"	""	"kh"	""	"ʊŋ"	"21"
"聒"	"k"	""	"ut"	"1"	""	"kh"	""	"ut"	"23"
"豁"	"k"	""	"ut"	"1"	""	"kh"	""	"ut"	"23"
"括"	"k"	""	"ut"	"1"	""	"kh"	""	"ut"	"23"
"掛"	"kw"	"u"	"aa"	"1"	""	"khw"	"u"	"a"	"23"
"夸"	"kw"	"u"	"aa"	"1"	""	"khw"	"u"	"a"	"23"
"誇"	"kw"	"u"	"aa"	"1"	""	"khw"	"u"	"a"	"23"
"垮"	"kw"	"u"	"aa"	"1"	""	"khw"	"u"	"a"	"23"
"跨"	"kw"	"u"	"aa"	"1"	""	"khw"	"u"	"a"	"23"
"規"	"kw"	"u"	"ai"	"1"	""	"khw"	"u"	"ɐi"	"23"
"盔"	"kw"	"u"	"ai"	"1"	""	"khw"	"u"	"ɐi"	"23"
"窺"	"kw"	"u"	"ai"	"1"	""	"khw"	"u"	"ɐi"	"23"
"虧"	"kw"	"u"	"ai"	"1"	""	"khw"	"u"	"ɐi"	"23"
"逵"	"kw"	"u"	"ai"	"4"	""	"khw"	"u"	"ɐi"	"21"
"揆"	"kw"	"u"	"ai"	"4"	""	"khw"	"u"	"ɐi"	"21"
"葵"	"kw"	"u"	"ai"	"4"	""	"khw"	"u"	"ɐi"	"21"
"睽"	"kw"	"u"	"ai"	"4"	""	"khw"	"u"	"ɐi"	"21"
"愧"	"kw"	"u"	"ai"	"1"	""	"khw"	"u"	"ɐi"	"23"
"畦"	"kw"	"u"	"ai"	"4"	""	"khw"	"u"	"ɐi"	"21"
"蠵"	"kw"	"u"	"ai"	"4"	""	"khw"	"u"	"ɐi"	"21"
"攜"	"kw"	"u"	"ai"	"4"	""	"khw"	"u"	"ɐi"	"21"
"窘"	"kw"	"u"	"an"	"1"	""	"khw"	"u"	"ɐn"	"23"
"菌"	"kw"	"u"	"an"	"2"	""	"khw"	"u"	"ɐn"	"45"
"坤"	"kw"	"u"	"an"	"1"	""	"khw"	"u"	"ɐn"	"23"
"昆"	"kw"	"u"	"an"	"1"	""	"khw"	"u"	"ɐn"	"23"
"崑"	"kw"	"u"	"an"	"1"	""	"khw"	"u"	"ɐn"	"23"
"捆"	"kw"	"u"	"an"	"2"	""	"khw"	"u"	"ɐn"	"45"
"壼"	"kw"	"u"	"an"	"2"	""	"khw"	"u"	"ɐn"	"45"
"綑"	"kw"	"u"	"an"	"2"	""	"khw"	"u"	"ɐn"	"45"
"困"	"kw"	"u"	"an"	"1"	""	"khw"	"u"	"ɐn"	"23"
"睏"	"kw"	"u"	"an"	"1"	""	"khw"	"u"	"ɐn"	"23"
"裙"	"kw"	"u"	"an"	"4"	""	"khw"	"u"	"ɐn"	"21"
"群"	"kw"	"u"	"an"	"4"	""	"khw"	"u"	"ɐn"	"21"
"眶"	"kw"	"u"	"ang"	"1"	""	"khw"	"u"	"ɐŋ"	"23"
"喇"	"l"	""	"aa"	"1"	"喇嘛"	"l"	""	"a"	"23"
"喇"	"l"	""	"aa"	"4"	"喇叭"	"l"	""	"a"	"21"
"啦"	"l"	""	"aa"	"1"	""	"l"	""	"a"	"23"
"拉"	"l"	""	"aai"	"1"	""	"l"	""	"ai"	"23"
"賴"	"l"	""	"aai"	"6"	""	"l"	""	"ai"	"32"
"癩"	"l"	""	"aai"	"1"	""	"l"	""	"ai"	"23"
"籟"	"l"	""	"aai"	"6"	""	"l"	""	"ai"	"32"
"落"	"l"	""	"aai"	"6"	"落低"	"l"	""	"ai"	"32"
"艦"	"l"	""	"aam"	"6"	""	"l"	""	"am"	"32"
"檻"	"l"	""	"aam"	"6"	""	"l"	""	"am"	"32"
"婪"	"l"	""	"aam"	"4"	""	"l"	""	"am"	"21"
"嵐"	"l"	""	"aam"	"4"	""	"l"	""	"am"	"21"
"藍"	"l"	""	"aam"	"4"	""	"l"	""	"am"	"21"
"籃"	"l"	""	"aam"	"4"	""	"l"	""	"am"	"21"
"覽"	"l"	""	"aam"	"4"	""	"l"	""	"am"	"21"
"攬"	"l"	""	"aam"	"4"	""	"l"	""	"am"	"21"
"攬"	"l"	""	"aam"	"2"	""	"l"	""	"am"	"45"
"欖"	"l"	""	"aam"	"4"	""	"l"	""	"am"	"21"
"欖"	"l"	""	"aam"	"2"	""	"l"	""	"am"	"45"
"纜"	"l"	""	"aam"	"6"	""	"l"	""	"am"	"32"
"濫"	"l"	""	"aam"	"6"	""	"l"	""	"am"	"32"
"闌"	"l"	""	"aan"	"4"	""	"l"	""	"an"	"21"
"攔"	"l"	""	"aan"	"4"	""	"l"	""	"an"	"21"
"蘭"	"l"	""	"aan"	"4"	""	"l"	""	"an"	"21"
"瀾"	"l"	""	"aan"	"4"	""	"l"	""	"an"	"21"
"欄"	"l"	""	"aan"	"4"	""	"l"	""	"an"	"21"
"斕"	"l"	""	"aan"	"4"	""	"l"	""	"an"	"21"
"懶"	"l"	""	"aan"	"4"	""	"l"	""	"an"	"21"
"爛"	"l"	""	"aan"	"6"	""	"l"	""	"an"	"32"
"垃"	"l"	""	"aap"	"6"	""	"l"	""	"ap"	"32"
"臘"	"l"	""	"aap"	"6"	""	"l"	""	"ap"	"32"
"蠟"	"l"	""	"aap"	"6"	""	"l"	""	"ap"	"32"
"辣"	"l"	""	"aat"	"6"	""	"l"	""	"at"	"32"
"撈"	"l"	""	"aau"	"4"	""	"l"	""	"au"	"21"
"犁"	"l"	""	"ai"	"4"	""	"l"	""	"ɐi"	"21"
"黎"	"l"	""	"ai"	"4"	""	"l"	""	"ɐi"	"21"
"嚟"	"l"	""	"ai"	"4"	""	"l"	""	"ɐi"	"21"
"嚟"	"l"	""	"ai"	"4"	""	"l"	""	"ɐi"	"21"
"驪"	"l"	""	"ai"	"4"	""	"l"	""	"ɐi"	"21"
"鸝"	"l"	""	"ai"	"4"	""	"l"	""	"ɐi"	"21"
"豊"	"l"	""	"ai"	"1"	""	"l"	""	"ɐi"	"23"
"禮"	"l"	""	"ai"	"1"	""	"l"	""	"ɐi"	"23"
"邐"	"l"	""	"ai"	"6"	""	"l"	""	"ɐi"	"32"
"吏"	"l"	""	"ai"	"6"	""	"l"	""	"ɐi"	"32"
"利"	"l"	""	"ai"	"6"	""	"l"	""	"ɐi"	"32"
"例"	"l"	""	"ai"	"6"	""	"l"	""	"ɐi"	"32"
"俐"	"l"	""	"ai"	"6"	""	"l"	""	"ɐi"	"32"
"莉"	"l"	""	"ai"	"6"	""	"l"	""	"ɐi"	"32"
"痢"	"l"	""	"ai"	"6"	""	"l"	""	"ɐi"	"32"
"厲"	"l"	""	"ai"	"6"	""	"l"	""	"ɐi"	"32"
"勵"	"l"	""	"ai"	"6"	""	"l"	""	"ɐi"	"32"
"麗"	"l"	""	"ai"	"6"	""	"l"	""	"ɐi"	"32"
"蠣"	"l"	""	"ai"	"6"	""	"l"	""	"ɐi"	"32"
"捩"	"l"	""	"ai"	"6"	"琵琶撥法"	"l"	""	"ɐi"	"32"
"勒"	"l"	""	"ak"	"6"	""	"l"	""	"ɐk"	"32"
"肋"	"l"	""	"ak"	"6"	""	"l"	""	"ɐk"	"32"
"林"	"l"	""	"am"	"4"	""	"l"	""	"ɐm"	"21"
"淋"	"l"	""	"am"	"4"	""	"l"	""	"ɐm"	"21"
"琳"	"l"	""	"am"	"4"	""	"l"	""	"ɐm"	"21"
"霖"	"l"	""	"am"	"4"	""	"l"	""	"ɐm"	"21"
"臨"	"l"	""	"am"	"4"	""	"l"	""	"ɐm"	"21"
"凜"	"l"	""	"am"	"1"	""	"l"	""	"ɐm"	"23"
"懍"	"l"	""	"am"	"4"	""	"l"	""	"ɐm"	"21"
"廩"	"l"	""	"am"	"4"	""	"l"	""	"ɐm"	"21"
"鄰"	"l"	""	"an"	"4"	""	"l"	""	"ɐn"	"21"
"遴"	"l"	""	"an"	"4"	""	"l"	""	"ɐn"	"21"
"磷"	"l"	""	"an"	"4"	""	"l"	""	"ɐn"	"21"
"鱗"	"l"	""	"an"	"4"	""	"l"	""	"ɐn"	"21"
"麟"	"l"	""	"an"	"4"	""	"l"	""	"ɐn"	"21"
"吝"	"l"	""	"an"	"6"	""	"l"	""	"ɐn"	"32"
"藺"	"l"	""	"an"	"6"	""	"l"	""	"ɐn"	"32"
"卵"	"l"	""	"an"	"2"	""	"l"	""	"ɐn"	"45"
"掄"	"l"	""	"an"	"4"	""	"l"	""	"ɐn"	"21"
"倫"	"l"	""	"an"	"4"	""	"l"	""	"ɐn"	"21"
"崙"	"l"	""	"an"	"4"	""	"l"	""	"ɐn"	"21"
"圇"	"l"	""	"an"	"4"	""	"l"	""	"ɐn"	"21"
"淪"	"l"	""	"an"	"4"	""	"l"	""	"ɐn"	"21"
"綸"	"l"	""	"an"	"4"	"垂綸"	"l"	""	"ɐn"	"21"
"輪"	"l"	""	"an"	"4"	""	"l"	""	"ɐn"	"21"
"論"	"l"	""	"an"	"6"	"討論"	"l"	""	"ɐn"	"32"
"論"	"l"	""	"an"	"4"	"論語"	"l"	""	"ɐn"	"21"
"唥"	"l"	""	"ang"	"1"	""	"l"	""	"ɐŋ"	"23"
"唥"	"l"	""	"ang"	"6"	""	"l"	""	"ɐŋ"	"32"
"冷"	"l"	""	"ang"	"4"	""	"l"	""	"ɐŋ"	"21"
"立"	"l"	""	"ap"	"6"	""	"l"	""	"ɐp"	"32"
"苙"	"l"	""	"ap"	"2"	""	"l"	""	"ɐp"	"45"
"笠"	"l"	""	"ap"	"2"	""	"l"	""	"ɐp"	"45"
"壘"	"l"	""	"at"	"6"	"神荼鬱壘"	"l"	""	"ɐt"	"32"
"栗"	"l"	""	"at"	"6"	""	"l"	""	"ɐt"	"32"
"慄"	"l"	""	"at"	"6"	""	"l"	""	"ɐt"	"32"
"律"	"l"	""	"at"	"6"	""	"l"	""	"ɐt"	"32"
"率"	"l"	""	"at"	"6"	"效率"	"l"	""	"ɐt"	"32"
"甩"	"l"	""	"at"	"2"	""	"l"	""	"ɐt"	"45"
"溜"	"l"	""	"au"	"6"	""	"l"	""	"ɐu"	"32"
"留"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"流"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"琉"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"硫"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"榴"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"劉"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"瘤"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"瀏"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"柳"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"嘍"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"樓"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"髏"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"摟"	"l"	""	"au"	"2"	"摟抱"	"l"	""	"ɐu"	"45"
"摟"	"l"	""	"au"	"4"	"牽聚"	"l"	""	"ɐu"	"21"
"簍"	"l"	""	"au"	"4"	""	"l"	""	"ɐu"	"21"
"陋"	"l"	""	"au"	"6"	""	"l"	""	"ɐu"	"32"
"漏"	"l"	""	"au"	"6"	""	"l"	""	"ɐu"	"32"
"鏤"	"l"	""	"au"	"6"	""	"l"	""	"ɐu"	"32"
"哩"	"l"	""	"ei"	"4"	"英哩"	"l"	""	"ei"	"21"
"厘"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"狸"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"梨"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"漓"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"璃"	"l"	""	"ei"	"4"	"琉璃"	"l"	""	"ei"	"21"
"璃"	"l"	""	"ei"	"1"	"玻璃"	"l"	""	"ei"	"23"
"罹"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"釐"	"l"	""	"ei"	"4"	"釐定"	"l"	""	"ei"	"21"
"釐"	"l"	""	"ei"	"4"	"釐定"	"l"	""	"ei"	"21"
"嚟"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"離"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"籬"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"驪"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"鸝"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"李"	"l"	""	"ei"	"2"	""	"l"	""	"ei"	"45"
"里"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"理"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"裡"	"l"	""	"ei"	"4"	"衣裡"	"l"	""	"ei"	"21"
"裏"	"l"	""	"ei"	"4"	"衣裏"	"l"	""	"ei"	"21"
"鯉"	"l"	""	"ei"	"4"	""	"l"	""	"ei"	"21"
"吏"	"l"	""	"ei"	"6"	""	"l"	""	"ei"	"32"
"利"	"l"	""	"ei"	"6"	""	"l"	""	"ei"	"32"
"俐"	"l"	""	"ei"	"6"	""	"l"	""	"ei"	"32"
"莉"	"l"	""	"ei"	"6"	""	"l"	""	"ei"	"32"
"痢"	"l"	""	"ei"	"6"	""	"l"	""	"ei"	"32"
"哩"	"l"	""	"i"	"1"	"哩嚕"	"l"	""	"i"	"23"
"瀝"	"l"	"i"	"iak"	"6"	"大瀝，地名"	"l"	"i"	"iɐk"	"32"
"靈"	"l"	"i"	"iang"	"4"	""	"l"	"i"	"iɐŋ"	"21"
"領"	"l"	"i"	"iang"	"4"	"白領"	"l"	"i"	"iɐŋ"	"21"
"嶺"	"l"	"i"	"iang"	"4"	"南嶺"	"l"	"i"	"iɐŋ"	"21"
"力"	"l"	""	"ik"	"6"	""	"l"	""	"ɪk"	"32"
"歷"	"l"	""	"ik"	"6"	""	"l"	""	"ɪk"	"32"
"曆"	"l"	""	"ik"	"6"	""	"l"	""	"ɪk"	"32"
"瀝"	"l"	""	"ik"	"6"	"瀝乾"	"l"	""	"ɪk"	"32"
"礫"	"l"	""	"ik"	"2"	""	"l"	""	"ɪk"	"45"
"靂"	"l"	""	"ik"	"2"	""	"l"	""	"ɪk"	"45"
"廉"	"l"	""	"im"	"4"	""	"l"	""	"im"	"21"
"簾"	"l"	""	"im"	"4"	""	"l"	""	"im"	"21"
"鐮"	"l"	""	"im"	"4"	""	"l"	""	"im"	"21"
"斂"	"l"	""	"im"	"1"	""	"l"	""	"im"	"23"
"臉"	"l"	""	"im"	"1"	""	"l"	""	"im"	"23"
"殮"	"l"	""	"im"	"6"	""	"l"	""	"im"	"32"
"卵"	"l"	""	"in"	"2"	""	"l"	""	"in"	"45"
"連"	"l"	""	"in"	"4"	""	"l"	""	"in"	"21"
"蓮"	"l"	""	"in"	"4"	""	"l"	""	"in"	"21"
"漣"	"l"	""	"in"	"4"	""	"l"	""	"in"	"21"
"憐"	"l"	""	"in"	"4"	""	"l"	""	"in"	"21"
"聯"	"l"	""	"in"	"4"	""	"l"	""	"in"	"21"
"煉"	"l"	""	"in"	"6"	""	"l"	""	"in"	"32"
"練"	"l"	""	"in"	"6"	""	"l"	""	"in"	"32"
"鍊"	"l"	""	"in"	"6"	""	"l"	""	"in"	"32"
"鏈"	"l"	""	"in"	"6"	""	"l"	""	"in"	"32"
"戀"	"l"	""	"in"	"2"	""	"l"	""	"in"	"45"
"巒"	"l"	""	"in"	"4"	""	"l"	""	"in"	"21"
"亂"	"l"	""	"in"	"6"	""	"l"	""	"in"	"32"
"楞"	"l"	""	"ing"	"4"	"楞角"	"l"	""	"ɪŋ"	"21"
"楞"	"l"	""	"ing"	"6"	"發楞"	"l"	""	"ɪŋ"	"32"
"稜"	"l"	""	"ing"	"4"	""	"l"	""	"ɪŋ"	"21"
"愣"	"l"	""	"ing"	"6"	""	"l"	""	"ɪŋ"	"32"
"拎"	"l"	""	"ing"	"1"	""	"l"	""	"ɪŋ"	"23"
"伶"	"l"	""	"ing"	"4"	""	"l"	""	"ɪŋ"	"21"
"玲"	"l"	""	"ing"	"4"	""	"l"	""	"ɪŋ"	"21"
"凌"	"l"	""	"ing"	"4"	""	"l"	""	"ɪŋ"	"21"
