汉字	白读	文读	多音字补充	声调			编号
芒		mɔŋ24					
茫		mɔŋ24					
莽		mɔŋ33					
當	tŋ55						
黨		tɔŋ52					
擋		tɔŋ52					
當	tŋ31						
湯	tʰŋ55						
倘		tʰɔŋ52					
躺		tʰɔŋ52					
燙	tʰŋ31						
趟	tʰŋ31						
堂	tŋ24						
唐	tŋ24						
糖	tʰŋ24						
塘	tŋ24						
螳		tʰɔŋ24					
蕩	tŋ33	tɔŋ33					
宕		tɔŋ33					
囊		nɔŋ24					
曩		nɔŋ33					
狼		lɔŋ24					
廊		lɔŋ24					
郎		laŋ24					
螂		lɔŋ24					
朗		lɔŋ52					
浪		lɔŋ33					
臧		tsɔŋ55					
贓		tsɔŋ55					
髒		tsɔŋ55					
葬		tsɔŋ31					
倉		tsʰɔŋ55					
蒼		tsʰɔŋ55					
藏		tsʰɔŋ24					
藏		tsɔŋ33					
臓		tsɔŋ33					
桑		sɔŋ55					
喪		sɔŋ55					
嗓		sɔŋ52					
喪		sɔŋ31					
岡		kɔŋ55					
剛		kɔŋ55					
鋼	kŋ55	kɔŋ55					
缸	kŋ55						
綱		kɔŋ55					
崗		kɔŋ55					
康		kʰɔŋ55					
糠		kʰɔŋ55					
慷		kʰɔŋ55					
抗		kʰɔŋ31					
炕		kʰɔŋ31					
昂		ŋɔŋ24					
杭		haŋ24					
航		haŋ24					
行		haŋ24					
骯		ɔŋ55					
娘	niɔ̃24						
釀		dziaŋ33					
良	niɔ̃24						
凉		liaŋ24					
涼		liaŋ24					
量		liaŋ24					
糧	niɔ̃24						
梁	niɔ̃24						
粱	niɔ̃24						
兩	niɔ̃52，nɔ33						
亮		liaŋ33					
輛	niɔ̃33						
量		liaŋ33					
諒		liaŋ33					
將		tsiaŋ55					
漿	tsiɔ̃55						
蔣	tsiɔ̃52						
槳	tsiɔ̃52						
獎	tsiɔ̃52						
將		tsiaŋ31					
醬	tsiɔ̃31						
槍	tsʰiɔ̃55						
搶	tsʰiɔ̃52						
牆	tsʰiɔ̃24						
戕		tsʰiaŋ55					
匠	tsiɔ̃33						
相	siɔ̃55	siaŋ55					
厢		siaŋ55					
鑲		siaŋ55					
箱	siɔ̃55						
襄		siaŋ55					
想	siɔ̃33，siɔ̃52						
鯗	siɔ̃52						
相		siaŋ31					
詳	tsʰiɔ̃24	siaŋ24					
祥		siaŋ24					
像	tsʰiɔ̃33						
象	tsʰiɔ̃33						
張	tiɔ̃55						
漲		tsiaŋ31					
長	tŋ24	tiaŋ24					
帳		tsiaŋ31					
賬		tsiaŋ31					
脹		tsiaŋ31					
暢		tsʰiaŋ31					
悵		tsʰiaŋ31					
長	tsiɔ̃52						
腸	tŋ24						
場	tiɔ̃24						
丈	tiɔ̃33						
杖		tsiaŋ31					
仗		tsiaŋ31					
莊	tsŋ55						
裝	tsŋ55						
壯		tsɔŋ31					
瘡		tsʰɔŋ55					
創		tsʰɔŋ31					
牀	tsʰŋ24						
狀		tsɔŋ33					
霜	sŋ55						
孀	sŋ55						
爽		sɔŋ52					
章		tsiaŋ55					
樟		tsiaŋ55					
掌	tsiɔ̃52	tsiaŋ52					
障		tsiaŋ31					
昌		tsʰiaŋ55					
廠		tsʰiaŋ52					
唱	tsʰiɔ̃31						
倡		tsʰiaŋ31					
商		siaŋ55					
傷	siɔ̃55	siaŋ55					
賞	siɔ̃52						
餉		siaŋ52					
常		siaŋ24					
嘗		siaŋ24					
償		siaŋ24					
裳		siaŋ24					
上	tsiɔ̃33	siaŋ33					
尚		siaŋ33					
瓤		dziaŋ24					
壤		dziaŋ52					
攘		dziaŋ52					
嚷		dziaŋ52					
讓		dziaŋ33					
疆		kiaŋ55					
僵		kiaŋ55					
姜	kiɔ̃55						
薑	kiɔ̃55						
羌		kʰiaŋ55					
強		kiaŋ24					
仰		iaŋ52					
香	hiɔ̃55	hiaŋ55					
鄉	hiɔ̃55						
享		hiaŋ52					
響		hiaŋ52					
向		hiaŋ31					
央	ŋ55	iaŋ55					
秧		iaŋ55					
殃		iaŋ55					
羊	iɔ̃24	iaŋ24					
洋	iɔ̃24	iaŋ24					
楊	iɔ̃24	iaŋ24					
揚	iɔ̃24	iaŋ24					
陽	iɔ̃24	iaŋ24					
養	iɔ̃52	iaŋ52					
癢	tsiɔ̃33						
樣	iɔ̃33	iaŋ33					
恙		iaŋ33					
博		pɔk2					
薄	pɔʔ5						
泊		pɔk5					
莫		mɔk5					
膜		mɔk5					
摸		bɔŋ55					
寞		mɔk5					
幕		mɔk5					
託		tʰɔk2					
托		tʰɔk2					
鐸		tɔk5					
踱		tɔk5					
度		tɔk5					
諾		nɔk5					
落	lɔʔ5，lauʔ5	lɔk5					
洛		lɔk5					
駱		lɔk5					
絡		lɔk5					
酪		lɔk5					
烙		lɔk5					
樂		lɔk5					
作	tsɔʔ2	tsɔk2					
鑿		tsɔk2					
昨	tsa55						
索	sɔʔ2	sɔk2					
各		kɔk2					
閣	keʔ2	kɔk2					
胳		kɔk2					
鄂		ŋɔk5					
鱷		ŋɔk5					
壑		hɔk2					
鶴		hɔk5					
惡	ɔʔ2	ɔk2					
掠	liaʔ5	liak5					
略		liak5					
爵		tsiak2					
雀		tsiak2					
鵲		tsʰiak2					
嚼		tsiak5					
削		siak2					
著	tiɔʔ5，tɔʔ5						
酌		tsiak2					
綽		tsʰiak2					
勺		siak2					
芍		siak5					
若		dziak5					
弱		dziak5					
腳		kiak2					
卻		kʰiak2					
虐		iak5					
瘧		iak5					
約		iak2					
藥	iɔʔ5						
鉻		kɔk5					
鑰		iak5					
躍		iak5					
光	kʊĩ55	kɔŋ55					
廣	kʊĩ52	kɔŋ52					
曠		kʰɔŋ31					
荒		hɔŋ55					
慌		hɔŋ55					
恍		hɔŋ52					
謊		hɔŋ52					
黃	ʊĩ24	bɔŋ24					
蝗		hɔŋ24					
皇		hɔŋ24					
汪		ɔŋ55					
方	hŋ55	hɔŋ55					
肪		hɔŋ24					
仿		hɔŋ52					
放	paŋ31	hɔŋ31					
芳	pʰaŋ55	hɔŋ55					
妨		hɔŋ24					
紡		hɔŋ52					
仿		hɔŋ52					
彷		hɔŋ52					
訪		hɔŋ52					
房	paŋ24						
防		hɔŋ24					
亡		mɔŋ24					
忘		mɔŋ33					
網		mɔŋ52					
望		mɔŋ33					
妄		mɔŋ33					
逛		kɔŋ31					
匡		kʰɔŋ55					
筐		kʰɔŋ55					
狂		kʰɔŋ24					
況		kʰɔŋ31					
枉		ɔŋ52					
王		ɔŋ24					
往		ɔŋ52					
旺		ɔŋ33					
郭	kueʔ2	kɔk2					
擴		kʰɔŋ31					
廓		kʰɔk2					
霍		hɔk2					
藿		hɔk2					
鑊		hɔk5					
縛	pak5	hɔk5					
邦		pɔŋ55					
綁		pɔŋ52					
胖		pʰɔŋ31					
龐		pʰɔŋ24					
棒		pɔŋ33					
蚌		pʰɔŋ33					
樁		tsɔŋ55					
撞		tsɔŋ33					
窗	tʰaŋ55	tsʰɔŋ55					
雙		siaŋ55					
江	kaŋ55						
肛	kaŋ55						
扛	kŋ55						
講		kɔŋ52					
港	kaŋ52						
耩	kaŋ52						
降	haŋ24						
虹	aŋ24						
腔		kʰiaŋ55					
降	kaŋ31						
項	haŋ33						
巷	haŋ33						
剝	pak2						
駁		pɔk2					
璞		pʰɔk2					
雹		pɔk5					
卓		tsɔk2					
桌	tɔʔ2						
琢		tsɔk2					
啄		tɔk2					
戳		tʰɔk2					
濁		tsɔk5					
濯		tsɔk5					
捉		tsiɔk2					
鐲		tsiɔk5					
朔		sɔk2					
覺		kɔk2					
角		kak2					
餃		kau52					
確		kʰɔk2					
殼		kʰak2					
嶽		ŋɔk5					
岳		ŋɔk5					
樂		ŋɔk5					
學	ɔʔ5	hak5					
握		ɔk2					
崩	paŋ55						
朋		pʰeŋ24					
登		teŋ55					
燈		teŋ55					
等		teŋ52，tʰeŋ31（又）					
凳		teŋ31					
藤		tʰeŋ24					
騰		tʰeŋ24					
疼		tʰeŋ24					
謄		tʰeŋ24					
鄧		teŋ33					
能		neŋ24					
楞		leŋ24					
增		tseŋ55					
憎		tseŋ55					
曾	tsan55	tseŋ55					
曾		tsʰeŋ24					
層		tsʰeŋ24					
贈		tseŋ31					
僧		seŋ55					
亘		keŋ31					
肯		kʰeŋ52					
恆		heŋ24					
冰		peŋ55					
憑		pʰeŋ24					
凌		leŋ24					
菱		leŋ24					
陵		leŋ24					
徵		tseŋ55					
澄		tsʰeŋ24					
懲		tsʰeŋ24					
橙		tsʰiaŋ24					
瞪		teŋ31					
蒸		tseŋ55					
拯		tseŋ52					
證	tsin31	tseŋ31					
症		tseŋ31					
稱		tsʰeŋ55					
稱		tsʰeŋ31					
秤		tsʰeŋ31					
乘		seŋ24					
繩	sin24						
剩	sin33	seŋ33					
升		seŋ55					
勝		seŋ31					
承		seŋ24					
丞		seŋ24					
仍		dzeŋ24					
扔		dzeŋ55					
兢		keŋ55					
凝	ŋan24	neŋ24					
興	hin55	heŋ55					
興		heŋ31					
應		eŋ55					
鷹		eŋ55					
應		eŋ31					
蠅	sin24						
孕		eŋ33					
北	pak2						
墨	mak5						
默	mak5						
德		tek2					
得		tek2					
忒		tʰek2					
特		tek5					
肋		lek5					
勒		lek5					
則		tsek2					
賊	tsʰat5						
塞	sat2						
刻		kʰek2					
克		kʰek2					
黑		hek2					
逼		pek2					
匿		nek5					
力	lat5	lek5					
即		tsek2					
鯽	tsit2						
稷		tsek2					
息	sit2						
熄	sit2						
媳	sit2						
飭		tsʰek2					
直	tit5						
值	tat5	tsek5					
側		tsʰek2					
測		tsʰek2					
惻		tsʰek2					
色		sek2					
織	tsit2						
職	tsit2						
食	tsiaʔ5	sit5					
蝕		sek5					
識		sek2					
式		sek2					
飾		sek2					
殖	tsit5						
植	tsit5						
棘		kek2					
極		kek5					
憶		ek2					
億		ek2					
抑		ek2					
弋		ek5					
翼	sit5	ek5					
弘		hɔŋ24					
國		kɔk2					
或		uat5					
惑		uat5					
域		ek5					
烹		pʰeŋ55					
彭		pʰɔŋ24					
膨		pʰɔŋ24					
盲	mẽ24	maŋ24					
猛		meŋ52					
孟		meŋ33					
打		ta52					
冷		leŋ52					
撐	tsʰẽ55						
鐺		tɔŋ55					
生	sẽ55，tsʰẽ55	seŋ55					
牲		seŋ55					
笙		seŋ55					
甥	sẽ55						
省	sẽ52	seŋ52					
更	kẽ55						
庚	kẽ55	keŋ55					
羹		kiɔŋ55					
哽	kẽ52						
更		keŋ31					
坑	kʰẽ55						
硬	ŋẽ33						
亨		heŋ55					
行	kiã24	heŋ24					
衡		heŋ24					
杏		heŋ33					
浜		paŋ55					
迸		peŋ31					
棚		pʰaŋ24					
萌		meŋ24					
爭	tsẽ55	tseŋ55					
箏		tseŋ55					
睜		tseŋ55					
耕		tseŋ55					
耿		keŋ52					
莖		keŋ55					
幸		heŋ33					
鶯		eŋ55					
鸚		eŋ55					
櫻		eŋ55					
兵		peŋ55					
丙		peŋ52					
秉		peŋ52					
柄		peŋ31					
平	pẽ24	pʰeŋ24					
評		pʰeŋ24					
病	pẽ33						
明	miã24	meŋ24					
鳴		meŋ24					
盟		meŋ24					
皿		meŋ52					
命	miã33	meŋ33					
京	kiã55						
荆		keŋ55					
驚	kiã55						
境		keŋ52					
景		keŋ52					
警		keŋ52					
敬		keŋ31					
竟		keŋ31					
鏡	kiã31						
卿		kʰeŋ55					
慶		kʰeŋ31					
擎		kʰeŋ24					
鯨		keŋ55					
競		keŋ33					
迎		eŋ24					
英		eŋ55					
影	iã52						
映		eŋ31					
餅	piã52						
并		peŋ31					
聘		pʰeŋ31					
名	miã24						
領	niã52						
嶺	niã52						
拎		leŋ55					
令		leŋ33					
精	tsiã55	tseŋ55					
晶		tseŋ55					
旌		tseŋ55					
睛		tseŋ55					
井	tsẽ52						
清		tsʰeŋ55					
請	tsʰiã52						
情	tsiã24	tseŋ24					
晴		tseŋ24					
靜		tseŋ33					
淨		tseŋ33					
性	sẽ31	seŋ31					
姓	sẽ31						
貞		tseŋ55					
蟶		tsʰeŋ55					
偵		tseŋ55					
逞		tsʰeŋ52					
呈		tsʰeŋ24					
程	tiã24						
鄭	tẽ33						
征		tseŋ55					
整		tseŋ52					
政		tseŋ31					
正	tsiã31	tseŋ31					
聲	siã55						
聖		seŋ31					
城	siã24						
成	tsiã24	seŋ24					
誠		seŋ24					
盛	sin24						
盛		seŋ33					
頸	kin52						
勁		keŋ31					
輕	kʰin55						
嬰		eŋ55					
纓		eŋ55					
盈		eŋ24					
贏	iã24						
姘		pʰeŋ55					
拼		pʰeŋ55					
瓶		pʰeŋ24					
屏		pʰeŋ24					
並		pʰeŋ33，peŋ33					
銘		meŋ24					
冥	mẽ24	meŋ24					
丁		teŋ55					
釘		teŋ55					
頂		teŋ52					
鼎	tiã52	teŋ52					
釘		teŋ31					
訂	tiã31						
聽	tʰiã55						
汀		tʰeŋ55					
廳	tʰiã55						
廷		tʰeŋ24					
停		tʰeŋ24					
亭		tʰeŋ24					
庭		tʰeŋ24					
蜓		tʰeŋ24					
挺		tʰeŋ52					
艇		tʰeŋ52					
錠		teŋ33					
定	tiã33						
寧		neŋ24					
佞		neŋ33					
靈		leŋ24					
零		leŋ24					
鈴		leŋ24					
伶		leŋ24					
另		leŋ33					
青	tsʰẽ55						
蜻		tsʰeŋ55					
星	tsʰẽ55	seŋ55					
腥		seŋ55					
醒	tsʰẽ52						
經		keŋ55					
徑		keŋ31					
磬		kʰeŋ31					
馨		heŋ55					
刑		heŋ24					
型		heŋ24					
形		heŋ24					
百	peʔ2	pak2					
柏	peʔ2	pak2					
伯	peʔ2						
迫		pek2					
拍	pʰaʔ2						
珀		pʰɔk2					
魄		pʰɔk2					
白	peʔ5						
帛		pɔk5					
陌		mɔk5					
拆	tʰiaʔ2						
擇		tsek5					
澤		tsek5					
宅		tsak5					
窄		tsak2					
格	keʔ2						
客	kʰeʔ2						
咳	kʰɔŋ31						
額	hiaʔ5	ŋak5					
赫		hek2					
嚇		hek2					
麥	beʔ5						
脈		mak5					
摘		tsak2					
責		tsek2					
策		tsʰek2					
册	tsʰeʔ2	tsʰek2					
栅		tsek2					
革	keʔ2	kek2					
隔	keʔ2						
核	hut5，hat5						
厄		ek2					
扼	at2	ek2					
軛		ek2					
碧		pek2					
戟		kek2					
隙		kʰek2					
劇		kek5					
屐		kek5					
逆		nek5					
璧		pek2					
僻		pʰek2					
辟		pʰek2					
闢		pʰek2					
積		tsek2					
跡		tsek2					
脊	tsiaʔ2	tsek2					
籍		tsek5					
昔		sek2					
惜		sek2					
席	tsʰiɔʔ5	sek5					
夕		sek2					
擲		tsek2					
隻		tsek2					
炙		tsek2					
赤	tsʰiaʔ2	tsʰek2					
斥		tsʰek2					
尺	tsʰiɔʔ2						
適		sek2					
釋		sek2					
石	tsiɔʔ5	sek5					
碩		siɔk5					
益		ek2					
亦		ek2					
譯		ek2					
易		ek5					
液		ek5					
腋		ek5					
壁	piaʔ5	pek5					
霹		pʰek2					
劈		pʰek2					
覓		mek5					
滴		tek2					
嫡		tek2					
的		tek2					
踢	tʰat2						
剔		tʰek2					
狄		tek5					
笛		tek5					
敵		tek5					
糴	tiaʔ5						
溺		nek5					
歷		lek5					
曆		lek5					
績		tsek2					
戚		tsʰek2					
寂		tsek5					
錫		sek2					
析		sek2					
擊		kek2					
激		kek2					
喫	kʰei31	kʰek2					
礦		kʰɔŋ31					
橫	huẽ24						
轟		hɔŋ55					
宏		hɔŋ24					
兄	hiã55						
榮		eŋ24					
永		eŋ52					
泳		iɔŋ52					
咏		iɔŋ52					
傾		kʰeŋ55					
頃		kʰeŋ52					
瓊		kʰiɔŋ24					
營	iã24	eŋ24					
塋		eŋ24					
穎		eŋ52					
螢		eŋ24					
迥		kiɔŋ52					
虢		kɔk5					
獲		hɔk5					
劃	ueʔ5						
役		ek5					
疫		ek5					
篷	pʰaŋ24	pʰɔŋ24					
蓬		pʰɔŋ24					
蒙		mɔŋ24					
蠓	baŋ52						
懵		bɔŋ52					
東	taŋ55	tɔŋ55					
董		tɔŋ52					
懂		tɔŋ52					
棟		tɔŋ31					
凍		tɔŋ31					
通		tʰɔŋ55					
桶	tʰaŋ52						
捅		tʰɔŋ52					
痛	tʰiã31						
同	taŋ24	tʰɔŋ24					
銅	taŋ24						
桐		tʰɔŋ24					
筒	taŋ24	tʰɔŋ24					
童		tʰɔŋ24					
瞳		tʰɔŋ24					
動		tɔŋ33					
洞		tɔŋ33					
籠	laŋ55，laŋ24						
聾	laŋ24	lɔŋ55					
攏		lɔŋ52					
弄		lɔŋ33					
棕		tsɔŋ55					
鬃		tsɔŋ55					
總		tsɔŋ52					
粽	tsaŋ31						
聰		tsʰɔŋ55					
匆		tsʰɔŋ55					
葱	tsʰaŋ55						
囱		tsʰɔŋ55					
叢	tsaŋ24	tsʰɔŋ24					
送	saŋ31						
公	kaŋ55	kɔŋ55					
工	kaŋ55	kɔŋ55					
功		kɔŋ55					
攻		kɔŋ55					
貢		kɔŋ31					
空	kʰaŋ55	kʰɔŋ55					
孔		kʰɔŋ52					
控		kʰɔŋ31					
空		kʰɔŋ31					
烘		hɔŋ55					
哄		hɔŋ33					
紅	aŋ24						
洪	aŋ24						
鴻		hɔŋ24					
虹		hɔŋ24					
汞		kɔŋ31					
翁	aŋ55	ɔŋ55					
瓮		ɔŋ31					
冬	taŋ55						
統		tʰɔŋ52					
農		lɔŋ24					
膿		nɔŋ24					
儂	laŋ24						
宗		tsɔŋ55					
鬆	saŋ55	sɔŋ55					
宋		sɔŋ31					
風		hɔŋ55					
瘋		hɔŋ55					
諷		hɔŋ52					
豐		hɔŋ55					
馮		hɔŋ24					
鳳		hɔŋ33					
夢	maŋ33						
隆		lɔŋ24					
嵩		siɔŋ55					
中	taŋ55	tiɔŋ55					
忠		tiɔŋ55					
中	teŋ31	tsiɔŋ31					
蟲	tʰaŋ24						
仲		tsiɔŋ33					
崇		tsʰiɔŋ24					
終		tsiɔŋ55					
眾		tsiɔŋ31					
充		tsʰiɔŋ55					
銃		tsʰiɔŋ31					
絨		dziɔŋ24					
戎		dziɔŋ24					
弓		kiɔŋ55					
躬		kiɔŋ55					
宮		kiɔŋ55					
穹		kʰiɔŋ24					
窮		kʰiɔŋ24					
熊	him24						
雄		hiɔŋ24					
融		dziɔŋ24					
封		hɔŋ55					
峰		hɔŋ55					
蜂	pʰaŋ55	hɔŋ55					
鋒		hɔŋ55					
捧		pʰɔŋ52					
逢		hɔŋ24					
縫		hɔŋ24					
縫		hɔŋ33					
奉		hɔŋ33					
俸		hɔŋ33					
濃		lɔŋ24					
龍	leŋ24	liɔŋ24					
隴		liɔŋ52					
壟		lɔŋ52					
蹤		tsɔŋ55					
縱		tsiɔŋ31					
從		tsʰiɔŋ24					
慫		siɔŋ52					
松		tsʰiɔŋ24					
誦		siɔŋ33					
頌		siɔŋ33					
訟		siɔŋ33					
冢		tsiɔŋ52					
寵		tsʰiɔŋ52					
重		tsʰiɔŋ24					
重	taŋ33	tiɔŋ33					
鐘		tsiɔŋ55					
盅		tsiɔŋ55					
種	tseŋ52	tsiɔŋ52					
種	tseŋ31						
腫		tseŋ52					
衝		tsʰiɔŋ55					
舂		tsiɔŋ55					
茸		dziɔŋ24					
冗		dziɔŋ52					
恭		kiɔŋ55					
供		kiɔŋ55					
拱		kiɔŋ52					
鞏		kiɔŋ52					
供		kiɔŋ31					
恐		kʰiɔŋ52					
共	kaŋ33	kiɔŋ33					
胸		hiɔŋ55					
兇		hiɔŋ55					
凶		hiɔŋ55					
雍		iɔŋ55					
擁		iɔŋ55					
雍		iɔŋ55					
容		iɔŋ24					
熔		iɔŋ24					
庸		iɔŋ55					
甬		iɔŋ52					
勇		iɔŋ52					
湧		iɔŋ52					
用		iɔŋ33					
卜		pɔk2					
撲		pʰɔk2					
僕		pʰɔk2					
曝	pʰak5						
瀑		pʰɔk5					
木		mɔk5					
沐		mɔk5					
禿		tʰut2					
獨		tɔk5					
讀	tʰak5						
牘		tɔk5					
鹿		lɔk5					
禄		lɔk5					
族		tsɔk5					
速		sɔk2					
穀		kɔk2					
谷		kɔk2					
哭	kʰau31（训）	kʰɔk2					
斛		hɔk5					
屋		ɔk2					
篤		tɔk2					
督		tɔk2					
毒	tʰau33	tɔk5					
酷		kʰɔk2					
沃	ak2	ɔk2					
福		hɔk5					
幅		hɔk5					
蝠		hɔk5					
復		hɔk5					
腹		hɔk2					
覆		hɔk2					
服		hɔk5					
伏		hɔk5					
袱		hɔk5					
目	bak5						
穆		mɔk5					
牧		mɔk5					
六	lak5						
陸	lak5	liɔk5					
戮		liɔk5					
肅		siɔk2					
夙		siɔk2					
宿		siɔk2					
竹	tek2	tsiɔk2					
築		tsiɔk2					
畜		tsʰiɔk2					
逐		dziɔk2，tsiɔk2					
軸		tsiɔk2					
縮	sɔk2						
祝		tsiɔk2					
粥		tsiɔk2					
叔	tsek2	tsiɔk2					
熟	sek5	siɔk5					
淑		siɔk2					
肉	baʔ2（训）						
菊		kiɔk2					
麴		kʰiɔk2					
畜		tsʰiɔk2					
蓄		tsʰiɔk2					
郁		iɔk2					
育		iɔk5					
綠	lek5	liɔk5					
錄		lɔk5					
足		tsiɔk2					
促		tsʰiɔk2					
粟	tsʰek2	sɔk2					
俗		siɔk5					
續		siɔk5					
燭		tsiɔk2					
囑		tsiɔk2					
觸		tsʰiɔk2					
贖		siɔk5					
束		siɔk2					
蜀	tsit5	siɔk5					
屬		siɔk2					
辱		dziɔk5					
褥		dziɔk5					
鋦		kiɔk2					
麯		kʰiɔk2					
曲		kʰiɔk2					
局		kiɔk5					
玉		iɔk5					
獄		iɔk5					
旭		hiɔk2					
欲	bueʔ2（训）	iɔk5					
浴	ek5	iɔk5					
慾		iɔk5					
