			编号	字头	低坡	西坡	白龙	白木	屯车	那勉	渌一	伯劳街	竹木排
			156	低	tɐi45	tɐi45	tɐi25	tɐi45	tɐi55	tɐi33	tɐi11	tɐi11	tɒi45
			157	梯	tʰɐi45	tʰɐi45	tʰɐi25	tʰɐi45	tʰɐi55	tʰɐi33	tʰɐi11	tʰɐi11	tʰɒi45
			158	剃	tʰɐi44	tʰɐi44	tʰɐi11	tʰɐi44	tʰɐi21	tʰɐi113	tʰɐi24	tʰɐi24	tʰɒi51
			159	弟	tʰɐi22	tʰɐi22	tʰɐi33	tʰɐi22	tʰɐi33	tʰɐi33	tʰɐi33	tʰɐi33	tʰɒi13
			160	递	tʰɐi22	tʰɐi22	tɐi33	tʰɐi22	tʰɐi21	tʰɐi221	tʰɐi44	tʰɐi33	tʰɒi22
			161	泥	nɐi44	nɐi44	nɐi44	nɐi44	nɐi42	nɐi32	nɐi31	nɐi31	nɒi35
			162	犁	lɐi44	lɐi44	lɐi44	lɐi44	lɐi42	lɐi32	lɐi31	lɐi31	lɒi35
			163	西	ɬɐi45	ɬɐi45	ɬɐi25	ɬɐi45	ɬɐi55	ɬɐi33	ɬɐi11	ɬɐi11	ɬɒi45
			164	洗	ɬɐi24	ɬɐi13	ɬɐi11	ɬɐi13	ɬai24	ɬɐi55	ɬɐi55	ɬɐi55	ɬɒi33
			165	鸡	kɐi45	kɐi45	kɐi25	kɐi45	kɐi55	kɐi33	kɐi11	kɐi11	kɒi45
			166	溪	kʰɐi45	kʰɐi45	kʰɐi25	kʰɐi45	kʰɐi55	kʰuɐi33	kʰɐi11	kʰɐi11	kʰɒi45
			167	契	kʰɐi44	kʰɐi44	kʰɐi11	kʰɐi44	kʰɐi21	kʰɐi113	kʰɐi24	kʰɐi24	kʰɒi51
			168	系{联～}	hɐi22	hɐi22	hɐi33	hɐi22	hɐi21	hɐi221	hɐi44	hɐi33	hɒi22
			169	杯	pui45	pui45	pui25	pui45	poi55	pui33	pu11	pui11	pui45
			170	配	pʰui44	pʰui44	pʰui11	pʰui44	pʰoi21	pʰui113	pʰu24	pʰui24	pʰui51
			171	赔	pʰui44	pʰui44	pʰui44	pʰui44	pʰoi42	pʰui32	pʰu31	pʰui31	pʰui35
			172	背{～诵}	pʰui22	pʰui22	pʰui33	pʰui22	pʰoi21	pʰui221	pʰu44	pʰui33	pʰui22
			173	煤	mui44	mui44	mui44	mui44	moi42	mui32	mu31	mui31	mui35
			174	妹	mui22	mui22	mui33	mui22	moi21	mui55	mu44	mui33	mui22
			175	对	tui44	tui44	tui11	tui44	toi21	tui113	tu24	tui24	tui51
			176	雷	lui44	lui44	lui44	lui44	loi42	lui32	lu31	lui31	lui35
			177	罪	tʃʰui22	tʃʰui22	tʃʰui33	tʃʰui22	tʃoi21	tʃʰui221	tʃʰu44	tsʰui33	tʃʰui22
			178	碎	ɬui44	ɬui44	ɬui11	ɬui44	ɬoi21	ɬui113	ɬu24	ɬui24	ɬui51
			179	灰	fui45	fui45	hui25	fui45	hoi55	hui33	ʔu11	vui11	fui45
			180	回	fui44	fui44	hui44	fui44	hoi42	vui32	hu31	vui31	vui35
			181	外	vai22	vai22	vai33	vai22	vai21	vai221	vai44	vai33	vai22
			182	会{开～}	fui22	fui22	hui33	fui22	hoi21	vui221	hu44	vui33	vui22
			183	怪	kuai44	kuai44	kuai11	kuai44	kuai21	kuai113	kuai24	kuai24	kuai51
			184	块{怪韵}	fai44	fai44	fai11	fai44	vai21	vai113	vai24	vai24	fai51
			185	怀	vai44	vai44	vai44	vai44	vai42	vai32	vai31	vai31	vai35
			186	坏	vai22	vai22	vai33	vai22	vai21	vai221	vai44	vai33	vai22
			187	拐	kʰuai24	kʰuai13	kʰuai11	kʰuai13	kuai24	kuai55	kʰuai55	kuai55	kʰuai22
			188	挂	kua44	kuɒ44	kuɒ44	kua44	kua21	kua113	kua24	kua24	kua51
