字	IPA	備注（常用：ʰ ŋ ȵ ɿ ȶ ç）h、ŋ、ȵ、ɿ、ȶ、ç □	#說明 到格拉夫整理自大柘鎮城东社区70後姚女士，這一代大柘人剛失去am/aŋ和ap/ak對立，少部分原-am/-ap字輕微合嘴，按系統合併處理，語音面貌屬中派。劉濤和凌飛霞的調值和描寫都有誤，黃曉煜的是相對準確的，可一併參考。							
舒	su1									
輸	su1									
仇	su2									
殊	su2									
贖	su2									
儲	su2									
酬	su2									
署	su2									
薯	su2									
曙	su2									
手	su3									
守	su3									
首	su3									
墅	su3									
狩	su3									
壽	su5									
受	su5									
樹	su5									
豎	su5									
恕	su5									
授	su5									
庶	su5									
獸	su5									
雖	sui1									
垂	sui2									
誰	sui2									
隋	sui2									
水	sui3									
髓	sui3									
歲	sui5	～寒。								
遂	sui5	～意，喜歡。								
瑞	sui5									
碎	sui5									
隧	sui5									
穗	sui5									
束	suk7									
叔	suk7									
速	suk7									
淑	suk7									
縮	suk7									
屬	suk8									
蜀	suk8									
熟	suk8									
俶	suk8									
塾	suk8									
孫	sun1									
存	sun2									
旬	sun2									
馴	sun2	蓄～了，養熟了。								
巡	sun2									
純	sun2									
詢	sun2									
唇	sun2									
淳	sun2									
循	sun2									
醇	sun2									
荀	sun2									
脣	sun2									
損	sun3									
筍	sun3									
隼	sun3									
順	sun5									
遜	sun5									
殉	sun5									
瞬	sun5									
巽	sun5									
戌	sut7									
摔	sut7									
蟀	sut7									
術	sut8									
朮	sut8									
述	sut8									
雙	suŋ1									
鬆	suŋ1									
㧐	suŋ3									
㩳	suŋ3	推。								
宋	suŋ5									
送	suŋ5									
屍	sɿ1									
尸	sɿ1									
司	sɿ1									
絲	sɿ1									
師	sɿ1									
蘇	sɿ1									
私	sɿ1									
飼	sɿ1	～料。								
詩	sɿ1									
思	sɿ1	～量。								
獅	sɿ1									
施	sɿ1									
梳	sɿ1									
斯	sɿ1									
酥	sɿ1									
疏	sɿ1									
蔬	sɿ1									
時	sɿ2									
匙	sɿ2									
史	sɿ3									
矢	sɿ3									
使	sɿ3									
駛	sɿ3									
屎	sɿ3									
匙	sɿ3	鎖～。								
士	sɿ5									
巳	sɿ5									
氏	sɿ5									
示	sɿ5									
世	sɿ5	～紀。								
市	sɿ5									
寺	sɿ5									
嶼	sɿ5									
似	sɿ5									
字	sɿ5									
伺	sɿ5									
祀	sɿ5									
訴	sɿ5									
勢	sɿ5									
事	sɿ5	～情。								
侍	sɿ5									
試	sɿ5	～卷。								
視	sɿ5									
柿	sɿ5									
是	sɿ5									
思	sɿ5	意～。								
恃	sɿ5									
素	sɿ5									
逝	sɿ5									
肆	sɿ5									
鼓	sɿ5									
嗜	sɿ5									
數	sɿ5									
誓	sɿ5									
醋	sɿ5									
仕	sɿ5									
蒔	sɿ5									
豉	sɿ5									
痔	sɿ5	～瘡。								
升	sɿn1									
申	sɿn1									
伸	sɿn1	～張。								
身	sɿn1									
呻	sɿn1									
紳	sɿn1									
昇	sɿn1									
陞	sɿn1									
成	sɿn2	～功。								
誠	sɿn2									
承	sɿn2									
神	sɿn2									
乘	sɿn2									
晨	sɿn2									
繩	sɿn2									
丞	sɿn2									
什	sɿn3	～麼。								
沈	sɿn3									
瀋	sɿn3									
審	sɿn3									
嬸	sɿn3									
慎	sɿn3									
聖	sɿn5									
腎	sɿn5	人～。								
甚	sɿn5									
勝	sɿn5									
盛	sɿn5									
滲	sɿn5									
剩	sɿn5	～餘。								
蜃	sɿn5									
嵊	sɿn5									
失	sɿt7									
式	sɿt7									
識	sɿt7									
飾	sɿt7									
拭	sɿt7									
適	sɿt7									
室	sɿt7									
釋	sɿt7									
濕	sɿt7									
十	sɿt8									
什	sɿt8	～物。								
實	sɿt8									
拾	sɿt8									
食	sɿt8									
蝕	sɿt8									
打	ta3									
咑	ta5	～烏，漆黑。								
低	tai1									
待	tai1	～穩，待着。								
歹	tai3									
底	tai3									
帶	tai5									
戴	tai5									
搭	tak7									
答	tak7									
褡	tak7									
蹋	tak8									
搨	tak8	搧打。								
丹	tan1									
單	tan1									
旦	tan5	～子。元～。								
誕	tan5									
笪	tat7									
丁	taŋ1	天干。								
訂	taŋ1									
盯	taŋ1									
釘	taŋ1									
擔	taŋ1									
耽	taŋ1									
瞪	taŋ1									
覘	taŋ1	擡頭。								
頕	taŋ1	擡頭。								
頂	taŋ3									
膽	taŋ3									
氮	taŋ5									
嘀	te2	【替字】叨叨。								
嘀	te2	叨叨。								
抵	te3	～日頭，遮陽。								
嘀	te5	【替字】糊塗、離譜。								
嘀	te5	糊塗、離譜。								
兜	tei1									
斗	tei3									
抖	tei3									
陡	tei3									
蚪	tei3									
鬥	tei5									
鬥	tei5	【替字】窩。								
□	tei5	窩。								
篼	tei5	【替字】豬～，豬窩。								
丁	ten1									
燈	ten1									
等	ten1	佢～，他們。～佢打，被他打。								
登	ten1									
蹬	ten1									
等	ten3									
蹬	ten3	【替字】跺。								
□	ten3	跺。								
戥	ten3	小秤。								
凳	ten5									
得	tet7									
跌	tet7									
德	tet7									
塌	tet8	重壓。								
裏	ti1	～背，裏面。								
知	ti1									
嘀	ti1	噫。								
抵	ti3	～扣。								
爹	tia1									
貼	tiak7									
揲	tiak8	【替字】刀砍小口。								
□	tiak8	刀砍小口。								
䞶	tiak8	【替字】～去哪，跑去哪。								
□	tiak8	～去哪，跑去哪。								
刁	tiau1									
叼	tiau1									
鳥	tiau1	～子，小鳥；雞雞。								
雕	tiau1									
貂	tiau1									
碉	tiau1									
屌	tiau3	肏。								
吊	tiau5									
弔	tiau5									
釣	tiau5									
恬	tiaŋ1	【替字】～～來，悠悠來。								
□	tiaŋ1	～～來，悠悠來。								
掂	tiaŋ1									
點	tiaŋ3									
店	tiaŋ5									
玷	tiaŋ5									
惦	tiaŋ5									
踮	tiaŋ5									
滇	tien1									
顛	tien1									
巔	tien1									
癲	tien1									
典	tien3									
碘	tien3									
叮	tin1									
轉	tin1	【替字】旋轉、轉圈。								
□	tin1	旋轉、轉圈。								
鼎	tin3									
的	tit7									
滴	tit7									
丟	tiu1									
刀	to1									
叨	to1									
多	to1									
哆	to1									
朵	to3									
島	to3									
搗	to3									
倒	to3									
禱	to3									
躲	to3									
到	to5									
垛	to5									
舵	to5									
跺	to5									
剁	to5									
堆	toi1									
䇏	toi3									
碓	toi5									
擆	tok7	放置；看守；丟。								
端	ton1									
短	ton3									
鍛	ton5									
碫	ton5									
咄	tot7									
掇	tot7	端拿。								
當	toŋ1	～世界，闖世界。								
鐺	toŋ1									
珰	toŋ1									
擋	toŋ3									
黨	toŋ3									
党	toŋ3									
當	toŋ5	～下。～鋪。								
蕩	toŋ5									
盪	toŋ5									
檔	toŋ5									
喳	tsa1									
渣	tsa1									
遮	tsa1									
吒	tsa1									
者	tsa3									
乍	tsa5									
詐	tsa5									
炸	tsa5									
蔗	tsa5									
榨	tsa5									
柘	tsa5									
鷓	tsa5									
災	tsai1									
哉	tsai1	悠～。								
栽	tsai1									
齋	tsai1									
哉	tsai2	【替字】唉～，哎呀。								
□	tsai2	唉～，哎呀。								
宰	tsai3									
再	tsai5									
載	tsai5	下～。								
債	tsai5									
紮	tsak7	結～。								
隻	tsak7									
摺	tsak7	～紙。								
眨	tsak7									
窄	tsak7									
摘	tsak7									
劄	tsak7									
炙	tsak7	曬；烤。								
笮	tsak7									
𠢡	tsak7	勤奮。								
氈	tsan1									
顫	tsan1									
簪	tsan1									
盞	tsan3									
展	tsan3									
輾	tsan3	【替字】～㷮來，滾擦乾。～樵，捆柴。								
□	tsan3	～㷮來，滾擦乾。～樵，捆柴。								
贊	tsan3	【替字】還～，真好。								
□	tsan3	還～，真好。								
趲	tsan3	～開，滾開。～前，移前。								
戰	tsan5									
綻	tsan5									
輾	tsan5	地下～，地上滾。								
贊	tsan5									
讚	tsan5									
紮	tsat7	～穩。								
札	tsat7									
扎	tsat7									
軋	tsat7									
折	tsat7	打～。								
哲	tsat7									
砸	tsat7									
浙	tsat7									
匝	tsat7									
蜇	tsat7									
咂	tsat8	唉唉～～，唉聲嘆氣。								
嘲	tsau1									
釗	tsau1									
爪	tsau3									
找	tsau3									
抓	tsau3									
澡	tsau3									
罩	tsau5									
正	tsaŋ1									
占	tsaŋ1									
爭	tsaŋ1									
沾	tsaŋ1									
睜	tsaŋ1									
贍	tsaŋ1									
瞻	tsaŋ1									
蟾	tsaŋ2									
斬	tsaŋ3									
嶄	tsaŋ3									
整	tsaŋ3	～手機，修手機。								
正	tsaŋ5									
佔	tsaŋ5									
掙	tsaŋ5									
滲	tsaŋ5	【替字】～水，滲水。								
□	tsaŋ5	～水，滲水。								
䂑	tse1	【替字】瘦小。								
□	tse1	瘦小。								
這	tse3	～裏。								
招	tsei1									
椒	tsei1									
焦	tsei1	心～。								
蕉	tsei1	弓～，香蕉。								
鄒	tsei1									
陬	tsei1									
朝	tsei2									
走	tsei3									
咒	tsei5									
奏	tsei5									
昭	tsei5									
揍	tsei5									
照	tsei5									
猙	tsen1									
箏	tsen1									
曾	tsen1	姓～。								
憎	tsen1									
砧	tsen1									
怎	tsen3									
砧	tsen3	【替字】～印，印印章。								
□	tsen3	～印，印印章。								
增	tsen5									
贈	tsen5									
甑	tsen5									
則	tset7									
側	tset7									
測	tset7	～佢心思，猜他心思。								
仄	tset7									
抸	tset7	手指前部抓。								
擠	tsi1									
姊	tsi3									
際	tsi5									
劑	tsi5									
濟	tsi5									
濟	tsi5	【替字】雞～，雞窩。								
□	tsi5	雞～，雞窩。								
祭	tsi5									
㴛	tsi5	～水，吸水。								
摖	tsi5	【替字】手指給人撓癢。								
□	tsi5	手指給人撓癢。								
嗟	tsia1									
姐	tsia3									
借	tsia5									
跡	tsiak7	哪～，哪裏。								
接	tsiak7									
績	tsiak7	～麻。								
食	tsiak8	揶揄用。								
悄	tsiau1									
焦	tsiau1	～點。								
蕉	tsiau1	～嶺縣。								
礁	tsiau1									
僬	tsiau2	小的。								
剿	tsiau3									
尖	tsiaŋ1									
殲	tsiaŋ1									
精	tsiaŋ1	～肉，瘦肉。								
婧	tsiaŋ1									
櫼	tsiaŋ1	～入，塞入；擠進。								
井	tsiaŋ3									
阱	tsiaŋ3									
井	tsiaŋ5	【替字】～轉，上下顛倒。								
□	tsiaŋ5	～轉，上下顛倒。								
煎	tsien1									
剪	tsien3									
薦	tsien5									
箭	tsien5									
節	tsiet7									
癤	tsiet7									
擳	tsiet8	【替字】丟。								
□	tsiet8	丟。								
津	tsin1									
晶	tsin1									
斟	tsin1	【替字】～啜，親嘴。								
□	tsin1	～啜，親嘴。								
睛	tsin1									
精	tsin1									
進	tsin5									
晉	tsin5									
浸	tsin5									
唗	tsio3	【替字】行歪。								
□	tsio3	行歪。								
唗	tsio5	【替字】擁去。								
□	tsio5	擁去。								
雀	tsiok7									
爵	tsiok7									
嚼	tsiok7									
將	tsioŋ1									
漿	tsioŋ1									
獎	tsioŋ3									
槳	tsioŋ3									
蔣	tsioŋ3									
將	tsioŋ5									
醬	tsioŋ5									
即	tsit7									
責	tsit7									
跡	tsit7	奇～。								
唧	tsit7									
積	tsit7									
脊	tsit7									
績	tsit7	成～。								
鯽	tsit7									
脊	tsit7									
肘	tsiu3									
酒	tsiu3									
揪	tsiu3									
皺	tsiu5									
足	tsiuk7									
蹤	tsiuŋ1									
縱	tsiuŋ3									
遭	tso1									
遭	tso1	【替字】～佢，毆他。								
□	tso1	～佢，毆他。								
糟	tso1									
注	tso2	【替字】水盡～，水不停沖。								
□	tso2	水盡～，水不停沖。								
左	tso3									
早	tso3									
佐	tso3									
棗	tso3									
蚤	tso3									
藻	tso3									
灶	tso5									
注	tso5	【替字】～～滾，水不停沖。								
□	tso5	～～滾，水不停沖。								
做	tso5									
脧	tsoi1	雞雞。								
載	tsoi5	～客。								
啜	tsoi5	嘴。								
作	tsok7									
灼	tsok7	～燒。								
卓	tsok7									
捉	tsok7									
酌	tsok7									
桌	tsok7									
著	tsok7	～衫，穿衣。								
琢	tsok7									
斫	tsok7									
浞	tsok7	～撇了，米、麪湯被米、麪吸完了。								
椓	tsok7	器物打。								
專	tson1									
磚	tson1									
轉	tson3									
鑽	tson5	～出。～石。								
拙	tsot7									
茁	tsot7									
嘬	tsot8	【替字】努嘴吸。								
□	tsot8	努嘴吸。								
妝	tsoŋ1									
莊	tsoŋ1									
張	tsoŋ1									
樁	tsoŋ1									
贓	tsoŋ1									
髒	tsoŋ1									
章	tsoŋ1									
裝	tsoŋ1									
彰	tsoŋ1									
樟	tsoŋ1									
蟑	tsoŋ1									
漲	tsoŋ3									
掌	tsoŋ3									
仗	tsoŋ5									
壯	tsoŋ5									
帳	tsoŋ5									
賬	tsoŋ5									
脹	tsoŋ5									
葬	tsoŋ5									
障	tsoŋ5									
奘	tsoŋ5									
朱	tsu1									
舟	tsu1									
州	tsu1									
周	tsu1									
洲	tsu1									
珠	tsu1									
株	tsu1									
諸	tsu1									
豬	tsu1									
蛛	tsu1									
茱	tsu1									
主	tsu3									
拄	tsu3									
帚	tsu3									
煮	tsu3									
注	tsu5									
宙	tsu5									
駐	tsu5									
晝	tsu5									
蛀	tsu5									
著	tsu5									
鑄	tsu5									
追	tsui1									
椎	tsui1									
錐	tsui1									
嘴	tsui3									
綴	tsui5									
最	tsui5									
贅	tsui5									
醉	tsui5									
竹	tsuk7									
祝	tsuk7									
燭	tsuk7									
築	tsuk7									
筑	tsuk7									
粥	tsuk7									
囑	tsuk7									
嗾	tsuk8	上下搖晃。								
振	tsun1	盡～，不同顫抖。								
諄	tsun1									
尊	tsun1									
遵	tsun1									
樽	tsun1									
准	tsun3									
準	tsun3									
俊	tsun5									
峻	tsun5									
駿	tsun5									
竣	tsun5									
圳	tsun5									
雋	tsun5									
卒	tsut7									
中	tsuŋ1	～國。								
忠	tsuŋ1									
宗	tsuŋ1									
終	tsuŋ1									
鐘	tsuŋ1									
衷	tsuŋ1									
綜	tsuŋ1									
棕	tsuŋ1									
舂	tsuŋ1	鈍物打。								
鍾	tsuŋ1									
舂	tsuŋ2	【替字】衝擊。								
□	tsuŋ2	衝擊。								
腫	tsuŋ3									
總	tsuŋ3									
中	tsuŋ5	～頭名，拿第一名。								
眾	tsuŋ5									
種	tsuŋ5									
舂	tsuŋ5	【替字】打～tsuk7，前翻身。								
□	tsuŋ5	打～tsuk7，前翻身。								
粽	tsuŋ5									
叉	tsʰa1									
車	tsʰa1									
扯	tsʰa1	伸～，平整；完善。								
差	tsʰa1									
奢	tsʰa1									
茬	tsʰa2									
茶	tsʰa2									
查	tsʰa2									
搽	tsʰa2									
扯	tsʰa3									
岔	tsʰa5									
猜	tsʰai1									
搓	tsʰai1									
搋	tsʰai1									
柴	tsʰai2									
裁	tsʰai2	勘～，商量。								
采	tsʰai3									
採	tsʰai3									
彩	tsʰai3	～色。								
踩	tsʰai3	～在地板上。								
在	tsʰai5	健～。								
蔡	tsʰai5									
寨	tsʰai5									
尺	tsʰak7									
冊	tsʰak7									
赤	tsʰak7									
拆	tsʰak7									
插	tsʰak7									
坼	tsʰak7									
臿	tsʰak7									
雜	tsʰak8									
閘	tsʰak8									
柵	tsʰak8									
潺	tsʰan1									
殘	tsʰan2									
泉	tsʰan2									
纏	tsʰan2									
鏟	tsʰan3	～泥。								
燦	tsʰan5									
棧	tsʰan5									
鏟	tsʰan5	～皮，皮掀破開。								
粲	tsʰan5	【替字】穀～，稻穗。								
□	tsʰan5	穀～，稻穗。								
璨	tsʰan5									
徹	tsʰat7	來毋～，來不及。								
察	tsʰat7									
擦	tsʰat7									
徹	tsʰat8	～底。								
撤	tsʰat8									
澈	tsʰat8									
轍	tsʰat8									
蚻	tsʰat8	黃～，蟑螂。								
抄	tsʰau1									
鈔	tsʰau1									
操	tsʰau1									
吵	tsʰau2									
嘈	tsʰau2									
炒	tsʰau3									
噪	tsʰau5									
燥	tsʰau5									
躁	tsʰau5									
參	tsʰaŋ1									
摻	tsʰaŋ1									
攙	tsʰaŋ1									
成	tsʰaŋ2	五～。								
蠶	tsʰaŋ2									
慚	tsʰaŋ2									
饞	tsʰaŋ2									
禪	tsʰaŋ2									
蟬	tsʰaŋ2									
橙	tsʰaŋ2									
晟	tsʰaŋ2	【替字】對照；照射。								
□	tsʰaŋ2	對照；照射。								
慘	tsʰaŋ3									
杉	tsʰaŋ5									
鄭	tsʰaŋ5									
站	tsʰaŋ5									
盛	tsʰaŋ5	旺～，熱鬧。								
撐	tsʰaŋ5									
懺	tsʰaŋ5									
鏨	tsʰaŋ5									
齊	tsʰe2									
滯	tsʰe5									
超	tsʰei1									
朝	tsʰei2									
潮	tsʰei2									
樵	tsʰei2									
湊	tsʰei3	【替字】沖兌。								
□	tsʰei3	沖兌。								
驟	tsʰei3									
兆	tsʰei5									
趙	tsʰei5									
湊	tsʰei5									
瘦	tsʰei5									
噍	tsʰei5									
層	tsʰen2									
曾	tsʰen2	～經。								
岑	tsʰen2									
蹭	tsʰen5									
廁	tsʰet7	【新派】								
測	tsʰet7									
策	tsʰet7									
惻	tsʰet7									
宅	tsʰet8									
擇	tsʰet8	選～。								
澤	tsʰet8									
賊	tsʰet8									
妻	tsʰi1									
棲	tsʰi1									
淒	tsʰi1									
趨	tsʰi1									
篩	tsʰi1									
徐	tsʰi2									
臍	tsʰi2									
隨	tsʰi2									
薺	tsʰi2									
糍	tsʰi2									
取	tsʰi3									
娶	tsʰi3									
砌	tsʰi5									
絮	tsʰi5	～瓜。								
絮	tsʰi5	【替字】用力擦。								
□	tsʰi5	用力擦。								
聚	tsʰi5									
趣	tsʰi5									
邪	tsʰia2	【又音】								
斜	tsʰia2									
且	tsʰia3									
謝	tsʰia5									
笡	tsʰia5	打～滴，傾斜點。								
竊	tsʰiak7									
䟄	tsʰiak7	雀躍地跑。								
席	tsʰiak8	～子。								
捷	tsʰiak8									
睫	tsʰiak8									
婕	tsʰiak8									
憔	tsʰiau2									
瞧	tsʰiau2									
俏	tsʰiau5									
峭	tsʰiau5									
青	tsʰiaŋ1									
清	tsʰiaŋ1	～明。								
簽	tsʰiaŋ1									
籤	tsʰiaŋ1									
晴	tsʰiaŋ2									
請	tsʰiaŋ3									
淨	tsʰiaŋ5									
漸	tsʰiaŋ5									
暫	tsʰiaŋ5									
千	tsʰien1									
遷	tsʰien1									
韆	tsʰien1									
仟	tsʰien1									
芊	tsʰien1									
全	tsʰien2	齊～。								
前	tsʰien2									
錢	tsʰien2									
醛	tsʰien2									
淺	tsʰien3									
癬	tsʰien3									
賤	tsʰien5	好～。								
踐	tsʰien5									
濺	tsʰien5									
切	tsʰiet7									
絕	tsʰiet8									
截	tsʰiet8									
侵	tsʰin1									
親	tsʰin1									
清	tsʰin1	明～。								
蜻	tsʰin1									
尋	tsʰin2									
秦	tsʰin2									
情	tsʰin2									
親	tsʰin3	【替字】彎腰低身。								
□	tsʰin3	彎腰低身。								
寢	tsʰin3									
盡	tsʰin5									
儘	tsʰin5									
沁	tsʰin5									
靖	tsʰin5									
靜	tsʰin5									
繰	tsʰio1	【替字】穿刺、縫。								
□	tsʰio1	穿刺、縫。								
灼	tsʰiok7	白～。								
趞	tsʰiok7	【替字】跳。								
□	tsʰiok7	跳。								
吮	tsʰion1	～脧，吮吸雞巴。								
全	tsʰion2	～係，全是。								
旋	tsʰion5	頭上兩隻～，頭上兩個旋。								
槍	tsʰioŋ1									
搶	tsʰioŋ3									
像	tsʰioŋ5									
七	tsʰit7									
柒	tsʰit7									
戚	tsʰit7									
漆	tsʰit7									
膝	tsʰit7									
自	tsʰit8	【又音】								
疾	tsʰit8									
嫉	tsʰit8									
秋	tsʰiu1									
鞦	tsʰiu1									
鍬	tsʰiu1									
泅	tsʰiu2									
袖	tsʰiu5									
就	tsʰiu5									
嗅	tsʰiu5									
擉	tsʰiuk7	【替字】刺。								
□	tsʰiuk7	刺。								
從	tsʰiuŋ2									
松	tsʰiuŋ2									
坐	tsʰo1									
昨	tsʰo2	～晡，昨天。								
曹	tsʰo2									
槽	tsʰo2									
草	tsʰo3									
皂	tsʰo5									
挫	tsʰo5									
造	tsʰo5									
座	tsʰo5									
錯	tsʰo5									
糙	tsʰo5									
痤	tsʰo5									
在	tsʰoi1	～哪。								
吹	tsʰoi1									
炊	tsʰoi1									
罪	tsʰoi1	～過，可憐。								
才	tsʰoi2									
纔	tsʰoi2									
材	tsʰoi2									
財	tsʰoi2									
裁	tsʰoi2									
癤	tsʰoi2	【替字】癤子。								
□	tsʰoi2	癤子。								
彩	tsʰoi3	好～，幸好。								
裁	tsʰoi3	布～，布段。								
睬	tsʰoi3									
脆	tsʰoi5									
菜	tsʰoi5									
綽	tsʰok7									
戳	tsʰok7									
昨	tsʰok8	～天								
著	tsʰok8	唔～，不對。～火。								
鑿	tsʰok8									
川	tsʰon1									
穿	tsʰon1									
栓	tsʰon1									
餐	tsʰon1									
閂	tsʰon1									
汆	tsʰon1									
傳	tsʰon2									
揣	tsʰon3									
喘	tsʰon3									
舛	tsʰon3									
串	tsʰon5									
竄	tsʰon5									
賺	tsʰon5	【替字】賺。								
撰	tsʰon5	～文。～錢。								
篡	tsʰon5									
篆	tsʰon5									
撮	tsʰot7									
啜	tsʰot7	喝。欺騙。								
丈	tsʰoŋ1	姊～，姐夫。								
倉	tsʰoŋ1									
蒼	tsʰoŋ1									
滄	tsʰoŋ1									
昌	tsʰoŋ1									
瘡	tsʰoŋ1									
倡	tsʰoŋ1									
艙	tsʰoŋ1									
猖	tsʰoŋ1									
娼	tsʰoŋ1									
鯧	tsʰoŋ1									
長	tsʰoŋ2									
場	tsʰoŋ2									
腸	tsʰoŋ2									
床	tsʰoŋ2									
藏	tsʰoŋ2									
廠	tsʰoŋ3									
創	tsʰoŋ3									
闖	tsʰoŋ3									
杖	tsʰoŋ3									
暢	tsʰoŋ3									
敞	tsʰoŋ3									
丈	tsʰoŋ5	萬～。								
狀	tsʰoŋ5									
唱	tsʰoŋ5									
撞	tsʰoŋ5									
抽	tsʰu1									
柱	tsʰu1									
苎	tsʰu1									
除	tsʰu2									
售	tsʰu2									
綢	tsʰu2									
廚	tsʰu2									
疇	tsʰu2									
稠	tsʰu2									
籌	tsʰu2									
櫥	tsʰu2									
蜍	tsʰu2									
讎	tsʰu2									
醜	tsʰu3									
丑	tsʰu3									
處	tsʰu3									
暑	tsʰu3									
鼠	tsʰu3									
杵	tsʰu3									
處	tsʰu5									
住	tsʰu5									
臭	tsʰu5									
措	tsʰu5									
紂	tsʰu5									
箸	tsʰu5									
崔	tsʰui									
催	tsʰui1									
摧	tsʰui1									
捶	tsʰui2									
錘	tsʰui2									
璀	tsʰui3									
墜	tsʰui5									
悴	tsʰui5									
罪	tsʰui5									
粹	tsʰui5									
翠	tsʰui5									
膇	tsʰui5									
促	tsʰuk7									
觸	tsʰuk7									
軸	tsʰuk8									
濁	tsʰuk8									
逐	tsʰuk8									
族	tsʰuk8									
嗽	tsʰuk8	【替字】～，咳嗽。								
□	tsʰuk8	～，咳嗽。								
簇	tsʰuk8									
村	tsʰun1									
伸	tsʰun1	～手。								
春	tsʰun1									
椿	tsʰun1									
膥	tsʰun1	蛋。								
蹲	tsʰun2									
蠢	tsʰun3									
寸	tsʰun5									
出	tsʰut7									
齣	tsʰut7									
捽	tsʰut8	～子，橡皮擦。								
匆	tsʰuŋ1									
沖	tsʰuŋ1									
衝	tsʰuŋ1									
充	tsʰuŋ1									
囪	tsʰuŋ1									
蔥	tsʰuŋ1									
窗	tsʰuŋ1									
聰	tsʰuŋ1									
叢	tsʰuŋ2									
蟲	tsʰuŋ2									
重	tsʰuŋ2									
重	tsʰuŋ2									
祟	tsʰuŋ2									
崇	tsʰuŋ2									
寵	tsʰuŋ3									
仲	tsʰuŋ5									
銃	tsʰuŋ5									
初	tsʰɿ1									
侈	tsʰɿ1									
粗	tsʰɿ1									
稚	tsʰɿ1									
雛	tsʰɿ1									
癡	tsʰɿ1									
雉	tsʰɿ1									
自	tsʰɿ2	【又音】								
池	tsʰɿ2									
弛	tsʰɿ2									
馳	tsʰɿ2									
詞	tsʰɿ2									
遲	tsʰɿ2									
治	tsʰɿ2	～魚，殺魚。								
持	tsʰɿ2									
祠	tsʰɿ2									
瓷	tsʰɿ2									
鋤	tsʰɿ2									
慈	tsʰɿ2									
磁	tsʰɿ2									
此	tsʰɿ3									
刺	tsʰɿ3									
齒	tsʰɿ3									
始	tsʰɿ3									
恥	tsʰɿ3									
礎	tsʰɿ3									
楚	tsʰɿ3									
自	tsʰɿ5									
次	tsʰɿ5									
助	tsʰɿ5									
廁	tsʰɿ5									
飼	tsʰɿ5	～細人子，餵小孩。								
治	tsʰɿ5	～病。								
試	tsʰɿ5									
翅	tsʰɿ5									
賜	tsʰɿ5									
陳	tsʰɿn1									
稱	tsʰɿn1									
深	tsʰɿn1									
臣	tsʰɿn2									
塵	tsʰɿn2									
辰	tsʰɿn2									
呈	tsʰɿn2									
沉	tsʰɿn2									
程	tsʰɿn2									
澄	tsʰɿn2									
逞	tsʰɿn3									
疹	tsʰɿn3									
懲	tsʰɿn3									
陣	tsʰɿn5									
襯	tsʰɿn5									
秤	tsʰɿn5									
趁	tsʰɿn5									
朕	tsʰɿn5									
斥	tsʰɿt7									
擲	tsʰɿt7									
直	tsʰɿt8									
侄	tsʰɿt8									
值	tsʰɿt8									
植	tsʰɿt8									
殖	tsʰɿt8									
之	tsɿ1									
支	tsɿ1	～出。								
芝	tsɿ1									
吱	tsɿ1									
枝	tsɿ1									
肢	tsɿ1									
組	tsɿ1									
咨	tsɿ1									
姿	tsɿ1									
茲	tsɿ1									
租	tsɿ1									
脂	tsɿ1									
資	tsɿ1									
滋	tsɿ1									
蜘	tsɿ1									
狙	tsɿ1									
梔	tsɿ1	～子花。								
齜	tsɿ1	【替字】指甲抓。								
	tsɿ1	指甲抓。								
膣	tsɿ1	陰道。								
辭	tsɿ2									
雌	tsɿ2									
子	tsɿ3									
止	tsɿ3									
只	tsɿ3									
衹	tsɿ3									
仔	tsɿ3									
旨	tsɿ3									
址	tsɿ3									
阻	tsɿ3									
紙	tsɿ3									
指	tsɿ3									
籽	tsɿ3									
祖	tsɿ3									
趾	tsɿ3									
紫	tsɿ3									
芷	tsɿ3									
至	tsɿ5									
志	tsɿ5									
誌	tsɿ5									
制	tsɿ5									
製	tsɿ5									
致	tsɿ5									
緻	tsɿ5									
智	tsɿ5									
置	tsɿ5									
痣	tsɿ5									
貞	tsɿn1									
針	tsɿn1									
鍼	tsɿn1									
診	tsɿn1									
偵	tsɿn1									
征	tsɿn1									
珍	tsɿn1									
真	tsɿn1									
癥	tsɿn1									
斟	tsɿn1									
蒸	tsɿn1									
徵	tsɿn1									
枕	tsɿn3									
拯	tsɿn3									
震	tsɿn3									
鎮	tsɿn3									
整	tsɿn3	～理。								
正	tsɿn5									
證	tsɿn5									
怔	tsɿn5									
政	tsɿn5									
振	tsɿn5									
症	tsɿn5									
只	tsɿt7	【又音】								
衹	tsɿt7	【又音】								
汁	tsɿt7									
執	tsɿt7									
幟	tsɿt7									
質	tsɿt7									
織	tsɿt7									
摯	tsɿt7									
秩	tsɿt7									
職	tsɿt7									
熾	tsɿt7									
都	tu1									
徒	tu2									
肚	tu3									
堵	tu3									
睹	tu3									
賭	tu5									
隊	tui5									
對	tui5									
啄	tuk7									
督	tuk7									
涿	tuk7									
㞘	tuk7	底部。								
噸	tun1									
敦	tun1									
墩	tun1									
盹	tun3									
頓	tun3									
墩	tun3	【替字】～子，墩子。								
□	tun3	～子，墩子。								
遁	tun3									
揬	tut7	【替字】輕碰。								
□	tut7	輕碰。								
中	tuŋ1	～心。								
東	tuŋ1									
東	tuŋ1	【替字】鈍物頂住。								
□	tuŋ1	鈍物頂住。								
冬	tuŋ1									
咚	tuŋ2									
董	tuŋ3									
懂	tuŋ3									
