				编号	字头	汀角	东平洲
				329	蠶	tsʰan11{~豆：蠶豆}；tsʰam11{~蟲：蠶}	tsʰam11
				330	芝	tsi13	tsi33
				331	麻	ma11	ma11
				332	角	kɔk35{豆~：豇豆}；kok35{松雞~：松球}	kɔk55{~菜：菠菜}；kok55{松雞~：松球}
				333	扁	pin35	pin35
				334	番	fan13	fan33
				335	薯	si11	su11
				336	蘑	mɔ11	mɔ11
				337	菇	ku13	ku13
				338	栗	lɐt55	lɐt55
				339	蠟	lap55	lap55
				340	蔗	tsε13	tsa13
				341	青	tsʰiɛŋ13{~菜：蔬菜}；tsʰiεŋ13{~瓜：黃瓜}	tsʰiεŋ33
				342	白	pak55{~玉蘭：白蘭花}；pɐk55{~：白(幹)}	pʰak55{黃芽~：洋白菜}；pʰɐk55{~：白(幹)}
				343	茄	kʰiɔ11	kʰiɔ11
				344	絲	si13	si33
				345	瓜	ka13	ka33
				346	冬	toŋ13	toŋ33
				347	蘿	lɔ11	lɔ11
				348	蔔	pak55	pʰɐk55
				349	辣	lat55	lat55
				350	椒	tsiu13	tsiu33
				351	蕹	oŋ13	oŋ13
				352	韭	kɐu35	kɐu35
				353	莧	han55	hin55
				354	芥	kai13	kai13
				355	芹	kʰɐn11	kʰɐn11
				356	芫	jim11	jim11
				357	荽	sɐi13	sɐi33
				358	脈	mak55{~門：手腕}；mɐk55{打~：號脈}	mak35{~仔：萵苣}；mɐk55{把~：號脈}
				359	潺	tsʰan11	tsʰan11
				360	姑	kʰu13{芽~：慈姑}；ku13{姩~：乳房}	ku33
				361	蓮	lin11	lin11
				362	藕	ŋɐu13	ŋɐu13
				363	馬	ma13	ma13
				364	蹄	tʰɐi11{馬~：荸薺}；tʰai11{~：蹄子}	tʰɐi11{馬~：荸薺}；tʰai11{~：蹄子}；tʰɐi35{鴨乸~：羅圈腿}
				365	菱	lɐŋ11	lɐŋ11
				366	蔥	tsʰoŋ13	tsʰoŋ33
				367	蒜	sin13	sun13
				368	藠	kʰiu13	kʰiu13
				369	薑	kiɔŋ13	kiɔŋ33
				370	梗	kʰaŋ35	kʰaŋ35{~：(茶葉)梗}；kaŋ35{樹~：樹枝}
				371	根	kɐn13	kɐn13{菜~：菜根(細 / 根)}；kɐn33{竹~：竹根}
				372	生	saŋ13{~果：水果(概 / 稱)}；tsʰaŋ13{傢~：工具}；saŋ11{接~：接生}	saŋ33{~果：水果(概 / 稱)}；tsʰaŋ13{傢~：工具}；saŋ11{接~：接生}
				373	果	kɔ35	kɔ35
				374	桃	tʰɐu11	tʰau11{~仔：桃兒(果)}；tʰɐu11{合~：核桃(子)}
				375	杏	hɐŋ55	hɐŋ55
				376	李	li35	li35
				377	腍	lɐm11	
				378	柿	sɐi13	sɐi13
				379	榴	lɐu11	lɐu11
				380	梨	li11	li11
				381	橘	kɐt35	kɐt55
				382	橙	tsʰaŋ11	tsʰaŋ11
				383	梅	mui11	mui11
				384	菩	pʰu11	pʰu11
				385	提	tʰɐi11	tʰɐi11
				386	櫻		jɐŋ13
				387	欖	lam35	lam35
				388	棗	tsɐu35	tsɐu35
				389	核	hɐt55{~桃：核桃(子)}；vɐt55{~：(子)核兒}；hak55{~春：睪丸}	vɐt55{~：(子)核兒}；hak55{~仁：睪丸}
				390	合		hɐp55{~桃：核桃(子)}；hap55{~：合(不來)}
				391	楂	tsa13	tsa33
				392	香	hiɔŋ13	hiɔŋ33
				393	蕉	tsiu13	tsiu33
				394	荔	lɐi55	lɐi55
				395	枝	tsi13	tsi33
				396	西	sɐi13	sɐi33
				397	皮	pʰi11{~：(子)皮兒}；pʰi35{~：痂}	pʰi11
				398	花	fa13	fa33{~：花兒}；fa13{雞春~：雞蛋花}
				399	桂	kɐi13	kɐi33
				400	杜	tu55	tʰau55
				401	鵑	kin13	kun33
				402	茉	mut55	mut55
				403	莉	li55	li55
				404	玉	jok55	
				405	菊	kʰok35	kʰok55
				406	向	hiɔŋ13	hiɔŋ33{~日葵：向日葵}；hiɔŋ13{一~：一向}
				407	葵	kʰɐi11	kʰɐi11
				408	棉	min11	min11
				409	楓	foŋ13	foŋ33
				410	樹	si55	su55{楓~：楓樹}；su5{柏~：柏樹}
				411	苦	fu35	fu35
				412	楝	lin55	lin55
				413	柳	lɐu13	lɐu13
				414	桑	sɔŋ13	sɔŋ33
				415	榕	joŋ11	joŋ11
				416	梧	ŋ11	ŋ11
				417	桐	tʰoŋ11	tʰoŋ11
				418	棕	tsoŋ13	tsoŋ13
				419	櫚	lui13	li13
				420	樟	tsiɔŋ13	tsɔŋ33
				421	殼	hɔk35{竹~：竹衣}；hɔk13{飯~：(飯)勺兒}	hɔk55
				422	筍	sɐn35	sɐn35
				423	篾	mit55	mit55
				424	茅		mau11
				425	榔		lɔŋ13
				426	苔	tʰui11	tʰui11
				427	溜		lau13
				428	蘆	lu11	lu11
				429	葦	vɐi13	vɐi55
				430	艾	ŋai55	ŋai55
				431	椏	a13	
				432	墩		tʰɐn35
				433	葉	jip55	jip55
				434	箬	jɔk55	
				435	粽	tsoŋ11	tsoŋ13
				436	竻	lɐk55	lɐk55
				437	杉	tsʰam13	tsʰam13
				438	柏	pʰak35	pʰak55
				439	松	tsʰoŋ11	tsʰoŋ11
				440	淚	lui55	lui35
				441	膠	kau13	kau33
				442	橡	tsiɔŋ55	tsʰiɔŋ55
				443	畜	tsʰok55	tsʰok55
				444	牲	saŋ13	saŋ33
				445	乸	la13{牛~：母牛}；la35{鴨~腳：羅圈腿}	la13{牛~：母牛}；la35{蛤~：青蛙(青皮 / 田蛙)}
				446	吥	pɐt55{~：(牛用角) / 頂}；pɐt35{~飯：盛飯}	pɐt55
				447	羊	jɔŋ11	jɔŋ11
				448	婆	pʰɔ11	pʰɔ11
