	注释：-白读；=文读			
l	[2]笼{火～：用竹篾编织的花篮状小笼，旧时用于冬季取暖}砻{土～：用于脱粒的石磨状器具}聋{耳～：聋子}咙{喉～}垅{田里低凹的地方}窿{窟～}[6]弄{玩～}□{□puoŋ242-53～：太阳穴}□{箸～：装筷子的器皿}			
ts	[1]棕鬃□{揪}[2]□{用水～：以水冲}[3]□{萝卜～：萝卜缨}[5]粽			
tsʰ	[1]菖{～蒲}葱-{～姜蒜}□{□nœy35-33～：被人指责多管闲事}[5]□{起疙瘩，动词。毛管～：起鸡皮疙瘩}			
θ	[1]双鬆{～紧}[3]㧐{用力推，互相推搡}𢱤{用力推，互相推搡}[5]送			
k	[1]江-{闽～：福建省最大的独流入海的河流}公-{牛～：公牛}工-{蜀～：一天}[3]港[6]共-{一样、相同；和、跟}			
kʰ	[1]空-{～的}蚣{□iŋ53-33～：蜈蚣}‖[10]□{～嗽：咳嗽}			
x	[1]烘[5]苋{～菜}			
∅	[2]红-{～色}[5]瓮{金～：装骨殖的坛子}			
#yøŋ				
t	[1]张={姓}[2]长={～乐：地名}场{做～：道士设坛做法事}[3]长{～大；县～}[5]帐{蠓～：蚊帐}账胀涨[6]长{多余、剩下。《广韵》：丁丈反}丈={～侬：丈人}			
tʰ	[1]张-{量词}[5]畅{很过瘾。讲～：开玩笑}[6]杖{～囝：拐杖}仗			
n	[2]娘[6]让			
l	[2]良粮凉量{动词}梁粱[3]两{斤～}[6]谅亮量{重～}□{量词，蜀～墨：一块墨}			
ts	[1]专砖将{～来；抱养；～娘奶：奶妈}浆{腐～：豆浆}章漳樟彰□{～做：怎么样}[3]蒋奖掌{～鞋：鞋底穿薄或破洞后钉补鞋底}[5]障瘴{发～：发瘟疫，家畜得疫死亡}将{～领}酱			
tsʰ	[1]枪昌娼鲳□{□ku21～□mɛ23：屁股蛋}[2]墙□{～□ŋyŋ53：杨梅}[3]抢厂[5]唱倡[6]象像橡匠上-{～门板：木结构的建筑在关门时把片状的门板一块块镶嵌上去（上下有暗槽，可以固定门板）}绱{给鞋纳边}			
θ	[1]相={互～}厢箱湘襄{～阳：地名}镶{嵌}商伤[2]详祥常裳尝偿‖□{～□lai23：逆水}□{保～命：把命看得太重}[3]鲞{较大的鱼晒成的鱼干}想赏[5]相{～片}[6]尚{和～}痒上={动词；方位词}□{～胎：交配}			
k	[1]绢娟捐鹃{杜～}僵{～去：僵持不下}疆姜{姓；～母：老姜}[2]强{～大}[3]强{勉～}[5]建健毽键			
kʰ	[1]腔			
ŋ	[2]言			
x	[1]香{鼎～：锅底灰}乡[3]享响[5]宪献向			
∅	[1]鸯渊蔫{食物不新鲜，多用于果蔬}央殃[2]然燃={～料}沿铅{～笔}延缘羊洋阳扬杨疡[3]壤养{～囝：生孩子}[5]映{反～}[6]件样漾{水～来～去：水荡漾}			
#ouŋ				
p	[1]帮□{围～：围篱笆}[2]旁[3]绑{～架}膀{翼～：翅膀}			
pʰ	[6]蚌泵{水～}碰			
m	[1]□{蕨类的芒草；当柴火用的蕨}[2]忙茫[3]蟒{～蛇}[6]氓			
t	[1]墩={～实}钝{不锋利；笨}当{应～}中-{日～：白天；□tei21～：中间}镦{～鸡：阉割过的公鸡，也可指人不善交际、性格内向}[2]堂{上～：上课；落～：下课}唐塘{鱼～}长-{～短}肠[3]墩-{桥～；□tiŋ21～：厚的、有角的菜墩。塗～：较大的土坯}断-{索～：绳子断了}党挡□{浮肿；水～：水涨起来}[5]顿-{一～饭}当{～铺}□{跺脚}□{捅}[6]段{蜀～墙：一面墙}锻盪{漱口}丈-{长度单位}撞□{～雨：下雨。～雹：下冰雹；□tɔ35-21～：掉}			
tʰ	[1]吞汤{～壶：热水壶}[2]豚{猪～：半大不小的猪}糖[5]褪{脱}[6]□{加热冷却的食物}			
n	[1]□{～□miaŋ53：什么}[2]囊瓤□{用拇指和食指将东西捻碎；把两股绳子搓成一条}‖郎-{～爸：父亲；～娘：母亲。均指称别人的父母亲}[3]暖-{真～：很暖和}‖□{～□maŋ53□maŋ242：房间等很乱}[5]□{凌乱}[6]嫩{小，细}酿			
l	[2]郎={新～}廊{扫～：过年前给房子掸尘}榔狼□{～被：绗被子。也可用于衣服的缝制}□{裤～：短裤}‖□{久～：时间长}□{□tɔ35～喙：漱口。前两字可能是“盪”的分音词}[3]朗□{羊毛～：毛衣}□{量词，用于山}[5]□{荡漾}[6]卵-{蛋；溪头～：鹅卵石}论{议～}浪‖[9]□{□kɔ21～粒：整个}			
ts	[1]钻{名词；动词}尊遵庄桩赃装妆□{～病：治病}[2]存藏{收～}[5]葬[6]藏{西～}脏{内～}壮状			
tsʰ	[1]村仓舱苍疮窗[2]床[5]寸创闩{大门闩。可作动词}闯			
θ	[1]宣酸孙桑丧{～事}霜孀相-{～拍：吵架}[3]选损爽磉{～盘：垫在柱下石墩底下的方状基石}[5]算蒜□{用绳子勒脖子；绞}			
k	[1]根={～本}江={～西}扛{（两人以上）抬。～轿：抬轿}豇{～豆}缸肛刚纲[2]□{形容词，烫、燥热；动词，用火烫}[3]讲冈{井～山}岗{山～顶：山顶}[5]降{下～，霜～}钢杠			
kʰ	[1]昆坤康慷糠[3]垦恳[5]困睏{～眠：睡}抗囥{藏}			
ŋ	[2]昂{头～起来：头仰起来}[6]憨{傻}			
x	[1]薰-{食～：抽烟}[2]痕{～迹}行{油～：油坊}杭航降{投～}[3]坊{洋～：当地地名}[6]恨项{羊～：羊的脖子}			
∅	[1]恩秧[2]□{时间长}□{这～：现在}[3]影-{影子}[5]眏{看。《集韵》於庆切，音映。视也}[6]笐{竹～：晒衣服用的竹竿}			
#uoŋ				
p	[1]分-{～开}[2]盆[3]本畚[6]饭-{早饭，也可统称饭}□{～□løŋ242：太阳穴}			
m	[2]门[5]问-{～好}□{副词，越来越}			
t	[1]□{着～：在哪里}[2]传{～送}[3]转[6]传{～记}篆□{摞}			
tʰ	[2]椽{放在檩上的木条}			
n	[3]暖={温～}软			
l	[6]恋卵={～巢}			
ts	[2]全泉			
tsʰ	[1]穿{～针}川□{伸、伸直}[2]□{蹲}[5]串			
θ	[2]旋□{昆虫或蛇缓慢爬行}[6]□{舔}□{番～：芒果树}			
k	[1]关-{～门}光[2]权狂{发～：非常生气}[3]管-{火～：烧火时用来吹火的长管；米～：量米竹筒；毛～：汗毛}卷{～起}广□{～桥：拱桥}[5]卷{试～}券眷桊{～牛鼻：牛鼻上穿的小铁环或小木棍}			
kʰ	[2]狂楻{～～：装稻谷的大木桶；粪～：粪坑}[3]矿圹{墓～：墓穴}[5]劝框{跳～：跳房子（一种儿童游戏）}眶筐况[6]□{□puo33□lau53～：稻子和稻子之间的空间}			
ŋ	[2]元原源[6]愿			
x	[1]昏婚荒慌方芳[2]园{单说可指旱地}皇凰蝗{～虫}防妨[3]晃仿访纺={～纱}□{～草：茅草}[5]楦{鞋～}放={解～}□{疖子}[6]远-{～近}			
∅	[1]冤鸳汪[2]完丸{臭～：樟脑丸}圆={团～}员袁援黄簧磺{硫～}亡王{猫～：猫头鹰，也可说“猫王鸟”}□{～线：绕线、缠线}□{～□lai53：菠萝}[3]远={永～}往枉网={～吧}[5]怨[6]忘望={希～}旺{人丁兴旺或庄稼长势好}□{日～：日晕}			
#ik				
p	[7]笔必毕弼{～马温}逼擘{开裂}煏{用少许的油将肉中的油煎出来}			
pʰ	[7]匹碧辟{开～；复～}霹壁={赤～}璧□{做～：发脾气}[8]□{水从小孔喷射而出}			
m	[8]域密={秘～}蜜□{躲；钻进去}			
t	[7]的{目～}滴[8]蛰{惊～}侄直{～□tʰau53：一直}值笛敌□{要}□{拍～结：打结}□{蜀～厝：一间房，长条形}			
tʰ	[7]剔踢			
n	[7]□{～囝：一点儿；～久：一会儿}[8]入-{塞进去}日匿□{～□kaŋ35汝～：强迫给你东西}□{不要（“唔”和“□tik5要”的合音）}			
l	[8]立笠栗{～子：板栗}力历{经～；日～}沥{～青}‖□{□ki35-21～：挠胳肢痒痒}			
ts	[7]执质即鲫{塗～：小鲫鱼；塗～板：大鲫鱼}织职积{～食}迹={痕～}脊绩[8]缉辑集疾籍□{□kʰik21～：心情不好}			
tsʰ	[7]七漆拭{擦}赤={～膊}戚{亲～}			
θ	[7]袭湿拾={收～}悉失蚀{月～}室息识式饰锡惜适释蟋析[8]植殖实习屑-{发～：头皮屑}食={粮～}翼{～～：翅膀，带小称义}席{主～}夕{～阳}□{□tyøʔ5～：故意}			
k	[7]急桔{～梗}橘{橘子}吉击激[8]及极棘{刺，动词}			
kʰ	[7]泣□{～亏：生活贫困；人身体或心理难受}□{～□tsik5：心情不好}			
ŋ	[7]级吸[8]□{凝结}□{发呆}			
x	[7]熻{空气不流通。～饭：焖饭}[8]□{抽鼻涕}			
∅	[7]乙一{用于数字，不与量词组合}益□{食物不新鲜。与“蔫”相比，范围较广，可指鱼肉}[8]入={～口}抑肄逸译易{交～}役疫液={～体}			
#uk				
p	[7]不{“不”为字面读音}腹-{～肚：肚子}□{～□lɔ35-53盖：宝盖头}[8]卜{萝～}			
pʰ	[7]扑朴覆-{趴}□{硬币没有阿拉伯数字的一面}			
m	[8]没{～收}木沐穆{～桂英：人名}牧睦目={～的}			
t	[7]督厾{轻轻触碰、点。锡～：焊锡}[8]独毒			
tʰ	[8]突秃□{讲话真～：言语生硬}			
l	[8]律鹿={梅花～}禄绿={～林}□{扔}‖□{□ku21～：大口喝}			
ts	[7]卒{棋子之一}[8]族			
tsʰ	[7]出啜{喝}[8]簇			
θ	[7]戍束速[8]术{白～：药名；艺～}秫{～米：糯米}述			
k	[7]谷{～雨}[8]掘{～笋：挖笋}			
kʰ	[7]屈窟=酷			
x	[7]拂{～手：鸡毛掸子}福幅[8]佛复{～杂；反～}腹={心～}覆={～盖}服伏茯袱			
∅	[7]熨{～斗}屋握{～手}龌{～龊}[8]物恶{可～}□{甩}			
#yk				
t	[7]竹筑{～杵：筑墙用的木棍}□{堵气}[8]逐{追赶，驱逐；～日：每天；～年：每年}轴			
tʰ	[7]□{缩，～水：缩水}			
n	[7]□{用力使之缩短}[8]肉□{揉，～面粉：和面}			
l	[8]率{效～}陆{大～}			
ts	[7]祝粥叔足			
tsʰ	[7]促触□{讨厌}□{牙齿～：牙垢}[8]□{踩}			
θ	[7]宿{～舍}熟-{瓜果熟透}[8]肃粟={～米}淑熟={食物煮熟}塾俗赎续属			
k	[7]菊鞠□{～气：憋住气}□{～死：淹死}[8]□{浓稠}			
kʰ	[7]乞{～食：乞丐；给；被}麯{酒～}曲={～折}			
ŋ	[8]玉={～皇大帝}			
x	[7]畜蓄旭			
∅	[8]育辱褥浴欲□{～起：摔倒后爬起；起床}			
#ak				
p	[8]跋={序～}拔=			
pʰ	[8]□{溢}			
t	[7]答搭妲{～己：人名}□{～桌：拍桌子}□{油～馃：油条}[8]踏达□{～被：绗被子，一般仅用于被子}			
tʰ	[7]塔蹋塌□{笔～：笔帽；刀～：刀鞘}[8]叠			
n	[8]纳捺			
l	[7]瘌{～头：秃头}□{～囝：喜欢吹嘘、逞强的人}[8]腊蜡猎粒拉-{～开}辣□{～水：涉水，专指水面较宽，水较深，略有阻力时}□{捋}□{□kʰa33-21～：修理}			
ts	[7]扎{～实}扎{绑紧，袖管～起来：卷袖子；驻～}□{使出浑身解数}[8]杂闸铡□{剁}			
tsʰ	[7]插察擦			
θ	[7]萨杀刹{～车}煞{～气：晦气}[8]煠{水煮}□{～母：蟑螂}			
k	[7]合-{～股：参股、合伙}蛤{花～}夹-{一～：米罐的刻度，相当于一两}裌{～囝、～～：贴身的背心}甲胛鸽{白～：鸽子}割{～冬：收割晚稻的那段时间；～早：收割早稻的那段时间}葛{藤本植物，可制成葛粉}瞎{光～：白内障}□{～垢：污垢}□{萝卜～：萝卜缨，比“萝卜□tsøŋ33”说法更常用}□{竹～：竹筐中起支撑作用的粗竹骨。□tsiak21～：簟两头的竹竿}□{青～：大的青蛙，也可统称青蛙}□{～瘥：病情好转}[8]□{粘住}□{无～食：不要紧}			
kʰ	[7]渴拾-{～囝：接生；～子：儿童在手中抛捡小石子的游戏}□{～～糖：麦芽糖}□{副词，太}□{～水：灌溉}□{～柴：砍柴}			
x	[7]喝{～彩}□{～刀：鐾刀}[8]合{～作}辖□{拍～□tsʰi242：打喷嚏}□{～钱：找零钱}			
∅	[7]鸭押压[8]盒匣			
#iak				
p	[8]拍-{拍打}			
pʰ	[7]□{～水：倒水}			
t	[8]□{奔跑}			
tʰ	[7]獭{水～}拆□{～目珠：眨眼}			
n	[7]聂□{动词，揽在怀里}□{闪。～线：闪电}[8]热-{～痱：痱子}			
l	[7]□{鞋～：拖鞋}□{用手掌煽（耳光等）}[8]裂			
ts	[7]□{晒谷子用的席子}□{溅}			
tsʰ	[7]赤-{～豆：小红豆}镲{～～：铜钹之类的乐器}□{筋扭伤}□{～番薯：把地瓜推成较细的丝状}			
k	[8]□{翘起来。秤尾～：秤尾高}			
kʰ	[8]缺{水～：田埂上用来通水的缺口}			
ŋ	[8]额□{剪}□{抬；头～□tɛiŋ33：头抬起来}			
x	[8]页□{毛～：飞蛾}			
∅	[8]□{动词，扇：招手}			
#uak				
p	[7]钵拨[8]跋-{跌倒}			
pʰ	[7]泼□{～草：割草}[8]□{手搭上去}□{～水：在水井里打水；～桶：吊桶}□{跨}			
m	[7]抹[8]末沫			
t	[8]夺={～取}			
k	[7]括刮			
kʰ	[7]阔			
x	[7]法發={～展}[8]乏{～力：疲劳}阀罚滑={～头：处世圆滑}猾			
∅	[7]挖-{用手～番薯：用手扒土里的地瓜}划[8]活袜曰{子～：指某人说一些深奥难懂或吹嘘的话}‖□{合□θau35～：不正当的男女关系}			
#eik				
p	[7]百={将军～战死}伯={～乐}柏={～油路}八{数字；认识、知晓}北{又pœyk21}[8]白={～中：闽清地名}拔-{～草}帛			
m	[8]密-{紧密、严密}			
t	[7]得德[8]特{～意：故意}泽□{过滤，将水份沥干}			
tʰ	[7]帖贴			
ts	[7]汁节-{做～：过节}则责[8]截{～间：隔开}			
tsʰ	[7]侧测策[8]贼{～囝：小偷}			
θ	[7]涩虱{～母：虱子}塞色[8]十切-{～菜}			
k	[7]锲{镰刀}格={～～不入}革隔={～阂}戒{～薰：戒烟；猪八～}[8]夹={～心}□{把尿}□{阉割（牛），～公：阉割公牛}			
kʰ	[7]刻客={～气}□{目珠～着：闭眼}□{～外去：挤出去、逼出；～油：榨油}			
x	[7]血黑[8]获划{笔～}□{疲惫}			
∅	[8]狭-{很窄}			
#iek				
p	[7]别{～针}鳖□{袖管～起来：卷袖子}[8]别{区～}			
pʰ	[7]撇劈□{～囝：比较矮小的厢房，常作为厨房等}			
m	[8]灭篾{竹～}			
t	[7]哲[8]碟牒{谱～}蝶谍秩{六十～：六十岁}			
tʰ	[7]彻撤铁			
n	[8]廿{二十，用于二十以上的数字，如：廿一}			
l	[8]列烈			
ts	[7]节={～目}接折={折叠}浙捷[8]‖□{～□ki55：这个}			
tsʰ	[7]妾切={～面：较粗较扁的手工面条}窃[8]蠞{梭子蟹}蠘{梭子蟹}□{极伤身。～痨：肺结核}			
θ	[7]设[8]涉舌折-{（骨头等较硬的东西）折断}			
k	[7]夹-{～菜}劫蝎{～子，见于中药}洁结[8]杰			
kʰ	[7]荚缺-{缺个口子。～喙：豁嘴}			
ŋ	[7]镊{名词，动词}[8]孽{脾气古怪，固执}业			
x	[7]摄{～像}□{火焰较远掠过}□{～□nɛ33：那里}[8]峡狭={～隘}胁协穴			
∅	‖[7]□{□pi21□pa21老～：蝙蝠}[8]热={闹～：热闹}叶{姓}			
#œyk				
p	[7]北{又peik21}			
pʰ	[7]迫魄[8]雹{□touŋ242～：下冰雹}			
m	[8]墨默目-{树～：树的枝桠被砍之后留下的节疤处}□{～虱：放屁虫}			
t	[7]□{牛等动物用角顶；动物相斗}□{砍}□{～虱母：挤虱子}			
tʰ	[7]□{捅、戳}[8]读			
l	[8]鹿-{～茸}六□{捞、过滤}□{沟～河：田间小沟}			
tsʰ	[8]凿{～囝：用来雕刻的小凿子}戳			
θ	[7]摔{～桌：拍桌子}[8]□{在庙里求签的动作，将签放在签筒中反复颠簸}			
k	[7]角{～～：角落；牛～；鸡～：公鸡}			
kʰ	[7]壳			
x	[8]或惑斛{收割稻子等谷物脱粒时用的大木桶，方形口。墙～：筑墙时所用的木板}			
#yøk				
n	[8]虐疟			
l	[8]略{大～：大概}掠			
tsʰ	[7]雀鹊芍酌			
θ	[7]屑={纸～}削{剥～}			
k	[7]决诀□{阉割猪}			
kʰ	[7]脚却[8]剧			
x	[7]歇			
∅	[7]约[8]悦弱			
#ɔuk				
p	[7]髪-{头～；～瘴：发瘟疫，家畜得疫死亡}搏博剥驳卜{占～}□{水坝放水或物体从中间裂开}[8]勃薄={～命}			
pʰ	[8]□{泡沫}□{塗～：土块}			
m	[7]幕□{煮～：煮烂}[8]莫=			
t	[7]掇{端，一般指较重的物体}卓啄[8]夺-{～过来}			
tʰ	[7]脱{～轮：脱臼}拓{～片；开～}□{很烫；在沸水里烫一下}[8]□{～后：落后}□{□tʰi23～□tʰi23～：走路很慢（重叠短语）}□{较大面积地凹陷进去}			
l	[7]□{～水：涉水，专指水较小、较浅，阻力不大时}□{溜达、散步}[8]落={～后}洛{～阳：地名}骆{姓}乐{快～}			
ts	[8]浊			
tsʰ	[7]撮{～药：买中药}龊{龌～}□{借（比“借”一音更常用）}[8]□{随机抽取}			
θ	[7]率{～领}蟀刷缩			
k	[7]各觉骨□{～□tøŋ23：一种山坑里的蛙}□{～猪毛：用一种巴掌大小铁皮制成的工具扒猪毛}‖[8]滑-{地兜～：地板滑}			
kʰ	[7]确窟-{酒～：酒窝}壑[8]□{木鱼}□{～～板：快板，也叫“～板”}			
ŋ	[7]鳄[8]岳{姓}乐{音～}			
x	[8]核{骹目～：脚踝}学={～习}鹤			
∅	[7]恶{～人}[8]□{将积水扫干或擦干}			
#uok				
p	[7]脖{脰～：脖子}			
ts	[8]绝			
θ	[7]雪说[8]踅{～螺风：旋风}蜀{一，数词，与量词组合}			
k	[7]蕨{蕨菜，可食用}国			
kʰ	[7]缺={～点}扩			
ŋ	[8]月			
∅	[8]越{～南}粤			
#aʔ				
p	[8]白-{～色}			
m	[8]麦脉□{摊～：炫富}			
tʰ	[8]宅			
n	[8]□{只有；～唔是：如果，表假设}			
tsʰ	[8]□{搀}			
k	[8]□{撬东西}			
#iaʔ				
t	[8]籴			
n	[8]搦{捉；细～：身材纤细}			
θ	[8]食-{吃。～力：用力、使劲}			
#ɛʔ				
n	[8]□{踩}			
#œʔ				
k	[8]□{丢弃，扔，抛掷}			
∅	[8]□{恶心、呕吐、呕气}			
#yøʔ				
t	[8]着{～火。可作动词或介词，相当于普通话“在”}□{～□θik5：故意}□{一定}			
n	[8]箬{叶子。小～：当地地名}			
tsʰ	[8]席{篾～：睡觉用的竹席}			
θ	[8]石{～头母：大石头}液-{手出～：手出汗；骹出～：脚出汗}□{突然窜出来}			
∅	[8]药跃□{门～：门闩，即关门后，插在门内使门推不开的木棍或铁棍，一般用于小门}			
#ɔʔ				
p	[8]薄-{厚～}箔{锡～}泊{投～：投亲靠友}			
m	[8]膜{竹～：竹子中间的薄膜}莫-{不要}□{暗～：黢黑}			
t	[8]择{把菜梗或黄叶部分摘除}			
n	[8]□{随意把玩}□{用手指轻揉}懦诺□{动作慢}			
l	[8]落-{～下来：掉落；～雪：下雪}□{胳～下：腋下}			
θ	[8]镯			
∅	[8]学-			
#uoʔ				
p	[8]缚-{绑}			
l	[8]录绿-{～色}			
k	[8]局			
ŋ	[8]玉-{～镯}			
#ŋ̍				
∅	[11]唔{否定词，自成音节鼻音，鼻音部位随后字声母部位而变，分别读m̩-55、n̩-55、ŋ̍-55。快读时，常与后字合音，如“唔通”ŋ̍-55tʰøŋ35>nøŋ-55：不要}			
