例字	注释	中古音	公平	九屋	潭下	甘棠
斧		遇合三上麌非	fʊ55	fu422	fu44	fʊ44
腐		遇合三上麌奉	fʊ35	fu21	fu21	fʊ44
武		遇合三上麌微	u33/ŋ̩33	u21	ŋ̩21	ʊ44
娶		遇合三上麌从	tsʰəu55	tsʰɿ21	tʃʰy21	tʃʰʏ44
柱		遇合三上麌澄	tiəu33	tɯ21	ty21	tʏ44
数	{动~}	遇合三上麌生	ʃəu55	səu422	sᵘɔu44	sʊ44
主		遇合三上麌章	tʃəu55	tsu422	tʃy44	tʃʏ44
竖		遇合三上麌禅	ʃəu33	təŋ53{训读}	ʃy53	15
雨		遇合三上麌云	iəu33	ɯ21	y21	ʏ44
羽		遇合三上麌云		y53{借桂}	y21	ʏ44
附		遇合三去遇奉	fʊ35	fu53	fu53	15
雾		遇合三去遇微	u53	u53	u53	ʊ21
住		遇合三去遇澄	tiəu53	tɯ53	ty53	tʏ21
数	{名词}	遇合三去遇生	ʃəu35	su35	sᵘɔu35/ʃy35	sʊ35
树		遇合三去遇禅	ʃəu53	su53	ʃy53	ʃʏ21
句		遇合三去遇见	kiəu35	kɯ35	tʃy35	kʏ35
具		遇合三去遇群		kɯ35	tʃy53	kʏ21
遇		遇合三去遇疑	i53	ɯ53	y53	ʏ21
芋		遇合三去遇云	i53	ɯ53	y53	ʏ21
胎		蟹开一平咍透	tʰæ44	tʰuo232	tʰuɯ13	tʰye132
台		蟹开一平咍定	ta21	tuo33	tuɯ33	tye22
来		蟹开一平咍来	la21	nuo33	nuɯ33	nye22
灾		蟹开一平咍精	tʃiᴇ33	tsuo232	tsa13	tʃye132
猜		蟹开一平咍清	tsʰa44	tsʰuo232	tsʰuɯ13	tʃʰye132
才		蟹开一平咍从	tsa21	tsuo33	tsuɯ33	tʃye22
腮		蟹开一平咍心	sa44	suo232	suɯ13	ʃye132
该		蟹开一平咍见	ka44	kuo232	ka13	kai44{变调}
开		蟹开一平咍溪	ha44	huo232	kʰuɯ13	kʰye132
待		蟹开一上海定		tuo53	tuɯ35	tye21
彩		蟹开一上海清	tsʰa55	tsʰai53{借桂}	tsʰuɯ21	tʃʰye44
在		蟹开一上海从	tsa33	tsuo21	tsuɯ21	tʃye44
改		蟹开一上海见	ka55	kuo422	ka44	ka44
海		蟹开一上海晓	ha55	huo422	ha44	ha44
戴		蟹开一去代端	tæ35	tuo35	tuɯ35	tye35
态		蟹开一去代透		tʰai35{借桂}	tʰuɯ53	tʰai35
袋		蟹开一去代定	tæ35	tuo53	tuɯ53	tye21
耐		蟹开一去代泥	na53	nuo53	nuɯ53	ȵye21
再		蟹开一去代精	tsa35	tsuo35	tsai35{借桂}	tʃye35
菜		蟹开一去代清	tsʰa35	tsʰuo53	tsʰuɯ53	tʃʰye35
赛		蟹开一去代心		suo35	sa35	sua35
概		蟹开一去代见		kʰuo35	kʰa35	kʰa35
碍		蟹开一去代疑	ŋa53	uo53	a53	15
爱		蟹开一去代影	a35	uo35	ai35	ŋye35
贝		蟹开一去泰帮	pæ35	pi35	pi35	pei35
带		蟹开一去泰端	ta53	tuo35	tuɯ35	tye35
太		蟹开一去泰透	tʰæ35	tʰɤᵊ422	tʰuɯ53	tʰai5
赖		蟹开一去泰来	læ53	nuo53	na53	nua21
蔡		蟹开一去泰清	tsʰa35	tsʰuo53	tsʰuɯ53	tʃʰye35
盖		蟹开一去泰见	ka35	kuo232	kuɯ35	kye35
艾		蟹开一去泰疑	ŋa53	uo53	a53	ŋye21
害		蟹开一去泰匣	ha53	huo53	ha53	ha21
排		蟹开二平皆並	pᴇ21	puo33	pa33	pua22
埋		蟹开二平皆明	mᴇ21	muo33	ma33	mua22
斋		蟹开二平皆庄	tʃiᴇ44	tsuo232	tsa13	tsua132
豺		蟹开二平皆崇		tsuo33	tsuɯ33	tsua22
阶		蟹开二平皆见	ka44	kuo232	ka13	ka132
拜		蟹开二去怪帮	pᴇ35	puo35	pa35	pua35
介		蟹开二去怪见	ka35	kuo35	ka35	ka35
戒		蟹开二去怪见	ka35	kuo35	ka35	ka44{变调}
牌		蟹开二平佳並	pᴇ21	puo33	pa33	pua22
柴		蟹开二平佳崇	tʃiᴇ21	tsuo33	tsa33	tsua22
筛	~子	蟹开二平佳生	ʃiᴇ44	suo232	sa13	sua132
街		蟹开二平佳见	ka44	kuo232	ka13	ka132
鞋		蟹开二平佳匣	ha21	huo33	ha33	ha22
摆		蟹开二上蟹帮	pᴇ55	puo422	pa44	pua44
买		蟹开二上蟹明	mᴇ33	muo21	ma21	mua44
