IPA	调值	调类	Hanzi
tuan	52	5	段断缎锻
tuei	32	1	堆
tuei	52	5	队对兑
tuŋ	212	3	董懂
tuŋ	32	1	东冬
tuŋ	52	5	动冻洞
tuə	212	3	朵垛躲
tuə	24	2	夺
tuə	32	1	多咄哆
tuə	52	5	剁舵堕惰跺
tuən	212	3	盹(打~儿)
tuən	32	1	敦墩蹲
tuən	52	5	炖钝盾顿遁
tæ	212	3	歹逮
tæ	32	1	呆待（~一会儿）
tæ	52	5	大（~夫）代迨带贷待怠袋
tɑŋ	212	3	挡党
tɑŋ	32	1	当
tɑŋ	52	5	当（~成）荡档
tɔ	212	3	导岛捣倒祷
tɔ	32	1	刀
tɔ	52	5	到倒（~车）盗悼道稻
tə	24	2	得德
tə	52	5	嘚（~瑟）
təu	212	3	斗（~胆）抖陡
təu	32	1	都兜
təu	52	5	斗豆逗痘窦
təŋ	212	3	等
təŋ	32	1	灯登蹬
təŋ	52	5	邓凳澄瞪
tʰan	212	3	忐坦袒毯
tʰan	24	2	坛昙谈弹覃痰谭潭檀
tʰan	52	5	叹炭探碳
tʰi	212	3	体剔梯踢
tʰi	24	2	提啼题醍蹄
tʰi	52	5	屉剃倜涕悌惕替嚏
tʰiŋ	212	3	挺铤
tʰiŋ	24	2	庭停婷霆
tʰiŋ	32	1	厅听
tʰiɔ	212	3	挑眺朓窕
tʰiɔ	24	2	条笤岧迢调
tʰiɔ	52	5	眺跳
tʰiɛ	212	3	帖铁
tʰiɛ	32	1	帖贴
tʰiɛ	52	5	帖餮
tʰiɛn	212	3	忝殄腆觍舔
tʰiɛn	24	2	田恬甜湉填
tʰiɛn	32	1	天
tʰu	212	3	土吐
tʰu	24	2	图荼徒涂屠酴
tʰu	32	1	凸秃突
tʰu	52	5	吐兔
tʰuan	32	1	湍
tʰuei	212	3	腿
tʰuei	24	2	颓
tʰuei	32	1	忒推
tʰuei	52	5	退蜕褪
tʰuŋ	212	3	统捅桶筒
tʰuŋ	24	2	同佟彤茼铜桐童瞳
tʰuŋ	32	1	通
tʰuə	212	3	妥椭
tʰuə	24	2	驮陀驼鸵
tʰuə	32	1	托拖脱
tʰuə	52	5	拓唾
tʰuən	24	2	屯囤饨豚臀
tʰuən	32	1	吞
tʰæ	24	2	台抬苔跆
tʰæ	32	1	台苔胎
tʰæ	52	5	太汰态泰酞
tʰɑŋ	212	3	倘躺
tʰɑŋ	24	2	唐堂棠塘搪溏糖螳
tʰɑŋ	32	1	汤
tʰɑŋ	52	5	烫趟
tʰɔ	212	3	讨
tʰɔ	24	2	逃桃陶淘
tʰɔ	32	1	叨涛绦焘掏滔韬饕
tʰɔ	52	5	套
tʰə	52	5	忑忒特
tʰəu	24	2	头投骰
tʰəu	32	1	偷
tʰəu	52	5	透
tʰəŋ	24	2	疼腾誊螣滕藤
tʰᴀ	212	3	塔獭
tʰᴀ	32	1	他她趿塌遢踏
tʰᴀ	52	5	拓挞榻踏蹋
tᴀ	212	3	打
tᴀ	24	2	答达
tᴀ	32	1	搭嗒
tᴀ	52	5	大
u	212	3	五午伍仵怃忤妩武侮鹉舞
u	32	1	乌污巫呜诬屋
u	52	5	兀勿误悟晤鹜婺雾
uə	212	3	我
uə	32	1	挝莴倭涡喔窝蜗
uə	52	5	沃卧握龌斡
xan	212	3	罕喊
xan	24	2	汗（~大）邯含函浛涵
xan	32	1	蚶酣憨鼾
xan	52	5	汉汗旱瀚悍焊颔撼
xei	32	1	黑嘿
xu	212	3	虎琥
xu	24	2	蝴和狐弧胡壶核湖
xu	32	1	乎呼忽糊
xu	52	5	互户护沪扈糊
xuan	212	3	缓
xuan	24	2	还环洹桓寰嬛
xuan	32	1	欢獾
xuan	52	5	幻宦换唤涣浣患焕
xuaŋ	212	3	恍晃谎幌
xuaŋ	24	2	皇黄凰遑徨惶簧
xuaŋ	32	1	肓荒慌
xuaŋ	52	5	晃（~荡）
xuei	212	3	悔毁
xuei	24	2	回茴徊蛔
xuei	32	1	灰诙挥恢辉麾徽隳
xuei	52	5	惠汇会讳荟诲绘贿
xuæ	24	2	怀淮徊槐踝
xuæ	52	5	坏
xuŋ	212	3	哄
xuŋ	24	2	弘红宏虹洪鸿
xuŋ	32	1	轰哄烘
xuŋ	52	5	讧哄
xuə	212	3	和活火伙
xuə	32	1	豁
xuə	52	5	或和货获祸惑霍豁
xuən	212	3	混
xuən	24	2	浑馄混魂
xuən	32	1	昏荤婚
xuᴀ	24	2	划华哗猾滑豁（~拳）
xuᴀ	32	1	花哗
xuᴀ	52	5	化划华画话桦
xæ	212	3	海
xæ	24	2	还孩骸
xæ	32	1	嗨
xæ	52	5	亥骇害
xɑŋ	24	2	行杭航
xɑŋ	32	1	夯
xɑŋ	52	5	沆巷（~道）
xɔ	212	3	好郝
xɔ	24	2	号（~叫）蚝毫貉豪壕嚎濠
xɔ	32	1	蒿
xɔ	52	5	号好昊耗浩淏皓颢
xə	24	2	禾合何和劾河荷核盒
xə	32	1	呵喝
xə	52	5	吓和贺荷喝赫褐鹤壑
xən	24	2	痕很狠恨
xəu	212	3	吼犼
xəu	24	2	侯喉猴瘊
xəu	32	1	齁
xəu	52	5	后厚逅候
xəŋ	24	2	行恒姮横衡
xəŋ	32	1	亨哼
xəŋ	52	5	横
