汉字	IPA	注释		
让	niũ4-			
饶	ǳiau2			
绕	ǳiau4			
热	liet6=			
热	ǳieʔ6=			
热	luaʔ5-			
人	ǳin2			
壬	ǳin4			
任	ǳin4			
纫	ǳin4			
韧	ǳun4-			
韧	lun4-			
韧	ǳin4=			
仍	liŋ4=			
仍	ǳin2-			
日	ǳiet6			
日	ǳiəʔ6			
戎	ǳiɔŋ2			
茸	ǳiɔŋ2			
荣	iɔŋ2			
绒	ǳiɔŋ2			
容	iɔŋ2=			
容	iŋ2-			
蓉	iɔŋ2			
融	iɔŋ2			
肉	hiet6-			
如	lɯ2			
儒	su4			
汝	lɯ3			
辱	ǳiɔk6			
入	ǳieʔ6			
褥	ǳiɔk6			
阮	guan2			
阮	uan2			
软	nŋ3-			
芮	lue4			
瑞	sui4			
闰	lun4			
闰	ǳun4			
润	lun4			
润	ǳun4			
若	ǳiɔk6=			
若	lɔʔ6-			
PAGE 33				
洒	sa3=			
洒	sua3-			
腮	sai1			
塞	ɕik5=			
塞	sat5-			
塞	saʔ5-			
仁	ǳin2			
鳃	sai1=			
鳃	tɕʰi1-			
忍	ǳin4=			
忍	lun3-			
赛	sai4			
刃	ǳin4			
三	san1=			
三	sã1-			
认	ǳin4			
散	suã4-			
伞	suã4-			
散	suã4-			
桑	sɔŋ1=			
桑	saŋ1=			
桑	sŋ1-			
搡	saŋ3			
嗓	saŋ4			
丧	sɔŋ4			
骚	so1=			
骚	sau1-			
扫	sau4-			
嫂	sɔ3			
扫	sau4-			
色	ɕik5			
色	ɕieʔ5			
涩	ɕiat5			
啬	ɕik5			
啬	ɕieʔ5			
瑟	saʔ5-			
僧	ɕiŋ1			
森	ɕin1			
杀	sat5			
杀	saʔ5			
纱	sua1-			
纱	se1-			
沙	sua1-			
沙	se1-			
厦	ha4=			
厦	he4-			
筛	sai1			
晒	sai4			
山	san1=			
山	suã1-			
杉	san1			
删	san1			
衫	sã1-			
珊	san1			
扇	ɕien4=			
扇	ɕĩ4-			
闪	ɕien3			
陕	ɕien4			
疝	san4			
扇	ɕĩ4-			
禅	ɕien4			
善	ɕien4			
膳	ɕien4			
鳝	ɕien4			
伤	ɕiɔŋ1			
商	ɕiɔŋ1			
晌	ɕiɔŋ3			
赏	ɕiɔŋ3			
上	ɕiɔŋ4=			
上	tɕiũ4-			
尚	ɕiɔŋ4=			
尚	ɕiũ4-			
裳	ɕiɔŋ2=			
裳	tŋ2-			
烧	ɕio1-			
梢	ɕiau1-			
稍	sau1			
稍	ɕiau1			
勺	ɕiaʔ5-			
芍	ɕiɔk6			
韶	ɕiau4			
少	tɕio3-			
绍	ɕiau4			
哨	sau4			
奢	ɕia1			
赊	ɕia1			
舌	ɕiet5			
舌	tɕiʔ6			
蛇	tsua2-			
捨	ɕia3			
设	ɕiet5			
社	ɕia4			
舍	ɕia4			
射	ɕia4			
涉	ɕieʔ5			
摄	ɕiet5			
麝	ɕia4			
谁	sui2			
申	ɕin1			
伸	ɕin1=			
伸	tsʰŋ1-			
身	ɕin1			
PAGE 34				
娠	ɕin1			
参	ɕin1			
深	tɕʰin1-			
什	ɕiet5			
神	ɕin2			
沈	ɕin3			
审	ɕin3			
婶	tɕin3-			
肾	ɕin4			
甚	ɕin4-			
渗	ɕin4			
慎	ɕin4			
升	ɕiŋ1			
生	ɕiŋ1=			
生	ɕĩ1-			
生	tɕʰĩ1-			
声	ɕiŋ1=			
声	ɕiã1-			
牲	ɕiŋ1=			
牲	ɕĩ1-			
笙	ɕiŋ1			
甥	ɕiŋ1			
绳	ɕiŋ2=			
绳	ɕin2-			
省	ɕiŋ3			
圣	ɕiŋ4			
胜	ɕiŋ4=			
胜	ɕin4-			
盛	ɕiŋ4			
剩	ɕin4-			
尸	ɕi1			
失	ɕiet5=			
失	ɕik5-			
师	ɕi1=			
师	sɿ1=			
师	sai1-			
诗	ɕi1			
虱	saʔ5-			
虱	sat5-			
狮	sai1-			
施	ɕi1			
施	sɿ1			
湿	ɕiet5=			
湿	ɕik5-			
十	tsaʔ6-			
石	tɕioʔ6-			
石	liɔʔ6-			
时	ɕi2			
识	ɕik5			
识	ɕiet5			
实	ɕiet6			
实	ɕieʔ6			
拾	ɕiet6			
食	ɕieʔ6=			
食	ɕiəʔ6=			
食	tɕiaʔ5-			
蚀	ɕieʔ6			
鲥	ɕi2			
史	sɿ3			
矢	ɕi4			
使	sɿ4			
始	ɕi3			
始	sɿ3			
驶	sɿ3			
屎	sai3-			
氏	su4			
氏	ɕi4			
氏	sɿ4			
示	ɕi4			
示	sɿ4			
世	se4=			
世	ɕi1-			
仕	ɕi4			
仕	sɿ4			
市	ɕi4=			
市	tɕʰi4-			
式	ɕik5			
似	ɕi4			
似	sɿ4			
势	se4			
事	sɿ4			
侍	sɿ4=			
侍	sai4-			
饰	ɕik5			
试	sɿ4			
视	ɕi4			
视	sɿ4			
是	ɕi4			
适	ɕik5			
适	ɕiet5			
室	ɕieʔ5=			
室	ɕik5-			
逝	ɕi4			
舐	tɕi4-			
释	ɕik5			
释	ɕiet5			
嗜	ɕi4			
嗜	sɿ4			
PAGE 35				
誓	sɿ2=			
誓	tsua4-			
匙	ɕi2			
匙	tɕi2			
收	ɕiu1			
手	tɕʰiu3-			
守	ɕiu3			
首	ɕiu3			
寿	ɕiu4			
受	ɕiu4			
授	ɕiu4			
售	ɕiu4			
兽	ɕiu4			
瘦	səu4			
书	su1=			
书	tsɯ1-			
叔	ɕiɔk5=			
叔	sɔk5=			
叔	tseʔ5-			
殊	su4			
梳	sɔ1			
梳	sue1			
淑	ɕiɔk6			
淑	sɔk6			
舒	sɔ1			
舒	su1			
疏	sɔ1			
输	su1			
蔬	sɔ1			
秫	tsuət6=			
秫	tsuəʔ6-			
赎	ɕiɔk6			
赎	sɔk6			
熟	ɕiɔk6			
熟	ɕik6			
熟	ɕieʔ6			
暑	sɯ3			
属	ɕiɔk6			
署	su4			
蜀	ɕiɔk6			
蜀	tsɔk6			
鼠	tsʰɯ3-			
数	sɔ4=			
数	ɕiau4-			
术	tsut6			
术	tsuət6			
术	tsuəʔ6			
戍	sə3			
束	sɔk5			
述	tsuət6			
述	tsuəʔ6			
树	su4=			
树	tɕʰiu4-			
竖	su4			
恕	sɯ4			
恕	su4			
庶	su4			
数	sɔ3			
墅	su4			
漱	səu3			
刷	suat5			
刷	suaʔ5			
耍	sua4			
率	ɕiet5			
率	sui4			
帅	sai4			
帅	suai4			
蟀	ɕiet5			
蟀	ɕieʔ5			
闩	suan1=			
闩	sŋ1-			
拴	tsʰuan1=			
拴	sŋ1-			
双	saŋ1-			
霜	sŋ1-			
孀	sŋ1-			
爽	sɔŋ3			
水	sui3=			
水	tsui3-			
税	sə4-			
睡	sui4			
顺	sun4			
舜	sun4			
说	seʔ5-			
司	ɕi1			
司	sɿ1			
丝	ɕi1			
私	sɿ1			
思	sɿ1			
斯	sɿ1=			
斯	ɕi1-			
厮	sɿ1=			
厮	ɕi1-			
撕	ɕi1-			
死	ɕi3-			
思	sɿ4			
思	su4			
思	sɿ4			
PAGE 36				
四	ɕi4-			
寺	ɕi4			
寺	sɿ4			
祀	sɿ4			
饲	ɕi4			
饲	sɿ4			
肆	ɕi4-			
嗣	sɿ4			
鬆	sɔŋ1=	¹		
鬆	saŋ1-	¹		
松	sɔŋ1	²		
嵩	sɔŋ1			
怂	sɔŋ2			
讼	sɔŋ4			
宋	sɔŋ4			
送	ɕiɔŋ4=			
送	saŋ4-			
诵	sɔŋ4			
颂	sɔŋ4			
叟	səu4			
嗽	sau4-			
苏	sɔ1			
酥	sɔ1			
俗	ɕiɔk6			
诉	sɔ4			
肃	sɔk5			
肃	sɔʔ5			
素	sɔ4			
速	sɔk5			
宿	sɔk5			
宿	sɔʔ5			
粟	ɕiɔk5			
粟	sɔk5			
塑	sɔ4			
酸	sŋ1-			
蒜	suan4=			
蒜	sŋ4-			
算	sŋ4-			
虽	sui1			
绥	sui4			
随	sui4			
髓	sui3			
岁	sue4=			
岁	hə4-			
遂	sui4			
碎	sui3=			
碎	tsʰui4-			
隧	sui4			
穗	sui4			
孙	sun1			
损	sun3			
笋	sun3			
榫	sun3			
唆	so1			
梭	so1			
蓑	so1			
缩	sɔk5			
所	sɔ3			
索	sɔk5=			
索	sɔʔ5-			
琐	so3			
锁	so3			
他	tʰa1-			
塌	tʰaʔ5			
塔	tʰaʔ5-			
獭	nuã4-			
拓	tʰɔk5			
拓	tʰɔʔ5			
榻	tʰaʔ5			
踏	taʔ6-			
胎	tʰə1-			
颱	tʰai1			
抬	tʰai2			
抬	tai2			
台	tai2			
苔	tai2			
太	tʰai4			
态	tʰai4			
泰	tʰai4			
坍	tʰan1			
PAGE 37				
贪	tʰan1			
摊	tsʰan1=			
摊	tʰuã1-			
滩	tsʰan1=			
滩	tʰuã1-			
坛	tʰan2			
坛	tan2			
谈	tʰan2			
痰	tʰan2			
弹	tuã4-			
谭	tʰan2			
谭	tan2			
潭	tʰan2			
潭	tan2			
檀	tʰan2=			
檀	tan2=			
檀	tã4-			
坦	tʰan4			
毯	tʰan3			
叹	tʰan4			
炭	tʰuã4-			
探	tʰan4			
汤	tʰɔŋ1=			
汤	tʰŋ1-			
唐	tɔŋ2			
堂	tɔŋ2=			
堂	taŋ2=			
堂	tŋ2-			
棠	tɔŋ2=			
棠	tŋ2-			
塘	tɔŋ2=			
塘	tŋ2-			
糖	tʰŋ2-			
螳	tɔŋ2			
螳	taŋ2			
倘	tʰɔŋ3			
躺	tʰɔŋ3			
烫	tʰŋ4-			
趟	tʰɔŋ4			
涛	tʰo1			
掏	tʰo1			
滔	tʰo1			
逃	to2			
桃	tʰo2			
陶	tʰo2			
萄	tʰo2			
淘	to2			
讨	tʰo3			
套	tʰo4			
特	tat6			
特	taʔ6			
腾	tiŋ2			
腾	tʰiŋ2			
眷	tiŋ2			
藤	tin2-			
剔	tʰieʔ5			
梯	tʰui1-			
踢	tʰit5=			
踢	tʰat5-			
踢	tʰaʔ5-			
提	tʰe2			
提	tʰue2			
提	tʰi3			
啼	tue2=			
啼	tʰi2-			
题	tue2-			
蹄	tʰi2=			
蹄	tue2-			
蹄	tʰue2-			
体	tʰe3			
体	tʰi3			
屉	tʰuaʔ5-			
剃	tʰi3-			
涕	tʰi4			
替	tʰi3=			
替	tʰue4-			
天	tʰien1=			
天	tʰĩ1-			
添	tʰĩ1-			
田	tien2			
填	tien2			
腆	tien3			
舔	tʰien3			
挑	tʰiau1=			
挑	tʰio1-			
条	tiau2			
调	tiau2			
粜	tʰio4-			
跳	tʰiau4			
帖	tʰiet5			
帖	tʰieʔ5			
帖	tʰiaʔ5			
贴	tʰiet5			
贴	tʰieʔ5			
贴	tʰiaʔ5			
铁	tʰiaʔ5=			
铁	tʰiʔ5-			
厅	tʰiŋ1=			
厅	tʰiã1-			
汀	tʰiŋ1			
汀	tiŋ1			
PAGE 38				
听	tʰiã1-			
廷	tiŋ2			
亭	tʰiŋ2			
亭	tiŋ2			
庭	tiŋ2			
停	tʰiŋ2			
停	tiŋ2			
蜓	tiŋ2			
挺	tʰiŋ3			
艇	tʰiŋ3			
通	tʰɔŋ1			
同	tɔŋ2			
桐	tɔŋ2=			
桐	tʰaŋ2-			
铜	taŋ2-			
童	tɔŋ2=			
童	taŋ2-			
瞳	tɔŋ2=			
瞳	taŋ2-			
统	tʰɔŋ4			
捅	tʰɔŋ3			
桶	tʰɔŋ3=			
桶	tʰaŋ3-			
筒	taŋ2-			
痛	tʰɔŋ3			
偷	tʰau1-			
头	tʰɔ2=			
头	tʰau2-			
投	tɔ2=			
投	tau2-			
㪗	tʰau3-			
透	tʰau4-			
秃	tʰɔk5			
秃	tʰɔʔ5			
突	tɔʔ6			
图	to2			
徒	to2			
途	to2			
涂	to2			
屠	to2			
土	tʰo3			
吐	tʰo3			
兔	tʰo4			
吐	tʰo4			
团	tʰuan2			
推	tʰui1=			
推	tʰə1-			
腿	tʰui3			
退	tʰə3-			
蜕	tʰui4-			
吞	tʰun1			
屯	tʰun2			
屯	tun2			
饨	tʰun2			
豚	tʰun2			
豚	tun2			
臀	tʰun2			
託	tʰɔk5=			
託	tʰɔʔ5-			
托	tʰɔk5=			
托	tʰɔʔ5-			
拖	tʰua1-			
脱	tʰoʔ5			
驮	to2=			
驮	nia3-			
陀	to2			
陀	tʰo2			
驼	to2			
妥	tʰo3			
椭	tʰo4			
唾	tʰɔ4			
挖	uiʔ5-			
蛙	ua1			
娃	ua1			
瓦	hia4-			
袜	bəʔ6-			
歪	uai1			
外	ɡua4-			
弯	uan1			
湾	uan1			
豌	uan4=			
豌	uã3-			
丸	uan2=			
丸	ĩ2-			
完	uan2			
PAGE 39				
顽	uan2			
宛	uan4			
挽	uan3			
晚	uan4			
碗	uã3-			
万	ban4			
腕	uan3=			
腕	uã3-			
汪	ɔŋ1			
亡	bɔŋ2			
王	ɔŋ2			
网	bɔŋ4=			
网	baŋ4-			
枉	ɔŋ3			
往	ɔŋ3			
辋	baŋ4-			
忘	bɔŋ4			
旺	ɔŋ4			
望	bɔŋ4=			
望	baŋ4-			
危	ui1			
威	ui1			
微	bi2			
微	bui1			
煨	ui1			
巍	ui2			
为	ui2			
违	ui2			
围	ui2			
桅	ui2			
唯	ui2			
帷	ui2			
惟	ui2			
维	ui2			
维	bi2			
伟	ui4			
伪	ui4			
苇	ui2			
尾	bə4-			
纬	ui2			
委	ui4			
萎	ui1			
卫	ui4			
为	ui4			
未	bi4=			
未	bə4-			
位	ui4			
味	bi4			
畏	ui4			
胃	ui4			
谓	ui4			
喂	ui4			
猬	ui4			
慰	ui4			
魏	ui4			
温	un1			
瘟	un1			
文	bun2			
纹	bun2			
闻	bun2			
蚊	bun2			
吻	bun2			
稳	un3			
问	bun4=			
问	mŋ4-			
翁	ɔŋ1			
瓮	ɔŋ4=			
瓮	aŋ4-			
莴	o1			
倭	o1			
窝	o1			
蜗	o1			
我	ɡo3=			
我	ɡua3-			
沃	ɔk5=			
沃	ak5-			
卧	ɡo4			
握	ɔk5			
PAGE 40				
乌	ɔ1			
污	ɔ1			
巫	u1			
诬	u1			
屋	ɔk5			
屋	ɔʔ5			
无	bu2			
吾	ŋɔ̃4			
吴	ɡɔ2			
吴	ŋɔ̃2			
梧	ɡɔ4			
梧	ŋɔ̃4			
蜈	ŋɔ̃2=			
蜈	ɡia2-			
蜈	ɡɔ4			
蜈	ŋɔ̃4			
午	ɡɔ4			
午	ŋɔ̃4			
伍	ɡɔ3			
伍	ŋɔ̃3			
武	bu3			
侮	u3			
鹉	bu3			
舞	bu3			
务	bu4			
坞	ɔ̃1			
物	but5			
物	buəʔ6			
误	ɡɔ4			
误	ŋɔ̃4			
悟	ɡɔ4			
悟	ŋɔ̃4			
雾	bu4			
恶	ɔ̃k5=			
恶	ɔ̃ʔ5-			
夕	ɕik5			
夕	ɕiet5			
夕	ɕieʔ5			
兮	ɕi1			
西	se1=			
西	ɕi1-			
西	sai1-			
希	hi1			
昔	ɕiet5			
昔	ɕieʔ5			
析	ɕik5			
析	ɕiəʔ5			
牺	hi1			
息	ɕik5			
息	ɕiəʔ5			
息	ɕieʔ5			
悉	ɕik5			
惜	ɕieʔ5			
惜	ɕiɔʔ5			
稀	hi1			
犀	se1			
锡	ɕik5			
锡	ɕiaʔ5			
溪	kʰue1-			
熙	hi1			
熄	ɕiəʔ5=			
熄	ɕieʔ5=			
熄	ɕit5-			
膝	tɕʰik5=			
膝	tɕʰiaʔ5-			
嬉	hi1			
习	ɕiet6			
习	ɕieʔ6			
习	ɕik5			
席	ɕieʔ6=			
席	ɕiəʔ6=			
席	tɕʰiɔʔ5-			
袭	ɕiet6			
袭	ɕieʔ6			
媳	ɕik5			
媳	ɕiəʔ5			
洗	sue3-			
玺	su4			
喜	hi3			
戏	hi4			
系	he4			
细	sue4-			
隙	kʰik5			
虾	he2-			
瞎	hat5			
瞎	haʔ5			
匣	aʔ6-			
侠	hiet6			
侠	hieʔ6			
峡	kaʔ5-			
狭	ueʔ6-			
狭	hiaʔ6-			
霞	he2-			
厦	he4-			
厦	e4-			
下	ha4=			
下	he4-			
下	e4-			
吓	heʔ5-			
夏	he4-			
嚇	he3-			
仙	ɕien1			
先	ɕien1=			
先	ɕiŋ1-			
先	sãi1-			
PAGE 41				
纤	ɕien1			
纤	tɕʰien1			
鲜	ɕien1			
闲	han2=			
闲	ãi2-			
贤	hien2			
弦	hien2			
咸	han2=			
咸	kien2-			
衔	han2			
嫌	hien2			
鲜	ɕien1			
显	hien4			
险	hien3			
苋	hãi4			
县	kuĩ4			
现	hien4			
限	han4=			
限	hien4-			
线	ɕien4=			
线	suã4-			
宪	hien4			
馅	ã4-			
羡	ɕien4			
献	hien4			
乡	hiũ1-			
相	ɕiɔŋ1=			
相	sã1-			
香	hiɔŋ1=			
香	hiũ1-			
厢	ɕiɔŋ1=			
厢	ɕiũ1-			
湘	ɕiɔŋ1			
湘	ɕiaŋ1			
湘	ɕiũ1-			
箱	ɕiũ1-			
襄	ɕiɔŋ1			
襄	ɕiaŋ1			
镶	ɕiaŋ1=			
镶	ɕiũ1-			
降	haŋ2			
详	ɕiɔŋ2			
祥	ɕiɔŋ2			
享	hiɔŋ4			
响	hiɔŋ3			
饷	ɕiɔŋ3			
饷	hiɔŋ3			
想	ɕiɔŋ3=			
想	ɕiũ4-			
相	ɕiɔŋ4			
向	ɕiɔŋ4=			
向	hiũ4-			
项	haŋ4			
巷	haŋ4			
象	ɕiɔŋ4=			
象	tɕʰiũ4-			
像	ɕiɔŋ4=			
像	tɕʰiũ4-			
橡	ɕiaŋ4=			
橡	tɕʰiũ4-			
枵	iau1			
逍	ɕiau1			
消	ɕiau1=			
消	ɕio1-			
宵	ɕiau1=			
宵	ɕio1-			
萧	ɕiau1			
硝	ɕiau1			
销	ɕiau1			
箫	ɕiau1			
霄	ɕiau1			
嚣	ɕiau1			
小	ɕiau3=			
小	ɕio3-			
晓	hiau3			
筱	ɕiau4			
孝	hau4			
肖	ɕiau1			
校	hau4			
笑	ɕiau4=			
笑	tɕʰio4-			
效	hau4			
些	ɕie3			
歇	hiɔʔ5-			
蝎	hiet5			
协	hiaʔ5			
协	hieʔ6			
邪	ɕia2			
挟	ɡueʔ6			
偕	kai1			
斜	ɕia2=			
斜	tɕʰia2-			
PAGE 42				
谐	hai3			
鞋	ue2-			
写	ɕia3			
泻	ɕia4			
卸	ɕia4			
屑	ɕiaʔ5			
谢	ɕia4			
懈	hai4			
蟹	hue4-			
心	ɕin1			
辛	ɕin1			
欣	ɕin1			
新	ɕin1			
薪	ɕin1			
馨	ɕin1			
信	ɕin4			
衅	tɕin4			
兴	hiŋ1			
星	ɕiŋ1=			
星	tɕʰĩ1-			
腥	tɕʰĩ1-			
刑	hiŋ2			
行	hiŋ2			
形	hiŋ2			
型	hiŋ2			
荥	iŋ2			
荥	iɔŋ2			
醒	tɕʰĩ3-			
省	ɕiŋ3			
兴	hiŋ4			
杏	haŋ4			
幸	hiŋ4			
性	ɕiŋ4=			
性	ɕĩ4-			
姓	ɕiŋ4=			
姓	ɕĩ4-			
凶	hiɔŋ1=			
凶	ɕiɔŋ1-			
兄	hiã1-			
胸	ɕiɔŋ1			
雄	hiɔŋ2			
雄	iɔŋ2			
熊	iɔŋ2=			
熊	hin2-			
休	hiu1			
休	ɕiu1			
修	ɕiu1			
羞	ɕiu1			
朽	ɕiu4			
宿	ɕiu4			
秀	ɕiu4			
袖	ɕiu4			
绣	ɕiu4			
锈	ɕiu4			
嗅	ɕiu4			
戌	suət5			
吁	u4			
吁	ɯ4			
须	su1	1		
鬚	tsʰiu1-	2		
胥	su1			
虚	hɯ1			
墟	hɯ1			
墟	su1			
需	su1			
嘘	hɯ1			
嘘	su1			
徐	sɯ2			
许	hɯ3			
序	sɯ4			
叙	su4			
恤	sut5			
绪	sɯ4			
绪	su4			
续	ɕiɔk6			
续	sɔk6			
絮	su4			
婿	sai4-			
畜	ɕiɔk5			
蓄	ɕiok5			
宜	suan1			
PAGE 43				
旋	suan2			
选	suan3			
癣	ɕien3			
眩	hien2=			
眩	hin2-			
楦	hun4-			
旋	suan4			
镟	suan4			
削	ɕiaʔ5-			
靴	hia1-			
薛	səʔ5			
穴	hiat6			
穴	hiet6			
学	hak6=			
学	haʔ6=			
学	ɔʔ6-			
雪	səʔ5-			
血	huiʔ5-			
勋	sun1			
熏	hun1			
熏	sun1			
薰	hun1			
旬	sun4			
巡	sun2			
询	sun2			
荀	sun2			
循	sun2			
训	sun4			
迅	sun4			
驯	sun4			
逊	sun4			
殉	sun4			
芽	ɡe2-			
崖	ɡia2			
涯	ia2			
衙	ia2=			
衙	ɡe2-			
哑	e3-			
雅	ia2			
雅	a1			
亚	a1			
亚	ia3			
胭	ien1			
烟	ien1			
焉	ien1			
阉	ien1			
淹	ien1			
腌	ien1			
延	ien2			
严	ɡien2			
言	ɡien2			
岩	ɡan2			
岩	ɡien2			
炎	ien4			
沿	ien2			
研	ɡien1			
盐	ien2	1		
盐	ɕĩ4-	2		
阎	ien2			
筵	ien4			
颜	ɡan2			
檐	ien2			
俨	ɡien2			
掩	ien3			
眼	ɡan3			
演	ien3			
魇	ien4			
厌	ien4			
砚	ɡien4=			
砚	hĩ4-			
咽	ien4			
压	aʔ5-			
押	aʔ5-			
鸦	a1			
鸦	ia1			
鸦	o1			
鸭	aʔ5-			
牙	ɡe2-			
伢	ia2=			
伢	ɡe2-			
PAGE 44				
艳	ien4			
晏	ien4=			
晏	uã4-			
宴	ien4			
验	ɡien4			
谚	ɡien2			
堰	ien4			
雁	ien4			
焰	ien4			
燕	ien4=			
燕	ĩ4-			
央	iɔŋ1=			
央	ŋ1-			
殃	iɔŋ1			
殃	iaŋ1			
秧	iɔŋ1=			
秧	ŋ1-			
扬	iɔŋ2=			
扬	iũ2-			
羊	iũ2-			
阳	iɔŋ2=			
阳	iũ2-			
杨	iũ2-			
疡	iũ2-			
洋	iɔŋ2=			
洋	iũ2-			
烊	iɔŋ2=			
烊	iũ2-			
仰	ŋiã2			
仰	ɡaŋ4			
养	iɔŋ3=			
养	iũ3-			
痒	tɕiũ4-			
样	iũ4-			
幺	iau1=			
幺	io1-			
吆	iau1=			
吆	io1-			
妖	iau1			
腰	iau1=			
腰	io1-			
邀	iau1			
尧	iau2			
姚	iau2=			
姚	io2-			
窑	iau2=			
窑	io2-			
谣	iau2=			
谣	io2-			
摇	iau2=			
摇	io2-			
舀	iau4=			
舀	io3-			
药	iɔʔ6-			
要	iau1			
鹞	io3-			
耀	iau4			
要	iau4			
椰	ia1			
噎	iet5			
噎	ieʔ5			
爷	ia2			
也	ia4			
野	ia3			
业	ɡiet6			
叶	iaʔ6			
叶	iet5			
页	iaʔ6-			
夜	ia4			
液	iet6			
液	ieʔ6			
腋	iet6			
腋	ieʔ6			
擖	kat5			
一	it5			
一	iet5			
一	iəʔ5			
伊	i1			
衣	i1			
医	i1			
依	i1			
揖	iʔ5			
仪	ɡi4			
夷	i2			
沂	ɡi2			
沂	i2			
饴	i4			
怡	i4			
宜	ɡi4			
姨	i2			
移	i2			
疑	ɡi2			
乙	iet5			
乙	iəʔ5			
已	i3			
PAGE 45				
以	i3			
矣	i4			
蚁	ɡi4=			
蚁	hia4-			
倚	i3=			
倚	ua4-			
椅	i3			
亿	iʔ5			
亿	i4			
义	ɡi4			
艺	ɡi4			
忆	iet5			
忆	i4			
议	ɡi4			
亦	ik6			
亦	iet6			
异	i4			
邑	i4			
易	i4			
诣	ɡi3			
诣	i3			
益	ik5			
谊	ɡi4			
逸	iet5			
逸	iəʔ5			
意	i4			
缢	i3			
毅	i4			
毅	ɡi4			
瞖	i3			
翼	iet6=			
翼	hiet6-			
懿	i4			
因	in1			
阴	in1			
荫	in1			
音	in1			
姻	in1			
殷	in1			
吟	ɡin4			
银	ɡən2			
淫	in4			
寅	in2			
尹	ən3			
引	in3			
饮	in4			
饮	in4			
隐	in3			
隐	un3			
瘾	in3			
印	in4			
应	iŋ1			
英	iŋ1			
莺	iŋ1			
婴	iŋ1			
缨	iŋ1=			
缨	iã1-			
樱	iŋ1			
鹦	iŋ1			
鹰	iŋ1			
迎	iŋ2			
迎	ɡiŋ2			
茔	iŋ2			
盈	iŋ2			
萤	iŋ2			
营	iŋ2=			
营	iã2-			
蝇	in2=			
蝇	ɕin2-			
赢	iã2-			
颖	iŋ2			
影	iã3-			
应	in4			
映	iŋ4			
硬	ŋĩ4-			
拥	iɔŋ1			
痈	iɔŋ3=			
痈	iŋ1-			
庸	iɔŋ1			
雍	iɔŋ1			
壅	iɔŋ1=			
壅	iŋ3-			
永	iŋ3			
永	iɔŋ3			
甬	iɔŋ3			
PAGE 46				
咏	iɔŋ3			
泳	iɔŋ3			
勇	iɔŋ3			
涌	iɔŋ3			
用	iɔŋ4=			
用	iŋ4-			
优	iu1			
忧	iu1			
幽	iu1			
悠	iu1			
尤	iu2			
由	iu2			
邮	iu2			
犹	iu2			
油	iu2			
游	iu2			
友	iu3			
有	iu3=			
有	u4-			
酉	iu4			
又	iu4			
右	iu4			
幼	iu4			
佑	iu4			
柚	iu4			
诱	iu4			
釉	iu4			
迂	ɯ1			
淤	ɯ1			
于	ɯ1			
余	ɯ2			
盂	ɯ4=			
盂	ɔ4-			
鱼	hɯ2			
於	ɯ1			
馀	ɯ2			
娱	gɯ2=			
娱	gɔ2-			
渔	hɯ2			
逾	ɯ4			
愉	ɯ4			
榆	ɯ4			
虞	ɡɔ2-			
愚	ɡɯ4			
与	ɯ1			
宇	ɯ4			
羽	ɯ4			
雨	u3=			
雨	hɔ4-			
禹	ɯ3			
语	ɡɯ4			
玉	ɡiɔk6			
芋	ɔ4-			
郁	iɔk5			
育	iɔk5			
狱	ɡiɔk6			
浴	iɔk5			
预	ɯ4			
欲	iɔk5			
遇	ɡu2			
遇	ɡɯ2			
喻	ɯ4			
御	ɯ4			
寓	ɡɯ4			
裕	ɯ4			
愈	ɯ4			
誉	ɯ4			
豫	ɯ4			
冤	uan1			
元	ɡuan2			
元	uan2			
圆	uan2=			
圆	hŋ2-			
员	uan2			
员	guan2			
袁	uan2			
原	ɡuan2			
原	uan2			
PAGE 47				
圆	uan2=			
圆	i2-			
援	uan2			
缘	uan2			
源	ɡuan2			
源	uan2			
辕	uan2			
远	uan3=			
远	hŋ4-			
怨	uan4			
院	uan4=			
院	ĩ4-			
愿	ɡuan4			
愿	uan4			
曰	uaʔ6			
约	iɔk5			
月	ɡəʔ6-			
月	gueʔ6-			
岳	ɡak5			
岳	ɡɔk5			
乐	iɔk6			
阅	guaʔ6			
阅	guat6			
悦	guaʔ6			
跃	iɔk5			
越	uat5			
越	uaʔ5			
晕	un4=			
晕	hun4-			
云	hun2			
匀	un2			
允	un3			
允	ən3			
运	un4			
韵	un4			
熨	un4			
杂	tsaʔ6			
灾	tsai1			
栽	tsai1			
载	tsai4			
载	tai4			
宰	tsai3			
再	tsai4			
在	tsai4			
载	tsai4			
簪	tsan1=			
簪	tɕien1-			
攒	tsan4			
暂	tsan4			
赞	tsan4			
赃	tsaŋ1			
脏	tsaŋ1			
葬	tsɔŋ4			
脏	tsɔŋ4			
藏	tsɔŋ4			
遭	tso1			
糟	tso1=			
糟	tsau1-			
凿	tsʰak6-			
凿	tsʰat6=			
早	tsa3-			
枣	tso3			
蚤	tsau3-			
皂	tso4			
灶	tsau4-			
造	tso4			
躁	tsʰau4			
则	tɕieʔ5-			
则	tsat5=			
责	tɕik5			
择	tiet6			
泽	tiet6			
仄	tsaʔ5			
贼	tsʰaʔ6-			
贼	tsʰat6-			
曾	tɕiŋ1=			
曾	tsan1-			
增	tɕiŋ1			
憎	tɕiŋ1			
锃	tɕiŋ4			
赠	tɕiŋ4			
赠	tsan4			
扎	tsat5=			
扎	tsaʔ5-			
