汉字	注释	阜南	界首	涡阳	利辛	蒙城	宿州	颍上	霍邱	凤台	寿县	淮南	蚌埠	固镇	五河	凤阳	泗县	濉溪	萧县	怀远	定远	明光	全椒	长丰	肥东
儿		꜁ɚ	꜁ɚ	꜁ɚ	꜁ɚ	꜁ɚ	꜁ɚ/꜁ɭ	꜁e	꜁ɤ	꜁ɛ	꜁ə	꜁ə	꜁a	꜁a	꜁a	꜁a	꜁ɚ	꜁ɚ	꜁ɭ	꜁a	꜁a	꜁a	꜁ɛ	꜁a	꜁a
骑		꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi	꜁ʨʰi/꜁ʦʰɿ	꜁ʨʰi	꜁ʦʰɿ	꜁ʨʰi	꜁ʦʰɿ
牺		꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀sɿ	꜀ɕi	꜀sɿ
椅		꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂i	꜂zɿ	꜂i	꜂zɿ
比		꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pi	꜂pɿ	꜂pi	꜂pɿ
美		꜂mei	꜂mei	꜂mɘ	꜂mei	꜂mei	꜂mei	꜂mei	꜂mei	꜂məi	꜂məɪ	꜂mei	꜂mei	꜂mɘ	꜂mei	꜂mɘ	꜂mɘ	꜂məi	꜂mɘ	꜂mei	꜂mɘ	꜂mɘ	꜂mei	꜂məi	꜂məi
地		ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	ti꜄	tɿ꜄	ti꜄	tɿ꜄	ti꜄	ʦɿ꜄
资		꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ	꜀ʦɿ
死		꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ
迟		꜁ʦʰɿ	꜁tʂʰʅ	꜁tʂʰʅ	꜁tʂʰʅ	꜁tʂʰʅ	꜁tʂʰʅ	꜁ʦʰɿ	꜁ʦʰɿ	꜁ʦʰɿ	꜁ʦʰɿ	꜁ʦʰɿ	꜁ʦʰɿ	꜁ʦʰɿ	꜁tʂʰʅ	꜁tʂʰʅ	꜁ʦʰɿ	꜁tʂʰʅ	꜁tʂʰʅ	꜁ʦʰɿ	꜁tʂʰʅ	꜁tʂʰʅ	꜁tʂʰʅ	꜁ʦʰɿ	꜁ʦʰɿ
师		꜀sɿ	꜀ʂʅ	꜀ʂʅ	꜀ʂʅ	꜀ʂʅ	꜀ʂʅ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀ʂʅ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀ʂʅ	꜀sɿ	꜀sɿ
屎		꜂sɿ	꜂ʂʅ	꜂ʂʅ	꜂ʂʅ	꜂ʂʅ	꜂ʂʅ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂ʂʅ	꜂ʂʅ	꜂ʂʅ	꜂ʂʅ	꜂sɿ	꜂sɿ	꜂ʂʅ	꜂ʂʅ	꜂ʂʅ	꜂sɿ	꜂ʂʅ
饥		꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʦɿ	꜀ʨi	꜀ʦɿ
姨		꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁i	꜁zɿ	꜁i	꜁zɿ
二		ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄	ɚ꜄/꜁ɭ̍	e꜄	a꜄	ɛ꜄	a꜄	a꜄	a꜄	a꜄	a꜄	a꜄	ɚ꜄	ɚ꜄	ɭ̍꜄	a꜄	a꜄	a꜄	ɛ꜄	a꜄	a꜄
你		꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂ni	꜂lɿ	꜂ni	꜂li
李		꜂li/꜂lei	꜂li	꜂li	꜂li	꜂li	꜂li	꜂lei	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂li	꜂lɿ	꜂li	꜂lɿ
字		ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄
寺		sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄
治		ʦɿ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	ʦɿ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	ʦɿ꜄	tʂʅ꜄	tʂʅ꜄	tʂʅ꜄	ʦɿ꜄	tʂʅ꜄
事		sɿ꜄	ʂʅ꜄	ʂʅ꜄	ʂʅ꜄	ʂʅ꜄	ʂʅ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	ʂʅ꜄	sɿ꜄	sɿ꜄	sɿ꜄	sɿ꜄	ʂʅ꜄	sɿ꜄	sɿ꜄
使		꜂sɿ	꜂ʂʅ	꜂ʂʅ	꜂ʂʅ	꜂ʂʅ	꜂ʂʅ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂sɿ	꜂ʂʅ	꜂sə	꜂ʂʅ	꜂ʂʅ	꜂sɿ	꜂sə/꜂sei	꜂sɘ	꜂ʂʅ	꜂ʂʅ	꜂səi	꜂səi
诗		꜀sɿ	꜀ʂʅ	꜀ʂʅ	꜀ʂʅ	꜀ʂʅ	꜀ʂʅ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀sɿ	꜀ʂʅ	꜀ʂʅ	꜀ʂʅ	꜀ʂʅ	꜀sɿ	꜀sɿ	꜀ʂʅ	꜀ʂʅ	꜀ʂʅ	꜀sɿ	꜀ʂʅ
耳		꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂ɚ	꜂e	꜂ɤ	꜂ɛ	꜂ɣə	꜂a/꜂ə	꜂a	꜂ɤ	꜂a	꜂a	꜂ɚ	꜂ɚ	꜂ɭ	꜂a	꜂a	꜂a	꜂ɛ	꜂a	꜂a
基		꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʨi	꜀ʦɿ	꜀ʨi	꜀ʨi
喜		꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂ɕi	꜂sɿ	꜂ɕi	꜂sɿ
医		꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀zɿ	꜀i	꜀zɿ
气		ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʨʰi꜄	ʦʰɿ꜄	ʨʰi꜄	ʦʰɿ꜄
稀		꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀ɕi	꜀sɿ	꜀ɕi	꜀sɿ
衣		꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀i	꜀zɿ	꜀i	꜀zɿ
嘴		꜂ʦuei	꜂ʦuei	꜂ʦuɘ	꜂ʨyei	꜂ʦuei	꜂ʦuei	꜂ʦuei	꜂ʦei/꜂ʦuei	꜂ʦəi	꜂ʦəɪ/꜂ʦuəɪ	꜂ʦei	꜂ʦei	꜂ʦɘ	꜂ʦei	꜂ʦɘ	꜂ʦɘ	꜂ʦuəi	꜂ʦuɘ	꜂ʦei	꜂ʦɘ	꜂ʦɘ	꜂ʦei	꜂ʦəi	꜂ʦəi
吹		꜀ʦʰuei	꜀tʂʰuei	꜀tʂʰuɘ	꜀tʂʰuei	꜀tʂʰuei	꜀tʂʰuei	꜀ʦʰuei	꜀ʦʰuei	꜀ʦʰuəi	꜀ʦʰuəɪ	꜀ʦʰuei	꜀ʦʰuei	꜀ʦʰuɘ	꜀tʂʰuei	꜀tʂʰuɘ	꜀tʂʰuɘ	꜀tʂʰuəi	꜀tʂʰuɘ	꜀ʦʰuei	꜀tʂʰuɘ	꜀tʂʰuɘ	꜀tʂʰuei	꜀ʦʰuəi	꜀ʦʰuəi
睡		sei꜄	ʂuei꜄	ʂɘ꜄	ʂei꜄	ʂei꜄/ʂuei꜄	ʂuei꜄	sei꜄/suei꜄	suei꜄	suəi꜄	səɪ꜄	suei꜄	suei꜄	suɘ꜄	ʂuei꜄	ʂuɘ꜄	ʂuɘ꜄	ʂuəi꜄	ʂuɘ꜄	suei꜄	ʂuɘ꜄	ʂuɘ꜄	ʂuei꜄	suəi꜄	suəi꜄
跪		kuei꜄	kuei꜄	kuɘ꜄	kuei꜄	kuei꜄	kuei꜄	kuei꜄	kuei꜄	kuəi꜄	kuəɪ꜄	kuei꜄	kuei꜄	kuɘ꜄	kuei꜄	kuɘ꜄	kuɘ꜄	kuəi꜄	kuɘ꜄	kuei꜄	kuɘ꜄	kuɘ꜄	kʰuei꜄	kuəi꜄	kuəi꜄
毁		꜂xuei	꜂xuei	꜂xuɘ	꜂xuei	꜂xuei	꜂xuei	꜂xuei	꜂xuei	꜂xuəi	꜂xuəɪ	꜂xuei	꜂xuei	꜂xuɘ	꜂xuei	꜂xuɘ	꜂xuɘ	꜂xuəi	꜂xuɘ	꜂xuei	꜂xuɘ	꜂xuɘ	꜂xuei	꜂xuəi	꜂xuəi
危		꜀uei	꜀uei	꜀uɘ	꜀uei	꜀uei	꜀uei	꜀uei	꜀uei	꜀uəi	꜀uəɪ	꜁vei	꜁vei	꜁vɘ	꜁vei	꜁vɘ	꜀uɘ	꜀uəi	꜀uɘ	꜁vei	꜀uɘ	꜁vɘ	꜀uei	꜀uəi	꜀uəi
泪		lei꜄	lei꜄	lɘ꜄	lei꜄	lei꜄	lei꜄	lei꜄	lei꜄	ləi꜄	ləɪ꜄	lei꜄	lei꜄	lɘ꜄	lei꜄	li꜄	lɘ꜄	ləi꜄	lɘ꜄	lei꜄	lɘ꜄	lɘ꜄	lei꜄	ləi꜄	ləi꜄
醉		ʦuei꜄/ʦei꜄	ʦuei꜄	ʦuɘ꜄	ʨyei꜄	ʦei꜄	ʦuei꜄	ʦei꜄/ʦuei꜄	ʦei꜄	ʦəi꜄	ʦuəɪ꜄	ʦei꜄	ʦei꜄	ʦɘ꜄	ʦei꜄	ʦɘ꜄	ʦɘ꜄	ʦuəi꜄	ʦuɘ꜄	ʦei꜄	ʦɘ꜄	ʦɘ꜄	ʦei꜄	ʦəi꜄	ʦəi꜄
虽		꜀suei	꜀suei	꜀suɘ	꜀ɕyei	꜀sei	꜀suei	꜀suei	꜀suei	꜀səi	꜀səɪ	꜀sei	꜀sei	꜀sɘ	꜀sei	꜀sɘ	꜀suɘ	꜀suəi	꜀suɘ	꜀sei	꜀sɘ	꜀sɘ	꜀sei	꜀səi	꜀səi
追		꜀ʦuei	꜀tʂuei	꜀tʂuɘ	꜀tʂuei	꜀tʂuei	꜀tʂuei	꜀ʦuei	꜀ʦuei	꜀ʦuəi	꜀ʦuəɪ	꜀ʦuei	꜀ʦuei	꜀ʦuɘ	꜀tʂuei	꜀tʂuɘ	꜀tʂuɘ	꜀tʂuəi	꜀tʂuɘ	꜀ʦuei	꜀tʂuɘ	꜀tʂuɘ	꜀tʂuei	꜀ʦuəi	꜀ʦuəi
衰		꜀suɛ	꜀ʂuɛ/꜀fɛ	꜀ʂuɛ/꜀fɛ	꜀fɛ	꜀ʂuɛ	꜀ʂuɛ	꜀suɛ	꜀suɛ	꜀suɛ	꜀suɛ	꜀suɛ	꜀suɛ	꜀suɛ	꜀ʂuɛ	꜀ʂuɛ	꜀ʂuɛ	꜀ʂuɛ	꜀ʂuɛ	꜀suɛ	꜀ʂuɛ	꜀ʂuɛ	꜀ʂuɛ	꜀suᴇ	꜀ʂuɛ
水		꜂sei	꜂fei	꜂ʂuɘ/fɘ	꜂fei	꜂ʂuei/꜂fei	꜂ʂuei	꜂sei	꜂sei	꜂səi	꜂səɪ	꜂sei/꜂suei	꜂suei	꜂suɘ/꜂sɘ	꜂ʂuei	꜂ʂuɘ	꜂ʂuɘ	꜂ʂuəi	꜂ʂuɘ	꜂sei	꜂ʂuɘ	꜂ʂuɘ	꜂ʂuei	꜂suəi	꜂ʂuəi
龟		꜀kuei	꜀kuei	꜀kuɘ	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuei	꜀kuəi	꜀kuəɪ	꜀kuei	꜀kuei	꜀kuɘ	꜀kuei	꜀kuɘ	꜀kuɘ	꜀kuəi	꜀kuɘ	꜀kuei	꜀kuɘ	꜀kuɘ	꜀kuei	꜀kuəi	꜀kuəi
葵		꜁kʰuei	꜁kʰuei	꜁kʰuɘ	꜁kʰuei	꜁kʰuei	꜁kʰuei	꜁kʰuei	꜁kʰuei	꜁kʰuəi	꜁kʰuəɪ	꜁kʰuei	꜁kʰuei	꜁kʰuɘ	꜁kʰuei	꜁kʰuɘ	꜁kʰuɘ	꜁kʰuəi	꜁kʰuɘ	꜁kʰuei	꜁kʰuɘ	꜁kʰuɘ	꜁kʰuei	꜁kʰuəi	꜁kʰuəi
位		uei꜄	uei꜄	uɘ꜄	uei꜄	uei꜄	uei꜄	uei꜄	uei꜄	vəi꜄	uəɪ꜄	uei꜄/vei꜄	vei꜄	vɘ꜄	vei꜄	vɘ꜄	uɘ꜄	uəi꜄	uɘ꜄	vei꜄	uɘ꜄	vɘ꜄	uei꜄	uəi꜄	uəi꜄
飞		꜀xuei	꜀fei	꜀fɘ	꜀fei	꜀fei	꜀fei	꜀xuei	꜀xuei	꜀xuəi	꜀xuəɪ	꜀fei/꜀xuei	꜀fei	꜀fɘ	꜀fei	꜀fɘ	꜀fɘ	꜀fəi	꜀fi	꜀fei	꜀fɘ	꜀fɘ	꜀fei	꜀fəi	꜀fəi
肥		꜁xuei	꜁fei	꜁fɘ	꜁fei	꜁fei	꜁fei	꜁xuei	꜁xuei	꜁xuəi	꜁xuəɪ	꜁xuei	꜁fei	꜁fɘ	꜁fei	꜁fɘ	꜁fɘ	꜁fəi	꜁fi	꜁fei	꜁fɘ	꜁fɘ	꜁fei	꜁xuəi/꜁fəi	꜁fəi
尾		꜂uei	꜂uei	꜂i/꜂uɘ	꜂uei	꜂uei	꜂uei	꜂uei	꜂uei/꜂i	꜂uəi	꜂uəɪ	꜂uei/꜂i	꜂uei/꜂i	꜂vei/꜂i	꜂vei/꜂i	꜂i	꜂uɘ	꜂uəi	꜂uɘ/꜂i	꜂i	꜂uɘ	꜂vɘ	꜂uei	꜂uəi	꜂uəi
鬼		꜂kuei	꜂kuei	꜂kuɘ	꜂kuei	꜂kuei	꜂kuei	꜂kuei	꜂kuei	꜂kuəi	꜂kuəɪ	꜂kuei	꜂kuei	꜂kuɘ	꜂kuei	꜂kuɘ	꜂kuɘ	꜂kuəi	꜂kuɘ	꜂kuei	꜂kuɘ	꜂kuɘ	꜂kuei	꜂kuəi	꜂kuəi
徽		꜀xuei	꜀xuei	꜀xuɘ	꜀xuei	꜀xuei	꜀xuei	꜀xuei	꜀xuei	꜀xuəi	꜀xuəɪ	꜀xuei	꜀xuei	꜀xuɘ	꜀xuei	꜀xuɘ	꜀xuɘ	꜀xuəi	꜀xuɘ	꜀xuei	꜀xuɘ	꜀xuɘ	꜀xuei	꜀xuəi	꜀xuəi
伟		꜂uei	꜂uei	꜂uɘ	꜂uei	꜂uei	꜂uei	꜂uei	꜂uei	꜂uəi	꜂uəɪ	꜂vei	꜂vei	꜂vɘ	꜂vei	꜂vɘ	꜂uɘ	꜂uəi	꜂uɘ	꜂vei	꜂uɘ	꜂vɘ	꜂uei	꜂uəi	꜂uəi
保		꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ	꜂pɔ
毛		꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ	꜁mɔ
刀		꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ	꜀tɔ
道		tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄	tɔ꜄
脑		꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂nɔ	꜂lɔ
老		꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂lɔ	꜂nɔ	꜂lɔ	꜂lɔ
草		꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ	꜂ʦʰɔ
嫂		꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ	꜂sɔ
高		꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ	꜀kɔ
好		꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ	꜂xɔ
袄		꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɣɔ	꜂ɔ	꜂ɣɔ	꜂ʐɔ
炮		pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄	pʰɔ꜄
跑		꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ	꜂pʰɔ
闹		nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	nɔ꜄	lɔ꜄
抓		꜀ʦɔ	꜀tʂua	꜀tʂua	꜀tʂua	꜀tʂua	꜀tʂua	꜀ʦua	꜀ʦua	꜀ʦua	꜀ʦua	꜀ʦua	꜀ʦua	꜀ʦua	꜀tʂua	꜀tʂua/꜂tʂɔ	꜀tʂua	꜀tʂua	꜀ʦua	꜀ʦua	꜀tʂua	꜀tʂua	꜀tʂua	꜀ʦua	꜀tʂua
巢		꜁ʦʰɔ	꜁tʂʰɔ	꜁tʂʰɔ	꜁tʂʰɔ	꜁tʂʰɔ	꜁tʂʰɔ	꜁ʦʰɔ	꜁ʦʰɔ	꜁ʦʰɔ	꜁ʦʰɔ	꜁ʦʰɔ	꜁ʦʰɔ	꜁ʦʰɔ	꜁tʂʰɔ	꜁tʂʰɔ	꜁tʂʰɔ	꜁tʂʰɔ	꜁ʦʰɔ	꜁ʦʰɔ	꜁tʂʰɔ	꜁tʂʰɔ	꜁tʂʰɔ	꜁ʦʰɔ	꜁tʂʰɔ
敲		꜀ʨʰiɔ	꜀ʨʰiɔ	꜀ʨʰiɔ	꜀ʨʰiɔ	꜀ʨʰiɔ	꜀ʨʰiɔ	꜀ʨʰiɔ	꜀ʨʰiɔ	꜀ʨʰiɔ	꜀ʨʰiɔ/꜀kʰɔ	꜀ʨʰiɔ	꜀ʨʰiɔ/꜀kʰɔ	꜀ʨʰiɔ/꜀kʰɔ	꜀ʨʰiɔ/꜀kʰɔ	꜀ʨʰiɔ	꜀ʨʰiɔ	꜀ʨʰiɔ	꜀ʨʰiɔ/꜀kʰɔ	꜀ʨʰiɔ/꜀kʰɔ	꜀ʨʰiɔ/꜀kʰɔ	꜀ʨʰiɔ	꜀ʨʰiɔ/꜀kʰɔ	꜀ʨʰiɔ	꜀kʰɔ
