例字	沙坡头文昌	沙坡头宣和	沙坡头迎水桥	沙坡头永康	沙坡头香山	中宁舟塔	海原海城	海原李旺	
园	yei52	yæ̃52	yei53	yan53	yæ̃53	yan53	yæ52	yæn243	
远	yei52	yæ̃52	yei53	yan53	yæ̃53	yan53	yæ52	yæn53	
血(流～)	ɕiə13	ɕiə13	ɕiə13	ɕiə13	ɕiə13	ɕiə13	ɕiə13	ɕiə243	
穴	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə132	
吞	tʰuei44	tʰuŋ44	tʰuei44	tʰuŋ44	tʰəŋ44	tʰuŋ44	tʰəŋ52	tʰuŋ132	
根	kei44	kəŋ44	kei44	kəŋ44	kəŋ44	kəŋ44	kəŋ52	kəŋ243	
恨	xei13	xəŋ13	xei13	xəŋ13	xəŋ13	xəŋ13	xəŋ13	xəŋ44	
恩	ei44	əŋ44	ei44	əŋ44	əŋ44	əŋ44	əŋ52	nəŋ132	
笔	pi13	pi13	pi13	pi13	pi13	pi13	pi13	pi132	
民	mei52	miŋ52	mei53	miŋ53	miŋ53	miŋ53	miŋ13	miŋ13	
