汉字	芦浦	筱村	雅阳	注释
腹	pəʔ7	pɛʔ7	pu6	
腹	fəʔ7	fəuʔ7	puʔ7	
罚	fəʔ8	fɛʔ8	huaʔ8	
服	vəʔ8	fəuʔ8	huʔ8	
伏	hɔ6	fəuʔ8	huʔ8	埋~
目	məʔ8	məuʔ8	muʔ8	
六	ləʔ8	ləuʔ8	lɛʔ8	
竹	təʔ7	təuʔ7	tuʔ7	
筑		təuʔ7	tuʔ7	
畜	səʔ7	tʰau5	huʔ7	~生
缩	səʔ7	səuʔ7	suʔ7	
粥	tsəʔ7	tɕiəuʔ7	tsuʔ7	
叔	səʔ7	ɕiəuʔ7	suʔ7	
熟	zəʔ8	ɕiəuʔ8	suʔ8	
肉	ȵiəʔ8	ȵiəuʔ8	nuʔ8	
曲	tɕʰiəʔ7	tɕʰiəuʔ7	kʰyɛʔ7	
育	iəʔ7	iəuʔ7	iɔʔ7	
蜂	pʰɔŋ1	pʰəŋ1	pʰuŋ1	
蜂	hɔŋ1	fəŋ1		
缝	bɔŋ2	pəŋ2	puŋ2	动
缝	vɔŋ2	fəŋ2		动
缝	hɔŋ2			~衣服
缝	hɔŋ6			门~
奉	hɔŋ6			
俸	hɔŋ6			
浓	nɔŋ2	ȵiəŋ2	nuŋ2	
龙	lɔŋ2	ləŋ2	luŋ2	
从	dzɔŋ2	səŋ2	tsuŋ2	介
松	sɔŋ1	səŋ1	suŋ1	~树
诵	sɔŋ5	səŋ5		
重	dɔŋ6	təŋ6	tɛŋ6	形
重	dzɔŋ6	tsəŋ6		
肿	tsɔŋ3	tsəŋ3	tsuŋ3	
种	tsɔŋ5	tsəŋ5	tsuŋ5	动
舂	tsɔŋ1	tsəŋ1	tsuŋ1	
恭	kɔŋ1	kəŋ1	kiuŋ1	
共	gɔŋ6	tɕiəŋ6	kiuŋ6	
胸	ɕiɔŋ1	ɕiəŋ1	ɕiuŋ1	
容	iɔŋ2	iəŋ2	iuŋ2	
用	iɔŋ6	iəŋ6	iuŋ6	
绿	ly6	ləu6	lyɛ6	
足	tsəʔ7	tɕiɔʔ7	tɕiɔʔ7	
粟	tɕʰy5	tɕʰyəu5	tɕʰyɛ5	
粟	səʔ7		suʔ7	
俗	ʑiəʔ8	ɕiɔʔ8	ɕiɔʔ8	
烛	tɕy5	tɕyəu5	tɕyɛ5	
褥	zəʔ8	ɕiəuʔ8		
曲	tɕʰiəʔ7	kʰiɔʔ7	kʰyɛʔ7	
曲		tɕʰiɔʔ7		
局	dʑiəʔ8	tɕiɔʔ8	kiɔʔ8	
玉	ȵiəʔ8	ȵiɔʔ8	ȵiɔʔ8	
浴	iəʔ8	iɔʔ8	yɛ6	
宰	tsa3			~相
宰	tse3			屠~
翰	he6			
痕	ᴀŋ2			
痕	hᴀŋ2		hɛŋ2	
核	hɔ6			水果的核
恒	hᴀŋ2			
衡	hᴀŋ2			
斛	hɔ6			
霞	o2			
毫	hɔ2			
蟆	hɔ2			虾~
宏	hɔŋ2			
符	vu2	hu2	huɔ2	
烦	ve2	fã2	huaŋ2	
巫	vu3	u1	hu1	
微	vi2	mi1	hue1	
微		ve1		
趁			tʰieŋ5	原文记作赚
卓		tiɔʔ7	tɔ5	
琢			tɔʔ7	
啄			tɔʔ7	
爹	ti1	tia1	tia1	
蜘		təu1		
住	dieu6			
潮	dieu2			
丑	tʰieu3	tʰiou3	tʰieu3	
绸		tʰiou2	tʰieu2	
稠			tʰieu2	
蛰			teʔ8	
传		tỹɛ2	tyɛŋ2	
椽	dø2	tʰỹɛ2	tʰyɛŋ2	
郑	dã6	tã6	taŋ6	
筛		tʰai1	tʰai1	
𥭘		tʰai1	tʰai1	原文记作筛
窗	tʰɔŋ1	tʰɔ̃1		
哥	ku1	kou1	kɔ1	
夸	kʰua1	kʰua1	kʰua1	
久	tɕieu3	tɕiou3	kieu3	
虾	ho2	ha2	ha2	
虾		huɔ2		
喜	ɕi3	sɿ3	hi3	
闲	ai2	ɛ̃2	eŋ2	
贤	i2	ɕi2	ɕiɛŋ2	
现	i6	ɕi6	ɕiɛŋ6	
悬	gai2	kɛ̃2	kɛŋ2	高
咬	gɔ6	ka6	ka6	
猴		kau2	kau2	
锐	zai6	ɕyəu6		
页			ɕiaʔ8	
翼	ȵiəʔ8	ȵi6		
疫		ȵi6		
夷		ȵi2		武~山
茄	dʑy2	tɕyəu2	kyɛ2	
茄	ɡa2			
靴	ɕy1			
锣	lɑu2	lou2	lɔ2	
左	tsu3	tsou3	tsɔ3	
何	vu2	hou2	hɔ2	
波	pu1	pʰou1	pɔ1	
坡	pʰu1	pʰou1		
雅		ŋa3		
阿			a1	~胶
爸	pa5			
妈	mã2			
拿	na2			
洒	sa5			
丫	ia1			
除			ty2	
署			ɕy6	
竖			ɕy6	
舒			ɕy1	
输			ɕy1	运~
举			ky3	
具			ky6	
蛛			tɕyɛ1	
暑			ɕyɛ3	
驴	lu2			新文读
庐	lu2			
夫			hu1	
夫			huɔ1	
府			hu3	
武			u3	
朱			tɕyɛ1	
屡			ly3	
遇			ȵy6	
胎	tʰø1	tʰuə1	tʰai1	
内	nai6	nuə6	nɔi6	~部
推	tʰø1	tʰuə1	tʰɔi1	
埋	me2	mai2	mai2	
寨	dze6	sai6	tsai6	
柴	dzɔ2	tsʰa2	tsʰa2	
碓	ta5	tai5	tai5	
腿	tʰa3	tʰai3	tʰai3	
底	ti3	te3	te3	
底	tai3			
妻	tsʰai1		tsʰe1	
西	sai1	se1	se1	
罢		pa6	pa6	
礼		le3	le3	
批			pʰi1	
际			tɕiɛ5	
制			tɕiɛ5	
启			kʰiɛ3	
题			te2	
比	pi3	pi3	pi3	
私	sɿ1	sɿ1		
器	tsʰɿ5	tsʰɿ5	kʰi5	
棋	dzɿ2	tsɿ2	ki2	
机	tsɿ1	tsɿ1	ki1	
希	ɕi1	sɿ1	ɕi1	
知		tsɿ1		
知		tɕie1	tɕiɛ1	
披		pʰi1	pʰi1	
脾		pʰi2	pʰi2	
义		ȵi6	ȵiɛ6	
易		i6	iɛ6	容易
碑		pe2		
篱		le2	liɛ2	
璃		le2		
匙		se3		
豉		ɕie6		
智			tɕi5	
奇			ki2	
牺			ɕi1	
此			tsʰu3	
赐			tsʰu5	
次			tsʰu5	
自			tsu6	
慈			tsu2	
司			su1	
尸	sɿ1	sɿ1	ɕi1	
持	dzɿ2	tsɿ2	tɕi2	
趾	tsɿ3	tsɿ3	tɕi3	
枣	tsɑu3	tsou3	tsɔ3	
孝			hau5	
操		tsʰɛu1	tsʰɛu1	早~
操		tsʰau5		曹~
奥			ɛu5	
找	tsɔ3	tsau3	tsau3	
标	pieu1	piɛu1	piɛu1	
刁			tiɛu1	
尿			ȵiɛu6	
箫			ɕiɛu1	
晓			ɕiɛu3	
雕			tɛu1	
疗			lieu2	
锹			tɕʰieu1	
掉			tieu5	
兜			tau1	
嗽			sau5	
亩			mɛu3	
牡			mɔ3	
戊			mɔ6	
拇			mu3	
鬥	tɔ5			
鬥	tɑu5			
否			pʰɛu3	
谋	mɑu2	mɛu2	mɛu2	
皱	tsɑu5	tsɛu5	tsɛu5	
柳			lieu2	
彪	pieu1	piɛu1	piɛu1	
谬	mieu6	miɛu6	miɛu6	
救	tɕiɑu5	tɕiou5	kieu5	
优	iɑu1	iou1	ieu1	
点			tɛŋ3	
陕			ɕiɛŋ3	
碟			tiɛʔ8	
獭	tʰəʔ7	tʰɛʔ7		
坦			tiaŋ2	名
懒			tiaŋ3	
官	kue1	kuã1	kuaŋ1	
沫	məʔ8	mɛʔ8	muaʔ8	
团	dø2	tɔ̃2	tɔŋ2	
丸	ø2			
简	ke3	kã3	kaŋ3	
简	kai3			
班	pa1	pã1	paŋ1	
蛮	mai2			
蛮	me2			
幻	ve3		uaŋ6	
湾	ve1	vã1	uaŋ1	
善	ʑi6	ɕi6	ɕiɛŋ6	
钱	zai2			~库：地名
哲		tsɛʔ7	tsɛʔ7	
囝			kiaŋ3	
全	ʑy2	ɕỹɛ2	tɕyɛŋ2	
川	tɕʰy1	tɕʰỹɛ1	tɕyɛŋ1	
圆	y2	ỹɛ2	yɛŋ2	
越	iəʔ8	yɛʔ8	yɛʔ8	
番	fe1	fã1	huaŋ1	
晚	ve3	vã3	uaŋ3	
晚	mɔ6			
髮		pɔʔ7	puɔʔ7	头~
髮		fɛʔ7		
宴		i5	iɛŋ5	
穴			ɕiaʔ8	
审	ɕieŋ3	ɕieŋ3	seŋ3	
笠	liəʔ8	leʔ8	leʔ8	
跟	kᴀŋ1	kɛ̃1	kɛŋ1	
恳	kʰᴀŋ3	kʰɛ̃3	kʰɛŋ3	
垦	kʰᴀŋ3	kʰɛ̃3	kʰɛŋ3	
很	hᴀŋ3		hɛŋ3	
闷	mᴀŋ6	meŋ6	muŋ6	
饨	dᴀŋ2	teŋ2	tyŋ5	
仑	lᴀŋ2	leŋ2	lyŋ2	
棍	kuᴀŋ5	kueŋ5	kuŋ5	
浑		veŋ2	huŋ3	
臀	dø2	tɔ̃2	tɔŋ2	
不	pəʔ7	pəuʔ7	puʔ7	
勃	bəʔ8	pɔʔ8	puaʔ8	
勃		pɛʔ8		
没	məʔ8			
窟	kʰəʔ7	kʰueʔ7	kʰuʔ7	
宾	pieŋ1	peŋ1	pieŋ1	
辛	ɕieŋ1	ɕieŋ1	seŋ1	
因	ieŋ1	ieŋ1	ieŋ1	
乞	tɕʰiəʔ7		kʰeʔ7	
允	iɔŋ3	yŋ3	yŋ3	
坟	vᴀŋ2	feŋ2	huŋ2	
物	məʔ8	meʔ8		
物	vəʔ8		uʔ8	
分	fᴀŋ1	feŋ1	huŋ1	
分	pø1	puə1		
唐	dɔ̃2	tɔ̃2	tɔŋ2	
赃	tsɔ̃1	tsɔ̃1	tsɔŋ1	
康	kʰɔ̃1	kʰɔ̃1	kʰɔŋ1	
博	pəʔ7	pɔʔ7	pɔʔ7	
鹤	ŋəʔ8	ŋɔʔ8	ŋɔʔ8	
刚	kɔ̃1	kã1	kɔŋ1	
刚	tɕiã1	tɕiã1	tɕiaŋ1	
粮	liɔ̃2	liɔ̃2	liɔŋ2	
阳	iɔ̃2	iɔ̃2	iɔŋ2	
约	iəʔ7	iɛʔ7	iaʔ7	
两	lɔ̃3			单位
创	tsʰɔ̃5	tsʰɔ̃5	tsʰɔŋ5	
爽	sɔ̃3	sɔ̃3	sɔŋ3	
仿	fɔ̃3	fɔ̃3		
旺	vɔ̃6	vɔ̃6	uɔŋ6	
项	ɔ̃6	ɔ̃6	hɔŋ6	
驳	pəʔ7	pɔʔ7	pɔʔ7	
岳	ŋəʔ8	ŋɔʔ8	ŋɔʔ8	
登	tᴀŋ1	tɛ̃1	tɛŋ1	
勒	ləʔ8	lɛʔ8		
克	kʰəʔ7	kʰɛʔ7	kʰɛʔ7	
等	tai3			
等	tᴀŋ3			
凳		teŋ5	tieŋ5	
菱	lieŋ2	leŋ2	lieŋ2	
织	tɕiəʔ7	tɕieʔ7	tseʔ7	
测	tsʰəʔ7	tsʰɛ7	tsʰɛ7	
杏		hɛ̃6	hɛŋ6	
茎	tɕieŋ1	tɕieŋ1	tɕieŋ1	
莺	ieŋ1	ieŋ1	ieŋ1	
鹦	ieŋ1	ieŋ1	ieŋ1	
樱	ieŋ1	ieŋ1	ieŋ1	
魄	pʰəʔ7	pʰɛʔ7	pʰɛʔ7	
择	dzəʔ7	tsɛʔ8	tsɛʔ8	
责	tsəʔ7	tsɛʔ7	tsɛʔ7	
革	kəʔ7	kɛʔ7	kɛʔ7	
明	mieŋ2	meŋ2	mieŋ2	
令	lieŋ6	leŋ6	lieŋ6	
政	tɕieŋ5	tɕieŋ5	tɕieŋ5	
停	dieŋ2	teŋ2	tieŋ2	
星	ɕieŋ1	ɕieŋ1		
惊	tɕiã1	tɕiã1	kiaŋ1	
请	tɕiã3	tɕiã3	tɕiaŋ3	
璧	piəʔ7	peʔ7		
积	tɕiəʔ7	tɕieʔ7	tɕeʔ7	
适	ɕiəʔ7	ɕieʔ7	seʔ7	
顷	tɕʰiɔŋ3	tɕʰiəŋ3		
铜	dɔŋ2	təŋ2	tɛŋ2	
总	tsɔŋ3	tsəŋ3	tsuŋ3	
公	kɔŋ1	kəŋ1	kuŋ1	
农	nɔŋ2	nəŋ2		
忠	tsɔŋ1	tsəŋ1	tsuŋ1	
融	iɔŋ2	iəŋ2	iuŋ1	
封	hɔŋ1	fəŋ1	huŋ1	
菊	tɕiəʔ7	tɕiəuʔ7	kiɔʔ7	
录	ləʔ8	liɔʔ8	liɔʔ8	
属	dʑiəʔ8	ɕiɔʔ8	ɕiɔʔ8	
重			tsuŋ2	重~
宿			suʔ7	
速			suʔ7	
垄			lɛŋ2	
笼			lɛŋ2	
墓		mou5		
露		lu5	lu5	
饲	tsʰɿ5	tsʰɿ5	tsʰi5	喂养
喝	ha3			
霍	hɔ3			
藿	hɔ3			
黑	ha3	hɛʔ7	hɛʔ7	
福	hɔ3	fəuʔ7	huʔ7	
屋	ɔ3			
耽	te1	tã1	taŋ1	
担	te1	tã1	taŋ1	
