漢字	iPA	注釋
圓	i ̃2	
院	i ̃6	
緣	uaŋ2	
沿	ɛŋ2	
鉛	ɛŋ2	
捐	kiaŋ1	
兗	iaŋ4	
兗	iaŋ3	
藩	pʰuaŋ1	
反	pɔi ̃3	白
反	huaŋ3	
翻	huaŋ1	
番	huaŋ1	
販	huaŋ5	
煩	huaŋ2	
礬	huaŋ2	
繁	huaŋ2	
繁	pʰɔ2	又，姓氏
飯	puŋ6	
晚	muŋ3	
挽	maŋ3	
萬	buaŋ6	文
勸	kʰŋ5	
券	kuaŋ5	
元	ŋəŋ2	訓“銀”
元	ŋuaŋ2	文
元	ŋaŋ2	又，开~寺
原	ŋuaŋ2	
源	ŋuaŋ2	
阮	ŋ3	俗
阮	ŋuaŋ3	
願	ŋuaŋ4	
喧	suaŋ1	
楦	suaŋ1	
冤	uaŋ1	
宛	uaŋ3	
婉	uaŋ3	
怨	uaŋ3	
袁	uaŋ2	
園	hŋ2	
援	iaŋ4	
垣	huaŋ2	
遠	hŋ4	白
遠	iaŋ3	
涓	kiaŋ1	
犬	kʰiaŋ3	
懸	kui ̃2	白，~大
懸	hiaŋ2	
玄	hiaŋ2	
縣	kui ̃6	
眩	hɛŋ2	
眩	hiaŋ2	文
淵	iaŋ1	
淵	uaŋ1	又
缽	puaʔ7	
撥	puaʔ7	
潑	pʰuaʔ7	
潑	pʰuak7	俗
鈸	buaʔ8	
鈸	puak8	文
跋	puaʔ8	
跋	puak8	文
末	buaʔ8	
末	muak8	文
抹	buaʔ7	
沫	buaʔ8	
沫	muak8	
掇	tɔʔ8	
掇	tsʰuak7	又，俗
脫	tʰuk7	
奪	tɔʔ8	
捋	luk8	
捋	luak7	文
撮	tsʰɔʔ7	
撮	tsʰuak7	文
括	kuak7	
闊	kʰuaʔ7	
豁	hak7	
活	uaʔ8	
斡	uk7	
斡	uak7	文
滑	kuk8	
猾	kuk8	
挖	uai1	
刷	suɛʔ7	
刮	kuɛʔ7	
劣	luak7	
絕	tsɔʔ8	
雪	sɔʔ7	
輟	tsʰuak7	
拙	tsʰuak7	
說	suɛʔ7	
悅	dzuak8	
閲	luak7	
發	huak7	
髮	huak7	
伐	huak8	
筏	huak8	
罰	huak8	
襪	guɛʔ8	
襪	buɛʔ8	又
厥	kʰiak7	
孓	kʰuak7	
孓	kuak7	俗
闕	kʰuɛʔ7	
闕	kʰiak7	文
掘	kuk8	
橛	kʰɛk8	
橛	kuɛʔ8	又
橛	kʰiak7	文
月	guɛʔ8	
噦	uɛʔ7	
越	uak8	
曰	iak7	
曰	uak7	又，白
粵	uak8	
決	kuak7	
訣	kuak7	
缺	kʰuɛʔ7	
缺	kʰiʔ7	又
血	huɛʔ7	
穴	huak8	
吞	tʰuŋ1	
根	kəŋ1	
跟	kəŋ1	
墾	kʰəŋ3	
懇	kʰəŋ3	
齦	ŋəŋ3	
痕	huŋ2	
很	həŋ3	
恨	həŋ4	
恩	əŋ1	
彬	piŋ1	
彬	piaŋ1	
賓	piŋ1	
賓	piaŋ1	又
檳	pɛŋ1	槟榔
殯	pɛŋ5	
殯	piŋ1	俗
貧	pʰɛŋ2	
頻	pʰɛŋ2	
牝	pʰɛŋ3	
閩	maŋ2	
民	mɛŋ2	
泯	mɛŋ2	
敏	miaŋ3	
憫	miaŋ3	
鄰	lɛŋ2	
鱗	laŋ2	
鱗	lɛŋ2	文
磷	lɛŋ2	
吝	liaŋ4	
吝	lɛŋ6	又
津	tsɛŋ1	
盡	tsɛŋ4	
進	tsɛŋ5	
晉	tsɛŋ5	
親	tsʰɛŋ1	
秦	tsʰɛŋ2	
辛	sɛŋ1	
新	sɛŋ1	
薪	tsɛŋ1	
薪	sɛŋ1	又
信	sɛŋ5	
信	siaŋ5	相信
訊	sɛŋ5	
珍	tiaŋ1	
鎮	tɛŋ5	
趁	tʰaŋ5	
陳	taŋ2	白
陳	tɛŋ2	又
陳	tʰɛŋ2	又
陳	tsʰɛŋ2	文
塵	tɛŋ2	
塵	tʰuŋ2	
陣	tɛŋ6	
陣	tsuŋ6	白
陣	tsuŋ2	又
榛	tsɛŋ1	
臻	tsɛŋ1	
襯	tsʰɛŋ5	
襯	tsʰɛŋ5	又
真	tsɛŋ1	
診	tsiaŋ3	
疹	tsiaŋ3	
振	tsɛŋ3	
震	tsɛŋ3	
娠	sɛŋ2	
神	sɛŋ2	
身	sɛŋ1	
申	sɛŋ1	
伸	tsʰuŋ1	白
伸	sɛŋ1	
娠	sɛŋ2	
辰	sɛŋ2	
晨	sɛŋ2	
臣	tsʰɛŋ2	
腎	siaŋ4	
慎	siŋ3	
人	dzɛŋ2	
人	naŋ2	訓“儂”
仁	dzɛŋ2	
忍	luŋ3	白
忍	dziŋ3	
認	dzɛŋ6	
刃	dziŋ3	
巾	kəŋ1	
緊	kɛŋ3	
僅	kəŋ3	
銀	ŋəŋ2	
釁	hiaŋ5	
因	ɛŋ1	
姻	ɛŋ1	
印	ɛŋ5	
寅	ɛŋ2	
引	ɛŋ3	
斤	kəŋ1	
筋	kəŋ1	
謹	kəŋ3	
勤	kʰəŋ2	
芹	kʰəŋ2	
近	kəŋ4	
欣	həŋ1	
殷	həŋ1	
隱	əŋ3	
筆	pɛk7	
畢	pɛk8	
畢	piak7	又
必	pɛk7	
匹	pʰɛk7	
弼	pɛk8	
密	mɛk8	
蜜	bɛk8	
昵	nɛk8	
栗	lak8	白，猴~
栗	liak8	
七	tsʰɛk7	
漆	tsʰak7	
疾	tsik8	
悉	sɛk7	
膝	tsʰɛk7	
窒	tʰak7	白
窒	tiak7	
侄	tiak7	
秩	tiak7	
瑟	sɛk7	
虱	sak7	
質	tsiɔʔ7	
實	sɛk8	
失	sɛk7	
室	sɛk7	
日	dzɛk8	
吉	kiak7	又
詰	kiak7	
一	ɛk7	
乙	ɛk7	
逸	ɛk8	
乞	kʰəʔ7	白，~伊
乞	kʰək7	
奔	puŋ1	
本	puŋ3	
噴	puŋ5	
盆	pʰuŋ2	
笨	puŋ3	
笨	puŋ5	
門	muŋ2	
燜	buŋ1	
悶	buŋ4	又
悶	buŋ6	
敦	tuŋ1	
墩	tuŋ1	
頓	təŋ5	
頓	tuŋ4	文
頓	tɔk7	又，冒~單于
褪	tʰəŋ5	
褪	tʰɔ5	又
屯	tʰuŋ2	
豚	tʰuŋ2	
飩	tʰuŋ1	
臀	tiaŋ4	俗
臀	tau3	俗
臀	tʰuŋ2	
囤	tuŋ1	
囤	tuŋ4	
囤	tʰuŋ2	
沌	tuŋ4	
盾	tuŋ3	
鈍	tuŋ4	
遁	tuŋ4	
嫩	luŋ5	
侖	luŋ2	
論	luŋ4	
尊	tsuŋ1	
村	tsʰəŋ1	
忖	tsʰuŋ3	
寸	tsʰuŋ5	
存	tsʰuŋ2	
蹲	tuŋ1	
蹲	tsʰəŋ2	又
蹲	tsʰuŋ2	文
孫	səŋ1	白，姓氏
孫	suŋ1	
損	suŋ3	
遜	suŋ5	
昆	kʰuŋ1	
崑	kʰuŋ1	
滾	kuŋ3	
棍	kuŋ5	
坤	kʰuŋ1	
捆	kʰuŋ3	
困	kʰuŋ5	
昏	huŋ1	
婚	huŋ1	
魂	huŋ2	
餛	huŋ2	
混	huŋ4	
渾	huŋ2	
溫	uŋ1	
瘟	uŋ1	
穩	uŋ3	
倫	luŋ2	
淪	luŋ2	
輪	luŋ2	
輪	lɛŋ3	俗
遵	tsuŋ1	
俊	tsuŋ5	
竣	tsuŋ5	
皴	tsʰuaŋ1	
皴	tsʰuŋ1	文
荀	suŋ2	
詢	suŋ2	
筍	suŋ3	
迅	sɛŋ5	
浚	tsuŋ5	
浚	suŋ5	
旬	suŋ2	
循	suŋ2	
巡	suŋ2	
殉	suŋ2	
椿	tsʰuŋ1	
諄	tuŋ1	
肫	tuŋ1	
准	tsuŋ3	
春	tsʰuŋ1	
蠢	tsʰuŋ3	
唇	tuŋ2	
盾	tuŋ3	
順	suŋ4	
舜	suŋ5	
瞬	suŋ5	
純	suŋ2	
蒓	suŋ2	
醇	suŋ2	
潤	dzuŋ4	
閏	dzuŋ4	
均	kəŋ1	
鈞	kəŋ1	
菌	kʰuŋ3	
窘	kʰuŋ3	
窘	kʰuk7	又
隕	uŋ2	
隕	uŋ4	又
隕	uŋ6	又
勻	uŋ2	
允	dzuŋ3	
尹	əŋ3	
分	puŋ1	白
分	huŋ1	
粉	huŋ3	
糞	puŋ5	白
糞	huŋ5	
奮	huŋ5	
芬	huŋ1	
紛	huŋ1	
忿	huŋ3	
墳	pʰuŋ2	
焚	uŋ2	
憤	huŋ5	
份	huŋ6	
文	buŋ2	
紋	buŋ2	
蚊	buŋ1	
聞	buŋ4	
吻	buk7	
刎	buk7	
問	muŋ6	
君	kuŋ1	
軍	kuŋ1	
群	kʰuŋ2	
裙	kuŋ2	
郡	kuŋ6	
熏	həŋ1	
熏	huŋ1	文
勛	həŋ1	
薰	həŋ1	
薰	huŋ1	文
葷	huŋ1	
訓	huŋ5	
熨	uk7	
雲	huŋ2	
云	uŋ2	
韻	uŋ6	
運	uŋ6	
暈	uŋ6	
不	puk7	
勃	puak8	
脖	puak8	
沒	mɔk8	
沒	muk8	
突	tuk8	
卒	tsuk7	
猝	tsui4	
骨	kuk7	
窟	kʰuʔ7	
窟	kʰuk7	文
忽	huk7	
核	huk8	
律	luk8	
率	tsuk7	
率	suk7	
卒	tsui4	
戌	suk7	
恤	suk7	
絀	tsʰuak7	
蟀	suk7	
出	tsʰuk7	
術	suk8	
述	suk8	
秫	tsuk8	
橘	kɛk7	
弗	huk7	
拂	huk7	
佛	huk8	
物	miʔ7	又，~個
物	muɛʔ8	
勿	mai5	訓
勿	buk7	文
勿	muk7	又
屈	kʰuk7	
掘	kuk8	
倔	kʰuk7	
氯	lɛk8	
幫	paŋ1	
榜	paŋ3	
謗	paŋ4	
滂	pʰaŋ2	
旁	pʰaŋ2	
鎊	pɔŋ6	
傍	pʰaŋ2	
傍	paŋ4	
忙	maŋ2	
芒	maŋ2	
茫	maŋ2	
莽	maŋ3	
當	təŋ1	
當	taŋ1	文
黨	taŋ3	
擋	taŋ3	
當	təŋ5	文
當	taŋ5	
湯	tʰəŋ1	
倘	tʰaŋ3	
躺	tʰaŋ3	
燙	tʰəŋ5	
趟	tʰaŋ1	
趟	tʰaŋ3	又
堂	təŋ2	
唐	təŋ2	白，姓氏
唐	tʰaŋ2	
糖	tʰəŋ2	
塘	təŋ2	
螳	tʰaŋ2	
蕩	təŋ4	白
蕩	taŋ4	
宕	taŋ4	
宕	taŋ5	又
囊	laŋ3	
曩	laŋ4	
狼	laŋ2	
廊	laŋ2	
郎	nəŋ2	白
郎	laŋ2	
螂	laŋ2	
朗	laŋ4	
浪	nəŋ6	白，汕尾遮~
浪	laŋ4	
臧	tsaŋ1	
贓	tsəŋ1	白
贓	tsaŋ1	
髒	tsəŋ5	
葬	tsəŋ5	
倉	tsʰəŋ1	
蒼	tsʰaŋ1	
藏	tsʰaŋ2	
藏	tsaŋ4	
臓	tsaŋ4	
桑	səŋ1	
喪	səŋ1	
喪	saŋ5	文
嗓	səŋ1	
嗓	saŋ3	文
岡	kəŋ1	白
岡	kaŋ1	
剛	kaŋ1	
鋼	kəŋ5	
缸	kəŋ1	
綱	kaŋ1	
崗	kəŋ1	
崗	kaŋ1	文
康	kʰaŋ1	
糠	kʰaŋ1	
慷	kʰaŋ1	
抗	kʰaŋ5	
炕	kʰaŋ1	
炕	kʰaŋ5	又
昂	ŋaŋ1	
杭	haŋ2	
航	pʰaŋ2	訓
航	haŋ2	
行	haŋ2	
肮	aŋ1	
娘	niɔ ̃2	
釀	dziaŋ3	
良	liaŋ2	
涼	liaŋ2	
量	niɔ ̃2	
量	liaŋ2	文
糧	niɔ ̃2	
梁	niɔ ̃2	
梁	liaŋ2	文
粱	niɔ ̃2	
粱	liaŋ2	文
兩	nɔ4	
兩	niɔ ̃3	又
兩	liaŋ3	文
亮	liaŋ4	
輛	liaŋ3	
量	liaŋ4	
諒	liaŋ4	
將	tsiaŋ1	
漿	tsiɔ ̃1	
蔣	tsiɔ ̃3	
槳	tsiɔ ̃3	
獎	tsiaŋ5	
將	tsiaŋ5	
醬	tsiɔ ̃5	
嗆	tsʰɔʔ7	白
槍	tsʰiɔ ̃1	
搶	tsʰiɔ ̃3	
牆	tsʰiɔ ̃2	
戕	tsʰiaŋ1	
戕	tsʰaŋ1	又
匠	tsiɔ ̃5	
匠	tsiaŋ4	文
相	siɔ1	白
相	siaŋ1	
廂	siɔ ̃1	
廂	siaŋ1	文
鑲	siaŋ1	
箱	siɔ ̃1	
襄	siaŋ1	
想	siɔ ̃4	
想	siaŋ3	文
鯗	siɔ ̃3	
鯗	siaŋ3	
相	siɔ ̃5	白
詳	siaŋ2	
祥	siaŋ2	
像	tsʰiɔ ̃4	
像	siɔ ̃5	又
像	siaŋ4	文
象	tsʰiɔ ̃4	
張	tiɔ ̃1	
張	tsiaŋ1	文
漲	tsiaŋ5	
長	tiɔ ̃3	白
長	tsiaŋ3	
帳	tiɔ ̃5	
賬	tiɔ ̃5	
脹	tiɔ ̃5	
暢	tʰiaŋ5	
悵	tsiaŋ5	
長	təŋ2	白
長	tsʰiaŋ2	文
腸	təŋ2	
場	tiɔ ̃2	白
場	tsʰiaŋ2	文
丈	təŋ4	白
丈	tiɔ ̃4	又白
丈	tsiaŋ4	文
杖	tsiaŋ4	
仗	tsiaŋ4	
莊	tsəŋ1	
裝	tsəŋ1	
裝	tsuaŋ1	文
壯	tsaŋ5	
瘡	tsʰəŋ1	
創	tsʰaŋ5	
牀	tsʰəŋ2	
狀	tsəŋ6	白
狀	tsɔ4	又白，~元
狀	tsuaŋ4	
霜	səŋ1	
孀	səŋ1	
爽	səŋ3	白，玩
爽	suaŋ3	
章	tsiɔ ̃1	
章	tsiaŋ1	文，规~
樟	tsiɔ ̃1	
樟	tsəŋ1	又，澄海~林
樟	tsiaŋ1	文
掌	tsiɔ ̃3	
障	tsiaŋ5	
昌	tsʰiaŋ1	
廠	tsʰiaŋ3	
廠	aŋ1	又
唱	tsʰiɔ5	白，~曲
唱	tsʰiaŋ5	
倡	tsʰiaŋ5	
商	siaŋ1	
傷	siɔ ̃1	
賞	siɔ ̃3	
餉	hiaŋ5	
常	siɔ ̃2	
常	siaŋ2	文，反~
常	tsʰiaŋ2	又文
嘗	siɔ ̃2	
償	siɔ ̃2	
裳	siaŋ2	
上	tsiɔ ̃4	
上	siaŋ4	文
尚	siɔ ̃6	白，和~
尚	siaŋ4	
上	siɔ ̃6	
瓤	dziaŋ3	
壤	dziaŋ3	
攘	dziaŋ3	
嚷	dziaŋ3	
讓	niɔ ̃6	白
讓	dziaŋ4	
疆	kiaŋ1	
僵	kiaŋ1	
薑	kiɔ ̃1	
羌	kiaŋ1	
強	kiɔ ̃2	
強	kʰiaŋ2	文
強	kʰiaŋ5	又，稱贊
強	kʰiaŋ3	又
仰	ɔ ̃5	白，头~~
仰	ŋ5	又白，依靠
仰	ŋiaŋ3	
香	hiɔ ̃1	
香	hiaŋ1	文
鄉	hiɔ ̃1	
鄉	hiaŋ1	文
享	hiaŋ3	
響	hiaŋ3	
向	hia ̃5	白
向	nia ̃5	又
向	hiaŋ5	文
央	iaŋ1	
秧	ŋ1	
秧	iaŋ1	
殃	iaŋ1	
羊	iɔ ̃2	
洋	iɔ ̃2	白
洋	iaŋ2	文
楊	iɔ ̃2	白
楊	iaŋ2	文
揚	iaŋ2	
陽	iɔ ̃2	白，潮~
陽	iaŋ2	文
養	iɔ ̃3	白
養	iaŋ3	文
癢	tsiɔ ̃4	
癢	iaŋ4	文
樣	iɔ ̃6	
恙	iaŋ4	
博	pʰak7	
薄	pɔ8	
泊	pɔʔ8	
莫	mɔk8	
莫	mɔʔ8	姓氏
膜	mɔʔ8	
摸	mɔu2	
寞	mɔk8	
幕	mɔ4	
托	tʰɔʔ7	
鐸	tak8	
踱	tak8	
度	tak8	
諾	nak8	
落	lauʔ8	
落	lauʔ2	又
落	lɔʔ8	又
落	lak7	又，~皮
落	la4	文，~下
洛	lɔk8	
駱	lɔʔ8	
絡	lɔk8	
酪	lɔk8	
烙	luaʔ7	
樂	lak8	
作	tsɔʔ7	白
作	tsak7	
鑿	tsʰak8	
昨	tsa1	
索	sɔʔ7	白
索	sɔk7	
各	kak7	
閣	kɔʔ7	
胳	kɛʔ7	
鄂	ŋak8	
鱷	ŋak8	
壑	hak7	
鶴	hɔʔ8	
惡	ak7	
掠	liaʔ8	白，抓
掠	liak8	
略	liak8	
爵	tsiak7	
雀	tsiaʔ7	白，打麻~
雀	tsʰiak7	
鵲	tsʰiak7	
嚼	tsiak7	
削	siaʔ7	
酌	tiak7	
酌	tsiak7	又
綽	tsiak7	
綽	tsʰɔk7	又
勺	siaʔ8	
勺	tsiak7	文
芍	tsiak7	
若	na6	又
若	dziɔʔ8	白，提问
若	dziak8	文
弱	dziak8	
腳	kiɔʔ7	
腳	kiɔk7	文
卻	kʰiak7	
虐	ŋiak7	
瘧	ŋiɔuʔ8	
約	iɔʔ7	
約	iak7	文
鉻	kak7	
鑰	iak7	
躍	iak7	
光	kəŋ1	
光	kuaŋ1	文
廣	kəŋ3	白，~州
廣	kuaŋ3	
曠	kʰuaŋ5	
荒	hŋ1	白
荒	huaŋ1	
慌	huaŋ1	
恍	huaŋ3	
謊	huaŋ1	
黃	ŋ2	
蝗	uaŋ2	白
蝗	huaŋ2	
皇	uaŋ2	白
皇	huaŋ2	
汪	uaŋ1	
方	puŋ1	白，姓氏
方	hŋ1	又
方	paŋ1	又
方	huaŋ1	文
肪	huaŋ3	
仿	huaŋ3	
放	paŋ5	
放	huaŋ5	文
芳	pʰaŋ1	
芳	huaŋ1	文
妨	huaŋ2	
紡	pʰaŋ3	
仿	huaŋ3	
彷	huaŋ3	
訪	huaŋ3	
房	paŋ2	
防	huaŋ2	
亡	buaŋ2	
忘	buaŋ2	
忘	buaŋ6	又
網	maŋ4	
望	mɔ6	
望	buaŋ4	文
妄	buaŋ3	
逛	kuaŋ5	
逛	kʰuaŋ1	又
逛	kuaŋ4	又
匡	kʰaŋ1	
匡	kʰuaŋ1	文
筐	kʰɛŋ1	
筐	kʰuaŋ1	文
狂	kʰuaŋ2	
況	kʰuaŋ5	
枉	uaŋ3	
王	hɛŋ2	白，姓氏
王	uaŋ2	
往	uaŋ3	
旺	uaŋ4	
郭	kuɛʔ7	
擴	kʰuaŋ5	
擴	kʰuak7	又
廓	kuak7	
霍	kʰak7	
藿	kʰak7	
鑊	uak8	
縛	pak8	
钁	kʰiak7	
邦	paŋ1	
綁	paŋ3	
胖	pʰuaŋ5	
胖	pʰɔŋ5	又，~大海
龐	pʰaŋ2	
棒	paŋ4	
蚌	hɔŋ3	白
蚌	paŋ4	文
樁	tsɛŋ1	白
樁	tsuaŋ1	文
撞	tsuaŋ4	
窗	tʰɛŋ1	
雙	saŋ1	
江	kaŋ1	
肛	kaŋ1	
扛	kəŋ1	
講	kaŋ3	
講	kɔŋ3	又
港	kaŋ3	
耩	kaŋ3	
降	kaŋ5	
虹	hɔŋ2	
虹	kʰɛŋ4	又
腔	kʰiɔ ̃1	
降	haŋ2	
項	haŋ4	
巷	haŋ6	
剝	pak7	
駁	pɔʔ7	
璞	pʰɔk7	
雹	pʰak7	
卓	tɔʔ8	
桌	tɔʔ7	
琢	tɔʔ7	
啄	tɔʔ7	
戳	tuʔ8	
濁	tsuak8	
濯	tɛk8	
濯	tsuak8	
捉	tsʰɔk7	
鐲	tsʰɔk7	
鐲	tsuak8	又
朔	suak7	
朔	sɔk7	又
覺	kak7	
角	kak7	
角	kiɔʔ7	又
餃	kiɔu3	
確	kʰak7	
殼	kʰak7	
嶽	ŋak8	
樂	gauʔ8	
樂	ŋauʔ8	又
樂	lak8	
學	ɔʔ8	
學	hak8	文
握	ɔk7	
崩	paŋ1	
朋	pʰɛŋ2	
登	tɛŋ1	
燈	tɛŋ1	
等	taŋ3	
等	tʰɛŋ4	又
等	tɛŋ3	文
凳	tɛŋ5	
藤	tɛŋ2	
騰	tʰɛŋ2	
疼	tʰia ̃5	
謄	tʰɛŋ2	
鄧	tɛŋ4	
能	lɛŋ2	
楞	lɛŋ2	
增	tsɛŋ1	
憎	tsɛŋ1	
曾	tsaŋ1	白，姓氏
曾	tsɛŋ1	文
曾	tsɛŋ2	又
層	tsaŋ2	
贈	tsaŋ6	
僧	tsɛŋ1	
亙	kɛŋ5	
肯	kʰɛŋ3	
恒	hɛŋ2	
恒	hɛŋ5	又，俗读
冰	pia ̃1	
憑	pɛŋ2	
淩	lɛŋ2	
菱	lɛŋ2	
陵	lɛŋ2	
徵	tɛŋ1	
澄	tʰɛŋ2	
懲	tɛŋ1	
橙	tsʰɛŋ2	
瞪	tɛŋ5	
蒸	tsɛŋ1	
拯	tsɛŋ3	
證	tsɛŋ5	
症	tsɛŋ5	
稱	tsʰɛŋ1	
秤	tsʰɛŋ5	
乘	sɛŋ2	
乘	sɛŋ4	
繩	sɛŋ2	
剩	sɛŋ2	
剩	sɛŋ2	文
剩	sɛŋ6	
升	sɛŋ1	
勝	sɛŋ5	
承	sɛŋ2	
丞	sɛŋ2	
仍	dzɔŋ2	又
扔	dzɛŋ2	
兢	kʰɛŋ1	
凝	ŋɛŋ2	
興	hɛŋ1	
興	hɛŋ5	
鷹	ɛŋ1	
應	ɛŋ5	
應	ɛŋ5	文
蠅	sɛŋ2	
孕	hɛŋ4	
孕	huŋ6	
北	pak7	
墨	bak8	
万	mɔk8	姓氏
默	mɛk8	
德	tɛk7	
得	tɛk7	
忒	tɛk7	
特	tɛk8	
勒	lɛk8	
勒	tɛk8	又，彌~佛
則	tsɛk7	
塞	sak7	
刻	kʰak7	
刻	kʰɛk7	文
克	kʰiɔk7	
黑	hɛk7	
逼	pɛk7	
匿	nɛk8	
力	lak8	
即	tsiak7	
鯽	tsɛk7	
稷	tsɛʔ7	
息	sɛk7	
熄	sɛk7	
媳	sɛk7	
飭	tʰɛk7	
直	tɛk8	
值	tak8	
值	tɛk8	文
側	tsʰɛk7	
測	tsʰɛk7	
惻	tsʰɛk7	
色	sɛk7	
織	tsɛk7	
職	tsɛʔ7	
食	tsiaʔ7	
食	sɛk8	又，火~
蝕	siʔ8	
識	sɛk7	
式	sɛk7	
飾	sɛk7	
殖	sɛk7	
植	sɛk7	
棘	kɛk7	
極	kɛk8	
憶	ɛk8	
憶	i5	又
憶	i ̃5	又，~得
億	ɛk8	
抑	ak7	
抑	a1	俗
弋	ɛk8	
翼	sɛk8	
翼	iaʔ8	又
翼	ɛk8	文
弘	hɔŋ2	
國	kɔk7	
或	hɔk8	
惑	hɔk8	
域	hɔk8	
烹	pʰɛŋ1	
彭	pʰɛ ̃2	
膨	pʰɛ ̃2	
盲	mɛ ̃2	
盲	mɛŋ2	又文
盲	maŋ2	文
猛	mɛ ̃3	
孟	mɛŋ4	
打	pʰaʔ7	俗，訓“拍”
打	ta3	
冷	nɛ ̃3	
撐	tʰɛ ̃1	
澄	tʰɛŋ2	
鐺	taŋ1	
鐺	tsʰaŋ1	又
生	sɛ ̃1	
生	tsʰɛ ̃1	又
生	sɛŋ1	文
牲	sɛ ̃1	
牲	sɛŋ1	文
笙	sɛŋ1	
甥	sɛŋ1	
甥	suŋ1	俗
省	sɛ ̃3	
更	kɛ ̃1	白
更	kɛŋ1	
更	kɛŋ5	又
庚	kɛ ̃1	
羹	kɛ ̃1	
哽	kɛ ̃3	
坑	kʰɛ ̃1	
硬	ŋɛ ̃4	
亨	hɛŋ1	
行	kia ̃2	
行	hɛ ̃2	又
行	hɛŋ2	文
行	haŋ2	又
行	hɛŋ4	又
衡	huaŋ2	
杏	hɛŋ4	
浜	paŋ1	
迸	pɔŋ5	
迸	pɛŋ4	文
棚	pɛ ̃2	
萌	mɛŋ2	
爭	tsɛ ̃1	
爭	tsɛŋ1	文
睜	tsɛŋ1	
耕	kɛ ̃1	
耿	kɛŋ3	
莖	kɛ ̃5	
幸	hɛŋ4	
鶯	ɛŋ1	
鸚	ɛŋ1	
櫻	ɛŋ1	
兵	pia ̃1	
丙	pia ̃3	
秉	pɛŋ3	
柄	pɛ ̃5	
柄	pɛŋ3	文
平	pɛ ̃2	
平	pʰɛ ̃2	又
平	pʰɛŋ2	文
評	pʰɛŋ2	
病	pɛ ̃6	
明	mɛ ̃2	白，~年
明	mɛŋ2	
鳴	mɛŋ2	
盟	mɛŋ2	
皿	mɛŋ3	
命	mia ̃6	
命	mɛŋ4	文
京	kia ̃1	
荊	kɛŋ1	
驚	kia ̃1	
境	kɛŋ3	
景	kɛŋ3	
警	kɛŋ4	
敬	kɛŋ5	
竟	kɛŋ3	
鏡	kia ̃5	
卿	kʰɛŋ1	
慶	kʰɛŋ5	
擎	kʰia2	白，~筆
擎	kʰɛŋ2	
鯨	kʰɛŋ2	
競	kɛŋ4	
迎	ŋiŋ2	
英	ɛŋ1	
影	ia ̃3	
映	iaŋ5	
餅	pia ̃3	
並	pɛŋ4	
聘	pʰia ̃5	
聘	pʰɛŋ5	文
名	mia ̃2	
領	nia ̃3	
嶺	nia ̃3	
拎	lɛŋ1	
令	lɛŋ4	
精	tsia ̃1	
精	tsɛŋ1	文
晶	tsia ̃1	
旌	sɛŋ1	
睛	tsɛ ̃2	
井	tsɛ ̃3	
清	tsʰɛŋ1	
請	tsʰia ̃3	
情	tsia ̃2	白，親~，心~
情	tsʰɛŋ2	
靜	tsɛ ̃4	
淨	tsɛŋ4	
性	sɛ ̃5	
姓	sɛ ̃5	
貞	tsɛŋ1	
蟶	tsɛŋ1	
偵	tsɛŋ1	
逞	tʰɛŋ3	
呈	tia ̃2	
呈	tʰia ̃2	
程	tʰia ̃2	
程	tʰɛŋ2	文，工~
鄭	tɛ ̃6	
正	tsia ̃1	
正	tsia ̃5	
正	tsɛŋ5	文，呂蒙~
征	tsɛŋ1	
整	tsia ̃3	
政	tsɛŋ5	
聲	sia ̃1	
聖	sia ̃5	
城	sia ̃2	
成	sia ̃2	
成	tsia ̃2	又，唔~人
成	sɛŋ2	文
誠	sɛŋ2	
盛	sɛŋ4	
盛	sɛŋ2	又
盛	sia ̃6	白
頸	kɛ ̃5	
勁	kɛ ̃5	
勁	kɛŋ4	文
輕	kʰɛŋ1	
嬰	ɛŋ1	
纓	ɛŋ3	
盈	iɔŋ2	
贏	ia ̃2	
姘	pʰɛŋ1	
拼	pia ̃5	
拼	pʰɛŋ1	又
瓶	pʰɛŋ2	
屏	pʰɛŋ2	
並	pɛŋ4	
銘	mɛŋ2	
冥	mɛ ̃2	白，蜀~
冥	mɛŋ2	
丁	tɛŋ1	
釘	tɛŋ1	
頂	tɛŋ3	
鼎	tia ̃3	
釘	tɛŋ5	
訂	tɛŋ5	
聽	tʰia ̃1	
汀	tʰɛŋ1	
汀	tɛŋ1	又，汕頭鷗~
廳	tʰia ̃1	
聽	tʰɛŋ5	
廷	tʰɛŋ2	
停	tʰɛŋ2	
亭	tɛŋ2	
庭	tʰɛŋ2	
蜓	tʰɛŋ2	
挺	tʰɛŋ3	
艇	tʰɛŋ3	
錠	tia ̃4	
錠	tɛŋ4	文
定	tia ̃6	
定	tɛŋ4	文
寧	lɛŋ2	
佞	lɛŋ4	
靈	lɛŋ2	
零	lɛŋ2	
鈴	lɛŋ1	
伶	lɛŋ2	
另	lɛŋ2	
青	tsʰɛ ̃1	
蜻	tsʰɛ ̃1	
星	tsʰɛ ̃1	
腥	tsʰɛ ̃1	
醒	tsʰɛ ̃3	
經	kia ̃1	白，易~
經	kɛ ̃1	又白
經	kɛŋ1	文
徑	kɛ ̃5	
磬	kʰɛŋ5	
馨	hɛŋ1	
刑	hɛŋ2	
型	hɛŋ2	
形	hɛŋ2	
百	pɛʔ7	
柏	pɛʔ7	
