字	发音	声调	注释												
箧	tɕʰie	7													
蛏	tɕʰieŋ	1													
青	tɕʰieŋ	1													
倾	tɕʰieŋ	1													
清	tɕʰieŋ	1													
蜻	tɕʰieŋ	1													
□	tɕʰieŋ	2	堵塞												
骋	tɕʰieŋ	3													
顷	tɕʰieŋ	3													
请	tɕʰieŋ	3													
逞	tɕʰieŋ	5													
秤	tɕʰieŋ	5													
抽	tɕʰiəu	1													
搊	tɕʰiəu	1													
篘	tɕʰiəu	1	酒~：一种舂酒的竹制器具，亦作“酒抽”												
湫	tɕʰiəu	1													
揪	tɕʰiəu	1													
啾	tɕʰiəu	1													
秋	tɕʰiəu	1													
鳅	tɕʰiəu	1													
丑	tɕʰiəu	3													
搝	tɕʰiəu	3	讨取												
糗	tɕʰiəu	3													
趣	tɕʰiəu	3													
臭	tɕʰiəu	5													
畜	tɕʰiəu	7	~生												
促	tɕʰiəu	7													
曲	tɕʰiəu	7	酒~												
麹	tɕʰiəu	7													
伥	tɕʰiɛ	1													
昌	tɕʰiɛ	1													
菖	tɕʰiɛ	1													
猖	tɕʰiɛ	1													
倡	tɕʰiɛ	1													
铛	tɕʰiɛ	1	文读												
羌	tɕʰiɛ	1													
枪	tɕʰiɛ	1													
腔	tɕʰiɛ	1	~款												
蜣	tɕʰiɛ	1													
锵	tɕʰiɛ	1													
厂	tɕʰiɛ	3													
敞	tɕʰiɛ	3													
奖	tɕʰiɛ	3													
蒋	tɕʰiɛ	3													
抢	tɕʰiɛ	3													
襁	tɕʰiɛ	3													
畅	tɕʰiɛ	5													
倡	tɕʰiɛ	5													
唱	tɕʰiɛ	5													
冲	tɕʰioŋ	1													
充	tɕʰioŋ	1													
忡	tɕʰioŋ	1													
舂	tɕʰioŋ	1													
憧	tɕʰioŋ	1													
艟	tɕʰioŋ	1													
穿	tɕʰioŋ	1	白读 ~针												
春	tɕʰioŋ	1													
椿	tɕʰioŋ	1													
弓	tɕʰioŋ	1													
宫	tɕʰioŋ	1													
军	tɕʰioŋ	1													
均	tɕʰioŋ	1													
君	tɕʰioŋ	1													
钧	tɕʰioŋ	1													
穹	tɕʰioŋ	1													
涒	tɕʰioŋ	1													
芎	tɕʰioŋ	1													
中	tɕʰioŋ	1													
忠	tɕʰioŋ	1													
终	tɕʰioŋ	1													
盅	tɕʰioŋ	1													
衷	tɕʰioŋ	1													
肫	tɕʰioŋ	1													
谆	tɕʰioŋ	1													
遵	tɕʰioŋ	1													
宠	tɕʰioŋ	3													
蠢	tɕʰioŋ	3													
囧	tɕʰioŋ	3													
炅	tɕʰioŋ	3													
迥	tɕʰioŋ	3													
泂	tɕʰioŋ	3													
炯	tɕʰioŋ	3													
准	tɕʰioŋ	3													
俊	tɕʰioŋ	5													
峻	tɕʰioŋ	5													
骏	tɕʰioŋ	5													
畯	tɕʰioŋ	5													
中	tɕʰioŋ	5													
众	tɕʰioŋ	5													
吹	tɕʰy	1													
炊	tɕʰy	1													
粗	tɕʰy	1													
岖	tɕʰy	1													
驱	tɕʰy	1													
蛆	tɕʰy	1	文读 ~虫												
躯	tɕʰy	1													
处	tɕʰy	3	~理												
揣	tɕʰy	3													
取	tɕʰy	3													
娶	tɕʰy	3													
处	tɕʰy	5													
祛	tɕʰy	5													
去	tɕʰy	5													
趣	tɕʰy	5													
出	tɕʰy	7													
疮	tɕʰyɔ	1													
窗	tɕʰyɔ	1													
匡	tɕʰyɔ	1													
筐	tɕʰyɔ	1													
框	tɕʰyɔ	1													
闯	tɕʰyɔ	3													
恐	tɕʰyɔ	3													
创	tɕʰyɔ	5													
眶	tɕʰyɔ	5													
踔	tɕʰyɔ	7													
绰	tɕʰyɔ	7													
川	tɕʰye	1													
穿	tɕʰye	1													
钏	tɕʰye	1													
驱	tɕʰye	1													
趋	tɕʰye	1													
诠	tɕʰye	1													
荃	tɕʰye	1													
铨	tɕʰye	1													
喘	tɕʰye	3													
劝	tɕʰye	5	~说												
黜	tɕʰye	7													
悄	tɕʰyə	1													
硗	tɕʰyə	1													
锹	tɕʰyə	1													
撬	tɕʰyə	1													
悄	tɕʰyə	3													
怆	tɕʰyə	5													
跄	tɕʰyə	5													
跷	tɕʰyə	5													
俏	tɕʰyə	5													
诮	tɕʰyə	5													
峭	tɕʰyə	5													
窍	tɕʰyə	5													
撬	tɕʰyə	5													
鞘	tɕʰyə	5													
触	tɕʰyo	7													
矗	tɕʰyo	7													
戳	tɕʰyo	7													
讥	tɕi	1													
叽	tɕi	1													
饥	tɕi	1													
机	tɕi	1													
肌	tɕi	1													
鸡	tɕi	1													
唧	tɕi	1													
姬	tɕi	1													
基	tɕi	1													
嵇	tɕi	1													
畸	tɕi	1													
箕	tɕi	1	簸~												
稽	tɕi	1													
羁	tɕi	1													
几	tɕi	1	~乎												
悸	tɕi	1													
奇	tɕi	1	~数												
支	tɕi	1													
只	tɕi	1	量词												
猪	tɕi	1													
己	tɕi	3													
挤	tɕi	3													
麂	tɕi	3													
纪	tɕi	3	姓氏												
减	tɕi	3													
剪	tɕi	3													
纸	tɕi	3													
笄	tɕi	5	圆辫												
跻	tɕi	5													
挤	tɕi	5													
计	tɕi	5													
记	tɕi	5													
纪	tɕi	5													
际	tɕi	5													
季	tɕi	5													
剂	tɕi	5													
济	tɕi	5	救~												
既	tɕi	5													
觊	tɕi	5													
继	tɕi	5													
祭	tɕi	5													
漈	tɕi	5													
冀	tɕi	5													
骥	tɕi	5													
积	tɕi	7													
脊	tɕi	7													
迹	tɕi	7													
绩	tɕi	7													
绩	tɕi	7													
稷	tɕi	7													
鲫	tɕi	7													
渐	tɕi	7													
接	tɕi	7													
孑	tɕi	7													
借	tɕi	7													
黠	tɕi	7													
枳	tɕi	7													
爪	tɕia	3													
笊	tɕia	5													
角	tɕia	7	白读 三~门												
脚	tɕia	7													
缴	tɕia	7													
爵	tɕia	7													
着	tɕia	7	~衣裳：穿衣服												
酌	tɕia	7													
鸡	tɕiai	1	白读 狗~：小孩的男阴												
济	tɕiai	5	白读 ~手：左手												
给	tɕiai	7													
击	tɕiai	7													
激	tɕiai	7													
伋	tɕiai	7													
汲	tɕiai	7													
级	tɕiai	7													
佶	tɕiai	7													
亟	tɕiai	7													
笈	tɕiai	7													
急	tɕiai	7													
棘	tɕiai	7													
戟	tɕiai	7													
诘	tɕiai	7													
桔	tɕiai	7	~杆												
吉	tɕiai	8	王老~												
巾	tɕiaŋ	1													
斤	tɕiaŋ	1													
今	tɕiaŋ	1													
金	tɕiaŋ	1													
矜	tɕiaŋ	1													
襟	tɕiaŋ	1													
禁	tɕiaŋ	1													
京	tɕiaŋ	1													
泾	tɕiaŋ	1													
经	tɕiaŋ	1													
荆	tɕiaŋ	1													
惊	tɕiaŋ	1													
精	tɕiaŋ	1	~通												
鲸	tɕiaŋ	1													
紧	tɕiaŋ	3													
锦	tɕiaŋ	3													
谨	tɕiaŋ	3													
槿	tɕiaŋ	3													
颈	tɕiaŋ	3													
景	tɕiaŋ	3													
警	tɕiaŋ	3													
境	tɕiaŋ	3													
劲	tɕiaŋ	5													
浸	tɕiaŋ	5													
禁	tɕiaŋ	5													
径	tɕiaŋ	5													
胫	tɕiaŋ	5													
竟	tɕiaŋ	5													
敬	tɕiaŋ	5													
境	tɕiaŋ	5													
镜	tɕiaŋ	5													
艽	tɕiau	1													
纠	tɕiau	1													
鸠	tɕiau	1													
赳	tɕiau	1													
阄	tɕiau	1													
九	tɕiau	3													
久	tɕiau	3													
玖	tɕiau	3													
韭	tɕiau	3													
酒	tɕiau	3													
究	tɕiau	5													
灸	tɕiau	5													
疚	tɕiau	5													
救	tɕiau	5													
厩	tɕiau	5													
尖	tɕie	1													
坚	tɕie	1													
肩	tɕie	1													
兼	tɕie	1													
笺	tɕie	1													
蒹	tɕie	1													
煎	tɕie	1													
沾	tɕie	1													
毡	tɕie	1													
詹	tɕie	1													
瞻	tɕie	1													
占	tɕie	1													
遮	tɕie	1													
甄	tɕie	1													
戋	tɕie	3													
茧	tɕie	3													
柬	tɕie	3													
检	tɕie	3													
蹇	tɕie	3													
键	tɕie	3													
展	tɕie	3													
见	tɕie	5													
饯	tɕie	5													
建	tɕie	5													
荐	tɕie	5													
剑	tɕie	5													
溅	tɕie	5													
僭	tɕie	5													
箭	tɕie	5													
占	tɕie	5													
蔗	tɕie	5													
节	tɕie	7													
劫	tɕie	7													
拮	tɕie	7													
洁	tɕie	7													
结	tɕie	7													
橘	tɕie	7	~儿												
锲	tɕie	7													
折	tɕie	7													
哲	tɕie	7													
辄	tɕie	7													
蛰	tɕie	7													
浙	tɕie	7													
旌	tɕieŋ	1													
精	tɕieŋ	1													
贞	tɕieŋ	1													
侦	tɕieŋ	1													
桢	tɕieŋ	1													
征	tɕieŋ	1													
蒸	tɕieŋ	1													
整	tɕieŋ	3													
正	tɕieŋ	5													
证	tɕieŋ	5													
政	tɕieŋ	5													
症	tɕieŋ	5													
舟	tɕiəu	1													
州	tɕiəu	1													
周	tɕiəu	1													
洲	tɕiəu	1													
肘	tɕiəu	3													
帚	tɕiəu	3													
咒	tɕiəu	5													
昼	tɕiəu	5													
皱	tɕiəu	5													
掬	tɕiəu	7													
踘	tɕiəu	7													
鞠	tɕiəu	7													
菊	tɕiəu	7													
粥	tɕiəu	7													
竹	tɕiəu	7													
竺	tɕiəu	7													
祝	tɕiəu	7													
筑	tɕiəu	7													
将	tɕiɛ	1													
姜	tɕiɛ	1													
浆	tɕiɛ	1													
僵	tɕiɛ	1													
缰	tɕiɛ	1													
䗵	tɕiɛ	1													
疆	tɕiɛ	1													
张	tɕiɛ	1													
章	tɕiɛ	1													
獐	tɕiɛ	1													
彰	tɕiɛ	1													
樟	tɕiɛ	1													
争	tɕiɛ	1	斗~												
斩	tɕiɛ	3													
长	tɕiɛ	3	~大												
溅	tɕiɛ	5													
将	tɕiɛ	5													
酱	tɕiɛ	5													
糨	tɕiɛ	5													
蘸	tɕiɛ	5													
涨	tɕiɛ	5													
帐	tɕiɛ	5													
胀	tɕiɛ	5													
摘	tɕiɛ	7													
卷	tɕioŋ	3	白读 ~起												
车	tɕy	1	象棋子名												
拘	tɕy	1													
狙	tɕy	1													
居	tɕy	1													
驹	tɕy	1													
俱	tɕy	1													
蛆	tɕy	1	生~												
朱	tɕy	1													
侏	tɕy	1													
诛	tɕy	1													
珠	tɕy	1													
株	tɕy	1													
诸	tɕy	1													
猪	tɕy	1													
蛛	tɕy	1	~网织织：蜘蛛												
追	tɕy	1													
椎	tɕy	1													
租	tɕy	1	出~车												
杵	tɕy	3													
沮	tɕy	3													
举	tɕy	3													
主	tɕy	3													
拄	tɕy	3													
煮	tɕy	3													
嘴	tɕy	3	文读												
矩	tɕy	5													
句	tɕy	5													
据	tɕy	5													
踞	tɕy	5													
注	tɕy	5													
驻	tɕy	5													
炷	tɕy	5													
蛀	tɕy	5													
铸	tɕy	5													
诅	tɕy	5													
嘱	tɕy	7													
瞩	tɕy	7													
供	tɕyɔ	1	~给												
恭	tɕyɔ	1	出~												
挝	tɕyɔ	1	十八般武艺之一												
钟	tɕyɔ	1													
抓	tɕyɔ	1													
妆	tɕyɔ	1	做												
庄	tɕyɔ	1	~家；山~												
装	tɕyɔ	1	~裱												
拱	tɕyɔ	3													
珙	tɕyɔ	3													
栱	tɕyɔ	3													
肿	tɕyɔ	3													
种	tɕyɔ	3													
冢	tɕyɔ	3													
踵	tɕyɔ	3													
供	tɕyɔ	5	~奉												
种	tɕyɔ	5													
壮	tɕyɔ	5	胖												
蹲	tɕye	1	白读 下肢因坠地或猛击受伤												
疽	tɕye	1													
涓	tɕye	1													
娟	tɕye	1													
专	tɕye	1													
专	tɕye	1													
砖	tɕye	1													
□	tɕye	3	吵架												
卷	tɕye	3	~心菜												
转	tɕye	3													
叫	tɕye	5													
眷	tɕye	5													
圈	tɕye	5													
转	tɕye	5													
啜	tɕye	7													
辍	tɕye	7													
这	tɕye	7													
茁	tɕye	7													
朝	tɕyə	1													
浇	tɕyə	1													
娇	tɕyə	1													
骄	tɕyə	1													
椒	tɕyə	1													
蛟	tɕyə	1													
焦	tɕyə	1													
蕉	tɕyə	1													
咋	tɕyə	1													
招	tɕyə	1													
昭	tɕyə	1													
侥	tɕyə	3													
饺	tɕyə	3													
矫	tɕyə	3													
剿	tɕyə	3													
徼	tɕyə	3													
找	tɕyə	3													
沼	tɕyə	3													
诏	tɕyə	5													
照	tɕyə	5													
罩	tɕyə	5													
眨	tɕyə	7													
灼	tɕyə	7													
足	tɕyo	5													
挶	tɕyo	7													
捉	tɕyo	7													
桌	tɕyo	7													
涿	tɕyo	7													
灼	tɕyo	7													
卓	tɕyo	7													
啄	tɕyo	7													
琢	tɕyo	7													
黛	te	5													
得	te	7													
德	te	7													
的	te	7													
刀	tə	1													
叨	tə	1													
氘	tə	1													
鱽	tə	1													
岛	tə	3													
捣	tə	3													
祷	tə	3													
倒	tə	3													
到	tə	5													
倒	tə	5													
都	təu	1													
督	təu	1													
多	təu	1													
哆	təu	1													
笃	təu	7													
咄	təu	7													
掇	təu	7													
打	tɛ	3													
他	tʰa	1													
它	tʰa	1													
她	tʰa	1													
牠	tʰa	1													
祂	tʰa	1													
坍	tʰa	1													
贪	tʰa	1													
摊	tʰa	1													
滩	tʰa	1													
瘫	tʰa	1													
拖	tʰa	1	鞋~：拖鞋												
坦	tʰa	3	~克												
毯	tʰa	3													
太	tʰa	5													
汰	tʰa	5													
叹	tʰa	5													
炭	tʰa	5													
碳	tʰa	5													
□	tʰa	7	麦~镬：一种本地饼食，用面直接摊于热锅上制得的脆皮，俗写常为“麦摊锅”或“麦塌锅”												
塌	tʰa	7													
遢	tʰa	7	一邋~：最后												
塔	tʰa	7													
拓	tʰa	7													
榻	tʰa	7													
摊	tʰa	7	~饼												
推	tʰai	1													
刣	tʰai	1	解剖												
□	tʰai	3	把长条状物体放到一旁												
腿	tʰai	3													
嚏	tʰai	5													
退	tʰai	5													
蜕	tʰai	5													
褪	tʰai	5													
秃	tʰai	7													
脱	tʰai	7	白读 ~衣裳												
吞	tʰaŋ	1	白读												
氽	tʰaŋ	3	流于水中												
偷	tʰau	1													
䚵	tʰau	3													
敨	tʰau	3	缓气												
透	tʰau	5													
汤	tʰɔ	1													
谠	tʰɔ	3													
倘	tʰɔ	3													
淌	tʰɔ	3													
躺	tʰɔ	3													
烫	tʰɔ	5													
趟	tʰɔ	5													
胎	tʰe	1													
台	tʰe	1	地名：~州												
苔	tʰe	1	舌~												
态	tʰe	5													
泰	tʰe	5													
特	tʰe	7													
叨	tʰə	1													
涛	tʰə	1													
滔	tʰə	1													
韬	tʰə	1													
饕	tʰə	1													
绦	tʰə	3													
讨	tʰə	3													
秃	tʰəu	7													
梯	tʰi	1													
鹈	tʰi	1													
添	tʰi	1													
体	tʰi	3													
屉	tʰi	5													
涕	tʰi	5													
替	tʰi	5													
剔	tʰi	7													
踢	tʰi	7													
倜	tʰi	7													
惕	tʰi	7													
天	tʰie	1													
㥏	tʰie	3													
腆	tʰie	3													
舔	tʰie	5													
帖	tʰie	7													
怗	tʰie	7													
贴	tʰie	7													
铁	tʰie	7													
厅	tʰieŋ	1													
汀	tʰieŋ	1													
听	tʰieŋ	1													
烃	tʰieŋ	1													
挺	tʰieŋ	3													
艇	tʰieŋ	3													
拖	tʰo	1	~把												
媠	tʰo	3													
唾	tʰo	5													
榻	tʰo	7													
托	tʰo	7													
柝	tʰo	7													
湍	tʰø	1													
吞	tʰø	1	文读												
黮	tʰø	3													
探	tʰø	5													
彖	tʰø	5													
褖	tʰø	5													
脱	tʰø	7	文读												
通	tʰoŋ	1													
统	tʰoŋ	3													
痛	tʰoŋ	5													
妥	tʰu	3													
椭	tʰu	3													
土	tʰy	3													
吐	tʰy	3	~字												
吐	tʰy	5	呕~												
兔	tʰy	5													
挑	tʰyə	1													
跳	tʰyə	3													
粜	tʰyə	4	卖粮食												
眺	tʰyə	5													
粜	tʰyə	5													
低	ti	1													
滴	ti	1													
氐	ti	3													
邸	ti	3													
抵	ti	3													
底	ti	3													
帝	ti	5													
谛	ti	5													
蒂	ti	5													
缔	ti	5													
嫡	ti	7													
掂	tie	1													
傎	tie	1													
滇	tie	1													
颠	tie	1													
巅	tie	1													
癫	tie	1													
爹	tie	1													
典	tie	3													
点	tie	3													
玷	tie	3													
店	tie	5													
垫	tie	5													
跌	tie	7													
丁	tieŋ	1													
仃	tieŋ	1													
叮	tieŋ	1													
钉	tieŋ	1													
顶	tieŋ	3													
鼎	tieŋ	3													
钉	tieŋ	5													
朵	to	3													
躲	to	3													
垛	to	5													
剁	to	5													
端	tø	1													
敦	tø	1													
蹲	tø	1	文读 ~位												
堵	tø	3													
赌	tø	3													
睹	tø	3													
短	tø	3													
蠹	tø	5													
断	tø	5	判~												
锻	tø	5													
东	toŋ	1													
冬	toŋ	1													
董	toŋ	3													
懂	toŋ	3													
冻	toŋ	5													
栋	toŋ	5													
姐	tsa	1	阿~：姐姐												
哉	tsa	1													
睁	tsa	1													
仔	tsa	3	~细												
盏	tsa	3													
□	tsa	5	~□m̩212：怎么												
赞	tsa	5													
债	tsa	5													
蘸	tsa	5													
訾	tsa	5	~□m̩212：怎么												
责	tsa	7													
札	tsa	7													
朘	tsai	1	阴茎，捋~：男性手淫												
缀	tsai	5													
惴	tsai	5													
赘	tsai	5													
最	tsai	5													
汁	tsai	7													
絷	tsai	7													
质	tsai	7													
桎	tsai	7													
窒	tsai	7													
蛭	tsai	7													
骘	tsai	7													
缀	tsai	7													
卒	tsai	7	兵~												
曾	tsaŋ	1													
瞋	tsaŋ	1													
津	tsaŋ	1													
增	tsaŋ	1													
憎	tsaŋ	1													
甑	tsaŋ	1													
针	tsaŋ	1													
珍	tsaŋ	1													
真	tsaŋ	1													
砧	tsaŋ	1													
斟	tsaŋ	1													
甄	tsaŋ	1													
榛	tsaŋ	1													
禛	tsaŋ	1													
箴	tsaŋ	1													
臻	tsaŋ	1													
争	tsaŋ	1	~气												
正	tsaŋ	1	~月												
胗	tsaŋ	3													
诊	tsaŋ	3													
枕	tsaŋ	3													
疹	tsaŋ	3													
缜	tsaŋ	3													
赈	tsaŋ	3													
进	tsaŋ	5													
晋	tsaŋ	5													
圳	tsaŋ	5													
振	tsaŋ	5													
震	tsaŋ	5													
镇	tsaŋ	5													
挣	tsaŋ	5													
诌	tsau	1													
邹	tsau	1													
驺	tsau	1	~摇												
陬	tsau	1													
鲰	tsau	1													
走	tsau	3													
皱	tsau	5													
奏	tsau	5													
揍	tsau	5													
做	tsau	5	白读 ~~戏：玩耍												
牂	tsɔ	1													
脏	tsɔ	1													
妆	tsɔ	1													
装	tsɔ	1	~屄：显摆												
奘	tsɔ	5													
葬	tsɔ	5													
灾	tse	1													
栽	tse	1													
宰	tse	3													
载	tse	3													
再	tse	5													
载	tse	5													
最	tse	5													
则	tse	7													
槽	tsə	1													
臜	tsə	1	腌~：肮脏												
赃	tsə	1													
遭	tsə	1													
糟	tsə	1													
缫	tsə	3													
早	tsə	3													
枣	tsə	3													
蚤	tsə	3													
澡	tsə	3													
璪	tsə	3													
藻	tsə	3													
瑵	tsə	3													
灶	tsə	5													
噪	tsə	5	~音												
躁	tsə	5													
峥	tsɛ	1													
筝	tsɛ	1													
餐	tsʰa	1													
差	tsʰa	1	~不显：差不多												
产	tsʰa	3	生~												
铲	tsʰa	3													
蔡	tsʰa	5													
粲	tsʰa	5													
璨	tsʰa	5													
诧	tsʰa	5													
姹	tsʰa	5													
册	tsʰa	7													
策	tsʰa	7													
插	tsʰa	7													
察	tsʰa	7													
刹	tsʰa	7	~那												
崔	tsʰai	1													
催	tsʰai	1													
摧	tsʰai	1													
璀	tsʰai	3													
脆	tsʰai	5													
翠	tsʰai	5													
啐	tsʰai	7													
七	tsʰai	7													
柒	tsʰai	7													
漆	tsʰai	7													
琛	tsʰaŋ	1													
称	tsʰaŋ	1													
侵	tsʰaŋ	1													
亲	tsʰaŋ	1													
蹭	tsʰaŋ	5													
趁	tsʰaŋ	5													
谶	tsʰaŋ	5													
称	tsʰaŋ	5													
掫	tsʰau	3	窥伺												
凑	tsʰau	5													
辏	tsʰau	5													
腠	tsʰau	5													
仓	tsʰɔ	1													
伧	tsʰɔ	1													
苍	tsʰɔ	1													
沧	tsʰɔ	1													
舱	tsʰɔ	1													
抄	tsʰɔ	1													
钞	tsʰɔ	1													
超	tsʰɔ	1													
吵	tsʰɔ	3													
炒	tsʰɔ	3													
焯	tsʰɔ	7													
猜	tsʰe	1													
采	tsʰe	3													
彩	tsʰe	3													
睬	tsʰe	3													
采	tsʰe	5													
菜	tsʰe	5													
厕	tsʰe	7													
侧	tsʰe	7													
测	tsʰe	7													
恻	tsʰe	7													
操	tsʰə	1													
糙	tsʰə	1													
造	tsʰə	1	~次												
艹	tsʰə	3													
草	tsʰə	3													
肏	tsʰə	5													
蹙	tsʰəu	7													
蹴	tsʰəu	7													
撑	tsʰɛ	1													
瞠	tsʰɛ	1													
叉	tsʰo	1													
杈	tsʰo	1													
差	tsʰo	1	方~												
钗	tsʰo	1													
车	tsʰo	1	文读												
搓	tsʰo	1													
磋	tsʰo	1													
蹉	tsʰo	1													
汊	tsʰo	5													
挫	tsʰo	5													
措	tsʰo	5													
锉	tsʰo	5													
参	tsʰø	1	~加												
蹿	tsʰø	1													
村	tsʰø	1													
惨	tsʰø	3													
窜	tsʰø	3													
篡	tsʰø	3													
忖	tsʰø	3													
醋	tsʰø	5													
窜	tsʰø	5	上蹿下跳												
寸	tsʰø	5													
擦	tsʰø	7													
猝	tsʰø	7													
淬	tsʰø	7													
错	tsʰø	7													
卒	tsʰø	7	脑~中：俗称中风												
匆	tsʰoŋ	1													
囱	tsʰoŋ	1													
怱	tsʰoŋ	1													
葱	tsʰoŋ	1													
聪	tsʰoŋ	1													
差	tsʰɿ	1	参~												
蚩	tsʰɿ	1													
痴	tsʰɿ	1													
雌	tsʰɿ	1													
齿	tsʰɿ	3													
侈	tsʰɿ	3													
耻	tsʰɿ	3													
此	tsʰɿ	3													
起	tsʰɿ	3	爬~：起床												
翅	tsʰɿ	5													
次	tsʰɿ	5													
刺	tsʰɿ	5	~客												
赐	tsʰɿ	5													
眙	tsʰɿ	5	看												
叱	tsʰɿ	7													
初	tsʰu	1													
楚	tsʰu	3													
簇	tsʰu	7													
睛	tsieŋ	1													
查	tso	1	姓氏												
喳	tso	1													
渣	tso	1													
楂	tso	1													
阻	tso	3													
组	tso	3													
左	tso	3													
佐	tso	3													
诈	tso	5													
炸	tso	5	~弹												
蚱	tso	5													
榨	tso	5													
做	tso	5	~作业												
柞	tso	7													
作	tso	7													
簪	tsø	1													
钻	tsø	1	~洞												
尊	tsø	1													
遵	tsø	1													
樽	tsø	1													
鳟	tsø	1													
攒	tsø	3													
钻	tsø	3	~石												
纂	tsø	3													
撙	tsø	3													
谮	tsø	5													
匝	tsø	7													
砸	tsø	7													
宗	tsoŋ	1													
综	tsoŋ	1													
棕	tsoŋ	1													
踪	tsoŋ	1													
总	tsoŋ	3													
偬	tsoŋ	3													
粽	tsoŋ	5													
基	tsɿ	1													
姐	tsɿ	1	文读 ~夫												
之	tsɿ	1													
芝	tsɿ	1													
知	tsɿ	1													
肢	tsɿ	1													
栀	tsɿ	1													
脂	tsɿ	1													
蜘	tsɿ	1													
孜	tsɿ	1													
咨	tsɿ	1													
姿	tsɿ	1													
兹	tsɿ	1													
资	tsɿ	1													
淄	tsɿ	1													
辎	tsɿ	1													
滋	tsɿ	1													
訾	tsɿ	1	~那：怎么												
仔	tsɿ	3													
脂	tsɿ	3													
只	tsɿ	3													
旨	tsɿ	3													
址	tsɿ	3													
趾	tsɿ	3													
子	tsɿ	3													
姊	tsɿ	3													
梓	tsɿ	3													
紫	tsɿ	3													
嘴	tsɿ	3	白读 ~~：嘴唇												
识	tsɿ	5													
至	tsɿ	5													
志	tsɿ	5													
制	tsɿ	5													
质	tsɿ	5													
挚	tsɿ	5													
致	tsɿ	5													
置	tsɿ	5													
即	tsɿ	7													
织	tsɿ	7													
职	tsɿ	7													
只	tsɿ	7													
炙	tsɿ	7													
肚	ty	3	白读 毛~												
埵	ty	3													
刁	tyə	1													
凋	tyə	1													
貂	tyə	1													
雕	tyə	1													
屌	tyə	3													
鸟	tyə	3													
吊	tyə	5													
钓	tyə	5													
倭	u	1													
涡	u	1													
窝	u	1													
圬	u	1													
污	u	1													
巫	u	1													
呜	u	1													
钨	u	1													
诬	u	1													
邬	u	3													
屙	u	5	粪便												
坞	u	5													
握	u	7													
乌	u	7													
屋	u	7													
歪	ua	1													
弯	ua	1													
剜	ua	1													
塆	ua	1													
湾	ua	1													
奂	ua	5													
唤	ua	5													
涣	ua	5													
焕	ua	5													
哇	ua	5													
腕	ua	5													
斡	ua	7													
威	uai	1													
偎	uai	1													
煨	uai	1													
桅	uai	1	地名：石~岩												
痿	uai	3													
烩	uai	5													
温	uaŋ	1	白读 ~吞												
瘟	uaŋ	1	白读 ~神												
稳	uaŋ	3													
奣	uɛ	3	晴空万里												
凡	va	2													
烦	va	2													
樊	va	2													
繁	va	2													
还	va	2													
怀	va	2													
徊	va	2													
淮	va	2													
环	va	2													
犯	va	4													
范	va	4													
挽	va	4													
晚	va	4													
皖	va	4													
万	va	5													
饭	va	6													
梵	va	6													
坏	va	6													
幻	va	6													
换	va	6													
乏	va	7													
伐	va	7													
罚	va	8													
回	vai	2													
茴	vai	2													
洄	vai	2													
蛔	vai	2													
微	vai	2	白读 稍~												
桅	vai	2													
唯	vai	2													
惟	vai	2													
溃	vai	3	~败												
汇	vai	6													
会	vai	6													
彗	vai	6													
慧	vai	6	乖												
佛	vai	8	南无阿弥陀~												
惑	vai	8													
勿	vai	8													
物	vai	8													
坟	vaŋ	2													
焚	vaŋ	2													
馄	vaŋ	2													
魂	vaŋ	2	~魄												
文	vaŋ	2													
纹	vaŋ	2													
闻	vaŋ	2	新~												
雯	vaŋ	2													
氛	vaŋ	4													
忿	vaŋ	4													
刎	vaŋ	4													
吻	vaŋ	4													
紊	vaŋ	4													
分	vaŋ	6													
份	vaŋ	6													
愤	vaŋ	6													
问	vaŋ	6													
孚	və	2													
浮	və	2													
蜉	və	2													
复	və	6	白读 ~兴												
横	vɛ	2													
垣	vɛ	2													
蔓	vɛ	6	文读 藤~												
薇	vi	1													
肥	vi	2													
微	vi	2	文读 ~妙												
维	vi	2	用于人名												
逢	voŋ	2													
奉	voŋ	4													
凤	voŋ	6													
缝	voŋ	6													
狐	vu	2													
弧	vu	2													
胡	vu	2													
壶	vu	2													
葫	vu	2													
湖	vu	2													
瑚	vu	2													
糊	vu	2	~涂												
扈	vu	3													
户	vu	4													
沪	vu	4													
无	vu	4													
武	vu	4													
糊	vu	6	芝麻~												
缚	vu	7													
阏	y	1													
逶	y	1													
葳	y	1													
瘟	y	1													
淤	y	1													
委	y	3	~托												
诿	y	3													
萎	y	3													
伛	y	3													
畏	y	5													
尉	y	5													
蔚	y	5													
慰	y	5													
妪	y	5	老~：老人称妻子												
喂	y	6													
痈	yɔ	1													
雍	yɔ	1													
臃	yɔ	1													
枉	yɔ	3													
甬	yɔ	3													
俑	yɔ	3													
涌	yɔ	3													
壅	yɔ	5													
安	ye	1													
宛	ye	1													
温	ye	1													
鸳	ye	1													
冤	ye	1													
渊	ye	1													
宛	ye	3													
惋	ye	3													
婉	ye	3													
碗	ye	3													
苑	ye	5													
怨	ye	5													
怨	ye	5													
约	ye	7	白读 ~会												
幺	yə	1													
夭	yə	1													
妖	yə	1													
祅	yə	1													
腰	yə	1													
邀	yə	1													
杳	yə	3													
舀	yə	3													
要	yə	5													
哟	yə	5													
唷	yo	1													
惭	za	2													
柴	za	2													
豺	za	2													
谗	za	2													
闸	za	8													
睡	zai	4													
罪	zai	4													
萃	zai	6													
粹	zai	6													
