字	发音	声调	注释												
谒	e	7													
爊	ə	3													
鏖	ə	3													
奥	ə	5													
澳	ə	5													
懊	ə	5													
罂	ɛ	1													
樱	ɛ	1	白读 金~：石榴												
番	fa	1													
翻	fa	1													
反	fa	3													
返	fa	3													
泛	fa	5													
覅	fai	1	不要，“不会”合音												
灰	fai	1													
诙	fai	1													
挥	fai	1													
辉	fai	1	用于人名												
麾	fai	1													
𠊉	fai	1	不要，“不会”合音的理论字型												
□	fai	2	疑似“番薯”合音，洋~：土豆												
悔	fai	3													
毁	fai	3													
诲	fai	5													
贿	fai	5													
晦	fai	5													
秽	fai	5													
喙	fai	5													
弗	fai	7													
分	faŋ	1													
芬	faŋ	1													
吩	faŋ	1													
纷	faŋ	1													
昏	faŋ	1	白读 ~君：糊涂												
粉	faŋ	3													
奋	faŋ	5													
粪	faŋ	5													
芳	fɔ	1													
妨	fɔ	1													
肪	fɔ	1													
坊	fɔ	3													
仿	fɔ	3													
访	fɔ	3													
纺	fɔ	3													
舫	fɔ	3													
放	fɔ	5													
发	fɔ	7													
法	fɔ	7													
缶	fə	3													
否	fə	3													
孬	fə	3	“不好”合音，坏、差												
轰	fɛ	1	白读 ~烈												
飞	fi	1													
妃	fi	1													
非	fi	1													
菲	fi	1													
扉	fi	1													
匪	fi	1													
痱	fi	1													
翡	fi	2													
绯	fi	3													
斐	fi	3													
肺	fi	5													
废	fi	5													
沸	fi	5													
费	fi	5													
丰	foŋ	1													
风	foŋ	1													
沣	foŋ	1													
枫	foŋ	1													
封	foŋ	1													
疯	foŋ	1													
峰	foŋ	1													
烽	foŋ	1													
蜂	foŋ	1													
唪	foŋ	3													
讽	foŋ	5													
俸	foŋ	5													
夫	fu	1													
肤	fu	1													
麸	fu	1													
敷	fu	1													
俘	fu	1													
乎	fu	1	几~												
呼	fu	1													
忽	fu	1													
不	fu	3	白读 ~乜三四：不三不四												
甫	fu	3													
斧	fu	3													
府	fu	3													
俯	fu	3													
釜	fu	3													
辅	fu	3													
虎	fu	3													
浒	fu	3													
火	fu	3	~荧光光：萤火虫												
伙	fu	3													
脯	fu	3													
附	fu	5	地名：~一医												
咐	fu	5													
赴	fu	5													
赋	fu	5													
傅	fu	5													
富	fu	5													
馥	fu	5													
货	fu	5													
佛	fu	7	仿~												
拂	fu	7													
福	fu	7													
腹	fu	7													
覆	fu	7													
蝠	fu	8													
嘎	ga	2	咕咕~~												
何	ga	2	惯用音，~乜：什么												
茄	ga	2	番~												
鹳	ga	6													
䙮	ga	6													
陷	ga	6	白读 ~牙齿：塞牙缝												
