字	音	注释
不	niao33	~服；~送了；~答应；~做声；~顶事
诉	su35	
判	pən53	
承	ʦʰəŋ31	
认	nin35	承~
供	ʨyŋ35	~
同	toŋ33	~谋
谋	mou33	
故	ku53	~犯
犯	fan35	故~
误	u31	
犯	fan33	误~；~法；~罪
法	fa33	
罪	tsʰui33	
诬	u33	
株	ʨy35	
连	lin35	
保	pao33	~释；取~
释	ɕi33	
取	ʨy33	
逮	tai35	
捕	pu33	
押	ᴀ33	~解
解	kai53	押~
贪	tʰan53	
官	kuan35	
罚	fa35	
款	kuan53	
砍	kʰan53	~头
枪	pʰan53	
□	uəi33	pʰan53~lə33：枪毙
囚	tiu31	
拷	kao33	
屁	pi53	板、□~股
枷	ka33	
铐	kou53	
镣	liao31	
绑	paŋ33	~起来
来	ləi35	绑起~；关起~；往~；爬起~；捡起~；以~
关	kuan35	~起来
坐	ʦuo33	~牢
牢	lu35	
探	tʰan35	
监	ʨian33	
越	yə53	
狱	y31	
立	li33	~字据
字	tsi35	立~据
据	ʨy35	
画	fa33	~押
押	ŋa33	画~
按	ʨiɛn33	~手印
手	siou33	按~印
捐	ʨun53	
税	sui53	捐~
地	tʰəi33	~租；~契
租	tsu35	地~
契	ʨi53	
交	kao54	~税
税	sui35	交~
执	tsi33	
照	tsao35	
示	si35	
通	toŋ33	
知	tɕi33	通~
路	lu54	~条
令	ləŋ31	
代	tai31	~人
人	nian53	代~
任	in53	
罢	pʰa35	
免	min33	
案	iam53	~卷
卷	ʨyan33	案~
传	tsʰuan33	~票
票	pʰiu53	传~；发~；一张~
应	iŋ35	~酬
酬	tsʰou33	
往	uaŋ33	
请	ʨiŋ33	~客
客	xəi53	请~；待~；男~；女~；做~；陪~；送~；冇~气
待	ta33	~客
男	nan33	~客
□	sən53	ləi33~：礼物
情	tsʰəŋ31	
待	təi33	~客
陪	pʰəi33	
送	xəi53	不~了
□	nan35	~uən33nəi33：谢谢
□	uən33	nan35~nəi33：谢谢
□	nəi33	nan35uən33~：谢谢
冇	no33	~客气
气	ʨʰi35	冇客~
办	pan53	
席	sə35	
台	təi33	一~菜
菜	ʦʰai31	一台~
请	tsʰən33	~帖；发~帖
帖	tʰi53	请~；发请~
桌	toŋ33	上~子
子	pən35	上桌~
劝	ʨun31	
喊	xan31	~圈
圈	ʨun35	喊~
对	tui33	~头鬼
不	liao33	~平；~和
平	pʰən35	不~
冤	iun33	
枉	uəŋ33	
插	tsʰa53	~话
话	tsui33	插~
好	xu33	~浮；~能；~脓
浮	fou35	
装	tsuaŋ33	
木	mu53	装~
出	tsʰuə33	~洋相
相	xaŋ33	出洋~
丢	tiu31	~丑
丑	tsʰoŋ33	丢~
巴	pʰəŋ33	~结
结	pʰao35	巴~
相	ɕiaŋ33	~家
□	tsʰui53	~pə33ɕi33：看不起；~：看
答	ta33	
应	iaŋ53	答~；不答~
撵	nin33	
出	tsʰə33	撵~去
去	xiu53	撵出~
和	xu35	不~
招	tsu35	
牌	pai35	招~
广	kuaŋ33	
铺	pʰu31	开~
铺	pʰu33	~面
摊	tan53	摆~子
旅	ly33	
社	ɕiɛ35	
饭	fab3	~店
店	kiɛn35	饭~
馆	kun33	下~
店	tin53	布~；食杂~；日杂~
杂	tsa35	
馆	kuan33	茶~；书~
剃	təi53	~头铺
铺	pu53	剃头~；肉~
刮	kua33	~面；~胡须
肉	ny31	~铺
油	iou31	~茶铺
茶	tsa31	油~铺
铺	pʰu53	油茶~；当~
当	tuan53	~铺；~面
租	tsu31	~屋
屋	uo33	
押	a33	~屋
煤	məi31	~店
店	tian35	煤~
开	xəi31	~张；~价
张	tsəŋ35	开~
停	tiŋ31	~业
业	niɛ4	停~
盘	pʰan31	~点
点	tian53	盘~
价	ka31	
还	uan35	~价
便	pʰən35	~宜
宜	i35	
平	pən35	公~
全	ʨuan31	~包
包	pu35	全~
意	i33	生~淡
淡	tan33	生意~
钱	ʨian33	工~
本	pən33	~钱；保~；亏~；根~
钱	ʨin35	本~；赚~；~；一分~；一块~；一百块~
保	pu53	~本
赚	tsʰun33	
亏	kui53	
路	lu31	~费；铁~；公~；~上
费	fəi53	路~
利	li35	
息	ɕi33	
运	uən33	~气好
欠	ɕiŋ53	~
差	tsʰa35	~；~□□
押	ia33	~金
销	ɕiu35	
账	tsaŋ53	
出	tsi35	~账
欠	ɕin53	~账
赖	lai33	
存	ʦʰun35	
票	pʰiu31	大~；小~
□	ti35	~xao33：硬币
□	xao33	ti35~：硬币
铜	toŋ33	
钱	ləi53	铜~
光	kuaŋ33	~洋
□	xu33	iɛ33~ʨin35：一角钱
块	fai53	
百	pəi33	
张	tiaŋ33	一~票
个	kuo33	一~粒；三~板；哪~；那~
粒	ləi53	
算	sun53	~盘
天	tian33	~平
平	pəŋ35	天~
秤	tsʰəŋ53	
磅	paŋ35	
星	sən53	秤~子
砣	tuo35	
□	xou35	~uən53：秤毫
□	uən53	xou35~：秤毫
刮	kua35	~板
铁	ti33	~路；~轨
轨	kui53	
汽	ɕi53	
客	xəi31	~车
货	fo33	
路	lu33	~车
轿	ʨiao35	~车
摩	mo33	
托	tuo33	
独	tuo31	~把车
把	lun33	独~车
帆	fan33	
篷	pʰəŋ35	
竿	ku35	竹~
跳	tiu31	~板
舢	san33	
板	pan53	舢~；黑~擦
渔	y35	~船
轮	lən33	
渡	tu53	
学	ɕyə33	~校
校	ɕiao35	
读	tə31	~书
书	ɕy35	读~；读~人
放	fəŋ33	~学
逃	tu33	
学	uəŋ35	逃~
书	səo53	~馆
学	ɕuə33	~费
费	fəi35	学~
放	fu33	~假
假	ka53	
暑	ɕy53	~假
寒	xabn4	~假
请	ʨiŋ53	~假
教	ʨao35	
室	ɕi33	
上	səŋ53	~课
课	kuo35	上~；下~；背~
讲	ʨiaŋ33	~台
台	tai31	讲~
笔	pə33	粉~；掭~；倒下~
擦	tsa33	黑板~
课	kuo33	~本
本	pən53	课~；作文~
圆	iun33	~笔
笔	pə53	圆~
橡	ɕiaŋ35	
皮	pə31	橡~擦
擦	fa33	橡皮~
镇	sə35	
纸	tsən53	镇~
作	tsuo33	
文	uən33	作~本
大	ɕi31	~字本
字	tsi33	大~本
本	pʰəŋ53	大字~
字	tsʰəi31	~帖
帖	ti31	字~
毛	mu31	~笔
笔	pə31	毛~；~套；~斗
斗	tou31	笔~
墨	mə31	~盆；~汁；~水
盆	xə4	墨~
研	mai35	
磨	mə31	研~
汁	ʨu35	
掭	tin33	
读	tə33	~书人
认	nian31	~得字
字	tsə33	认得~
□	ʦi35	~ɕi35：温书
报	pu54	
考	kao33	
试	səi33	
卷	ʨun33	考~
零	liŋ35	~分
第	təi33	
一	ia31	第~名
名	məŋ35	
毕	pi33	
业	niɛ33	毕~
□	məŋ35	məi33~：末名
文	uən31	~凭
凭	pʰiŋ33	
字	tsei33	大~；写白~
涂	tu35	~花
写	ɕiɛ33	~白字
白	pəi33	写~字
倒	tai35	~下笔
下	fa33	倒~笔
字	tsəi33	漏~
草	tsʰai33	~稿
稿	kao33	
写	ɕi33	~稿子
誊	təβ33	
一	ia33	~点；~横；~树；~撇；~挑；~画；想~下
横	xuan35	
树	su53	一~
撇	piɛ31	
挑	tia31	一~
画	fa31	一~
偏	pʰin35	~旁；偏~
旁	pəŋ35	偏~
单	dan33	~人旁
旁	paŋ33	单人~
单	tən53	~耳朵
耳	i33	单~朵
躲	tuo33	
弹	tan35	
波	po33	
□	tsy33	tan35po33~：弹球儿
漂	pʰin35	
跳	tiu53	~房；~远；~高；~
折	tsə53	
翻	fan35	折~；~面；~转头
挑	tiu35	~绳
绳	səŋ35	挑~
喊	xan33	~拳
拳	ʨʰuan35	喊~
猜	tai33	
字	tsəi53	猜（~）谜
谜	mei31	
倒	tao33	不~翁
翁	oŋ33	
推	tui33	
牌	pʰai33	推~九
九	ʨiu33	推牌~
将	ʨiaŋ31	麻~
转	pʰian53	~□子
□	in33	pʰian53~tsəi33：掷色子
竹	tiɛ31	~爆
爆	pʰao53	
鞭	tiɛ31	
炮	pʰao53	放鞭~
响	təŋ35	~踢炮
踢	ti35	
炮	pʰao35	响踢~；~
火	fo35	烟~
放	fəŋ53	~花炮；~
炮	pʰao33	放花~
象	ɕiaŋ53	
棋	kiɛ35	象~；□~
□	n31	~suai35：将
将	suai35	□~
帅	ʨiaŋ33	
士	səi33	~
□	təŋ33	~tsu35：拱卒
卒	tsu35	
上	fa35	~□
□	səi35	fa35~：上士
退	tui53	~士
士	səi31	退~
将	ʨiaŋ53	~军
军	kun35	
围	uəi35	~棋
棋	ʨiɛ35	围~；和~
子	ʨuə35	黑~；白~
白	pəi53	~子
和	xyi33	~棋
拔	pa33	
河	xuo35	
游	iou33	~水
□	pʰə33	~iou35：蛙泳
没	məi53	~□
□	tsan53	məi53~：潜水
打	kuo33	~球；~腰鼓
球	ʨiu35	
赛	sai33	
远	iun33	跳~
高	ku35	跳~
翻	fan53	~筋斗
筋	ʨiɛn33	翻~斗
倒	to31	~立
立	lə35	倒~；~
演	tuy33	
狮	səu33	演~子
子	tsəu33	演狮~
跑	pʰao33	~□马；~
□	ʨi33	pʰao33~ma33：跑旱船
板	pʰai35	高脚~
耍	sua33	
铳	ʦʰoŋ33	
扭	niu53	~秧歌
秧	iaŋ33	
歌	kuo33	
跳	tiao31	~舞
舞	u33	
独	tuo33	~角戏
角	tsəi33	独~戏
戏	ɕiɛ53	独角~
京	kiŋ35	
剧	ʨy35	
话	ua35	~剧
戏	ɕi53	~院；~台
院	iun35	
丑	ʦʰo33	~角
角	ʨy35	丑~
挂	kua53	~须；~心
武	u33	
旦	tuan35	
青	ʦʰən53	~衣
□	tsən53	~：小旦
龙	loŋ35	跑~套
套	tao53	跑龙~
□	tsʰən35	~uo53：蹲
□	uo53	tsʰən35~：蹲
□	pʰə35	~lə53：跌到了
了	lə53	□~
摇	uo33	
爬	pʰa35	
低	tʰəi35	
抬	təi35	~头
转	tən53	面~过去；翻~头
去	xui33	面转过~；□下~
眼	nan35	鼓~；闭~；~红
闭	pəi53	
遇	ny53	
睛	tsən33	眼~乱□
乱	luan33	眼睛~□
□	fun53	nan33tsən33luan33~：眼睛乱转
□	ɕiu53	~tsui35pa35：撅嘴
嘴	tsui35	□~巴
□	tən53	~sou33：伸手
流	lui35	□眼~
拍	pʰə33	
巴	pʰa35	~开
开	xei35	巴~
摸	mo35	
送	soŋ33	~□
□	tən33	soŋ33~：送
嗅	ɕioŋ53	
厌	in53	
□	niao33	~mə33sən53：犹疑；~na33iaŋ31：不怎么样
冇	mə33	□~信
信	sən53	
行	ɕiaŋ33	~
哭	xuo33	
提	tsʰən53	
起	ɕo35	提~
捡	kian33	~起来
丢	pʰə35	~失
失	xui53	
落	lai33	~咯
咯	luo31	
□	luo33	~ʨiɛ33lə33：找着了
藏	tsʰuan35	
知	təi35	~道
道	tao33	知~
懂	toŋ33	
会	fəi33	
想	ɕiaŋ33	
伸	tən53	
撅	ɕiu35	
屁	pʰi35	撅~股
股	ku33	撅屁~
大	tᴀ35	~估计
估	pu33	
计	tsi33	大估~
主	ʨy33	
张	tsaŋ33	主~
怀	xuai35	~疑
疑	ni35	
没	mə33	□~信
留	liao33	
害	xəi33	
怕	pʰa53	害~
吓	xəi53	
着	tiɛ31	吓~
□	sou31	~kiɛ31：着急
急	kiɛ31	
望	məŋ31	~
巴	pao33	~不得
不	pu31	巴~得
来	ləi33	想起~了
红	xoŋ35	眼~
讨	tʰao33	
嫌	ɕin31	
恨	xən4	
羡	ɕian53	
慕	mu35	
偏	pʰin33	~心；~偏
怄	o53	
埋	man31	
怨	iuan35	
憋	pəi53	
爱	nai35	~惜
惜	ɕi33	
爱	əi53	~
关	kuan31	~心
心	ɕi33	关~
纵	ʦoŋ53	
容	ioŋ35	
娇	ʨiao53	
他	ta35	娇~
话	ua33	讲~
谈	tʰan35	
话	ua53	答~
声	səŋ35	
说	suo35	
□	tsʰə31	pu53~：告诉
抬	təi31	~杠子
杠	kəŋ33	
顶	təŋ31	~嘴
闹	nao33	
打	ku53	~架
骂	tsʰan53	
挨	ŋai24	~骂
搞	kao33	
定	təi31	搞~
重	tsʰoŋ53	~着
着	ʨi35	重~
喊	xan53	~
面	uan53	上~
山	saŋ35	~上
墙	ʨʰiaŋ33	~上
门	mən31	~上；~口；~墙；窗子~口
□	tʰoŋ33	~pʰən33saŋ53：桌上
□	pʰən33	tʰoŋ33~saŋ53：桌上
边	pin54	~边上
岭	lən33	野~肚头
墙	ʨʰiaŋ35	门~
窗	tsʰuaŋ53	~子门口
车	ʨʰiɛ33	~门前；~后头
前	ʨʰin35	车门~；山门~；门~；向~行
山	xou53	~背
背	san35	山~
后	pəi53	窝~
后	xou33	背~；从今天以~
以	i33	~前；~后；~上；~下；从今天~后
前	ʨin35	以~
从	tsoŋ35	~今天以后
今	kiɛn33	
天	niɛ33	从今~以后
从	tsoŋ33	~现在开始
现	ɕian53	
在	tsai53	从现~开始
始	sə33	
东	toŋ35	~；~南；~北；向~行；以~
西	ɕəi35	~；~南；~北；向~行；以~
南	nan35	
路	lu4	~边
边	kan35	路~
当	tsaŋ53	~间
间	kan33	当~
底	təi53	床~下；楼~下；脚~下；碗~；□~；瓮~
楼	pi53	~底下
脚	ʨʰiɛ33	~底下
碗	uan33	~底
□	tsʰaŋ53	~təi53：锅底儿
瓮	ŋo53	~底
旁	pʰəŋ35	~近
近	kən35	
临	lən33	~近
那	na53	~里头去；~些
里	li35	那~头去
头	tu53	那里~去
去	ʨʰy33	那里头~
右	iou53	~边
望	pa31	~□里行
□	tui33	pa31~ləi35ɕiaŋ35：望里走
里	ləi35	望□~行
行	ɕiaŋ35	望□里~；~去门口；向东~；向西~；打转~；向前~
门	mən53	行去~口
向	ɕiaŋ53	
转	ʦuan53	打~行
以	i53	~东；~西；~南；~北；~内；~外；~来；~上；~下
之	ʨi33	
后	xou31	之~
前	ʨian53	之~
间	kian35	之~
我	ŋu33	~；~地
你	məi33	
他	ta31	~
□	tui31	~：我们、咱们；ta33~：他们
□	ŋuo31	~：你们
他	ta33	~□
地	ti33	我~
这	kəi31	~个
个	ku53	这~；~个；个~；一~人
那	na33	~个；~恁
这	kəi53	~些
些	i35	
恁	nəŋ33	□~
恁	nəŋ53	那~
样	nəŋ53	搞哪~
为	uəi53	
多	tu33	~少
少	su33	多~
媁	uəi24	~
两	liaŋ53	
娘	niaŋ53	~俩
俩	liaŋ31	娘~
俩	liaŋ53	~爷；~公；~婶□
婶	sən35	俩~□
□	ŋ33	liaŋ53sən35~：妯娌俩
姑	ku33	满~老大嫂
弟	ti53	兄~家
姐	ʨi33	~妹家
俩	ka35	哥妹~；娘侄~
姐	təi33	老~家
舅	ʨiu33	
□	məi53	ʨiu33~sən35：舅甥俩
甥	sən35	舅□~
娘	niaŋ33	~侄俩
先	ɕin33	~生学生
丑	tsʰo33	~
难	nan35	~看
看	tsʰui53	难~
媁	uəi35	~
不	pa31	~错
错	tsʰuo35	
差	tsʰa54	~不多
多	tu35	差不~
样	iaŋ31	□哪~
顶	təɲ33	不~事
坏	fai4	
将	ʨiaŋ33	~就
就	ʨiao31	将~
长	ʦaŋ33	~得好
要	ioŋ33	
紧	ʨin33	要~
硬	niaŋ33	
软	iun33	
干	liam53	~净
净	tsʰən33	干~
邋	pai33	
遢	lai31	
淡	tan31	~
臭	tsʰou53	~
酸	sun35	
苦	fu33	
辣	luo53	~
稀	ɕi35	
浓	nioŋ35	
厚	xou33	~
肥	fəi35	~
胖	pəŋ53	
瘦	sou53	
舒	ɕy33	
爽	suan53	
难	nan53	~过
怕	pa33	~羞
羞	ɕiao35	
乖	kuai35	
能	nəŋ35	好~
命	mi53	做短~事
事	tsʰi31	做短命~
灵	ləȵ31	~便
便	pi31	灵~
巧	ʨiu33	~
糊	fu33	~涂
涂	tu53	糊~
孬	niao33	
爲	uəi35	
大	tʰai35	~方
方	kai53	大~
□	tiaŋ53	~tsʰə33ləi35：凸
□	tsʰə33	tiaŋ53~ləi35：凸
□	ləi35	tiaŋ53tsʰə33~：凸
□	niaŋ31	~tsuo33：坚固
□	tsuo33	niaŋ31~：坚固
□	mi53	~xa53xui33：凹
凉	liaŋ35	~清
清	tsən33	凉~
青	ʦʰən33	大~；嫰~；深~
嫰	nən53	
深	sən33	
紫	tsəi33	
色	sə31	紫~
古	ku31	
刚	ʨiaŋ33	
正	kou35	~好
好	tsən54	正~
正	xu33	~合适
合	tsən53	正~适
适	uəi35	
碰	ka33	
巧	ma33	碰~
净	tsən33	~
一	ti54	~点点
点	ti54	一~点
点	ka35	一点~；差一点~
可	kuo33	
能	uəŋ35	可~
□	tian53	~koŋ33：也许
□	ti53	tsʰa35~ka35：差点儿
趁	tsʰən53	
早	tsu33	趁~；迟~
迟	ɕi31	
全	ʨun31	~靠
靠	kou33	全~
起	ɕi35	一~去
顺	sun33	~便；~着
便	pʰin53	顺~
故	ku35	~意
意	i35	故~
终	ʦoŋ33	
究	ʨiu35	
根	kə35	~本
实	sə35	
在	ʦao53	实~
差	tsʰa53	~不多；~一点点
不	ti53	差~多
多	ka35	差不~
一	ti53	差~点点
点	ti53	差一~点
乱	luan53	~搞
□	təi35	ka33~：另外
捱	nai24	
把	pa31	~
到	tu31	
入	ru35	
在	tsʰai53	~
按	nan35	~
拿	nən53	
跟	kən33	
帮	paŋ35	~
劳	lao24	
给	xən33	
我	ŋo33	给~
问	mən31	
当	……tuan33	拿……~
从	tsʰoŋ31	~□
