字	声母	韵母	调值	调类	备注
革	k	ak	21	阴入	
鞦	tsʰ	ɐu	55	阳平	秋千
鞭	p	i	33	阴平	
韈	m	ua	53	阳入	
韤	m	ua	53	阳入	
響	h	iu	13	上声	
頁	h	iaʔ	53	阳入	
頂	t	ieŋ	13	上声	
須	s	i	55	阳平	
頓	t	un	213	阴去	
頗	pʰ	ɔ	13	上声	
領	n	ia	13	上声	
頟	h	iaʔ	53	阳入	
頭	tʰ	au	55	阳平	
顆	l	ɔ	13	上声	
額	h	iaʔ	53	阳入	
顏	ŋ	an	55	阳平	
願	ŋ	in	11	阳去	
顛	t	in	33	阴平	
類	l	ɐi	33	阴平	
顯	h	in	13	上声	
页	h	iaʔ	53	阳入	
顶	t	ieŋ	13	上声	
顺	s	un	11	阳去	
须	s	i	55	阳平	
顿	t	un	213	阴去	
领	n	ia	13	上声	
颇	pʰ	ɔ	13	上声	
颗	l	ɔ	13	上声	
颜	ŋ	an	55	阳平	
额	h	iaʔ	53	阳入	
颠	t	in	33	阴平	
風	h	oŋ	33	阴平	
飌	h	oŋ	33	阴平	
风	h	oŋ	33	阴平	
飛	p	oi	33	阴平	
飜	f	an	55	阳平	
飞	p	oi	33	阴平	
食	ts	iaʔ	53	阳入	
飢	k	i	55	阳平	
飤	tsʰ	i	11	阳去	
飯	p	ui	11	阳去	
飲	ŋ	im	13	上声	饮酒
飼	tsʰ	i	11	阳去	
飽	p	a	13	上声	
餅	p	ia	13	上声	
餓	ŋ	ɐu	55	阳平	
餚	ŋ	au	55	阳平	
饑	k	i	55	阳平	
饥	k	i	55	阳平	
饭	p	ui	11	阳去	
饱	p	a	13	上声	
饲	tsʰ	i	11	阳去	
饿	ŋ	ɐu	55	阳平	
首	s	ɐu	13	上声	
香	h	iu	33	阴平	
馬	m	ɐi	13	上声	
駐	ts	i	33	阴平	
駛	s	ai	13	上声	
騎	kʰ	ia	55	阳平	
騗	pʰ	in	213	阴去	欺骗
騙	pʰ	in	213	阴去	欺骗
騣	ts	aŋ	33	阴平	
騷	s	ɔ	55	阳平	
驕	k	iu	55	阳平	
驗	ŋ	im	11	阳去	
驚	k	ia	33	阴平	
马	m	ɐi	13	上声	
驴	l	u	55	阳平	
驶	s	ai	13	上声	
驻	ts	i	33	阴平	
骄	k	iu	55	阳平	
验	ŋ	im	11	阳去	
骑	kʰ	ia	55	阳平	
骚	s	ɔ	55	阳平	
骨	k	ut	21	阴入	
骽	tʰ	ui	13	上声	
髒	ts	ɔŋ	33	阴平	不干净
髓	tsʰ	ɐi	13	上声	
高	k	ɐu	55	阳平	
髮	h	uot	21	阴入	头发
髻	k	uoi	213	阴去	
鬀	tʰ	i	213	阴去	
鬚	s	ɔ	33	阴平	
鬥	t	au	213	阴去	
鬧	n	au	11	阳去	
鬼	k	ui	13	上声	
魂	h	un	55	阳平	
魄	pʰ	ak	21	阴入	
魔	m	ɔ	33	阴平	
魚	h	u	55	阳平	
魯	l	u	13	上声	
鮮	tsʰ	i	33	阴平	新鲜
鰓	s	oi	33	阴平	
鰭	kʰ	i	33	阴平	
鱗	l	an	55	阳平	
鱻	tsʰ	i	33	阴平	新鲜
鱼	h	u	55	阳平	
鲜	tsʰ	i	33	阴平	新鲜
鳃	s	oi	33	阴平	
鳍	kʰ	i	33	阴平	
鳞	l	an	55	阳平	
鳳	h	oŋ	33	阴平	
鵝	ŋ	au	55	阳平	
鵰	t	iu	33	阴平	
鶴	h	ouʔ	53	阳入	
鷄	k	e	33	阴平	
鸟	ts	iu	13	上声	
鸡	k	e	33	阴平	
鸾	l	in	55	阳平	
鹤	h	ouʔ	53	阳入	
鹹	k	iam	55	阳平	咸淡
鹿	l	iok	53	阳入	
麁	tsʰ	ɔ	55	阳平	
麗	l	ɐi	33	阴平	
麥	m	ɐiʔ	53	阳入	
麦	m	ɐiʔ	53	阳入	
麪	b	i	11	阳去	米面
麵	b	i	11	阳去	米面
麾	f	ɐi	55	阳平	
黏	ts	iam	33	阴平	黏米
黑	h	ak	53	阳入	
點	tʰ	iam	13	上声	
黨	t	ɔŋ	13	上声	
鼎	t	ia	13	上声	
鼠	tsʰ	u	13	上声	
鼻	p	ɐi	213	阴去	
齊	ts	e	55	阳平	
齋	ts	ɐi	33	阴平	
齒	tsʰ	i	13	上声	
齩	k	a	11	阳去	
龍	l	ioŋ	55	阳平	
龐	pʰ	ɔŋ	11	阳去	
龕	kʰ	ɐm	55	阳平	
龙	l	ioŋ	55	阳平	
龛	kʰ	ɐm	55	阳平	
龜	k	u	33	阴平	
丈	t	ou	11	阳去	一丈
丹	t	an	55	阳平	
人	n	an	55	阳平	
付	h	u	213	阴去	
仝	tʰ	aŋ	55	阳平	
仪	ŋ	i	55	阳平	
倍	pʰ	uoi	13	上声	
候	h	au	11	阳去	
像	s	iu	213	阴去	
冫	p	ieŋ	33	阴平	
冬	t	aŋ	33	阴平	
利	l	ɐi	11	阳去	
制	ts	ɐi	33	阴平	
刺	tsʰ	i	213	阴去	
力	l	ak	53	阳入	
動	t	oŋ	33	阴平	
匣	h	ap	53	阳入	
千	tsʰ	ɐi	33	阴平	
单	t	an	55	阳平	
双	s	iɔŋ	33	阴平	
古	k	ɔ	13	上声	
召	ts	iu	33	阴平	
后	h	ou	13	上声	王后
吳	ŋ	ɔ	55	阳平	
哽	k	ai	13	上声	
善	s	in	33	阴平	
堵	t	u	13	上声	
声	s	ia	33	阴平	
天	tʰ	i	33	阴平	
夫	f	u	55	阳平	
奈	n	ɐi	11	阳去	
姑	k	ɔ	33	阴平	
婆	p	au	55	阳平	
寄	k	ia	213	阴去	
尾	m	oi	13	上声	
峯	h	oŋ	33	阴平	
峰	h	oŋ	33	阴平	
巖	ŋ	am	55	阳平	
工	k	oŋ	33	阴平	
左	ts	au	13	上声	
巫	m	u	11	阳去	
布	pʰ	ɔ	213	阴去	
帐	ts	iɔŋ	213	阴去	
平	p	ai	55	阳平	
废	f	ɐi	33	阴平	
康	k	ɔŋ	55	阳平	
开	kʰ	ui	33	阴平	
弦	h	in	55	阳平	
当	t	ɐŋ	55	阳平	當時
忍	n	un	13	上声	
忘	m	ɔŋ	11	阳去	
忠	ts	oŋ	55	阳平	
怪	k	oi	213	阴去	
恋	l	in	13	上声	
房	p	aŋ	55	阳平	
扁	p	i	13	上声	
才	tsʰ	ai	55	阳平	
择	t	iaʔ	53	阳入	
拳	kʰ	in	55	阳平	
捐	k	in	33	阴平	
损	s	in	13	上声	
搜	s	au	13	上声	
撦	tsʰ	ia	11	阳去	
斋	ts	ɐi	33	阴平	
新	s	in	33	阴平	
施	s	i	55	阳平	
朱	ts	i	55	阳平	
杏	h	aŋ	33	阴平	
柳	l	ɐu	13	上声	
桑	s	ɔŋ	55	阳平	
桶	tʰ	aŋ	13	上声	
械	h	ai	11	阳去	
極	k	ek	21	阴入	
汁	ts	iap	21	阴入	
江	k	ɔŋ	33	阴平	
沉	tʰ	im	55	阳平	
沾	ts	im	55	阳平	
泛	f	ɐn	33	阴平	
波	p	ɔ	55	阳平	
灯	t	ieŋ	33	阴平	
烂	n	ua	11	阳去	
猛	m	ai	13	上声	
珠	ts	i	55	阳平	
瓦	h	ia	11	阳去	
瓶	p	eŋ	11	阳去	
甥	s	eŋ	33	阴平	
疲	p	ɐi	11	阳去	
百	p	aiʔ	21	阴入	
眉	m	ɐi	55	阳平	
眾	ts	ioŋ	213	阴去	
石	ts	iuʔ	53	阳入	
私	s	i	55	阳平	
空	kʰ	oŋ	33	阴平	
笠	l	ap	53	阳入	
篾	b	iʔ	53	阳入	
糟	ts	ɐu	55	阳平	
糠	kʰ	ou	33	阴平	
緊	k	in	13	上声	
纽	n	iu	13	上声	
细	s	e	213	阴去	
肝	k	ua	33	阴平	
舅	k	iɐu	13	上声	
舰	l	am	33	阴平	
范	f	ɐn	33	阴平	
茅	m	au	11	阳去	
莫	m	ɔk	21	阴入	
蓝	l	am	55	阳平	
蔽	p	ai	33	阴平	
藤	t	in	55	阳平	
虛	h	i	55	阳平	
螺	l	ɔ	55	阳平	
补	p	ɔ	13	上声	
衰	s	oi	33	阴平	
袍	pʰ	ou	55	阳平	
袴	kʰ	ɔ	213	阴去	
許	h	i	13	上声	
认	ts	in	11	阳去	
讲	k	ou	13	上声	
许	h	i	13	上声	
赵	ts	iu	33	阴平	
起	kʰ	i	13	上声	
输	s	i	55	阳平	輸贏,運輸
过	k	uoi	213	阴去	
迎	ŋ	eŋ	55	阳平	
迷	m	e	55	阳平	
逵	kʰ	ɐi	11	阳去	
邻	l	ɐn	11	阳去	
鐵	tʰ	iʔ	21	阴入	
钵	p	uaʔ	21	阴入	
铭	m	eŋ	55	阳平	
银	ŋ	in	55	阳平	
锁	s	au	13	上声	
锄	tsʰ	ɐu	55	阳平	
锥	ts	ui	33	阴平	
門	m	ui	55	阳平	
隔	k	aiʔ	21	阴入	
雀	ts	iuʔ	21	阴入	
雞	k	e	33	阴平	
順	s	un	11	阳去	
饮	ŋ	im	13	上声	飲酒
饼	p	ia	13	上声	
騰	tʰ	ɐŋ	11	阳去	
驢	l	u	55	阳平	
鬆	s	aŋ	33	阴平	蓬鬆
鲁	l	u	13	上声	
鳥	ts	iu	13	上声	
鸞	l	in	55	阳平	
鹅	ŋ	au	55	阳平	
麻	m	ua	55	阳平	
齐	ts	e	55	阳平	
齿	tsʰ	i	13	上声	
把	p	a	13	上声	把握
把	p	ɐi	13	上声	把守
擦	tsʰ	at	21	阴入	文
擦	tsʰ	ua	21	阴入	白
翠	tsʰ	i	213	阴去	文
翠	tsʰ	ui	213	阴去	白
短	t	ui	13	上声	文
短	t	ɐi	13	上声	白
含	h	am	55	阳平	文
含	k	am	55	阳平	白
會	○	ui	33	阴平	开会
會	○	ui	11	阳去	会不会
吉	k	ɐt	21	阴入	文
吉	k	it	21	阴入	白
間	k	an	33	阴平	中间
間	k	ai	33	阴平	一间房
攪	k	au	13	上声	文
攪	k	a	13	上声	白
裂	l	iʔ	53	阳入	白
裂	l	it	53	阳入	文
暖	n	in	13	上声	文
暖	n	un	13	上声	白
情	ts	ia	55	阳平	人情
情	ts	ieŋ	55	阳平	情份
親	tsʰ	in	33	阴平	白
親	tsʰ	ɐn	33	阴平	文
生	s	ai	33	阴平	出生
生	tsʰ	ai	33	阴平	生熟
刷	s	ua	21	阴入	文
刷	tsʰ	ua	21	阴入	白
思	s	u	55	阳平	白
思	s	i	55	阳平	文
祀	ts	i	11	阳去	文
祀	kʰ	i	11	阳去	白
險	h	im	13	上声	文
險	h	iam	13	上声	白
孝	h	a	213	阴去	带孝
孝	h	au	213	阴去	孝顺
嚴	ŋ	iam	55	阳平	文
嚴	ŋ	im	55	阳平	白
硯	○	i	11	阳去	文
硯	n	i	11	阳去	白
一	0	it	21	阴入	白
一	0	iɐt	21	阴入	文;第一
爪	ts	au	13	上声	文;爪牙
爪	ts	ieu	13	上声	白
呪	ts	iu	213	阴去	白
呪	ts	ɐu	213	阴去	文
轉	ts	ui	13	上声	白
轉	ts	in	13	上声	文;轉送
追	t	ui	33	阴平	白
追	ts	ui	33	阴平	文
尊	ts	un	55	阳平	白
尊	ts	in	55	阳平	文
遵	ts	un	55	阳平	白
遵	ts	ɐn	55	阳平	文
樽	ts	un	55	阳平	白
樽	ts	in	55	阳平	文
下	○	ai	13	上声	底下
与	○	i	13	上声	
丸	○	in	55	阳平	
为	○	uɐi	11	阳去	作为
乌	○	ɔ	33	阴平	
乙	○	it	21	阴入	
于	○	i	33	阴平	
云	○	uɐn	11	阳去	子云
亚	○	a	33	阴平	
亞	○	a	33	阴平	
以	○	i	13	上声	
休	○	iɐu	55	阳平	
伟	○	uɐi	13	上声	
位	○	ui	11	阳去	
偉	○	uɐi	13	上声	
冤	○	in	33	阴平	
刃	○	iɐn	33	阴平	
勻	○	un	55	阳平	
印	○	in	213	阴去	
友	○	iu	13	上声	
右	○	iɐu	11	阳去	
吁	○	i	33	阴平	
吾	○	ŋ	11	阳去	
员	○	in	55	阳平	
哀	○	oi	55	阳平	
員	○	in	55	阳平	
喉	○	ɐu	55	阳平	
因	○	iɐn	55	阳平	
圆	○	i	55	阳平	
圍	○	ui	55	阳平	
圜	○	i	55	阳平	
坳	○	a	213	阴去	
埃	○	ai	55	阳平	
域	○	uak	21	阴入	
壄	○	ia	13	上声	
夜	○	ia	33	阴平	
妖	○	iu	55	阳平	
委	○	uɐi	13	上声	
姨	○	i	55	阳平	
婴	○	in	55	阳平	
嬰	○	in	55	阳平	
学	○	ouʔ	53	阳入	
學	○	ouʔ	53	阳入	
安	○	an	33	阴平	
完	○	in	55	阳平	
宏	○	uɐŋ	11	阳去	
屋	○	ok	53	阳入	
幽	○	iɐu	55	阳平	
应	○	ɐŋ	33	阴平	应当
庵	○	am	33	阴平	
延	○	in	11	阳去	
引	○	iɐn	13	上声	
弘	○	uɐŋ	11	阳去	
弯	○	uan	33	阴平	
弱	○	iɔk	21	阴入	
彎	○	uan	33	阴平	
形	○	ieŋ	11	阳去	
影	○	ia	13	上声	
役	○	iek	53	阳入	
後	○	ɐu	33	阴平	
忆	○	iek	21	阴入	
恩	○	iɐn	55	阳平	
悅	○	it	53	阳入	
惠	○	uɐi	33	阴平	
惡	○	ouʔ	21	阴入	
惹	○	ia	13	上声	
意	○	i	213	阴去	
愛	○	ai	213	阴去	
憶	○	iek	21	阴入	
懷	○	uai	11	阳去	
扬	○	iɔŋ	11	阳去	
按	○	on	33	阴平	
揚	○	iɔŋ	11	阳去	
換	○	ua	11	阳去	
搖	○	iu	55	阳平	
旱	○	ua	33	阴平	
旺	○	ɔŋ	11	阳去	
易	○	i	11	阳去	难易
映	○	ɐŋ	13	上声	
暎	○	ɐŋ	13	上声	
暗	○	am	213	阴去	
有	○	u	11	阳去	
杨	○	iu	55	阳平	姓
案	○	ua	213	阴去	
椀	○	ua	13	上声	
楊	○	iu	55	阳平	姓
榮	○	ɐŋ	11	阳去	
殃	○	iɔŋ	33	阴平	
殷	○	iɐn	55	阳平	
毀	○	uɐi	13	上声	
毉	○	i	55	阳平	
永	○	uɐŋ	13	上声	
沃	○	iok	53	阳入	
沤	○	ɐu	213	阴去	
油	○	iu	55	阳平	
液	○	iek	21	阴入	
淫	○	iam	11	阳去	
溫	○	uɐn	55	阳平	
演	○	in	13	上声	
漚	○	ɐu	213	阴去	
為	○	uɐi	11	阳去	作为
烏	○	ɔ	33	阴平	
烟	○	in	33	阴平	
然	○	in	33	阴平	
煙	○	in	33	阴平	
燕	○	in	213	阴去	燕子
營	○	ieŋ	55	阳平	
爱	○	ai	213	阴去	
爲	○	uɐi	11	阳去	作为
狨	○	ioŋ	55	阳平	
猾	○	uat	21	阴入	
獲	○	uɔk	21	阴入	
王	○	ui	55	阳平	
环	○	uan	55	阳平	
瑿	○	i	55	阳平	
環	○	uan	55	阳平	
瓮	○	aŋ	213	阴去	
甕	○	aŋ	213	阴去	
画	○	ua	11	阳去	
畏	○	uɐi	33	阴平	
畫	○	ua	11	阳去	
瘂	○	ɐi	13	上声	
盂	○	i	11	阳去	
盈	○	iɐŋ	11	阳去	
益	○	iek	21	阴入	
盌	○	ua	13	上声	
盐	○	iɐm	55	阳平	
碗	○	ua	13	上声	
祸	○	uo	33	阴平	
禍	○	uo	33	阴平	
移	○	i	55	阳平	
稳	○	un	13	上声	
穩	○	un	13	上声	
約	○	ioʔ	21	阴入	
紅	○	aŋ	55	阳平	
絨	○	ioŋ	55	阳平	
红	○	aŋ	55	阳平	
约	○	ioʔ	21	阴入	
绒	○	ioŋ	55	阳平	
羊	○	iu	55	阳平	
羽	○	i	13	上声	
胃	○	uɐi	33	阴平	
腰	○	iu	33	阴平	
與	○	i	13	上声	
芋	○	ɔ	11	阳去	
芮	○	iɐi	33	阴平	
英	○	ɐŋ	55	阳平	
荣	○	ɐŋ	11	阳去	
药	○	ioʔ	53	阳入	
营	○	ieŋ	55	阳平	
蔼	○	oi	13	上声	
藥	○	ioʔ	53	阳入	
藹	○	oi	13	上声	
融	○	ioŋ	11	阳去	
衛	○	uɐi	33	阴平	
衞	○	uɐi	33	阴平	
袁	○	in	55	阳平	
裕	○	i	33	阴平	
襖	○	ou	33	阴平	
讓	○	iɔŋ	33	阴平	
豔	○	im	33	阴平	
貟	○	in	55	阳平	
越	○	it	53	阳入	
軶	○	ɐiʔ	21	阴入	
运	○	un	11	阳去	
逸	○	iɐt	21	阴入	
運	○	un	11	阳去	
遗	○	uɐi	11	阳去	
遺	○	uɐi	11	阳去	
郵	○	iɐu	11	阳去	
醫	○	i	55	阳平	
釉	○	iu	55	阳平	
野	○	ia	13	上声	
銳	○	ioi	33	阴平	
锐	○	ioi	33	阴平	
閹	○	iɐm	33	阴平	
闲	○	ai	55	阳平	
阉	○	iɐm	33	阴平	
阿	○	ɔ	33	阴平	阿胶,阿哥
院	○	in	33	阴平	
隐	○	iɐn	13	上声	
隘	○	e	213	阴去	
隱	○	iɐn	13	上声	
鞋	○	e	55	阳平	
鞌	○	on	55	阳平	
鞍	○	on	55	阳平	
鞵	○	e	55	阳平	
音	○	im	33	阴平	
韻	○	uɐn	11	阳去	
預	○	i	33	阴平	
预	○	i	33	阴平	
饒	○	ieu	11	阳去	
饶	○	ieu	11	阳去	
鴉	○	a	33	阴平	
鴨	○	aʔ	21	阴入	
鷰	○	in	213	阴去	燕子
鷹	○	in	33	阴平	
鸦	○	a	33	阴平	
鸭	○	aʔ	21	阴入	
鹰	○	in	33	阴平	
鹽	○	iɐm	55	阳平	
黃	○	ui	55	阳平	
黄	○	ui	55	阳平	
鼃	○	ua	55	阳平	
伊	○	i	33	阴平	
余	○	i	55	阳平	
儒	○	i	11	阳去	
卫	○	uɐi	33	阴平	
围	○	ui	55	阳平	
圓	○	i	55	阳平	
壬	○	iam	11	阳去	
幼	○	iu	213	阴去	
往	○	uɔŋ	13	上声	
應	○	ɐŋ	33	阴平	應當
我	○	ua	13	上声	
捥	○	ua	11	阳去	
柔	○	iɐu	11	阳去	
皇	○	ui	55	阳平	
矮	○	e	13	上声	
秧	○	ou	33	阴平	
穴	○	it	21	阴入	
翁	○	aŋ	33	阴平	
腕	○	ua	11	阳去	
蛙	○	ua	55	阳平	
衣	○	i	33	阴平	
袄	○	ou	33	阴平	
要	○	iu	33	阴平	要求
让	○	iɔŋ	33	阴平	
閑	○	ai	55	阳平	
