汉字	音标	注释	
崩	pan¹²		
北	pɛi⁵		
朋	pʰaŋ²¹	不符合古今语音演变的对应规律	
墨	bɛi³		
默	bɛi³		
登	tan¹²		
灯	tan¹²		
等	tan²⁴		
凳	tan³⁰³⁵		
得	tɛi⁵		
德	tɛi⁵		
腾	tʰan²¹		
藤	tʰan²¹		
邓	tʰan²²		
特	tʰɛi³		
能	lan²¹		
肋	lɛi³		
勒	lɛi³	~紧	
曾	tsan¹²	姓~	
增	tsan¹²		
则	tsɛi⁵		
曾	tsʰan²¹	~经	
层	tsʰan²¹		
赠	tsan⁴⁴	不符合古今语音演变的对应规律	
贼	tsʰɛi³		
僧	tsan¹²	不符合古今语音演变的对应规律	
塞	sɛi⁵	~住	
肯	han²⁴		
刻	kʰɛi⁵		
刻	kʰɛi³⁰³⁵	lai²²~	
克	kʰɛi⁵		
黑	hɛi⁵		
恒	hɛn²¹	不符合古今语音演变的对应规律	
冰	pan¹²		
逼	pɛi⁵		
凭	pʰan²¹		
凌	lan²¹		
菱	lan²¹		
陵	lan²¹		
力	lɛi³		
即	tsɛi⁵		
鲫	tsɛi⁵		
息	sɛi⁵		
息	sɛi³⁰³⁵	重孙	
熄	sɛi⁵		
征	tsan¹²	~求	
澄	tsʰan²¹		
惩	tsʰan²¹		
直	tsʰɛi³		
值	tsʰɛi³		
侧	tsɛi⁵		
测	tsʰɛi⁵		
色	sɛi⁵		
色	sɛi³⁰³⁵	颜~	
蒸	tsan¹²		
证	tsan⁴⁴		
症	tsan⁴⁴		
织	tsɛi⁵		
职	tsɛi⁵		
称	tsʰan¹²	~呼	
秤	tsʰan³⁰³⁵		
乘	san²¹		
绳	san³⁰³⁵		
剩	san²²		
食	sɛi³		
蚀	sɿ³		
升	san¹²		
胜	san⁴⁴	~败	
识	sɛi⁵		
式	sɛi⁵		
饰	sɛi⁵		
承	san²¹		
丞	san²¹		
殖	tsʰɛi³	不符合古今语音演变的对应规律	
植	tsʰɛi³	不符合古今语音演变的对应规律	
扔	jian¹²	不符合古今语音演变的对应规律	
极	kʰɛi³		
兴	han¹²	~旺	
兴	han⁴⁴	高~	
应	jian¹²	~该	
鹰	jian¹²		
应	jian⁴⁴	答~	
忆	jɛi⁵		
亿	jɛi⁵		
蝇	jian²¹	苍~	
蝇	jian³⁰³⁵	乌~	
孕	jian⁴⁴	不符合古今语音演变的对应规律	
翼	jɛi³		
翼	jɛi³⁰³⁵	鸡~	
国	kui³⁰³⁵		
弘	haŋ²¹		
或	fɛi³		
域	vɛi³		
百	pɛ⁵		
柏	pɛ⁵		
伯	pɛ⁵		
迫	pɛi⁵	不符合古今语音演变的对应规律	
拍	pʰɛ⁵		
魄	pʰɛ⁵		
彭	pʰiɛ²¹		
白	pʰɛ³		
盲	biɛ²¹		
猛	biɛ⁴⁴		
孟	baŋ⁴⁴	不符合古今语音演变的对应规律	
打	ta²⁴	不符合古今语音演变的对应规律	
冷	liɛ⁴⁴		
撑	tsʰiɛ⁴⁴	不符合古今语音演变的对应规律	
撑	/	~儿	
拆	tsʰɛ⁵	~开	
泽	tsʰɛ³⁰³⁵		
择	tsʰuə³		
窄	tsɛ⁵		
生	siɛ¹²	先~	
生	siɛ³⁰³⁵	学~	
牲	siɛ¹²		
甥	siɛ¹²		
省	san²⁴	~长	
省	san²⁴	节~	
更	kiɛ¹²	五~	
粳	kiɛ¹²		
庚	kiɛ¹²		
哽	kian²⁴		
梗	kua²⁴	不符合古今语音演变的对应规律	
更	kiɛ⁴⁴	~加	
格	kɛ⁵	一~	
格	kɛ³⁰³⁵	及~	
坑	hiɛ¹²		
客	kʰɛ⁵		
硬	ɡiɛ²²		
硬	ɡian²²	打~震	
额	ɡiɛ³⁰³⁵		
吓	hɛ⁵	恐~	
行	hiɛ²¹	~为	
衡	hiɛ²¹		
杏	han²²		
掰	bɛ⁵		
掰	bi⁵		
棚	pʰaŋ²¹	不符合古今语音演变的对应规律	
萌	ban²¹		
麦	bɛ³		
脉	bɛ³⁰³⁵		
摘	tsɛ⁵		
橙	tsʰiɛ³⁰³⁵	~子	
争	tsiɛ¹²		
睁	tsiɛ¹²		
责	tsɛ³⁰³⁵		
策	tsʰɛ³⁰³⁵		
册	tsʰɛ³⁰³⁵		
耕	kiɛ¹²		
耿	kuə²⁴	不符合古今语音演变的对应规律	
革	kɛ⁵		
隔	kɛ⁵		
幸	han²²		
核	vu³⁰³⁵	果~，不符合古今语音演变的对应规律	
鹦	jian¹²		
轭	ɛ⁵	牛~	
兵	pan¹²		
丙	piɛ²⁴		
柄	piɛ³⁰³⁵		
碧	pɛi⁵		
平	pʰiɛ²¹	~地	
平	pʰan²¹	和~	
坪	pʰiɛ²¹	草~	
坪	pʰiɛ³⁰³⁵	禾~	
评	pʰan²¹		
病	pʰiɛ²²		
鸣	ban²¹		
明	biɛ²¹	~目	
明	ban²¹	~白	
盟	biɛ²¹		
命	biɛ²²		
京	kian¹²		
惊	kiɛ¹²	话音	
惊	kian¹²	字音	
景	kiɛ²⁴		
警	kiɛ²⁴		
境	kiɛ²⁴		
敬	kian⁴⁴		
竟	kian⁴⁴		
镜	kiɛ⁴⁴		
卿	han¹²		
庆	kʰian⁴⁴		
擎	kʰian²¹		
鲸	kʰian²¹		
竞	kian⁴⁴	不符合古今语音演变的对应规律	
屐	kʰiɛ³⁰³⁵	木~	
迎	jiɛ²¹		
逆	ɡiɛ³		
英	jian¹²		
影	jiɛ²⁴		
映	jiɛ²⁴	不符合古今语音演变的对应规律	
饼	piɛ²⁴		
聘	pʰan⁴⁴		
僻	pʰɛi⁵		
辟	pʰɛi⁵	不符合古今语音演变的对应规律	
名	biɛ³⁰³⁵		
领	liɛ⁴⁴	领~	
领	liɛ³⁰³⁵	衫~	
岭	liɛ⁴⁴		
令	lan²²		
精	tsan¹²		
睛	tsiɛ³⁰³⁵		
晶	tsan¹²		
井	tsiɛ²⁴		
积	tsɛi⁵		
迹	tsɛi⁵	事~	
迹	tsiɛ³⁰³⁵	脚~	
脊	tsiɛ⁵		
清	tsʰan¹²		
请	tsʰiɛ²⁴		
情	tsʰiɛ²¹	人~	
情	tsʰan²¹	~愿	
晴	tsʰiɛ²¹		
静	tsʰan²²		
净	tsʰiɛ²²		
籍	tsʰɛi³	~贯	
姓	siɛ⁴⁴		
性	siɛ⁴⁴		
惜	sɛi⁵		
昔	sɛi⁵		
席	tsʰɛi³	主~	
夕	tsʰɛi³		
贞	tsan¹²		
侦	tsan¹²	不符合古今语音演变的对应规律	
呈	tsʰan²¹		
程	tsʰan²¹		
郑	tsʰiɛ²²		
正	tsan¹²	~月	
征	tsan¹²	~兵	
整	tsan²⁴		
正	tsɛ⁴⁴	ha²¹~，不符合古今语音演变的对应规律	
正	tsiɛ⁴⁴	做~了	
正	tsan⁴⁴	~当	
政	tsan⁴⁴		
只	/	一~	
炙	tsɛ⁵		
赤	tsʰiɛ⁵		
尺	tsʰɛ⁵	量词	
尺	tsʰɛ³⁰³⁵	名词	
声	siɛ¹²		
圣	san⁴⁴		
释	sɛi⁵		
适	sɛi⁵		
成	siɛ²¹		
城	siɛ²¹		
诚	siɛ²¹		
盛	san²²	丰~	
石	siɛ³		
颈	kiɛ²⁴		
轻	hiɛ¹²		
婴	jian¹²		
益	jɛi⁵		
盈	jian²¹		
赢	jiɛ²¹		
译	jɛi³		
易	jɛi³	交~	
壁	piɛ⁵		
劈	pʰiɛ⁵		
瓶	pʰan²¹		
屏	pʰan²¹		
萍	pʰan²¹		
並	pʰan⁴⁴		
铭	biɛ²¹		
丁	tan¹²		
钉	tiɛ³⁰³⁵	铁~	
顶	tiɛ²⁴	岭~	
顶	tan²⁴	~颈	
钉	tiɛ¹²	~住，不符合古今语音演变的对应规律	
订	tiɛ⁴⁴		
的	tɛi⁵	目~	
滴	tɛ⁴⁴	不符合古今语音演变的对应规律	
嫡	tɛi⁵	~亲	
听	tʰiɛ⁴⁴	~见，不符合古今语音演变的对应规律	
厅	tʰiɛ¹²		
厅	tʰiɛ³⁰³⁵	私~	
踢	tʰiɛ⁵		
剔	tʰiɛ⁵		
亭	tʰan²¹		
停	tʰan²¹		
庭	tʰan²¹		
艇	tʰiɛ³⁰³⁵		
挺	tʰan²⁴	不符合古今语音演变的对应规律	
定	tʰiɛ²²	~婚	
定	tʰan²²	一~	
敌	tʰɛi³		
笛	tʰiɛ³		
籴	/		
宁	lan²¹	安~	
灵	liɛ²¹		
零	liɛ²¹		
零	liɛ³⁰³⁵	十~个	
铃	liɛ²¹		
另	lan²²		
历	lɛi³	经~	
绩	tsɛi⁵		
青	tsʰiɛ¹²		
戚	tsʰɛi³⁰³⁵		
星	san¹²	~期一	
星	siɛ³⁰³⁵	天~	
腥	siɛ¹²		
醒	siɛ²⁴		
析	sɛi⁵		
锡	siɛ⁵		
经	kian¹²		
激	kɛi⁵		
击	kɛi⁵		
形	jian²¹	不符合古今语音演变的对应规律	
型	jian²¹	不符合古今语音演变的对应规律	
刑	jian²¹	不符合古今语音演变的对应规律	
矿	kʰɔŋ⁴⁴	不符合古今语音演变的对应规律	
轰	kuan¹²	~炸，不符合古今语音演变的对应规律	
横	viɛ²¹	~直	
宏	haŋ²¹	不符合古今语音演变的对应规律	
获	vɔu³	不符合古今语音演变的对应规律	
划	və³	计~	
倾	kʰian¹²		
琼	kʰian²¹		
兄	haŋ¹²	不符合古今语音演变的对应规律	
荣	jaŋ²¹	不符合古今语音演变的对应规律	
永	jiɔn²⁴		
泳	jiɔn²⁴	不符合古今语音演变的对应规律	
营	jian²¹		
颖	jiɔn²⁴		
役	jɛi³		
疫	jɛi³		
萤	jian²¹	不符合古今语音演变的对应规律	
扑	pʰɔu⁵	不符合古今语音演变的对应规律	
蓬	pʰaŋ²¹		
篷	pʰaŋ²¹		
瀑	pʰɔu⁵	~布，不符合古今语音演变的对应规律	
蒙	baŋ²¹		
木	bɔ³		
东	taŋ¹²		
董	taŋ²⁴		
懂	taŋ²⁴		
冻	taŋ⁴⁴		
通	tʰaŋ¹²		
桶	tʰaŋ²⁴		
桶	tʰaŋ³⁰³⁵	火~	
痛	tʰaŋ⁴⁴		
秃	tʰu⁵	不符合古今语音演变的对应规律	
同	tʰaŋ²¹		
铜	tʰaŋ²¹		
童	tʰaŋ²¹		
筒	tʰaŋ²¹	动词	
筒	tʰaŋ³⁰³⁵	名词	
动	tʰaŋ²²		
洞	tʰaŋ²²		
独	tʰɔ³		
读	tʰɔ³		
笼	laŋ²¹	鸡~	
笼	laŋ³⁰³⁵	鱼~	
聋	laŋ²¹		
拢	laŋ²⁴		
弄	laŋ²²		
鹿	lɔ³⁰³⁵		
棕	tsaŋ¹²		
总	tsaŋ²⁴		
粽	tsaŋ³⁰³⁵		
聪	tsʰaŋ¹²		
匆	tsʰaŋ¹²		
葱	tsʰaŋ³⁰³⁵		
丛	tsʰaŋ²¹		
族	tsʰɔ³		
送	saŋ⁴⁴		
速	tsʰɔ⁵	不符合古今语音演变的对应规律	
公	kaŋ¹²	老~	
公	kaŋ³⁰³⁵	大人~	
工	kaŋ¹²		
功	kaŋ¹²		
攻	kaŋ¹²		
贡	kaŋ⁴⁴		
谷	kɔ⁵	姓氏	
谷	kɔ³⁰³⁵		
空	haŋ¹²	~气	
孔	kʰaŋ²⁴		
控	haŋ⁴⁴		
空	haŋ¹²	~缺，不符合古今语音演变的对应规律	
哭	hɔ⁵		
烘	haŋ⁴⁴	不符合古今语音演变的对应规律	
红	haŋ²¹		
洪	haŋ²¹		
汞	kaŋ⁴⁴	不符合古今语音演变的对应规律	
翁	aŋ¹²		
屋	ɔ⁵		
冬	taŋ¹²		
督	tɔ⁵		
统	tʰaŋ²⁴	不符合古今语音演变的对应规律	
毒	tʰɔ³		
农	laŋ²¹		
脓	laŋ²¹		
宗	tsaŋ¹²		
综	tsaŋ¹²	不符合古今语音演变的对应规律	
松	saŋ¹²	轻~	
宋	saŋ⁴⁴		
酷	hau²²	不符合古今语音演变的对应规律	
风	faŋ¹²		
枫	faŋ¹²		
讽	faŋ⁴⁴		
福	fɔ⁵		
复	fɔ⁵	~杂	
幅	fɔ⁵		
丰	faŋ¹²		
覆	fɔ⁵		
冯	faŋ²¹		
凤	faŋ²²		
服	fɔ³		
伏	pʰɔ³	趴	
伏	fɔ³		
复	fɔ⁵	~原，不符合古今语音演变的对应规律	
梦	baŋ²²		
目	bɔ³		
牧	bɔ³		
隆	laŋ²¹		
六	lɔ³		
陆	lɔ³		
肃	sɔ⁵		
宿	sɔ⁵	住~	
中	tsaŋ¹²	~间	
忠	tsaŋ¹²		
中	tsaŋ⁴⁴	打~	
竹	tsɔ³⁰³⁵		
筑	tsɔ⁵		
畜	tsʰɔ⁵	~生	
虫	tsʰaŋ²¹	ɡɛn²¹公~	
虫	tsʰaŋ³⁰³⁵	蚕屎~	
轴	tsʰɔ³⁰³⁵		
逐	tsʰɔ³		
崇	saŋ²¹	不符合古今语音演变的对应规律	
缩	sɔ⁵		
终	tsaŋ¹²		
众	tsaŋ⁴⁴		
祝	tsɔ⁵		
粥	tsɔ⁵		
充	tsʰaŋ¹²		
铳	tsʰaŋ⁴⁴		
叔	sɔ⁵	~伯兄弟	
叔	sɔ³⁰³⁵	阿~	
熟	sɔ³		
绒	jaŋ²¹		
肉	lɔ³	猪~，不符合古今语音演变的对应规律	
肉	lɔ³⁰³⁵	花生~，不符合古今语音演变的对应规律	
弓	kaŋ¹²		
躬	kaŋ¹²		
宫	kaŋ¹²		
菊	kʰɔ⁵	不符合古今语音演变的对应规律	
菊	kʰɔ³⁰³⁵	~花，不符合古今语音演变的对应规律	
穷	kʰaŋ²¹		
畜	tsʰɔ⁵	~牧，不符合古今语音演变的对应规律	
蓄	tsʰɔ⁵	不符合古今语音演变的对应规律	
熊	haŋ²¹	不符合古今语音演变的对应规律	
雄	haŋ²¹	不符合古今语音演变的对应规律	
融	jaŋ²¹		
育	jɔ³		
封	faŋ¹²		
峰	faŋ¹²		
蜂	faŋ¹²		
锋	faŋ¹²		
捧	pʰaŋ²⁴	话音	
捧	paŋ²⁴	字音，不符合古今语音演变的对应规律	
逢	faŋ²¹		
缝	faŋ²¹	~衣	
奉	faŋ²²		
缝	faŋ²²	~隙	
浓	laŋ²¹		
龙	laŋ²¹	火~	
龙	laŋ³⁰³⁵	闪~	
绿	lɔ³		
录	lɔ³		
纵	tsaŋ¹²	~横	
踪	tsaŋ¹²		
足	tsɔ⁵		
促	tsʰɔ⁵		
从	tsʰaŋ²¹	跟~	
粟	sɔ⁵		
粟	sɔ³⁰³⁵	狗尾~	
松	tsʰaŋ²¹	~树	
诵	tsʰaŋ²²		
颂	tsʰaŋ²²		
俗	tsʰɔ³		
续	tsʰɔ³		
宠	tsʰaŋ²⁴		
重	tsʰaŋ²¹	~复	
重	tsʰaŋ⁴⁴	轻~	
钟	tsaŋ¹²		
种	tsaŋ²⁴	~类	
种	tsaŋ⁴⁴	~树	
烛	tsɔ⁵		
嘱	tsɔ⁵		
冲	tsʰaŋ¹²		
触	tsʰɔ⁵		
舂	/		
束	tsʰɔ⁵	不符合古今语音演变的对应规律	
属	sɔ³		
茸	jaŋ²¹		
辱	jɔ³		
恭	kaŋ¹²		
供	kaŋ⁴⁴	~给，不符合古今语音演变的对应规律	
恐	kʰaŋ²⁴		
曲	kʰɔ⁵		
共	kʰaŋ²²		
局	kʰɔ³		
玉	jɔ³		
狱	jɔ³		
胸	haŋ¹²		
凶	haŋ¹²		
雍	jaŋ¹²		
拥	aŋ²⁴	推	
拥	jaŋ²⁴		
容	jaŋ²¹		
勇	jaŋ²⁴		
用	jaŋ²²		
欲	jɔ³		
浴	jɔ³		
