				#调值	[1]24 [2]434 [3]44 [4]223 [5]52 [6]231 [7]5 [8]23
房	房	fɔ̃434			
防	防	fɔ̃434			
縛	缚	bəʔ23			
亡	亡	mɔ̃434			
網	网	mɔ̃223			
忘	忘	məŋ434			
望	望	mɔ̃231			
筐	筐	kʰɔ̃24			
況	况	xuɑ̃52			
枉	枉	ɔ̃44			
王	王	iɔ̃434			
往	往	uɑ̃223			
旺	旺	ɔ̃231			
邦	邦	pɔ̃24			
剝	剥	pəʔ5			
胖	胖	pʰɔ̃52			
樸	朴	pʰəʔ5			
棒	棒	bɔ̃223			
雹	雹	bəʔ23			
樁	桩	tiɔ̃24			
桌	桌	ʨyəʔ5			
啄	啄	təʔ5			
戳	戳	ʨʰyəʔ5			
撞	撞	ʥiɔ̃231			
捉	捉	ʨyəʔ5			
窗	窗	ʨʰiɔ̃24			
齪	龊	ʨʰyəʔ5			
鐲	镯	ʥyəʔ23			
雙	双	ɕiɔ̃24			
江	江	kɔ̃24			
扛	扛	kɔ̃24			
豇	豇	kɔ̃24			
講	讲	kɔ̃44			
港	港	kɔ̃44			
降	降	kɔ̃52	下降		
角	角	kəʔ5			
餃	饺	ʨiɔ44			
腔	腔	ʨʰiɔ̃24			
確	确	kʰəʔ5			
殼	壳	kʰəʔ5			
岳	岳	ŋəʔ23			
樂	乐	ŋəʔ23	音樂		
降	降	ɔ̃434	投降		
項	项	ɔ̃223			
學	学	əʔ23			
握	握	əʔ5			
齷	龌	uəʔ5			
崩	崩	pəŋ24			
北	北	pəʔ5			
朋	朋	pəŋ434			
墨	墨	məʔ23			
默	默	məʔ23			
登	登	tiŋ24			
燈	灯	tiŋ24			
等	等	tiŋ44			
凳	凳	tiŋ52			
得	得	təʔ5	動詞		
得	得	tiəʔ0	喫得		
德	德	təʔ5			
忒	忒	tʰiəʔ5			
騰	腾	təŋ434			
藤	藤	təŋ434			
鄧	邓	dəŋ231			
特	特	dəʔ23			
能	能	ȵiŋ434	能夠		
能	能	nəŋ434	能力		
薐	薐	liŋ434	菠薐：菠菜		
肋	肋	liəʔ23			
勒	勒	liəʔ23			
曾	曾	tsəŋ24	姓		
增	增	tsəŋ24			
則	则	tsəʔ5			
曾	曾	səŋ434	曾經		
層	层	ɕiŋ434			
賊	贼	zæʔ23			
僧	僧	səŋ24			
塞	塞	səʔ5			
肯	肯	kʰəŋ44			
刻	刻	kʰəʔ5			
克	克	kʰəʔ5			
黑	黑	xəʔ5			
恆	恒	əŋ434			
冰	冰	piŋ24			
逼	逼	piəʔ5			
憑	凭	piŋ434			
匿	匿	ȵiəʔ23			
陵	陵	liŋ434			
菱	菱	liŋ434			
力	力	liəʔ23			
即	即	ʨiəʔ5			
鯽	鲫	ʨiəʔ5			
息	息	ɕiəʔ5			
熄	熄	ɕiəʔ5			
媳	媳	ɕiəʔ5			
徵	征	ʨiŋ24	徵求		
澄	澄	tiŋ52			
直	直	ʥiəʔ23			
值	值	ʥiəʔ23			
側	侧	tsəʔ5			
測	测	ʦʰəʔ5			
色	色	səʔ5			
蒸	蒸	ʨiŋ24			
證	证	ʨiŋ52			
織	织	ʨiq5			
職	职	ʨiq5			
稱	称	ʨʰiŋ24			
秤	秤	ʨʰiŋ52			
乘	乘	ɕiŋ434			
繩	绳	ʨiŋ434			
塍	塍	ɕiŋ434			
剩	剩	ʑiŋ231			
食	食	ʑiəʔ23			
蝕	蚀	ʑiəʔ23			
升	升	ɕiŋ24			
勝	胜	ɕiŋ52			
識	识	ɕiəʔ5	識字		
識	识	ɕiəʔ5	知識		
式	式	ɕiəʔ5			
植	植	ʥiəʔ23			
極	极	ʥiəʔ23			
興	兴	ɕiŋ24	興旺		
興	兴	ɕiŋ52	高興		
應	应	iŋ24	姓		
鷹	鹰	iŋ24			
應	应	iŋ52	答應		
憶	忆	i52			
憶	忆	i52			
億	亿	iŋ434			
億	亿	yəŋ231			
蠅	蝇	iəʔ23			
孕	孕	yəŋ231			
翼	翼	iəʔ23			
國	国	kuəʔ5			
或	或	uəʔ23			
域	域	yəʔ23			
百	百	pæʔ5			
柏	柏	pæʔ5			
伯	伯	pæʔ5			
迫	迫	pæʔ5			
拍	拍	pʰæʔ5			
𤖼	𤖼	pʰæʔ5	撕		
彭	彭	pɛ̃434			
白	白	bæʔ23			
盲	盲	mɛ̃434			
猛	猛	mɛ̃223			
蜢	蜢	mɛ̃223			
陌	陌	mæʔ23			
打	打	nɛ̃44			
冷	冷	lɛ̃223			
撐	撑	ʦʰɛ̃24			
坼	坼	ʦʰæʔ5			
澤	泽	dzæʔ23			
擇	择	dzæʔ23			
宅	宅	dzæʔ23			
蚱	蚱	ʨiəʔ5			
生	生	sɛ̃24			
牲	牲	sɛ̃24			
甥	甥	sɛ̃24			
省	省	sɛ̃44	省長		
省	省	sɛ̃44	節省		
更	更	kɛ̃24	打更		
羹	羹	kɛ̃24	瓢羹		
梗	梗	kuɛ̃44			
更	更	kɛ̃52			
格	格	kæʔ5			
坑	坑	kʰɛ̃24			
客	客	kʰæʔ5			
硬	硬	ŋɛ̃231			
額	额	ŋæʔ23			
嚇	吓	xæʔ5			
行	行	ɛ̃434	行為		
杏	杏	ŋɛ̃223			
行	行	ɛ̃434	品行		
棚	棚	pɛ̃434			
麥	麦	mæʔ23			
脈	脉	mæʔ23			
摘	摘	tæʔ5	摘葉子		
摘	摘	tsæʔ5	摘要		
橙	橙	təŋ434			
爭	争	tsɛ̃24			
箏	筝	tsɛ̃24			
睜	睁	tsɛ̃24			
責	责	tsæʔ5			
策	策	ʦʰæʔ5			
冊	册	ʦʰæʔ5			
耕	耕	kɛ̃24			
革	革	kæʔ5			
隔	隔	kæʔ5			
核	核	ŋəʔ23	果核，核桃		
核	核	əʔ23	核對		
櫻	樱	iŋ24			
軛	轭	æʔ5			
兵	兵	piŋ24			
丙	丙	piŋ44			
柄	柄	pɛ̃52			
碧	碧	piəʔ5			
平	平	piŋ434			
坪	坪	piŋ434			
評	评	piŋ434			
病	病	biŋ231			
鳴	鸣	miŋ434			
明	明	mɑ̃434	明日、明年		
明	明	miŋ434	清明		
命	命	miŋ231			
京	京	ʨiŋ24			
驚	惊	kuɛ̃24	害怕		
驚	惊	ʨiŋ24	讀字音		
境	境	ʨiŋ52			
景	景	ʨiŋ44			
警	警	ʨiŋ44			
敬	敬	ʨiŋ52			
鏡	镜	ʨiŋ52			
慶	庆	ʨʰiŋ52			
劇	剧	ʥiəʔ23			
迎	迎	ȵiŋ434			
逆	逆	ȵiəʔ23			
英	英	iŋ24			
影	影	iŋ44			
映	映	iŋ52			
餅	饼	piŋ44			
併	并	piŋ52	合併		
聘	聘	pʰiŋ52			
僻	僻	pʰiəʔ5			
名	名	miŋ434			
領	领	liŋ223			
嶺	岭	liŋ223			
令	令	liŋ231			
精	精	ʨiŋ24			
晶	晶	ʨiŋ24			
睛	睛	ʨiŋ24			
井	井	ʨiŋ44			
積	积	ʨiəʔ5			
脊	脊	ʨiəʔ5			
清	清	ʨʰiŋ24			
請	请	ʨʰiŋ44			
情	情	ɕiŋ434			
晴	晴	ɕiŋ434			
靜	静	ʑiŋ223			
浄	浄	ʑiŋ231			
籍	籍	ʑiəʔ23			
性	性	ɕiŋ52			
姓	姓	ɕiŋ52			
惜	惜	ɕiəʔ5			
席	席	ʑiəʔ23			
夕	夕	ʑiəʔ23			
程	程	ʨiŋ434	姓		
鄭	郑	ʥiŋ231			
正	正	ʨiŋ52	正月		
征	征	ʨiŋ52	長征		
整	整	ʨiŋ44			
正	正	ʨiŋ52	正副		
政	政	ʨiŋ52			
隻	只	tsæʔ5	一隻		
赤	赤	ʨʰiəʔ5			
尺	尺	ʨʰiəʔ5			
聲	声	ɕiŋ24			
適	适	ɕiəʔ5			
釋	释	ɕiəʔ5			
成	成	ɕiŋ434			
城	城	ɕiŋ434			
誠	诚	ɕiŋ434			
石	石	ʑiəʔ23			
頸	颈	ʨiŋ44			
輕	轻	ʨʰiŋ24			
纓	缨	iŋ24			
益	益	iəʔ5			
贏	赢	ȵiŋ434			
贏	赢	iŋ434			
亦	亦	iəʔ23			
譯	译	iəʔ23			
易	易	iəʔ23	貿易		
液	液	iəʔ23			
壁	壁	piəʔ5			
姘	姘	pʰiŋ24			
拼	拼	pʰiŋ24			
劈	劈	pʰiəʔ5			
瓶	瓶	piŋ434			
屏	屏	piŋ434			
並	并	biŋ223	並非		
暝	暝	mɛ̃231			
螟	螟	miŋ434			
丁	丁	tiŋ24			
釘	钉	tiŋ24	名詞		
頂	顶	tiŋ44			
釘	钉	tiŋ52	動詞		
訂	订	tiŋ52			
的	的	tiəʔ5	目的		
滴	滴	tiəʔ5			
廳	厅	tʰiŋ24			
聽	听	tʰiŋ52			
踢	踢	tʰiəʔ5			
亭	亭	tiŋ434			
停	停	tiŋ434			
廷	廷	tiŋ434			
蜓	蜓	tiŋ434			
定	定	diŋ231			
笛	笛	diəʔ23			
敵	敌	diəʔ23			
狄	狄	diəʔ23			
寧	宁	ȵiŋ434	寧波		
寧	宁	ȵiŋ231	寧可		
靈	灵	liŋ434			
零	零	liŋ434			
鈴	铃	liŋ434			
另	另	liŋ231			
歷	历	liəʔ23			
曆	历	liəʔ23			
績	绩	ʨiəʔ5			
青	青	ʨʰiŋ24			
蜻	蜻	ʨʰiŋ24			
戚	戚	ʨʰiəʔ5			
星	星	ɕiŋ24			
腥	腥	ɕiŋ24			
醒	醒	ɕiŋ44			
錫	锡	ɕiəʔ5			
析	析	ɕiəʔ5			
經	经	ʨiŋ24			
擊	击	ʨiəʔ5			
激	激	ʨiəʔ5			
喫	吃	ʨʰiəʔ5			
形	形	iŋ434			
刑	刑	iŋ434			
礦	矿	kʰɔ̃52			
橫	横	uɛ̃434	橫直		
轟	轰	xəŋ24			
宏	宏	əŋ434			
獲	获	uɑʔ23			
劃	划	uɑʔ23	劃線		
兄	兄	ɕyəŋ24			
榮	荣	yəŋ434			
永	永	yəŋ223			
泳	泳	yəŋ231			
瓊	琼	ʨyəŋ434			
營	营	iŋ434			
疫	疫	yəʔ23			
役	役	yəʔ23			
螢	萤	iŋ434			
撲	扑	pʰəʔ5			
𦤣	𦤣	pʰəŋ24	用鼻子聞		
篷	篷	pəŋ434			
蓬	蓬	pəŋ434			
蒙	蒙	məŋ434			
懵	懵	məŋ223			
木	木	məʔ23			
東	东	təŋ24			
董	董	təŋ44			
懂	懂	təŋ44			
凍	冻	təŋ52			
棟	栋	təŋ52			
通	通	tʰəŋ24			
桶	桶	dəŋ223			
捅	捅	tʰəŋ44			
痛	痛	tʰəŋ52			
禿	秃	tʰəʔ5			
同	同	təŋ434			
銅	铜	təŋ434			
桐	桐	təŋ434			
筒	筒	təŋ434			
童	童	təŋ434			
動	动	dəŋ223			
洞	洞	dəŋ231			
獨	独	dəʔ23			
讀	读	dəʔ23			
籠	笼	ləŋ434			
聾	聋	ləŋ434			
攏	拢	ləŋ223			
弄	弄	ləŋ231			
鹿	鹿	ləʔ23			
祿	禄	ləʔ23			
棕	棕	tsəŋ24			
總	总	tsəŋ44			
粽	粽	tsəŋ52			
聰	聪	ʦʰəŋ24			
蔥	葱	ʦʰəŋ24			
囪	囱	ʦʰəŋ24			
族	族	zəʔ23			
送	送	səŋ52			
速	速	səʔ5			
公	公	kəŋ24			
蚣	蚣	kəŋ24			
工	工	kəŋ24			
功	功	kəŋ24			
攻	攻	kəŋ24			
貢	贡	kəŋ52			
谷	谷	kəʔ5			
穀	谷	kʰəŋ24			
空	空	kʰəŋ44	形容詞		
孔	孔	kʰəŋ52			
控	控	kʰəŋ52			
空	空	kʰəŋ52	名詞		
哭	哭	kʰəʔ5			
烘	烘	xəŋ24			
哄	哄	xəŋ44			
紅	红	əŋ434			
洪	洪	əŋ434			
翁	翁	əŋ24			
屋	屋	əʔ5			
冬	冬	təŋ24			
督	督	təʔ5			
統	统	tʰəŋ44			
毒	毒	dəʔ23			
農	农	nəŋ434			
膿	脓	nəŋ434			
宗	宗	tsəŋ24			
鬆	松	səŋ24	輕鬆		
宋	宋	səŋ52			
風	风	fəŋ24			
楓	枫	fəŋ24			
瘋	疯	fəŋ24			
福	福	fəʔ5			
幅	幅	fəʔ5			
腹	腹	fəʔ5			
豐	丰	fəŋ24			
覆	覆	pʰəʔ5			
馮	冯	fəŋ434			
鳳	凤	vəŋ231			
服	服	vəʔ23			
伏	伏	vəʔ23	伏倒		
複	复	fəʔ5			
夢	梦	məŋ231			
目	目	məʔ23			
穆	穆	məʔ23			
牧	牧	məʔ23			
隆	隆	ləŋ434			
六	六	ləʔ23			
陸	陆	ləʔ23			
肅	肃	səʔ5			
宿	宿	ɕyəʔ5	住宿		
宿	宿	ɕiɯ52	星宿		
中	中	təŋ24	中央：中間		
中	中	ʨyəŋ24	中國、黨中央		
忠	忠	ʨyəŋ24			
竹	竹	ʨyəʔ5			
筑	筑	ʨyəʔ5			
蟲	虫	ʨyəŋ434			
軸	轴	ʥyəʔ23			
崇	崇	ɕyəŋ434			
縮	缩	səʔ5			
終	终	ʨyəŋ24			
眾	众	ʨyəŋ52			
祝	祝	ʨyəʔ5			
粥	粥	ʨyəʔ5			
充	充	ʨʰyəŋ24			
銃	铳	ʨʰyəŋ52			
叔	叔	ɕyəʔ5			
熟	熟	ʑyəʔ23			
絨	绒	yəŋ434			
肉	肉	ȵyəʔ23			
弓	弓	kəŋ24			
躬	躬	kəŋ24			
宮	宫	kəŋ24			
菊	菊	ʨyəʔ5			
麯	曲	ʨʰyəʔ5	酒麯		
窮	穷	ʨʰyəŋ434			
蓄	蓄	ɕyəʔ5	儲蓄		
熊	熊	yəŋ434			
雄	雄	yəŋ434			
育	育	yəʔ23			
封	封	fəŋ24			
峰	峰	fəŋ24			
蜂	蜂	fəŋ24			
鋒	锋	fəŋ24			
捧	捧	pʰəŋ44			
縫	缝	fəŋ434	動詞		
縫	缝	vəŋ231	名詞		
濃	浓	ȵiɔ̃434			
龍	龙	liɔ̃434			
綠	绿	lyəʔ23			
足	足	ʨyəʔ5			
促	促	ʨʰyəʔ5			
從	从	ɕiɔ̃434			
粟	粟	ɕyəʔ5			
松	松	səŋ434			
頌	颂	səŋ52			
俗	俗	ʑyəʔ23			
續	续	ʑyəʔ23			
重	重	ʨiɔ̃434	重複		
重	重	ʥiɔ̃223	輕重		
鐘	钟	ʨiɔ̃24			
鍾	钟	ʨiɔ̃24			
種	种	ʨiɔ̃44	名詞		
腫	肿	ʨiɔ̃44			
種	种	ʨiɔ̃52	動詞		
燭	烛	ʨyəʔ5			
衝	冲	ʨʰyəŋ24			
觸	触	ʨʰyəʔ5			
贖	赎	ʑyəʔ23			
舂	舂	yəŋ24			
束	束	ɕyəʔ5			
蜀	蜀	ʥyəʔ23			
屬	属	ʑyəʔ23			
褥	褥	ȵyəʔ23			
鞏	巩	kəŋ44			
曲	曲	ʨʰyəʔ5	歌曲		
共	共	ɡəŋ231			
局	局	ʥyəʔ23			
玉	玉	ȵyəʔ23			
胸	胸	ɕiɔ̃24			
兇	凶	ɕiɔ̃24			
雍	雍	iɔ̃24			
擁	拥	iɔ̃24			
容	容	iɔ̃434			
蓉	蓉	iɔ̃434			
庸	庸	iɔ̃434			
勇	勇	iɔ̃223			
用	用	iɔ̃231			
浴	浴	yəʔ23			
