fei	5	费肺废□{调皮}沸																																															
pei	1	杯卑碑悲背																																															
pei	3	□{耍玩}																																															
pei	5	贝背臂{∽膀}辈焙																																															
pʰei	1	批披胚																																															
pʰei	2	培陪赔裴																																															
pʰei	5	佩配沛																																															
mei	1	没																																															
mei	2	梅霉煤媒霉																																															
mei	3	美每没																																															
mei	5	妹昧寐媚																																															
sei	1	赊奢畲																																															
sei	3	舍																																															
sei	5	社射舍麝																																															
tsei	1	遮																																															
tsei	3	者																																															
tsei	5	这																																															
tsʰei	1	车																																															
tsʰei	3	扯且																																															
tsʰei	5	□{∽巴}																																															
zei	3	惹																																															
tuei	1	堆																																															
tuei	3	兑{典当出去}																																															
tuei	5	对兑{∽换}队																																															
tʰuei	1	推																																															
tʰuei	2	颓																																															
tʰuei	3	腿																																															
tʰuei	5	退褪																																															
nuei	1	追{白}																																															
nuei	2	雷蕾擂																																															
nuei	3	垒儡磊																																															
nuei	5	内类泪累																																															
tsuei	1	追锥																																															
tsuei	2	贼																																															
tsuei	3	嘴																																															
tsuei	5	最罪醉赘																																															
tsʰuei	1	崔催摧吹炊																																															
tsʰuei	2	垂捶锤																																															
tsʰuei	5	脆翠粹																																															
suei	1	虽{文}																																															
suei	2	谁随隋																																															
suei	3	水髓																																															
suei	5	岁税睡瑞碎																																															
kuei	1	龟圭闺归																																															
kuei	3	鬼诡轨																																															
kuei	5	贵柜桂跪																																															
kʰuei	1	亏盔魁																																															
kʰuei	2	葵奎逵																																															
kʰuei	3	傀																																															
kʰuei	5	愧溃																																															
xuei	1	挥灰辉																																															
xuei	2	回																																															
xuei	3	悔毁																																															
xuei	5	会绘汇慧惠																																															
uei	1	威煨萎{蔫}																																															
uei	2	微危围唯																																															
uei	3	委萎{∽缩}尾伟																																															
uei	5	卫为位未伪																																															
pao	1	包胞																																															
pao	3	保堡饱宝																																															
pao	5	抱刨报雹																																															
pʰao	1	抛泡{茶~}□{肿大}脬																																															
pʰao	2	袍刨咆																																															
pʰao	3	跑																																															
pʰao	5	炮泡{水~}																																															
mao	1	猫																																															
mao	2	毛矛茅锚牦髦																																															
mao	3	卯□{弄僵了}																																															
mao	5	冒帽貌																																															
tsao	1	沼{∽气}招朝遭糟																																															
tsao	2	着																																															
tsao	3	早找澡爪{白}																																															
tsao	5	灶赵照兆躁{调皮}																																															
sao	1	烧骚稍臊筲																																															
sao	2	苕韶																																															
sao	3	少扫嫂																																															
sao	5	绍邵潲哨																																															
tsʰao	1	操抄钞超																																															
tsʰao	2	朝潮嘲巢曹槽螬{∽虫}																																															
tsʰao	3	炒草吵																																															
tsʰao	5	躁{老}燥{老}造{老}糙																																															
zao	2	饶																																															
zao	3	扰绕																																															
zao	5	绕																																															
tʰao	1	掏滔																																															
tʰao	2	桃逃萄淘陶																																															
tʰao	3	讨																																															
tʰao	5	套																																															
tao	1	刀叨																																															
tao	3	岛捣倒着{白}																																															
tao	5	导到道倒盗稻悼蹈																																															
nao	1	捞																																															
nao	2	劳牢捞																																															
nao	3	老恼脑佬																																															
nao	5	闹																																															
kao	1	高膏羔糕																																															
kao	2	搅{白}																																															
kao	3	搞稿镐																																															
kao	5	告窖																																															
kʰao	1	敲																																															
kʰao	3	考烤拷																																															
kʰao	5	靠铐																																															
xao	1	薅蒿																																															
xao	2	毫豪嚎																																															
xao	3	好																																															
xao	5	号浩耗																																															
ŋao	1	熝{即“熬”，∽油}																																															
ŋao	2	敖熬翱																																															
ŋao	3	咬袄																																															
ŋao	5	傲奥澳坳拗																																															
piao	1	标彪																																															
piao	3	表裱婊																																															
piao	5	□{滑∽}																																															
pʰiao	1	漂飘																																															
pʰiao	2	瓢嫖																																															
pʰiao	3	瞟漂{~白}																																															
pʰiao	5	票																																															
miao	1	喵																																															
miao	2	苗描瞄																																															
miao	3	秒渺藐																																															
miao	5	庙妙																																															
tiao	1	刁叼凋雕貂挑{白，∽嘴}																																															
tiao	3	屌{男阴}□{爱出风头}																																															
tiao	5	吊钓掉调																																															
tʰiao	1	挑{∽水}																																															
tʰiao	2	条调{∽整}																																															
tʰiao	3	斢{换}																																															
tʰiao	5	跳																																															
niao	1	撩																																															
niao	2	辽疗聊																																															
niao	3	了{丟∽}鸟																																															
niao	5	料尿廖撂																																															
tɕiao	1	交郊娇教																																															
tɕiao	2	狡{白，∽精}																																															
tɕiao	3	绞狡饺																																															
tɕiao	5	叫教嚼{∽头}觉																																															
tɕʰiao	1	悄翘敲{文}																																															
tɕʰiao	2	乔侨桥荞瞧□{板子变形}																																															
tɕʰiao	3	巧																																															
tɕʰiao	5	窍翘																																															
ɕiao	1	肖消销宵																																															
ɕiao	2	淆																																															
ɕiao	3	小晓																																															
ɕiao	5	孝酵效校笑啸																																															
iao	1	夭妖腰幺吆邀																																															
iao	2	摇谣遥																																															
iao	3	舀咬{文}																																															
iao	5	要耀跃																																															
məu	2	谋																																															
məu	3	某亩{老}牡{老}																																															
məu	5	茂{老}贸{老}																																															
təu	1	兜都篼头{石∽，里∽}																																															
təu	3	斗陡抖{文}																																															
təu	5	斗豆逗痘就{白，~是}																																															
tʰəu	1	偷																																															
tʰəu	2	头投																																															
tʰəu	3	抖																																															
tʰəu	5	透																																															
nəu	1	搂偷{白}																																															
nəu	2	楼娄																																															
nəu	3	搂篓喽□{∽起：使励}																																															
nəu	5	漏陋露																																															
tsəu	1	周舟州洲邹																																															
tsəu	3	走肘帚																																															
tsəu	5	咒宙奏揍昼																																															
tsʰəu	1	抽																																															
tsʰəu	2	愁仇筹酬绸																																															
tsʰəu	3	丑																																															
tsʰəu	5	臭凑																																															
səu	1	收搜馊飕																																															
