	注釋：=文讀，-白讀
tsʰ	[1]青=清=蜻{又}鯖氰圊蟶{又}檉{又}千-稱{～呼}[2]榕松{～柏}蟲{沙～}[3]請□{眼～：近視}筅{雞毛～：雞毛撣子}[5]稱{對～}銃{槍}沖{～上天}擤{～鼻：擤鼻涕}襯□{～飯：燜飯}[6]□{穿}□{～著：碰到、遇到}
s	[1]生笙鉎牲甥升星腥猩聲惺先-{代～：首先}嵩{～嶼：地名}[2]乘{～法}成誠城鋮丞盛{裝}[3]醒箵省眚[5]性姓勝{又}聖[6]盛{興～}□{木制禮箱}墭{儲藏穀物的器具，穀～}恿{溺愛}乘{又，～機}嵊{～縣}晟
k	[1]經莖京驚鯨荊更{～改}粳羹庚賡鹒宮{冷～}兢間-{～隔}耕{又}弓{～鞋}[2]窮煢擎黥[3]景璟憬竟境警儆骾哽鯁綆耿褧炯泂迥剄[5]涇敬勁{強～}徑逕痙頸更莖{又}脛鏡=亙更粳{又}供-{～框：供佛}[6]梗競
kʰ	[1]框筐眶氫卿坑鏗{又}[2]瓊穹□{收拾、清理}[3]傾頃肯啃檾{～麻}[5]慶磬罄[6]虹-{彩虹}椋
ɡ	[2]迎凝{又}[6]硬迎{親～：新郎迎娶新娘}
h	[1]興{又}胸亨哼{～哈}兄=馨[2]形刑型硎邢鉶行{～動}桁珩衡蘅恒橫滎{～陽：地名}還{歸還}雄{有～：蛋有胚胎}[5]興{又}臖悻[6]杏幸倖荇行{品～}
∅	[1]英瑛姨英鷹膺嬰纓櫻鸚瓔攖罌嚶鶯轟{揚塵}癰{一種惡瘡，蜂岫～：蜂窩組織炎}應{～該}[2]榮嶸營螢瑩塋熒縈瀠瀅盈楹贏贏瀛閑蠅媵[3]永泳影穎穎往{～年}湧{海～}郢[5]應{答～}蕹壅{～肥}[6]泳{又}詠
#aŋ	
p	[1]邦幫崩-方{四～大面}枋{木板或板狀物，床～}浜[2]房馮縫[3]綁膀梆榜[5]放-[6]蚌棒玤
pʰ	[1]芳-{香}蜂-[2]篷捧帆滂逢[3]紡□{講條件}□{“拍毋”合音，～見，丟失}[5]胖{又}[6]縫{空隙}
b	[1]□{“毋通”合音，不可}[2]芒忙茫氓{又}虻盲硭鋩邙{北～}□{雞的胰髒}[3]蠓{蚊}蟒{～袍}罔{～上}[6]網夢望{眏～：希望}
t	[1]東冬中{田～央：地名}當鐺噹菄{芒～：一種蘆荻類植物，其花梗可做掃把}□{骹～著：腳猛力下踏受傷}棠{膠～：木名}[2]同銅筒桐{松～}洞{～仔岩}茼{～蒿}□{大腿骨}童{～乩}[3]黨{～參}董{～事}擋{～門：水閘}[5]當{上～}凍儅{伴～}腖棟[6]動洞{～口廟}重-□{一種類似甕的瓦罐}
tʰ	[1]窗通{可以；光～：亮堂}[2]蟲桐{～油}[3]桶統{長～襪}躺倘□{～貢：杜撰}[5]□{穿透、直通}痛{tʰiã5～：疼愛}[6]□{浮～：海中浮桶}鏜{～床}□{～將：笨人；抽～：行為被動}□{挺出，～肚，～～}
l	[1]鋃□{吧～：魚名}籠{火～}[2]儂{人}膿-聾-礱籠-{～床}瀧{坑～仔：山泉}莨{～菪}[3]籠{竹～}攏{向上提，～褲}朗□{aŋ3～：不明事理}[5]□{使間隔，～一空}[6]弄{舞，耍弄，～獅}□{抖}㝗{開闊，～縫；闊寬～：寬鬆}籠{箸～：裝筷子的圓簡}
ts	[1]棕鬃{頭～}鯮{赤～，二長棘鯛，海魚，鯛科}□{雙手夾住往上提}髒{肮～}[2]叢-{棵、株}衝{沖，～浴}[3]總{菜～：蘿蔔上面的莖葉部分；一～：一綹}[5]粽綜{弦～、～框：織布機部件}壯{健壯，四～}□{～～：狼藉}
tsʰ	[1]蔥-蒼匆{～促}聰[3]□{茹～～：亂七八糟}[5]□{塞進當中去，～被空}聳{～毛管：毛孔豎起}敞{～嘈：說話大聲}
s	[1]鬆{放～}[3]𢱤{使勁推送}[5]送
k	[1]工江功豇矼缸扛紅{女～}共{相～：幫忙}公{雄性動物}蚣岡崗剛綱肛罡[3]講=港抗牨{牛～：雄性的閹牛}[5]降{～溫}絳□{石～：棘胸蛙}[6]共{一樣，～號}□{“共儂”的合音}
kʰ	[1]空腔{鼻～：鼻子}崆工{～課：工作，事情}康{好～：有錢}眶{目～赤}[3]伉{倥～行：搖擺而行}[5]空{～地}□{用指甲摳}[6]倥{～伉行：搖擺而行}
ɡ	[2]卬昂枊[6]戇{發呆，～～}
h	[1]烘魟夯葑{茶～：地名}沆{過～：過險灘}[2]行{銀～}杭航絎桁{～架}降{投～}[5]□{發炎；腫大}[6]項巷
∅	[1]翁{～仔姐：夫妻}尪{神；神像}肮[2]洪-紅-[3]□{～laŋ3：不明事理}[5]甕齆{～鼻}
#iaŋ	
p	[1]□{卟～槌仔：彈棉被用的吊槌}[5]迸{硬～～}[6]□{用力拍打出聲，～落去}
pʰ	[6]砰{象聲詞}
t	[1]□{金、玉撞擊聲}張={緊～}[2]長={特～}萇場=[3]長{～輩}[5]帳脹漲悵[6]丈仗杖
tʰ	[5]暢{～銷}帳{又}
l	[1]□{鈴聲}[2]涼晾良糧娘莨{薯～}粱梁墚量{測～}[3]兩倆輛魎裲[6]量{數～}諒晾{又}亮喨踉
ts	[1]章漳樟璋獐蟑嫜鄣{古國名}蟑將漿鏘{又}[3]獎漿蔣掌漲{水～起來}長{進～}[5]仉{姓}將{大～}障幛嶂瘴醬[6]癢={痛～}
tsʰ	[1]昌=鯧猖娼菖閶槍蹌悵鏘{又}戕[2]腸場{又}償牆薔檣嬙戧[3]廠=敞氅搶戧{又}惝昶蹌{招數}[5]唱倡[6]象像橡相{象棋子名}匠□{～～滾：沸騰狀}
s	[1]商熵墒雙傷殤觴湯{～～}相{互～}湘緗廂箱葙襄鑲瓖驤[2]詳祥庠常嫦裳嘗[3]想上{～聲}賞鯗[5]相={～命；宰～}□{直立的人或物猛然倒下，～倒}[6]上尚
dz	[3]嚷壤禳攘瓤釀[6]讓
k	[1]姜{姓}羌蜣疆僵韁礓{大碗～}荊{蒲～}鏹{～水}[2]強{～大}[3]強{勉～}繈鏹{古錢串}[6]強
kʰ	[1]羌{又}腔鏗{～～：金屬聲}[5]勥{能幹}
ɡ	[1]□{鈴，～仔；搖鈴，～～仔：響鈴之聲}[3]仰[5]□{牙外突，～牙}
h	[1]香鄉薌[3]響享饗[5]向啈珦餉晌
∅	[1]央秧泱殃鞅鴦[2]羊=洋=佯徉陽=旸揚{單字音}楊=瘍煬飏{飛揚}[3]養癢{又}氧盎{平瓦}[5]映快盎鞅{牛軛}[6]恙樣漾養{皆能有～}
#ɔŋ	
p	[2]旁滂傍傍蒡膀{～胱}螃房蓬馮[3]榜{～山}膀{臂～}嗙{象聲詞}[5]謗嗙{又}[6]磅鎊傍{又}泵嗙{又}□{～米芳：爆米花}
pʰ	[1]乓嘭{象聲詞}[2]蓬{～松}篷[3]捧□{展品～：炫耀}[5]□{～風：肚子脹氣}碰[6]嘭□{～～轟：塵土飛揚}
b	[1]摸□{“勿用”合音}[2]亡芒硭盲忘釯虻{又}茫蒙濛朦蠓矇礞檬獴鸏[3]罔{姑且，～講}惘蝄魍莽蟒漭網=懵[5]□{“勿用”合音}[6]妄望夢墓□{“勿用”合音}
t	[1]東冬當鐺{又}珰{又}襠{又}簹{筼～港}咚氡[2]同桐銅筒痌唐塘溏螗搪堂膛螳棠童瞳潼幢幢佟{姓}[3]黨董懂讜[5]棟凍倲{～戇}腖{又}當擋檔幢{一～厝}襠{又}蕩[6]動=慟洞=恫胴峒酮侗碭蕩{又}宕撞{碰撞}
tʰ	[1]通□{象聲詞}樋{水泥～}湯=[2]糖=[3]統倘徜倘儻桶捅{伸出，～頭}[5]痛燙[6]幢{一～冊：一攞書}
l	[1]啷{騎馬～}□{鈴～鼓仔}□{深入放置，～入去}[2]農濃膿噥儂秾䙶郎廊瑯螂榔狼琅鋃莨稂籠{～頭}蘢瓏櫳嚨朧朧聾礱囊[3]籠壟攏{～總}隴瓏{又}蘢{又}朗烺曩[5]閬{～閌：寬大}挵{捅，～一空}哢{象聲詞}[6]浪弄{使～：唆使}挵{又}哢{又}
ts	[1]宗綜{～合}蹤棕鬃淙琮莊贓樁裝妝臧{姓}[2]□{～桸：漁具，撈田螺用}崇□{奔走}叢{～書}藏{隱～}[3]總[5]葬壯粽[6]狀奘藏{西～}臓{內～}撞{莽～：魯莽}
tsʰ	[1]聰窗囪匆蔥倉傖艙滄瘡創{～傷}蒼[2]床[5]創{～造}
s	[1]喪{～事}孀鬆=忪霜雙=桑=[3]爽塽慫{弄～：唆使}嗓搡顙磉竦悚[5]宋送喪{～失}[6]□{慢行，罔～：閒逛}
k	[1]公蚣舩工功攻紅{女～}缸肛扛光=觥胱{膀～}岡綱剛鋼罡[2]狂{趕～：慌忙}逛誑[3]廣=講栱{米～}[5]貢□{打、拍}□{大～：大炮}贛杠{～杆}炕{久煮，～菜頭}絳{紅～～}[6]□{象聲詞，～～叫}
kʰ	[1]康空倥{～kʰam3：神經質}崆箜糠匡筐眶框哐[3]孔慷倥{～傯}[5]亢抗伉{～儷}炕{又，～菜頭}空{一百～三}崆控礦壙曠鄺{姓}獷[6]誆{做～}砊{～骹翹、～～顫}
ɡ	[2]筇昂{又，～首}[3]□{狗吠聲}[6]□{頭暈}戇{癡、傻}
h	[1]風楓瘋碸豐峰鋒烽蜂酆訇封崶葑肓方芳枋魴荒慌謊轟{～炸}烘[2]皇蝗煌隍惶凰篁徨遑防妨弘鴻宏虹紅=洪逢縫{裁～}黃=潢簧癀{發炎，發～}磺[3]仿訪紡彷舫肪坊晃幌恍汞諷況訌哄{～騙}唪{～經}[5]放□{發語詞}吽{佛教咒語}赗{～儀}[6]奉俸鳳哄{起～}
∅	[1]翁嗡汪[2]王[3]蓊{～郁}往枉汪{姓}□{歸～：多人組成一夥}[5]甕齆[6]旺王{動詞}□{耳鳴聲}
#iɔŋ	
t	[1]中=忠[2]重{重複}[5]中={～獎}[6]重={～要}仲
tʰ	[1]衷{～心}[2]蟲=[3]寵塚[5]暢{痛快}
l	[2]龍隆窿癃{～閑：小便不通}狼{～狽：失敗；尷尬}[3]隴{又}壟[5]□{躍起向前，～一步}[6]冗{～頌：寬裕}
ts	[1]終螽舂盅{又}鍾{姓}[2]從蓯[3]種{小～仔茶}腫踵[5]眾種{耕～}[6]狀{～元}從{～兄，～者}
tsʰ	[1]充茺沖忡翀種{姓}縱{合～}憧{又}艟{又}[2]從{～客}蓯{又}[5]縱{～容：放縱}慫銃聳{～人聽聞}
s	[1]忪{又}嵩{～重}[2]松淞菘[6]頌誦訟相{照～}像
dz	[2]絨戎狨茙茸□{深層，入～}蓉{蒜～}[3]冗{～員}
k	[1]羹{調～}肱恭宮弓躬芎供穹共{～叔段}[2]窮蛩{赤～仔}煢{又}瓊{又，秦～：人名}[3]拱龔栱{鬥～}[6]共
kʰ	[1]穹{又}芎{又}蜣{又}[3]鞏恐
ɡ	[2]颙
h	[1]凶兇匈胸洶匈詾兄[2]雄熊
∅	[1]雍臃壅噰饔癰邕㴩[2]容溶熔榕蓉庸慵墉鏞鱅鄘傭[3]勇恿甬踴湧蛹俑[5]擁甕壅[6]用
#ĩ	
p	[1]邊-鞭-[3]扁-[5]變-[6]編-
pʰ	[1]篇-偏-{佔便宜}[5]片-[6]鼻-{鼻子，聞}砒
m	[1]咪{貓～}眯物{甚～仔：什麼}彌{沙～}[2]棉-綿-彌□{深睡}明{～仔日}[5]乜{姓}[6]麵媚□{個頭，大～蠔：大型的牡蠣}莉{茉～花}
t	[1]甜[2]纏-[6]滇{替，滿，水～}
tʰ	[1]天-添-[6]䋎{縫，～衫}
n	[1]妮拈{又}□{多～：桃金娘}[2]年-尼泥呢{～絨}旎怩連{～川：中藥}簾{～簷：屋簷}[3]染{～布}爾汝你乳{豆～}[6]泥{～古}蒞{又}
ts	[1]晶櫼{柴～；～入去}氈[2]錢-簷-{簾～：屋簷}[3]茈{幼小的，嫩，～薑}[5]箭煎{油炸}搢{塞，～飽；擠，～頭前}[6]□{尖～：臉部瘦削}
tsʰ	[1]鮮{新鮮}[3]淺{～色：顏色鮮亮}[6]□{墨～仔：墨鬥之筆}
s	[2]鹽{鹽漬物，橄欖～}[3]扇[6]鹽{以鹽醃潰}豉{豆～}
dz	[3]爾{又}耳{又}汝{又}愈癒乳{又}禰
k	[1]梔堿[2]墘{邊沿，溪～}[5]見建{翁～：地名}
kʰ	[2]鉗□{手抓高處，～高}
ŋ	[2]□{～～蟯蟯：心裏不踏實}
h	[1]哼{象聲詞}[2]弦{殼仔～：大胡琴}[5]□{拋物；懸空晃蕩}[6]硯-□{象聲，～～喘}
∅	[1]□{睡覺}[2]縈{～纏}櫞{香～}圓丸姨{尪～：巫婆}[3]□{幼芽}燕-[5]咿{象聲詞，～咬：發語不清}[6]院-易{又}譽{又}異{又}肄{又}豫{又}預{又}□{～uãi1：門開關聲}
#ã	
pʰ	[5]冇{質地松，不結實，～粟}怕
m	[1]媽哞{戇～～：不明白}[2]麻嘛{喇～}嗎{～啡}蟆[3]媽{祖母}馬碼瑪螞[5]嘛{語氣詞}[6]□{也，～好}罵嗎{～～哭：哭的聲音}
t	[1]擔{動詞}當{現在，到～}[2]譚{重～：說話、聽話出錯或走樣}擋{～開}[3]膽疸打[5]擔{名詞}呾{說，告訴，無講無～：不吭一聲}罩{蚊～：蚊帳}[6]擋{～影}淡-{鹹～}
tʰ	[1]他它[3]坦{平～}□{扶、抬}[6]□{妝～：化妝}
n	[2]林-藍-{姓}籃-岩{龍～}嚨{～喉：喉嚨}南{～無：佛語}攔{～截}[3]娜哪{無～貨仔：沒有什麼東西}挪那拿欖[6]若{～是}□{在火上烘一下}
ts	[3]斬{砍}嶄{齊～}[5]蘸{涮，～豬肝}[6]□{舀取，～米}
tsʰ	[6]鏘{鑼聲}
s	[1]三叁衫[3]甚{啥，～事}
k	[1]監[2]銜{攜帶，培養，照看，～徒弟、～細囝}[3]敢[5]酵[6]噉{象聲詞，～～叫：酣睡聲}□{臭～～：極臭}
kʰ	[1]坩{陶缽}
h	[1]□{應諾詞}[3]嚇{嚇唬，～人}[6]焓{燒～～：熱烘烘}□{從下過}
∅	[2]涵{包容，攏～去：袒護}[3]□{袒護，～歸爿：偏護一邊}[5]□{彎下，～落去}[6]餡-
#iã	
p	[1]抨{摔}兵{～部尚書}[3]丙餅-[5]拼摒{倒，～糞掃；打掃，～裏面}
pʰ	[1]𩩍{胛脊～}廳{詩～：地名}[2]坪平{三～寺}□{量詞，一～水}□{真～：小孩不聽話}[3]□{扁形塊狀物，草～；量詞，一～}
m	[2]名明{柴～：松明}[6]命
t	[1]顛□{水菱～：草名}[2]呈埕庭[3]鼎{鐵鍋}[5]碇{拋～}[6]定錠
tʰ	[1]聽廳[2]程[5]□{痛}[6]定{～膽：壯膽；～稠：暫時支撐}訂{～貨}
n	[2]爾{安乃～：這樣而已}[3]嶺領[6]爾{又，若～、～～楞：突起的條狀物}
ts	[1]正{～月}精[2]成情{親～：親戚}晴{～天}正{～實：確實}[3]䭕{淡，～色、鹹～}□{額～：前額}[5]正{真，～品}[6]淨{大～：淨角兒}
tsʰ	[1]清{福～：地名}□{小刺}□{新而平整}[2]成{繼續完成，～尾、～人}[3]請且勺{糞～：小畚箕}[5]倩{雇傭，～工}
s	[1]聲[2]成{三～}城□{誘惑}[5]聖{靈驗}墭{粟～：貯穀櫃}□{禮～：放禮物的木盒；～籃：竹制禮盒}
k	[1]京驚椋{金～仔：木名}[2]行{走}墘{戴～：地名}□{竹～：篩鬥邊條}[3]囝{～孫：子孫}[5]鏡-[6]件-健{勇～}
kʰ	[5]慶{～賀}
ŋ	[2]迎{～尪：抬菩薩遊街}[5]訝{看見了，兒語}
h	[1]兄□{氣味濃烈}[2]惶{驚～}燃{～火}[3]顯{～目}[5]惶{又，搭～}□{傾，～倒}[6]艾-
∅	[1]纓{紅～}□{大～：農具}[2]營贏英{大～：草藥名}[3]影[6]揚{～～飛}□{～一下：在火上略烤}
#uã	
p	[1]般-搬-[2]盤{盤子，骹～：腳朝上的一面；翻，～山過嶺}磐□{滿溢}槃{姓}[3]阪苑{上～：地名}[5]半絆[6]拌{撣}
pʰ	[1]潘{姓}璠藩[5]判販{批發，～貨}[6]伴
m	[1]□{披，～外衫；斗篷一類衣物，雨～}[2]麻蔴瞞鰻[3]滿[6]漫{滿，水～過}
t	[1]單端{卵～：未發育完全的蛋}[2]彈{子～；～琴}壇檀汏{～內：地名}[5]旦{小旦}[6]段懶{貧～：怠情}彈{利用彈力發射，～鳥仔：用彈弓打鳥，倒～：往回彈；黃～：黃皮}
tʰ	[1]攤灘[3]鏟{剷除，～草}[5]炭碳□{滋生、蔓延}
n	[2]攔[3]攤{～麵粉}[5]□{癱倒地上}[6]爛瀾{唾液}□{唾液}懶{～性：性情遲緩，慢性子}濫{～賤：多而濫，便宜}僆{雞～：未生蛋的雌雞}
ts	[1]煎{～藥}[2]泉[3]盞怎{安～：怎麼樣}[5]煎{熬油，～肉油}[6]賤{濫～：便宜}濺{噴射}
tsʰ	[1]䉔{起～刺：橫生枝節；挑起矛盾}[5]閂{門～}闖{～路}燦{顯赫，真～}
s	[1]山[3]散{零星，找～錢}嵼{大～：地名}[5]散{動詞，～開}汕傘線-腺
k	[1]乾{豆～}杆{旗～}竿官-{大～：公公}菅-肝-關-冠{鳳～}棺-[2]寒-[3]趕稈桿幹{樹～}寡[5]官{長輩對男性下輩之尊稱，名後加“官”}[6]汗□{垂手提物}綰{肚～：兜肚兒}
kʰ	[1]寬{寬緩，無～無緊}[5]看快{～活}寬{寬暢，～氣}
h	[1]歡-[2]橫-鼾莖{芋～}桁{～架}[3]晃{烏～烏：黃昏；紅～紅～}[6]岸焊□{扶穩，～樓梯}□{駕駛}
∅	[1]安鞍垵{後～：地名}[3]碗腕畹{九～：地名}案-{舉～齊眉}[5]晏{早～}案{～桌}[6]換旱
#ɔ̃	
m	[1]摸□{芒萁骨}魔{起～}[2]毛=摩髦磨蘑犛無{南～：佛語}魔饃{～乎：麵粉製品}[6]冒帽{又}瑁耄{老老～：老棚塗}
n	[2]奴弩孥駑挪{又}娜{又}懦糯儺{～戲}[3]努胬[6]怒兩{數字}耨
ŋ	[3]我=五=伍=午忤偶[6]午{又，～睡}仵
h	[1]乎{饃～：麵粉製品}[3]火夥好{毋～：不好}夥[5]好{愛～}耗貨[6]乎{語氣詞，安乃～：這樣是嗎?}
∅	[5]□{爭議}唔{象聲詞；應答詞}[6]唔{又}
#iɔ̃	
t	[1]張-煬{在鍋中烤灸去水份，～肉脯}[2]場-[3]長-[5]脹-帳-漲-[6]丈-
n	[2]娘-糧-梁-涼-{～傘}量-{動詞，～米}[3]兩-{斤～}[6]讓-量-{量具，～仔；用大秤稱，～重}
ts	[1]章-樟-漳-{～浦：地名}漿-養-{頭～：頭胎}[2]□{～蜍：蟾蜍}[3]掌-槳-蔣-[5]醬[6]癢-上-{～去}
tsʰ	[1]鯧-槍-[2]牆-薔-揚-{～粟}[3]廠-搶-惝{卟卟～}[5]唱-[6]象-像橡-匠-上-{～水：汲水；～青苔：長青苔，～鞋：縫鞋}耀{又，照}緔{縫鞋}
s	[1]相-{～思}廂-箱-鑲-傷-{太，表示程度過分，～鹹}[2]瘍{粘濕之物}[3]賞[5]相-{生～：生肖；～准：看准}[6]想-尚-{和～}
k	[1]腔{又，上～：上齶}薑-韁獐{山～}荊{蒲～}
kʰ	[1]腔{又，～口：腔調}[6]儉{認為不適宜而避免，～食}
h	[1]香-{～火}鄉-{～社：鄉下}□{臭～：地瓜黴變的味道}[6]□{麥～：麥芒}
∅	[1]鴦-螉[2]羊-洋-楊-陽-溶熔[3]舀養□{～仔：平瓦}[6]樣-
#ɛ̃	
p	[1]□{攀、扳}繃{緊繃}[2]棚-平-坪-{上～：地名}[5]柄-[6]病-
pʰ	[1]抨{分～}[2]抨{又，～本錢，相抵}彭-澎-
m	[1]□{抓取，～沙}□{緊縮}咩[2]盲{青～}暝{夜晚}明{～年}芒□{鋒利，刀真～}[3]猛{緊～}敏{～捷}[6]罵咩{又，～～哭}
t	[1]□{骹後～：腳跟}[2]□{桶～：箍桶木具}□{重～：障礙}[3]□{變猴～：變把戲}[5]□{假裝，～笑}[6]鄭□{握，～拳頭；捏}
tʰ	[1]撐[2]程{姓}□{向上舉}□{直對光源，～光}[5]撐{又}
n	[1]奶乃{安～}□{塍～：蜻蜓}[2]晾拎{昂起，蛇～頭}□{舔}[3]奶{又，咉～：母親背稱}[5]躡{貼}[6]呢{語氣詞，安乃～}
ts	[1]爭-[2]晴-{雨～}[3]井-阱[5]諍{爭辯}[6]靜-{停止哭叫}
tsʰ	[1]生{～食}鮮{又，～甜，訓讀“生”}青菁{～仔：蓼藍}星腥{臭～}親{～姆}[2]□{～仔：鐃鈸}[3]醒□{襯～：很美}[6]錚{鑼鼓聲}
s	[1]生-牲{頭～}鉎{生鐵}[3]省-□{驚歎詞，極言多、大、深}[5]姓-性-
k	[1]更-{三～}庚經-{～網}驚{～蟄}賡鹒[3]哽{卡住}耞{連～：打穀具}[5]徑{～口：地名}□{～楹：層架之組成}
kʰ	[1]坑-[6]咳{又，象聲詞，～～嗽}
ŋ	[3]雅[6]硬-
h	[5]□{應答詞}[6]哼{象聲詞，～～喘}
∅	[1]嬰{～仔}暝{又，～昏}嚶{表示疑問、驚異的發語詞}[2]楹[3]啞{又，呃吐}[5]嗯{應答詞；發語詞}[6]廈{又，～門}啞{又，～～叫，支吾}
#iũ	
m	[6]謬
t	[3]□{極少}
tʰ	[3]醜
n	[1]□{極少}妞{小孩，囡仔～；極小}[3]鈕{姓}扭紐
ŋ	[2]牛=
#uĩ	
p	[1]方-枋-{～洋：地名}楓-魴[6]飯-
pʰ	[1]□{制棺材的小斧}[3]□{砍、劈，～落去}
m	[1]微{極小，雨～仔}[2]門-[3]晚-吻{勾～：斷腸草}[6]問-
t	[2]段{量詞；節、段}[3]轉{又，轉動、返回}斷{～臍}[5]頓{飯～；～大坐：跌坐在地；放置，～碗}[6]斷傳{流～：地名}
tʰ	[2]團-{結～}傳{～種}[5]褪{蛻，～殼；脫}傳{又，轉讓商品}[6]煆{回鍋}□{大～：粗大}□{門～：屋內撐門棍}
n	[1]掄{伸入}[2]圇{交～：囫圇}□{柚}[3]軟-扭{又，～秧歌}[5]鑽{鑽入，～地洞}[6]卵-{蛋}
ts	[1]磚-[2]全-{齊～}[3]□{軟～：很軟}[5]鑽-[6]旋-{頭髮成旋漏狀}吮{晚吸、}
tsʰ	[1]穿村{鄉～}春{新～：地名}[3]□{用嘴把可吃部分剔下}
s	[1]酸痠孫{姓}栓拴{～縆：塞緊}[3]損水={～牛、～銀}[5]算拴{用繩套緊}
k	[1]光[3]廣管捲{動詞}[5]卷{名詞}券□{換～：換香火}貫{穿、串}
kʰ	[5]勸曠{闊～：空曠}
h	[1]昏-{暝～}荒-□{烏～：一種蛇}□{枵～：餓極}[2]園-[6]遠-
∅	[1]□{捂蓋}[2]黃-磺-鷬{鴣～}[3]阮{姓}䘼{袖子}箢{～仔：掛在秤頭上的小籃}吻{又，勾～：斷腸草}□{以手挽物，～草}[5]慰畏尉蔚
#ãi	
pʰ	[3]否{壞、歹惡}[6]負{背負}
m	[1]妹{阿～}[2]糜{稀飯}[3]買=擺{又，量詞；次、回}[5]□{“勿愛”合音}[6]妹{小～}邁昧□{勉力}賣=
t	[1]鐺{敲小鑼聲}[3]□{極小，～～仔}□{自上向下猛擊}
tʰ	[1]鐺{又}
n	[1]奶{～～：太太；老闆娘}[3]乃奶{少～}[6]耐奈柰{～李}氖賴籟癩瀨鼐
ts	[3]怎{～樣}指{又，尾～仔}
k	[1]□{狗叫聲}[2]□{咬～：勉強作為}□{“交圇”合音，～個，整個}[3]□{niãu3～：面容狹小而醜}
kʰ	[1]□{倥～：死掉}□{老～仔：舊指老鴨或不正經的老婦人}[3]□{由高而下打，～破}
ŋ	[3]□{動物咬}
h	[1]哼{呻吟聲，～～呻}[3]□{重擊}[6]哼{又}
∅	[6]□{背負}
#uãi	
s	[6]檨{～仔：芒果}□{象聲詞，～～叫}
k	[6]□{拗，～來～去}
kʰ	[6]□{打大鑼聲}
∅	[1]□{ĩ6～：木門開關聲、不直；行ĩ6～仔：不直}冤{～鬱：誣陷}
#ãu	
m	[1]□{打}□{大，大～}[2]矛茅錨毛蝥{斑～}[6]貌
n	[1]撓鐃[3]腦惱堖□{咀嚼}[6]鬧
ŋ	[2]爻{陽～}肴淆餚□{峒～：一種青娃}熬[3]□{狗吠聲}[6]樂{愛好，～山～水}藕
h	[2]□{小煮一下}
∅	[3]□{咿～}
#iãu	
n	[1]貓[3]鳥嫋[5]□{～kãi3：面容狹小而醜；～鼻}
ŋ	[1]撓{～知：胳肢}嬲{後～}[3]撓{摳挖}
∅	[1]□{貓叫聲}[6]□{貓叫聲}
#iʔ	
p	[7]鱉□{～手䘼：挽袖子}[8]□{摔倒的聲音}□{～pɔk8：火聲}
pʰ	[7]□{肏}[8]□{～pʰɔk8：火聲}
b	[7]□{躲藏}□{～水：小兒欲哭的表情}[8]篾{～蓆}
t	[7]滴
tʰ	[7]鐵□{𣍐～：來不及}[8]□{拖延}□{象聲詞，～tʰuʔ8：拉風箱聲}
l	[8]裂
ts	[7]摺接癤{軟～}[8]舌折{斷}
tsʰ	[7]□{垂下，頭～～}[8]蠘{～仔：梭子蟹}蠞{梭子蟹}
s	[7]蟋瑟{～～顫}□{～～sut7sut7：私下說話}[8]蝕{消～}
dz	[8]□{按壓}
kʰ	[7]缺{～角}
h	[7]□{那個，指代不能說或不便說之事物，～的}
∅	[8]蝕{又，～落去}□{量詞，遝，一～紙}
#uʔ	
p	[7]□{表皮凸起，～粒仔：長瘡癤}
pʰ	[7]□{噴粉狀藥，～嚨喉}[8]翻□{～～飛}
t	[7]厾{觸一下就離開點，～一點：點上一點}拄{老～～：很老}[8]揬{用尖端刺}詘{滯～～：支吾}
tʰ	[7]拓{鏟，刮，～雞屎}托{頂；反駁，起～：爭論}[8]□{傻，～～}躇{磨蹭}
l	[7]□{用力擦，～桌頂；抽，～番薯簽}□{跛行}
ts	[7]□{擠出，～膏}
tsʰ	[7]覷{～睛}呲{嗤～～：多人小聲說話}焠{燒灸；壓熄，用香～一空；薰～完}淬{～水：淬火}
k	[8]□{喝水聲}
kʰ	[8]□{象聲詞，～～嗽；～～tsun1：發抖}
h	[8]□{象聲詞，～～吼}
#aʔ	
pʰ	[7]拍{打}
b	[7]□{肉}
t	[7]答{～應}搭{支，架，～橋；乘坐，～火車；～鉤仔：長柄鐵鉤；舀}貼□{哪，去～}[8]踏
tʰ	[7]塔□{～開：撥拉}[8]遝{量詞，—～紙}疊{動詞，～懸：疊高}
l	[7]落{又，～胸～胛：穿著不整潔}[8]蠟獵臘曆{～日：日曆}□{割裂，～開}
ts	[7]紮{提攏，結緊；支持，～褲；～氣：撐腰，支撐，幫助}劄□{夾帶，～雨傘}[8]閘截{攔截}鍘
tsʰ	[7]插□{從腋下扶起}
s	[8]煠{在清水裏煮，～肉}
k	[7]甲鉀□{擔～：肩挑重物用的竹器}裌{～仔：背心}夾{搭配}合{～意}校{～場；～准}蓋{～被}
kʰ	[7]較{～好}□{～仔：裝魚、鳥的竹具}[8]□{兩物靠住或粘住}
h	[7]□{～尾：詈詞，壞，不像樣}[8]□{葉鞘和竹籜的總稱，竹～、蔗～}□{系；束，～皮帶}
∅	[7]鴨押抑{管教，～乖}[8]合{～身}盒匣壓{壓使之平，～平}
#iaʔ	
p	[7]壁
pʰ	[7]僻癖避[8]□{～仔：一種磚}□{出～：麻疹}
t	[7]摘[8]糴滌{滑～：滑溜}
tʰ	[7]拆
