"繁体"	"简体"	"IPA"	"注释"	"来源"	""	"#符號說明："	"音標後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"翻"	"翻"	"fæ̃1"	""	"墳派"	""	""	""
"𠯘"	"𠯘"	"fæ̃1"	""	"墳派"	""	""	""
"拚"	"拚"	"fæ̃1"	""	"墳派"	""	""	""
"反"	"反"	"fæ̃3"	""	"墳派"	""	""	""
"阪"	"阪"	"fæ̃3"	""	"墳派"	""	""	""
"返"	"返"	"fæ̃3"	""	"墳派"	""	""	""
"販"	"贩"	"fæ̃5"	""	"墳派"	""	""	""
"泛"	"泛"	"fæ̃5"	""	"墳派"	""	""	""
"汎"	"汎"	"fæ̃5"	""	"墳派"	""	""	""
"氾"	"氾"	"fæ̃5"	""	"墳派"	""	""	""
"渢"	"沨"	"fæ̃5"	""	"墳派"	""	""	""
"譒"	"譒"	"fæ̃5"	""	"墳派"	""	""	""
"寰"	"寰"	"ɡuæ̃2"	""	"墳派"	""	""	""
"儇"	"儇"	"ɡuæ̃2"	""	"墳派"	""	""	""
"圜"	"圜"	"ɡuæ̃2"	""	"墳派"	""	""	""
"闤"	"阛"	"ɡuæ̃2"	""	"墳派"	""	""	""
"鬟"	"鬟"	"ɡuæ̃2"	""	"墳派"	""	""	""
"摜"	"掼"	"ɡuæ̃6"	"~稻"	"墳派"	""	""	""
"乾"	"乾"	"dʑiɛ̃2"	""	"墳派"	""	""	""
"虔"	"虔"	"dʑiɛ̃2"	""	"墳派"	""	""	""
"掮"	"掮"	"dʑiɛ̃2"	"~耜頭"	"墳派"	""	""	""
"揵"	"揵"	"dʑiɛ̃2"	""	"墳派"	""	""	""
"鍵"	"键"	"dʑiɛ̃2"	""	"墳派"	""	""	""
"犍"	"犍"	"dʑiɛ̃2"	""	"墳派"	""	""	""
"捷"	"捷"	"dʑiɛ̃2"	""	"墳派"	""	""	""
"鈐"	"钤"	"dʑiɛ̃2"	""	"墳派"	""	""	""
"黔"	"黔"	"dʑiɛ̃2"	""	"墳派"	""	""	""
"儉"	"俭"	"dʑiɛ̃4"	"本音：~樸"	"墳派"	""	""	""
"件"	"件"	"dʑiɛ̃4"	""	"墳派"	""	""	""
"鍵"	"键"	"dʑiɛ̃4"	""	"墳派"	""	""	""
"楗"	"楗"	"dʑiɛ̃4"	""	"墳派"	""	""	""
"揵"	"揵"	"dʑiɛ̃4"	""	"墳派"	""	""	""
"件"	"件"	"dʑiɛ̃6"	""	"墳派"	""	""	""
"儉"	"俭"	"dʑiɛ̃6"	"又音"	"墳派"	""	""	""
"健"	"健"	"dʑiɛ̃6"	"康~"	"墳派"	""	""	""
"鯨"	"鲸"	"dʑiɪn2"	""	"墳派"	""	""	""
"覲"	"觐"	"dʑiɪn6"	""	"墳派"	""	""	""
"勁"	"劲"	"dʑiɪn6"	""	"墳派"	""	""	""
"琴"	"琴"	"dʑiən2"	"口~"	"墳派"	""	""	""
"禽"	"禽"	"dʑiən2"	""	"墳派"	""	""	""
"擒"	"擒"	"dʑiən2"	""	"墳派"	""	""	""
"芹"	"芹"	"dʑiən2"	"~菜"	"墳派"	""	""	""
"近"	"近"	"dʑiən6"	""	"墳派"	""	""	""
"窘"	"窘"	"dʑyən4"	""	"墳派"	""	""	""
"箘"	"箘"	"dʑyən4"	""	"墳派"	""	""	""
"郡"	"郡"	"dʑyən6"	"吳~"	"墳派"	""	""	""
"甝"	"甝"	"hæ̃1"	""	"墳派"	""	""	""
"喊"	"喊"	"hæ̃3"	"叫~"	"墳派"	""	""	""
"海"	"海"	"hæ̃3"	"讀音存疑"	"鄉音字類"	""	""	""
"海"	"海"	"he3"	"~貨"	"蘇州同音常用字彙"	""	""	""
"闞"	"阚"	"hæ̃3"	""	"墳派"	""	""	""
"醢"	"醢"	"hæ̃3"	""	"墳派"	""	""	""
"呵"	"呵"	"hu1"	"~斥"	"墳派"	""	""	""
"訶"	"诃"	"hu1"	""	"墳派"	""	""	""
"滹"	"滹"	"hu1"	""	"墳派"	""	""	""
"虖"	"虖"	"hu1"	""	"墳派"	""	""	""
"火"	"火"	"hu3"	""	"墳派"	""	""	""
"虎"	"虎"	"hu3"	"老~"	"墳派"	""	""	""
"琥"	"琥"	"hu3"	""	"墳派"	""	""	""
"滸"	"浒"	"hu3"	"水~"	"墳派"	""	""	""
"滸"	"浒"	"ɕy3"	"~墅關"	"蘇州同音常用字彙"	""	""	""
"貨"	"货"	"hu5"	""	"墳派"	""	""	""
"戽"	"戽"	"hu5"	""	"墳派"	""	""	""
"荷"	"荷"	"hu5"	"薄~"	"墳派"	""	""	""
"甩"	"甩"	"huæ̃5"	"濫~"	"墳派"	""	""	""
"花"	"花"	"huo1"	""	"鄉音字類"	""	""	""
"化"	"化"	"huo5"	""	"鄉音字類"	""	""	""
"駭"	"骇"	"ɕie3"	"讀書音：驚~"	"墳派"	""	""	""
"軒"	"轩"	"ɕiɛ̃1"	"翻~"	"墳派"	""	""	""
"掀"	"掀"	"ɕiɛ̃1"	"~起來"	"墳派"	""	""	""
"蜆"	"蚬"	"ɕiɛ̃3"	"~子山"	"墳派"	""	""	""
"險"	"险"	"ɕiɛ̃3"	""	"墳派"	""	""	""
"顯"	"显"	"ɕiɛ̃3"	""	"墳派"	""	""	""
"獫"	"猃"	"ɕiɛ̃3"	""	"墳派"	""	""	""
"玁"	"猃"	"ɕiɛ̃3"	""	"墳派"	""	""	""
"嶮"	"崄"	"ɕiɛ̃3"	""	"墳派"	""	""	""
"僴"	"僴"	"ɕiɛ̃3"	""	"墳派"	""	""	""
"撊"	"撊"	"ɕiɛ̃3"	""	"墳派"	""	""	""
"伣"	"伣"	"ɕiɛ̃5"	""	"墳派"	""	""	""
"莧"	"苋"	"ɕiɛ̃5"	""	"墳派"	""	""	""
"憲"	"宪"	"ɕiɛ̃5"	"~法"	"墳派"	""	""	""
"獻"	"献"	"ɕiɛ̃5"	""	"墳派"	""	""	""
"幰"	"幰"	"ɕiɛ̃5"	""	"墳派"	""	""	""
"靴"	"靴"	"ɕiu1"	"釘~"	"墳派"	""	""	""
"馨"	"馨"	"ɕiɪn1"	"~香"	"墳派"	""	""	""
"興"	"兴"	"ɕiɪn1"	"~盛"	"墳派"	""	""	""
"興"	"兴"	"ɕiɪn5"	""	"墳派"	""	""	""
"欣"	"欣"	"ɕiən1"	"~喜"	"墳派"	""	""	""
"勳"	"勋"	"ɕyən1"	""	"墳派"	""	""	""
"薰"	"薰"	"ɕyən1"	"~風"	"墳派"	""	""	""
"醺"	"醺"	"ɕyən1"	"醉~~"	"墳派"	""	""	""
"塤"	"埙"	"ɕyən1"	""	"墳派"	""	""	""
"獯"	"獯"	"ɕyən1"	""	"墳派"	""	""	""
"曛"	"曛"	"ɕyən1"	""	"墳派"	""	""	""
"焄"	"焄"	"ɕyən1"	""	"墳派"	""	""	""
"纁"	"纁"	"ɕyən1"	""	"墳派"	""	""	""
"勳"	"勋"	"ɕyən1"	""	"墳派"	""	""	""
"訓"	"训"	"ɕyən5"	"教~"	"墳派"	""	""	""
"也"	"也"	"iɑ3"	""	"墳派"	""	""	""
"醃"	"腌"	"ie1"	"~豬肉"	"墳派"	""	""	""
"魘"	"魇"	"ie3"	""	"墳派"	""	""	""
"掩"	"掩"	"ie3"	"遮~"	"墳派"	""	""	""
"也"	"也"	"ie3"	""	"墳派"	""	""	""
"夜"	"夜"	"ie5"	""	"墳派"	""	""	""
"懈"	"懈"	"ie5"	"讀書音"	"墳派"	""	""	""
"咽"	"咽"	"iɛ̃1"	"~喉"	"墳派"	""	""	""
"胭"	"胭"	"iɛ̃1"	""	"墳派"	""	""	""
"蔫"	"蔫"	"iɛ̃1"	"顏色忒~"	"墳派"	""	""	""
"嫣"	"嫣"	"iɛ̃1"	""	"墳派"	""	""	""
"淹"	"淹"	"iɛ̃1"	""	"墳派"	""	""	""
"閹"	"阉"	"iɛ̃1"	""	"墳派"	""	""	""
"崦"	"崦"	"iɛ̃1"	""	"墳派"	""	""	""
"晻"	"晻"	"iɛ̃1"	""	"墳派"	""	""	""
"弇"	"弇"	"iɛ̃1"	""	"墳派"	""	""	""
"媕"	"媕"	"iɛ̃1"	""	"墳派"	""	""	""
"奄"	"奄"	"iɛ̃3"	""	"墳派"	""	""	""
"晻"	"晻"	"iɛ̃3"	""	"墳派"	""	""	""
"罨"	"罨"	"iɛ̃3"	""	"墳派"	""	""	""
"掩"	"掩"	"iɛ̃3"	""	"墳派"	""	""	""
"媕"	"媕"	"iɛ̃3"	""	"墳派"	""	""	""
"渰"	"渰"	"iɛ̃3"	""	"墳派"	""	""	""
"𩼴"	"𩼴"	"iɛ̃3"	""	"墳派"	""	""	""
"檿"	"檿"	"iɛ̃3"	""	"墳派"	""	""	""
"魘"	"魇"	"iɛ̃3"	""	"墳派"	""	""	""
"偃"	"偃"	"iɛ̃3"	""	"墳派"	""	""	""
"揜"	"揜"	"iɛ̃3"	""	"墳派"	""	""	""
"蝘"	"蝘"	"iɛ̃3"	""	"墳派"	""	""	""
"堰"	"堰"	"iɛ̃3"	""	"墳派"	""	""	""
"鰋"	"鰋"	"iɛ̃3"	""	"墳派"	""	""	""
"演"	"演"	"iɛ̃3"	"~戲"	"墳派"	""	""	""
"戭"	"戭"	"iɛ̃3"	""	"墳派"	""	""	""
"睍"	"睍"	"iɛ̃3"	""	"墳派"	""	""	""
"眼"	"眼"	"iɛ̃3"	"讀書音"	"墳派"	""	""	""
"兗"	"兖"	"iɛ̃3"	""	"墳派"	""	""	""
"衍"	"衍"	"iɛ̃3"	""	"墳派"	""	""	""
"琰"	"琰"	"iɛ̃3"	""	"墳派"	""	""	""
"剡"	"剡"	"iɛ̃3"	""	"墳派"	""	""	""
"扊"	"扊"	"iɛ̃3"	"～扅，指門閂"	"墳派"	""	""	""
"焱"	"焱"	"iɛ̃3"	""	"墳派"	""	""	""
"咽"	"咽"	"iɛ̃5"	""	"墳派"	""	""	""
"煙"	"煙"	"iɛ̃5"	""	"墳派"	""	""	""
"嬿"	"嬿"	"iɛ̃5"	""	"墳派"	""	""	""
"晏"	"晏"	"iɛ̃5"	"姓"	"墳派"	""	""	""
"厭"	"厌"	"iɛ̃5"	"討惹~"	"墳派"	""	""	""
"贗"	"赝"	"iɛ̃5"	""	"墳派"	""	""	""
"燕"	"燕"	"iɛ̃5"	"~子"	"墳派"	""	""	""
"焰"	"焰"	"iɛ̃5"	""	"墳派"	""	""	""
"鷃"	"鷃"	"iɛ̃5"	""	"墳派"	""	""	""
"饜"	"餍"	"iɛ̃5"	""	"墳派"	""	""	""
"因"	"因"	"iɪn1"	""	"墳派"	""	""	""
"英"	"英"	"iɪn1"	""	"墳派"	""	""	""
"姻"	"姻"	"iɪn1"	"婚~"	"墳派"	""	""	""
"應"	"应"	"iɪn1"	"~該"	"墳派"	""	""	""
"膺"	"膺"	"iɪn1"	""	"墳派"	""	""	""
"蠅"	"蝇"	"iɪn1"	"蒼~"	"墳派"	""	""	""
"嬰"	"婴"	"iɪn1"	"育~堂"	"墳派"	""	""	""
"鷹"	"鹰"	"iɪn1"	"鷂~"	"墳派"	""	""	""
"茵"	"茵"	"iɪn1"	""	"墳派"	""	""	""
"尹"	"尹"	"iɪn3"	""	"墳派"	""	""	""
"引"	"引"	"iɪn3"	""	"墳派"	""	""	""
"蚓"	"蚓"	"iɪn3"	""	"墳派"	""	""	""
"影"	"影"	"iɪn3"	""	"墳派"	""	""	""
"穎"	"颖"	"iɪn3"	""	"墳派"	""	""	""
"印"	"印"	"iɪn5"	""	"墳派"	""	""	""
"音"	"音"	"iən1"	""	"墳派"	""	""	""
"陰"	"阴"	"iən1"	""	"墳派"	""	""	""
"飲"	"饮"	"iən3"	""	"墳派"	""	""	""
"隱"	"隐"	"iən3"	""	"墳派"	""	""	""
"蔭"	"荫"	"iən5"	""	"墳派"	""	""	""
"窨"	"窨"	"iən5"	""	"墳派"	""	""	""
"間"	"间"	"kæ̃1"	"房子五~"	"墳派"	""	""	""
"監"	"监"	"kæ̃1"	"~牢"	"墳派"	""	""	""
"尷"	"尴"	"kæ̃1"	""	"墳派"	""	""	""
"艱"	"艰"	"kæ̃1"	"~難"	"墳派"	""	""	""
"艱"	"艰"	"tɕiɛ̃"	""	"蘇州同音常用字彙"	""	""	""
"柬"	"柬"	"kæ̃3"	""	"墳派"	""	""	""
"減"	"减"	"kæ̃3"	""	"墳派"	""	""	""
"鹼"	"硷"	"kæ̃3"	""	"墳派"	""	""	""
"揀"	"拣"	"kæ̃3"	"~好"	"墳派"	""	""	""
"橄"	"橄"	"kæ̃3"	""	"墳派"	""	""	""
"襇"	"裥"	"kæ̃3"	"褶~"	"墳派"	""	""	""
"監"	"监"	"kæ̃5"	""	"墳派"	""	""	""
"澗"	"涧"	"kæ̃5"	"山~水"	"墳派"	""	""	""
"嵌"	"嵌"	"kʰæ̃1"	""	"墳派"	""	""	""
"鉛"	"铅"	"kʰæ̃1"	"~子"	"墳派"	""	""	""
"檻"	"槛"	"kʰæ̃3"	"門~"	"墳派"	""	""	""
"嵌"	"嵌"	"kʰæ̃5"	""	"墳派"	""	""	""
"郭"	"郭"	"kuoʔ7"	"姓"	"鄉音字類"	""	""	""
"戈"	"戈"	"ku1"	"姓"	"墳派"	""	""	""
"哥"	"哥"	"ku1"	"阿~"	"墳派"	""	""	""
"歌"	"歌"	"ku1"	"唱山~"	"墳派"	""	""	""
"鍋"	"锅"	"ku1"	"砂~"	"墳派"	""	""	""
"姑"	"姑"	"ku1"	""	"墳派"	""	""	""
"沽"	"沽"	"ku1"	""	"墳派"	""	""	""
"蛄"	"蛄"	"ku1"	""	"墳派"	""	""	""
"酤"	"酤"	"ku1"	""	"墳派"	""	""	""
"孤"	"孤"	"ku1"	""	"墳派"	""	""	""
"苽"	"苽"	"ku1"	""	"墳派"	""	""	""
"菰"	"菰"	"ku1"	""	"墳派"	""	""	""
"呱"	"呱"	"ku1"	""	"墳派"	""	""	""
"觚"	"觚"	"ku1"	""	"墳派"	""	""	""
"罛"	"罛"	"ku1"	""	"墳派"	""	""	""
"柧"	"柧"	"ku1"	""	"墳派"	""	""	""
"胍"	"胍"	"ku1"	""	"墳派"	""	""	""
"鼓"	"鼓"	"ku1"	""	"墳派"	""	""	""
"辜"	"辜"	"ku1"	"~負"	"墳派"	""	""	""
"鴣"	"鸪"	"ku1"	""	"墳派"	""	""	""
"箍"	"箍"	"ku1"	"~桶匠"	"墳派"	""	""	""
"古"	"古"	"ku3"	""	"墳派"	""	""	""
"估"	"估"	"ku3"	"~~價鈿"	"墳派"	""	""	""
"詁"	"诂"	"ku3"	""	"墳派"	""	""	""
"罟"	"罟"	"ku3"	""	"墳派"	""	""	""
"盬"	"盬"	"ku3"	""	"墳派"	""	""	""
"蠱"	"蛊"	"ku3"	""	"墳派"	""	""	""
"瞽"	"瞽"	"ku3"	""	"墳派"	""	""	""
"裹"	"裹"	"ku3"	"包~"	"墳派"	""	""	""
"嘏"	"嘏"	"ku3"	""	"墳派"	""	""	""
"股"	"股"	"ku3"	"~東"	"墳派"	""	""	""
"羖"	"羖"	"ku3"	""	"墳派"	""	""	""
"賈"	"贾"	"ku3"	"商~"	"墳派"	""	""	""
"咕"	"咕"	"ku3"	""	"墳派"	""	""	""
"過"	"过"	"ku5"	""	"墳派"	""	""	""
"固"	"固"	"ku5"	""	"墳派"	""	""	""
"錮"	"锢"	"ku5"	""	"墳派"	""	""	""
"痼"	"痼"	"ku5"	""	"墳派"	""	""	""
"故"	"故"	"ku5"	"啥個緣~"	"墳派"	""	""	""
"顧"	"顾"	"ku5"	"姓"	"墳派"	""	""	""
"箇"	"箇"	"ku5"	""	"墳派"	""	""	""
"枯"	"枯"	"kʰu1"	""	"墳派"	""	""	""
"骷"	"骷"	"kʰu1"	""	"墳派"	""	""	""
"窠"	"窠"	"kʰu1"	""	"墳派"	""	""	""
"科"	"科"	"kʰu1"	""	"墳派"	""	""	""
"蝌"	"蝌"	"kʰu1"	""	"墳派"	""	""	""
"顆"	"颗"	"kʰu1"	""	"墳派"	""	""	""
"棵"	"棵"	"kʰu1"	""	"墳派"	""	""	""
"苛"	"苛"	"kʰu1"	""	"墳派"	""	""	""
"薖"	"薖"	"kʰu1"	""	"墳派"	""	""	""
"軻"	"轲"	"kʰu1"	""	"墳派"	""	""	""
"珂"	"珂"	"kʰu1"	""	"墳派"	""	""	""
"刳"	"刳"	"kʰu1"	"從中間破開再挖空"	"墳派"	""	""	""
"屙"	"疴"	"kʰu1"	""	"墳派"	""	""	""
"橭"	"橭"	"kʰu1"	""	"墳派"	""	""	""
"苦"	"苦"	"kʰu3"	"吃得~中~，方爲人上人"	"墳派"	""	""	""
"可"	"可"	"kʰu3"	""	"墳派"	""	""	""
"坷"	"坷"	"kʰu3"	""	"墳派"	""	""	""
"舸"	"舸"	"kʰu3"	""	"墳派"	""	""	""
"哿"	"哿"	"kʰu3"	""	"墳派"	""	""	""
"笴"	"笴"	"kʰu3"	""	"墳派"	""	""	""
"顆"	"颗"	"kʰu3"	""	"墳派"	""	""	""
"庫"	"库"	"kʰu5"	""	"墳派"	""	""	""
"褲"	"裤"	"kʰu5"	""	"墳派"	""	""	""
"課"	"课"	"kʰu5"	""	"墳派"	""	""	""
"絝"	"绔"	"kʰu5"	""	"墳派"	""	""	""
"鰥"	"鳏"	"kuæ̃1"	"老而無妻"	"墳派"	""	""	""
"瘝"	"瘝"	"kuæ̃1"	""	"墳派"	""	""	""
"慣"	"惯"	"kuæ̃5"	"習~"	"墳派"	""	""	""
"艸"	"艸"	"kuæ̃5"	""	"墳派"	""	""	""
"串"	"串"	"kuæ̃5"	""	"墳派"	""	""	""
"筷"	"筷"	"kʰuæ̃3"	"~兒，“兒”讀[ŋ]"	"墳派"	""	""	""
"廓"	"廓"	"kʰuoʔ7"	""	"鄉音字類"	""	""	""
"鞟"	"鞟"	"kʰuoʔ7"	""	"鄉音字類"	""	""	""
"擴"	"扩"	"kʰuoʔ7"	"~充"	"蘇州同音常用字彙"	""	""	""
"彍"	"彍"	"kʰuoʔ7"	""	"鄉音字類"	""	""	""
"肩"	"肩"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"兼"	"兼"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"鶼"	"鹣"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"鰜"	"鳒"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"蒹"	"蒹"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"鬑"	"鬑"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"縑"	"缣"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"堅"	"坚"	"tɕiɛ̃1"	"~固"	"墳派"	""	""	""
"慳"	"悭"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"監"	"监"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"間"	"间"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"蕳"	"蕳"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"緘"	"缄"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"菅"	"菅"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"豜"	"豜"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"椷"	"椷"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"癇"	"痫"	"tɕiɛ̃1"	""	"墳派"	""	""	""
"繭"	"茧"	"tɕiɛ̃3"	"~子"	"墳派"	""	""	""
"簡"	"简"	"tɕiɛ̃3"	""	"墳派"	""	""	""
"柬"	"柬"	"tɕiɛ̃3"	"書~"	"墳派"	""	""	""
"揀"	"拣"	"tɕiɛ̃3"	""	"墳派"	""	""	""
"鹼"	"硷"	"tɕiɛ̃3"	""	"墳派"	""	""	""
"檢"	"检"	"tɕiɛ̃3"	"~點"	"墳派"	""	""	""
"瞼"	"睑"	"tɕiɛ̃3"	"眼~毛"	"墳派"	""	""	""
"減"	"减"	"tɕiɛ̃3"	""	"墳派"	""	""	""
"覸"	"覸"	"tɕiɛ̃3"	""	"墳派"	""	""	""
"謇"	"謇"	"tɕiɛ̃3"	""	"墳派"	""	""	""
"蹇"	"蹇"	"tɕiɛ̃3"	""	"墳派"	""	""	""
"寋"	"寋"	"tɕiɛ̃3"	""	"墳派"	""	""	""
"筧"	"笕"	"tɕiɛ̃3"	""	"墳派"	""	""	""
"澗"	"涧"	"tɕiɛ̃3"	""	"墳派"	""	""	""
"見"	"见"	"tɕiɛ̃5"	""	"墳派"	""	""	""
"建"	"建"	"tɕiɛ̃5"	"~設"	"墳派"	""	""	""
"劍"	"剑"	"tɕiɛ̃5"	"寶~"	"墳派"	""	""	""
"諫"	"谏"	"tɕiɛ̃5"	""	"墳派"	""	""	""
"監"	"监"	"tɕiɛ̃5"	""	"墳派"	""	""	""
"澗"	"涧"	"tɕiɛ̃5"	""	"墳派"	""	""	""
"間"	"间"	"tɕiɛ̃5"	""	"墳派"	""	""	""
"瞷"	"瞷"	"tɕiɛ̃5"	""	"墳派"	""	""	""
"覸"	"覸"	"tɕiɛ̃5"	""	"墳派"	""	""	""
"毽"	"毽"	"tɕiɛ̃5"	"踢~子，即踢絹踢"	"墳派"	""	""	""
"牽"	"牵"	"tɕʰiɛ̃1"	"~牛"	"墳派"	""	""	""
"謙"	"谦"	"tɕʰiɛ̃1"	"~虛"	"墳派"	""	""	""
"汧"	"汧"	"tɕʰiɛ̃1"	""	"墳派"	""	""	""
"掔"	"掔"	"tɕʰiɛ̃1"	""	"墳派"	""	""	""
"愆"	"愆"	"tɕʰiɛ̃1"	""	"墳派"	""	""	""
"褰"	"褰"	"tɕʰiɛ̃1"	""	"墳派"	""	""	""
"鶱"	"鶱"	"tɕʰiɛ̃1"	""	"墳派"	""	""	""
"搴"	"搴"	"tɕʰiɛ̃1"	""	"墳派"	""	""	""
"鉛"	"铅"	"tɕʰiɛ̃1"	"文讀"	"墳派"	""	""	""
"慳"	"悭"	"tɕʰiɛ̃1"	""	"墳派"	""	""	""
"遣"	"遣"	"tɕʰiɛ̃3"	"~散"	"墳派"	""	""	""
"繾"	"缱"	"tɕʰiɛ̃3"	""	"墳派"	""	""	""
"譴"	"谴"	"tɕʰiɛ̃3"	""	"墳派"	""	""	""
"轞"	"轞"	"tɕʰiɛ̃3"	""	"墳派"	""	""	""
"檻"	"槛"	"tɕʰiɛ̃3"	""	"墳派"	""	""	""
"豏"	"豏"	"tɕʰiɛ̃3"	""	"墳派"	""	""	""
"嵰"	"嵰"	"tɕʰiɛ̃3"	""	"墳派"	""	""	""
"慊"	"慊"	"tɕʰiɛ̃3"	""	"墳派"	""	""	""
"歉"	"歉"	"tɕʰiɛ̃3"	""	"墳派"	""	""	""
"蹇"	"蹇"	"tɕʰiɛ̃3"	""	"墳派"	""	""	""
"芡"	"芡"	"tɕʰiɛ̃3"	""	"墳派"	""	""	""
"艦"	"舰"	"tɕʰiɛ̃3"	"軍~"	"墳派"	""	""	""
"欠"	"欠"	"tɕʰiɛ̃5"	"~債"	"墳派"	""	""	""
"謙"	"谦"	"tɕʰiɛ̃1"	"~虛"	"蘇州同音常用字彙"	""	""	""
"謙"	"谦"	"tɕʰiɛ̃5"	""	"墳派"	""	""	""
"芡"	"芡"	"tɕʰiɛ̃5"	"~實"	"墳派"	""	""	""
"譴"	"谴"	"tɕʰiɛ̃5"	"~責"	"墳派"	""	""	""
"巾"	"巾"	"tɕiɪn1"	""	"墳派"	""	""	""
"京"	"京"	"tɕiɪn1"	""	"墳派"	""	""	""
"觔"	"觔"	"tɕiɪn1"	""	"墳派"	""	""	""
"荊"	"荆"	"tɕiɪn1"	""	"墳派"	""	""	""
"涇"	"泾"	"tɕiɪn1"	""	"墳派"	""	""	""
"經"	"经"	"tɕiɪn1"	""	"墳派"	""	""	""
"驚"	"惊"	"tɕiɪn1"	"~嚇"	"墳派"	""	""	""
"鯨"	"鲸"	"tɕiɪn1"	""	"墳派"	""	""	""
"矜"	"矜"	"tɕiɪn1"	""	"墳派"	""	""	""
"景"	"景"	"tɕiɪn3"	""	"墳派"	""	""	""
"境"	"境"	"tɕiɪn3"	""	"墳派"	""	""	""
"緊"	"紧"	"tɕiɪn3"	"~要"	"墳派"	""	""	""
"頸"	"颈"	"tɕiɪn3"	"頭~"	"墳派"	""	""	""
"儆"	"儆"	"tɕiɪn3"	""	"墳派"	""	""	""
"脛"	"胫"	"tɕiɪn5"	""	"墳派"	""	""	""
"徑"	"径"	"tɕiɪn5"	""	"墳派"	""	""	""
"逕"	"迳"	"tɕiɪn5"	""	"墳派"	""	""	""
"竟"	"竟"	"tɕiɪn5"	""	"墳派"	""	""	""
"敬"	"敬"	"tɕiɪn5"	""	"墳派"	""	""	""
"鏡"	"镜"	"tɕiɪn5"	""	"墳派"	""	""	""
"勁"	"劲"	"tɕiɪn5"	""	"蘇州同音常用字彙"	""	""	""
"金"	"金"	"tɕiən1"	"姓"	"墳派"	""	""	""
"今"	"今"	"tɕiən1"	""	"墳派"	""	""	""
"斤"	"斤"	"tɕiən1"	""	"墳派"	""	""	""
"錦"	"锦"	"tɕiən3"	""	"墳派"	""	""	""
"謹"	"谨"	"tɕiən3"	""	"墳派"	""	""	""
"禁"	"禁"	"tɕiən5"	"~止"	"墳派"	""	""	""
"卿"	"卿"	"tɕʰiɪn1"	""	"墳派"	""	""	""
"傾"	"倾"	"tɕʰiɪn1"	"~覆"	"墳派"	""	""	""
"輕"	"轻"	"tɕʰiɪn1"	"~重"	"墳派"	""	""	""
"頃"	"顷"	"tɕʰiɪn3"	"~刻"	"墳派"	""	""	""
"慶"	"庆"	"tɕʰiɪn5"	"國~紀念"	"墳派"	""	""	""
"撳"	"揿"	"tɕʰiən5"	"~牢俚"	"蘇州同音常用字彙"	""	""	""
"欽"	"钦"	"tɕʰiən1"	""	"墳派"	""	""	""
"衾"	"衾"	"tɕʰiən1"	""	"墳派"	""	""	""
"皸"	"皲"	"tɕyən1"	""	"墳派"	""	""	""
"君"	"君"	"tɕyən1"	""	"墳派"	""	""	""
"均"	"均"	"tɕyən1"	""	"墳派"	""	""	""
"鈞"	"钧"	"tɕyən1"	""	"墳派"	""	""	""
"軍"	"军"	"tɕyən1"	""	"墳派"	""	""	""
"囷"	"囷"	"tɕyən1"	""	"墳派"	""	""	""
"箘"	"箘"	"tɕyən1"	""	"墳派"	""	""	""
"鋆"	"鋆"	"tɕyən1"	""	"墳派"	""	""	""
"窘"	"窘"	"tɕʰyən3"	""	"墳派"	""	""	""
"藍"	"蓝"	"læ̃2"	""	"墳派"	""	""	""
"蘭"	"兰"	"læ̃2"	"~花"	"墳派"	""	""	""
"欄"	"栏"	"læ̃2"	"~幹"	"墳派"	""	""	""
"攔"	"拦"	"læ̃2"	""	"墳派"	""	""	""
"籃"	"篮"	"læ̃2"	""	"墳派"	""	""	""
"闌"	"阑"	"læ̃2"	""	"墳派"	""	""	""
"瀾"	"澜"	"læ̃2"	""	"墳派"	""	""	""
"斕"	"斓"	"læ̃2"	""	"墳派"	""	""	""
"讕"	"谰"	"læ̃2"	""	"墳派"	""	""	""
"覽"	"览"	"læ̃4"	""	"墳派"	""	""	""
"欖"	"榄"	"læ̃4"	"橄~"	"墳派"	""	""	""
"赧"	"赧"	"læ̃4"	""	"墳派"	""	""	""
"懶"	"懒"	"læ̃4"	"~惰"	"墳派"	""	""	""
"戁"	"戁"	"læ̃4"	""	"墳派"	""	""	""
"濫"	"滥"	"læ̃6"	""	"墳派"	""	""	""
"纜"	"缆"	"læ̃6"	"~繩"	"墳派"	""	""	""
"爛"	"烂"	"læ̃6"	""	"墳派"	""	""	""
"糷"	"糷"	"læ̃6"	"飯爛相粘著。"	"墳派"	""	""	""
