字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
桶		tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	
捅		tʰuŋ²⁴	tʰuŋ²⁴	tʰuŋ²⁴	tʰuŋ²⁴	tʰuŋ²⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	
痛		tʰuŋ⁴¹	tʰuŋ⁴¹	tʰuŋ⁴¹	tʰuŋ⁴¹	tʰuŋ⁴¹	tʰuŋ⁴¹	tʰuŋ⁴¹	tʰuŋ⁴¹	
秃		tʰu²⁴	tʰu²⁴	tʰu²⁴	tʰu²⁴	tʰu²⁴	tʰu²⁴	tʰu²⁴	tʰu²⁴	
同		tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	
童		tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	
动		tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	
洞		tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	tuŋ⁴¹	
独		tu⁵²	tu⁵²	tu⁵²	tu⁵²	tu⁵²	tu⁵²	tu⁵²	tu⁵²	
读		tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁴⁴	tʰuŋ⁵²	tʰuŋ⁵²	tʰuŋ⁵²	
齈		nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	nuŋ⁵²	
笼		luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	
聋		luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	luŋ⁵²	
