字	注释	张集	大杨集	李老家	田庙	郑集	站集	店集	芒种桥	
颖		iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	
疫		i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	
萤		iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	
石		ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	
轻		tɕʰiŋ²⁴	tɕʰiŋ²⁴	tɕʰiŋ²⁴	tɕʰiŋ²⁴	tɕʰiŋ²⁴	tɕʰiŋ²⁴	tɕʰiŋ²⁴	tɕʰiŋ²⁴	
赢		iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	
译		i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	
易		i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	i⁴¹	
壁		pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	
拼		pʰin²⁴	pʰin²⁴	pʰin²⁴	pʰin²⁴	pʰin²⁴	pʰin²⁴	pʰin²⁴	pʰin²⁴	
劈		pʰi²⁴	pʰi²⁴	pʰi²⁴	pʰi²⁴	pʰi²⁴	pʰi²⁴	pʰi²⁴	pʰi²⁴	
瓶		pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	
萍		pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	
並		piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	
丁		tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	
钉		tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	tiŋ²⁴	
顶		tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴	tiŋ⁴⁴	
的	~目	ti⁴⁴	ti⁴⁴	ti⁴⁴	ti⁴⁴	ti⁴⁴	ti⁴⁴	ti⁴⁴	ti⁴⁴	
滴		ti²⁴	ti²⁴	ti²⁴	ti²⁴	ti²⁴	ti²⁴	ti²⁴	ti²⁴	
听		tʰiŋ²⁴	tʰiŋ²⁴	tʰiŋ²⁴	tʰiŋ²⁴	tʰiŋ²⁴	tʰiŋ²⁴	tʰiŋ²⁴	tʰiŋ²⁴	
踢		tʰi²⁴	tʰi²⁴	tʰi²⁴	tʰi²⁴	tʰi²⁴	tʰi²⁴	tʰi²⁴	tʰi²⁴	
剔		tʰi²⁴	tʰi²⁴	tʰi²⁴	tʰi²⁴	tʰi²⁴	tʰi²⁴	tʰi²⁴	tʰi²⁴	
停		tʰiŋ⁵²	tʰiŋ⁵²	tʰiŋ⁵²	tʰiŋ⁵²	tʰiŋ⁵²	tʰiŋ⁵²	tʰiŋ⁵²	tʰiŋ⁵²	
挺		tʰiŋ⁴⁴	tʰiŋ⁴⁴	tʰiŋ⁴⁴	tʰiŋ⁴⁴	tʰiŋ⁴⁴	tʰiŋ⁴⁴	tʰiŋ⁴⁴	tʰiŋ⁴⁴	
定		tiŋ⁴¹	tiŋ⁴¹	tiŋ⁴¹	tiŋ⁴¹	tiŋ⁴¹	tiŋ⁴¹	tiŋ⁴¹	tiŋ⁴¹	
敌		ti⁵²	ti⁵²	ti⁵²	ti⁵²	ti⁵²	ti⁵²	ti⁵²	ti⁵²	
宁		ȵiŋ⁵²	ȵiŋ⁵²	ȵiŋ⁵²	ȵiŋ⁵²	ȵiŋ⁵²	ȵiŋ⁵²	ȵiŋ⁵²	ȵiŋ⁵²	
零		liŋ⁵²	liŋ⁵²	liŋ⁵²	liŋ⁵²	liŋ⁵²	liŋ⁵²	liŋ⁵²	liŋ⁵²	
铃		liŋ⁵²	liŋ⁵²	liŋ⁵²	liŋ⁵²	liŋ⁵²	liŋ⁵²	liŋ⁵²	liŋ⁵²	
另		liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	
晴		tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	
		tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	
静		tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	
净		tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	tsiŋ⁴¹	
省	~反	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	siŋ⁴⁴	
性		siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	
姓		siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	siŋ⁴¹	
惜		si²⁴	si²⁴	si²⁴	si²⁴	si²⁴	si²⁴	si²⁴	si²⁴	
席		si⁵²	si⁵²	si⁵²	si⁵²	si⁵²	si⁵²	si⁵²	si⁵²	
逞		tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	tʂʰəŋ⁴⁴	
程		tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	
郑		tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	
正	~月	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	
整		tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	tʂəŋ⁴⁴	
正		tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	
政		tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	tʂəŋ⁴¹	
尺		tʂʰʅ²⁴	tʂʰʅ²⁴	tʂʰʅ²⁴	tʂʰʅ²⁴	tʂʰʅ²⁴	tʂʰʅ²⁴	tʂʰʅ²⁴	tʂʰʅ²⁴	
射		ʂə⁴¹	ʂə⁴¹	ʂə⁴¹	ʂə⁴¹	ʂə⁴¹	ʂə⁴¹	ʂə⁴¹	ʂə⁴¹	
声		ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	
圣		ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	
适		ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	
释		ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	
成		tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	
城		tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	
诚		tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	
盛	~满	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	
京		tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	
惊		tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	tɕiŋ²⁴	
景		tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	tɕiŋ⁴⁴	
敬		tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	
镜		tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	
庆		tɕʰiŋ⁴¹	tɕʰiŋ⁴¹	tɕʰiŋ⁴¹	tɕʰiŋ⁴¹	tɕʰiŋ⁴¹	tɕʰiŋ⁴¹	tɕʰiŋ⁴¹	tɕʰiŋ⁴¹	
竞		tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	tɕiŋ⁴¹	
剧		tɕy⁴¹	tɕy⁴¹	tɕy⁴¹	tɕy⁴¹	tɕy⁴¹	tɕy⁴¹	tɕy⁴¹	tɕy⁴¹	
迎		iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	
逆		i⁵²	i⁵²	i⁵²	i⁵²	i⁵²	ȵi⁴¹	ȵi⁴¹	ȵi⁴¹	
英		iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	
影		iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	iŋ⁴⁴	
映		iŋ⁴¹	iŋ⁴¹	iŋ⁴¹	iŋ⁴¹	iŋ⁴¹	iŋ⁴¹	iŋ⁴¹	iŋ⁴¹	
饼		piŋ⁴⁴	piŋ⁴⁴	piŋ⁴⁴	piŋ⁴⁴	piŋ⁴⁴	piŋ⁴⁴	piŋ⁴⁴	piŋ⁴⁴	
聘		pʰin⁴¹	pʰin⁴¹	pʰin⁴¹	pʰin⁴¹	pʰin⁴¹	pʰin⁴¹	pʰin⁴¹	pʰin⁴¹	
僻		pʰi²⁴	pʰi²⁴	pʰi²⁴	pʰi²⁴	pʰi²⁴	pʰi²⁴	pʰi²⁴	pʰi²⁴	
辟	~谣	pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	pʰi⁴¹	
领		liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴	liŋ⁴⁴	
令		liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	liŋ⁴¹	
精		tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	
晶		tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	
睛		tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	tsiŋ²⁴	
井		tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴	tsiŋ⁴⁴	
积		tsi²⁴	tsi²⁴	tsi²⁴	tsi²⁴	tsi²⁴	tsi²⁴	tsi²⁴	tsi²⁴	
清		tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	tsʰiŋ²⁴	
请		tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	tsʰiŋ⁴⁴	
情		tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	tsʰiŋ⁵²	
行	~为	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	ɕiŋ⁵²	
杏		ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	
棚		pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	
萌		məŋ⁵²	məŋ⁵²	məŋ⁵²	məŋ⁵²	məŋ⁵²	məŋ⁵²	məŋ⁵²	məŋ⁵²	
麦		mei²⁴	mei²⁴	mei²⁴	mei²⁴	mei²⁴	mei²⁴	mei²⁴	mei²⁴	
脉		mei²⁴	mei²⁴	mei²⁴	mei²⁴	mei²⁴	mei²⁴	mei²⁴	mei²⁴	
摘		tsei²⁴	tsei²⁴	tsei²⁴	tsei²⁴	tsei²⁴	tʂei²⁴	tʂei²⁴	tʂei²⁴	
争		tsəŋ²⁴	tsəŋ²⁴	tsəŋ²⁴	tsəŋ²⁴	tsəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	
睁		tsəŋ²⁴	tsəŋ²⁴	tsəŋ²⁴	tsəŋ²⁴	tsəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	tʂəŋ²⁴	
责		tsei²⁴	tsei²⁴	tsei²⁴	tsei²⁴	tsei²⁴	tʂei²⁴	tʂei²⁴	tʂei²⁴	
策		tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tʂʰei²⁴	tʂʰei²⁴	tʂʰei²⁴	
册		tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tʂʰei²⁴	tʂʰei²⁴	tʂʰei²⁴	
耕		kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	
隔		kei²⁴	kei²⁴	kei²⁴	kei²⁴	kei²⁴	kei²⁴	kei²⁴	kei²⁴	
嗝		kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	kɤ²⁴	
幸		ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	
鹦		iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	
樱		iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	iŋ²⁴	
兵		piŋ²⁴	piŋ²⁴	piŋ²⁴	piŋ²⁴	piŋ²⁴	piŋ²⁴	piŋ²⁴	piŋ²⁴	
碧		pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	pi⁴¹	
平		pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	
评		pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	
苹		pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	pʰiŋ⁵²	
病		piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	piŋ⁴¹	
明		miŋ⁵²	miŋ⁵²	miŋ⁵²	miŋ⁵²	miŋ⁵²	miŋ⁵²	miŋ⁵²	miŋ⁵²	
盟		məŋ⁵²	məŋ⁵²	məŋ⁴⁴	məŋ⁴⁴	məŋ⁵²	məŋ⁵²	məŋ⁵²	məŋ⁵²	
命		miŋ⁴¹	miŋ⁴¹	miŋ⁴¹	miŋ⁴¹	miŋ⁴¹	miŋ⁴¹	miŋ⁴¹	miŋ⁴¹	
惑		xuo⁴¹	xuo⁴¹	xuo⁴¹	xuo⁴¹	xuo⁴¹	xuo⁵²	xuo⁵²	xuo⁵²	
域		y⁴¹	y⁴¹	y⁴¹	y⁴¹	y⁴¹	y⁴¹	y⁴¹	y⁴¹	
百		pei²⁴	pei²⁴	pei²⁴	pei²⁴	pei²⁴	pei²⁴	pei²⁴	pei²⁴	
迫		pʰei⁴⁴	pʰei⁴⁴	pʰei⁴⁴	pʰei⁴⁴	pʰei⁴⁴	pʰei⁴⁴	pʰei⁴⁴	pʰei⁴⁴	
拍		pʰei²⁴	pʰei²⁴	pʰei²⁴	pʰei²⁴	pʰei²⁴	pʰei²⁴	pʰei²⁴	pʰei²⁴	
魄		pʰei⁵²	pʰei⁵²	pʰei⁴⁴	pʰei⁴⁴	pʰei⁵²	pʰei²⁴	pʰei²⁴	pʰei²⁴	
膨		pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	pʰəŋ⁵²	
白		pei⁵²	pei⁵²	pei⁵²	pei⁵²	pei⁵²	pei⁵²	pei⁵²	pei⁵²	
猛		məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	məŋ⁴⁴	
孟		məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	məŋ⁴¹	
打		ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	ta⁴⁴	
冷		ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	ləŋ⁴⁴	
撑		tsʰəŋ²⁴	tsʰəŋ²⁴	tsʰəŋ²⁴	tsʰəŋ²⁴	tsʰəŋ²⁴	tʂʰəŋ²⁴	tʂʰəŋ²⁴	tʂʰəŋ²⁴	
拆		tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tsʰei²⁴	tʂʰei²⁴	tʂʰei²⁴	tʂʰei²⁴	
锃		tsəŋ⁴¹	tsəŋ⁴⁴	tsəŋ⁴¹	tsəŋ⁴¹	tsəŋ⁴¹	tsəŋ⁴¹	tsəŋ⁴¹	tsəŋ⁴¹	
择		tsei⁵²	tsei⁵²	tsei⁵²	tsei⁵²	tsei⁵²	tʂei⁵²	tʂei⁵²	tʂei⁵²	
宅		tsei⁵²	tsei⁵²	tsei⁵²	tsei⁵²	tsei⁵²	tʂei⁵²	tʂei⁵²	tʂei⁵²	
窄		tsei²⁴	tsei²⁴	tsei²⁴	tsei²⁴	tsei²⁴	tʂei²⁴	tʂei²⁴	tʂei²⁴	
生		səŋ²⁴	səŋ²⁴	səŋ²⁴	səŋ²⁴	səŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	
甥		səŋ⁴⁴	səŋ⁴⁴	səŋ⁴⁴	səŋ⁴⁴	səŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	
省		səŋ⁴⁴	səŋ⁴⁴	səŋ⁴⁴	səŋ⁴⁴	səŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	ʂəŋ⁴⁴	
更		kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	
羹		kəŋ⁴⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ²⁴	kəŋ⁴⁴	kəŋ²⁴	kəŋ⁴⁴	
更	~加	kəŋ⁴¹	kəŋ⁴¹	kəŋ⁴¹	kəŋ⁴¹	kəŋ⁴¹	kəŋ⁴¹	kəŋ⁴¹	kəŋ⁴¹	
格		kei²⁴	kei²⁴	kei²⁴	kei²⁴	kei²⁴	kei²⁴	kei²⁴	kei²⁴	
坑		kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ²⁴	kʰəŋ²⁴	
客		kʰei²⁴	kʰei²⁴	kʰei²⁴	kʰei²⁴	kʰei²⁴	kʰei²⁴	kʰei²⁴	kʰei²⁴	
织		tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	
职		tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	tʂʅ²⁴	
秤		tʂʰəŋ⁴¹	tʂʰəŋ⁴¹	tʂʰəŋ⁴¹	tʂʰəŋ⁴¹	tʂʰəŋ⁴¹	tʂʰəŋ⁴¹	tʂʰəŋ⁴¹	tʂʰəŋ⁴¹	
绳		ʂəŋ⁵²	ʂəŋ⁵²	ʂəŋ⁵²	ʂəŋ⁵²	ʂəŋ⁵²	ʂəŋ⁵²	ʂəŋ⁵²	ʂəŋ⁵²	
剩		ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	
食		ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	ʂʅ⁵²	
升		ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	ʂəŋ²⁴	
胜		ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	ʂəŋ⁴¹	
识		ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	ʂʅ²⁴	
饰		ʂʅ⁴¹	ʂʅ⁴¹	ʂʅ⁴¹	ʂʅ⁴¹	ʂʅ⁴¹	ʂʅ⁴¹	ʂʅ⁴¹	ʂʅ⁴¹	
承		tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	tʂʰəŋ⁵²	
植		tʂʅ⁵²	tʂʅ⁵²	tʂʅ⁵²	tʂʅ⁵²	tʂʅ⁵²	tʂʅ⁵²	tʂʅ⁵²	tʂʅ⁵²	
仍		ʐəŋ⁴⁴	ʐəŋ⁴⁴	zəŋ⁴⁴	zəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	ʐəŋ⁴⁴	
扔		ʐəŋ²⁴	ʐəŋ²⁴	zəŋ²⁴	zəŋ²⁴	zəŋ²⁴	ʐəŋ²⁴	ʐəŋ²⁴	ʐəŋ²⁴	
极		tɕi⁵²	tɕi⁵²	tɕi⁵²	tɕi⁵²	tɕi⁵²	tɕi⁵²	tɕi⁵²	tɕi⁵²	
凝		iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	iŋ⁵²	
兴	~旺	ɕiŋ²⁴	ɕiŋ²⁴	ɕiŋ²⁴	ɕiŋ²⁴	ɕiŋ²⁴	ɕiŋ²⁴	ɕiŋ²⁴	ɕiŋ²⁴	
兴	高~	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	ɕiŋ⁴¹	
