例字	老派	新派	
聰	tsʰoŋ45	tsʰoŋ45	
怱	tsʰoŋ45	tsʰoŋ45	
囱	tsʰoŋ45	tsʰoŋ45	
叢	tsʰoŋ21	tsʰoŋ21	
族	tsʰu21	tsʰu21/tsu21	
送	soŋ213	soŋ213	
速	ɕyu21	su21	
公	koŋ45	koŋ45	
工	koŋ45	koŋ45	
功	koŋ45	koŋ45	
攻	koŋ45	koŋ45	
蚣	koŋ45	koŋ45	
貢	koŋ213	koŋ213	
谷	ku21	ku21	
穀	ku21	ku21	
空	kʰoŋ45	kʰoŋ45	
孔	kʰoŋ53	kʰoŋ53	
空	kʰoŋ45	kʰoŋ45	
控	kʰoŋ213	kʰoŋ213	
鳳	foŋ213	foŋ213	
伏	fu21	fu21	
服	fu21	fu21	
袱	fu21	fu21	
復	fu21	fu213	
隆	loŋ21	loŋ21	
窿	loŋ21	loŋ21	
六	lu21	lu21/liəu21	
陸	lu21	lu213	
嵩	soŋ45	soŋ45	
宿	ɕyu21	su21/su213	
肅	ɕyu21	su213	
中	tsoŋ45	tsoŋ45	
忠	tsoŋ45	tsoŋ45	
衷	tsoŋ45	tsoŋ45	
中	tsoŋ213	tsoŋ213	
竹	tsu21	tsu21	
築	tsu21	tsu213	
畜	tsʰu21	tsʰu21	
蟲	tsʰoŋ21	tsʰoŋ21	
仲	tsoŋ213	tsoŋ213	
逐	tsu21	tsu21	
軸	tsu21	tsu21/tsəu21	
崇	tsʰoŋ21	tsʰoŋ21	
縮	so21	so21	
終	tsoŋ45	tsoŋ45	
衆	tsoŋ213	tsoŋ213	
粥	tsəu45	tsəu45	
祝	tsu21	tsu21/tsu213	
充	tsʰoŋ45	tsʰoŋ45	
銃	tsʰoŋ213	tsʰoŋ45	
叔	su21	su21	
淑	su21	su21	
熟	su21	su21	
絨	zoŋ21	zoŋ21	
戎	zoŋ21	zoŋ21	
肉	zəu213	zəu213	
弓	koŋ45	koŋ45	
躬	koŋ45	koŋ45	
宫	koŋ45	koŋ45	
菊	ʨyu21	ʨyu21/ʨy21	
俗	ɕyu21	su21	
續	ɕy213	ɕyu213/ɕy213	
冢	tsoŋ53	tsoŋ53	
寵	tsʰoŋ53	tsʰoŋ53	
重	tsʰoŋ21	tsʰoŋ21	
重	tsoŋ213	tsoŋ213	
鐘	tsoŋ45	tsoŋ45	
鍾	tsoŋ45	tsoŋ45	
盅	tsoŋ45	tsoŋ45	
種	tsoŋ53	tsoŋ53	
腫	tsoŋ53	tsoŋ53	
種	tsoŋ213	tsoŋ53	
燭	tsu21	tsu21	
囑	su21	tsu53	
衝	tsʰoŋ45	tsʰoŋ45	
觸	tsu21	tsu21	
贖	su21	su21	
舂	tsʰoŋ45	tsʰoŋ45	
束	su21	su213	
蜀	su21	su53	
屬	su21	su53	
茸	zoŋ21	zoŋ21	
宂	zoŋ53	zoŋ53	
辱	zu21	zu53	
褥	zu21	zu21	
恭	koŋ45	koŋ45	
供	koŋ213	koŋ213	
龔	koŋ45	koŋ45	
拱	koŋ53	koŋ53	
鞏	koŋ53	koŋ53	
供	koŋ213	koŋ213	
恐	kʰoŋ53	kʰoŋ53	
曲	ʨʰyu21	ʨʰyu21/ʨy53	
共	kʰoŋ213	kʰoŋ213	
局	ʨyu21	ʨyu21/ʨy21	
玉	yu213	yu213/y213	
獄	y21	yu213/y213	
胸	ɕyŋ45	ɕyŋ45	
兇	ɕyŋ45	ɕyŋ45	
凶	ɕyŋ45	ɕyŋ45	
雍	yŋ45	yŋ45	
多	to45	to45	
拖	tʰo45	tʰo45	
他	tʰa45	tʰa45	
駝	tʰo21	tʰo21	
馱	tʰo21	tʰo21	
舵	to213	to213	
大	ta213	ta213	
挪	lo45	lo21	
哪	la53	la53	
哪	la53	la53	
那	la213	la213	
羅	lo21	lo21	
鑼	lo21	lo21	
籮	lo21	lo21	
蘿	lo21	lo21	
左	tso53	tso53	
佐	tso53	tso21	
搓	tsʰo45	tsʰo45	
娑	so45	so45	
歌	ko45	ko45	
哥	ko45	ko45	
個	ko213	ko213	
可	kʰo53	kʰo53	
蛾	o21	ŋo21	
鵝	o21	o21	
俄	o21	o21	
我	ŋo53	ŋo53	
餓	o213	ŋo213	
荷	xo21	xo21	
何	xo21	xo21	
河	xo21	xo21	
荷	xo21	xo21	
荷	xo21	xo21	
賀	xo213	xo213	
阿	o45	o45	
茄	ʨʰie21	ʨʰie21	
波	po45	po45	
菠	po45	po45	
簸	po53	po53	
鍋	ko45	ko45	
戈	ko45	ko45	
果	ko53	ko53	
裹	ko53	ko53	
餜	kʰo45	kʰo45	
過	ko213	ko213	
科	kʰo45	kʰo45	
窠		kʰo45	
棵	kʰo53	kʰo53	
顆	kʰo53	kʰo53	
課	kʰo213	kʰo213	
訛	ŋo21	ŋo213	
卧	o213	o213	
火	xo53	xo53	
夥	xo53	xo53	
伙	xo53	xo53	
貨	xo213	xo213	
和	xo21	xo21	
禾	xo21	xo21	
禍	xo213	xo213	
和	xo21	xo21	
倭	o45	o45	
窩	o45	o45	
萵	o45	o45	
瘸	ʨʰye21	ʨʰye21	
靴	ɕye45	ɕye45	
巴	pa45	pa45	
芭	pa45	pa45	
疤	pa45	pa45	
吧	pa45	pa45	
笆	pa45	pa45	
把	pa53	pa53	
垻	pa213	pa213	
欛	pa213	pa213	
壩	pa213	pa213	
爸	pa21	pa21	
怕	pʰa213	pʰa213	
帕	pʰa213	pʰa213	
爬	pʰa21	pʰa21/pa45	
琶	pʰa45	pʰa45	
杷	pʰa45	pa45	
嫁	ʨia213	ʨia213	
稼	ʨia45	ʨia45	
價	ʨia213	ʨia213	
牙	ia21	ia21	
芽	ia21	ia21	
衙	ia21	ia21	
伢	ia21	ia21	
蚜	ia21	ia21	
雅	ia53	ia53	
砑	ia213	ia213	
蝦	ɕia45	ɕia45	
蝦	xa45	xa45	
嚇	ɕia213	xe21/ɕia213	
霞	ɕia21	ɕia21	
瑕	ɕia21	ɕia21	
遐	ɕia21	ɕia21	
蝦	ɕia45	ɕia45	
下	ɕia213	ɕia213	
夏	ɕia213	ɕia213	
厦	ɕia213	ɕia213	
下	ɕia213	ɕia213	
夏	ɕia213	ɕia213	
暇	ɕia21	ɕia21	
鴉	ia45	ia45	
丫	ia45	ia45	
椏	ia45	ia45	
啞	ia53	ia53	
亞	ia213	ia213	
姐	ʨie53	ʨie53	
借	ʨie213	ʨie213	
且	ʨʰe53/ʨʰie53	ʨʰie53	
笡	tsʰe45	tsʰe45	
藉	ʨie213	ʨie213	
褯	ɕi21	ɕi21	
些	ɕie45	ɕie45	
寫	ɕie53	ɕie53	
瀉	ɕie213	ɕie213	
卸	ɕie213	ɕie213	
邪	ɕie21	ɕie21	
斜	ɕie21	ɕie21	
謝	ɕie213	ɕie213	
華	xua21	xua21	
樺	xua21	xua21	
蛙	ua45	ua45	
窪	ua45	ua45	
補	pu53	pu53	
譜	pʰu53	pʰu53	
布	pu213	pu213	
佈	pu213	pu213	
鋪	pʰu45	pʰu45	
普	pʰu53	pʰu53	
浦	pʰu53	pʰu53	
鋪	pʰu213	pʰu213	
怖	pu213	pu213	
蒲	pʰu21	pʰu21	
菩	pʰu21	pʰu21	
脯	pʰu53	pʰu53	
葡	pʰu21	pʰu21	
部	pu213	pu213	
簿	pu213	pu213	
步	pu213	pu213	
捕	pʰu45	pʰu45	
模	mu21	mu21	
模	mu21	mu21/mo21	
摹	mo45	mo21	
暮	mo213	mu213	
慕	mo213	mu213	
墓	mo213	mu213	
募	mo213	mu213	
都	tu45	tu45	
都	tu45	təu45	
堵	tu53	tu53	
賭	tu53	tu53	
肚	tu53	tu213	
妒	tu213	tu213	
土	tʰu53	tʰu53	
吐	tʰu53	tʰu53	
吐	tʰu53	tʰu53	
兔	tʰu213	tʰu213	
途	tʰu21	tʰu21	
屠	tʰu21	tʰu21	
徒	tʰu21	tʰu21	
估	ku53	ku53	
牯	ku53	ku53	
股	ku53	ku53	
鼓	ku53	ku53	
賈	ku53	ku53	
故	ku213	ku213	
固	ku213	ku213	
雇	ku213	ku213	
顧	ku213	ku213	
枯	kʰu45	kʰu45	
苦	kʰu53	kʰu53	
庫	kʰu213	kʰu213	
褲	kʰu213	kʰu213	
吴	u21	u21	
蜈	u21	u21	
吾	u21	u21	
梧	u21	u21	
五	u53	u53	
伍	u53	u53	
午	u53	u53	
誤	u213	u213	
悟	u213	u213	
呼	fu45	fu45	
虎	fu53	fu53	
滸	fu53	fu53	
戽	fu213	fu213	
胡	fu21	fu21	
湖	fu21	fu21	
糊	fu21	fu21	
狐	fu21	fu21	
壺	fu21	fu21	
乎	fu21	fu45	
葫	fu21	fu21	
蝴	fu21	fu21	
鬍	fu21	fu21	
户	fu213	fu213	
滬	fu21	fu213	
互	fu213	fu213	
護	fu213	fu213	
瓠	fu213	fu213	
烏	u45	u45	
書	su45	su45	
舒	su45	su45	
鼠	su53	su53	
暑	su53	su53	
黍	su53	su21	
庶	su213	su213	
恕	su213	su213	
墅	su53	su213	
署	su53	su53	
薯	su53	su53	
如	zu21	zu21	
汝	zu53	zu21	
居	ʨy45	ʨyu45/ʨy45	
車	ʨy45	ʨy45	
舉	ʨyu53	ʨyu53/ʨy53	
據	ʨy213	ʨyu213/ʨy213	
鋸	ʨyu213	ʨyu213/ʨy213	
墟	ɕyu45	ɕyu45	
去	ʨʰy213	ʨʰyu213/tʰɕy213	
渠	ʨʰyu21	ʨʰyu21/tʰɕy21	
拒	ʨyu213	ʨyu213/ʨy213	
距	ʨyu213	ʨyu213/ʨy213	
苣	ʨy213	ʨyu213/ʨy213	
魚	yu21	yu21/y21	
漁	yu21	yu21/y21	
語	yu53	yu53/y53	
御	yu213	yu213	
禦	yu213	yu213	
虚	ɕyu45	ɕyu45/ɕy45	
嘘	ɕyu45	ɕy45	
許	ɕyu53	ɕyu53/ɕy53	
於	yu21	yu21/y21	
淤	yu45	yu45/y45	
余	yu21	yu21/y21	
餘	yu21	yu21/y21	
與	yu53	yu53/y53	
予	yu21	ɕy53	
譽	yu213	ɕy213	
預	yu213	yu213/y213	
豫	yu213	yu21	
夫	fu45	fu45	
趣	ʨʰyu213	ʨʰyu213/ʨʰy213	
聚	ʨyu213	ʨyu213/ʨy213	
須	ɕyu45	ɕyu45/ɕy45	
鬚	ɕyu45	ɕyu45/ɕy45	
需	ɕyu45	ɕyu45/ɕy45	
續	ɕyu21	ɕyu213/ɕy213	
誅	tsu45	tsu45	
蛛	tsu45	tsu45	
株	tsu45	tsu45	
拄	tsʰu53	tsʰu53	
駐	tsu213	tsu213	
厨	tsʰu21	tsʰu21	
橱	tsʰu21	tsʰu21	
柱	tsu213	tsu213	
住	tsu213	tsu213	
雛	tsʰu21	tsʰu21	
數	su53	su53	
數	su213	su213	
朱	tsu45	tsu45	
硃	tsu45	tsu45	
珠	tsu45	tsu45	
主	tsu53	tsu53	
注	tsu213	tsu213	
蛀	tsu213	tsu213	
鑄	tsu213	tsu213	
樞	su45	su45	
輸	su45	su45	
戍	su213	su213	
輸	su45	su45	
殊	su45	su45	
豎	su213	su213	
樹	su213	su213	
儒	zu21	zu53	
乳	zu53	zu53	
擩	zu21	zu21	
拘	ʨyu45	ʨy45	
駒	ʨyu45	ʨyu45/ʨy45	
跔	ʨyu45	ʨyu45/ʨy45	
俱	ʨyu213	ʨyu213/ʨy213	
矩	ʨyu53	ʨy53	
句	ʨyu213	ʨy213	
代	tai213	tai213	
袋	tai213	tai213	
逮	tai53	tai53	
乃	lai53	lai53	
耐	lai213	lai213	
來	lai21	lai21	
災	tsai45	tsai45	
栽	tsai45	tsai45	
宰	tsai53	tsai53	
載	tsai53	tsai53	
再	tsai213	tsai213	
載	tsai213	tsai213	
猜	tsʰai45	tsʰuai45/tsʰai45	
彩	tsʰai53	tsʰai53	
採	tsʰai53	tsʰai53	
踩	tsʰai53	tsʰai53	
睬	tsʰai53	tsʰai53	
菜	tsʰai213	tsʰai213	
纔	tsʰai21	tsʰai21	
才	tsʰai21	tsʰai21	
材	tsʰai21	tsʰai21	
財	tsʰai21	tsʰai21	
裁	tsʰai21	tsʰai21	
在	tsai213	tsai213	
載	tsai213	tsai213	
腮	sai45	sai45	
鰓	sai45	sai45	
賽	sai213	sai213	
該	kai45	kai45	
改	kai53	kai53	
概	kʰai213	kai213	
溉	kʰai213	kai213	
開	kʰai45	kʰai45	
凱	kʰai53	kʰai53	
慨	kʰai213	kʰai53/kʰai213	
咳	kʰe21	kʰa21/kʰe21	
呆	tai45	tai45	
磑	ŋai21	ŋən21	
礙	ŋai213	ŋai213	
海	xai53	xai53	
孩	xai21	xai21	
擺	pai53	pai53	
派	pʰai213	pʰai213	
牌	pʰai21	pʰai21	
罷	pa213	pa213	
稗	pai213	pai213	
買	mai53	mai53	
賣	mai213	mai213	
奶	lai53	lai53	
債	tsai213	tsai213	
釵	tsʰai45	tsʰai45	
差	tsʰai45	tsʰai45	
柴	tsʰai21	tsʰai21	
篩	sai45	sai45	
灑	sa53	sa53	
曬	sai213	sai213	
佳	ʨia45	ʨia45	
街	kai45	kai45	
解	ʨiai53	kai53/ʨie53	
懈	ɕiai213	ɕie213	
涯	ia21	ia21	
崖	ia21	ŋai21	
捱	ŋai21	ŋai21	
鞋	xai21	xai21	
解	ɕie213	ɕie213	
解	kai53	ʨie213	
解	kai53	kai53	
蟹	ɕiai213	ɕie213	
蟹	ɕiai213	ɕiai213	
矮	ŋai53	ŋai53	
隘	ŋai213	ŋai213	
敗	pai213	pai213	
邁	mai213	mai213	
寨	tsai213	tsai213	
蔽	pi213	pi213	
敝	pi213	pi213	
弊	pi213	pi213	
幣	pi213	pi213	
斃	pi213	pi213	
例	li213	li213	
厲	li213	li213	
勵	li213	li213	
禮	li53	li53	
麗	li213	li213	
隷	ti213	li213	
莉	li213	li213	
擠	ʨi53	ʨi53	
濟	ʨi213	ʨi213	
妻	ʨʰi45	ʨʰi45	
凄	ʨʰi45	ʨʰi45	
悽	ʨʰi45	ʨʰi45	
砌	ʨʰi213	ʨʰi213/ʨʰi45	
齊	ʨʰi21	ʨʰi21	
臍	ʨʰi21	ʨʰi21	
薺	ʨʰi21	ʨʰi21	
劑	ʨi213	ʨi213	
西	ɕi45	ɕi45	
棲	ʨʰi45	ʨʰi45	
犀	ɕi45	ɕi45	
洗	ɕi53	ɕi53	
細	ɕi213	ɕi213	
婿	ɕi21	ɕy213	
鷄	ʨi45	ʨi45	
稽	ʨi45	ʨi45	
計	ʨi213	ʨi213	
繼	ʨi213	ʨi213	
繫	ɕi213	ʨi213	
髻	ʨi21	ʨi45	
溪	ʨʰi45	ɕi45	
啓	ʨʰi53	ʨʰi53	
契	ʨʰi213	ʨʰi213	
倪	ȵi21	ȵi21	
詣	i213	i213	
奚	ɕi45	ɕi45	
兮	ɕi45	ɕi45	
系	ɕi213	ɕi213	
繫	ɕi213	ɕi213	
係	ɕi213	ɕi213	
縊	i21	i213	
瞖	i213	i213	
杯	pei45	pei45	
輩	pei213	pei213	
背	pei213	pei213	
盔	kuei45	kʰuei45	
魁	kuei45	kʰuei21	
恢	xuei45	xuei45	
詼	xuei45	xuei45	
傀	kʰuei45	kʰuei21	
塊	kʰuei53	kʰuei53	
桅	uei21	uei21	
灰	xuei45	xuei45	
賄	xuei213	xuei213	
悔	xuei53	xuei53	
晦	xuei213	xuei213	
回	xuei21	xuei21	
迴	xuei21	xuei21	
茴	xuei21	xuei21	
徊	xuei21	xuai21	
匯	xuei213	xuei213	
潰	kʰuei213	kʰuei213	
煨	uei45	uei45	
蜕	tʰuei213	tʰuei213	
兑	tuei213	tuei213	
最	tsuei213	tsuei213	
會	kʰuei213	kʰuai213	
劊	kʰuei213	kʰuai213	
檜	xuei213	xuei213	
外	uai213	uai213/uei213	
會	xuei213	xuei213	
會	xuei213	xuei213	
繪	xuei213	xuei213	
乖	kuai45	kuai45	
怪	kuai213	kuai213	
蒯	kʰuai53	kʰuai53	
塊	kʰuai53	kʰuai53	
懷	xuai21	xuai21	
槐	xuai21	xuai21	
淮	xuai21	xuai21	
壞	xuai213	xuai213	
柺	kuai53	kuai53	
掛	kua213	kua213	
卦	kua213	kua213	
褂	kua213	kua213	
歪	uai45	uai45	
靡	mi21	mi21	
離	li21	li21	
籬	li21	li21	
璃	li21	li21	
荔	li213	li213	
離	li21	li21	
紫	tsɿ53	tsɿ53	
雌	tsʰɿ21	tsʰɿ21	
此	tsʰɿ53	tsʰɿ53	
刺	tsʰɿ213	tsɿ213/tsʰɿ213	
疵	tsʰɿ45	tsʰɿ45	
斯	sɿ45	sɿ45	
廝	sɿ45	sɿ45	
撕	sɿ45	sɿ45	
璽	ɕi53	ɕi53	
徙	ɕi53	ɕi21	
賜	tsʰɿ213	tsʰɿ213	
知	tsɿ45	tsɿ45	
蜘	tsɿ45	tsɿ45	
智	tsɿ213	tsɿ213	
池	tsʰɿ21	tsʰɿ21	
馳	tsʰɿ21	tsʰɿ21	
差	tsʰɿ45	tsʰɿ45	
篩	sai45	sai45	
支	tsɿ45	tsɿ45	
枝	tsɿ45	tsɿ45	
肢	tsɿ45	tsɿ45	
梔	tsɿ45	tsɿ45	
紙	tsɿ53	tsɿ53	
只	tsɿ53	tsɿ53	
眵	sɿ53	sɿ53	
侈	tsɿ213	tsʰɿ21	
舐	sɿ213	sɿ213	
施	sɿ45	sɿ45	
翅	tsɿ213	tsɿ213	
施	sɿ45	sɿ45	
匙	sɿ213	sɿ21	
是	sɿ213	sɿ213	
氏	sɿ213	sɿ213	
豉	sɿ45	tsʰɿ53	
兒	ɚ21	ɚ21	
楣	mei21	mei21	
黴	mei21	mei21	
美	mei53	mei53	
媚	mei213	mei213	
寐	mei213	mei213	
地	ti213	ti213	
尼	ȵi21	ȵi21	
呢	ȵi21	ȵi21	
膩	ȵi213	ȵi213	
梨	li21	li21	
履	ly21	lu53	
利	li213	li213	
痢	li213	li213	
資	tsɿ45	tsɿ45	
姿	tsɿ45	tsɿ45	
咨	tsɿ45	tsɿ45	
姊	tsɿ53	tsɿ53	
次	tsʰɿ213	tsʰɿ213	
瓷	tsʰɿ21	tsʰɿ21	
餈	tsʰɿ21	tsʰɿ21	
自	tsɿ213	tsɿ213	
私	sɿ45	sɿ45	
死	sɿ53	sɿ53	
四	sɿ213	sɿ213	
肆	sɿ213	sɿ213	
致	tsɿ213	tsɿ213	
遲	tsʰɿ21	tsʰɿ21	
雉	tsɿ213	tsɿ213	
緻	tsɿ213	tsɿ213	
稚	tsɿ213	tsɿ213	
師	sɿ45	sɿ45	
獅	sɿ45	sɿ45	
螄	sɿ45	sɿ45	
脂	tsɿ53	tsɿ45	
指	tsɿ53	tsɿ53	
旨	tsɿ53	tsɿ53	
至	tsɿ213	tsɿ213	
示	sɿ213	sɿ213	
尸	sɿ45	sɿ45	
屍	sɿ45	sɿ45	
屎	sɿ53	sɿ21	
似	sɿ213	sɿ213	
巳	sɿ213	sɿ213	
祀	sɿ213	sɿ213	
寺	sɿ213	sɿ213	
飼	sɿ213	sɿ213	
嗣	sɿ213	sɿ213	
置	tsɿ21	tsɿ213	
癡	tsʰɿ45	tsʰɿ45	
耻	tsʰɿ53	tsʰɿ53	
持	tsʰɿ21	tsʰɿ21	
峙	tsɿ213	tsɿ213	
痔	tsɿ213	tsɿ213	
治	tsɿ213	tsɿ213	
淄	tsɿ45	tsɿ45	
滓	tsɿ53	tsɿ53	
厠	tsʰe21	tsʰe21	
士	sɿ213	sɿ213	
仕	sɿ213	sɿ213	
柿	sɿ213	sɿ213	
事	sɿ213	sɿ213	
史	sɿ53	sɿ53	
使	sɿ53	sɿ53	
駛	sɿ53	sɿ53	
之	tsɿ45	tsɿ45	
芝	tsɿ45	tsɿ45	
止	tsɿ53	tsɿ53	
址	tsɿ53	tsɿ53	
趾	tsɿ53	tsɿ53	
志	tsɿ213	tsɿ213	
痣	tsɿ213	tsɿ213	
誌	tsɿ213	tsɿ213	
齒	tsʰɿ53	tsʰɿ53	
詩	sɿ45	sɿ45	
始	sɿ53	sɿ53	
試	sɿ213	sɿ213	
時	sɿ21	sɿ21	
市	sɿ213	sɿ213	
恃	sɿ213	sɿ213	
侍	sɿ213	sɿ213	
而	ɚ21	ɚ21	
耳	ɚ53	ɚ53	
汽	ʨʰi213	ʨʰi213	
祈	ʨʰi21	ʨʰi53	
毅	in213/i213	i213	
希	ɕi45	ɕi45	
稀	ɕi45	ɕi45	
衣	i45	i45	
依	i45	i45	
累	luei53	luei53	
累	luei213	lei213/luei213	
嘴	tsuei53	tsuei53	
髓	suei53	suei53/suei21	
隨	suei21	suei21	
揣	tsʰuai45	tsʰuai45	
揣	tsʰuai53	tsʰuai53	
吹	tsʰuei45	tsʰuei45	
炊	tsʰuei45	tsʰuei45	
垂	tsʰuei21	tsʰuei21	
睡	suei213	suei213	
瑞	zuei213	zuei213	
蕊	zuei53	zuei53	
規	kuei45	kuei45	
詭	kuei53	kuei53	
虧	kʰuei45	kʰuei45	
窺	kʰuei45	kʰuei45	
跪	kʰuei213	kuei213/kʰuei213	
危	uei21	uei21	
僞	uei213	uei53	
麾	xuei45	xuei45	
毁	xuei53	xuei53	
萎	uei45	uei53	
委	uei53	uei53	
餵	uei213	uei213	
爲	uei213	uei21	
爲	uei213	uei213	
壘	luei53	luei53	
類	luei213	luei213	
淚	luei213	luei213	
醉	tsuei213	tsuei213	
翠	tsʰuei213	tsʰuei213	
悴	tsʰuei213	tsʰuei213	
雖	suei45	suei45	
尾	uei53	uei53	
未	uei213	uei213	
味	uei213	uei213	
歸	kuei45	kuei45	
鬼	kuei53	kuei53	
貴	kuei213	kuei213	
巍	uei45	uei45	
魏	uei213	uei213	
揮	xuei45	xuei45	
輝	xuei45	xuei45	
徽	xuei45	xuei45	
諱	xuei213	xuei213	
卉	xuei213	xuei213	
威	uei45	uei45	
畏	uei213	uei213	
慰	uei213	uei213	
圍	uei21	uei21	
違	uei21	uei21	
偉	uei53	uei53	
葦	uei21	uei53	
緯	uei53	uei53	
胃	uei213	uei213	
謂	uei213	uei213	
蝟	uei213	uei213	
彙	xuei213	xuei213	
褒	pau45	pau45	
保	pau53	pau53	
寶	pau53	pau53	
堡	pau53	pau53	
報	pau213	pau213	
袍	pʰau21	pʰau21	
抱	pau213	pau213	
暴	pau213	pau213	
菢	pau213	pau213	
毛	mau21	mau21	
冒	mau213	mau213	
帽	mau213	mau213	
刀	tau45	tau45	
叨	tau45	tau45	
倒	tau53	tau53	
島	tau53	tau53	
曹	tsʰau21	tsʰau21	
槽	tsʰau21	tsʰau21	
造	tsʰau213	tsau213	
皂	tsau213	tsau213	
騷	sau45	sau45	
臊	sau45	sau45	
嫂	sau53	sau53	
掃	sau53	sau53	
燥	tsʰau213	tsau213	
掃	sau53	sau53	
高	kau45	kau45	
膏	kau45	kau45	
篙	kau45	kau45	
糕	kau45	kau45	
羔	kau45	kau45	
稿	kau53	kau53	
告	kau213	kau213	
膏	kau45	kau45	
考	kʰau53	kʰau53	
烤	kʰau53	kʰau53	
拷	kʰau53	kʰau53	
靠	kʰau213	kʰau213	
犒	kʰau213	kʰau213	
銬	kʰau213	kʰau213	
熬	ŋau21	ŋau213	
傲	ŋau213	ŋau213	
蒿	xau45	xau45	
薅	xau45	xau45	
好	xau53	xau53	
好	xau213	xau213	
耗	xau213	xau213	
毫	xau21	xau21	
豪	xau21	xau21	
壕	xau21	xau21	
號	xau21	xau21	
浩	xau213	xau213	
號	xau213	xau213	
爊	ŋau45	ŋau45	
襖	ŋau53	ŋau53	
懊	ŋau213	ŋau213	
奥	ŋau213	au213	
交	ʨiau45	ʨiau45	
膠	ʨiau45	ʨiau45	
郊	ʨiau45	ʨiau45	
教	ʨiau45	ʨiau45	
茭	ʨiau45	ʨiau45	
絞	ʨiau53	ʨiau53	
狡	ʨiau53	ʨiau53	
鉸	ʨiau53	ʨiau53	
搞	kau53	kau53	
攪	ʨiau53	ʨiau53	
教	ʨiau213	ʨiau213	
較	ʨiau213	ʨiau213	
酵	ɕiau213	ɕiau213	
校	ʨiau213	ʨiau213	
覺	ʨiau213	ʨiau213	
窖	ʨiau213	ʨiau213	
敲	kʰau45	kʰau45	
巧	ʨʰiau53	ʨʰiau53	
咬	ȵiau53	ȵiau53	
哮	ɕiau213	ɕiau213	
孝	ɕiau213	ɕiau213	
淆	ɕiau21	ɕiau21	
肴	iau21	iau21	
校	ɕiau213	ɕiau213	
校	ɕiau213	ɕiau213	
效	ɕiau213	ɕiau213	
凹	ŋau45	ŋau45	
坳	ŋau213	ŋau213	
拗	ŋau213	ŋau53	
臕	piau45	piau45	
標	piau45	piau45	
表	piau53	piau53	
錶	piau53	piau53	
婊	piau53	piau53	
飄	pʰiau45	pʰiau45	
漂	pʰiau213	pʰiau213	
票	pʰiau213	pʰiau213	
漂	pʰiau213	pʰiau213	
瓢	pʰiau21	pʰiau21	
嫖	pʰiau21	pʰiau21	
薸	pʰiau45	pʰiau21	
招	tsau45	tsau45	
沼	tsau53	tsau45	
照	tsau213	tsau213	
詔	tsau213	tsau213	
燒	sau45	sau45	
少	sau53	sau53	
少	sau213	sau213	
韶	sau21	sau21	
紹	sau213	sau213	
邵	sau213	sau213	
饒	zau21	zau21	
橈	zau21	zau21	
擾	zau53	zau53	
繞	zau53	zau53	
繞	zau53	zau53	
驕	ʨiau45	ʨiau45	
嬌	ʨiau45	ʨiau45	
矯	ʨiau53	ʨiau53	
蕎	ʨʰiau21	ʨʰiau21	
僑	ʨʰiau21	ʨʰiau21	
橋	ʨʰiau21	ʨʰiau21	
喬	ʨʰiau21	ʨʰiau21	
翹	ʨʰiau213	ʨʰiau213	
轎	ʨiau213	ʨiau213	
囂	ɕiau45	ɕiau45	
妖	iau45	iau45	
邀	iau45	iau45	
腰	iau45	iau45	
要	iau45	iau45	
夭	iau45	iau45	
要	iau213	iau213	
摇	iau21	iau21	
謡	iau21	iau21	
姚	iau21	iau21	
窑	iau21	iau21	
舀	iau53	iau53	
遥	iau21	iau21	
耀	iau213	iau213	
鹞	iau213	iau21	
刁	tiau45	tiau45	
雕	tiau45	tiau45	
牡	mau53	mu53	
母	mu53	mu53	
拇	mu53	mu53	
戊	u213	u213	
茂	moŋ213	mau213	
貿	moŋ213	mau213	
兜	təu45	təu45	
斗	təu53	təu53	
抖	tʰəu53	tʰəu53/təu53	
陡	təu53	təu53	
鬥	təu213	təu213	
偷	tʰəu45	tʰəu45	
㪗	tʰəu53	tʰəu53	
透	tʰəu213	tʰəu213	
頭	tʰəu21	tʰəu21	
投	tʰəu21	tʰəu21	
豆	təu213	təu213	
痘	təu213	təu213	
逗	təu213	təu213	
樓	ləu21	ləu21	
摟	ləu53	ləu53	
簍	ləu53	ləu53	
摟	ləu53	ləu53	
漏	ləu213	ləu213	
陋	ləu213	ləu213	
走	tsəu53	tsəu53	
奏	tsəu213	tsəu213	
凑	tsʰəu213	tsʰəu213	
叟	səu213	səu213	
嗽	səu213	səu213	
勾	kəu45	kəu45	
鈎	kəu45	kəu45	
溝	kəu45	kəu45	
狗	kəu53	kiəu53/kəu53	
苟	kəu53	kiəu53	
垢	kəu213	kiəu213	
够	kəu213	kiəu213/kəu213	
彀	kəu213	kəu213	
構	kəu213	kiəu213	
購	kəu213	kiəu213	
勾	kəu45	kiəu45	
柳	liəu53	liəu53	
溜	liəu45	liəu45	
餾	liəu21	liəu21	
廖	liau213	liau213	
揪	ʨiəu45	ʨiəu45	
酒	ʨiəu53	ʨiəu53	
秋	ʨʰiəu45	ʨʰiəu45	
秋	ʨʰiəu45	ʨʰiəu45	
鰍	ʨʰiəu45	ʨʰiəu45	
就	ʨiəu213	ʨiəu213	
修	ɕiəu45	ɕiəu45	
羞	ɕiəu45	ɕiəu45	
秀	ɕiəu213	ɕiəu213	
繡	ɕiəu213	ɕiəu213	
