汉字	临沧	凤庆	云县	双江	永德	镇康	耿马	沧源
郭聒{~耳}蝈	ko³¹	ko³¹	ko³¹	ko³¹	ko³¹	ko³¹	ko³¹	ko³¹
扩阔廓	kʰo³¹	kʰuɤ³¹	kʰuɤ³¹	kʰuɤ³¹	kʰuɤ³¹	kʰuɤ³¹	kʰuɤ³¹	kʰuɤ³¹
括	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹	kuᴀ³¹
和{~稀泥}藿	xo³¹	xo³¹	xo³¹	xo³¹	xo³¹	xo³¹	xo³¹	xo³¹
或惑获	xo³¹	xuɤ³¹	xuɤ³¹	xuɤ³¹	xuɤ³¹	xuɤ³¹	xuɤ³¹	xuɤ³¹
捉拙卓桌	tʂo³¹	tʂo³¹	tʂo³¹	tʂo³¹	tʂo³¹	tʂo³¹	tso³¹	tso³¹
啄{~食}	tʂuᴀ³¹	tʂuᴀ³¹	tʂuᴀ³¹	tʂuᴀ³¹	tʂuᴀ³¹	tʂuᴀ³¹	tsuᴀ³¹	tsuᴀ³¹
戳	tʂʰo³¹	tʂʰo³¹	tʂʰo³¹	tʂʰo³¹	tʂʰo³¹	tʂʰo³¹	tsʰo³¹	tsʰo³¹
绰	tʂʰo³¹	tʂʰo³¹	tʂʰo³¹	tʂʰo³¹	tʂʰo³¹	tʂʰo³¹	tsʰo³¹	tsʰo³¹
说	ʂo³¹	ʂo³¹	ʂo³¹	ʂo³¹	ʂo³¹	ʂo³¹	so³¹	so³¹
硕朔烁	ʂo³¹	ʂo³¹	ʂo³¹	ʂo³¹	ʂo³¹	ʂo³¹	so³¹	so³¹
若弱	ʐo³¹	ʐo³¹	ʐo³¹	ʐo³¹	ʐo³¹	ʐo³¹	zo³¹	zo³¹
作{~揖}	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹
撮{一~头发}	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹
凿{确~}	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹	tso³¹
撮{~箕}	tsʰo³¹	tsʰo³¹	tsʰo³¹	tsʰo³¹	tsʰo³¹	tsʰo³¹	tsʰo³¹	tsʰo³¹
缩	so³¹	so³¹	so³¹	so³¹	so³¹	so³¹	so³¹	so³¹
索	so⁵³	so⁴²	so⁵³	so⁵³	so⁴²	so⁴²	so⁵³	so⁵³
涡莴窝蜗	o⁴⁴	o⁵⁵	o⁵⁵	o⁵⁵	o⁴⁴	o⁵⁵	o⁴⁴	o⁴⁴
我	oŋ⁵³	ŋo⁴²	o⁵³	o⁵³	ŋo⁴²	ŋo⁴²	o⁵³	o⁵³
沃	o²¹³	o⁴⁵	o²¹³	o²¹³	o⁴⁵	o⁴⁵	o²¹³	o²¹³
握	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹	vu³¹
拐	kuaɪ⁵³	kuaɪ⁴²	kuaɪ⁵³	kuaɪ⁵³	kuaɪ⁴²	kuaɪ⁴²	kuaɪ⁵³	kuaɪ⁵³
怪	kuaɪ²¹³	kuaɪ⁴⁵	kuaɪ²¹³	kuaɪ²¹³	kuaɪ⁴⁵	kuaɪ⁴⁵	kuaɪ²¹³	kuaɪ²¹³
块	kʰuaɪ⁵³	kʰuaɪ⁴²	kʰuaɪ⁵³	kʰuaɪ⁵³	kʰuaɪ⁴²	kʰuaɪ⁴²	kʰuaɪ⁵³	kʰuaɪ⁵³
□{拽，~住}	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹	ie³¹
揣{~测}	tʂʰuaɪ⁴⁴	tʂʰuaɪ⁵⁵	tʂʰuaɪ⁵⁵	tʂʰuaɪ⁵⁵	tʂʰuaɪ⁴⁴	tʂʰuaɪ⁵⁵	tsʰuaɪ⁴⁴	tsʰuaɪ⁴⁴
摔{~跤}	ʂuaɪ²¹³	ʂuaɪ⁴⁵	ʂuaɪ²¹³	ʂuaɪ²¹³	ʂuaɪ⁴⁵	ʂuaɪ⁴⁵	suaɪ²¹³	suaɪ²¹³
甩	ʂuaɪ⁵³	ʂuaɪ⁴²	ʂuaɪ⁵³	ʂuaɪ⁵³	ʂuaɪ⁴²	ʂuaɪ⁴²	suaɪ⁵³	suaɪ⁵³
□{甩}	tʂuaɪ⁵³	tʂuaɪ⁴²	tʂuaɪ⁵³	tʂuaɪ⁵³	tʂuaɪ⁴²	tʂuaɪ⁴²	tsuaɪ⁵³	tsuaɪ⁵³
瑰{~丽}	kueɪ²¹³	kueɪ⁴⁵	kueɪ²¹³	kueɪ²¹³	kueɪ⁴⁵	kueɪ⁴⁵	kueɪ²¹³	kueɪ²¹³
诲晦	xueɪ²¹³	xueɪ⁴⁵	xueɪ²¹³	xueɪ²¹³	xueɪ⁴⁵	xueɪ⁴⁵	xueɪ²¹³	xueɪ²¹³
荽{芫~}	sueɪ²¹³	ɕy⁴⁵	ɕy²¹³	ɕi²¹³	ɕy⁴⁵	ɕy⁴⁵	ɕi²¹³	ɕy²¹³
虽	suẽĩ⁴⁴	suẽ⁵⁵	suẽ⁵⁵	suə̃⁵⁵	suə̃⁴⁴	suə̃⁵⁵	suə̃⁴⁴	suə̃⁴⁴
遂{半身不~}	sueɪ²¹³	sueɪ⁴⁵	sueɪ²¹³	sueɪ²¹³	sueɪ⁴⁵	sueɪ⁴⁵	sueɪ²¹³	sueɪ²¹³
髓{骨~}	suẽĩ⁵³	suẽ⁴²	suẽ⁵³	suə̃⁵³	suə̃⁴²	suə̃⁴²	suə̃⁵³	suə̃⁵³
微薇危	veɪ³¹	veɪ³¹	veɪ³¹	veɪ³¹	veɪ³¹	veɪ³¹	veɪ³¹	veɪ³¹
伪{虚~}	veɪ⁵³	veɪ⁴²	veɪ⁵³	veɪ⁵³	veɪ⁴²	veɪ⁴²	veɪ⁵³	veɪ⁵³
虐疟	nio³¹	nio³¹	nio³¹	nio³¹	nio³¹	nio³¹	nio³¹	nio³¹
掠略	lio³¹	nio³¹	nio³¹	nio³¹	nio³¹	nio³¹	nio³¹	nio³¹
撅{~嘴}	tɕie²¹³	tɕye⁴⁵	tɕye²¹³	tɕie²¹³	tɕye⁴⁵	tɕye⁴⁵	tɕie²¹³	tɕye²¹³
觉{自~}角{~斗}脚{~本}爵嚼	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹	tɕio³¹
缺	tɕʰie³¹	tɕʰye³¹	tɕʰye³¹	tɕʰie³¹	tɕʰye³¹	tɕʰye³¹	tɕʰie³¹	tɕʰye³¹
□{瘸，~子}	paɪ⁴⁴	paɪ⁵⁵	paɪ⁵⁵	paɪ⁵⁵	paɪ⁴⁴	paɪ⁵⁵	paɪ⁴⁴	paɪ⁴⁴
阕却鹊榷雀确阙	tɕʰio³¹	tɕʰio³¹	tɕʰio³¹	tɕʰio³¹	tɕʰio³¹	tɕʰio³¹	tɕʰio³¹	tɕʰio³¹
靴	ɕie⁴⁴	ɕye⁵⁵	ɕye⁵⁵	ɕie⁵⁵	ɕye⁴⁴	ɕye⁵⁵	ɕie⁴⁴	ɕye⁴⁴
薛{姓}	ɕie³¹	ɕye³¹	ɕye³¹	ɕie³¹	ɕye³¹	ɕye³¹	ɕie³¹	ɕye³¹
削{剥~}	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹
学	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹	ɕio³¹
雪	ɕie⁵³	ɕye⁴²	ɕye⁵³	ɕie⁵³	ɕye⁴²	ɕye⁴²	ɕie⁵³	ɕye⁵³
血	ɕie³¹	ɕye³¹	ɕye³¹	ɕie³¹	ɕye³¹	ɕye³¹	ɕie³¹	ɕye³¹
约	io³¹	io³¹	io³¹	io³¹	io³¹	io³¹	io³¹	io³¹
岳乐{音～}钥	io³¹	io³¹	io³¹	io³¹	io³¹	io³¹	io³¹	io³¹
悦阅月越粤	ie³¹	ye³¹	ye³¹	ie³¹	ye³¹	ye³¹	ie³¹	ye³¹
跃	iɑo²¹³	iɑo⁴⁵	iɑo²¹³	iɑo²¹³	iɑo⁴⁵	iɑo⁴⁵	iɑo²¹³	iɑo²¹³
绊	pʰã²¹³	pʰã⁴⁵	pʰᴀ̃²¹³	pʰã²¹³	pʰɑ̃⁴⁵	pʰɑ̃⁴⁵	pʰɑ̃²¹³	pʰɑ̃²¹³
埋{~怨}	maɪ³¹	maɪ³¹	maɪ³¹	maɪ³¹	maɪ³¹	maɪ³¹	maɪ³¹	maɪ³¹
帆	fã³¹	fã³¹	fᴀ̃³¹	fã³¹	fɑ̃³¹	fɑ̃³¹	fɑ̃³¹	fɑ̃³¹
栈湛蘸{~水}	tsã²¹³	tsã⁴⁵	tsᴀ̃²¹³	tsã²¹³	tsɑ̃⁴⁵	tsɑ̃⁴⁵	tsɑ̃²¹³	tsɑ̃²¹³
暂	tʂã²¹³	tʂã⁴⁵	tʂᴀ̃²¹³	tʂã²¹³	tʂɑ̃⁴⁵	tʂɑ̃⁴⁵	tsɑ̃²¹³	tsɑ̃²¹³
惭	tʂʰã³¹	tʂʰã³¹	tʂʰᴀ̃³¹	tʂʰã³¹	tʂʰɑ̃³¹	tʂʰɑ̃³¹	tsʰɑ̃³¹	tsʰɑ̃³¹
闷	mẽĩ²¹³	mə̃⁴⁵	mə̃²¹³	mə̃²¹³	mə̃⁴⁵	mə̃⁴⁵	mə̃²¹³	mə̃²¹³
氛	fẽĩ²¹³	fə̃⁴⁵	fə̃²¹³	fə̃²¹³	fə̃⁴⁵	fə̃⁴⁵	fə̃²¹³	fə̃²¹³
焚	fẽĩ⁵³	fə̃⁴²	fə̃⁵³	fə̃⁵³	fə̃⁴²	fə̃⁴²	fə̃⁵³	fə̃⁵³
嫩	nuẽĩ²¹³	nuẽ⁴⁵	nuẽ²¹³	nuə̃²¹³	nuə̃⁴⁵	nuə̃⁴⁵	nuə̃²¹³	nuə̃²¹³
诊	tʂẽĩ⁴⁴	tʂə̃⁵⁵	tʂə̃⁵⁵	tʂə̃⁵⁵	tʂə̃⁴⁴	tʂə̃⁵⁵	tsə̃⁴⁴	tsə̃⁴⁴
晨	ʂẽĩ⁴⁴	ʂə̃⁵⁵	ʂə̃⁵⁵	ʂə̃⁵⁵	ʂə̃⁴⁴	ʂə̃⁵⁵	sə̃⁴⁴	sə̃⁴⁴
衬	tsʰẽĩ²¹³	tsʰə̃⁴⁵	tsʰə̃²¹³	tsʰə̃²¹³	tsʰə̃⁴⁵	tsʰə̃⁴⁵	tsʰə̃²¹³	tsʰə̃²¹³
娠	ʂẽĩ³¹	ʂə̃³¹	ʂə̃³¹	ʂə̃³¹	ʂə̃³¹	ʂə̃³¹	sə̃³¹	sə̃³¹
伸	tʂʰẽĩ⁴⁴	tʂʰə̃⁵⁵	tʂʰə̃⁵⁵	tʂʰə̃⁵⁵	tʂʰə̃⁴⁴	tʂʰə̃⁵⁵	tsʰə̃⁴⁴	tsʰə̃⁴⁴
参{人~}	sẽĩ⁴⁴	sə̃⁵⁵	sə̃⁵⁵	sə̃⁵⁵	sə̃⁴⁴	sə̃⁵⁵	sə̃⁴⁴	sə̃⁴⁴
什{~么}	ʂʅ²¹³	ʂʅ⁴⁵	ʂʅ²¹³	ʂʅ²¹³	ʂʅ⁴⁵	ʂʅ⁴⁵	sɿ²¹³	sɿ²¹³
慎{~重}	tʂʰẽĩ²¹³	tʂʰə̃⁴⁵	tʂʰə̃²¹³	tʂʰə̃²¹³	tʂʰə̃⁴⁵	tʂʰə̃⁴⁵	tsʰə̃²¹³	tsʰə̃²¹³
蜃{海市~楼}	ʂuẽĩ³¹	ʂuẽ³¹	ʂuẽ³¹	ʂuə̃³¹	ʂuə̃³¹	ʂuə̃³¹	suə̃³¹	suə̃³¹
蝙{~蝠}	pie⁴⁴	pie⁵⁵	pie⁵⁵	pie⁵⁵	pie⁴⁴	pie⁵⁵	pie⁴⁴	pie⁴⁴
砭{针~}	pĩ²¹³	piɛ̃⁴⁵	pĩ²¹³	piẽ²¹³	piẽ⁴⁵	piẽ⁴⁵	pĩẽ²¹³	piẽ²¹³
遍	pʰĩ²¹³	pʰiɛ̃⁴⁵	pʰĩ²¹³	pʰiẽ²¹³	pʰiẽ⁴⁵	pʰiẽ⁴⁵	pʰĩẽ²¹³	pʰiẽ²¹³
掂{~量}	tĩ²¹³	tiɛ̃⁴⁵	tĩ²¹³	tiẽ²¹³	tiẽ⁴⁵	tiẽ⁴⁵	tĩẽ²¹³	tiẽ²¹³
笺{信~}歼{~灭}	tɕĩ⁴⁴	tɕiɛ̃⁵⁵	tɕĩ⁵⁵	tɕiẽ⁵⁵	tɕiẽ⁴⁴	tɕiẽ⁵⁵	tɕĩẽ⁴⁴	tɕiẽ⁴⁴
茧	tɕĩ⁵³	tɕyẽ⁴²	tɕyẽ⁵³	tɕiẽ⁵³	tɕỹn⁴²	tɕyẽ⁴²	tɕĩẽ⁵³	tɕyẽ⁵³
溅	tsã²¹³	tsã⁴⁵	tsᴀ̃²¹³	tsã²¹³	tsɑ̃⁴⁵	tsɑ̃⁴⁵	tsɑ̃²¹³	tsɑ̃²¹³
毽{鸡毛~}	tɕĩ²¹³	tɕyẽ⁴⁵	tɕyẽ²¹³	tɕiẽ²¹³	tɕỹn⁴⁵	tɕyẽ⁴⁵	tɕĩẽ²¹³	tɕyẽ²¹³
潜	tɕʰĩ²¹³	tɕʰiɛ̃⁴⁵	tɕʰĩ²¹³	tɕʰiẽ²¹³	tɕʰiẽ⁴⁵	tɕʰiẽ⁴⁵	tɕʰĩẽ²¹³	tɕʰiẽ²¹³
钳	tɕʰĩ³¹	tɕʰyẽ³¹	tɕʰyẽ³¹	tɕʰiẽ³¹	tɕʰỹn³¹	tɕʰyẽ³¹	tɕʰĩẽ³¹	tɕʰyẽ³¹
遣谴	tɕʰĩ⁵³	tɕʰyẽ⁴²	tɕʰyẽ⁵³	tɕʰiẽ⁵³	tɕʰỹn⁴²	tɕʰyẽ⁴²	tɕʰĩẽ⁵³	tɕʰyẽ⁵³
欠	tɕʰĩ²¹³	tɕʰyẽ⁴⁵	tɕʰyẽ²¹³	tɕʰiẽ²¹³	tɕʰỹn⁴⁵	tɕʰyẽ⁴⁵	tɕʰĩẽ²¹³	tɕʰyẽ²¹³
鲜掀	ɕĩ⁴⁴	ɕyẽ⁵⁵	ɕyẽ⁵⁵	ɕiẽ⁵⁵	ɕỹn⁴⁴	ɕyẽ⁵⁵	ɕĩẽ⁴⁴	ɕyẽ⁴⁴
纤	tɕʰĩ⁴⁴	tɕʰiɛ̃⁵⁵	tɕʰĩ⁵⁵	tɕʰiẽ⁵⁵	tɕʰiẽ⁴⁴	tɕʰiẽ⁵⁵	tɕʰĩẽ⁴⁴	tɕʰiẽ⁴⁴
舷弦衔	ɕĩ³¹	ɕyẽ³¹	ɕyẽ³¹	ɕiẽ³¹	ɕỹn³¹	ɕyẽ³¹	ɕĩẽ³¹	ɕyẽ³¹
羡	ɕĩ²¹³	ɕyẽ⁴⁵	ɕyẽ²¹³	ɕiẽ²¹³	ɕỹn⁴⁵	ɕyẽ⁴⁵	ɕĩẽ²¹³	ɕyẽ²¹³
炎研	ĩ⁴⁴	iɛ̃⁵⁵	ĩ⁵⁵	iẽ⁵⁵	iẽ⁴⁴	iẽ⁵⁵	ĩẽ⁴⁴	iẽ⁴⁴
岩	aɪ³¹	aɪ³¹	aɪ³¹	aɪ³¹	aɪ³¹	aɪ³¹	aɪ³¹	aɪ³¹
檐	ĩ³¹	yẽ³¹	yẽ³¹	iẽ³¹	ỹn³¹	yẽ³¹	ĩẽ³¹	yẽ³¹
偃奄掩衍	ĩ⁴⁴	iɛ̃⁵⁵	ĩ⁵⁵	iẽ⁵⁵	iẽ⁴⁴	iẽ⁵⁵	ĩẽ⁴⁴	iẽ⁴⁴
鬓殡	pĩ⁴⁴	pĩ⁵⁵	pĩ⁵⁵	pĩ⁵⁵	pĩ⁴⁴	pĩ⁵⁵	pĩ⁴⁴	pĩ⁴⁴
拼{~命}	pʰĩ⁵³	pʰĩ⁴²	pʰĩ⁵³	pʰĩ⁵³	pʰĩ⁴²	pʰĩ⁴²	pʰĩ⁵³	pʰĩ⁵³
凛{~然}	lĩ³¹	lĩ³¹	lĩ³¹	lĩ³¹	lĩ³¹	lĩ³¹	lĩ³¹	lĩ³¹
浸{~透}	tɕĩ²¹³	tɕĩ⁴⁵	tɕĩ²¹³	tɕĩ²¹³	tɕĩ⁴⁵	tɕĩ⁴⁵	tɕĩ²¹³	tɕĩ²¹³
侵	tɕĩ⁴⁴	tɕĩ⁵⁵	tɕĩ⁵⁵	tɕĩ⁵⁵	tɕĩ⁴⁴	tɕĩ⁵⁵	tɕĩ⁴⁴	tɕĩ⁴⁴
寝	ɕĩ⁵³	ɕĩ⁴²	ɕĩ⁵³	ɕĩ⁵³	ɕĩ⁴²	ɕĩ⁴²	ɕĩ⁵³	ɕĩ⁵³
帮邦梆浜	pã⁴⁴	pã⁵⁵	pᴀ̃⁵⁵	pã⁵⁵	pɑ̃⁴⁴	pɑ̃⁵⁵	pɑ̃⁴⁴	pɑ̃⁴⁴
绑榜膀{~子}	pã⁵³	pã⁴²	pᴀ̃⁵³	pã⁵³	pɑ̃⁴²	pɑ̃⁴²	pɑ̃⁵³	pɑ̃⁵³
棒	pã²¹³	pã⁴⁵	pᴀ̃²¹³	pã²¹³	pɑ̃⁴⁵	pɑ̃⁴⁵	pɑ̃²¹³	pɑ̃²¹³
谤磅	pã⁵³	pã⁴²	pᴀ̃⁵³	pã⁵³	pɑ̃⁴²	pɑ̃⁴²	pɑ̃⁵³	pɑ̃⁵³
蚌	poŋ²¹³	poŋ⁴⁵	poŋ²¹³	poŋ²¹³	poŋ⁴⁵	poŋ⁴⁵	poŋ²¹³	poŋ²¹³
傍	pʰã³¹	pʰã³¹	pʰᴀ̃³¹	pʰã³¹	pʰɑ̃³¹	pʰɑ̃³¹	pʰɑ̃³¹	pʰɑ̃³¹
乓{乒~球}	pʰoŋ⁵³	pʰoŋ⁴²	pʰoŋ⁵³	pʰoŋ⁵³	pʰoŋ⁴²	pʰoŋ⁴²	pʰoŋ⁵³	pʰoŋ⁵³
彷庞旁磅膀{~胱}螃	pʰã³¹	pʰã³¹	pʰᴀ̃³¹	pʰã³¹	pʰɑ̃³¹	pʰɑ̃³¹	pʰɑ̃³¹	pʰɑ̃³¹
胖	pʰã²¹³	pʰã⁴⁵	pʰᴀ̃²¹³	pʰã²¹³	pʰɑ̃⁴⁵	pʰɑ̃⁴⁵	pʰɑ̃²¹³	pʰɑ̃²¹³
忙芒盲氓茫	mã³¹	mã³¹	mᴀ̃³¹	mã³¹	mɑ̃³¹	mɑ̃³¹	mɑ̃³¹	mɑ̃³¹
莽蟒	mã⁵³	mã⁴²	mᴀ̃⁵³	mã⁵³	mɑ̃⁴²	mɑ̃⁴²	mɑ̃⁵³	mɑ̃⁵³
方芳坊{牌～}	fã⁴⁴	fã⁵⁵	fᴀ̃⁵⁵	fã⁵⁵	fɑ̃⁴⁴	fɑ̃⁵⁵	fɑ̃⁴⁴	fɑ̃⁴⁴
防妨房	fã³¹	fã³¹	fᴀ̃³¹	fã³¹	fɑ̃³¹	fɑ̃³¹	fɑ̃³¹	fɑ̃³¹
肪	fã⁵³	fã⁴²	fᴀ̃⁵³	fã⁵³	fɑ̃⁴²	fɑ̃⁴²	fɑ̃⁵³	fɑ̃⁵³
访仿纺舫	fã⁵³	fã⁴²	fᴀ̃⁵³	fã⁵³	fɑ̃⁴²	fɑ̃⁴²	fɑ̃⁵³	fɑ̃⁵³
放	fã²¹³	fã⁴⁵	fᴀ̃²¹³	fã²¹³	fɑ̃⁴⁵	fɑ̃⁴⁵	fɑ̃²¹³	fɑ̃²¹³
当档铛	tã⁴⁴	tã⁵⁵	tᴀ̃⁵⁵	tã⁵⁵	tɑ̃⁴⁴	tɑ̃⁵⁵	tɑ̃⁴⁴	tɑ̃⁴⁴
挡党	tã⁵³	tã⁴²	tᴀ̃⁵³	tã⁵³	tɑ̃⁴²	tɑ̃⁴²	tɑ̃⁵³	tɑ̃⁵³
当{~作}荡	tã²¹³	tã⁴⁵	tᴀ̃²¹³	tã²¹³	tɑ̃⁴⁵	tɑ̃⁴⁵	tɑ̃²¹³	tɑ̃²¹³
档	tã⁵³	tã⁴²	tᴀ̃⁵³	tã⁵³	tɑ̃⁴²	tɑ̃⁴²	tɑ̃⁵³	tɑ̃⁵³
汤	tʰã⁴⁴	tʰã⁵⁵	tʰᴀ̃⁵⁵	tʰã⁵⁵	tʰɑ̃⁴⁴	tʰɑ̃⁵⁵	tʰɑ̃⁴⁴	tʰɑ̃⁴⁴
唐溏塘搪糖堂膛螳棠	tʰã³¹	tʰã³¹	tʰᴀ̃³¹	tʰã³¹	tʰɑ̃³¹	tʰɑ̃³¹	tʰɑ̃³¹	tʰɑ̃³¹
倘淌躺	tʰã⁵³	tʰã⁴²	tʰᴀ̃⁵³	tʰã⁵³	tʰɑ̃⁴²	tʰɑ̃⁴²	tʰɑ̃⁵³	tʰɑ̃⁵³
烫趟	tʰã²¹³	tʰã⁴⁵	tʰᴀ̃²¹³	tʰã²¹³	tʰɑ̃⁴⁵	tʰɑ̃⁴⁵	tʰɑ̃²¹³	tʰɑ̃²¹³
囊	nã³¹	nã³¹	nᴀ̃³¹	nã³¹	nɑ̃³¹	nɑ̃³¹	nɑ̃³¹	nɑ̃³¹
郎廊狼琅锒	lã³¹	lã³¹	lᴀ̃³¹	lã³¹	lɑ̃³¹	lɑ̃³¹	lɑ̃³¹	lɑ̃³¹
螂{螳~}	lã⁴⁴	lã⁵⁵	lᴀ̃⁵⁵	lã⁵⁵	lɑ̃⁴⁴	lɑ̃⁵⁵	lɑ̃⁴⁴	lɑ̃⁴⁴
朗	lã⁵³	lã⁴²	lᴀ̃⁵³	lã⁵³	lɑ̃⁴²	lɑ̃⁴²	lɑ̃⁵³	lɑ̃⁵³
浪蒗	lã²¹³	lã⁴⁵	lᴀ̃²¹³	lã²¹³	lɑ̃⁴⁵	lɑ̃⁴⁵	lɑ̃²¹³	lɑ̃²¹³
冈刚纲钢肛缸	kã⁴⁴	kã⁵⁵	kᴀ̃⁵⁵	kã⁵⁵	kɑ̃⁴⁴	kɑ̃⁵⁵	kɑ̃⁴⁴	kɑ̃⁴⁴
港	kã⁵³	kã⁴²	kᴀ̃⁵³	kã⁵³	kɑ̃⁴²	kɑ̃⁴²	kɑ̃⁵³	kɑ̃⁵³
岗	kã⁴⁴	kã⁵⁵	kᴀ̃⁵⁵	kã⁵⁵	kɑ̃⁴⁴	kɑ̃⁵⁵	kɑ̃⁴⁴	kɑ̃⁴⁴
杠	kã²¹³	kã⁴⁵	kᴀ̃²¹³	kã²¹³	kɑ̃⁴⁵	kɑ̃⁴⁵	kɑ̃²¹³	kɑ̃²¹³
康慷糠	kʰã⁴⁴	kʰã⁵⁵	kʰᴀ̃⁵⁵	kʰã⁵⁵	kʰɑ̃⁴⁴	kʰɑ̃⁵⁵	kʰɑ̃⁴⁴	kʰɑ̃⁴⁴
扛	kʰã³¹	kʰã³¹	kʰᴀ̃³¹	kʰã³¹	kʰɑ̃³¹	kʰɑ̃³¹	kʰɑ̃³¹	kʰɑ̃³¹
亢伉抗炕	kʰã²¹³	kʰã⁴⁵	kʰᴀ̃²¹³	kʰã²¹³	kʰɑ̃⁴⁵	kʰɑ̃⁴⁵	kʰɑ̃²¹³	kʰɑ̃²¹³
夯	xã⁴⁴	xã⁵⁵	xᴀ̃⁵⁵	xã⁵⁵	xɑ̃⁴⁴	xɑ̃⁵⁵	xɑ̃⁴⁴	xɑ̃⁴⁴
杭行{同~}	xã³¹	xã³¹	xᴀ̃³¹	xã³¹	xɑ̃³¹	xɑ̃³¹	xɑ̃³¹	xɑ̃³¹
巷{~道}	xã²¹³	xã⁴⁵	xᴀ̃²¹³	xã²¹³	xɑ̃⁴⁵	xɑ̃⁴⁵	xɑ̃²¹³	xɑ̃²¹³
张章獐彰樟蟑	tʂã⁴⁴	tʂã⁵⁵	tʂᴀ̃⁵⁵	tʂã⁵⁵	tʂɑ̃⁴⁴	tʂɑ̃⁵⁵	tsɑ̃⁴⁴	tsɑ̃⁴⁴
长涨掌	tʂã⁵³	tʂã⁴²	tʂᴀ̃⁵³	tʂã⁵³	tʂɑ̃⁴²	tʂɑ̃⁴²	tsɑ̃⁵³	tsɑ̃⁵³
丈仗帐账胀涨{~红}障瘴	tʂã²¹³	tʂã⁴⁵	tʂᴀ̃²¹³	tʂã²¹³	tʂɑ̃⁴⁵	tʂɑ̃⁴⁵	tsɑ̃²¹³	tsɑ̃²¹³
昌娟猖	tʂʰã⁴⁴	tʂʰã⁵⁵	tʂʰᴀ̃⁵⁵	tʂʰã⁵⁵	tʂʰɑ̃⁴⁴	tʂʰɑ̃⁵⁵	tsʰɑ̃⁴⁴	tsʰɑ̃⁴⁴
长{~度}场{~院}肠尝常嫦	tʂʰã³¹	tʂʰã³¹	tʂʰᴀ̃³¹	tʂʰã³¹	tʂʰɑ̃³¹	tʂʰɑ̃³¹	tsʰɑ̃³¹	tsʰɑ̃³¹
厂场{上~}敞	tʂʰã⁵³	tʂʰã⁴²	tʂʰᴀ̃⁵³	tʂʰã⁵³	tʂʰɑ̃⁴²	tʂʰɑ̃⁴²	tsʰɑ̃⁵³	tsʰɑ̃⁵³
畅倡唱怅	tʂʰã²¹³	tʂʰã⁴⁵	tʂʰᴀ̃²¹³	tʂʰã²¹³	tʂʰɑ̃⁴⁵	tʂʰɑ̃⁴⁵	tsʰɑ̃²¹³	tsʰɑ̃²¹³
伤商	ʂã⁴⁴	ʂã⁵⁵	ʂᴀ̃⁵⁵	ʂã⁵⁵	ʂɑ̃⁴⁴	ʂɑ̃⁵⁵	sɑ̃⁴⁴	sɑ̃⁴⁴
上{~声}赏	ʂã⁵³	ʂã⁴²	ʂᴀ̃⁵³	ʂã⁵³	ʂɑ̃⁴²	ʂɑ̃⁴²	sɑ̃⁵³	sɑ̃⁵³
晌	ʂɑo⁵³	ʂɑo⁴²	ʂɑo⁵³	ʂɑo⁵³	ʂɑo⁴²	ʂɑo⁴²	sɑo⁵³	sɑo⁵³
上尚	ʂã²¹³	ʂã⁴⁵	ʂᴀ̃²¹³	ʂã²¹³	ʂɑ̃⁴⁵	ʂɑ̃⁴⁵	sɑ̃²¹³	sɑ̃²¹³
裳{衣~}	ʂã⁴⁴	ʂã⁵⁵	ʂᴀ̃⁵⁵	ʂã⁵⁵	ʂɑ̃⁴⁴	ʂɑ̃⁵⁵	sɑ̃⁴⁴	sɑ̃⁴⁴
瓤{丝瓜~}	ʐã³¹	ʐã³¹	ʐᴀ̃³¹	ʐã³¹	ʐɑ̃³¹	ʐɑ̃³¹	zɑ̃³¹	zɑ̃³¹
壤攘嚷	ʐã⁵³	ʐã⁴²	ʐᴀ̃⁵³	ʐã⁵³	ʐɑ̃⁴²	ʐɑ̃⁴²	zɑ̃⁵³	zɑ̃⁵³
让	ʐã²¹³	ʐã⁴⁵	ʐᴀ̃²¹³	ʐã²¹³	ʐɑ̃⁴⁵	ʐɑ̃⁴⁵	zɑ̃²¹³	zɑ̃²¹³
脏{肮~}赃臧	tsã⁴⁴	tsã⁵⁵	tsᴀ̃⁵⁵	tsã⁵⁵	tsɑ̃⁴⁴	tsɑ̃⁵⁵	tsɑ̃⁴⁴	tsɑ̃⁴⁴
