#詞語	音標	解釋
麦摞	mei2 luɤ5	麦子垛。
麦客子	mei2 kʰei3 tsɿ	以替人收割麦子赚取工钱的人。
麦颗子	mei2 kʰuɤ3 tsɿ	麦粒儿。
麦茬子	mei2 tsʰa tsɿ	割过麦子后,留在地里的茬,拔出晒干后可用来烧火。
麦衣	mei i	麦子脱粒后留下的壳。
麦草	mei2 tsʰɔu3	碾压过的麦秆儿。
脉	mei2	脉搏,即动脉的跳动。
脉象	mei2 ɕiaŋ5	即脉搏表现的快慢、沉浮、强弱等情况。
脉气	mei2 tɕʰi5	指住宅或坟地的地理形势,如地脉、山水的方向等。迷信的人认为这些地方的地理环境与家族是否兴旺有很大的关系,把家族兴旺发达看成是祖坟有“脉气”,反之则缺少“脉气”。
谋	mei	谋划并准备做:你~着做啥呢?/这两天有人一直给他~事呢。《说文·言部》:“虑难曰谋。”
谋事	mei sɿ5	谋划着给人找麻烦。
煤烟子	mei iæ̃ tsɿ	煤毒:冬里架炉子要特别注意,不咧让~打咧。煤黑子mei24xei213tsɿ24对煤矿工人的蔑称。
墨盒子	mei xuɤ tsɿ	墨盒。
墨斗	mei təu3	木工用来打直线的工具。从墨斗中拉出墨线,放到木材上,绷紧,提起墨线趁着弹力就打上了墨线。
墨镜	mei5 tɕiŋ5	用黑色或墨绿色镜片做的眼镜,有养目和避免强光刺眼的作用。
美	mei	美丽。②好。③舒适。
美气	mei3 tɕʰi5	舒服:这个事咋么就觉着不~!
美当	mei3 taŋ	好,令人满意:你一下子给弄~,不咧敷敷衍衍地。美实mei53ʂʅ21结实:这个小伙子的个子长得~很!
美直咧	mei3 tʂʅ liε	美、舒服、高兴到了极致。
肥囊囊	fei naŋ naŋ	讥讽人长得肥胖:你看你~的,能弄个啥?②(动物)肉肥,让人厌恶:净是些~肉,没人吃。
肥头奓耳	fei tʰəu tsa5 εr3	形容人很胖或猪被饲养得很肥的样子。
维	vei	与人相交并保持友好关系。△惹一个人容易,~一个人艰难。《说文解字注》:“引申云,凡相系者曰维。”
腲	vei	(身体残疾)在地面上缓慢移动,引申为行动迟缓:他胖得劲大,走路都是朝前~着呢。《广韵·贿韵》:“乌贿切。行病。”
腲呲	vei tsʰɿ	心存迟疑、消极对待:叫乜找人去呢,乜~着不动弹!
煨炕	vei3 kʰaŋ5	将可燃烧的东西填进坑洞并点燃它。
煨炕子	vei3 kʰaŋ5 tsɿ	用来烧炕的燃料。
煨火	vei3 xuɤ3	当地丧俗。指死者下葬后亲人在其坟墓前持续生火三天,表温暖思念之情。
未	vei5	地支的第八位,代表动物是羊。
外爷	vei5 iε	外公。
外奶	vei5 nεi	外婆。
味长	vei5 tʂʰaŋ	食物的味道值得回味、玩味。
得	tei	得到:你看把人高兴地,就连~咧头一名一样。②得寸进尺:人不言传,你还~咧!③得意:看把人~成啥样子咧!
得道	tei2 tɔu	谁知道:这个事~咋弄下的!
得能	tei2 nəŋ	因有小能耐而得意:看把娃娃~的,不知道自己姓啥咧!
得故意子	tei2 ku3 i5 tsɿ	故意:这是谁~使下的拐。
得咧	tei2 liε	放在动词后面,与动词结合后,表示将要发生的行为动作是必然的,可以预测的:走~给我说,我送你!
特别	tʰei2 piε	十分、非常:办公室工作~能锻炼人,好好干去!②不一样,特殊:这和那个一样,没啥~的。
特殊	tʰei2 ʂu	不同于同类的事物或平常的情况:在这儿没人能享受~待遇。
特务	tʰei2 vu5	经过特殊训练,从事刺探情报、颠覆、破坏等活动的人。
特意	tʰei2 i5	特地。
肋子	lei2 tsɿ	人或动物的肋骨。也说“肋巴、肋条、肋巴骨”。肋巴lei213pa24同“肋子”
肋巴骨	lei2 pa ku	同“肋子”。
肋条	lei2 tʰiɔu	同“肋子”。
肋条肉	lei2 tʰiɔu ʐəu5	指从牛肋骨上剔下来的肉。
勒肎	lei2 kʰəŋ5	故意刁难别人。
窄卡	tsei2 tɕʰia	地方狭窄:地方~着坐不下几个人么!②衣服瘦小:这个衣裳你穿上有些~。
窄瘪	tsei2 piæ̃3	在某人眼里没地位。
窄绺绺	tsei2 liəu5 liəu	狭长的条儿:好好的一块布料,裁成个~,能做个啥?
贼	tsei	精明,心眼多:那个倯~得连啥一样,你能打过交道?②小偷。
贼不处处	tsei pu tʂʰu3 tʂʰu	贼眉鼠眼的样子:你看你~的,想弄啥呢?
贼星	tsei ɕiŋ	流星。
贼娃子	tsei va tsɿ	小偷。
贼头武把子	tsei tʰəu vu3 pa tsɿ	靠偷盗抢夺别人财物为生的人。贼打鬼tsei24ta21kuei53指不讲信义、不择手段之人。
测量	tsʰei2 liaŋ	用仪器确定空间、时间、温度、速度等有关数值。厕所tsʰei213ʂuɤ53专供人大小便的地方。
册	tsʰei	装订好的本子:给同学送一本毕业纪念~。②量词:手里拿咧几~书。
諰	sei2	声音沙哑:嗓子~勾勾的,能唱个歌子?《广韵·佳韵》:“山佳切。语失也。”
涩	sei	像明矾或不熟的柿子那样使舌头感到麻木干燥的味道。②摩擦时阻力大,不光滑。
色子	sei2 tsɿ	骰子。一种游戏用具或赌具,多为骨制,小方块,六面分别刻一至六点。
色气	sei2 ɕi	人的气色:王老师脸上~咋么不对劲?②物品的色泽:家具的~还能凑合。
塞塞子	sei2 sei tsɿ	塞子。
啬	sei2	小气、吝啬:那个倯~得连啥一样,能给你给钱!
啬皮	sei2 pʰi	人或动物的脾脏:他让车把~给挤咧。②吝啬:你做啥咋那么~唦。③吝啬的人:这是个典型的~,不咧指望他请客咧。
谁人	sei ʐəŋ	哪一个人,谁:这个事情~不知~不晓。
谁谁谁	sei sei sei	某某人。
隔奶	kei2 nεi3	给小孩儿断奶。
隔间子	kei2 tɕiæ̃3 tsɿ	屋子里的套间。
隔墙子	kei2 tɕʰiaŋ tsɿ	房屋里隔开每一间屋子的墙,一般不是承重墙。
隔山兄弟	kei2 sæ̃ ɕuŋ2 ti5	指同父异母的兄弟。
隔三岔五	kei2 sæ̃ tsʰa5 vu3	不经常地、时不时地。
隔山架岭	kei2 sæ̃ tɕia5 liŋ3	本义指山水阻隔,路途遥远而交通不
变	。	引申为做事不顾任何阻挠也不考虑后果如何。
隔布袋买猫	kei2 pu5 tεi mεi3 mɔu	比喻不了解真相而采取行动。
给	kei	动词。②助词。③介词。谁把钥匙拿走咧?我给(介词)老师给(动词)给(助词)咧。
给事	kei5 sɿ5	故意找麻烦:这两天正~着呢!也说“寻事”。
刻	kʰei2	用小刀子在竹、木、玉、石、金属上雕成花纹、文字等。刻意kʰei213i44用尽心思。
克服	kʰei2 fu	用坚强的意志和力量战胜。
客	kʰei2	客人。
客气	kʰei2 tɕʰi5	对人谦让,在交际场合有礼貌。
黑麻大汉	xei2 ma ta5 xæ̃5	神秘人物,常在民间故事中出现。
黑咧	xei2 liε	晚上。
黑糖	xei2 tʰaŋ	红糖。
黑天半夜	xei2 tʰiæ̃ pæ̃5 iε5	半夜三更。
黑处处的	xei2 tʂʰu3 tʂʰu ti	黑灯瞎火的:~往哪搭走呢!②(颜色)黑的不好看:家具~,不亮清。③发黑:你乜脸上咋~,有啥病呢吗?
黑不处处	xei2 pu tʂʰu3 tʂʰu	同“黑处处”。
黑不溜秋	xei2 pu liəu tɕʰiəu	指肤色、颜色偏于黑色。
黑打糊涂	xei2 ta3 xu tu	糊里糊涂。
黑娃娃	xei2 va va	指超生的没有户口的小孩。
黑桃尖子	xei2 tʰɔu tɕiæ̃2 tsɿ	扑克牌中的黑桃“A”。黑糊糊xei213xu53xu21光线黑暗。
黑眼仁子	xei2 ȵiæ̃3 ʐəŋ tsɿ	黑眼珠儿。
黑燕麦	xei2 iæ̃5 mei	农田里的一种杂草。
碓	tuei	碰撞:下雪路滑,十字口里几个车~到一达里咧。
对子	tuei5 tsɿ	对联。②量词,双。
对羔子	tuei5 kɔu tsɿ	双胞胎。
对对子	tuei5 tuei5 tsɿ	同“对子②”。
对过儿	tuei5 kuɤ5 εr	对面。
对咧	tuei5 liε	行了,算了。~~这些够用得很咧。/说可~,你能把他说回来?
对劲	tuei5 tɕiŋ	关系密切、合得来(多用于否定):他们两个老早以前就不~么!②正常(多用于否定):这个人我咋看着不~,赶紧问一下是做啥的。③正确(多用于否定):越说我越试着不~,难道你就没有错?④舒适、舒服(多用于否定):今儿个身上试着不~得很!
对襟子	tuei5 tɕiŋ tsɿ	两幅衣襟相对,纽扣在胸前正中。
对活	tuei5 xuɤ	正常(多用于否定):乜一下子不~咧么,把人还给吓咧。②舒适、舒服(多用于否定):娶咧个病罐罐媳妇,三天两头不~,把人整死咧!
对眼子	tuei5 ȵiæ̃2 tsɿ	内斜视的统称:那个娃娃天生下就是个~。对证tuei44tʂəŋ44有相关关系的几方在一起相互证明。
对家	tuei5 tɕia	指四个人打扑克时,以面对面交叉而坐的那个人为合作的伙伴。
推子	tʰuei2 tsɿ	理发工具。有上下重叠的两排带刃的齿儿,使用时上面的一排齿儿左右移动,把头发剪下来。
推头	tʰuei2 tʰəu	理发:二月二,~的人多得很。
推鉋子	tʰuei2 pʰɔu tsɿ	鉋子,木工用来鉋平木头的工具。
推十点半	tʰuei2 ʂʅ tiæ̃3 pæ̃5	扑克的一种玩法。
腿腿子	tʰuei3 tʰuei tsɿ	人、动物或物体腿的小称。
腿猪娃子	tʰuei3 tʂu2 va tsɿ	小腿肚儿。
内	nuei5	里面,与“外”相对。
内行	nuei5 xaŋ	指对某种工作或技术有丰富经验。
内线	nuei5 ɕiæ̃5	内线电话的简称。指一个单位内的电话总机所控制
雷神爷	luei ʂəŋ iε	雷公。
累怅	luei5 tʂʰaŋ	指人邋遢不修边幅或精神萎靡不振。也叫“累堆”。
累堆	luei5 tuei	同“累怅”。
嘴粗	tsuei3 tsʰu	指吃饭不挑食。
嘴尖	tsuei3 tɕiæ̃2	挑食:这个人~得很,不合口味的一点都不吃。
嘴简	tsuei3 tɕiæ̃3	爱插嘴,爱多嘴:就你~,你给我悄着!/这个
人	~	得很,你就不敢给说个啥。也说“嘴简毛长”。
嘴劲	tsuei3 tɕiŋ5	说嘴的劲头,意指光说不动:刚是个~,不做一把活!
嘴巴子	tsuei3 pa tsɿ	耳光:你再胡说,给你几个~呢。②吃剩下的食物:顿顿吃饭留个~,毛病黠得很!
嘴头子	tsuei3 tʰəu tsɿ	表达能力:这个女娃娃~麻利得很!
醉唧马达	tsuei5 tɕi ma ta	醉得东倒西歪的样子:你看你喝得~的,咋回去呢嘛!
脆	tsʰuei	容易折断破碎(跟“韧”相对):塑料脸盆子叫太阳晒~咧。/人老咧命就~咧。
脆活	tsʰuei5 xuɤ	说话做事爽快、干脆;②(声音)清脆。
脆骨子	tsʰuei5 ku2 tsɿ	供食用的动物软骨。
翠	tsʰuei	衣着以绿色为主:今儿个小张他妈咋穿得~得很。②冬天穿得单薄:哎呀呀,这么冷的天,你真个是耍~着呢!
翠活	tsʰuei5 xuɤ	穿着色彩鲜艳。
随礼	suei li3	送礼金或礼物:老李他大烧三年纸呢,~的人多得了
随情	suei tɕʰiŋ	同“随礼”。
随屁风	suei pʰi5 fəŋ	指人云亦云、随声附和之人。
随方就圆	suei faŋ tɕiəu5 yæ̃	比喻性格随和,乐于依从别人。
随心布施	suei ɕiŋ pu5 sɿ	按照自己的意愿捐款捐物。
遂心	suei ɕiŋ2	满意。
碎	suei	形状小:今年的洋芋没长大,~着呢。②排行最小:他~舅是个小学校长。
碎大	suei5 ta	对年幼男性的通称(含贬义):你那个~给听你的呢!也说“碎大大”。
碎妈	suei5 ma	对年幼女性的通称(含贬义):谁能管住她那个~唦!也说“碎妈妈”。
碎碎儿	suei5 suei5 εr	形容形状特别小:把馍馍掰得~的。
碎窝子	suei5 vɤ tsɿ	一家孩子中排行最小的。
追节	tʂuei2 tɕiε	指做女婿的在过各种节日(主要是传统节日)时带着礼品去看望岳父岳母。
缒	tʂuei5	拽:高台台子我上不去,你~我一把。/△想上天去屎~着呢。
吹	tʂʰuei	合拢嘴唇用力出气。②吹气演奏。③(风、气流)流动,冲击。④说大话,夸口。⑤水流冲垮:叫山水给~着走咧。
吹牛	tʂʰuei2 ȵiəu	说大话,夸口。也说“吹牛皮”。②近年兴起的用摇色子代替划拳的一种猜拳方式。
吹牛皮	tʂʰuei2 ȵiəu pʰi	同“吹牛①”:△~不贴印花子。
捶头	tʂʰuei tʰəu	拳头。
锤子	tʂʰuei tsɿ	指男性生殖器。
摔拌	ʂuei2 pæ̃	抓在手里磕打:这个东西牢实得很,那么~着呢
摔皮	ʂuei2 pʰi	因某事而赌气:乜还给咱们~着不干咧。
水拜	ʂuei3 pεi3	河堤。
水果糖	ʂuei3 kuɤ3 tʰaŋ	对各式糖果的总称,也说“洋糖、糖”。现大多数人已开始用糖果的不同类型或品牌来称呼糖果,如:奶糖、软糖、阿尔卑斯、巧克力、棒棒糖等等。
水米没打牙	ʂuei3 mi3 mɤ2 ta3 ia	指没有吃东西。
水不拉唧	ʂuei3 pu la tɕi	形容物品不干燥,让人厌烦。
水渣渣的	ʂuei3 tsʰa2 tsʰa ti	同“水不拉唧”。
水点点子	ʂuei3 tiæ̃3 tiæ̃ tsɿ	水点儿。
水管子	ʂuei3 kuæ̃3 tsɿ	自来水管和胶皮引水管。
水门子	ʂuei3 məŋ tsɿ	指雌性牲畜的外生殖器。
水舀子	ʂuei3 iɔu3 tsɿ	舀水的大勺子。
水晶包子	ʂuei3 tɕiŋ5 pɔu2 tsɿ	水煎包子。肉馅,皮薄无褶,用平底锅煎熟即成。
水地	ʂuei3 ti	能引水灌溉的耕地。
水坝	ʂuei3 pa5	水库。
水萝卜	ʂuei3 luɤ pu	初春上市的一种小的球形萝卜。
水水子	ʂuei3 ʂuei tsɿ	水、汁儿:调上些醋~,蘸着吃饺子。②知识水平:就他那一点~,还能给大学生上课。
水道眼	ʂuei3 tɔu ȵiæ̃3	下水道入口。
水火	ʂuei3 xuɤ	水和火。②对屎尿的婉称:乜腿绊折咧,~都在炕上呢!
水	ʂuei3	喻指女孩子长的水灵可爱。
水笔	ʂuei3 pi	钢笔。旧派说法。
水烟	ʂuei3 iæ̃	水烟袋和烟丝的总称。当地指用一种铜制的吸烟用具将烟丝燃烧时产生的烟通过水的过滤而吸出,吸时发出咕嘟嘟的响声,现已不多见。
水银	ʂuei3 iŋ	汞的通称。
睡展	ʂuei5 tʂæ̃3	躺下后肢体伸展放松。
睡货	ʂuei5 xuɤ	不中用的人或物:花咧个大价钱买下的个东西就是个~么。
睡浑儿子	ʂuei5 xuŋ5 εr tsɿ	睡得迷迷糊糊有了错觉。
规程	kuei2 tʂʰəŋ	规则、程序。
龟子倯	kuei2 tsɿ suŋ	詈语,用来骂遇事退缩的人。
鬼大	kuei3 ta5	诡计多端。
鬼祟	kuei3 suei	小人。那是个~,你小心着!
鬼挼住咧	kuei3 ʐua tʂʰu liε	迷信说法,鬼魂附体。
鬼刷水	kuei3 ʂua ʂuei3	一无所有。
襘	kuei5	把带状的织物缝在衣服上。《说文·衣部》:“带所结也。”《广韵·泰韵》:“古外切。”
贵气	kuei5 tɕʰi	(人)娇贵:把乜~着不行咧!②重视、器重。就这么一个娃娃,全家老少都~很!
贵贱	kuei5 tɕiæ̃	贵或贱:不问~,抢着手里再说。②无论如何:~不听大人的一句话。
贵气宝儿	kuei5 tɕʰi5 pɔu3 r	指特别珍爱的人或物。
贵客	kuei5 kʰei	尊贵的客人。②指举办婚礼时,女方送亲队伍里
柜柜子	kuei5 kuei5 tsɿ	小柜子。
亏是	kʰuei2 sɿ5	幸亏。~有个你,不是就没他娃咧!
亏人	kʰuei2 ʐəŋ	缺德:咱们再穷也不做~的事。
亏先人	kʰuei2 ɕiæ̃2 ʐəŋ	詈语,丢祖先的脸:你再不咧~咧。
癸	kʰuei	天干的第十位。
葵花	kʰuei xua	向日葵。
葵花籽儿	kʰuei xua tsɿ3 r	向日葵的籽。
灰条	xuei2 tʰiɔu	灰藜。
灰耙子	xuei2 pʰa tsɿ	给火炕里面填送燃料的工具。
回	xuei	在自己的意料之外:连往年比今年的菜价~贵着呢。②原本:他自己也~难受得很!③回去、回归。
回后	xuei xəu5	事情过了之后:检查的时候都说得好,~再没人关心咧。
回门	xuei məŋ	结婚后的第三天新媳妇在丈夫陪伴下回娘家。
回嘴	xuei tsuei3	适度的辩解。
回奉	xuei fəŋ	对神灵或佛祖的祷告。
回管	xuei kuæ̃3	无论是:~你们谁给领导说一声。
回咋	xuei tsa	无论如何、一定要:~把话给你姨夫说到。
回盘	xuei pʰæ̃	人刚死或做忌日纪念时客人送来的祭奠死者的供品,一般是十个馒头,叫“盘”,等送“盘”的客人走时,主人家要回送两个馒头,称“回盘”。
回炉生	xuei lu səŋ	指没能通过升学考试而重新在原有年级学习的人。
回笼觉	xuei luŋ tɕiɔu5	清晨起来活动一会儿以后再上床睡觉。
回转不过	xuei tʂuæ̃ pu kuɤ5	想不明白、想不开。
豗	xuei3	指猪用嘴拱:好好的个菜园子叫猪给~咧。《广韵·灰韵》:“呼恢切。豕掘地也。”
烩	xuei5	将原料油炸或煮熟后改刀,放入锅内加辅料、调料、高汤烩制的方法。
烩麻食	xuei5 ma ʂʅ	当地面食。
烩面片	xuei5 miæ̃5 pʰiæ̃3	当地面食。
烩粉	xuei5 fəŋ3	当地风味小吃。
烩肉	xuei5 ʐəu5	当地以牛羊肉为主,用烩的方法做的风味小吃。
包包白	pɔu2 pɔu pei	卷心菜:过两天给咱们泡上些~。也叫“莲花白”。
包包担担	pɔu2 pɔu tæ̃5 tæ̃5	大大小小的包袱:旅游呢么,一下子~地拿上那么多着做啥呢。
包儿	pɔu2 εr	香包儿。
包劳盖子	pɔu2 lɔu kεi5 tsɿ	膝盖骨。
包工头	pɔu2 kuŋ tʰəu	特指承包建筑工程的工头。
保底	pɔu3 ti3	保住最基本的。
保本	pɔu3 pəŋ3	保住本钱。
保来回	pɔu3 lεi xuei	货物买走之后如有质量问题包退包换:这东西我给你~着呢,你放心用去。
宝盖头	pɔu3 kεi tʰəu	汉字的偏旁名称,如“官、灾、宁”等字的上部。
饱食罐罐	pɔu3 ʂʅ kuæ̃5 kuæ̃	丧俗中的用品。人死后在其身边放一陶罐,内置饭食,下葬时随棺材一并埋入地下,希望其在阴世能吃饱。
报君	pɔu5 tɕyŋ	类似于蚂蚱的一种昆虫。
抱	pɔu5	领养:不生养咧,找机会就~一个。
抱疙瘩	pɔu5 kɤ2 ta	对领养的孩子的称呼:她有两个娃娃,老碎是个~。
抱下的	pɔu5 xa ti	领养的孩子:你虽然是你妈~的,但比亲生的还亲。
刨花子	pɔu5 xua tsɿ	刨木头时刨下来的薄片,多呈卷状。
菢鸡娃子	pɔu5 tɕi va tsɿ	孵小鸡:家里养下的个母鸡正~着呢。
泡	pʰɔu2	虚而松软:萝卜~咧就不好吃咧。《云言》:“泡,盛也。(晋)郭璞注:泡,肥洪张貌。”
脬子	pʰɔu2 tsɿ	阴囊:跟人打捶去来,让人把~踢伤咧。
脬子黑	pʰɔu2 tsɿ xei	某人做事手段硬、贪婪:那个人~得像啥一样,你能交得过?
脬牛	pʰɔu2 ȵiəu	未骟过的公牛。
刨	pʰɔu	称重量时除去盛物器具的重量:~过皮,还剩余78斤。孚pʰɔu24抚摸:乜~着娃娃的头看咧半天。
刨路鸡	pʰɔu lu5 tɕi	丧葬用品。指将死者抬往墓地时,需用一只大公鸡,捆绑后置于棺材之上,意为替死者引路。也说“引路鸡”。
炮子	pʰɔu tsɿ	用来打碎地里较大土块的农具。头用碗口粗的树桩做成,圆柱形,柄与其垂直。
咆躁	pʰɔu tsʰɔu5	烦躁:这几天把人弄得~的。
匏头子	pʰɔu tʰəu tsɿ	蓓蕾:刚结上些~,一场寒流全冻死咧。
跑肚	pʰɔu3 tu5	腹泻:娃娃~着呢,叫少吃些凉东西。
跑车	pʰɔu3 tʂʰɤ2	以运输旅客、货物为生的职业:小张这几年给人~,日子过得还可以。
跑马	pʰɔu3 ma3	指男子遗精。
跑气	pʰɔu3 tɕʰi5	漏气。
炮壳儿	pʰɔu5 kʰy3 r	子弹壳:乜能着用~粘咧一个工艺品。
卯	mɔu2	估计、猜测:就买咧个烂自行车,你~花咧多少钱。
卯不着	mɔu2 pu tʂuɤ	估计不到、猜不到。也说“氋不来”。
毛	mɔu	接近(某一数目或时间):~三十块咧还不够?/啊哟,~十一点恰,还在炕上睡着呢。
毛奓奓	mɔu tsa5 tsa	蜈蚣。
毛蛋	mɔu tæ̃5	毛线疙瘩,后戏称打篮球为“打毛蛋”:整天价光
毛毛	mɔu mɔu	细绒毛。
毛毛雨	mɔu mɔu y3	下得很小的雨。
毛毛虫	mɔu mɔu tʂʰuŋ	某些鳞翅目昆虫的幼虫,每环节的疣状突起上丛生着毛。树丛中常见,有黑色、红色、花色等。
毛毛子钱	mɔu mɔu tsɿ tɕʰiæ̃	票面以角为单位的纸币统称:净是些~,把人数着挣死咧。
毛躁	mɔu tsʰɔu5	做事急躁不认真。
毛寸	mɔu tsʰuŋ5	一种发式,多为男性青少年喜欢。
毛气	mɔu tɕʰi5	坏的习气。
毛细	mɔu ɕi5	指吃拉面时,将面拉得像头发丝一样粗细的面。
毛桃儿	mɔu tʰɔu r	一种野生的桃子,果实较其他桃子小,表皮覆
毛栗子	mɔu li tsɿ	栗子树的果实,小坚果,包在半圆形的壳内。当地不出产,市场有售。
毛牛儿	mɔu ȵiəu r	像陀螺一样的玩具。须用鞭子抽打,方能转动。
毛野人	mɔu iε3 ʐəŋ	传说中的野人。常用此词形容那些喜欢做抠、掐动作的人:哎呀呀,你是个~,你看把人抠成啥咧。
毛蚰蜒	mɔu iəu iæ̃	蜈蚣。也说“毛奓奓”。
毛鬼神	mɔu kuei ʂəŋ	指疑神疑鬼之人。
毛开咧	mɔu kʰεi liε	开始下小雨了。
茅子	mɔu tsɿ	厕所:抽时间把~里的粪出咧。
茅屎坑	mɔu sɿ3 kʰəŋ2	粪便池。
猫道眼	mɔu tɔu ȵiæ̃3	旧式房门门槛下留给猫走的通道:不咧
把	~	堵咧,猫还没进来呢。
猫耳朵	mɔu εr3 tuɤ	同“麻食子”。
卯	mɔu3	地支的第四位,代表动物是兔。
卯硬	mɔu3 ȵiŋ5	过头、过量:这一下子给弄~咧!
卯错咧	mɔu3 tsʰuɤ5 liε	关节脱臼。通常说“把卯错咧”。
冒	mɔu5	鲁莽、轻率:小伙子还~得很!
冒嚷	mɔu5 ʐaŋ3	不确认的情况下乱说。
冒写	mɔu5 ɕiε3	不确认的情况下乱写。
冒弄	mɔu5 nuŋ5	不确认的情况下乱做。
冒梢	mɔu5 sɔu	事情做过了头:没想到这事还给弄~咧!
帽辫子	mɔu5 piæ̃5 tsɿ	辫子:那个女子的两个~长得长得很。
帽个子	mɔu5 kɤ tsɿ	辫子,同“帽辫子”。②把柄:这一下抓住他的~咧,看他给我说个啥呢。
帽苫苫	mɔu5 tʂʰæ̃5 tʂʰæ̃	帽檐。把个~压得低的,人连脸都看不见。
刀刀子	tɔu tɔu tsɿ	刀子。
刀口	tɔu2 kʰəu3	做手术时割开的口:等~长好咧,你再下地走路。
叨	tɔu	禽类用喙啄:给鸡撒咧些玉米让~着吃去。②用筷子夹菜:来来来,咱们大家~菜吃。
叨仗	tɔu2 tʂaŋ5	(禽类或人)斗嘴:两个大公鸡~给叨欢咧。/两个人放咧假没事干刚知道~。
倒棱子	tɔu2 ləŋ tsɿ	将物品倒过来放置。
倒板	tɔu3 pæ̃3	投机倒把:再不咧胡~咧,要规规矩矩做事呢。
倒霉	tɔu3 mei	遇事不利,遭遇不好。②女性对来例假的讳称。倒血霉tɔu53ɕiε21mei24倒霉透顶。也说“倒八辈子霉”。
倒牙	tɔu3 ia	吃了较多的酸性食物,牙神经受过分刺激,咀嚼时感觉不舒服:酸杏儿吃多咧~呢。
倒糟	tɔu3 tsɔu	垮台、败落:你不信你看着,他这么做生意~地快咧。
捣闲话	tɔu3 ɕiæ̃ xua5	东家长,西家短的拨弄是非:一天再不做啥,刚是个~来得快。
倒	tɔu5	铸造:拿废铝片片~个烙馍馍锅。
倒插门	tɔu5 tsʰa məŋ	同“招女婿”。
倒春寒	tɔu5 tʂʰuŋ xæ̃	指立春以后,往往有一段时间天气寒冷。
倒毛	tɔu5 mɔu	禽类褪掉旧毛长出新毛。
倒扎子	tɔu5 tsa tsɿ	倒立,头或顶部向下:一个~跌下去,就把头绊日塌咧。
倒扎毛	tɔu5 tsa mɔu	眼睫毛倒弯,使眼球不舒服。
倒欻毛	tɔu5 tʂʰua3 mɔu	逆着毛发生长的方向用力向下向外推扯。到了tɔu44liɔu53原来真是:~就这么个样子!
道答	tɔu5 ta	因不能做或做错了某事而向别人道歉。
道道子	tɔu5 tɔu5 tsɿ	线条:小王的脸上叫媳妇抠给咧几~。②小
淘气	tʰɔu tɕʰi	顽皮:这个娃娃~得很!②生气:两口子正~着呢!
淘神	tʰɔu ʂəŋ	劳神,让人费心:娃娃不好好学习让大人~得很!淘票tʰɔu24tsʰæ̃21折磨,折腾:屁大一点事,就把人~得没是咧么!
讨钥匙	tʰɔu3 yɤ sɿ	当地婚俗。指举办婚礼时,男方端着红包向女方送亲的人讨要装有嫁妆箱子上的钥匙。
套裤	tʰɔu5 kʰu	只有裤腿,没有裤腰的一种裤子,用布带系在里面裤子的裤腰带上,多为皮制,是旧时手工业工人的一种工作服,结实耐磨,现已不多见。
套套子	tʰɔu5 tʰɔu5 tsɿ	套子。
套头毛衣	tʰɔu5 tʰəu mɔu i	不开襟的毛衣。
熬煎	nɔu tɕiæ̃	煎熬。
脑门子	nɔu3 məŋ tsɿ	前额:乜~上又没写名字,我认得乜是谁!
脑勺子	nɔu3 ʂuɤ tsɿ	后脑勺。②指人的头。~都白透咧还胡说着呢!
脑儿腮	nɔu3 εr sεi	领导(名词):主席台上的几个~,我一个都不认得。
脑脑里	nɔu3 nɔu ȵi	巷子或窑洞的最里面。
痨	nɔu5	用药毒害:老鼠害人得很,要找些药给~一下呢。《说文·疒部》:“痨,朝鲜谓饮药毒曰痨。”《广韵·号韵》:“郎到切。”
呢	!	你~吗不~?/他~下点啥生意?/这个娃娃~啥都没个恒心。
弄不扎	nɔu5 pu tsa	互相不能和睦相处。
闹活	nɔu5 xuɤ	闹腾:这个娃娃~人得很。
鏊子	nɔu5 tsɿ	烙饼的器具,用铁做成,平面圆形,中心稍凸,上有煨火的盖子,可上下同时烤。
老拇	lɔu2 mu3	总共,仅仅:~就这几个钱咧,你还要这要那的。
老女子	lɔu2 ȵy3 tsɿ	排行最小的女儿。②大龄未婚的女青年。
老杆子	lɔu2 kæ̃3 tsɿ	对中老年男性的称呼,有戏谑的意味。
老底子	lɔu2 ti3 tsɿ	内情、底细:你小心可不咧叫人把~抖出来!②多年积攒的财物:这一下把~都搭上咧!
老虎杠子	lɔu2 xu3 kaŋ5 tsɿ	一种通过“老虎、杠子、鸡、虫”之间的关系决定胜负的游戏方法。
捞毛	lɔu mɔu	干一些琐碎的不紧要的事情:~的事干咧个扎扎扎,还没落下好!
醪糟子	lɔu tsɔu tsɿ	江米酒:乜做下的~甜得很。
牢倒	lɔu tɔu5	厉害:这个人~得很,谁也惹不起。
牢实	lɔu ʂʅ	结实:现在的东西一点不~,净是些一次性的东西。唠三道四lɔu24sæ̃213tɔu44sɿ44说话唠唠叨叨。
劳劳不得	lɔu lɔu pu tei	形容困乏到了极点。
咾咾咾	lɔu lɔu lɔu	叫猪吃食的声音。
老百年	lɔu3 pei2 ȵiæ̃	指老年人去世。
老眉扎眼	lɔu3 mi tsa2 ȵiæ̃	形容人上了年岁或面相显老。
老不碴碴	lɔu3 pu tsʰa tsʰa	形容人年纪老(含厌恶义)。②指蔬菜不鲜嫩。
老不清醒	lɔu3 pu tɕʰiŋ2 ɕiŋ3	老糊涂。
