#漢字	音標	解釋
□	uan6	往:~前走
忿	fən5	
怒	lpʰ5	
怕	pʰa5	
怖	pu5	
思	sɿ1	
怠	tai5	
急	tɕi7	
性	sin5	
怨	yě5	
怪	kuai5	
怯	tɕʰp7	
恃	ʂʅ5	
恐	kʰpʰ1	
恆	xən2	
恕	ɕȵ5	
恢	fei1	
恤	si7	
恥	tʂʰʅ1	
恨	xən5	
恩	ŋən1	
恭	kpʰ1	
息	si7	
恰	kʰa7-	
恰	tɕʰia7=	
悄	tsʰiau1	
悅	ye7	
悉	si7	
悔	fei2	
悟	u5	
悠	iəu1	
患	xõ5	
悲	pei1	
悶	mən5	
情	tsin2	
惑	xo7	
惜	si7	
惟	uei2	
惠	fei5	
惡	u5	
惡	o7	善~
惰	to5	
惱	lau2	
想	siaŋ1	
愁	tsəu2	
愈	ȵ̍5	
愉	ȵ̍2	
意	i5	
愚	ȵ̍2	
愛	ȵai5	
愧	kʰuei5	
慈	tsɿ2	
態	tʰai5	
慌	faŋ1	
慎	ʂən5	
慕	mo5	
慘	tsʰan1	
慚	tsan2	
慢	man6-	
慢	man5=	
慣	kuan5	
慧	fei5	
慨	kʰai5	
慫	tsʰpʰ1	~恿
慮	lei5	
慰	uei5	
慶	tɕʰin5	
慷	kʰaŋ1	
憂	iəu1	
憎	tsən5	
憐	liē2	
憑	pin2	
憠	tɕye7	
憤	fən5	
憫	min2	
憲	ɕiē5	
憶	i5	
憾	xan5	
懂	tpʰ2	
懇	kʰən1	
懈	xai5	
應	in5	
懊	ŋz5	
懲	tʂən2	
懵	mpʰ2	
懶	lan2	
懷	fai2	
懸	ɕiē2	
懼	tɕy5	
戀	liē5	
戈	ko1	
戊	u5	
戌	si7	
戍	ɕȵ5	
戎	ioŋ2	
成	tʂən2	
戒	kai5	
或	xo7	
戚	tsʰi7	
戟	tɕi7	
截	ts姐=p7	
戰	tʂə̃5	
戲	ɕi5	
戳	tʂʰo7	
戴	tai5	
戶	附戶=滬戽~互護=婦負富副瓠~子u6-	
房	faŋ2	
所	so1	
扁	piē2	
扇	ʂə̃5	
手	ʂəu1	
手	lo2	
手	ŋan5	
才	tsai2	
打	tʂaŋ2	
扔	in2	
托	tʰo7	
扣	kʰ口əu5	
扭	ȵiəu2	
扮	pan5	
扯	tʂʰa1-	
扯	tʂʰz1=	
扳	pan1	
扶	fu2	
批	pʰi1	
扼	ŋz7	
承	tʂən2	
技	tɕʰi5	
抄	tsʰau1	
把	pa2	
抑	i7	
抓	tɕya1	
投	təu2	
抖	təu2	
抗	kʰaŋ5	
折	tʂz7	
披	pʰi1	
抬	tai2	
抱	pau6-	
抱	pau5	
抵	ti2	
抹	ma7	
押	ŋa7-	
押	ȵ̍7=	
抽	tʂʰəu1	
抿	min2	
拆	tʂʰz7	開~
拇	mo2	
拈	ȵiē1	
拉	la1	
拋	pʰau1	
拌	põ6-	
拌	põ5=	
拍	pʰa7-	
拎	lin2	
拐	kuai1	
拒	tɕy5	
拔	pʰa7	
拖	tʰo1	
拘	tɕy1	
拙	tɕye7	
招	tʂz1	
拜	pai5	
括	kua7	
拯	tʂən2	
拱	kpʰ1	
拳	tɕyě2	
拼	pʰin1	
拾	ʂʅ7	
拿	la1	
持	tʂʅ2	
指	tʂʅ2	
指	lo2	
按	ŋan5	
挑	tʰiau1	
挖	ua7-	
挖	ua1=	
挨	ȵai1	
挪	la2	
振	tʂən5	
挺	tin1	
挽	uan2	
挾	ka7	
捅	tʰpʰ1	
捆	kuən1	
捉	ts左o7	
捋	lə5	
捏	ȵp7	
捐	tɕyě1	
捕	pu2	
捨	ʂa2-	
捨	ʂz2	
捱	ȵai2	
捷	tsʰ且p7	
捺	la7	
掀	ɕiē1	
掃	sau1	~地
掃	sau5	~帚
授	ʂəu5	
掉	tiau5	
掌	tʂaŋ2	
掏	tau2	
掐	kʰa7	~菜
排	pai2	
掘	tɕye7	
掛	kua5	
掠	lio7	
探	tʰan5	
掣	tʂʅ5	
接	ts姐=p7	
控	kʰpʰ5	
推	tʰei1	
措	tsʰo5	
措	tsʰəu5	~手不及
掬	tɕy7	
掮	tɕiē1	
揀	tɕiē2	
揉	iəu2	
描	miau2	
提	ti2	
插	tsʰa7	
揖	i7	
揚	iaŋ2	
換	xõ6-	
換	xõ5=	
揞	ŋan5	
握	ŋ我o7	
揢	kʰa1	一把~住
揩	kʰai1	
揭	tɕp7	
援	iau2	
援	yě2	
搊	tsəu1	
損	sən2	
搓	tsʰo1	
搜	səu1	
搞	kz1	
搧	ʂə̃5	
搬	põ1	
搬	pan1	又音
搭	t打a7	
搶	tsʰiaŋ1	
搽	tsa2	
摔	ɕtɕʰ1	
摘	tsə7	
摟	ləu1	
摩	mo1	
摳	ŋəu1	
摸	mo1	
摹	mo2	
摺	tʂz7	
撇	pʰp7	
撈	lau2	
撐	tsʰən1	
撒	sa1	
撒	san1	
撕	sɿ1	
撚	ȵiē2	
撞	tsaŋ6	
撞	tsʰaŋ1	又音
撣	tan2	
撤	tʂʰz7	
撥	po7	
撩	liau2	
撫	fu2	
撮	tsʰo7	
撲	pʰu7	
撼	xan5	
擀	kan1	
擁	ioŋ2	
擇	tʂʰz7	
擊	tɕi7	
擋	taŋ2	
操	tsʰau1	
操	tsʰau5	曹~
擎	tɕin1	
擒	tɕin2	
擔	tan1	~任
擔	tan5	~子
據	tɕy5	
擠	tsi2	
擦	tsʰa7	
擬	ȵi2	
擱	kʰo7	
擲	tʂʅ7	
擴	kʰo7	
擺	pai2	
擾	iau2-	
擾	lpʰ2	
攀	pʰan1	
攀	pan1	~登
攔	lan2	
攘	zaŋ2	
攙	tsʰan1	
攜	ɕi2	
攝	ʂz7	
攤	tʰan1	
攪	tɕiau2	
攬	lan2	
支	tʂʅ1	
收	ʂəu1	
改	kai1	
攻	kpʰ1	
放	faŋ5	
放	xaŋ5	據詞表補
政	tʂən5	
故	ku5	
效	ɕiau5	
敏	min2	
救	tɕiəu5	
敗	pai6-	
敗	pai5=	
敘	si5	
教	kz5	
教	tɕiau5	
敝	pei5	
敢	kan1	
散	san1	
散	san5	
敦	tən1	
敨	tʰəu1	~氣
敬	tɕin5	
敲	kʰz1	
整	tʂən2	
敵	ti7	
敷	fu1	
數	səu1	
數	səu5	~目
斂	liē5	
斃	pei5	
文	uən2	
斑	pan1	
斗	təu2	
料	liau6-	
料	liau5=	
斛	fu5	
斛	附戶=滬戽~互護=婦負富副瓠~子u7	~桶
斜	tsia2-	
斜	sia2-	
斜	sp2=	
斟	tʂən1	
斤	tɕin1	
斥	tʂʰʅ7	
斧	fu2	
斬	tsan2	
斯	sɿ1	
新	sin1	
斷	tõ6-	
斷	tõ5=	
方	faŋ1	
於	ȵ̍2	
施	ʂʅ1	
旁	paŋ2	
旅	li2	
旋	siē2	
族	tsʰəu7	
旗	tɕi2	
既	tɕi5	
日	zɿ7	
日	ye7	
旦	tan5	
旨	tʂʅ2	
早	tsau2	
旬	sən2	
旱	xan6-	
旱	xan5=	
旺	uaŋ5	
昂	aŋ2	
昆	kuən1	
昌	tʂʰaŋ1	
明	min2	
昏	fən1	
易	i6-	~得
易	i7	交~
易	i5=	難~
