#漢字	音標	解釋
㮇	pʰe6	~笔
轅	iɛ̃6	官话借词
轄	ɕia6	官话借词，管~
辛	sɐŋ6	
辣	lɔ5	
辮	pʰĩ3	
辰	ɕɐŋ2	
辱	iu6	官话借词
邊	pĩ1	
遼	liau6	官话借词
達	ta6	官话借词
遷	tsʰĩ1	
迅	sĩ9	
過	kəu5	
迎	ȵɐŋ2	
運	iã6	
近	kʰiɐŋ3	
還	huã6	
進	tsĩ5	
遠	vĩ3	
違	ve6	官话借词
連	lĩ6	
迫	pɔ5	
述	ɕu6	
迷	me2	
追	tsu1	
退	tʰu5	
送	sõ5	
適	ɕi6	官话借词
逃	tʰəu6	
逆	ni6	~风，官话借词
選	sĩ3	
遜	sɐn9	
透	tʰau5	
透	tɕʰã5	
逐	tɕu6	
遞	ti9	
途	tʰu6	官话借词
逗	tau1	
通	tʰõ1	
逛	kuɐŋ5	
逞	tɕʰõ6	
速	su6	官话借词
造	tsau9	建~
逢	fõ2	
逵	kʰuei6	
逸	i6	官话借词
逼	pe7	
遇	ȵu6	
遍	pʰĩ5	一~
道	tʰəu6	
遺	i6	
遣	kʰɛ̃5	官话借词
遮	tɕɛ1	
遵	tsɐn3	官话借词
避	pi9	
邀	iau3	
鄧	tɐŋ5	
那	nuɔ6	
邦	pɔ̃1	
邪	tsʰɛ6	
郵	iɐu6	官话借词
鄰	lĩ6	官话借词
郁	i9	
郊	kiau3	官话借词
郞	lɔ̃2	
鄭	tɕɐn9	
郝	hau9	
郡	kʰĩ3	
部	pʰu6	
郭	kɔ6	官话借词
都	tu1	
鄂	ŋɔ6	
鄙	pʰi7	
酉	iau3	
酌	tɕiɔ8	
配	pʰu5	
酒	tsiɐu3	
酥	səu1	
酪	lɔ6	官话借词
酬	tɕʰəu6	
醬	tsɛ̃3	
酵	ɕiau9	
酷	ku6	官话借词
酸	sũ1	
釀	au5	
醃	ĩ6	
醇	tɕʰɐn6	官话借词
醉	tsu5	
醋	tsʰu5	
醒	sɐn3	
醜	tɕʰau3	
采	tsʰɛ5	官话借词
釉	iau6	
釋	ɕi6	官话借词
里	læ3	
重	tɕʰõ6	~复，官话借词
重	tʰiõ3	轻~
量	liɐŋ9	
金	kiɐŋ1	
鉢	pu7	
銲	hã9	~铁壶
錄	lu6	官话借词
錶	pi3	
鍊	lĩ6	
钁	kua7	
針	tɕɐn1	
針	tɕɐŋ1	
釘	tɐn1	~住
釘	tɐn1	铁~
釣	ti5	
釵	tɕʰa1	
鈔	tɕʰau1	
钟	tɕõ1	
鋼	kaŋ5	刀钝了
鋼	kaŋ3	官话借词
欽	kʰĩ3	
鈞	kĩ3	官话借词
鉤	kau1	
鈀	pɔ2	
錢	tsĩ2	
鉗	kĩ2	
鈸	tɕʰa1	
鑽	tsũ1	动词
鑽	tsũ5	名词
鐵	tʰi7	
鈴	lĩ6	官话借词
鉛	iɛ̃6	官话借词
鐸	tɔ6	
鐺	tɕʰɛ̃1	
銅	tõ2	
鍘	tɕa7	~刀
銘	min6	官话借词
鉸	kau5	
鏟	tɕʰã3	
銃	tɕʰõ5	放~
銀	ȵɐŋ2	
鑄	tsu5	
鋪	pʰu1	~设
鋪	pʰu5	店~
銷	si1	
鎖	sɛ3	
鋤	tɕu2	
鍋	kəu1	
鏽	sɐn5	铁~
銼	tsʰɛ5	
鋒	fõ1	
銳	te9	
錯	tsʰəu7	
錫	se7	
鑼	luɔ2	
錘	ti2	
錐	tɕu1	
錦	kĩ5	
鍵	kɛ̃9	
鋸	ki5	
鍬	tsʰi1	
鍾	tɕõ1	
鍛	tã9	~练
鍍	tu9	
鎭	tɕɐn9	
鑷	niɛ6	官话借词
鎔	iõ6	官话借词
鏡	kɐn5	
鐙	tɐŋ1	
鑊	kəu1	
鑊	tɕʰɛ̃1	
鐮	lĩ2	
鑲	siã3	官话借词
長	tɛ̃2	~短
長	tɕɛ̃3	生~
闢	pʰi6	官话借词
門	mɐŋ2	
閂	ɕã1	
閃	ɕã5	
閉	pe5	
問	mɐŋ6	
闖	tɕʰaŋ5	
閏	iã6	
間	kã1	空~
悶	mɐŋ5	
閘	tɕa7	
鬧	nau6	
閨	kuei3	
聞	ɕiõ5	
聞	vɐn6	官话借词
閩	mĩ2	
閣	kuɔ6	官话借词
閱	iɛ6	官话借词
閹	ĩ1	
閻	iɛ̃6	官话借词
闊	fu7	
隊	tu5	
阮	iɛ̃6	官话借词
防	fɔ̃2	
陽	iɐŋ2	
陰	iɐŋ1	
陣	tɕʰɐŋ6	
階	ka1	
阻	tsu5	
阿	a3	~哥
附	fu9	
際	tsi9	
陸	li8	
隴	lõ5	
陳	tɕɐŋ2	
陋	lau6	
降	kaŋ5	下~
降	ɕiaŋ6	投~
限	hã6	
陝	ɕã5	~西
陡	tau3	
院	iɛ̃9	
除	tɕʰu2	
險	ɕĩ3	
陪	pu2	
陵	lĩ6	官话借词
陶	tʰəu6	
陷	ɕɛ̃9	
隆	lõ2	
階	kɛ1	
隨	tsʰəu6	
隱	iɐŋ3	
隔	ke7	
障	tɕaŋ3	
隻	tɕi7	
難	nã2	~易
難	nã5	患~
雀	tsʰiɔ6	官话借词
雁	ŋã9	
雄	ɕiõ2	
集	tse7	
雇	ku5	
雍	iõ3	官话借词
雕	ti1	
雨	iu3	
雪	si7	
零	lɐn2	一百~五
零	lĩ6	官话借词
雷	lu2	
雹	pʰau9	
霧	vu9	
需	si3	
霄	si1	
震	tɕɐn9	
黴	mu2	
霍	hɔ9	
霜	ɕɔ̃1	
露	lu6	
霸	pɔ5	
靑	tsʰɐn1	
靖	tsin9	
靜	tsʰɐn6	
非	fɛ1	
靠	kʰau5	
面	mĩ6	
革	ke7	
鞋	a2	
鞋	ha2	~样
鞍	ɔ̃1	
鞭	pĩ1	
韓	hã2	
韭	kiau3	
音	iɐŋ1	
韻	ĩ9	
頁	i7	
頂	tɐn3	
頃	kʰin5	
項	haŋ9	
順	ɕɐŋ6	
须	si3	
頑	vã6	~皮
顧	ku5	
頓	tɐŋ5	
頒	pã1	
頌	sõ9	
預	i9	
領	lɐn3	
頸	kɐn3	
頻	pʰĩ2	
穎	ĩ6	
顆	lɛ7	
題	tʰe6	
顏	vĩ2	
額	ŋ̍6	
顫	tɕĩ5	
顴	kʰɛ̃9	
風	fõ1	
颼	ɕau1	
飄	pʰi1	
飛	fɛ1	
食	sau5	
餈	tsæ6	~巴
餐	tsʰã1	
饥	ke1	
饥	ki1	~饿
飩	tʰɐŋ1	
飯	fã6	
飮	hi7	~酒
飮	hi7	米汤
餞	tsɛ̃9	~行
飽	pa3	
飽	pau3	
飽	pʰa6	
餌	ə5	官话借词
餃	kiau5	官话借词
餠	pɐn3	
餓	ŋuɔ6	
餛	huɐŋ6	
館	kuã5	
餿	ɕau1	饭~了
饞	tɕã2	
餾	liɐu2	
饅	mã6	~头
香	hɛ̃1	
馨	ɕĩ3	
馬	mɔ3	
馱	tʰəu1	
駁	pɔ7	
駒	ki3	
駝	tʰəu6	
駕	kɔ5	
駡	mɔ6	
駱	lɔ6	官话借词
驗	nɛ̃9	
騎	ki2	
騙	pʰĩ5	欺~
騷	səu1	
驃	pi1	肥~
騾	luɔ2	
骨	kuɛ7	
髓	su3	
髙	kəu1	
髻	ke5	
鬃	tsõ1	
鬆	sõ1	
鬍	fu2	
鬢	pĩ3	
鬚	səu1	
鬨	hõ3	
鬼	kuɛ3	
魂	vɐŋ2	
魄	pʰe7	
魏	ve9	
魔	muɔ1	
魚	ȵu2	
魯	lu6	
鮑	pʰau6	
鮮	sĩ1	新~
鯉	læ3	
鯽	tsɔ7	
鯨	kin3	官话借词
鰓	ɕa1	
鰭	tɕi5	
鰥	sɔ̃6	
鰾	pʰau5	
鱉	pi7	
鱗	liã2	
鳥	ti3	
鳩	kiɐu3	官话借词
雞	ke1	
鳴	min6	官话借词
鴉	kɔ1	
鸕	lu2	
鴨	a7	
鴦	iaŋ3	官话借词
鴿	kəu7	
鸞	lã6	
鴻	hõ6	官话借词
鵝	ŋuɔ2	
鵡	vu3	
鵲	tsʰiɔ6	官话借词
鶴	həu8	
鷺	lu6	
鹹	ã2	
鹻	kʰin3	
鹿	ləu8	
麝	ɕɛ6	
麥	me8	
麪	mĩ6	
黃	vɔ̃2	
黃	ŋ̍3	栀子
黍	ɕu3	
黎	le2	
黑	hɔ7	
默	mɔ8	
鼎	tʰɔ̃6	
鼓	ku3	
鼠	ɕu3	
鼻	pɛ8	
齊	tse2	
齒	tɕʰi3	
龍	lõ2	
龕	kʰã3	
龜	kuɛ1	
𣭲	iõ2	~毛
