#漢字	音標	解釋
#簡稱	/	宜昌
#全稱	/	宜昌話
#聲母	/	
#韻母	/	
#聲調	/	35 1 1a 陰平 ꜀,212 2 1b 陽平 ꜁,32 3 2 上 ꜂,24 5 3 去 ꜄
#版本	/	2022-03-10
#錄入人	/	峽江流月
#參考資料	/	《宜昌方言研究》
#說明	/	
悲	pei1	
悴	tsʰuei4	
悽	tɕʰi1	
情	tɕʰin2	
惑	xuo2	
惜	ɕi2	
惠	xuei4	
懼	tɕy4	
慘	tsʰan3	
慚	tsʰan2	
憚	tan4	
慣	kuan4	
惰	tuo4	
想	ɕiaŋ3	
惹	ʐɤ3	
愁	tsʰəu2	
感	kan3	
憤	fən4	
愧	kʰuei4	
慈	tsʰɿ2	
慌	xuaŋ1	
慎	sən4	
慕	mo4	
慢	man4	
慧	xuei4	
慨	kʰai4	
慷	kʰaŋ3	
憋	pie1	
憎	tsən1	
憔	tɕʰiau2	
憨	xan1	
懂	toŋ3	
懈	xai4	
懶	nan3	
懵	moŋ3	
戈	kuo1	
戍	su4	
戎	ʐoŋ2	
戲	ɕi4	
成	tsʰən2	
戒	kai4	
戕	tɕʰiaŋ1	
或	xuo2	
戰	tsan4	
戚	tɕʰi2	
戟	tɕi2	
截	tɕie2	
戳	tsʰuo2	
戴	tai4	
戶	xu4	
戽	xu4	～水
房	faŋ2	
所	suo3	
扁	piɛn3	
扇	san4	
手	səu3	
才	tsʰai2	
扎	tsa2	
扑	pʰu2	
打	ta3	
托	tʰuo2	
扛	kʰaŋ2	
扛	kaŋ4	又
扣	kʰəu4	
執	tsɿ2	
擴	kʰuo2	
掃	sau3	～地
掃	sau4	～帚
扭	niəu3	
扮	pan4	
扯	tsʰɤ3	
擾	ʐau3	
扳	pan1	
扶	fu2	
批	pʰei1	
技	tɕi4	
抄	tsʰau1	
把	pa3	～柄，一～
把	pa4	柄
投	tʰəu2	
抖	təu3	
抗	kʰaŋ4	
折	tsɤ2	
折	sɤ2	弄～了
撫	fu3	
抛	pʰau1	
摳	kʰəu1	
搶	tɕʰiaŋ3	
護	xu4	
報	pau4	
披	pʰei1	
抬	tʰai2	
抱	pau4	
抵	ti3	
抹	mo3	～药
抽	tsʰəu1	
拂	fu2	
擔	tan1	～任
擔	tan4	～子
拆	tsʰɤ2	
拇	mu3	
拈	niɛn1	
拉	na1	
拍	pʰɤ2	
拎	nin1	
拐	kuai3	
拒	tɕy4	
拔	pa2	
拖	tʰuo1	
拘	tɕy1	
招	tsau1	
拜	pai4	
揀	tɕiɛn3	
攔	nan2	
撥	po2	
擇	tsʰɤ2	
括	kua2	
拱	koŋ3	～手
拳	tɕʰyɛn2	
拼	pʰin1	
拾	sɿ2	
拿	na2	
持	tsʰɿ2	
挂	kua4	
指	tsɿ3	
挑	tʰiau1	
挾	ɕia2	～制
撓	nau1	
撓	ʐau2	又
擠	tɕi3	
揮	xuei1	
振	tsən3	
挺	tʰin3	
捅	tʰoŋ3	
捉	tsuo2	
捎	sau1	
捏	nie2	
捐	tɕyɛn1	
捕	pu4	
撈	nau2	
損	sən3	
撿	tɕiɛn3	
換	xuan4	
捧	pʰoŋ3	
捨	sɤ3	
据	tɕy4	
捲	tɕyɛn3	～起
捷	tɕie2	
捺	na2	
掇	tuo4	拾～
授	səu4	
掉	tiau4	
掏	tʰau1	
掐	kʰa1	白
掐	tɕʰia2	文
排	pʰai2	文
排	pʰai3	白
掘	tɕye2	
掠	nio2	
採	tsʰai3	
探	tʰan4	
接	tɕie2	
控	kʰoŋ4	
推	tʰuei1	
措	tsʰuo4	
擲	tsɿ2	
揆	kʰuei2	
揈	xoŋ1	
揉	ʐəu2	
描	miau2	
提	tʰi2	
插	tsʰa2	
揣	tsʰuai3	
揩	kʰai1	
揪	tɕiəu1	
揭	tɕie2	
攬	nan3	
攙	tsʰan1	
擱	kuo2	
摟	nəu3	
攪	kau3	白
攪	tɕiau3	文
搓	tsʰuo1	
搜	səu1	
搞	kau3	
搧	san4	
搬	pan1	
搭	ta2	
搽	tsʰa2	
攝	sɤ2	
摆	pai3	
攤	tʰan1	
摔	suai1	
摘	tsɤ2	
摞	nuo4	～起来
摩	mo1	
摩	mo2	又
摸	mo1	
摺	tsɤ2	
撅	tɕye2	～子
撇	pʰie2	
撑	tsʰən1	
撒	sa3	
撕	sɿ1	
撚	niɛn3	
撞	tsʰuaŋ4	
撤	tsʰɤ2	
撩	niau2	
播	po1	
播	po4	又
撮	tsʰuo2	
撰	tsuan4	
撼	xan4	
擀	kan3	
擅	san4	
操	tsʰau1	
擎	tɕʰin2	
擒	tɕʰin2	
擦	tsʰa2	
攀	pʰan1	
攘	ʐaŋ3	
支	tsɿ1	
收	səu1	
改	kai3	
攻	koŋ1	
放	faŋ4	
敁	tiɛn4	～掇
故	ku4	
效	ɕiau4	
敵	ti2	
敏	min3	
救	tɕiəu4	
教	tɕiau1	～书
教	tɕiau4	～育
斂	niɛn4	
敝	pei4	
敞	tsʰaŋ3	
敢	kan3	
散	san3	鞋带～了
散	san4	～会
敦	tən1	
敬	tɕin4	
數	su3	动词
數	su4	名词
敲	kʰau1	白
敲	tɕʰiau1	文
敷	fu1	
斋	tsai1	
斑	pan1	
斗	təu3	
斗	təu4	～争
料	niau4	
斜	ɕie2	
斟	tsən1	
斤	tɕin1	
斥	tsʰɿ2	
斧	fu3	
斷	tuan4	
斯	sɿ1	
新	ɕin1	
方	faŋ1	
施	sɿ1	
旁	pʰaŋ2	
旅	ny3	
旋	ɕyɛn2	
旌	tɕin1	
族	tsʰu2	
旗	tɕʰi2	
既	tɕi4	
日	ʐʅ2	又
旦	tan4	
舊	tɕiəu4	
旨	tsɿ3	
早	tsau3	
旬	ɕyn2	
旱	xan4	
時	sɿ2	
曠	kʰuaŋ4	
昆	kʰuən1	
昌	tsʰaŋ1	
明	min2	
昏	xuən1	
