#漢字	音標	解釋
□	tɕiou5	食物不新鲜
蝠	fu3	
蝶	tiɛ2	
螃	pʰɑŋ2	
融	ʐuŋ2	
融	ʑyŋ2	原文作记声母为ʐ
螳	tɑŋ5	
螺	luo5	~蛳
蟀	ʂuɛ5	
蟆	ma3	
蟒	mɑŋ3	
蟹	ɕiɛ5	
蟾	tʂʰan3	
蠓	məŋ1	
蠢	tʂʰuen3	
血	ɕyə2	
行	ɕiŋ3	~为
行	xɑŋ5	~行,银~
行	ɕiŋ5	品~
銜	ɕian5	
街	tɕiɛi5	
衙	ia2	
衡	xəŋ3	
衣	i2	
補	pu3	
表	piɑo3	
衫	ʂan2	
襯	tʂʰen5	
衰	ʂuɛ2	
襖	ŋɑo3	
袋	tɛ5	
袍	pʰɑo2	
袖	ɕiou5	
袜	ua3	
被	pei2	~迫
被	pʰi3	~子
襲	ɕi1	
裁	tsʰɛ3	
裂	liɛ5	
裝	tʂuɑŋ2	
裌	tɕia1	
裕	y5	
裙	tɕʰyn3	
褲	kʰu5	
襇	tɕian2	褶子
裳	ʂɑŋ3	
裴	pʰei3	
裸	luo5	
褒	pɑo1	
褚	tʂu3	
褸	lou3	
褥	ʐu5	
褪	tʰuei2	
褯	tɕiɛ5	
褶	tʂɤ5	
襄	ɕiɑŋ5	
襟	tɕin1	
襻	pʰan5	纽~
西	ɕi5	
要	iɑo5	~求
要	iɑo3	重~,想~
覆	fu5	
見	tɕian5	
觀	kuan2	参~,寺~
規	kuei2	
視	sɿ5	
覽	lan5	
覺	tɕyə5	睡~
覺	tɕyə2	知~
角	tɕyə2	
解	tɕiɛi5	~开.讲~
解	ɕiɛ5	姓氏.晓也
觸	tʂʰu5	
言	ian2	
譽	y5	
謄	tʰəŋ3	
誓	ʂʅ5	
警	tɕiŋ2	
譬	pʰi2	
計	tɕi5	
訂	tiŋ5	
認	ʐen5	
譏	tɕi3	
討	tʰɑo2	
讓	ʐɑŋ5	
訓	ɕyn5	
議	i5	
訊	ɕyn5	
記	tɕi5	
講	tɕiɑŋ3	
諱	xuei1	
許	ɕy3	
訛	ŋɤ3	
論	luen3	
論	luen2	~语
訟	suŋ1	
諷	fəŋ3	
設	ʂɤ1	
訪	fɑŋ2	
訣	sɑŋ2	
訣	tɕyə3	
證	tʂəŋ5	
評	pʰiŋ3	
識	ʂʅ3	~字
識	ʂʅ5	知~
詐	tsa3	
訴	su5	
診	tʂen2	
詞	tsʰɿ2	
詔	tʂɑo2	
譯	i5	
試	ʂʅ5	
詩	ʂʅ5	
話	xua5	
詭	kuei5	
該	kɛ2	
詳	ɕiɑŋ2	
誣	u3	
語	y3	
誘	iou1	
説	ʂuo5	~话
誦	suŋ1	
請	tɕʰiŋ3	
諾	ʐuo5	
讀	tu3	
課	kʰɤ1	
誰	ʂuei3	
調	tʰiɑo3	~和
調	tiɑo5	音~,~动
諒	liɑŋ3	
談	tʰan3	
誼	i2	
謀	mu5	
諜	tiɛ2	
謊	xuɑŋ5	
諫	tɕian5	
諧	ɕiɛ1	
謂	uei5	
讒	tʂʰan2	
諺	ian5	
謎	mi2	
謡	iɑo3	
謗	pɑŋ5	
謙	tɕʰian1	
謹	tɕin3	
謬	miou5	
譚	tʰan2	
譜	pʰu3	
谷	ku3	
豁	xuo5	
豆	tou5	
豇	tɕiɑŋ1	
豉	tʂʰʅ2	
豌	uan3	
豚	tʰuen2	
象	ɕiɑŋ5	
豪	xɑo2	
豫	y5	
豹	pɑo5	
豺	tsʰɛ3	
貂	tiɑo5	
貌	mɑo3	
貝	pei3	
貞	tʂen3	
負	fu5	
貢	kuŋ2	
財	tsʰɛ3	
責	tsɤ3	
賢	ɕian2	
敗	pɛ5	
賬	tʂɑŋ5	
貨	xuo5	
質	tʂʅ2	
販	fan3	
貪	tʰan2	
貧	pʰin3	
貶	pian3	
購	kou3	
貫	kuan5	
貳	ɚ5	~心
賤	tɕian5	
貼	tʰiɛ2	
貴	kuei5	
貸	tɛ5	
貿	mɑo5	
費	fei5	~用
賀	xɤ5	
賊	tsei3	
賄	xuei5	
賃	lin5	
賂	lu1	
贓	tsɑŋ2	
資	tsɿ2	
賒	ʂɤ1	
賦	fu5	
賭	tu3	
贖	ʂu3	
賞	ʂɑŋ3	
賜	tsʰɿ3	
賠	pʰei3	
賴	lɛ5	
贅	tʂuei5	
賺	tʂuan5	
賽	sɛ5	
贊	tsan1	
贈	tsəŋ2	
贏	iŋ5	
赤	tʂʰʅ3	
赦	ʂɤ5	
赫	xɤ5	
走	tsou3	
赴	fu5	
趙	tʂɑo5	
趕	kan3	
起	tɕʰi5	
趁	tʂʰen5	
超	tʂʰɑo5	
越	yə5	
趨	tɕʰy1	
趟	tʰɑŋ5	
趣	tɕʰy5	
躍	yə5	
躍	iɑo5	
跋	po2	
跌	tiɛ2	
跑	pʰɑo2	
距	tɕy5	
跟	ken2	
跨	kʰua5	
跪	kuei5	
路	lu1	
跳	tʰiɑo5	
跳	tʰiɑo5	又音
踐	tɕian5	
踐	tɕian5	~行
踏	tʰa5	
踢	tʰi2	
蹤	tsuŋ2	
踱	tuo5	
蹄	tʰi3	
蹭	tsʰəŋ3	
蹲	tuen2	
蹲	tsuen2	
身	ʂen2	
躬	kuŋ1	
躱	tuo5	
躺	tʰɑŋ3	
車	tʂʰɤ2	
車	tɕy2	~马炮
軋	tʂa2	
軒	ɕyan3	
轉	tʂuan5	~眼,~圈
輪	luen2	
軟	ʐuan3	
轟	xuŋ1	
轟	xuŋ3	
軸	tʂou5	
輕	tɕʰiŋ3	~重,年~
載	tsɛ5	满~
載	tsɛ2	车~,~重
轎	tɕiɑo5	
較	tɕiɑo5	
輔	fu5	
輛	liɑŋ3	
輦	nian3	
輩	pei5	
輝	xuei2	
輞	uɑŋ3	
輯	tɕi1	
輸	ʂu5	
轡	pʰei5	
轄	ɕia2	
轍	tʂɤ3	
辛	ɕin5	~苦
辭	tsʰɿ5	
辟	pʰi5	
辣	la5	
辨	pian5	
辯	pian5	
辮	pian5	
辰	tʂʰen3	
辱	ʐu5	
邊	pian2	
遼	liɑo3	
達	ta2	
遷	tɕʰian2	
迂	y2	
迅	ɕyn5	
過	kuo5	
邁	mɛ5	
迎	iŋ3	
運	yn5	
近	tɕin5	
還	xuan3	~原
還	xan5	~有
進	tɕin5	
違	uei2	
連	lian3	
遲	tʂʰʅ2	
迫	pʰo5	
述	ʂu5	
迷	mi3	
迸	pəŋ5	
迹	tɕi2	
追	tʂuei2	
退	tʰuei5	
送	suŋ5	
適	ʂʅ2	
逃	tʰɑo2	
逆	ni5	
選	ɕyan3	
透	tʰou5	
逐	tʂuo2	
遞	ti5	
途	tʰu2	
逗	tou5	
通	tʰuŋ2	
逛	kuɑŋ5	
逝	ʂʅ5	
逞	tʂʰəŋ3	
速	su5	
逢	fəŋ3	
逵	kʰuei3	
逸	i5	
逼	pi3	
遁	tuen5	
遂	suei3	
遇	y3	
遍	pian5	~地、一~
遐	ɕia1	
道	tɑo5	
遺	uei2	
遺	i2	~失
遣	tɕʰian2	
遭	tsɑo3	
遮	tʂɤ2	
遵	tsuen2	
避	pi5	
邀	iɑo2	
鄧	təŋ5	
那	na1	
那	na5	
邪	ɕiɛ2	
郵	iou2	
邵	ʂɑo5	
鄒	tʂou5	
鄰	lin5	
郁	y5	
郊	tɕiɑo2	
郎	lɑŋ2	
鄭	tʂəŋ5	
郝	xɑo3	
郡	tɕyn5	
部	pu5	
郭	kuo2	
都	tu3	~城
都	tou5	~是
鄂	ŋɤ5	
鄙	pi5	
酉	iou1	
酌	tʂuo2	
配	pʰei5	
酒	tɕiou3	
酣	xan5	
酥	su5	
酪	luo5	
酬	tʂʰou5	
醬	tɕiɑŋ3	
酵	tɕiɑo5	
酷	kʰu3	
酸	suan2	
釅	ian3	
醃	ian5	
醇	tʂʰuen3	
醉	tsuei5	
醋	tsʰu5	
醒	ɕiŋ1	
醮	tɕiɑo5	打~
采	tsʰɛ3	
釉	iou5	
釋	ʂʅ5	
里	li3	
重	tʂʰuŋ3	~复
重	tʂuŋ5	轻~
野	iɛ5	
量	liɑŋ5	~长短,数~
金	tɕin1	
釜	fu5	
鑑	tɕian5	
鏨	tsan2	~花
鍾	tʂuŋ3	
鏊	ŋɑo1	
針	tʂen2	
釘	tiŋ5	
釤	ʂan2	
釣	tiɑo5	
釵	tʂʰɛ2	
釵	tʂʰa5	
鈍	tuen5	
鈔	tʂʰɑo3	
钟	tʂuŋ3	
鋼	kɑŋ2	
鑰	yə5	
欽	tɕʰin2	
鈞	tɕyn5	
鉤	kou2	
錢	tɕʰian3	
鉗	tɕʰian3	
鉢	po1	
鑽	tsuan5	动词.木工工具
鐵	tʰiɛ2	
鈴	liŋ1	
鉛	tɕʰian5	
鐸	tuo2	
鐃	nɑo2	
鐺	tɑŋ2	烙饼工具
銅	tʰuŋ2	
鍘	tʂa2	
銘	miŋ3	
鉸	tɕiɑo2	
鏟	tʂʰan3	
銀	in2	
銀	ŋin3	
鋪	pʰu5	~设
鋪	pʰu3	店~
銷	ɕiɑo1	
鎖	suo3	
鋤	tsʰu5	
鍋	kuo2	
鏽	ɕiou5	
銼	tsʰuo2	
銼	tsʰuo5	
鋒	fəŋ3	
鐧	tɕian2	
鐧	tɕian5	
銳	ʐuei5	
錯	tsʰuo5	
錨	mɑo5	
錛	pen5	
錫	ɕi2	
錮	ku3	
鑼	luo2	
錘	tʂʰuei2	
錐	tʂuei3	
錦	tɕin2	
錠	tiŋ5	
鍵	tɕian2	
鍵	tɕian5	
鋸	tɕy5	
鍥	tɕʰiɛ5	镰刀
鍬	tɕʰiɑo2	
鍛	tuan3	
鍍	tu5	
鎮	tʂen5	
鑷	niɛ5	
鏡	tɕiŋ5	
鐙	təŋ5	
鐲	tʂuo1	
鐮	lian3	
鑲	ɕiɑŋ1	
長	tʂʰɑŋ3	~短
長	tʂɑŋ3	生~
門	men3	
閂	ʂuan2	
閃	ʂan3	
閉	pi5	
問	uen5	
闖	tʂʰuɑŋ2	
閏	uen5	
闲	ɕian2	
間	tɕian2	空~,~断
悶	men5	
閘	tsa1	
鬧	nɑo5	
閨	kuei5	
聞	uen5	
閩	min3	
閣	kɤ3	
鬮	tɕʰiou1	
閲	yə5	
閹	ian2	
閻	ian1	
闊	kʰuo5	
阜	fu5	
隊	tuei5	
阮	ʐuan3	
陽	iɑŋ3	
陰	in2	
陣	tʂen5	
階	tɕiɛ2	
阻	tsu3	
阿	a2	~胶、~哥
附	fu5	
際	tɕi5	
陸	lou5	
隴	ləŋ3	
陳	tʂʰen2	
陋	lou5	
陌	mo5	
降	tɕiɑŋ3	
降	tɕiɑŋ5	
限	ɕian5	
陝	ʂan3	
陛	pi5	
陡	tou3	
除	tʂʰu3	
險	ɕian3	
陪	pʰei3	
陵	liŋ1	
陶	tʰɑo2	
陷	ɕian3	
隆	ləŋ3	
隨	suei2	
隱	in3	
隔	kɤ3	
隘	ŋɛ3	
障	tʂɑŋ2	
隧	suei3	
隶	li3	
難	nan2	
雀	tɕʰyə5	
雁	ian2	
雁	ian5	
雄	ɕyŋ5	
雅	ia1	
集	tɕi3	
雇	ku5	
雉	tʂʅ2	
雌	tsʰɿ2	
雍	yŋ5	
雛	tʂʰu3	
雕	tiɑo5	
雨	y3	
雪	ɕyə2	
零	liŋ1	
雷	luei2	
雹	pɑo3	
霧	u5	
需	ɕy3	
霄	ɕiɑo1	
震	tʂen5	
黴	mei2	
霍	xuo3	
霜	ʂuɑŋ2	
霞	ɕia3	
露	lu5	
霸	pa3	
青	tɕʰiŋ2	
靖	tɕiŋ5	
靜	tɕiŋ5	
非	fei2	
靠	kʰɑo5	
面	mian5	
革	kɤ5	
靪	tiŋ5	
靴	ɕyə5	
靿	iɑo5	
鞋	ɕiɛi5	
鞍	ŋan2	
鞘	tɕʰiɑo5	
鞦	tɕʰiou5	
鞭	pian2	
韌	ʐen5	
韓	xan3	
韭	tɕiou3	
音	in2	
韻	yn5	
韶	ʂɑo5	~关
頁	iɛ5	
頂	tiŋ3	
頃	tɕʰiŋ2	
項	ɕiɑŋ5	
順	ʂuen5	
须	ɕy2	必~
须	ɕy1	胡~
頑	uan3	
顧	ku5	
頓	tuen5	
頒	pan5	
頌	suŋ1	
預	y5	
領	liŋ3	
頗	pʰo5	
頸	tɕiŋ3	
頻	pʰin3	
穎	ɕiŋ2	
題	tʰi3	
顔	ian2	
額	ŋɛ2	
顛	tian2	
顫	tʂʰan5	
顴	tɕʰyan2	
風	fəŋ2	
颼	sou2	
飄	pʰiɑo2	
飛	fei5	
食	ʂʅ3	
餐	tsʰan3	
饥	tɕi2	
飩	tuen5	
飯	fan5	
飲	in2	~酒,~米汤
飲	in3	~马
餞	tɕian5	
飾	ʂʅ1	
飽	pɑo2	
飽	pʰɑo3	
飼	sɿ5	
餌	ɚ5	
饒	ʐɑo5	
餃	tɕiɑo2	
餅	piŋ3	
餓	ŋɤ5	
餛	xuen2	
餡	ɕian3	
館	kuan3	
餿	sou2	
饞	tʂʰan2	
餾	liou5	
饅	man2	
首	ʂou5	
香	ɕiɑŋ2	
馨	ɕin2	
騇	ʂɤ5	
馬	ma3	
馱	tʰuo2	
馱	tʰuo1	~子
馳	tʂʰʅ5	
驅	tɕʰy2	
駁	po2	
驢	ly2	
駛	ʂʅ3	
駒	tɕy1	
駡	ma5	
驕	tɕiɑo5	
駱	luo5	
駭	xɛ3	
驗	ian3	
騎	tɕʰi3	
騙	pʰian5	~马.欺~
騷	sɑo2	
騾	luo5	
驟	tʂou1	
骨	ku2	
髓	suei3	
髻	tɕi3	
鬃	tsuŋ2	
鬏	tɕiou2	
鬢	pin5	
鬼	kuei2	
魁	kʰuei2	
魂	xuen3	
魄	pʰo5	
魘	ian1	
魏	uei5	
魔	mo2	
魚	y3	
魯	lu1	
鮑	pɑo1	
鮮	ɕian2	新~,~少
鯉	li3	
鰣	ʂʅ2	
鯨	tɕiŋ3	
鰓	sɛ5	
鰾	pʰiɑo2	
鱉	piɛ5	
鱖	kuei3	
鱗	lin5	
鳥	niɑo3	
鳩	tɕiou1	
雞	tɕi2	
鳴	miŋ3	
鴉	ia1	
鴨	ia2	
鴿	kɤ2	
鸞	luan3	
鴻	xuŋ1	
鴻	lu3	
鵝	ŋɤ1	
鵲	tɕʰyə5	
鵮	tɕʰian3	
鷂	iɑo5	
鶴	xɤ5	
鸚	iŋ5	
鷺	lu1	
鷹	iŋ2	
鹿	lou5	
麝	ʂɤ5	
麥	mei5	
麴	tɕʰy2	
麩	fu3	
麪	mian5	
麻	ma2	
麾	xuei3	
黃	xuɑŋ3	
黍	ʂu1	
黎	li2	
黏	nian3	
黑	xei3	
默	mo5	
黢	tɕʰy1	
鼎	tiŋ1	
鼓	ku3	
鼠	ʂu5	
鼬	iou5	
鼻	pi3	
鼾	xan5	
齊	tɕʰi3	
齒	tʂʰʅ3	
龍	ləŋ2	
龕	kʰan5	
龜	kuei2	
