#漢字	音標	解釋#('cmn_xn_xs_jg_rxxy', '榮縣旭陽話', '榮縣旭陽', '#C600FF', None, None, '版本：2022-01-07<br>來源：<u>Ascendanter</u>整理自《四川方言調查報告》《四川榮縣方言音系及其內部差異研究》', '45 1 1a 陰平 ꜀,21 2 1b 陽平 ꜁,42 3 2 上 ꜂,,214 5 3 去 ꜄')
森	sẽ1	
棱	lẽ2	
棲	ɕi1	
棵	kʰɔ3	
椄	tɕie5	
椅	i3	
椊	tsu5	
植	tsɿ5	
椑	pi5	親身棺
椒	tɕiɑʊ1	
椰	ie1	
椺	ɕi5	
椽	tsʰuã2	
椿	tsʰuẽ1	
楁	xe5	
楃	ɔ5	
楊	iã2	
楔	ɕie5	
楖	tɕi5	
楚	tsʰu3	
楞	lẽ5	
楣	məɪ2	
楦	ɕyn5	
楫	tɕie5	
楬	tɕie5	
業	ȵie5	
極	tɕi5	
楶	tɕie5	
楷	kʰɐɪ3	
概	kʰɐɪ5	
榅	ʋ̩5	
榆	y2	
榍	ɕie5	
榓	mi5	
榖	ku5	
榙	xɔ5	
榛	tsẽ1	
樧	sa5	
樧	se5	
榥	xuã3	
榨	tsa5	
榮	yn2	白读，多用于地名
榮	yŋ2	光荣，荣耀
榴	liəʊ2	
榷	tɕyo5	
榻	tʰa5	
榾	ku5	
槅	ke5	
槉	tɕi5	
槊	sɔ5	
構	kəʊ5	
槌	tsuəɪ1	
槍	tɕʰiã1	
槐	xuɐɪ2	
槓	kã5	
槢	ɕi5	
槳	tɕiã3	
槷	ȵie5	
樀	ti5	
樁	tsuã1	
樂	nɔ5	
樂	yo5	
樍	tɕi5	
樒	mi5	
樓	ləʊ2	
標	piɑʊ1	
樞	su1	
樟	tsã1	
模	mu2	
樣	iã5	
樣	iã1	
樴	tsɿ5	
樵	tɕʰiɑʊ2	
樹	su5	
樾	ye5	
橄	kã3	
橋	tɕʰiɑʊ2	
橐	tʰɔ5	
橙	tsʰẽ2	
橛	tɕye5	
橜	tɕye5	
機	tɕi1	
橫	xuã2	桥横头
橫	xuẽ2	
檀	tʰã2	
檍	i5	
檗	pe5	
檝	tɕi5	
檝	tɕie5	
檡	tsʰe5	
檢	tɕin3	
檳	pin1	
檴	xɔ5	
檾	tɕʰyn3	
櫃	kuəɪ5	
櫍	tsɿ5	
櫓	lu3	
櫝	tu5	
櫟	li5	
櫡	tsɔ5	
櫪	li5	
櫱	lie5	
櫻	ŋẽ1	
櫻	in1	
欄	lã2	
權	tɕʰyn2	
欖	lã3	
欛	pa5	
欠	tɕʰin5	
次	tsʰɿ5	
欣	tɕʰin1	
欥	i5	
欥	ye5	
欪	ɕi5	
欮	tɕye5	
欯	ɕi5	
欰	ɕy5	
欱	xɔ5	
欶	sɔ5	
欺	tɕʰi1	
欽	tɕʰin1	
款	kʰuã3	
歃	sa5	
歇	ɕie5	
歉	tɕʰin5	
歊	xɔ5	
歌	kɔ1	
歐	ŋəʊ1	
歙	se5	
歙	ɕi5	
歙	ɕie5	
歠	tsʰɔ5	
歡	xuã1	
歡	xuɐɪ1	欢喜
止	tsɿ3	
正	tsẽ5	
此	tsʰɿ5	
步	pu5	文读
步	pʰu1	白读
武	ʋ̩3	
歪	uɐɪ1	
歰	se5	
歲	suəɪ5	歲大：過輩，老了
歷	li5	
歸	kuəɪ1	
死	sɿ3	
殁	mu5	
殃	iã1	
殆	tɐɪ5	
殉	ɕyn5	
殊	su1	
殍	pʰiɑʊ3	
殕	ŋe5	
殖	tsɿ5	
殗	ie5	
殘	tsʰã2	
殛	tɕi5	
殜	tie5	
殟	ʋ̩5	
殟	yn1	品嘗（酒等）
殮	lin5	
殯	pin1	
殰	tu5	
殲	tɕʰin1	
段	tuã5	
殷	in1	
殺	sa5	
殿	tin5	
毀	xuəɪ3	
毅	i5	
毆	ŋəʊ3	
母	mu3	
每	məɪ3	
毒	tu5	
毓	y5	
比	pi3	
毛	mɑʊ2	
毣	mu5	
毫	xɑʊ2	
毯	tʰã3	
毼	xɔ5	
氈	tsã1	
氏	sɿ5	
民	min2	
氒	tɕye5	
氣	tɕʰi5	
水	suəɪ3	
永	yn3	
汀	tʰin1	
汁	tsɿ5	
求	tɕʰiəʊ2	
汊	tsʰa5	
汋	sɔ5	
汏	tʰa5	
汐	ɕi5	
汓	ɕiəʊ2	形容詞，表示臉皮厚，粘人
汔	tɕʰi5	
汗	xã5	
汙	ʋ̩1	
汝	zu3	
汞	koŋ3	
江	tɕiã1	
池	tsʰɿ2	
汨	mi5	
汩	ye5	
汪	uã1	
汲	tɕi5	
汴	pin5	
決	tɕye5	
汽	tɕʰi5	
沂	i2	
沃	ɔ5	
沉	tsʰẽ2	
沌	tẽ5	
沌	tʰẽ2	
沏	tɕʰie5	
沐	mu5	
沒	mu5	没收
沓	tʰa5	
沕	ʋ̩5	
沖	tsʰoŋ1	
沙	sa1	
沛	pʰəɪ5	
沞	tsa5	
沭	su5	
沰	tʰɔ5	
河	xɔ2	
沸	fəɪ5	
油	iəʊ2	
治	tsɿ5	
沼	tsɑʊ1	
沾	tsin1	
沿	in2	如，沿滩区
沿	yn2	现已罕用
況	kʰuã5	
泄	ɕie5	
泅	ɕiəʊ2	最老派
泆	i5	
泉	tɕʰyn2	
泊	pɔ5	
泌	mi5	
泔	kã1	
泛	fã5	
泡	pʰɑʊ5	
泡	pʰɑʊ1	
波	pɔ1	
泣	ɕi5	
泥	ȵi2	
泧	ɕye5	
泧	ye5	
注	tsu5	
泬	ɕye5	
泯	min3	
泰	tʰɐɪ5	
泳	yn5	
洋	iã2	
洌	lie5	
洓	tɕʰi5	
洗	ɕi3	
洛	nɔ5	
洞	toŋ5	
洞	toŋ1	
津	tɕin1	
洦	pʰe5	
洪	xoŋ2	
洫	ɕy5	
洬	su5	
洲	tsəʊ1	
活	xɔ5	
活	xɔ1	
洽	tɕʰia5	
派	pʰɐɪ5	
流	liəʊ2	
浖	lie5	
浙	tse5	
浚	tɕyn5	
浜	pã1	
浞	tsɔ5	
浡	pu5	
浣	kʰuã3	
浥	i5	
浥	ie5	
浦	pʰu3	
浩	xɑʊ5	
浪	lã5	
浮	foŋ2	
浮	pʰu2	
浴	y5	
海	xɐɪ3	
浸	tɕʰin5	
浹	tɕia5	
涅	lie5	
消	ɕiɑʊ1	
涉	se5	
涎	ɕin2	
涓	tɕyn1	
涕	tʰi5	
涮	suã5	
涯	ŋɐɪ2	
液	ie5	
涸	xɔ5	
涼	liã2	
涾	tʰa5	
涿	tsɔ5	
淁	tɕʰie5	
淂	te5	
淅	ɕi5	
淆	ɕiɑʊ2	
淈	ku5	
淋	lin2	
淑	su5	
淒	tɕʰi1	
淔	tsʰɿ5	水名
淕	lu5	
淚	luəɪ5	
淝	fəɪ2	
淡	tʰã5	
淢	ɕy5	
淢	y5	
淤	y1	
淧	mi5	
淨	tɕin5	
淩	lin2	
淪	lẽ2	
淫	in2	
淮	xuɐɪ2	
淯	y5	
深	sẽ1	
淴	ʋ̩5	
淵	yn1	
混	xuẽ5	
淹	ŋã1	
淹	in1	
淺	tɕʰin3	
添	tʰin1	
清	tɕʰin1	
渋	se5	
減	tɕin3	
渠	tɕʰy2	
渡	tu5	
渣	tsa3	渣粉，一种食物
渣	tsa1	
渤	pʰu5	
渥	ɔ5	
渧	ti5	滴也
測	tsʰe5	
港	kã3	
渴	kʰɔ5	
渺	miɑʊ3	
渾	kʰuẽ2	白讀，表示一整個的意思
渾	xuẽ2	
湀	tɕʰye5	
湁	tsʰe5	
湂	ŋɔ5	
湊	təʊ5	白讀，作動詞
湊	tsʰəʊ5	
湍	tʰuã1	
湒	tɕi5	
湖	fu2	
湜	tsɿ5	
湧	yŋ3	
湯	tʰã1	
湱	xɔ5	
溉	kʰɐɪ5	
源	yn2	
準	tsuẽ3	
溜	liəʊ1	
溜	liəʊ5	
溝	kəʊ1	
溢	i5	
溥	pʰu3	溥儀
溦	uəɪ2	
溧	li5	
溪	tɕʰi1	
溫	uẽ1	
溭	tse5	
溶	yŋ3	
溹	sɔ5	
溺	li5	
溼	sɿ5	
滂	pʰã2	
滅	mie5	
滆	xe5	
滋	tsɿ1	
滌	ti5	
滎	in2	
滑	xua5	
滔	tʰɑʊ1	
滬	fu5	
滭	pi5	
滯	tsɿ5	
滲	sẽ5	
滴	ti5	
滵	mi5	
滸	fu3	
滾	kuẽ3	
滿	mã3	
滿	mẽ3	又读
漁	y2	
漂	pʰiɑʊ1	
漂	pʰiɑʊ5	
漆	tɕʰi5	
漉	lu5	
漏	ləʊ5	
漏	ləʊ1	
漐	tsʰe5	
演	in3	
漚	ŋəʊ1	
漚	ŋəʊ5	
漞	mi5	
漠	mɔ5	
漢	xã5	
漫	mã5	
漱	su5	
漲	tsã3	
漸	tɕin5	
漿	tɕiã1	
潎	pʰie5	
潏	tɕye5	
潑	pɔ5	活潑
潑	pʰɔ5	潑水
潔	tɕi5	
潔	tɕie5	
潗	tɕi5	
潘	pʰã1	
潛	tɕʰin2	
潝	ɕi5	
潟	ɕi5	
潤	zuẽ5	
潦	liɑʊ2	
潩	i5	
潪	tsɿ5	
潭	tʰã2	
潮	tsʰɑʊ2	
潰	kʰuəɪ5	
潲	sɑʊ5	
潶	xe5	
潷	pi5	
潺	tsʰã2	
澀	se5	
澁	se5	
澄	tẽ1	
澄	tsʰẽ2	
澆	tɕiɑʊ1	
澈	tsʰe5	
澡	tsɑʊ3	
澤	tsʰe5	
澩	tsɔ5	
澲	ȵie5	
澺	i5	
澼	pʰi5	
澾	tʰa5	
激	tɕi5	
濁	tsʰɔ5	
濃	loŋ2	
濇	se5	
濊	xɔ5	水聲
濕	sɿ5	
濗	mi5	
濙	in2	
濙	in3	
濟	tɕi5	
濤	tʰɑʊ2	
濩	xɔ5	
濫	lã5	
濯	tsɔ5	
濴	yn2	
濺	tɕin5	
濼	nɔ5	
濾	ly5	
瀅	in2	
瀆	tu5	
瀉	ɕie5	
瀋	sẽ3	
瀎	mie5	
瀑	pʰu5	
瀖	xɔ5	
瀝	li5	
瀷	i5	
瀹	yo5	
灂	tsɔ5	
灋	fa5	
灌	kuã5	
灑	sa3	
灑	sɐɪ3	
灘	tʰã1	
灣	uã1	
火	xɔ3	
灰	xuəɪ1	
灶	tsɑʊ5	
灸	tɕiəʊ3	也有人读阴平
灸	tɕiəʊ1	有上声读法
灼	tsɔ5	
災	tsɐɪ1	
炅	tɕin3	
炈	y5	
炊	tsʰuəɪ1	
炎	in1	
炒	tsʰɑʊ3	
炕	kʰã5	
炙	tsɿ5	
炠	ɕia5	
炥	fʋ̩5	
炪	tsɔ5	
炭	tʰã5	
炮	pʰɑʊ5	
炯	tɕin3	
炸	tsa5	
為	uəɪ2	
為	uəɪ5	
烈	lie5	
烏	ʋ̩1	
烒	sɿ5	
烕	ɕye5	
烘	xoŋ1	
烙	nɔ5	
烚	ɕia5	
烤	kʰɑʊ3	
烹	pʰẽ1	
烾	tsʰɿ5	
焃	xɔ5	
焅	kʰu5	
焆	ie5	
焉	in1	
焎	ɕie5	
焚	fẽ2	
焟	ɕi5	
無	ʋ̩2	
焦	tɕiɑʊ1	
焫	zɔ5	
焭	tɕʰyn2	
焯	tsɔ5	明顯，明白
焰	in5	
焲	i5	
焴	y5	
然	zã2	
煉	ȵin5	
煎	tɕin1	
煙	in1	
煚	tɕyn3	
煛	tɕin3	
煜	y5	
煞	sa5	
煠	tsa5	
煠	ie5	
煢	tɕʰyn2	
煥	xuã5	
照	tsɑʊ5	
煨	uəɪ1	
煩	fã2	
煮	tsu3	
熁	ɕie5	
熄	ɕi5	
熆	xa5	
熇	xɔ5	
熊	ɕyŋ2	
熏	ɕyn1	
熒	in2	
熔	yŋ2	
熙	ɕi1	
熚	pi5	
熟	su5	
熨	yn5	
熬	ŋɑʊ1	
熬	ŋɑʊ2	
熭	ye5	
熱	ze5	
熲	tɕin3	
熻	ɕi5	
熼	i5	
燁	ie5	
燃	zã2	
燈	tẽ1	
燉	tẽ5	
燋	tɕyo5	
燎	liɑʊ2	
燎	liɑʊ3	
燏	ye5	
燒	sɑʊ1	
燕	in5	
燙	tʰã5	
營	yn2	
燡	i5	
燦	tsʰã5	
燩	tɕʰi5	
燭	tsu5	
燮	ɕie5	
爀	xe5	
爆	pɑʊ5	
爇	zɔ5	
爊	ŋɑʊ1	
爍	sɔ5	
爐	lu2	
爗	ie5	
爚	yo5	
爛	lã5	
爛	lã1	
爝	tɕyo5	
爪	tsɑʊ3	
爪	tsua5	动词，踢。又有扑克的玩法“爪么四”
爪	tsua3	
爬	pʰa2	
爭	tsẽ1	
爵	tɕyo5	
父	fʋ̩5	
爸	pa5	
爹	ti1	
爺	ie2	
爻	iɑʊ2	
爽	suã3	又音
爾	ɚ3	
牀	tsʰuã2	
牃	tie5	
牆	tɕʰiã2	
片	pʰin5	
版	pã3	
牌	pʰɐɪ2	
牐	tsa5	
牒	tie5	
牘	tu5	
牙	ŋa2	仅用于词组“牙巴”
牙	ia2	
牛	ȵiəʊ2	
牝	pin5	
牟	moŋ2	牟利
牟	mu2	地名，来牟镇
牡	moŋ3	
牢	lɑʊ2	
牧	mu5	
物	ʋ̩5	
牯	ku3	1.表示公牛。2.形容人犟，固執
牲	sẽ1	
特	tʰe5	
牽	tɕʰin1	
犀	ɕi1	
犁	li2	
犆	tsɿ5	
犒	kʰɑʊ5	
犖	lɔ5	
犟	tɕiã5	
犢	tu5	
犦	pɔ5	
犧	ɕi1	
犬	tɕʰyn3	
犯	fã5	
狀	tsuã5	
狂	kʰuã2	
狃	ȵiəʊ5	
狄	ti5	
狎	ɕia5	
狐	fu2	
狗	kəʊ3	
狘	ɕye5	
狡	tɕiɑʊ3	
狢	xɔ5	
狤	tɕi5	
狤	tɕie5	
狹	ɕia5	
狼	lã2	
猛	mən3	
猜	tsʰɐɪ1	
猝	tsʰu5	
猰	ia5	
猲	xa5	
猲	xɔ5	
猲	ɕie5	
猲	tɕie5	
猴	xəʊ2	
猶	iəʊ2	
猾	xua5	
獃	ŋɐɪ1	
獄	yo5	
獅	sɿ1	
獎	tɕiã3	
獝	ɕy5	
獡	sɔ5	
獥	ɕi5	
獥	tɕi5	
獨	tu5	
獲	xɔ5	
獵	lie5	
獸	səʊ5	
獺	tʰa5	
獻	ɕin5	
玃	tɕyo5	
玄	ɕyn2	
率	sɔ5	老派文讀，如效率
率	suɐɪ5	
率	ly5	
玉	y5	
王	uã2	
玓	ti5	
玥	ye5	
玦	tɕye5	
玩	uã2	
玫	məɪ2	
玻	pɔ1	
玾	tɕia5	
珀	pe5	
珊	suã1	
珌	pi5	
珍	tsẽ1	
珏	tɕyo5	
珞	nɔ5	
珠	tsu1	
珨	ɕia5	
珬	ɕy5	
班	pã1	
現	ɕin5	
現	ɕyn5	
球	tɕʰiəʊ2	
理	li3	
琉	liəʊ2	
琙	y5	
琛	tsʰẽ1	
琡	tsu5	
琢	tsɔ5	
琴	tɕʰin2	
琵	pʰi2	
瑇	tu5	
瑕	ɕia2	
瑞	suəɪ5	老
瑟	se5	
瑣	sɔ3	
瑩	yn2	
瑮	li5	
瑰	kuəɪ5	
瑴	tɕyo5	
璀	tsʰuəɪ3	
璃	li2	
璏	ye5	
璚	tɕʰyn2	
璞	pʰɔ5	
璟	tɕyn3	
璧	pi5	
環	xuã2	
璽	ɕɿ3	
瓁	ŋɔ5	
瓄	tu5	
瓅	li5	
瓊	tɕʰyn2	
瓜	kua1	
瓝	pɔ5	
瓞	tie5	
瓟	pɔ5	
瓠	fu2	
瓠	fu5	
瓢	pʰiɑʊ2	
瓣	pã5	
瓤	zã2	瓤：果肉
瓦	ua3	
瓶	pʰin2	
瓷	tsʰɿ2	
甄	tsẽ1	
甄	tɕin1	又读
甋	ti5	
甑	tsẽ5	～子飯
甕	ʋ̩ŋ5	
甘	kã1	
甚	sẽ5	
甜	tʰin2	
生	sẽ1	
產	tsʰã3	
甥	sẽ1	
用	yŋ5	
用	yŋ1	
甫	pʰu3	
甬	yŋ3	
田	tʰin2	
由	iəʊ2	
甲	tɕia5	
申	sẽ1	
甶	fʋ̩5	
男	nã2	
界	kɐɪ5	罕用
界	tɕie5	文讀
畏	uəɪ5	
留	liəʊ2	
畚	pẽ3	
畜	tsʰu5	畜牲
畝	moŋ3	
畟	tɕi5	
畢	pi5	
略	lyo5	
番	fã1	
畫	ua5	
異	i5	
當	tã1	
當	tã5	
畷	tsɔ5	
疀	tsʰa5	
疆	tɕiã1	
疊	tie5	
疏	su1	
疑	ȵi2	
疙	li5	
疝	sã5	
疤	pa1	
疦	ɕye5	
疦	tɕye5	
疫	y5	
疲	pʰi2	
疵	tsʰɿ1	
疹	tsẽ1	濕～
疼	tʰẽ2	
疽	tɕy1	
疾	tɕi5	
痄	tsa3	
病	pin5	
症	tsẽ5	
痊	tɕʰyn2	
痔	tsɿ5	
痕	xẽ2	
痛	tʰoŋ5	
痢	li5	
痬	i5	
痰	tʰã2	
痱	fəɪ5	
痹	pʰi2	
瘋	foŋ1	
瘚	tɕye5	
瘛	tsʰe5	
瘟	uẽ1	
瘠	tɕi5	
瘡	tsʰuã1	
瘦	səʊ5	
瘧	yo5	
癟	pia3	
瘸	tɕʰye2	
瘼	mɔ5	
癆	lɑʊ5	
癆	lɑʊ1	
癖	pʰi5	
癟	pʰie5	
癡	tsʰɿ1	
癢	iã3	
癤	tɕie5	
癧	li5	
癨	xɔ5	
癩	lɐɪ5	
癬	ɕyn3	
癶	pɔ5	
癸	kʰuəɪ2	
登	tẽ1	
發	fa5	
白	pe5	
百	pe5	
皀	pi5	
皂	tsʰɑʊ5	
皃	mɔ5	
的	le1	
的	ti5	
皆	tɕiɐɪ1	
皇	xuã2	
皖	xuã3	
皖	kʰuã3	又读
皚	ŋɐɪ2	
皟	tsʰe5	
皣	ie5	
皪	li5	
皭	tɕyo5	
皮	pʰi2	
皴	tɕyn1	
皵	tɕʰi5	
皵	tɕʰyo5	
皺	tsoŋ5	
皾	tu5	
皿	min3	
盂	y1	
盅	tsoŋ1	
盆	pʰẽ2	
盈	in2	
益	i5	
盋	pɔ5	
盍	xa5	
盒	xɔ5	
盔	kʰuəɪ1	
盛	sẽ5	
盛	tsẽ2	
盜	tɑʊ5	
盞	tsã3	
盟	mən2	
盡	tɕin5	
監	tɕin1	
盤	pʰã2	
盦	ŋa5	
盧	lu2	
目	mu5	
盯	tin1	文读
盯	tin2	白读，疑不是本字
盲	mã2	
直	tsɿ5	
相	ɕiã1	
相	ɕiã5	
盼	pʰã5	
盾	tẽ5	
省	sẽ3	
省	ɕin3	
眉	məɪ2	
眉	mi2	老
眊	mɔ5	
看	kʰã5	
眓	xɔ5	
眔	tʰa5	
真	tsẽ1	
眠	min2	
眣	tsʰɿ5	
眨	tsa5	
眩	ɕyn5	
眲	le5	
眶	kʰuã1	
眷	tɕyn5	
眸	moŋ2	
眼	in3	
眽	me5	
眾	tsoŋ5	
睃	sɔ2	
睏	kʰuẽ5	睡覺
睗	sɿ5	
睘	tɕʰyn2	
睛	tɕin1	
睜	tsẽ1	
睜	tsʰẽ1	
睡	suəɪ5	
督	tu5	
睦	mu5	
睫	tɕie5	
睬	tsʰɐɪ3	
瞀	mɔ5	
瞁	ɕy5	
瞊	tã5	瞙瞊：眼部殘疾者
瞎	ɕia5	
瞐	mɔ5	
瞖	i5	
瞙	mɔ5	瞙瞊：眼部殘疾者
瞞	mã2	
瞟	pʰiɑʊ3	白讀，作動詞
瞟	pʰiɑʊ2	
瞥	pʰie5	
瞧	tɕʰiɑʊ2	
瞪	tẽ5	
瞬	suẽ5	
瞭	liɑʊ3	
瞰	kʰã5	
瞱	ie5	
瞲	ɕye5	
瞳	tʰoŋ2	
瞻	tsã1	
瞿	tɕʰy2	
矆	ɕyo5	
矐	xɔ5	
矗	tsʰu5	
矚	tsu5	
矛	mɑʊ2	
矞	ye5	
矟	sɔ5	
矠	tse5	
矠	tsʰe5	
矢	sɿ3	
矣	i3	
知	tsɿ1	
矩	tɕy3	
矬	tsʰɔ2	
短	tuã3	
矮	ŋɐɪ3	
矯	tɕiɑʊ3	
石	sɿ5	
石	sɿ1	
矹	ʋ̩5	
矺	ta5	
矺	tʰɔ5	
矺	tse5	
矻	kʰu5	
砌	tɕʰi5	
砎	ɕia5	
砎	tɕia5	
研	ȵin1	
研	ȵin2	
破	pʰɔ5	
砸	tsa5	
硈	tɕʰia5	
硌	nɔ5	
硝	ɕiɑʊ1	
硞	kʰu5	[碌～]: 石不平的樣子
硤	ɕia5	
硦	nɔ5	
硩	tsʰe5	
硩	tʰi5	
硫	liəʊ2	
硬	ŋẽ5	
硬	ŋẽ1	
硯	in5	
硯	ȵin5	
碌	lu5	
碎	suəɪ5	文讀，名詞。如：碎片
碎	tsʰuəɪ5	白讀，文讀1，作動詞。如：粉碎
碏	tɕʰyo5	
碑	pəɪ1	
碗	uã3	
碡	tu5	
碣	tɕie5	
碧	pi5	
碩	sɔ5	
碩	sɿ5	
碰	pʰã3	白讀，如：这个花瓶～不得
碰	pʰoŋ5	
確	tɕʰyo5	
碻	tɕʰyo5	
碼	ma3	
碾	ȵin3	
磁	tsʰɿ2	
磆	xua5	
磍	ɕia5	
磔	tse5	
磕	kʰɔ5	
磚	tsuã1	
磟	lu5	
磧	tɕʰi5	
磨	mɔ2	动词
磨	mɔ5	名词
磨	mɔ1	名词
磬	tɕʰin5	
磶	ɕi5	
磷	lin2	
磼	tsa5	
磿	li5	
礊	xɔ5	
礊	kʰe5	
礍	tɕie5	
礙	ŋɐɪ5	
礡	pɔ5	
礤	tsʰa5	
礦	kʰuã5	
礫	li5	
礬	fã2	
示	sɿ5	
社	se5	
礿	yo5	
祀	sɿ5	
祈	tɕʰi2	
祋	tɔ5	
祏	sɿ5	
祐	iəʊ5	
祓	fʋ̩5	
祖	tsu3	
祝	tsu5	
神	sẽ2	
祠	tsʰɿ2	
祥	ɕiã2	
票	pʰiɑʊ5	
祫	ɕia5	
祭	tɕi5	
祿	lu5	
禁	tɕin5	
禍	xɔ5	
福	fu5	
禜	yn5	
禦	y5	
禧	ɕi1	
禪	sã2	
禪	sã5	禪讓
禮	li3	
禱	tɑʊ3	
禴	yo5	
禹	y3	
禽	tɕʰin2	
禾	xɔ2	
禿	tʰu5	
秀	ɕiəʊ5	
私	sɿ1	
秉	pin3	
秋	tɕʰiəʊ1	
科	kʰɔ1	
秒	miɑʊ3	
秕	pʰi3	
秘	mi5	
秝	li5	
租	tsu1	
秤	tsʰẽ5	
秦	tɕʰin2	
秧	iã1	
秨	tsɔ5	
秩	tsʰɿ5	
秫	su5	
秳	xɔ5	秳蔴
秷	tsɿ5	
秸	tɕia5	
移	i2	
稀	ɕi1	
稄	tse5	
稅	suəɪ5	
稈	kã3	
程	tsʰẽ2	
稍	sɑʊ1	
稑	lu5	
稗	pɐɪ5	
稙	tsɿ5	
稚	tsɿ5	
稟	pin3	
稠	tsʰəʊ2	
稡	tsu5	
種	tsoŋ3	
種	tsoŋ5	
稱	tsʰẽ1	
稱	tsʰẽ5	
稷	tɕi5	
稻	tɑʊ5	
稻	tɑʊ1	
稼	tɕia5	
稼	tɕia1	
稽	tɕi1	
稽	tɕʰi1	仅用于乐山地名，蘇稽
稿	kɑʊ3	
穀	ku5	
穄	tɕi5	
穆	mu5	
穋	lu5	
積	tɕi5	
穎	in3	
穕	tɕʰie5	
穗	suəɪ5	
穗	xuəɪ5	
穛	tsɔ5	
穡	se5	
穢	xuəɪ5	
穩	uẽ3	
穫	xɔ5	收穫
穱	tsɔ5	
穴	ɕye5	
穵	ia5	
穵	ua5	
究	tɕiəʊ5	
穸	ɕi5	
穹	tɕʰyŋ2	
空	kʰoŋ1	
空	kʰoŋ5	
穿	tsʰuã1	
突	tʰu5	
窄	tse5	
窇	pɔ5	
窒	tsɿ5	
窖	kɑʊ5	
窗	tsʰã1	
窘	tɕyn3	
窟	kʰu5	
窠	kʰɔ3	
窡	tsua5	
窨	in5	
窩	ɔ1	
窪	ua1	
窫	ia5	
窮	tɕʰyŋ2	
窯	iɑʊ2	
窸	ɕi5	
窺	kʰuəɪ1	
竄	tsʰuã5	
竅	tɕʰiɑʊ5	
竊	tɕʰie5	
立	li5	
站	tsã5	
竟	tɕin5	
章	tsã1	
竣	tɕyn5	
童	tʰoŋ2	
竭	tɕie5	
端	tã1	
競	tɕin5	
竹	tsu5	
竺	tsu5	
竿	kã1	
笈	tɕi5	
笊	tsɑʊ5	
笑	ɕiɑʊ5	
笘	tie5	
笙	sẽ1	
笚	ta5	
笚	ɕia5	
笛	ti5	
笠	li5	□笠：斗笠：ŋɔ21˩ lɛ21˩，前字疑似箬
符	fʋ̩2	
笧	tsʰe5	
笨	pẽ5	
第	ti5	
笮	tsɔ5	
笮	tse5	
笰	fʋ̩5	
笿	nɔ5	
筆	pi5	
等	tẽ3	
筋	tɕin1	
筍	sẽ3	
筏	fa5	
筐	kʰuã1	
筒	tʰoŋ2	
答	ta5	
策	tsʰe5	
筰	tsɔ5	
筲	sɑʊ1	
筴	tɕia5	
筵	in2	
筷	kʰuɐɪ5	
箅	pi5	
箋	tɕin1	
箍	kʰu1	
箏	tẽ1	仅用于口语词组“风筝”
箔	pɔ5	
算	suã5	
管	kuã3	
箬	zɔ5	粽箬
箭	tɕin5	
箱	ɕiã1	
箸	tsu5	筷子
箾	sɔ5	
箿	tɕi5	
節	tɕie5	
範	fã5	
篆	tsuã5	
篇	pʰin1	
築	tsu5	
篋	tɕʰie5	
篕	xa5	
篞	lie5	
篡	tsʰuã5	
篥	li5	
篦	pi5	
篧	tsɔ5	
篩	sɐɪ1	
篩	suɐɪ1	
篲	tsʰuəɪ3	形容詞，表不結實
篴	ti5	通（笛）
篴	tsu5	
篷	pʰoŋ2	
篹	suã3	
篾	mie5	
簀	tse5	
簇	tsʰu5	
簍	ləʊ3	
簎	tsʰɔ5	
簎	tɕi5	
簡	tɕin3	
簪	tsã1	
簫	ɕiɑʊ1	
簷	in2	
簸	pɔ3	
簽	tɕʰin1	
簾	lin2	
簿	pɔ5	也有读pu214的
簿	pu5	
籃	lã2	
籊	ti5	
籊	tʰi5	
籌	tsʰəʊ2	
籍	tɕi5	
籜	tʰɔ5	
籠	loŋ2	
籤	tɕʰin1	
籥	yo5	
籬	li2	
籮	lɔ2	
籲	y5	
米	mi3	
粉	fẽ3	
粒	li5	
粕	pʰɔ5	
粖	mie5	
粗	tsʰu1	
粘	ȵin2	
粟	su5	
粥	tsu1	
粱	liã2	
粵	ye5	
粹	tsʰuəɪ5	
粽	tsoŋ5	
精	tɕin1	
糅	zəʊ2	
糍	tsʰɿ2	
糏	ɕie5	
糓	ku5	
糕	kɑʊ1	
糖	tʰã2	
糙	tsʰɑʊ5	
糜	mi2	
糞	fẽ5	
糟	tsɑʊ1	
糠	kʰã1	
糧	liã2	
糪	pe5	
糪	pʰe5	
糯	nɔ5	糯米
糱	lie5	
糲	li5	糲米飯
糳	tsɔ5	
糴	ti5	
糶	tʰiɑʊ5	
系	ɕi5	
系	tɕi5	
糾	tɕiəʊ1	
紀	tɕi3	白讀，紀律
紀	tɕi5	文讀，世紀
紂	tsəʊ5	
約	yo5	
紅	xoŋ2	
紈	uã2	
紉	zẽ3	
紉	zẽ5	
紋	uẽ2	
納	na5	
紐	ȵiəʊ3	
純	suẽ2	
紗	sa1	
紙	tsɿ3	
級	tɕi5	
紛	fẽ1	
素	su5	
紡	fã3	
索	sɔ5	
紩	tsʰɿ5	
紫	tsɿ3	
紮	tsa5	
累	luəɪ5	
細	ɕi5	
紱	fʋ̩5	
紹	sɑʊ5	
紼	fʋ̩5	
終	tsoŋ1	
組	tsu3	
絆	pã5	
結	tɕie5	
絕	tɕye5	
絜	ɕie5	
絜	tɕie5	
絞	tɕiɑʊ3	
絟	tɕʰye5	
