#漢字	音標	解釋
喎	vo3	～人：叫人
詳	sioŋ2	
詹	tsam1	
誄	loi3	
誅	tsu1	
認	ŋin5	
誓	sɿ5	
誕	tan5	
誘	iu5	
語	ŋi1	
誠	sən2	
誡	kiai5	
誣	mu2	
誦	siuŋ5	
說	sot7	
誰	sui2	
課	kʰo5	
誼	ŋi5	
調	tʰiau2	
調	tiau5	
調	tʰiau5	曲～
諄	tun1	
談	tʰam2	
請	tsʰiaŋ3	
諏	tseu1	
諒	lioŋ5	
論	lun5	
諧	hai2	
諫	kian3	
諱	vi3	
諷	fuŋ3	
諺	ŋian5	
謀	meu2	
謂	vi5	
謄	kian5	
謊	foŋ1	
謎	mi2	
謗	poŋ3	
謙	kʰiam1	
講	koŋ3	
謝	tsʰia5	
謠	iau2	
謬	miau5	
謹	kiun3	
證	tsən5	
譏	ki1	
譚	tʰam2	
譜	pʰu3	
警	kin3	
譬	pi3	
譯	it8	
議	ŋi5	
譴	kʰian3	
譽	i5	
讀	tʰuk8	
變	pien5	
讒	tsʰam2	
讓	ŋioŋ5-	
讓	ioŋ5	
託	tʰok7	
谷	kuk7	
豁	hot7	
豆	tʰeu5	
豈	kʰi2	
豉	sɿ5	
豌	von3	
豎	su5	
豐	fuŋ1	
豔	iam5	
豕	sɿ5	
豚	tʰun2	
象	sioŋ5	
豬	tsu1	
豹	pau5	
貂	tiau1	
貌	mau5	
貓	miau5	
貝	pi5	
貞	tsən1	
負	fu5	
財	tsʰoi2	
貢	kuŋ5	
貨	fo5	
販	fan5	
貪	tʰam1	
貫	kuon5	
責	tsit7	
貳	ŋi5	
貴	kui5	
買	mai1	
貸	tʰoi5	
費	fi5	
貼	tiap7	
貼	tʰiap7	
貿	miau3	
賃	im5	
賅	koi1	
資	tsɿ1	
賈	ka3	
賊	tsʰet8	
賒	tsʰa1	
賓	pin1	
賜	tsʰɿ5	
賞	soŋ3	
賠	pʰoi2	
賢	hian2	
賣	mai5	
賤	tsʰien5	
賦	fu5	
賬	tsoŋ5	
賭	tu3	
賴	lai5	
賺	tsʰon5	
賽	soi5	
贈	len5	
贊	tsan5	
贏	iaŋ2	
贓	tsoŋ1	
赦	sa5	
走	tseu3	
赴	fu5	
起	hi3	
趁	sən5	
超	tsʰau1	
越	iat8	
趕	kon3	
趙	tsʰau5	
趟	tʰoŋ3	
趣	tsʰi5	
趨	tsʰi1	
足	tsiuk7	
趾	tsɿ3	
跋	pʰat8	
跑	pʰau1	
跛	pai1	
距	kʰi1	
跟	ken1	
跡	tsiak7-	
跤	kau1	
跪	kʰui3	
路	lu5	
跳	tʰiau5	
跺	to3	
踏	tʰap8	
踢	tʰet7	
踩	tsʰai3	
踭	tsaŋ1	腳～：腳後跟
踱	tʰu5	
蹁	pʰien1	
蹄	tʰai2	
蹈	tʰau1	
蹩	piet7	
蹭	tsʰen5	
蹲	tsun1	
蹲	tsʰun2	
蹼	pʰuk8	
蹽	liau1	
躁	sau1	
躁	tsʰau5	
躚	tsʰien1	
躡	ŋiap7	
身	sən1	
躬	kiuŋ1	
躲	to3	
躺	tʰoŋ3	
車	tsʰa1	
車	ki1	
軋	tsap7	
軌	kui3	
軍	kiun1	
軒	hian1	
軛	ak7	
軟	ŋion1	
軫	tsən3	
軸	tsʰuk8	
較	kau3	
載	tsoi5	
輓	van3	
輕	kʰiaŋ1-	
輕	kʰin1	
輛	lioŋ2	
輜	tsɿ1	
輦	ŋiam1	
輩	pi5	
輪	lun2	
輸	su1	
轄	hot8	
轅	ian2	
轉	tson3	
轎	kʰiau5	
轟	vaŋ2	
辛	sin1	
辟	pʰit7	
辣	lat8	
辦	pʰan5	
辨	pʰien5	
辭	tsʰɿ2	
辮	pien1	
辯	pʰien5	
辰	sən2	
辱	iuk8	
農	nuŋ1	
迂	i1	
迅	sin3	
迎	ŋiaŋ2	
近	kʰiun1-	
近	kʰiun5	
返	fan3	
迪	tʰit8	
迫	pit7	
述	sut8	
迷	mi2	
追	tsui1	
退	tʰui5	
送	suŋ5	
逃	tʰau2	
逆	ŋiak8	
透	tʰeu5	
逐	tsʰuk8	
途	tʰu2	
逖	tʰit7	
逗	tʰeu5	
這	tse3	
通	tʰuŋ1	
逛	kuoŋ5	
逝	sɿ5	
逞	tsʰən3	
速	suk7	
造	tsʰau5	
逢	fuŋ2	
連	lien2	
進	tsin5	
逵	kʰui2	
逸	it8	
逼	pit7	
逾	i5	
遁	tʰun3	
遂	sui5	
遇	ŋi5	
遊	iu2	
運	iun5	
遍	pʰien1	
過	kuo5	
遏	ot7	
遐	ha2	
道	tʰau5	
達	tʰat8	
違	vi2	
遜	sun1	
遝	tʰap7	
遞	tʰi5	
遠	ian3	
遣	kʰian3	
適	sət7	
遭	tsau1	
遮	tsa1	
遲	tsʰɿ2	
遵	tsun1	
遷	tsʰien1	
選	sien3	
遺	vi2	
遼	liau2	
避	pʰit7	
邁	mai3	
還	fan2	
還	van2	
還	han2	
邊	pien1	
邏	lo2	
邑	ip7	
那	na3	
邦	paŋ1	
邪	sia2	
邵	sau5	
郊	kau1	
郝	kʰok7	
郡	kiun3	
部	pʰu5	
郭	kuok7	
郴	tsʰən1	
郵	iu2	
都	tu1	
鄉	hioŋ1	
鄒	tseu1	
鄙	pʰi3	
鄧	tʰen5	
鄭	tsʰaŋ5	
鄰	lin2	
酉	iu2	
酌	tsok7	
配	pʰi5	
酒	tsiu3	
酥	sɿ1	
酬	tsʰu2	
酵	kau5	
酷	kʰuk7	
酸	son1	
醇	sun2	
醉	tsui5	
醋	tsʰɿ5	
醒	siaŋ3	
醜	tsʰu3	
醫	i1	
醬	tsioŋ5	
釀	ŋioŋ5	
釁	hin3	
釅	ŋiam2	
采	tsʰai3	
釉	iu5	
里	li1	公～
重	tsʰuŋ1	
重	tsʰuŋ2	
重	tsʰuŋ5	
重	fuk7	～
野	ia1	
野	ia3	
量	lioŋ2	
量	lioŋ5	
量	tsʰoŋ5	
金	kim1	
釘	taŋ1	
釜	fu5	
針	tsəm1	
鈍	tʰun5	
鈔	tsʰau1	
鈞	kiun1	
鈣	koi5	
鈴	laŋ2	
鈸	pʰat8	
鉀	kap7	
鉑	pʰok8	
鉗	kʰiam2	
鉚	mau3	
鉛	ian2	
鉤	keu1	
銀	ŋiun2	
銃	tsʰuŋ5	
銅	tʰuŋ2	
銘	men2	
銜	ham1	
銨	on1	
銬	kʰau5	
銳	iui5	
銷	siau1	
銼	tsʰo5	
鋅	sin1	
鋒	fuŋ1	
鋤	tsʰɿ2	
鋪	pʰu1	
鋪	pʰu5	
鋸	ki5	
鋼	koŋ5	
錄	liuk8	
錐	tsui1	
錘	tsʰui2	
錚	tsen1	
錛	pun1	
錠	tʰin5	
錢	tsʰien2	
錦	kim3	
錨	miau2	
錫	siak7	
錮	ku5	
錯	tsʰok7	
錶	piau1	
鍛	tʰon5	
鍵	kʰian5	
鎔	iuŋ2	
鎖	so3	
鎮	tsən3	
鎳	ŋiat7	
鏈	lien5	
鏍	lui1	～e31:銅板
鏟	tsʰan3	
鏡	kiaŋ5	
鏢	pʰiau1	
鏵	fa2	
鏽	siu5	
鐘	tsuŋ1	
鐧	kian3	
鐮	liam1	
鐳	lui2	
鐵	tʰiet7	
鐸	tʰok8	
鐾	no1	
鑄	tsu5	
鑊	vok8	
鑑	kam5	
鑒	kam5	
鑫	him1	
鑲	sioŋ1	
鑷	ŋiap7	
鑼	lo2	
鑽	tson1-	
鑽	tson5	
鑿	tsʰok8	
鉋	pʰau2	
長	tsʰoŋ2	
長	tsoŋ3	
門	mun2	
閂	tsʰon1	
閃	sam3	～開
閉	pi5	
開	kʰoi1	
閏	iun5	
閑	han2	
間	kian1	
閘	tsʰap8	
閣	kok7	
閥	fat8	
閨	kui1	
閩	men2	
閹	iam1	
閻	iam2	
闊	fat7	
闕	kʰiat7	
闖	tsʰoŋ5	
關	kuan1	
阮	ŋion3	
防	foŋ2	
阿	a1	
陀	tʰo2	
陋	leu5	
陌	met7	
降	hoŋ2	
降	koŋ5	
限	han5	
陛	pʰi3	
陝	sam3	
院	ian5	
陣	tsʰən5	
除	tsʰu2	
陪	pʰi2	
陰	im1	
陳	tsʰən2	
陳	tsʰən5	
陵	lin2	
陷	ham5	
陸	liuk7	
陸	liuk8	
陽	ioŋ2	
隅	ŋi2	
隆	luŋ2	
隊	tsui5	
隋	sui2	
階	kiai1	
隔	kak7	
隘	ai5	
隙	hit7	
際	tsi5	
障	tsoŋ5	
隧	sui5	
險	hiam3	
隱	iun3	
隴	luŋ3	
隸	li5	
隻	tsak7	
隼	sun2	
雀	tsiok7	
雁	ŋian5	
雄	hiuŋ2	
雅	ŋa3	
集	sip8	
雇	ku5	
雉	tsʰɿ1	
雌	tsʰɿ1	
雍	iuŋ1	
雕	tiau1	
雖	sui1	
雙	suŋ1	
雛	tsʰɿ1	
雜	tsʰap8	
雞	ke1	
離	li2	
難	nan2	
難	nan5	
雨	i3	
雪	siet7	
雲	iun2	
零	laŋ2	
雷	lui2	
雹	pʰok8	
電	tʰien5	
需	si1	
震	tsən3	
霍	vok7	
霜	soŋ1	
霞	ha2	
霧	vu5	
露	lu5	
霸	pa5	
靄	ai5	
靈	lin2	
青	tsʰiaŋ1	
靖	tsʰin5	
靚	liaŋ5	漂亮
靜	tsʰin5	
非	fi1	
靠	kʰau5	
靡	mi2	
面	mien5	
靦	mien3	
靨	ŋiap7	
革	ket7	
靴	hio1	
靶	pa3	
鞋	hai2	
鞍	on1	
鞏	kiuŋ3	
鞘	siau5	
鞠	kʰiuk7	
鞦	tsʰiu1	
鞭	pien1	
韁	kioŋ1	
韋	vi3	
韌	ŋiun5	
韓	hon2	
韭	kiu3	
音	im1	
韶	sau2	
韻	iun5	
響	hioŋ3	
頂	taŋ3	
頂	tin3	
項	hoŋ5	
順	sun5	
須	si1	
頌	siuŋ5	
預	i5	
頑	ŋan2	
頒	pan1	
頓	tun3	
頗	pʰo3	
領	liaŋ1	
領	liaŋ3	
頦	koi1	下巴
頭	tʰeu2	
頸	kiaŋ3	
頻	pʰin2	
顆	kʰo5	
題	tʰi2	
額	ŋiak7	
顏	ŋian2	
願	ŋian5	
顛	tien1	
類	lui5	
顧	ku5	
顫	tsan1	
顯	hian3	
顴	kʰian2	
風	fuŋ1	
飄	pʰiau1	
飛	fi1	
食	set8	
食	sət8	
飯	fan5	
飲	im3	
飴	i5	
飽	pau3	
餃	kiau2	
餅	piaŋ3	
養	ioŋ1	
餌	ŋi3	
餐	tsʰon1	
餓	ŋo5	
餘	i2	
餛	fun2	
餞	tsʰien5	
餡	ham5	
館	kuon3	
餿	seu1	
饃	mo2	
饑	ki1	
饒	ŋiau2	
饞	tsʰam2	
首	su3	
香	hioŋ1	
馬	ma1	
馬	ma3	
馮	pʰin2	
馮	pʰuŋ2	
馱	tʰo2	
馳	tsʰɿ1	
駁	pok7	
駐	tsu5	
駑	nu2	
駒	ki1	
駕	ka5	
駛	sɿ3	
駝	tʰo2	
駿	tsun5	
騎	kʰi2	
騙	pʰien5	
騰	tʰen2	
騷	sau2	
騾	lo2	
驀	mok7	
驅	kʰi1	
驕	kiau1	
驗	ŋiam5	
驚	kiaŋ1	
驟	tsʰeu1	
驢	lu2	
骨	kut7	
髀	pi3	
髏	leu3	
髒	tsoŋ1	
髓	sui3	
體	tʰi3	
高	kau1	
髻	ki5	
鬆	suŋ1	
鬢	pin1	
鬥	teu5	
鬧	nau5	
鬱	iut7	
鬼	kui3	
魁	kʰui2	
魂	fun2	
魄	pʰak7	
魏	ŋui5	
魔	mo2	
魚	n2	
魯	lu1	
鮮	sien1	
鯇	van1	
鯉	li1	
鯊	sa1	
鯨	kin1	
鯰	ŋiam2	
鯽	tsit7	
鰓	soi1	
鰣	sɿ2	
鰭	kʰi2	
鰱	lien2	
鰾	pʰiau5	
鱉	piet7	
鱖	kui5	
鱗	lin1	
鱷	ŋok8	
鳥	tiau1-	
鳥	ŋiau1	
鳥	tiau3	
鳳	fuŋ5	
鳴	min2	
鴉	a1	
鴨	ap7	
鴻	fuŋ2	
鵝	ŋo2	
鵡	vu3	
鶴	hok8	
鷂	iau5	
鷹	in1	
鷺	lu5	
鸕	lu2	
鸞	lan2	
鹵	lu1	
鹹	ham1	
鹽	iam2	
鹿	luk8	
麅	pʰau2	
麗	li5	
麝	sa5	
麥	mak8	
麩	kʰu1	
麵	mien5	
麻	ma2	
麼	mo2	
黃	voŋ2	
黎	lai2	
黑	het7	
默	met8	
點	tiam3	
黨	toŋ3	
黯	am5	
黴	moi2	
黸	lu1	～哥：鐵銹
鼎	tin3	
鼓	ku3	
鼠	tsʰu3	
鼬	iu5	
鼻	pʰi5	
鼾	hon2	
齈	nuŋ5	
齊	tsʰe2	
齊	tsʰi2	～國
齋	tsai1	
齒	tsʰɿ3	
齧	ŋat7	咬
齪	tsʰok7	
齶	ŋok8	
龍	liuŋ2	
龐	pʰaŋ2	
龔	kiuŋ3	
龜	kui1	
