#漢字	音標	解釋
就	tsou6	
尺	tsʰək7a	
尼	nɐi2	
尾	mei4	
尿	niou6	
局	kok8	
屁	pʰei5	
居	kʊi1	車馬砲
屆	tsai5	
屋	ʔok7a	
屍	ɕi1	
屎	ɕi3	
屏	pəŋ2	圍屛
屐	kʰək7a	木屐
展	tɕin3	
屜	tʰɐi5	抽屜，籠屜
屠	tou2	
屢	lʊi6	
層	tsɐŋ2	
屬	ʃok8	
屯	tɐn2	
山	san1	
岐	kei2	
岔	tsʰa5	三岔路
岡	kœŋ1	
岸	ŋøn6	
峰	foŋ1	
島	tøu3	
峽	xap8	
崇	tsoŋ2	
崑	kʰən1	
崖	ŋai2	山崖
崩	pɐŋ1	
嵩	ɬoŋ1	
嶺	ləŋ4	
川	tʃʰʊn1	
州	tʃou1	
巡	tsəm2	
工	koŋ1	
左	tsʏ5	
巧	kʰiou3	
巨	kʊi6	
巫	ʔou1	
差	tsʰa1	差別，差不多
差	tsʰai1	出差
己	kei6	
已	xei4	
巴	pa1	
巷	xoŋ4	
巷	xoŋ6	
巾	kən1	
市	ɕi4	
布	pou5	
希	xei1	
帕	pʰak7b	
帖	tʰip7b	碑帖，請帖
帛	pak8	
帝	tɐi5	
帥	ʃʏ5	
師	ɕɐi1	
席	tsək8	
帳	tɕiɛŋ5	
帶	tai5	
常	ɕiɛŋ2	
帽	møu6	
幅	fok7a	
幕	mok8	
幣	pɐi4	
幫	paŋ1	
干	køn1	
平	pəŋ2	
年	nin2	
幸	xaŋ4	
幹	køn5	
幻	wʊn6	
幼	jou5	
幾	kei1	幾乎
幾	kei3	幾個
牀	ʃœŋ2	
序	tʃʊi4	
底	tɐi3	
店	tim5	
庚	kaŋ1	
府	fou3	
度	tou6	
座	tsou6	
庫	xou5	
庭	təŋ2	
庶	ʃʊi5	
康	kʰœŋ1	
庸	joŋ1	
廁	tsʰɐk7a	廁所，茅廁
廂	ɬiɛŋ1	
廉	lin2	
廊	lœŋ2	
廓	kuk7b	
廖	liou6	姓
廚	tʃʊi2	
廟	miou6	
廠	tɕʰiɛŋ3	
廢	fei5	
廣	kuŋ3	
廬	lou2	茅廬，廬山
廳	tʰəŋ1	
延	jin2	
廷	təŋ2	
建	kin5	
弄	loŋ6	
弊	pɐi4	
式	sək7a	
弓	koŋ1	
引	jən4	
弘	xoŋ2	
弟	tɐi4	
弱	ŋiɛk8	
張	tɕiɛŋ1	
強	kiɛŋ2	
強	kiɛŋ4	勉強，倔強
強	kʰiɛŋ3	勉強，倔強
彈	tan2	彈琴
彈	tan6	子彈
彌	mei2	
彎	ŋan1	
形	xəŋ2	
彩	tsʰai3	
彪	piou1	
彭	pɐŋ2	
影	ʔəŋ3	
彼	pei3	
往	muŋ4	
征	tsɐŋ1	徵求
征	tsəŋ1	
待	tai4	
很	xɐn3	
律	lət8	
後	xɐu6	
徐	tʃʊi2	
徑	kəŋ5	
徒	tou2	
得	tɐk7a	
徛	kei4	立
從	tsoŋ2	跟從
御	xʊi6	
復	fok7a	復興
循	tsəm2	
微	fei2	
微	wei1	
德	tɐk7a	
徽	xʊi1	
心	ɬəm1	
必	pit7b	
忌	kei5	
忍	ȵən4	
志	tɕi5	
忘	muŋ6	
忠	tsoŋ1	
快	kʰai5	快樂
快	wai5	速度快
念	nam1	
怒	nou6	
怕	pʰa5	
怖	pou5	恐怖
思	ɬei1	
怠	tai6	
急	tsəp7a	
性	ɬəŋ5	
怨	jʊn5	
怪	kai5	
恐	xoŋ3	
恢	xʊi1	
恤	ɬʊi1	
耻	tɕʰi3	
恨	xɐn6	
恩	ʔɐn1	
恭	kʰoŋ3	
息	ɬək7a	
悦	jʊt8	
悉	ɬək7a	
悔	xʊi3	
悟	ŋou6	
悠	jou1	悠悠
悲	pei1	
悶	mən6	
情	tsəŋ2	
惑	wak8	
惜	ɬək7a	
惟	wei2	
惠	wei6	
惡	ʔœk7b	善惡
想	ɬiɛŋ3	
愈	xʊi4	愈好，病愈
愉	xʊi2	
意	ʔei5	
愛	ʏ5	
愛	ʔei5	
感	køm3	
感	køn3	
慈	tsei2	
態	tʰai5	
慌	xuŋ1	
慎	sən6	
慕	mou6	
慘	tsʰam3	
慢	man6	
慣	kan5	
慧	wei6	
慨	kʰʏ5	慷慨，感慨
慪	ʔɐu5	慪氣
慮	lʊi6	
慰	wei5	
慶	xəŋ5	
憂	jou1	
憎	tsɐŋ1	
憐	lin2	
憑	pəŋ2	
憶	ʔək7a	
懂	toŋ3	
懇	xɐn3	
應	ʔəŋ1	應當，應用
應	ʔəŋ5	應對，響應
懵	moŋ3	懵懂
懶	lan4	
懷	wai2	
懼	kʊi6	
戀	lin6	
戎	joŋ2	
成	səŋ2	
我	ŋʏ4	
戒	tsai5	
或	wak8	
戚	tsʰək7a	
截	tɕit8	
戰	tɕin5	
戲	xei5	
戳	tok7a	訓讀
戴	tai5	
户	xou4	
戽	xou5	戽水
房	fuŋ2	
所	ʃou3	
扁	piɛn3	
扇	ɕin5	扇
手	ʃou3	
才	tsai2	
扎	tsat7b	
打	ta3	
托	tʰœk7b	托手承物
扛	kœŋ1	
扣	kʰɐu5	扣住
扭	nou3	
扯	tɕʰi3	
扳	pan3	
扶	fou2	
批	pʰɐi1	
扽	tɐn5	
找	tsau3	
承	səŋ2	
技	kei4	
抄	tsʰau1	略取，抄寫
把	pa3	把握，把守，一把把
把	pa3	把柄
抑	ʔək7a	
投	tɐu2	
抖	tɐu3	
抗	kʰœŋ5	
折	tɕip7b	折斷
披	pʰei1	
抬	tai2	
抱	pøu4	
抵	tɐi3	
抹	mat7b	抹布，抹桌子
抹	mat7b	
抽	tsʰɐu1	
拄	tʃʊi4	拄拐杖
拆	tsʰak7b	開
拇	mou4	
拉	la1	
抛	pʰøu1	
拍	pʰak7b	
拎	ləŋ3	
拐	kai3	
拒	kʊi6	
拔	pat8	
拖	tʰʏ1	
拙	tʃʊt7b	
拚	pʰəŋ1	拚命
招	tɕiou1	
拜	pai5	
括	kat7b	包括
拯	tsəŋ3	拯救
拱	koŋ3	拱手
拳	kʊn2	
拼	pʰəŋ1	
拼	pʰəŋ5	
拾	tsəp7a	拾起來
拿	na2	
持	tɕi2	
指	tɕi3	
按	ʔøn5	
挑	tʰiou1	摳出
挑	tʰiou3	挑選
挖	ŋat7b	
挨	ŋai2	
挨	ʔai1	挨近，挨住
挪	nʏ2	
振	tsən5	
挺	tʰəŋ3	
挽	man4	
捅	tʰoŋ3	捅破了
捆	kʰən3	
捉	tʃuk7b	
捋	lʊt8	捋袖
捎	ɬiou1	捎帶
捐	kʊn1	
捕	pou3	
捧	poŋ3	
捱	ŋai2	捱打，捱罵
捺	nat7b	撇捺
捻	niɛn3	以指撚碎
掃	ɬøu3	掃地
掃	ɬøu5	掃帚
授	ʃou4	
掌	tɕiɛŋ3	
排	pai2	
掛	ka5	
探	tʰam5	試探，偵探
接	tɕip7b	
控	kʰoŋ5	
推	tʰʊi1	
掩	jim3	
掭	tʰim1	掭筆
掰	pak7b	用手擘(掰)開
揀	tsɐn3	
揈	xoŋ1	揈出去
描	miou2	
提	tɐi2	
插	tsʰap7b	
揚	jiɛŋ2	
換	wən6	
揞	ʔam5	手覆，揞住
握	ʔok7a	
揢	kʰap7a	捕，捉，拿住
揭	kit7b	
揮	wei1	
援	jʊn2	援救
損	ɬən3	
搓	tsʰʏ1	
摇	jiou2	
搜	ɬɐu3	
搜	ɬɐu3	蒐集
搞	kau3	
搬	pʊn1	
搭	tap7b	
搶	tɕʰiɛŋ3	
搽	tsa2	
摘	tsak7b	
摟	lɐu4	抱
摩	mʏ1	
摳	kʰɐu1	
摸	mʏ1	
摹	mou2	摹仿
摺	tɕip7b	
撇	pʰit7b	撇捺，撇開
撈	lau2	
