#漢字	音標	解釋#('wuu_th_shj_shcs', '上海川沙話', '上海川沙', '#8B0000', None, None, '來源：<u>鶩高赭紗匕</u>', '53 1 1a 陰平 ꜀,213 2 1b 陽平 ꜁,44 3 2a 陰上 ꜂,213 4 2b 陽上 ꜃,35 5 3a 陰去 ꜄,13 6 3b 陽去 ꜅,5 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇', None, None)
㑚	nɑ6	第二人称复数
武	βu4	
武	ŋ̍4	～山（江苏苏州地名）
歧	dʑi2	
歪	ɸɑ1	
歲	sø5	
歷	liɪʔ8	
歸	tɕy1	【白读】姓
歸	kue1	【文读】～去；～纳；回～
死	sɿ3	【文读】～亡
死	si3	【白读】～人；～活；～尸
殂	zu2	
殃	iã1	
殉	zin6	
殊	zy2	
殖	zʌk8	
殘	zɛ2	
殤	sɒ̃1	
殯	ɓin5	
殲	tsi1	
段	dø6	
殷	ɛ1	～红
殷	in1	～勤
殺	sæʔ7	
殼	kʰɒk7	
殿	di6	
毀	ɸe3	
毅	ȵi6	
毆	ɤ1	
母	mu1	【文读】～亲
母	mu4	
母	m̩4	【白读】丈～；伯～
每	me1	【文读】
毒	dok8	
比	ɓi3	
毗	bi2	
毘	bi2	
毛	mɔ2	
毫	ɦɔ2	
毯	tʰɛ3	
毽	tɕi5	
氈	tse1	
氏	zɿ4	
民	min2	
氓	mɒ̃2	流～
氓	məŋ2	【文读】
氙	si1	
氟	ɸəʔ7	
氣	tɕʰi5	
氧	ɦiã4	
氨	ø1	
氫	tɕʰiʌŋ1	
氮	dɛ4	
氯	lok8	
水	sɿ3	【白读】
水	sø3	【文读】
永	ioŋ3	
氽	tʰəŋ3	
氿	tɕiɤ3	宜兴湖泊名：西～，团～，东～
汀	tʰin1	
汁	tsəʔ7	
求	dʑiɤ2	
汆	tsʰø1	
汊	tsʰiɔ5	
汏	dɑ6	洗
汐	ziɪʔ8	
汕	sɛ5	
汗	ɦø6	
汗	ɦø2	可～
汛	sin5	
汜	zɿ4	
汝	zy4	
汞	koŋ3	
江	kɒ̃1	【白读】
江	tɕiã1	【文读】
池	zɿ2	
污	βu1	
汧	tɕʰi1	
汪	βɒ̃1	
汰	tʰɑ5	【白读】
汰	tʰe5	【文读】
汶	βəŋ6	
決	tɕyœʔ7	
汽	tɕʰi5	
汾	ɸəŋ1	～湖（江苏吴江、浙江嘉善交界处的湖泊，本名“分湖”）
汾	βəŋ2	～河（山西省境内的河流，黄河支流）
沁	tsʰin5	
沃	βɒk7	
沆	ɦɒ̃4	
沈	səŋ3	
沉	zəŋ2	
沌	dəŋ2	
沐	mɒk8	
沒	məʔ8	沉～；淹～
沒	məʔ8	表示否定
沔	mi4	
沕	miɪʔ8	
沙	siɔ1	
沚	tsɿ3	
沛	pʰe5	
沭	zəʔ8	～阳（江苏地名）
沱	du2	
沸	ɸi5	
油	ɦiɤ2	
沺	di2	
治	zɿ6	
沼	tsɔ3	
沽	ku1	
沾	tse1	
沿	ɦi2	
況	ɸɒ̃5	
泅	ziɤ2	
泉	zi2	
泊	pʰɑk7	
泌	ɓi5	
泐	lʌk8	沙洲上的河流：石皮～（上海浦东地名）；偷鸭～（上海奉贤地名）
泓	ɦoŋ2	
法	ɸæʔ7	
泖	mɔ4	～口（浙江平湖地名）；～湾（上海金山地名）
泖	mo4	～港（上海松江地名）；横～头（上海金山地名）
泗	sɿ5	
泛	ɸɛ5	
泠	lin2	
泡	pʰɔ1	
泡	pʰɔ5	
波	ɓu1	
波	ɓok7	宁～（浙江地名）
泣	tɕʰiɪʔ7	
泥	ȵi2	
注	tsy5	
泫	ɦyø4	
泯	min4	
泰	tʰɑ5	
泳	ioŋ3	
泵	ɓɒ̃1	外语音译词，读音并不绝对固定，此为一种
洇	in1	
洋	ɦiã2	
洑	ɦok8	
洗	si3	
洙	tsy1	
洛	lɒk8	
洞	doŋ6	
洞	doŋ2	洪～（山西地名）
津	tsin1	
洩	siɪʔ7	
洪	ɦoŋ2	
洲	tsɤ1	
洵	sin1	
洶	ɕioŋ1	
活	βəʔ8	
洽	ɦiæʔ8	【文读】
派	pʰɑ5	
流	liɤ2	
瀏	liɤ2	
浙	tsəʔ7	
浜	ɓã1	
浠	ɕi1	
浣	βe4	
浥	iɪʔ7	
浦	pʰu3	
浩	ɦɔ4	
浪	lɒ̃6	掼～头；波～
浪	lɒ̃2	沧～亭（江苏苏州地名）
浮	βɤ2	
浮	βu2	大～（江苏无锡地名）；～桥（江苏太仓地名）
浴	ɦiok8	
海	he3	
浸	tsin5	
浹	tsiɪʔ7	
浹	kæʔ7	
涇	tɕiʌŋ1	
消	siɔ1	
涉	zəʔ8	
涎	zɛ2	～唾（口水）
涎	zi2	垂～三尺
涎	ɦi2	湎～（水流貌）
涓	tɕyø1	
涔	zəŋ2	
涕	tʰi5	
涪	βɤ2	
涮	se5	
涯	ɦiɑ2	
液	ɦiʌk8	
涴	βu5	
涵	ɦe2	
涸	ɦɒk8	
涼	liã2	
涿	tsɒk7	
淀	di6	在华北地区指浅水湖泊，如位于河北雄县、容城、安新、任丘的“白洋淀”。上海市杨浦区亦有一湖泊名“白洋淀”
淄	tsɿ1	
淅	siɪʔ7	
淆	ɦiɔ2	
淇	dʑi2	
淋	lin2	
淑	zok8	
淒	tsʰi1	
淖	nɔ6	
淘	dɔ2	
淙	zoŋ2	
淚	li6	
淝	βi2	
淞	soŋ1	
淡	dɛ4	
淦	ke5	
淨	zin6	
淪	ləŋ2	
淫	ɦin2	
淮	βɑ2	
淳	zəŋ2	
淶	le2	
混	βəŋ2	
淹	i1	
淺	tsʰi3	
添	tʰi1	
淼	miɔ4	
清	tsʰin1	
渌	lok8	
渙	ɸe5	
減	kɛ3	
渝	ɦy2	
渠	ɦi2	【白读】第三人称单数
渠	dʑy2	【文读】水～；～道
渠	ɡəʔ8	～拉（第三人称复数）
渡	du6	
渣	tsiɔ1	
渧	ɗi5	
測	tsʰʌk7	
渭	βe6	
港	kɒ̃3	
渳	mi1	小口喝
渴	kʰœʔ7	
渺	miɔ4	
渾	βəŋ2	
湄	ȵi2	～浦桥（上海宝山地名）；～浦（上海宝山境内的一条河流）
湄	me2	
湊	tsʰɤ5	
湎	mi4	
湓	bəŋ2	
湖	βu2	
湘	siã1	
湛	zɛ4	
湟	βɒ̃2	
湧	ioŋ3	
湫	tsʰiɤ1	
湮	i1	
湯	tʰɒ̃1	
源	ȵyø2	
準	tsəŋ3	
溜	liɤ1	
溝	kɤ1	
溥	pʰu3	
溧	liɪʔ8	
溪	tɕʰi1	
溫	βəŋ1	
溯	su5	
溲	sɤ1	
溴	ɕiɤ5	
溶	ɦioŋ2	
溺	ȵiʌk8	
滂	pʰɒ̃1	
滄	tsʰɒ̃1	
滅	miɪʔ8	
滇	di2	
滋	tsɿ1	
滎	ɦioŋ2	
滏	βu4	
滑	βæʔ8	
滔	tʰɔ1	
滕	dəŋ2	
滗	ɓiɪʔ7	
滧	ɦiɔ6	
滬	βu4	
滴	ɗiɪʔ7	
滸	ɕy3	～墅关（江苏苏州地名）；～浦（江苏常熟地名）；滩～（浙江嵊泗地名）
滸	ɸu3	～山（浙江慈溪地名）；水～
滹	ɸu1	
滾	kuəŋ3	
滿	me4	
漁	ɦy2	
漂	pʰiɔ1	
漂	pʰiɔ5	
漆	tsʰiɪʔ7	
漉	lok8	
漊	lɤ2	
漏	lɤ6	
演	ɦi4	
漕	zɔ2	
漚	ɤ5	
漠	mɒk8	
漢	hø5	
漣	li2	
漩	zi2	
漩	zi6	
漪	i1	
漫	me6	水～金山
漬	zɿ6	
漱	su5	
漲	tsã3	
漳	tsɒ̃1	西～，南西～（江苏无锡地名）
漴	sɒ̃1	～缺（上海奉贤地名）
漵	zy4	
漸	zi4	
漾	ɦiã6	
潁	ɦiʌŋ4	
瀟	siɔ1	
潑	pʰəʔ7	
潔	tɕiɪʔ7	
潘	pʰe1	
潛	zi2	
潞	lu6	
潢	βɒ̃2	
潤	ȵin6	【白读】
潤	zəŋ6	【文读】
潨	dzoŋ2	
潭	de2	
潮	zɔ2	
潰	ɡue6	
瀦	tsy1	
潺	zɛ2	
潽	pʰu1	因沸而溢
澀	səʔ7	
澄	zəŋ2	《广韵》直陵切：～清；～湖
澄	zã2	《广韵》直庚切：阳～湖
澆	tɕiɔ1	
澇	lɔ6	
澗	kɛ3	【白读】
澗	tɕi3	【文读】
澡	tsɔ3	
澤	zɑk8	【白读】地名用字，本字为“宅”：崧～，金～，张～，盛～；古代湖泊通名：震～
澤	zʌk8	【文读】沼～
澮	ɸe5	
澱	di6	～粉；积～；沉～；昆山、青浦一带的湖泊通名：薛～（又名“～山湖”），西漾～，大～，太史～
澳	ɔ5	
澹	dɛ4	
激	tɕiʌk7	
濁	zɒk8	
濃	ȵioŋ2	
濕	sɑk7	
濟	tsi5	
濤	dɔ2	
濫	lɛ6	
濮	bok8	
濯	zɒk8	
濱	ɓin1	
濺	tsi5	
濾	ly6	
瀆	dok8	
瀉	siɑ5	
瀕	ɓin1	
瀘	lu2	
瀚	ɦø6	
瀝	liɪʔ7	
瀣	ɦiɛ6	【文读】
瀰	mi2	
瀲	li6	
瀴	iʌŋ5	凉，冷
灌	kue5	
灑	sɑ3	
灒	tsɛ5	
灔	ɦi6	
灘	tʰɛ1	
灞	ɓo5	
灣	βɛ1	
灤	lø2	
火	ɸu3	
灰	ɸe1	
灶	tsɔ5	
灸	tɕiɤ3	
灼	tsɑk7	【文读】
災	tse1	
炅	tɕioŋ3	
炊	tsʰɿ1	【白读】
炊	tsʰø1	【文读】
炎	ɦiɛ2	
炒	tsʰɔ3	
炔	tɕʰyœʔ7	
炕	kʰɒ̃5	
炖	ɗəŋ5	
炙	tsɑk7	
炫	ɦyø6	
炬	dʑy4	
炭	tʰɛ5	
炮	pʰɔ5	
炮	bɔ2	
炯	tɕioŋ3	
炳	ɓin3	
炸	tsiɔ5	爆～；～弹
炸	zæʔ8	
爲	βe2	作～
爲	βe6	因～
烈	liɪʔ8	
烊	ɦiã2	
烏	βu1	
烔	doŋ2	
烘	hoŋ1	
烙	lɒk8	
烤	kʰɔ3	
烯	ɕi1	
烴	tʰin1	
烷	βe2	
烹	pʰã1	【白读】菜在用油略炒后加酒、酱油或水煮
烹	pʰəŋ1	【文读】～饪
焉	i1	
焊	ɦø4	
焐	βu5	
焗	dʑiok8	
焙	be6	
焚	βəŋ2	
無	βu2	～论；～锡（江苏地名）
無	m̩2	没有。俗写作“呒”
無	mo2	南～阿弥陀佛
焦	tsiɔ1	
焯	tsʰɑk7	
焰	ɦiɛ6	
焱	ɦi6	
然	ze2	
煅	ɗø5	
煉	li6	
煌	βɒ̃2	
煎	tsi1	
煒	βe4	
煙	i1	
煞	sæʔ7	
煤	me2	
煥	ɸe5	
照	tsɔ5	
煨	βe1	
煩	βɛ2	
煮	tsɿ3	
煽	se1	
熄	siɪʔ7	
熊	ɦioŋ2	
熏	ɕyn1	
熒	ɦioŋ2	
熔	ɦioŋ2	
熗	tsʰiã5	
熘	liɤ1	
熙	ɕi1	
熝	ɔ1	
熟	zok8	
熠	ɦiɪʔ8	
熨	yœʔ7	
熨	yn5	
熬	ŋɔ2	
熯	hø5	
熱	ȵiɪʔ8	
熾	tsʰɿ5	
燃	ze2	
燈	ɗəŋ1	
燎	liɔ2	
燏	ɦyœʔ8	
燐	lin2	
燕	i1	～山；～国
燕	i5	～子
燙	tʰɒ̃5	
營	ɦioŋ2	
燥	sɔ5	
燦	tsʰɛ1	
燭	tsok7	
燴	ɸe5	
爆	ɓɔ5	油～虾
爆	bɔ6	～炸
爍	zɑk8	【文读】
爐	lu2	
爛	lɛ6	
爪	tsɔ3	
爬	bo2	
爭	tsã1	【白读】
爭	tsəŋ1	【文读】～夺；战～；竞～
父	βu4	
爸	ɓɑ1	
爹	ɗiɑ1	
爺	ɦiɑ2	
爽	sɒ̃3	
爾	əl4	
牆	ziã2	
片	pʰi5	
版	ɓɛ3	
牌	bɑ2	
牙	ŋɑ2	
牚	tsʰã5	
牛	ȵiɤ2	
牝	bin4	
牟	mɤ2	
牢	lɔ2	
牧	mɒk8	
物	məʔ8	【白读】～事
物	βəʔ8	【文读】～理
牮	tsi5	
牯	ku3	
牲	sã1	【白读】众～；畜～
牲	səŋ1	【文读】牺～
特	dʌk8	
牽	tɕʰi1	
犁	li2	
犄	tɕi1	
犍	dʑi2	
犒	kʰɔ5	
犟	dʑiã4	
犧	ɕi1	
犬	tɕʰyø3	
犯	βɛ4	
狀	zɒ̃6	
狂	ɡuɒ̃6	
狄	diɪʔ8	
狐	βu2	
狒	βi6	
狗	kɤ3	
狡	tɕiɔ3	【文读】～猾
狩	sɤ5	
狸	li2	
狹	ɦæʔ8	
狼	lɒ̃2	
狽	ɓe5	
猖	tsʰɒ̃1	
猗	i1	
猗	dʑi2	古～园（嘉定南翔的一座园林）
猙	tsəŋ1	
猛	mã4	
猜	tsʰø1	
猝	tsʰəʔ7	
玀	lu2	猪～
猩	sin1	
猬	βe6	
猴	ɦɤ2	
猶	ɦiɤ2	
猾	βæʔ8	
猿	ɦyø2	
獄	ȵiok8	
獅	sɿ1	
獎	tsiã3	
獒	ŋɔ2	
獨	dok8	
獰	ȵin2	
獲	ɦok8	
獵	læʔ8	
獸	sɤ5	
獺	tʰæʔ7	
獻	ɕi5	
獾	ɸe1	
玄	ɦyø2	
率	liɪʔ8	效～
率	se5	表～
率	sʮœʔ7	～领
玉	ȵiok8	
王	ɦiɒ̃2	【白读】姓
王	βɒ̃2	【文读】大～
王	βɒ̃6	统治
玖	tɕiɤ3	
玥	ȵyœʔ8	
玩	βe2	
玩	mɛ2	【白读】
玫	me2	
玲	lin2	
玳	de6	
珀	pʰɑk7	
珂	kʰu1	
珈	kɑ1	
珉	min2	
珊	sɛ1	
珍	tsəŋ1	
珏	tɕiɑk7	【文读】
瓏	loŋ2	
珙	koŋ3	
珞	lɒk8	
珠	tsy1	
班	ɓɛ1	
現	ɦi6	
球	dʑiɤ2	
琅	lɒ̃2	
理	li4	
琉	liɤ2	
琚	tɕy1	
琢	tsɒk7	
琥	ɸu3	
琦	dʑi2	
琨	kʰuəŋ1	
琪	dʑi2	
琰	ɦi4	
琳	lin2	
琴	dʑin2	
琵	bi2	
琶	bo2	
琿	βəŋ2	～春（吉林地名）
琿	ɸe1	瑷～（黑龙江地名）
瑁	me6	玳～
瑁	mɔ6	
瑇	de6	
瑕	iɑ1	
瑙	nɔ4	
瑜	ɦy2	
瑞	zø6	
瑟	səʔ7	
瑣	su3	
瑩	ɦioŋ2	
瑪	mo4	【白读】～瑙
瑪	mɑ4	【文读】多用于外语音译的人名、地名
瑯	lɒ̃2	
瑰	kue1	
瑤	ɦiɔ2	
璃	li2	
璇	zi2	
璋	tsɒ̃1	
璐	lu6	
璜	βɒ̃2	
璞	pʰɒk7	
璦	e5	
璧	ɓiɪʔ7	
環	ɡuɛ2	
璽	si3	
瓊	dʑioŋ2	
瓜	kuo1	
瓢	biɔ2	
瓣	bɛ6	
瓤	ȵiã2	
瓤	nɒ̃2	
瓦	ŋɔ4	
瓶	bin2	
瓷	zɿ2	
甄	tsəŋ1	
甌	ɤ1	
甏	bã6	
甑	tsəŋ5	
甓	biɪʔ8	
甕	oŋ5	
甘	ke1	
甚	zəŋ6	
甜	di2	
生	sã1	【白读】～熟
生	səŋ1	【文读】～产
產	siɔ3	【白读】～母
產	tsʰɛ3	【文读】
甥	sã1	
用	ɦioŋ6	
甩	ɸæʔ7	
甪	lok8	
甫	ɸu3	
甬	ɦioŋ4	
田	di2	
由	ɦiɤ2	
甲	kæʔ7	【白读】盔～；～板
甲	tɕiæʔ7	【文读】天干名：～乙丙丁；～基睾丸酮
申	səŋ1	
男	ne2	
甸	di6	
町	tʰin3	
甾	tsɿ1	
畋	di2	
界	tɕiɑ5	【文读】～线
界	kɑ5	【白读】
畏	βe5	
留	liɤ2	
畚	ɓəŋ1	～箕；～垃圾
畚	ɸəŋ5	～箕
畜	tsʰok7	～牲
畜	ɕiok7	～牧业
畝	mɤ4	【文读】～产
畝	m̩4	【白读】面积单位
畢	ɓiɪʔ7	
略	liɑk8	
番	ɸɛ1	
番	pʰe1	～禺（广东地名）
畫	βo6	
異	ɦi6	
當	ɗɒ̃1	
疁	lɤ2	嘉定的别称
疃	tʰø3	
疆	tɕiã1	
疊	diɪʔ8	
疏	su1	～忽
疏	su5	注～
疑	ȵi2	
疘	koŋ1	
疚	tɕiɤ5	
疝	sɛ1	
疤	ɓo1	
疫	ɦiok8	
疲	bi2	
疵	zɿ2	
疹	tsəŋ5	
疼	dəŋ2	
疾	ziɪʔ8	
疿	be6	
痂	kɑ1	
病	bin6	
症	tsəŋ5	
痊	tsʰi1	
痔	zɿ4	
痕	ɦəŋ2	
痘	dɤ6	
痙	dʑiʌŋ4	
痛	tʰoŋ5	
痞	pʰi3	
痢	li6	
痣	tsɿ5	
痧	siɔ1	
痰	dɛ2	
痱	be6	～子
痹	bi6	
痺	bi6	同“痹”
瘁	zø6	
瘋	hoŋ1	
瘌	læʔ8	
瘍	ɦiã2	
瘙	sɔ5	
瘟	βəŋ1	
瘡	tsʰɒ̃1	
瘢	ɓɛ1	
瘤	liɤ2	
瘦	sɤ5	
瘧	ŋɒk8	【白读】～子（疟疾）
瘧	ȵiɑk8	【文读】
癟	ɓiɪʔ7	
瘴	tsɒ̃5	
瘸	dʑiu2	
療	liɔ2	
癇	ɦɛ2	
癉	ɗɛ1	
癌	ŋɛ2	
癔	iʌk7	
癩	lɑ6	
癤	tsiɪʔ7	
癬	si3	
癰	ioŋ1	
癱	tʰɛ1	
癲	ɗi1	
癸	kue3	
登	ɗəŋ1	
白	bɑk8	
百	ɓɑk7	
皂	zɔ4	
的	ɗiɪʔ7	
皆	tɕiɑ1	【文读】
皇	βɒ̃2	
皋	kɔ1	
皎	tɕiɔ3	
皓	ɦɔ4	
皖	βe4	
皙	siɪʔ7	
皮	bi2	
皴	tsʰəŋ1	
皵	tsʰiɑk7	
皺	tsiɤ5	
皿	min4	
盂	ɦy2	
盅	tsoŋ1	
盆	bəŋ2	
盈	ɦiʌŋ2	
益	iʌk7	
盒	ɦəʔ8	
盛	zã6	【白读】姓
盛	zəŋ6	【文读】强～；茂～；～大
盛	zəŋ2	～饭
盜	dɔ6	
盝	lok8	～儿（杭州话中的詈语）
盞	tsɛ3	
盟	məŋ2	
盡	zin4	
監	kɛ1	
盤	be2	
盧	lu2	
目	mɒk8	
盯	ɗin1	
盱	ɕy1	
盲	mã2	
直	zʌk8	
相	siã1	～互
相	siã5	～貌
盹	ɗəŋ3	
盼	pʰɛ5	
盾	dəŋ4	
盾	dəŋ6	
省	sã3	～份；节～
省	sin3	反～
眉	mi2	
看	kʰø5	
看	kʰø1	
眙	ɦi2	
真	tsəŋ1	
眠	mi2	
眨	sæʔ7	
眩	ɦyø6	
眯	mi1	
眵	tsʰɿ1	
眶	tɕʰiɒ̃1	【白读】眼～
眶	kʰuɒ̃1	【文读】
眷	tɕyø5	
眼	ŋɛ4	
眾	tsoŋ5	
睏	kʰuəŋ5	睡：～觉
睛	tsin1	
睜	tsã1	眼睛～开
睞	le6	
睡	zø6	
督	ɗok7	
睫	tsiɪʔ7	
睬	tsʰe3	
睽	ɡue2	
睿	zø6	
瞅	tsʰɤ3	
瞌	kʰəʔ7	
瞎	hæʔ7	
瞑	min2	
瞖	i5	
瞘	kʰɤ1	
瞞	me2	
瞠	tsã1	【白读】
瞠	tsʰəŋ1	【文读】
瞪	ɗəŋ5	
瞬	səŋ5	
瞭	liɔ4	～解
瞭	liɔ6	～望
瞳	doŋ2	
瞻	tse1	
瞾	tsɔ5	
瞿	dʑy2	
矗	tsʰok7	
矛	mɤ2	
矢	sɿ3	
知	tsɿ1	
矩	tɕy3	
矬	zu2	
短	ɗø3	
矮	ɑ3	
矯	tɕiɔ3	
石	zɑk8	
石	ɗɛ5	容积单位
矽	ziɪʔ8	
砂	siɔ1	
砌	tsʰi5	
砍	kʰe3	
砑	ŋɑ6	
砒	pʰi1	
研	ȵi1	【文读】～究
研	ȵi2	【白读】～墨；～粉
砝	ɸæʔ7	
砣	du2	秤～
砧	tsəŋ1	
砰	pʰã1	【白读】
砰	pʰəŋ1	【文读】
砲	pʰɔ5	
破	pʰu5	
破	pʰɑ5	
砹	ŋe6	
硅	kue1	
硒	si1	
硝	siɔ1	
硤	ɦæʔ8	
硬	ŋã6	
硯	ȵi6	
硼	bã2	
碉	ɗiɔ1	
碌	lok8	
碎	se5	
碑	ɓe1	
碓	ɗe5	
碗	βe3	
碘	ɗi3	
碟	diɪʔ8	
碣	dʑiɪʔ8	
碧	ɓiɪʔ7	
碩	zɑk8	
碩	zəʔ8	～望桥（江苏无锡地名，本名“十房桥”）
碭	dɒ̃6	
碳	tʰɛ5	
碶	tɕʰi5	
確	tɕʰiɑk7	【文读】
碼	mo4	
碾	ȵi4	【白读】
碾	ȵi1	【文读】
磁	zɿ2	
磉	sɒ̃3	
磊	le4	
磕	kʰəʔ7	
磚	tse1	
磧	tsɑk7	【白读】～砂（江苏苏州地名）；～礇（江苏昆山地名）
磧	tsiɪʔ7	【文读】
磨	mu2	动词：～刀
磨	mu6	名词：石～
磷	lin2	
磺	βɒ̃2	
礁	tsiɔ1	
礇	ɔ1	碛～（江苏昆山地名）
礇	iok7	
礎	tsʰu3	
礙	ŋe6	
礦	kʰuɒ̃5	
礫	liɪʔ8	
礬	βɛ2	
示	zɿ6	
社	ziɔ6	
祈	dʑi2	
禕	i1	
祖	tsu3	
祚	zu6	
祛	tɕʰy1	
祝	tsok7	
神	zəŋ2	
祟	sø5	
祠	zɿ2	
祥	ziã2	
票	pʰiɔ5	
祭	tsi5	
祺	dʑi2	
祿	lok8	
禁	tɕin5	～止
禁	tɕin1	～不住
禍	βu4	
禎	tsəŋ1	
福	hok7	
禦	ȵy6	
禧	ɕi1	
禪	ze2	
禪	ze6	
禮	li4	
禱	ɗɔ3	
禹	ɦy4	
禺	ȵy2	
禽	dʑin2	
禿	tʰok7	
秀	siɤ5	
私	sɿ1	
秈	si1	
秉	ɓin3	
秋	tsʰiɤ1	
科	kʰu1	
秒	miɔ4	
秕	ɓi3	
秕	ɓiɪʔ7	
秘	ɓi5	
租	tsu1	
秤	tsʰəŋ5	
秦	zin2	
秧	iã1	
秩	zəʔ8	
移	ɦi2	
稀	ɕi1	
稅	sø5	【文读】
稅	sɿ5	【白读】～宝汇（上海金山地名）
程	zəŋ2	
稍	sɔ1	
稗	bɑ6	
稚	zɿ6	
稝	mã4	稠密：密密～～
稞	kʰu1	
稟	ɓin3	
稠	zɤ2	
種	tsoŋ3	～子
種	tsoŋ5	～田
稱	tsʰəŋ1	～呼
稱	tsʰəŋ5	相～
稷	tsiɪʔ7	
稻	dɔ4	
稼	kɑ5	【白读】庄～；召～楼（上海闵行地名）
稼	tɕiɑ5	【文读】庄～
稽	tɕi1	
稿	kɔ3	
穀	kok7	稻～
穌	su1	
積	tsiɪʔ7	
穎	ɦiʌŋ4	
穗	zɿ6	【白读】稻～头
穗	zø6	【文读】
穢	ɸe5	
穩	βəŋ3	
穴	ɦyœʔ8	
究	tɕiɤ5	
穹	tɕʰioŋ1	
穹	tsʰoŋ1	～窿山
空	kʰoŋ1	
空	kʰoŋ5	
穿	tsʰe1	
突	dəʔ8	
窄	tsɑk7	
窊	βo1	
窖	kɔ5	
窗	tsʰɒ̃1	
窘	tɕyn3	
竄	tsʰø1	
窟	kʰuəʔ7	
窠	kʰu1	
窨	in5	
窩	βu1	
窮	dʑioŋ2	
窯	ɦiɔ2	
窵	ɗiɔ5	
窵	iɔ3	二～（江苏南通地名）
窿	loŋ2	
竅	tɕʰiɔ5	
竇	dɤ6	
竃	tsɔ5	
竊	tsʰiɪʔ7	
立	liɪʔ8	
站	zɛ6	车～
站	tsɛ5	～立
竟	tɕiʌŋ5	
章	tsɒ̃1	
竣	tsin5	
童	doŋ2	
竦	soŋ3	
端	ɗø1	
端	ɗɒ̃1	～午
競	dʑiʌŋ6	
竹	tsok7	
竿	kø1	
笆	ɓo1	
笐	ɦɒ̃6	
笑	siɔ5	
笙	səŋ1	
笛	diɪʔ8	
笞	tsʰɿ1	
笠	liɪʔ8	
笡	tsʰiɑ5	斜
符	βu2	
笨	bəŋ4	
笪	ɗæʔ7	
第	di6	
笸	pʰu3	
笿	lɑk8	
筅	si3	
筆	ɓiɪʔ7	
等	ɗəŋ3	
筋	tɕin1	
筍	səŋ3	
筏	βæʔ8	
筐	kʰuɒ̃1	
筒	doŋ2	
答	ɗəʔ7	
策	tsʰɑk7	
筠	tɕyn1	～连（四川地名）
筠	ɦyn2	
筱	siɔ3	
筵	ɦi2	
筷	kʰuɛ5	
箋	tsʰi1	
箍	ku1	
箏	tsəŋ1	
箕	tɕi1	
算	sø5	
管	kue3	
箬	ȵiɑk8	【白读】
箭	tsi5	
箱	siã1	
箸	zɿ6	筷～笼
節	tsiɪʔ7	
篁	βɒ̃2	
範	βɛ4	
篇	pʰi1	
築	tsok7	
篤	ɗok7	
篦	ɓi1	
篩	sɑ1	
篷	boŋ2	
篾	miɪʔ8	
簇	tsʰok7	
簍	lɤ2	
簒	tsʰe5	
簡	tɕi3	【文读】
簧	βɒ̃2	
簫	siɔ1	
簰	bɑ2	
簸	ɓu3	颠～
簸	ɓu5	～箕
簽	tsʰi1	
簾	li2	
簿	bu4	
籃	lɛ2	
籌	zɤ2	
籍	ziɪʔ8	
籟	lɑ6	【白读】
籟	le6	【文读】
籠	loŋ2	
籪	ɗø5	一种渔具
籬	li2	
籮	lu2	
籲	ɦy6	呼～
米	mi4	
籴	diɪʔ8	
籼	si1	
籽	tsɿ3	
粉	ɸəŋ3	
粑	ɓo1	
粒	liɪʔ8	
粗	tsʰu1	
粘	ȵi1	
粘	tse1	本字为“沾”
粟	sok7	
粢	tsʰɿ1	～饭
粤	ɦyœʔ8	
粥	tsok7	
粦	lin2	
粯	ɦɛ6	～子（青稞磨成的粗粉，靖江、泰兴、如皋、南通等地称“粯子”，江南称“麦粞”）
粱	liã2	
粳	kã1	
粹	zø6	
粼	lin2	
糉	tsoŋ5	
精	tsin1	
糊	βu2	
糍	zɿ2	
糕	kɔ1	
糖	dɒ̃2	
糗	tɕʰiɤ3	
糙	tsʰɔ5	
糝	se3	
糞	ɸəŋ5	
糟	tsɔ1	
糠	kʰɒ̃1	
糯	nu6	
糰	dø2	圆团状食品：圆～，饭～
糴	diɪʔ8	
糶	tʰiɔ5	
系	ɦi6	
糾	tɕiɤ1	
紀	tɕi5	
紀	tɕi3	
約	iɑk7	
紅	ɦoŋ2	
紈	βe2	
紊	βəŋ6	
紋	βəŋ2	
納	nəʔ8	
紐	ȵiɤ4	
純	zəŋ2	
紕	pʰi1	
紗	siɔ1	
紙	tsɿ3	
級	tɕiɪʔ7	
紛	ɸəŋ1	
紝	zəŋ6	
素	su5	
紡	ɸɒ̃3	
索	sɒk7	
紫	tsɿ3	
紮	tsæʔ7	
累	le4	【文读】积～
累	le6	【文读】连～；劳～
累	li6	【白读】受～（受苦）
細	si5	
紹	zɔ4	
紺	ke5	
終	tsoŋ1	
組	tsu3	
絆	be6	
絆	ɓɛ5	[扌班]的训读
結	tɕiɪʔ7	
絕	ziɪʔ8	
絝	kʰu5	
絞	kɔ3	【白读】～圈（一种本地传统房屋形式）
絞	tɕiɔ3	【文读】～刑
絞	ɡɔ4	～丝旁；～捩棒（麻花）
絡	lɒk8	
絢	ɕyø5	
給	tɕiɪʔ7	
絨	ȵioŋ2	
統	tʰoŋ3	
絲	sɿ1	
絹	tɕyø5	
綁	ɓɒ̃3	
經	tɕiʌŋ1	
綜	tsoŋ1	
綠	lok8	
綢	zɤ2	
綬	zɤ6	
維	βi2	
綰	βɛ3	
