#漢字	音標	解釋#('wuu_th_shj_sz_ltc', '淸末蘇州話', '淸末蘇州', '#0000FF,#4D4D4D', None, None, '版本：2.0(2022-01-03)<br>來源：樛木整理自《一百年前的蘇州話》、《蘇州同音字彙1892》、《鄉音字類》<br>說明：加*的漢字表示[ʐ][dʐ]歸屬、陽上陽去歸屬缺乏直接資料，以區分這兩者的蘇州行政區劃內的方吳語爲基準。', '44 1 1a 陰平 ꜀,223 2 1b 陽平 ꜁,51 3 2a 陰上 ꜂,31 4 2b 陽上 ꜃,523 5 3a 陰去 ꜄,312 6 3b 陽去 ꜅,4 7 4a 陰入 ꜆,23 8 4b 陽入 ꜇')
庇	pʰi5	
庇	pi5	
庈	dʑiən2	
床	ʐɑ̃2	～鋪
床	dʐɑ̃2	
庋	kuᴇ3	
序	dzi8	
序	zi4	
底	ti3	
庖	bæ2	
店	tiɛ5	
庚	kã1	白讀
庚	kən1	
庛	tsʰɿ5	
府	fv̩3	
庠	dziã2	
庠	ziã2	
庡	i3	
庤	ʐʯ4	
庥	ɕiʏ1	
度	dᵊu6	
度	doʔ8	猜～
座	dzᵊu6	
座	zᵊu6	～位
庪	kuᴇ3	
庫	kʰᵊu5	
庭	diɪn2	
庮	ɦiʏ4	
庳	pᴇ1	
庳	bi6	
庶	ʂʯ5	
康	kʰɑ̃1	姓
庸	ɦioŋ2	
庹	tʰoʔ7	有一～長
庾	y3	
庿	miæ6	
廀	s𐞢ʏ1	
廁	tsʰɿ5	
廂	siã1	～房
廄	tɕiʏ5	
廆	kuᴇ3	
廈	ɦio6=	(書)
廈	ɦio6	
廉	liɛ2	清～
廊	lɑ̃2	～下
廋	s𐞢ʏ1	
廌	ʐʯ4	
廑	dʑiɪn2	
廓	kʰuoʔ7	
廖	liæ6	姓
廗	dɑ6	俚有兩～房子。聲調類推
廚	dʐʯ2	～子
廛	dʐø2	
廝	sɿ1	
廞	ɕiən1	
廟	miæ6	
廠	tʂʰã3	工～
廡	fv̩3	
廢	fi5	～物
廣	kuɑ̃3	
廧	ziã2	
廨	ɦiɑ6	
廩	liɪn4	
廬	li2	
廯	siɛ3	
廱	ioŋ1	
廳	tʰiɪn1	大～
延	ɦiɛ2	
廷	diɪn2	
廸	diəʔ8	
建	tɕiɛ5	～設
廻	ɦuᴇ2	
廼	nᴇ2	
廿	ȵiɛ6	
廿	ȵiɑ6	～五
弁	biɛ6	馬～
异	ɦi6	
弄	loŋ6	
弆	tɕy3	
弇	iɛ1	
弈	ɦiəʔ8	
弊	bi6	
弋	ɦiəʔ8	
式	ʂəʔ7	樣～
弑	ʂʯ5	
弓	koŋ1	
弔	tiæ5	
引	iɪn3	
引	ɦiən4	～線
弗	fəʔ7	
弘	ɦoŋ2	
弟	di6	
弟	di4	
弢	tʰæ1	
弧	ɦᵊu2	
弨	tʂʰæ1	
弩	nᵊu4	
弭	mi4	
弰	sæ1	
弱	ʐɑʔ8	～國
張	tʂã1	姓
強	tɕʰiã3	勉～
強	dʑiã2	先下手爲～
弸	pən1	
强	tɕʰiã1	
弼	biəʔ8	
彀	k𐞢ʏ5	
彇	siæ1	
彈	dɛ2	
彈	dɛ6	
彊	dʑiã2	
彌	mi2	阿～陀佛
彌	mi4	
彍	kʰuoʔ7	
彎	uɛ1	
当	iɑ1	
彖	tʰø5	
彗	ɦuᴇ6	
彘	dʐʯ6	
彙	ɦuᴇ6	
彝	ɦi2	
形	ɦiɪn2	～狀
彤	doŋ2	
彥	ȵiɛ6	
彧	ioʔ7	
彲	tʂʰʯ1	
彩	tsʰᴇ3	五～
彪	piæ1	
彫	tiæ1	
彬	piɪn1	
彭	bən2	
彭	bã2	姓
彯	pʰiæ1	
彰	tʂã1	～明較著
影	iɪn3	
彴	tʂɑʔ7	
彷	fɑ̃3	
役	ɦyəʔ8	
彼	pᴇ3	
彿	fəʔ7	彷～
往	uɑ̃3	～來
征	tʂən1	
待	dᴇ6	
待	dᴇ4	
徇	siɪn5	
很	hən3	
徉	ɦiã2	
徊	ɦuᴇ2	
律	liəʔ8	～例
後	ɦ𐞢ʏ6	
後	ɦ𐞢ʏ4	
徐	dzi2	
徐	zi2	姓
徑	tɕiɪn5	
徒	dᵊu2	
徠	lᴇ6	
得	təʔ7	～意
徘	bᴇ2	
徙	si3	遷～
從	dzoŋ2	
從	zoŋ2	服～
從	tsʰoŋ1	～容
徠	lᴇ2	招～
徠	lᴇ6	慰勞
御	ɦy6	
御	ȵy6	
徧	piɛ5	
徨	ɦuɑ̃2	
復	voʔ8	報～
循	dziɪn2	
循	ziɪn2	
徬	bɑ̃2	
徭	ɦiæ2	
微	vi2	
徯	ɦi2	
徵	tʂən1	～兵
德	təʔ7	
徹	tʂʰəʔ7	
徼	tɕiæ5	
徼	tɕiæ1	
徼	iæ1	
徽	huᴇ1	
心	siɪn1	
必	piəʔ7	
忉	tæ1	
忌	dʑi6	百無禁～
忍	ʐən4	
忑	tʰəʔ7	
忒	tʰəʔ7	～嫌高
忖	tsʰən3	
志	tʂʯ5	
忘	mɑ̃2	
忘	mɑ̃6	～記
忘	vɑ̃2	
忙	mɑ̃2	早起三光，遲起三～
忝	tʰiɛ3	
忠	tʂoŋ1	～信
忡	tʂʰoŋ1	
忤	ᵊu3	
忤	ŋ̍6	～逆
忨	ɦuø6	
快	kʰɑ5	白讀：～活
快	kʰuɑ5	白讀：～信
快	kʰuᴇ5	
忭	biɛ6	
忮	tʂʯ5	
忸	ȵiʏ4	
忻	ɕiən1	
忻	dʑi2	
忼	kʰɑ̃3	
忽	huəʔ7	
忿	vən6	
忿	vən4	
怊	tʂʰæ1	
怍	zo6	
怍	zoʔ8	
怎	tsən3	～樣
怏	iã5	
怏	ɦiã4	
怒	nᵊu6	
怓	næ2	
怔	tʂən1	
怕	pʰo5	文讀
怕	pʰo5	白讀：恐～弗好
怖	pu5	恐～
怗	tʂø1	
怙	ɦᵊu4	
怙	ɦᵊu6	
怛	tʰaʔ7	
思	sɿ1	～想
怠	dᴇ6	
怠	dᴇ4	～惰
怡	ɦi2	
急	tɕiəʔ7	～來來抱佛腳
怦	pʰən1	
性	siɪn5	
怨	iø5	～恨
怩	ȵi2	
怪	kuɑ5	倷覅～我
怪	kuᴇ5	
怫	fəʔ7	
怭	biəʔ8	
怯	tɕʰiəʔ7	膽～
怱	tsʰoŋ1	
怲	piɪn3	
怵	tʂʰəʔ7	
恀	tʂʰʯ3	
恂	siɪn1	
恃	ʐʯ4	有～無恐
恅	læ4	愺～：心亂；寂靜
恊	ɦiəʔ8	
恌	tʰiæ1	
恍	huɑ̃3	
恐	kʰoŋ3	
恒	ɦən2	有～
恓	si1	
恔	ɦiæ6	
恕	ʂʯ5	
恙	ɦiã6	
恚	ɦuᴇ6	
恝	tɕʰiəʔ7	
恟	ɕioŋ1	
恠	kuᴇ5	
恢	kʰuᴇ1	
恣	tsɿ5	
恤	siəʔ7	
恥	tʂʰʯ3	羞～
恨	ɦən6	
恩	ən1	
恪	tɕʰioʔ7	
恫	tʰoŋ1	
恬	diɛ2	
恭	koŋ1	
息	siəʔ7	好消～
恰	tɕʰiɑʔ7	
恰	kʰaʔ7	～巧
恰	tɕʰiaʔ7	
悁	tɕiø1	
悃	kʰuən3	
悄	tsʰiæ3	～悄悄
悄	tsʰiæ5	
悅	ɦyəʔ8	
悉	siəʔ7	
悌	di6	
悍	ɦø6	強～
悔	huᴇ1	
悔	huᴇ5	
悖	bᴇ6	
悚	soŋ3	
悛	tsʰiɛ1	
悝	kʰuᴇ1	
悟	ŋᵊu6	醒～
悠	iʏ1	
患	ɦuɛ6	後～
悤	tsʰoŋ1	
悮	ŋᵊu6	
悰	tʂoŋ1	
悰	tsoŋ1	
悱	fi3	
悲	pᴇ1	
悴	zᴇ6	
悵	tʂʰã5	
悶	mən6	
悶	mən1	氣～
悶	mən4	
悸	tɕi5	
悻	ɦiɪn4	
悼	dæ6	
悽	tsʰi1	
悾	kʰoŋ1	
惄	ȵiəʔ8	
情	dziɪn2	
情	ziɪn2	水火弗留～
惆	dʐ𐞢ʏ2=	(書)
惇	tən1	
惌	iø1	
惎	dʑi6	
惑	ɦuəʔ8	疑～
惔	dɛ2	
惕	tʰiəʔ7	
惘	vɑ̃4	
惙	tsᴇ5	
惚	huəʔ7	恍～
惜	siəʔ7	
惝	tʰɑ̃3	
惟	vi2	～獨
惠	ɦuᴇ6	
惡	ᵊu5	可～之至
惡	uoʔ7	
惡	oʔ7	
惦	tiɛ5	～念
惰	dᵊu6	
惱	næ4	煩～
惲	ɦyən4	
惲	ɦyən6	
想	siã3	
惴	tsᴇ5	
惶	ɦuɑ̃2	驚～
惷	tʂʰən3	
惸	dʑioŋ2	
惹	dʐɑ4*	～動氣
惹	zɑ4	肚皮～，拉肚子
惺	siɪn1	
惻	tsʰəʔ7	
惽	huən1	疑爲“惛”
愀	tsʰiæ1	
愁	dz𐞢ʏ2	
愁	z𐞢ʏ2	
愆	tɕʰiɛ1	
愈	ɦy4	
愉	ɦy2	
愊	piəʔ7	
愍	miɪn4	
愎	biəʔ8	
意	i5	
愒	ɕi5	
愔	ɕiɪn1	
愕	ŋoʔ8	
愚	ȵy2	～笨
愛	ᴇ3	
愛	ᴇ5	
愜	tɕʰiəʔ7	
愞	ʐø4	
感	kø3	
愣	liɪn4	心裏一～。正字疑爲“凜”
愧	ɡuᴇ6	慚～
愨	tɕʰioʔ7	
愫	sᵊu5	
愬	sᵊu5	
愯	ʂɑ̃1	
愯	soŋ3	
愷	kʰᴇ3	
愾	kʰᴇ5	敵～
愿	ȵiø6	
慁	ɦuən6	
慄	liəʔ8	
慅	tsʰæ3	
慆	tʰæ1	
慇	iən1	
慈	dzɿ2	
慈	zɿ2	
慉	ɕioʔ7	
慊	tɕʰiɛ3	
慊	tɕʰiəʔ7	
態	tʰᴇ5	狀～
慌	huɑ̃1	恐～。據《集韻》：呼光切
慌	huɑ̃3	又音。據《廣韻》：呼晃切
慍	yən5	
慎	ʐən6	謹～小心
慕	mo6	
慘	tsʰø3	悲～
慙	zɛ2	
慚	dzɛ2	
慚	zɛ2	
慝	tʰəʔ7	
慟	tʰoŋ5	該讀音疑源自《中原音韻》：東鍾切。本音應爲[doŋ312]
慟	doŋ6	
慢	mɛ6	急～
慣	kuɛ5	習～
慥	tsʰæ5	
慧	ɦuᴇ6	
慨	kʰᴇ5	慷～非常
慫	tsoŋ3	
慫	soŋ3	
慬	dʑiən2	
慮	li6	
慰	ɦuᴇ6	安～
慱	dø2	
慳	tɕiɛ1	
慳	tɕʰiɛ1	
慴	tʂəʔ7	
慵	ɦioŋ2	
慶	tɕʰiɪn5	國～紀念
慷	kʰɑ̃3	
慼	tsʰiəʔ7	
慾	ɦioʔ8	
憀	liæ2	
憂	iʏ1	～愁
憊	pʰɑ5	
憊	bᴇ6	
憍	tɕiæ1	
憎	tsən1	
憐	liɛ2	
憑	biɪn2	～據
憑	biɪn2	
憒	ɡuᴇ6	
憔	ziæ2	～悴
憗	ȵiɪn6	
憚	dɛ6	肆無忌～
憝	dᴇ4	本音陽去
憤	vən4	
憧	tʂʰoŋ1	
憨	hø1	～～泉
憩	tɕʰi5	坐～裡
憫	miɪn4	憐～。
憬	tɕioŋ3	
憮	fv̩3	
憯	tsʰø3	
憲	ɕiɛ5	～法
憴	ʐən2	
憶	i5	
憶	iəʔ7	
憸	siɛ1	
憹	noŋ2	
憺	dɛ4	
憼	tɕiɪn3	
憾	hø5	
憾	ɦø6	抱～
懂	toŋ3	倷阿～
懂	toŋ1	
懃	dʑiən2	
懆	tsʰæ3	
懇	kʰən3	相～
懈	iᴇ5=	(書)
懈	ɦiɑ6	
應	iɪn1	～該
懊	æ3	
懊	æ5	～悔
懋	m𐞢ʏ4	
懌	ɦiəʔ8	
懍	liɪn4	
懜	moŋ2	
懟	dᴇ4	本音陽去
懠	zi2	
懣	mø4	
懥	tʂʯ5	
懦	nᵊu4	～弱
懮	ɦiʏ4	
懰	l𐞢ʏ4	
懲	dʐən2	
懵	moŋ4	～懂
懶	lɛ4	～惰
懷	ɦuɑ2	白讀
懷	ɦuᴇ2	文讀
懸	ɦiø2	
懺	tsʰɛ5	
懼	dʑy6	
懼	dʑy4	～怕
懽	huø1	
懿	i5	
戀	liɛ6	
戁	lɛ4	
戄	tɕioʔ7	
戇	ʐɑ̃6	剛直
戇	ɡɑ̃6	～大
戈	kᵊu1	姓
戊	vv̩6	
戌	siəʔ7	
戍	ʂʯ5	
戍	siəʔ7	
戎	dzoŋ2	
戎	zoŋ2	
成	dʐən2	～功
我	ŋᵊu4	
戒	kɑ5	白讀
戒	tɕiɑ5	
戔	tsɛ1	
戔	tsiɛ1	
戕	ziã2	
或	ɦuəʔ8	
戚	tsʰiəʔ7	
戛	tɕiəʔ7	
戟	tɕiəʔ7	
戡	kʰø1	
戢	tsʰiəʔ7	
戣	ɡuᴇ2	
戤	ɡᴇ6	～牌子
戥	tən3	～份量
戧	tsʰiã5	～主意
戩	tsiɛ3	
截	dziɪʔ8	
截	ziəʔ8	～長補短
戭	iɛ3	
戮	loʔ8	
戱	ɕi5	
戰	tʂø5	～～兢兢
戲	ɕi5	
戳	tʂʰoʔ7	打一個～子
戳	tsʰoʔ7	
戴	tɑ5	白讀：𬌶狲～帽子像煞人
戴	tᴇ5	文讀：姓
戵	dʑy2	
戶	ɦᵊu4	门～
戹	ŋəʔ8	
戺	zɿ4	
戽	hᵊu5	
戾	li6	
房	vɑ̃2	～子
所	sᵊu3	公～
扁	piɛ3	～豆
扃	tɕioŋ1	
扅	ɦi2	
扆	i3	
扇	ʂø1	～風
扇	ʂø3	一～窗
扇	ʂø5	
扈	ɦᵊu4	
扉	fi1	
扉	fi5	
扊	iɛ3	～扅，指門閂
手	ʂ𐞢ʏ3	
才	dzᴇ2	
才	zᴇ2	
扎	tsɑʔ7	
扐	ləʔ8	
扑	pʰoʔ7	
扒	bo2	
打	tã3	
托	tʰoʔ7	
扛	kɑ̃1	
扞	ɦø6	～衛
扠	tsʰo1	兩手～腰
扡	tsʰiɛ1	
扡	tʰᵊu1	
扢	ŋəʔ8	
扣	kʰ𐞢ʏ5	～住
扤	ŋəʔ8	
扦	tsʰiɛ1	～子手
扭	ȵiʏ3	用手指夾住旋動
扭	ȵiʏ4	～牢仔俚弗肯放。～牢，糾纏住
扮	pɛ5	装～
扯	tʂʰɑ1	～篷
扯	tʂʰɑ3	
扱	tʂʰɑʔ7	～過去
扱	ɕiəʔ7	
扱	tsʰaʔ7	
扳	pɛ1	～價
扶	vv̩2	
扷	æ5	《集韻》：烏到切，音奧
批	pʰi1	
扼	ŋəʔ8	
找	tsæ3	～頭
承	dʐən2	
技	dʑi4	～藝。推導音，《廣韻》記該字讀上聲。
抃	biɛ6	
抄	tsʰæ1	～寫
抆	vən6	
抉	tɕyəʔ7	
把	bo4	
把	po3	
抑	iəʔ7	
抒	ʂʯ1	
抒	ʂʯ3	
抓	tsæ1	
抔	b𐞢ʏ2	
投	d𐞢ʏ2	
抖	t𐞢ʏ3	
抗	kʰɑ̃5	
折	tʂəʔ7	
抛	pʰæ1	
抨	pʰən1	
披	pʰi5	
披	pʰi1	
抬	dᴇ2	
抱	bæ6	
抱	bæ4	
抵	ti3	～抗
抹	məʔ8	～布
押	aʔ7	
押	ɑʔ7	抵～。
抽	tʂʰ𐞢ʏ1	
抿	miɪn3	～緊、～縫
拂	fəʔ7	～帚
拄	tʂʯ3	～拐
拆	tsʰɑʔ7	～蝕
拆	tsʰəʔ7	
拈	niɛ1	
拈	ȵiɛ2	
拉	lɑ1	白讀：～倒
拉	lɑʔ8	
拊	fv̩3	
拋	pʰæ1	
拌	bø6	
拌	pʰø1	
拍	pʰɑʔ7	白讀：～蒼蠅
拍	pʰəʔ7	
拎	liɪn1	～起來
拏	no2	
拐	kuɑ3	～子
拒	dʑy6	
拒	dʑy4	～絶
拓	tʰoʔ7	開～
拔	baʔ8	～草
拕	tʰᵊu1	
拗	æ3	～斷俚
拘	tɕy1	
拙	tʂəʔ7	
拚	fɛ1	
拚	pʰø1	
招	tʂæ1	～租
拜	pɑ5	
拜	pᴇ5	
拫	ɦən2	
括	kuaʔ7	一塌～子
拭	ʂəʔ7	
拮	tɕiəʔ7	
拯	tʂən3	
拱	koŋ3	～手
拲	koŋ3	
拳	dʑiø2	～頭
拴	tsʰiɛ1	
拷	kʰæ3	
拼	piən5	今一般讀滂母
拼	pʰiən1	
拽	ɦi6	
拾	ʐəʔ8	
拾	ŋəʔ8	～起來。可能爲誤記，今讀[ziəʔ23]
拿	nɔ2	
拿	no2	倷～得去末哉
持	dʐʯ2	扶～
挂	kua5	
挃	tʂəʔ7	
指	tʂʯ3	
挈	tɕʰiəʔ7	
挈	tɕiəʔ7	聲母疑記錯，應讀[tɕʰiəʔ7]
按	ø5	
挋	tʂən5	
挐	no2	
挑	tʰiæ1	
挖	uaʔ7	
掙	tsʰən1	～扎。據《集韻：初耕切，音鐺
掙	tsən5	據《字彙》：側迸切，音諍
挨	ᴇ1	
挨	ɑ1	
挪	nᵊu2	
挪	lɑ2	
挪	nɑ1	～移。陰陽調可能存疑
挫	tsʰᵊu5	
振	tʂən5	～作
挱	sᵊu1	
挲	sᵊu1	
挶	tɕioʔ7	
挹	iəʔ7	
挺	tʰiɪn3	
挺	tʰiɪn3	～撞
挼	sᴇ1	
挽	ɦuɛ4	～留
挾	ɦiaʔ8	
捄	tɕy1	
捆	kʰuən3	
捉	tʂoʔ7	
捋	ləʔ8	
捌	poʔ7	
捍	ɦø6	
捎	sæ1	
捏	ȵiaʔ8	～一把汗
捐	tɕiø1	募～
捕	bu6	巡～
捖	ɦuø4	
捘	tsən3	
捝	tʰəʔ7	
捥	ɦuø4	
捧	foŋ3	
捧	pʰoŋ3	
捧	boŋ4	
捨	ʂɑ3=	(書)
捨	so3	白讀：弗～得
捩	liəʔ8	～一把
捫	mən2	
捬	fv̩3	
捭	pᴇ3	
据	tɕy1	
捱	ɑ1	聲調類推自《集韻》。但該字一般讀[ŋɑ223]
捲	tɕiø3	
捶	zᴇ4	
捷	dʑiɛ2	
捷	ziəʔ8	～足先登
捺	naʔ8	～住俚
捻	ȵiəʔ8	
捻	ȵiaʔ8	
捼	nᵊu2	～～痛
捼	sᴇ1	
捽	tsʰəʔ7	
掀	ɕiɛ1	～起來
掁	zən2	
掂	tiɛ1	～斤播两
掃	sæ5	～帚
掃	sæ3	
掄	lən2	
掇	təʔ7	攛～
授	ʐ𐞢ʏ6	
掉	diæ6	～換
掊	b𐞢ʏ2	
掌	tʂã3	手～
掍	kuən3	～迹。聲調類推自《廣韻》，但聲母不合，理論讀[ɦuən31]，記載存疑
掎	i3	
掎	tɕi3	
掐	tɕʰiaʔ7	
排	bᴇ2	
排	bɑ2	
掔	tɕʰiɛ1	
掔	ɦuø4	
掖	ɦiəʔ8	
掘	dʑyəʔ8	臨渴～井
掙	tsən3	
掛	kuo5	
掛	kua5	
掞	ʂø5	
掠	liɑʔ8	擄～
採	tsʰᴇ3	～桑葉
探	tʰø1	
探	tʰø5	偵～
掣	tʂʰəʔ7	
掤	piɪn1	
接	tsiəʔ7	
控	kʰoŋ5	上～
推	tʰᴇ1	
掩	iᴇ3	遮～
掩	iɛ3	
措	tsʰᵊu5	籌～
掫	ts𐞢ʏ1	
掬	tɕioʔ7	
掭	tʰiɛ3	～鐙
掮	dʑiɛ2	～耜頭
掯	kʰən5	～勒
掽	pʰã5	～着法
掽	bã6	
揀	kɛ3	～好
揀	tɕiɛ3	
揃	tsiɛ1	
揄	ɦy2	
揆	ɡuᴇ2	
揆	ɡuᴇ4	
揉	ʐ𐞢ʏ2	
揉	dʐ𐞢ʏ2	
描	miæ2	
提	di2	
揑	ȵiɑʔ8	
插	tsʰɑʔ7	
插	tsʰaʔ7	
揖	iəʔ7	作～
揚	ɦiã2	
換	ɦuø6	
揜	iɛ3	
揞	ø3	
揠	uaʔ7	
握	oʔ7	
揢	kʰɑʔ7	～住頭頸。書中記爲舒聲，有誤，據實改
揣	tsʰᴇ3	
揥	ti5	
揥	tʰi5	
揩	tɕʰiɑ1	
揩	kʰɑ1	白讀：～～油
揪	tsʰ𐞢ʏ1	疑記錯，聲母應爲精母
揭	tɕiəʔ7	～示
揮	huᴇ1	～扇
揲	ʂəʔ7	
援	ɦiø2	
揵	dʑiɛ2	
揵	dʑiɛ4	
揶	iɑ1	
揸	tso1	
揹	pᴇ1	～牢俚
撳	tɕʰiən5	～牢俚
搆	k𐞢ʏ5	
搉	tɕʰioʔ7	
損	sən3	折～
搏	poʔ7	
搐	tʂʰoʔ7	
搒	pɑ̃5	
搓	tsʰᵊu1	～～手
搔	tsæ3	
搔	tsæ1	～着痛處
搖	ɦiæ2	
搗	tæ3	
搜	s𐞢ʏ1	
搠	tʂʰoʔ7	橫～槍
搠	soʔ7	
搡	sɑ̃3	～一跤
搢	tsiən5	
搤	ŋəʔ8	
搥	zᴇ2	
搥	zᴇ4	
搦	ȵiɑʔ8	～緊仔弗放
搦	ȵiəʔ8	
搦	ȵiaʔ8	
搧	ʂø1	
搨	tʰɑʔ7	
搨	tʰaʔ7	搽
搪	dɑ̃2	～塞
搬	pø1	
搭	tɑʔ7	
搭	taʔ7	～山頭
搯	kʰaʔ7	本音
搯	kʰɑʔ7	
搲	uo1	～碎个
搳	huaʔ7	～拳
搴	tɕʰiɛ1	
搶	tsʰiã3	
搽	zo2	～粉
搿	ɡəʔ8	～牢俚
摇	ɦiæ2	
摎	tɕiʏ1	
摐	tsɑ̃1	
摒	piɪn5	
摔	səʔ7	
摘	tiəʔ7	
摘	tsɑʔ7	
摘	tsəʔ7	～要
摙	liɛ4	
摛	tʂʰʯ1	
摜	ɡuɛ6	～稻
摟	l𐞢ʏ2	
摠	tsoŋ3	
摣	tʂɑ1	～一把
摧	tsʰᴇ1	～殘
摩	mo2	
摭	tʂəʔ7	
摯	tʂʯ5	
摰	ȵiəʔ8	
摳	kʰ𐞢ʏ1	～進去
摴	tʂʰʯ1	
摵	tsʰiəʔ7	
摶	dø2	
摸	moʔ8	
摹	mo2	
摺	tʂəʔ7	～子
摻	sᴇ1	
摽	piæ1	
摽	pʰiæ3	
撅	dʑyəʔ8	
撅	kʰuᴇ5	
撇	pʰiəʔ7	
撈	læ1	～起來
撊	ɕiɛ3	
撋	ʐø2	
撏	dziɪn2	
撏	ziɛ2	～～毛，剝剝皮
撐	tsʰã1	～篙子
撑	tsʰã1	白讀：臂膊～子，胳膊肘兒
撒	sɑʔ7	
撒	səʔ7	～種子
撓	næ4	
撕	sɿ1	～破
撕	si1	
撙	tsən3	
撚	ȵiɛ4	
撚	ȵiɛ4	紙～
撝	huᴇ1	
撞	ʐɑ̃2	
撞	dʐɑ̃6	
撢	tɛ3	雞毛～帚
撢	tʰø1	
撣	tɛ3	雞毛～子
撤	tʂʰəʔ7	
撥	pəʔ7	挑～
撩	liæ2	
撫	fv̩3	
撬	dʑiæ6	
撬	dʑiæ4	～門
播	pu5	
撮	tsʰəʔ7	一～
撰	dzɛ6	
撲	pʰoʔ7	
撳	tɕʰiən5	～牢俚
撹	tɕiæ3	
撻	tʰaʔ7	
撼	ɦø6	
撾	tsuo1	
撾	uo1	
擁	ioŋ3	～擠得極
擂	lᴇ2	
擂	lᴇ6	聲調據《廣韻》：盧對切
擄	lᵊu4	
擅	ʐø6	～專
擇	dzəʔ8	
擇	zəʔ8	揀～
擊	tɕiəʔ7	～彭
擋	tɑ̃3	
操	tsʰæ1	體～
操	tsʰæ5	
擎	dʑiɪn2	
擐	uɛ1	
擒	dʑiən2	
擔	tɛ1	
擔	tɛ3	
擗	piəʔ7	
擗	pʰiəʔ7	
擘	pəʔ7	
據	tɕy5	
擠	tsi3	
擡	dᴇ2	
擢	dʐoʔ8	
擤	hən3	～鼻涕
擥	lɛ4	
擦	tsʰɑʔ7	
擦	tsʰaʔ7	～銅藥
擩	ʐø2	
擫	iəʔ7	～～乾
擬	ȵi4	
擭	ɦoʔ8	
擯	piɪn5	
擱	koʔ7	
擲	dʐəʔ8	拋～
擴	kʰuoʔ7	～充
擷	ɦiəʔ8	
擺	pɑ3	
擺	pᴇ3	
擻	s𐞢ʏ3	
擾	ʐæ4	～亂
擿	tsəʔ7	
攀	pʰɛ1	
攉	hoʔ7	～親
攏	loŋ4	船～岸
攔	lɛ2	
攖	iɪn1	
攘	ʐã4	
攙	tsʰɛ1	～～手
攙	tsʰᴇ1	
攛	tsʰø1	
攜	ɦi2	提～
攝	ʂəʔ7	～影
攟	dʑyən4	
攢	dzø2	
攢	zø6	
攢	tsø1	
攣	lø2	
攤	tʰɛ1	
攪	kæ3	白讀：①攪拌：伸進去一～；②瘋鬧：覅～哉、瞎～
攪	tɕiæ3	文讀
攫	tɕioʔ7	
支	tʂʯ1	～持
攲	tɕʰi1	
收	ʂ𐞢ʏ1	～割
攷	kʰæ3	
攸	iʏ1	
改	kᴇ3	～良
攻	koŋ1	
攽	pɛ1	～發
放	fɑ̃5	
政	tʂən5	～治
敂	kʰ𐞢ʏ5	
敄	vv̩6	
故	kᵊu5	啥個緣～
效	ɦiæ6	～驗
敉	mi4	
敊	zɿ4	
敏	miɪn3	
救	tɕiʏ5	
敔	ȵy4	
敕	tʂʰəʔ7	
敕	tsʰəʔ7	
敖	ŋæ2	
敗	bᴇ6	文讀
敗	bɑ6	
敘	dzi8	
教	kæ5	白讀
教	tɕiæ5	
敜	ȵiəʔ8	
敝	bi6	
敞	tʂʰã3	
敢	kø3	
散	sɛ3	平安～
散	sɛ5	
敦	tən1	
敬	tɕiɪn5	
敭	ɦiã2	
敱	kʰᴇ1	
敲	tɕʰiæ1	
敲	kʰæ1	白讀：～詐
整	tʂən3	～齊
敵	diəʔ8	
敷	fv̩1	
數	sᵊu3	
數	sᵊu5	～目
敹	liæ2	
敺	tɕʰy1	
敻	tɕioŋ3	
敽	tɕiæ3	
斁	ɦiəʔ8	
斂	liɛ4	
斃	bi6	
斅	ɦiæ6	
文	vən2	
斌	piɪn1	
斐	fi3	
斒	pɛ1	
斕	lɛ2	
斗	t𐞢ʏ3	
料	liæ6	木～
斚	tɕiɑ3	
斛	ɦoʔ8	～子
斜	dziɑ2	
斜	ziɑ2	白讀
斞	y3	
斟	tʂən1	
斡	uaʔ7	
斢	tʰ𐞢ʏ3	
斤	tɕiən1	
斥	tʂʰəʔ7	
斧	fv̩3	～頭
斨	tsʰiã1	
斫	tʂɑʔ7	
斬	tsɛ3	～斷俚
斮	tʂɑʔ7	
斯	sɿ1	
新	siən1	
斲	tʂoʔ7	
斷	tø5	決～
斷	dø6	
斸	tʂoʔ7	
方	fɑ̃1	
於	y1	
於	ɦy2	
施	ʂʯ1	～藥
斾	pʰᴇ5	
斿	ɦiʏ2	
旁	bɑ̃2	～邊
旂	dʑi2	
旃	tʂø1	
旄	mæ2	
旅	li4	
旈	l𐞢ʏ2	
旉	fv̩1	
旋	dziɛ2	
旋	ziɛ2	周～
旌	tsiɪn1	
族	dzoʔ8	
族	zoʔ8	
旐	ʐæ6	
旓	sæ1	
旗	dʑi2	國～
旛	fɛ1	
旜	tʂø1	
旝	kʰuᴇ5	
旞	zᴇ6	
旟	ɦy2	
既	tɕi5	
旣	tɕi5	
旤	ɦᵊu4	
日	ʐəʔ8	文讀
日	ȵiəʔ8	白讀：～頭
旦	tɛ3	元～
旨	tʂʯ3	宗～
早	tsæ3	起～起
旬	ziɪn2	
旭	ɕioʔ7	～日
旰	kø5	
旰	ɦø6	
旱	ɦø6	
旱	ɦø4	
旺	ɦyɑ̃6	白讀
旺	ɦiɑ̃6	白讀：火旺得[laʔ]
旺	ɦuɑ̃4	
旺	ɦuɑ̃6	文讀：興～
昂	ŋɑ̃2	～頭
昃	tsəʔ7	
昆	kʰuən1	～弟
